date,FA266905095.A,FA266903001.A,FA266904195.A,FA266400101.A,FA266900095.A,FA266903011.A,FA266904095.A,FA266400201.A,FA266000095.A,FA266000095.A,FA265440005.A,FA265420095.A,FA265000905.A,FA265000905.A,FA264090005.A,FA263011005.A,FA263011205.A,FA313111303.A,FA264000005.A,FA263025003.A,FA263027003.A,FA263030005.A,FA264016005.A,FA264022005.A,FA263069103.A,FA263061105.A,FA263061705.A,FA263062003.A,FA263063005.A,FA264041005.A,FA262051003.A,FA263069500.A,FA263081005.A,FA263034003.A,FA263064105.A,FA263064203.A,FA263092001.A,FA263070003.A,FA264190005.A,FA313011303.A,FA264100005.A,FA263111503.A,FA263111403.A,FA263191005.A,FA313091105.A,FA264122005.A,FA263169105.A,FA263163005.A,FA264141005.A,FA262151003.A,FA263169005.A,FA263168005.A,FA713091103.A,FA263181105.A,FA263164103.A,FA313092803.A,FA263192005.A,FA263194735.A,FA263170003.A,FA265000005.A,FV268090185.A,FV268090085.A,FU267005005.A,FR264090005.A,FR263011005.A,FR264000005.A,FR264022005.A,FR263069103.A,FR263061105.A,FR263061705.A,FR263063005.A,FR263081005.A,FR263064105.A,FR263064203.A,FR263092001.A,FR263070003.A,FR264194005.A,FR313011303.A,FR264100005.A,FR263111503.A,FR263111403.A,FR263191005.A,FR263191103.A,FR263163005.A,FR263169205.A,FR263181105.A,FR263164103.A,FR263192005.A,FR263170003.A,FR265000005.A,FC262090095.A,FL264090005.A,FL313111303.A,FL264000005.A,FL263025003.A,FL263027003.A,FL263030005.A,FL264016005.A,FL264022005.A,LM263069103.A,LM263061105.A,LM263061705.A,FL263062003.A,LM263063005.A,FL264041005.A,FL262051003.A,FL263069500.A,FL263081005.A,FL263034003.A,LM263064105.A,LM263064203.A,FL263092001.A,FL263070003.A,FL262100005.A,FL264194005.A,FL313011303.A,FL264100005.A,FL263111503.A,FL263111403.A,FL263191005.A,FL313091105.A,FL264122005.A,FL263169105.A,LM263163005.A,FL264141005.A,FL262151003.A,FL263169005.A,FL263168005.A,FL713091103.A,FL263181105.A,LM263164103.A,FL313092803.A,FL263192005.A,FL263194735.A,FL263170003.A,FL262090095.A
2005,2691958.00,2030084.00,483218.00,178655.00,1954273.00,1308898.00,575788.00,69587.00,737685.00,737685.00,12776.00,78.00,724831.00,724831.00,1048205.00,0.00,0.00,0.00,24841.00,8447.00,6416.00,20575.00,-10597.00,737176.00,20792.00,245140.00,139789.00,3000.00,328455.00,72660.00,41359.00,31301.00,201896.00,84.00,83131.00,6043.00,112638.00,11632.00,349707.00,-4511.00,12294.00,617.00,-10200.00,21877.00,0.00,93443.00,38610.00,54833.00,3388.00,-7115.00,-6814.00,17317.00,0.00,243807.00,186684.00,1264.00,36236.00,19623.00,1286.00,698498.00,-29762.00,-3429.00,26333.00,-65735.00,-606.00,-284.00,-206641.00,-1725.00,-74302.00,4677.00,-135291.00,142121.00,82449.00,9047.00,50625.00,-325.00,642358.00,-861.00,-5330.00,-5467.00,-1243.00,1380.00,0.00,-38600.00,0.00,687594.00,570603.00,116991.00,-445.00,-708093.00,-13024.00,10678102.00,7003.00,560066.00,280400.00,19749.00,223224.00,36693.00,4980153.00,156813.00,1984391.00,1006143.00,29000.00,1803806.00,867561.00,705020.00,162541.00,4209992.00,22958.00,2117753.00,163302.00,1905979.00,53327.00,10678102.00,9027412.00,8210.00,1213754.00,37622.00,8036.00,1165469.00,2627.00,1208753.00,383952.00,824801.00,522781.00,380987.00,31350.00,110444.00,0.00,6040358.00,3317705.00,43786.00,2651721.00,27146.00,33556.00,1650690.00
2006,3078454.00,2247260.00,656639.00,174555.00,2276297.00,1476316.00,724240.00,75742.00,802157.00,802157.00,-1989.00,-77.00,804223.00,804223.00,1479658.00,0.00,0.00,0.00,50670.00,2227.00,9186.00,33981.00,5276.00,968710.00,54934.00,150334.00,217097.00,5364.00,540981.00,65973.00,59734.00,6239.00,388632.00,4061.00,119515.00,21905.00,243151.00,5673.00,949822.00,223.00,177859.00,734.00,-3331.00,180456.00,0.00,277243.00,98369.00,178874.00,65404.00,55913.00,-7430.00,16921.00,0.00,425559.00,137331.00,2024.00,244922.00,41282.00,3534.00,529836.00,-143387.00,131000.00,274387.00,384439.00,368.00,-2.00,36555.00,1564.00,-8547.00,34993.00,8545.00,347331.00,321143.00,21256.00,4932.00,187.00,949654.00,437.00,2860.00,2320.00,335.00,205.00,0.00,20608.00,0.00,925453.00,873924.00,51529.00,296.00,-565215.00,95621.00,12803199.00,7371.00,610734.00,282627.00,28935.00,257203.00,41969.00,5985418.00,213311.00,2126178.00,1258233.00,34364.00,2353332.00,1194534.00,1025754.00,168780.00,4945955.00,27019.00,2558411.00,206463.00,2154062.00,59187.00,12803199.00,11056888.00,8870.00,1394473.00,40676.00,5040.00,1346130.00,2627.00,1506604.00,482321.00,1024283.00,718185.00,566900.00,23920.00,127365.00,0.00,7391370.00,4328960.00,45810.00,2948172.00,68428.00,37386.00,1746311.00
2007,3334409.00,2383165.00,750074.00,201171.00,2616290.00,1664624.00,875655.00,76012.00,718119.00,718119.00,-403.00,494.00,718029.00,718029.00,1470558.00,0.00,0.00,0.00,-78287.00,-10675.00,5240.00,36659.00,-109511.00,856562.00,16514.00,165277.00,239483.00,10700.00,424588.00,174924.00,72626.00,102298.00,496783.00,18957.00,244316.00,12344.00,221166.00,20576.00,1319048.00,154.00,294476.00,989.00,-1021.00,294508.00,0.00,234773.00,-69314.00,304087.00,173310.00,123175.00,-3250.00,29385.00,24000.00,605652.00,147781.00,1651.00,414039.00,42181.00,10683.00,151510.00,-538019.00,28500.00,566519.00,298176.00,371.00,5073.00,157625.00,-3567.00,84987.00,79099.00,-2894.00,134836.00,151272.00,12869.00,-29304.00,271.00,1059837.00,452.00,-398.00,3801.00,225.00,-4424.00,0.00,97334.00,0.00,962133.00,771249.00,190884.00,316.00,-761661.00,-581651.00,14571933.00,7742.00,537520.00,271952.00,34175.00,298935.00,-67542.00,6999605.00,226258.00,2376442.00,1576815.00,45064.00,2775026.00,1369458.00,1098380.00,271078.00,5577574.00,45976.00,2953999.00,231676.00,2345923.00,80034.00,14571933.00,13407273.00,9476.00,1688551.00,45466.00,4244.00,1636214.00,2627.00,1838711.00,413007.00,1425704.00,862995.00,681075.00,20670.00,137250.00,24000.00,8959155.00,5247990.00,47461.00,3553095.00,110609.00,48385.00,1164660.00
2008,3481958.00,2565006.00,684918.00,232033.00,2790326.00,1841942.00,856929.00,91455.00,691632.00,691632.00,5411.00,-1.00,686222.00,686222.00,666846.00,0.00,0.00,0.00,492852.00,29187.00,34819.00,73445.00,355401.00,404680.00,-59038.00,711596.00,-231928.00,5896.00,-21846.00,-674329.00,-629667.00,-44662.00,436896.00,23703.00,128320.00,-25218.00,310091.00,6747.00,-98354.00,106.00,-326254.00,1269.00,3473.00,-330996.00,0.00,-211880.00,-71035.00,-140845.00,160542.00,-382823.00,-1497.00,15134.00,529728.00,282844.00,-38550.00,1384.00,329080.00,-9070.00,-3712.00,765200.00,69789.00,-9189.00,-78978.00,-1633884.00,-195.00,49.00,-148811.00,-1769.00,164936.00,57293.00,-369271.00,-1484641.00,-1152460.00,-73563.00,-258619.00,-286.00,-2788631.00,-242.00,219.00,2535.00,-34.00,-2282.00,0.00,-193662.00,0.00,-2594675.00,-2461012.00,-133663.00,-271.00,1154747.00,1910758.00,13699395.00,7547.00,1030421.00,301139.00,68994.00,372429.00,287859.00,7255474.00,165451.00,3252974.00,1402180.00,50960.00,2383909.00,789629.00,563213.00,226416.00,4529829.00,69679.00,1929859.00,132895.00,2397396.00,86495.00,13699395.00,10623977.00,9340.00,1362516.00,49270.00,7683.00,1302936.00,2627.00,1433169.00,341972.00,1091197.00,1127226.00,402252.00,18862.00,152384.00,553728.00,6647324.00,2748428.00,48845.00,3748512.00,101539.00,44402.00,3075418.00
2009,2711988.00,1983177.00,497849.00,230962.00,2330086.00,1587740.00,648897.00,93449.00,381902.00,381902.00,-564.00,0.00,382466.00,382466.00,201002.00,47598.00,0.00,47598.00,-284346.00,12632.00,-21812.00,-73290.00,-201876.00,160447.00,-48403.00,554440.00,-226011.00,7695.00,-127274.00,-98744.00,-54788.00,-43956.00,369746.00,7196.00,194312.00,17795.00,150443.00,6301.00,172966.00,48230.00,-39826.00,669.00,3357.00,-43852.00,0.00,236580.00,59361.00,177219.00,-471802.00,86040.00,463.00,-14849.00,-543456.00,399250.00,63696.00,1651.00,310383.00,23520.00,534.00,28036.00,-339930.00,14500.00,354430.00,480868.00,219.00,49.00,64014.00,109.00,-136817.00,-26165.00,226887.00,416314.00,533255.00,32690.00,-149630.00,272.00,1381346.00,244.00,-21.00,286.00,345.00,-652.00,0.00,179335.00,0.00,1201645.00,1183171.00,18474.00,143.00,-900478.00,-857942.00,14362265.00,55364.00,746124.00,313771.00,47182.00,299188.00,85983.00,7479935.00,117157.00,3670597.00,1150004.00,58655.00,2483522.00,671885.00,489425.00,182460.00,5315889.00,76875.00,2657426.00,183380.00,2398208.00,93068.00,14362265.00,12144789.00,57814.00,1322669.00,50225.00,11385.00,1258432.00,2627.00,1849084.00,401333.00,1447751.00,621924.00,454792.00,19325.00,137535.00,10272.00,8248219.00,3995295.00,50496.00,4077369.00,125059.00,45079.00,2217476.00
2010,3115486.00,2364992.00,514051.00,236444.00,2669556.00,1852334.00,720019.00,97203.00,445930.00,445930.00,-678.00,-5.00,446613.00,446613.00,1087528.00,0.00,0.00,0.00,-27453.00,28319.00,1178.00,4851.00,-61801.00,639381.00,-10731.00,740353.00,-66559.00,13081.00,-36763.00,72164.00,92352.00,-20188.00,384804.00,-7110.00,130894.00,55169.00,205851.00,18632.00,819290.00,31.00,73364.00,510.00,1293.00,71561.00,0.00,124689.00,-2701.00,127390.00,222016.00,207936.00,323.00,23954.00,-10197.00,393148.00,79150.00,2334.00,301079.00,10585.00,6042.00,268238.00,-179865.00,-1490.00,178375.00,604259.00,-977.00,4175.00,132285.00,-4303.00,47874.00,12366.00,76348.00,468722.00,425144.00,23991.00,19588.00,54.00,797139.00,-1021.00,-25217.00,1085.00,-186.00,-26116.00,0.00,102508.00,0.00,720912.00,825801.00,-104889.00,-43.00,-192880.00,73868.00,16054052.00,54387.00,722846.00,342090.00,48360.00,308214.00,24182.00,8251601.00,102123.00,4458824.00,1095811.00,71736.00,2523107.00,744049.00,581777.00,162272.00,6169415.00,69765.00,3213464.00,262540.00,2623646.00,111754.00,16054052.00,13762708.00,56824.00,1370816.00,51820.00,12492.00,1303877.00,2627.00,2076281.00,398632.00,1677649.00,845430.00,663728.00,19648.00,161979.00,75.00,9362279.00,4900246.00,52830.00,4273559.00,135644.00,51078.00,2291344.00
2011,3485762.00,2686365.00,546005.00,253393.00,3004246.00,2106370.00,792643.00,105233.00,481517.00,481517.00,-1634.00,-2.00,483152.00,483152.00,1049713.00,0.00,0.00,0.00,343078.00,54996.00,26836.00,47304.00,213942.00,203585.00,742.00,355277.00,-41553.00,634.00,-111515.00,126479.00,92622.00,33857.00,359425.00,4594.00,48064.00,70699.00,236068.00,17146.00,633037.00,-1752.00,-197347.00,-450.00,18079.00,-214976.00,0.00,128213.00,-53501.00,181714.00,240719.00,96395.00,1353.00,43223.00,99748.00,459190.00,6950.00,2564.00,419060.00,30616.00,4014.00,416676.00,-70634.00,-4158.00,66476.00,167246.00,-168.00,105.00,293472.00,-156.00,190253.00,23928.00,79447.00,-126112.00,-59656.00,-5423.00,-61033.00,-51.00,-708958.00,-116.00,-22696.00,276.00,-491.00,-22481.00,0.00,54239.00,0.00,-740391.00,-647270.00,-93121.00,6.00,876204.00,1288722.00,17512965.00,54219.00,1066029.00,397086.00,75196.00,355623.00,238124.00,8748658.00,102709.00,5004354.00,1078186.00,72370.00,2491039.00,874628.00,678499.00,196129.00,6640582.00,74359.00,3397174.00,370368.00,2798681.00,128849.00,17512965.00,13932899.00,54956.00,1150773.00,51646.00,30080.00,1066420.00,2627.00,2258733.00,345131.00,1913602.00,1090749.00,764723.00,21001.00,205202.00,99823.00,9322590.00,4501438.00,55394.00,4599498.00,166260.00,55098.00,3580066.00
2012,3582059.00,2763844.00,563940.00,254275.00,3113897.00,2198182.00,801514.00,114201.00,468162.00,468162.00,6548.00,-52.00,461665.00,461665.00,861183.00,0.00,0.00,0.00,-30107.00,57141.00,11021.00,37750.00,-136019.00,495917.00,108.00,589747.00,-73607.00,-594.00,-19737.00,-59461.00,-7234.00,-52227.00,443201.00,22564.00,137040.00,79462.00,204135.00,11633.00,393886.00,37.00,-142974.00,391.00,4032.00,-147397.00,0.00,160843.00,27869.00,132974.00,-18928.00,36006.00,5600.00,30400.00,-90934.00,394219.00,103974.00,2437.00,339346.00,-51538.00,689.00,467297.00,-90.00,-5722.00,-5632.00,569126.00,58.00,-8.00,120217.00,-42.00,-22619.00,-3375.00,146253.00,448837.00,418779.00,45615.00,-15556.00,22.00,940169.00,57.00,-1800.00,-2314.00,49.00,465.00,0.00,146560.00,0.00,795415.00,716445.00,78970.00,-63.00,-371043.00,90532.00,18943226.00,54277.00,1035866.00,454227.00,86217.00,393365.00,102057.00,9364792.00,102775.00,5571482.00,1001204.00,71776.00,2617555.00,815167.00,671265.00,143902.00,7532620.00,96923.00,3952993.00,495445.00,2987259.00,140504.00,18943226.00,15272628.00,55050.00,1005999.00,49723.00,34161.00,919488.00,2627.00,2566136.00,373000.00,2193136.00,1077495.00,800729.00,30217.00,237660.00,8889.00,10512224.00,5321857.00,57831.00,5017814.00,114722.00,55724.00,3670598.00
2013,3620092.00,2768613.00,581284.00,270196.00,3233997.00,2276608.00,825545.00,131844.00,386096.00,386096.00,-839.00,0.00,386935.00,386935.00,1153336.00,0.00,0.00,0.00,414865.00,37713.00,13172.00,51794.00,312186.00,553566.00,-850.00,423194.00,-83616.00,4460.00,210378.00,29928.00,34140.00,-4212.00,143478.00,11252.00,-57551.00,-16343.00,206120.00,11499.00,763748.00,22.00,28010.00,317.00,-3438.00,31132.00,-1.00,206062.00,33951.00,172111.00,-76717.00,-108552.00,1396.00,39056.00,-8617.00,596566.00,287433.00,2212.00,323776.00,-16855.00,9805.00,389588.00,7338.00,4685.00,-2653.00,1008282.00,109.00,-30.00,-332018.00,-592.00,-202626.00,-33812.00,-94988.00,1336299.00,1308941.00,72940.00,-45581.00,3922.00,611286.00,112.00,-2629.00,-2616.00,27.00,-40.00,0.00,-122703.00,0.00,736628.00,863587.00,-126959.00,-122.00,396996.00,791269.00,21097492.00,54386.00,1450701.00,491940.00,99389.00,445129.00,414243.00,9586906.00,101333.00,5792616.00,883776.00,76236.00,2732945.00,845095.00,705405.00,139690.00,9012397.00,108175.00,5204383.00,552042.00,3147797.00,148007.00,21097492.00,16635625.00,55184.00,1031380.00,47424.00,30750.00,950580.00,2626.00,2649495.00,406951.00,2242544.00,1000778.00,692177.00,31613.00,276716.00,272.00,11845418.00,6472877.00,60043.00,5214631.00,97867.00,53370.00,4461867.00
2014,3774582.00,2884071.00,604001.00,286510.00,3372890.00,2375283.00,852088.00,145519.00,401692.00,401692.00,-444.00,-20.00,402156.00,402156.00,1180904.00,0.00,0.00,0.00,167866.00,66265.00,16548.00,54137.00,30916.00,532024.00,7684.00,318543.00,-8113.00,4327.00,209583.00,136499.00,105551.00,30948.00,330529.00,5071.00,116538.00,32703.00,176217.00,13986.00,815360.00,23.00,-121531.00,244.00,-3849.00,-117926.00,0.00,162851.00,-21391.00,184242.00,48157.00,15988.00,2329.00,28584.00,1256.00,731684.00,431626.00,2340.00,312289.00,-14571.00,-5824.00,365544.00,-36612.00,0.00,36612.00,695469.00,-3220.00,-184.00,53271.00,-1088.00,44875.00,23977.00,-14493.00,645871.00,600589.00,23006.00,22276.00,-269.00,-164943.00,-3266.00,-12859.00,-5890.00,-1737.00,-5232.00,0.00,54573.00,0.00,-202877.00,-133874.00,-69003.00,-514.00,860412.00,1225956.00,22973865.00,51166.00,1618383.00,558205.00,115937.00,499082.00,445159.00,10172201.00,107929.00,6156034.00,899640.00,80563.00,2928035.00,981594.00,810956.00,170638.00,9988797.00,113246.00,5921510.00,607751.00,3346290.00,161724.00,22973865.00,17286042.00,51941.00,896990.00,41778.00,25164.00,827422.00,2626.00,2866919.00,385560.00,2481359.00,1048935.00,708165.00,33942.00,305300.00,1528.00,12374225.00,6770629.00,62383.00,5457917.00,83296.00,47032.00,5687823.00
2015,3688592.00,2786284.00,607435.00,294874.00,3211183.00,2264314.00,813140.00,133730.00,477410.00,477410.00,-457.00,0.00,477867.00,477867.00,421114.00,0.00,0.00,0.00,-82509.00,38370.00,-7436.00,-22636.00,-90807.00,434487.00,-2488.00,48309.00,22068.00,6911.00,359687.00,-120050.00,-143391.00,23341.00,175017.00,1251.00,-186655.00,7138.00,353283.00,14169.00,341695.00,9.00,-247199.00,185.00,-6485.00,-240899.00,0.00,-43191.00,59256.00,-102447.00,97719.00,74881.00,662.00,22707.00,-531.00,536079.00,202573.00,2227.00,322494.00,8785.00,-1722.00,79419.00,-398448.00,0.00,398448.00,-619366.00,-2228.00,-347.00,-248015.00,-1373.00,-56269.00,-8169.00,-182204.00,-368522.00,-227599.00,-17777.00,-123147.00,-254.00,-390649.00,-2262.00,-4562.00,-2848.00,-1070.00,-644.00,0.00,-106434.00,0.00,-276815.00,-144971.00,-131844.00,-576.00,-228717.00,-149298.00,22775613.00,48938.00,1535527.00,596575.00,108501.00,476099.00,354352.00,10358673.00,104068.00,6148074.00,913539.00,87474.00,3105518.00,861544.00,667565.00,193979.00,9795292.00,114497.00,5507256.00,597112.00,3576427.00,175639.00,22775613.00,17237088.00,49688.00,645229.00,39115.00,17609.00,585879.00,2626.00,2717294.00,444816.00,2272478.00,1146654.00,783046.00,34604.00,328007.00,997.00,12633489.00,6828231.00,64610.00,5648567.00,92081.00,44734.00,5538525.00
