date,FL883140005.Q,FL313140003.Q,FL543140005.Q,FL883140005.Q,FL153040005.Q,FL763040005.Q,FL733040005.Q
1945:Q4,39560.00,3593.00,35967.00,39560.00,39560.00,0.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,43360.00,4758.00,38602.00,43360.00,43360.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,46510.00,5363.00,41147.00,46510.00,46510.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,49353.00,5576.00,43777.00,49353.00,49353.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,52104.00,5660.00,46444.00,52104.00,52104.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,55049.00,5969.00,49080.00,55049.00,55049.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1966:Q3,109349.00,7096.00,102253.00,109349.00,109349.00,0.00,0.00
1966:Q4,110570.00,7120.00,103450.00,110570.00,110570.00,0.00,0.00
1967:Q1,111835.00,7144.00,104691.00,111835.00,111835.00,0.00,0.00
1967:Q2,113072.00,7168.00,105904.00,113072.00,113072.00,0.00,0.00
1967:Q3,114314.00,7188.00,107126.00,114314.00,114314.00,0.00,0.00
1967:Q4,115535.00,7200.00,108335.00,115535.00,115535.00,0.00,0.00
1968:Q1,116737.00,7202.00,109535.00,116737.00,116737.00,0.00,0.00
1968:Q2,117921.00,7194.00,110727.00,117921.00,117921.00,0.00,0.00
1968:Q3,119110.00,7186.00,111924.00,119110.00,119110.00,0.00,0.00
1968:Q4,120324.00,7186.00,113138.00,120324.00,120324.00,0.00,0.00
1969:Q1,121561.00,7197.00,114364.00,121561.00,121561.00,0.00,0.00
1969:Q2,122814.00,7217.00,115597.00,122814.00,122814.00,0.00,0.00
1969:Q3,124083.00,7239.00,116844.00,124083.00,124083.00,0.00,0.00
1969:Q4,125362.00,7252.00,118110.00,125362.00,125362.00,0.00,0.00
1970:Q1,126703.00,7321.00,119382.00,126703.00,126703.00,0.00,0.00
1970:Q2,127979.00,7333.00,120646.00,127979.00,127979.00,0.00,0.00
1970:Q3,129295.00,7344.00,121951.00,129295.00,129295.00,0.00,0.00
1970:Q4,130703.00,7358.00,123345.00,130703.00,130703.00,0.00,0.00
1971:Q1,132202.00,7375.00,124827.00,132202.00,132202.00,0.00,0.00
1971:Q2,133786.00,7393.00,126393.00,133786.00,133786.00,0.00,0.00
1971:Q3,135417.00,7412.00,128005.00,135417.00,135417.00,0.00,0.00
1971:Q4,137055.00,7429.00,129626.00,137055.00,137055.00,0.00,0.00
1972:Q1,138724.00,7459.00,131265.00,138724.00,138724.00,0.00,0.00
1972:Q2,140430.00,7498.00,132932.00,140430.00,140430.00,0.00,0.00
1972:Q3,142166.00,7540.00,134626.00,142166.00,142166.00,0.00,0.00
1972:Q4,143930.00,7581.00,136349.00,143930.00,143930.00,0.00,0.00
1973:Q1,145734.00,7624.00,138110.00,145734.00,145734.00,0.00,0.00
1973:Q2,147589.00,7671.00,139918.00,147589.00,147589.00,0.00,0.00
1973:Q3,149452.00,7717.00,141735.00,149452.00,149452.00,0.00,0.00
1973:Q4,151278.00,7756.00,143522.00,151278.00,151278.00,0.00,0.00
1974:Q1,153061.00,7789.00,145272.00,153061.00,153061.00,0.00,0.00
1974:Q2,154793.00,7816.00,146977.00,154793.00,154793.00,0.00,0.00
1974:Q3,156548.00,7842.00,148706.00,156548.00,156548.00,0.00,0.00
1974:Q4,158399.00,7871.00,150528.00,158399.00,158399.00,0.00,0.00
1975:Q1,161446.00,9015.00,152431.00,161446.00,161446.00,0.00,0.00
1975:Q2,163796.00,9394.00,154402.00,163796.00,163796.00,0.00,0.00
1975:Q3,165855.00,9433.00,156422.00,165855.00,165855.00,0.00,0.00
1975:Q4,168626.00,10152.00,158474.00,168626.00,168626.00,0.00,0.00
1976:Q1,170615.00,10053.00,160562.00,170615.00,170615.00,0.00,0.00
1976:Q2,173075.00,10387.00,162688.00,173075.00,173075.00,0.00,0.00
1976:Q3,175297.00,10440.00,164857.00,175297.00,175297.00,0.00,0.00
1976:Q4,177824.00,10751.00,167073.00,177824.00,177824.00,0.00,0.00
1977:Q1,180124.00,10803.00,169321.00,180124.00,180124.00,0.00,0.00
1977:Q2,182557.00,10970.00,171587.00,182557.00,182557.00,0.00,0.00
1977:Q3,184993.00,11069.00,173924.00,184993.00,184993.00,0.00,0.00
1977:Q4,187808.00,11422.00,176386.00,187808.00,187808.00,0.00,0.00
1978:Q1,190464.00,11475.00,178989.00,190464.00,190464.00,0.00,0.00
1978:Q2,193533.00,11781.00,181752.00,193533.00,193533.00,0.00,0.00
1978:Q3,196398.00,11848.00,184550.00,196398.00,196398.00,0.00,0.00
1978:Q4,199369.00,12112.00,187257.00,199369.00,199369.00,0.00,0.00
1979:Q1,202002.00,12094.00,189908.00,202002.00,202002.00,0.00,0.00
1979:Q2,204897.00,12357.00,192540.00,204897.00,204897.00,0.00,0.00
1979:Q3,207494.00,12359.00,195135.00,207494.00,207494.00,0.00,0.00
1979:Q4,210305.00,12630.00,197675.00,210305.00,210305.00,0.00,0.00
1980:Q1,212764.00,12598.00,200166.00,212764.00,212764.00,0.00,0.00
1980:Q2,215454.00,12842.00,202612.00,215454.00,215454.00,0.00,0.00
1980:Q3,217872.00,12860.00,205012.00,217872.00,217872.00,0.00,0.00
1980:Q4,220559.00,13195.00,207364.00,220559.00,220559.00,0.00,0.00
1981:Q1,222852.00,13163.00,209689.00,222852.00,222852.00,0.00,0.00
1981:Q2,225503.00,13497.00,212006.00,225503.00,225503.00,0.00,0.00
1981:Q3,227711.00,13473.00,214238.00,227711.00,227711.00,0.00,0.00
1981:Q4,230141.00,13833.00,216308.00,230141.00,230141.00,0.00,0.00
1982:Q1,232060.00,13868.00,218192.00,232060.00,232060.00,0.00,0.00
1982:Q2,234096.00,14232.00,219864.00,234096.00,234096.00,0.00,0.00
1982:Q3,235743.00,14242.00,221501.00,235743.00,235743.00,0.00,0.00
1982:Q4,237958.00,14679.00,223279.00,237958.00,237958.00,0.00,0.00
1983:Q1,239874.00,14707.00,225167.00,239874.00,239874.00,0.00,0.00
1983:Q2,242244.00,15112.00,227132.00,242244.00,242244.00,0.00,0.00
1983:Q3,244290.00,15164.00,229126.00,244290.00,244290.00,0.00,0.00
1983:Q4,246737.00,15637.00,231100.00,246737.00,246737.00,0.00,0.00
1984:Q1,247998.00,15723.00,232275.00,247998.00,247998.00,0.00,0.00
1984:Q2,249521.00,16177.00,233344.00,249521.00,249521.00,0.00,0.00
1984:Q3,250880.00,16230.00,234650.00,250880.00,250880.00,0.00,0.00
1984:Q4,252787.00,16721.00,236066.00,252787.00,252787.00,0.00,0.00
1985:Q1,254900.00,16757.00,238143.00,254900.00,254900.00,0.00,0.00
1985:Q2,257747.00,17226.00,240521.00,257747.00,257747.00,0.00,0.00
1985:Q3,260564.00,17282.00,243282.00,260564.00,260564.00,0.00,0.00
1985:Q4,264336.00,17829.00,246507.00,264336.00,264336.00,0.00,0.00
1986:Q1,268266.00,17859.00,250407.00,268266.00,268266.00,0.00,0.00
1986:Q2,272862.00,18355.00,254507.00,272862.00,272862.00,0.00,0.00
1986:Q3,277435.00,18428.00,259007.00,277435.00,277435.00,0.00,0.00
1986:Q4,282599.00,18871.00,263728.00,282599.00,282599.00,0.00,0.00
1987:Q1,289604.00,18998.00,270606.00,289604.00,289604.00,0.00,0.00
1987:Q2,295990.00,19487.00,276503.00,295990.00,295990.00,0.00,0.00
1987:Q3,303304.00,20518.00,282786.00,303304.00,303304.00,0.00,0.00
1987:Q4,307540.00,20076.00,287464.00,307540.00,307540.00,0.00,0.00
1988:Q1,313734.00,20097.00,293637.00,313734.00,313734.00,0.00,0.00
1988:Q2,321119.00,20617.00,300502.00,321119.00,321119.00,0.00,0.00
1988:Q3,327380.00,20654.00,306726.00,327380.00,327380.00,0.00,0.00
1988:Q4,335651.00,21249.00,314402.00,335651.00,335651.00,0.00,0.00
1989:Q1,339269.00,21271.00,317998.00,339269.00,339269.00,0.00,0.00
1989:Q2,348423.00,21798.00,326625.00,348423.00,348423.00,0.00,0.00
1989:Q3,354913.00,21790.00,333123.00,354913.00,354913.00,0.00,0.00
1989:Q4,365250.00,22406.00,342844.00,365250.00,365250.00,0.00,0.00
1990:Q1,371410.00,22402.00,349008.00,371410.00,371410.00,0.00,0.00
1990:Q2,379242.00,22950.00,356292.00,379242.00,379242.00,0.00,0.00
1990:Q3,385267.00,22985.00,362282.00,385267.00,385267.00,0.00,0.00
1990:Q4,391738.00,23594.00,368144.00,391738.00,391738.00,0.00,0.00
1991:Q1,398407.00,23655.00,374752.00,398407.00,398407.00,0.00,0.00
1991:Q2,407093.00,24227.00,382866.00,407093.00,407093.00,0.00,0.00
1991:Q3,411776.00,24118.00,387658.00,411776.00,411776.00,0.00,0.00
1991:Q4,418577.00,24790.00,393787.00,418577.00,418577.00,0.00,0.00
1992:Q1,425606.00,24674.00,400932.00,425606.00,425606.00,0.00,0.00
1992:Q2,429996.00,25287.00,404709.00,429996.00,429996.00,0.00,0.00
1992:Q3,439404.00,25454.00,413950.00,439404.00,439404.00,0.00,0.00
1992:Q4,447710.00,26229.00,421481.00,447710.00,447710.00,0.00,0.00
1993:Q1,455971.00,26232.00,429739.00,455971.00,455971.00,0.00,0.00
1993:Q2,465216.00,26872.00,438344.00,465216.00,465216.00,0.00,0.00
1993:Q3,474964.00,26941.00,448023.00,474964.00,474964.00,0.00,0.00
1993:Q4,484813.00,27622.00,457191.00,484813.00,484813.00,0.00,0.00
1994:Q1,490866.00,27628.00,463238.00,490866.00,490866.00,0.00,0.00
1994:Q2,497466.00,28307.00,469159.00,497466.00,497466.00,0.00,0.00
1994:Q3,514825.00,28405.00,486420.00,514825.00,514825.00,0.00,0.00
1994:Q4,520348.00,28890.00,491458.00,520348.00,520348.00,0.00,0.00
1995:Q1,532694.00,28940.00,503754.00,532694.00,532694.00,0.00,0.00
1995:Q2,548003.00,29371.00,518632.00,548003.00,548003.00,0.00,0.00
1995:Q3,556706.00,29445.00,527261.00,556706.00,556706.00,0.00,0.00
1995:Q4,566188.00,29909.00,536279.00,566188.00,566188.00,0.00,0.00
1996:Q1,571294.00,30001.00,541293.00,571294.00,571294.00,0.00,0.00
1996:Q2,579766.00,30609.00,549157.00,579766.00,579766.00,0.00,0.00
1996:Q3,594591.00,30648.00,563943.00,594591.00,594591.00,0.00,0.00
1996:Q4,610646.00,30526.00,580120.00,610646.00,610646.00,0.00,0.00
1997:Q1,622596.00,31236.00,591360.00,622596.00,622596.00,0.00,0.00
1997:Q2,640193.00,31787.00,608406.00,640193.00,640193.00,0.00,0.00
1997:Q3,657230.00,31763.00,625467.00,657230.00,657230.00,0.00,0.00
1997:Q4,664963.00,32263.00,632700.00,664963.00,664963.00,0.00,0.00
1998:Q1,677161.00,32443.00,644718.00,677161.00,677161.00,0.00,0.00
1998:Q2,687898.00,33096.00,654802.00,687898.00,687898.00,0.00,0.00
1998:Q3,689579.00,33099.00,656480.00,689579.00,689579.00,0.00,0.00
1998:Q4,718262.00,33555.00,684707.00,718262.00,718262.00,0.00,0.00
1999:Q1,730987.00,33724.00,697263.00,730987.00,730987.00,0.00,0.00
1999:Q2,750133.00,34398.00,715735.00,750133.00,750133.00,0.00,0.00
1999:Q3,753025.00,34455.00,718570.00,753025.00,753025.00,0.00,0.00
1999:Q4,783859.00,34956.00,748903.00,783859.00,783859.00,0.00,0.00
2000:Q1,801724.00,35248.00,766476.00,801724.00,801724.00,0.00,0.00
2000:Q2,805122.00,35904.00,769218.00,805122.00,805122.00,0.00,0.00
2000:Q3,816933.00,35958.00,780975.00,816933.00,816933.00,0.00,0.00
2000:Q4,819098.00,36396.00,782702.00,819098.00,819098.00,0.00,0.00
2001:Q1,832495.00,36555.00,795940.00,832495.00,832495.00,0.00,0.00
2001:Q2,862376.00,37148.00,825228.00,862376.00,862376.00,0.00,0.00
2001:Q3,850494.00,37155.00,813339.00,850494.00,850494.00,0.00,0.00
2001:Q4,880004.00,37781.00,842223.00,880004.00,880004.00,0.00,0.00
2002:Q1,904851.00,37713.00,867138.00,904851.00,904851.00,0.00,0.00
2002:Q2,916150.00,38713.00,877437.00,916150.00,916150.00,0.00,0.00
2002:Q3,916976.00,38684.00,878292.00,916976.00,916976.00,0.00,0.00
2002:Q4,920915.00,39354.00,881561.00,920915.00,920915.00,0.00,0.00
2003:Q1,936154.00,39373.00,896781.00,936154.00,936154.00,0.00,0.00
2003:Q2,966855.00,39793.00,927062.00,966855.00,966855.00,0.00,0.00
2003:Q3,990822.00,39930.00,950892.00,990822.00,990822.00,0.00,0.00
2003:Q4,1013152.00,40480.00,972672.00,1013152.00,1013152.00,0.00,0.00
2004:Q1,1016866.00,40468.00,976398.00,1016866.00,1016866.00,0.00,0.00
2004:Q2,1028378.00,40940.00,987438.00,1028378.00,1028378.00,0.00,0.00
2004:Q3,1036786.00,40994.00,995792.00,1036786.00,1036786.00,0.00,0.00
2004:Q4,1060352.00,41566.00,1018786.00,1060352.00,1060352.00,0.00,0.00
2005:Q1,1059341.00,41567.00,1017774.00,1059341.00,1059341.00,0.00,0.00
2005:Q2,1063746.00,41985.00,1021761.00,1063746.00,1063746.00,0.00,0.00
2005:Q3,1078204.00,42055.00,1036149.00,1078204.00,1078204.00,0.00,0.00
2005:Q4,1082599.00,42702.00,1039897.00,1082599.00,1082599.00,0.00,0.00
2006:Q1,1111538.00,42778.00,1068760.00,1111538.00,1010841.00,85180.00,15517.00
2006:Q2,1110600.00,43333.00,1067267.00,1110600.00,1008792.00,87010.00,14798.00
2006:Q3,1132788.00,43470.00,1089318.00,1132788.00,1027851.00,89816.00,15121.00
2006:Q4,1163730.00,44204.00,1119526.00,1163730.00,1055178.00,93392.00,15160.00
2007:Q1,1171128.00,44565.00,1126563.00,1171128.00,1059391.00,96608.00,15129.00
2007:Q2,1190012.00,45132.00,1144880.00,1190012.00,1076425.00,97990.00,15597.00
2007:Q3,1199199.00,45116.00,1154083.00,1199199.00,1079149.00,100277.00,19773.00
2007:Q4,1201899.00,45769.00,1156130.00,1201899.00,1077158.00,104291.00,20450.00
2008:Q1,1189477.00,45682.00,1143795.00,1189477.00,1063985.00,105329.00,20163.00
2008:Q2,1195203.00,46170.00,1149033.00,1195203.00,1070140.00,108343.00,16720.00
2008:Q3,1195946.00,46054.00,1149892.00,1195946.00,1063746.00,114923.00,17277.00
2008:Q4,1180192.00,46747.00,1133445.00,1180192.00,1050163.00,110740.00,19289.00
2009:Q1,1186481.00,46689.00,1139792.00,1186481.00,1055032.00,110475.00,20974.00
2009:Q2,1205194.00,47204.00,1157990.00,1205194.00,1073408.00,111156.00,20630.00
2009:Q3,1226218.00,47239.00,1178979.00,1226218.00,1094398.00,110416.00,21404.00
2009:Q4,1242385.00,47845.00,1194540.00,1242385.00,1109537.00,111496.00,21352.00
2010:Q1,1249255.00,47750.00,1201505.00,1249255.00,1115109.00,112111.00,22035.00
2010:Q2,1237140.00,47927.00,1189213.00,1237140.00,1099967.00,112826.00,24347.00
2010:Q3,1265598.00,48092.00,1217506.00,1265598.00,1126551.00,114357.00,24690.00
2010:Q4,1278573.00,48707.00,1229866.00,1278573.00,1137483.00,115985.00,25105.00
2011:Q1,1300037.00,48777.00,1251260.00,1300037.00,1153338.00,121550.00,25149.00
2011:Q2,1314771.00,49209.00,1265562.00,1314771.00,1167209.00,122538.00,25024.00
2011:Q3,1321797.00,49498.00,1272299.00,1321797.00,1171739.00,123566.00,26492.00
2011:Q4,1352269.00,49970.00,1302299.00,1352269.00,1199263.00,125455.00,27552.00
2012:Q1,1365778.00,50076.00,1315702.00,1365778.00,1198336.00,133757.00,33685.00
2012:Q2,1342853.00,50436.00,1292417.00,1342853.00,1173144.00,134958.00,34751.00
2012:Q3,1354480.00,50381.00,1304099.00,1354480.00,1181835.00,136443.00,36202.00
2012:Q4,1359261.00,50257.00,1309004.00,1359261.00,1186353.00,138032.00,34876.00
2013:Q1,1373331.00,50298.00,1323033.00,1373331.00,1198003.00,139214.00,36114.00
2013:Q2,1378144.00,50481.00,1327663.00,1378144.00,1201356.00,140387.00,36401.00
2013:Q3,1396657.00,50357.00,1346300.00,1396657.00,1217525.00,141602.00,37530.00
2013:Q4,1416754.00,50487.00,1366267.00,1416754.00,1233043.00,143778.00,39933.00
2014:Q1,1428940.00,50467.00,1378473.00,1428940.00,1242635.00,145189.00,41116.00
2014:Q2,1447479.00,50605.00,1396874.00,1447479.00,1258371.00,146679.00,42429.00
2014:Q3,1456351.00,50911.00,1405440.00,1456351.00,1264801.00,147920.00,43630.00
2014:Q4,1477372.00,51257.00,1426115.00,1477372.00,1282760.00,149649.00,44963.00
2015:Q1,1496917.00,50736.00,1446181.00,1496917.00,1299959.00,150945.00,46013.00
2015:Q2,1503913.00,50967.00,1452946.00,1503913.00,1303799.00,153101.00,47013.00
2015:Q3,1500790.00,50822.00,1449968.00,1500790.00,1298267.00,154510.00,48013.00
2015:Q4,1515752.00,51149.00,1464603.00,1515752.00,1310567.00,156172.00,49013.00
2016:Q1,1531846.00,51050.00,1480796.00,1531846.00,1324278.00,157555.00,50013.00
2016:Q2,1547733.00,51245.00,1496488.00,1547733.00,1337743.00,158977.00,51013.00
