1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q1,11776.00,1004.00,1004.00,0.00,0.00,0.00,10772.00,11776.00,11776.00,0.00
1962:Q2,12076.00,1180.00,1180.00,0.00,0.00,0.00,10896.00,12076.00,12076.00,0.00
1962:Q3,12372.00,812.00,812.00,0.00,0.00,0.00,11560.00,12372.00,12372.00,0.00
1962:Q4,12528.00,976.00,976.00,0.00,0.00,0.00,11552.00,12528.00,12528.00,0.00
1963:Q1,12404.00,1088.00,1088.00,0.00,0.00,0.00,11316.00,12404.00,12404.00,0.00
1963:Q2,12692.00,1420.00,1420.00,0.00,0.00,0.00,11272.00,12692.00,12692.00,0.00
1963:Q3,13000.00,1036.00,1036.00,0.00,0.00,0.00,11964.00,13000.00,13000.00,0.00
1963:Q4,13184.00,1100.00,1100.00,0.00,0.00,0.00,12084.00,13184.00,13184.00,0.00
1964:Q1,13228.00,1420.00,1420.00,0.00,0.00,0.00,11808.00,13228.00,13228.00,0.00
1964:Q2,13424.00,1088.00,1088.00,0.00,0.00,0.00,12336.00,13424.00,13424.00,0.00
1964:Q3,13780.00,1440.00,1440.00,0.00,0.00,0.00,12340.00,13780.00,13780.00,0.00
1964:Q4,14000.00,1048.00,1048.00,0.00,0.00,0.00,12952.00,14000.00,14000.00,0.00
1965:Q1,13920.00,1368.00,1368.00,0.00,0.00,0.00,12552.00,13920.00,13920.00,0.00
1965:Q2,14328.00,1560.00,1560.00,0.00,0.00,0.00,12768.00,14328.00,14328.00,0.00
1965:Q3,14772.00,1516.00,1516.00,0.00,0.00,0.00,13256.00,14772.00,14772.00,0.00
1965:Q4,15092.00,816.00,816.00,0.00,0.00,0.00,14276.00,15092.00,15092.00,0.00
1966:Q1,15084.00,1272.00,1272.00,0.00,0.00,0.00,13812.00,15084.00,15084.00,0.00
1966:Q2,15576.00,1464.00,1464.00,0.00,0.00,0.00,14112.00,15576.00,15576.00,0.00
1966:Q3,16068.00,1264.00,1264.00,0.00,0.00,0.00,14804.00,16068.00,16068.00,0.00
1966:Q4,16376.00,1012.00,1012.00,0.00,0.00,0.00,15364.00,16376.00,16376.00,0.00
1967:Q1,16312.00,1040.00,1040.00,0.00,0.00,0.00,15272.00,16312.00,16312.00,0.00
1967:Q2,16800.00,1436.00,1436.00,0.00,0.00,0.00,15364.00,16800.00,16800.00,0.00
1967:Q3,17308.00,1072.00,1072.00,0.00,0.00,0.00,16236.00,17308.00,17308.00,0.00
1967:Q4,17652.00,1712.00,1712.00,0.00,0.00,0.00,15940.00,17652.00,17652.00,0.00
1968:Q1,17792.00,1456.00,1456.00,0.00,0.00,0.00,16336.00,17792.00,17792.00,0.00
1968:Q2,18096.00,1936.00,1936.00,0.00,0.00,0.00,16160.00,18096.00,18096.00,0.00
1968:Q3,18572.00,992.00,992.00,0.00,0.00,0.00,17580.00,18572.00,18572.00,0.00
1968:Q4,18864.00,960.00,960.00,0.00,0.00,0.00,17904.00,18864.00,18864.00,0.00
1969:Q1,18848.00,1816.00,1816.00,0.00,0.00,0.00,17032.00,18848.00,18848.00,0.00
1969:Q2,19684.00,1284.00,1284.00,0.00,0.00,0.00,18400.00,19684.00,19684.00,0.00
1969:Q3,20876.00,2288.00,2288.00,0.00,0.00,0.00,18588.00,20876.00,20876.00,0.00
1969:Q4,22168.00,688.00,688.00,0.00,0.00,0.00,21480.00,22168.00,22168.00,0.00
1970:Q1,23084.00,2776.00,2776.00,0.00,0.00,0.00,20308.00,23084.00,23084.00,0.00
1970:Q2,24732.00,1396.00,1396.00,0.00,0.00,0.00,23336.00,24732.00,24732.00,0.00
1970:Q3,26244.00,2696.00,2696.00,0.00,0.00,0.00,23548.00,26244.00,26244.00,0.00
1970:Q4,27244.00,2656.00,2656.00,0.00,0.00,0.00,24588.00,27244.00,27244.00,0.00
1971:Q1,27416.00,3696.00,3696.00,0.00,0.00,0.00,23720.00,27416.00,27416.00,0.00
1971:Q2,28328.00,1460.00,1460.00,0.00,0.00,0.00,26868.00,28328.00,28328.00,0.00
1971:Q3,29128.00,3288.00,3288.00,0.00,0.00,0.00,25840.00,29128.00,29128.00,0.00
1971:Q4,29532.00,2928.00,2928.00,0.00,0.00,0.00,26604.00,29532.00,29532.00,0.00
1972:Q1,29552.00,3440.00,3440.00,0.00,0.00,0.00,26112.00,29552.00,29552.00,0.00
1972:Q2,29864.00,-1376.00,-1376.00,0.00,0.00,0.00,31240.00,29864.00,29864.00,0.00
1972:Q3,30512.00,5512.00,5512.00,0.00,0.00,0.00,25000.00,30512.00,30512.00,0.00
1972:Q4,30840.00,4396.00,4396.00,0.00,0.00,0.00,26444.00,30840.00,30840.00,0.00
1973:Q1,30484.00,3112.00,3112.00,0.00,0.00,0.00,27372.00,30484.00,30484.00,0.00
1973:Q2,31112.00,-1428.00,-1428.00,0.00,0.00,0.00,32540.00,31112.00,31112.00,0.00
1973:Q3,31708.00,3956.00,3956.00,0.00,0.00,0.00,27752.00,31708.00,31708.00,0.00
1973:Q4,31916.00,2900.00,2900.00,0.00,0.00,0.00,29016.00,31916.00,31916.00,0.00
1974:Q1,31384.00,2256.00,2256.00,0.00,0.00,0.00,29128.00,31384.00,31384.00,0.00
1974:Q2,31856.00,2656.00,2656.00,0.00,0.00,0.00,29200.00,31856.00,31856.00,0.00
1974:Q3,32308.00,5144.00,5144.00,0.00,0.00,0.00,27164.00,32308.00,32308.00,0.00
1974:Q4,32400.00,900.00,900.00,0.00,0.00,0.00,31500.00,32400.00,32400.00,0.00
1975:Q1,31784.00,2156.00,2156.00,0.00,0.00,0.00,29628.00,31784.00,31784.00,0.00
1975:Q2,32252.00,5916.00,5916.00,0.00,0.00,0.00,26336.00,32252.00,32252.00,0.00
