1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q4,12665.00,633.00,12032.00,0.00,0.00,12665.00,3688.00,0.00,0.00,268.00,0.00,5054.00,0.00,3404.00,69.00,83.00,0.00,0.00,0.00,99.00,0.00
1955:Q1,12782.00,639.00,12143.00,0.00,0.00,12782.00,3776.00,0.00,0.00,295.00,0.00,5005.00,0.00,3436.00,73.00,88.00,0.00,0.00,0.00,109.00,0.00
1955:Q2,12989.00,649.00,12340.00,0.00,0.00,12989.00,3859.00,0.00,0.00,325.00,0.00,5053.00,0.00,3456.00,78.00,93.00,0.00,0.00,0.00,125.00,0.00
1955:Q3,13179.00,659.00,12520.00,0.00,0.00,13179.00,3940.00,0.00,0.00,337.00,0.00,5091.00,0.00,3480.00,83.00,98.00,0.00,0.00,0.00,150.00,0.00
1955:Q4,13490.00,675.00,12816.00,0.00,0.00,13490.00,4055.00,0.00,0.00,383.00,0.00,5157.00,0.00,3552.00,90.00,103.00,0.00,0.00,0.00,150.00,0.00
1956:Q1,13657.00,683.00,12974.00,0.00,0.00,13657.00,4149.00,0.00,0.00,398.00,0.00,5184.00,0.00,3579.00,98.00,109.00,1.00,0.00,0.00,139.00,0.00
1956:Q2,13827.00,691.00,13136.00,0.00,0.00,13827.00,4261.00,0.00,0.00,413.00,0.00,5195.00,0.00,3603.00,106.00,113.00,1.00,0.00,0.00,135.00,0.00
1956:Q3,13972.00,699.00,13273.00,0.00,0.00,13972.00,4361.00,0.00,0.00,417.00,0.00,5209.00,0.00,3610.00,115.00,119.00,0.00,0.00,0.00,141.00,0.00
1956:Q4,14064.00,703.00,13361.00,0.00,0.00,14064.00,4443.00,0.00,0.00,426.00,0.00,5200.00,0.00,3615.00,124.00,126.00,0.00,0.00,0.00,130.00,0.00
1957:Q1,14085.00,704.00,13381.00,0.00,0.00,14085.00,4519.00,0.00,0.00,444.00,0.00,5171.00,0.00,3578.00,132.00,135.00,0.00,0.00,0.00,106.00,0.00
1957:Q2,14182.00,709.00,13473.00,0.00,0.00,14182.00,4616.00,0.00,0.00,450.00,0.00,5185.00,0.00,3549.00,140.00,146.00,0.00,0.00,0.00,96.00,0.00
1957:Q3,14379.00,717.00,13614.00,48.00,0.00,14379.00,4772.00,0.00,0.00,452.00,0.00,5206.00,0.00,3547.00,149.00,158.00,0.00,0.00,0.00,95.00,0.00
1957:Q4,14611.00,726.00,13789.00,96.00,0.00,14611.00,4915.00,0.00,0.00,469.00,0.00,5255.00,0.00,3551.00,158.00,171.00,0.00,0.00,0.00,92.00,0.00
1958:Q1,15025.00,740.00,14063.00,222.00,0.00,15025.00,5168.00,0.00,0.00,485.00,1.00,5365.00,0.00,3550.00,168.00,185.00,0.00,0.00,0.00,103.00,0.00
1958:Q2,15517.00,759.00,14412.00,347.00,0.00,15517.00,5469.00,0.00,0.00,500.00,3.00,5505.00,0.00,3549.00,178.00,199.00,0.00,0.00,0.00,114.00,0.00
1958:Q3,16020.00,779.00,14802.00,439.00,0.00,16020.00,5735.00,0.00,0.00,513.00,5.00,5690.00,0.00,3548.00,189.00,215.00,0.00,0.00,0.00,125.00,0.00
1958:Q4,16565.00,802.00,15231.00,532.00,0.00,16565.00,5984.00,0.00,0.00,603.00,6.00,5854.00,0.00,3547.00,202.00,233.00,0.00,0.00,0.00,136.00,0.00
1959:Q1,17132.00,828.00,15723.00,581.00,0.00,17132.00,6204.00,0.00,0.00,698.00,7.00,5996.00,0.00,3611.00,217.00,251.00,0.00,0.00,0.00,148.00,0.00
1959:Q2,17679.00,852.00,16195.00,632.00,0.00,17679.00,6457.00,0.00,0.00,777.00,8.00,6138.00,0.00,3656.00,233.00,268.00,0.00,0.00,0.00,142.00,0.00
1959:Q3,18212.00,874.00,16599.00,739.00,0.00,18212.00,6727.00,0.00,0.00,851.00,9.00,6287.00,0.00,3648.00,250.00,288.00,0.00,0.00,0.00,152.00,0.00
1959:Q4,18700.00,893.00,16960.00,847.00,0.00,18700.00,6985.00,0.00,0.00,904.00,12.00,6392.00,0.00,3666.00,268.00,313.00,0.00,0.00,0.00,160.00,0.00
1960:Q1,19199.00,913.00,17339.00,947.00,0.00,19199.00,7227.00,0.00,0.00,939.00,14.00,6480.00,0.00,3741.00,289.00,345.00,0.00,0.00,0.00,164.00,0.00
1960:Q2,19702.00,933.00,17720.00,1049.00,0.00,19702.00,7438.00,0.00,0.00,971.00,15.00,6647.00,0.00,3784.00,311.00,382.00,0.00,0.00,0.00,154.00,0.00
1960:Q3,20293.00,957.00,18186.00,1150.00,0.00,20293.00,7662.00,0.00,0.00,996.00,18.00,6859.00,0.00,3840.00,333.00,421.00,1.00,0.00,0.00,163.00,0.00
1960:Q4,20786.00,977.00,18557.00,1252.00,0.00,20786.00,7867.00,0.00,0.00,1024.00,26.00,7034.00,0.00,3865.00,353.00,458.00,2.00,0.00,0.00,157.00,0.00
1961:Q1,21424.00,1006.00,19112.00,1306.00,0.00,21424.00,8080.00,0.00,0.00,1039.00,37.00,7272.00,0.00,3968.00,373.00,495.00,2.00,0.00,0.00,158.00,0.00
1961:Q2,21943.00,1029.00,19554.00,1360.00,0.00,21943.00,8245.00,0.00,0.00,1059.00,52.00,7500.00,0.00,3999.00,389.00,532.00,2.00,0.00,0.00,165.00,0.00
1961:Q3,22790.00,1069.00,20304.00,1417.00,0.00,22790.00,8481.00,0.00,0.00,1087.00,70.00,7901.00,0.00,4079.00,407.00,569.00,2.00,0.00,0.00,194.00,0.00
1961:Q4,23622.00,1107.00,21041.00,1474.00,0.00,23622.00,8765.00,0.00,0.00,1107.00,91.00,8153.00,0.00,4250.00,427.00,603.00,2.00,0.00,0.00,224.00,0.00
1962:Q1,24218.00,1133.00,21531.00,1554.00,0.00,24218.00,8806.00,0.00,0.00,1109.00,115.00,8580.00,0.00,4306.00,448.00,633.00,3.00,0.00,0.00,218.00,0.00
1962:Q2,24937.00,1165.00,22137.00,1635.00,0.00,24937.00,8901.00,0.00,0.00,1146.00,142.00,8992.00,0.00,4376.00,469.00,660.00,8.00,0.00,0.00,243.00,0.00
1962:Q3,25769.00,1204.00,22882.00,1683.00,0.00,25769.00,8991.00,0.00,0.00,1138.00,173.00,9547.00,0.00,4462.00,492.00,687.00,8.00,0.00,0.00,271.00,0.00
1962:Q4,26732.00,1250.00,23748.00,1734.00,0.00,26732.00,9072.00,0.00,0.00,1138.00,209.00,10046.00,0.00,4748.00,516.00,716.00,12.00,0.00,0.00,275.00,0.00
1963:Q1,27382.00,1281.00,24342.00,1759.00,0.00,27382.00,9099.00,0.00,0.00,1105.00,250.00,10525.00,0.00,4832.00,539.00,745.00,12.00,0.00,0.00,275.00,0.00
1963:Q2,28202.00,1321.00,25095.00,1786.00,0.00,28202.00,9098.00,0.00,0.00,1090.00,296.00,11100.00,0.00,4966.00,561.00,774.00,12.00,0.00,0.00,305.00,0.00
1963:Q3,28994.00,1360.00,25844.00,1790.00,0.00,28994.00,9041.00,0.00,0.00,1057.00,345.00,11685.00,0.00,5124.00,584.00,804.00,11.00,1.00,0.00,342.00,0.00
