1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q2,138408.00,6859.00,130312.00,601.00,637.00,138408.00,2166.00,10313.00,2034.00,9811.00,9879.00,65641.00,0.00,19292.00,435.00,3584.00,6557.00,5618.00,0.00,2188.00,890.00
1980:Q3,140218.00,6951.00,132062.00,572.00,633.00,140218.00,1985.00,10445.00,2138.00,9978.00,10323.00,66276.00,0.00,19338.00,359.00,3745.00,6643.00,5832.00,0.00,2287.00,869.00
1980:Q4,142526.00,7067.00,134279.00,550.00,630.00,142526.00,1890.00,10538.00,2333.00,10428.00,10689.00,67005.00,0.00,19514.00,315.00,3817.00,6744.00,5976.00,0.00,2428.00,849.00
1981:Q1,143948.00,7140.00,135658.00,520.00,630.00,143948.00,1802.00,10409.00,2658.00,10864.00,10822.00,67604.00,0.00,19527.00,303.00,3951.00,6724.00,6111.00,0.00,2337.00,836.00
1981:Q2,144952.00,7191.00,136637.00,493.00,631.00,144952.00,1641.00,10206.00,3015.00,11261.00,11205.00,67569.00,0.00,19495.00,311.00,4164.00,6705.00,6201.00,0.00,2356.00,823.00
1981:Q3,146039.00,7247.00,137694.00,465.00,633.00,146039.00,1543.00,9934.00,3453.00,10873.00,11601.00,68011.00,0.00,19441.00,309.00,4576.00,6717.00,6374.00,0.00,2397.00,810.00
1981:Q4,142377.00,7065.00,134234.00,441.00,637.00,142377.00,1057.00,9279.00,3958.00,11386.00,11938.00,68488.00,0.00,19283.00,303.00,4739.00,5482.00,3228.00,0.00,2439.00,797.00
1982:Q1,143640.00,7129.00,135452.00,415.00,644.00,143640.00,1280.00,8865.00,4275.00,11291.00,12310.00,69096.00,0.00,19209.00,215.00,5091.00,5459.00,3267.00,0.00,2457.00,825.00
1982:Q2,144694.00,7183.00,136473.00,383.00,655.00,144694.00,2229.00,7710.00,4570.00,11613.00,12512.00,69485.00,0.00,19000.00,192.00,5101.00,5434.00,3375.00,0.00,2620.00,853.00
1982:Q3,144215.00,7160.00,136035.00,353.00,667.00,144215.00,2179.00,7453.00,4808.00,10764.00,12887.00,69214.00,0.00,18977.00,183.00,5302.00,5396.00,3480.00,0.00,2691.00,881.00
1982:Q4,146112.00,7256.00,137860.00,322.00,674.00,146112.00,2138.00,7624.00,5004.00,11078.00,13290.00,69906.00,0.00,18856.00,361.00,5378.00,5361.00,3589.00,0.00,2617.00,910.00
1983:Q1,147020.00,7302.00,138732.00,307.00,679.00,147020.00,2542.00,7184.00,5168.00,10756.00,13588.00,70273.00,0.00,18864.00,396.00,5535.00,5351.00,3882.00,0.00,2561.00,920.00
1983:Q2,150761.00,7490.00,142314.00,275.00,682.00,150761.00,3627.00,6878.00,5373.00,10794.00,14185.00,72002.00,0.00,18778.00,431.00,5653.00,5389.00,4155.00,0.00,2566.00,930.00
1983:Q3,155784.00,7742.00,147098.00,261.00,683.00,155784.00,4737.00,6335.00,5676.00,10605.00,14807.00,75324.00,0.00,18857.00,412.00,5703.00,5293.00,4606.00,0.00,2489.00,940.00
1983:Q4,161229.00,8015.00,152291.00,241.00,682.00,161229.00,5740.00,5423.00,6061.00,10731.00,15686.00,78749.00,0.00,19107.00,404.00,5966.00,5284.00,4820.00,0.00,2309.00,949.00
1984:Q1,167158.00,8312.00,157932.00,204.00,710.00,167158.00,5741.00,5554.00,6608.00,10246.00,16652.00,82855.00,0.00,19061.00,661.00,5994.00,5336.00,4953.00,0.00,2442.00,1055.00
1984:Q2,174957.00,8701.00,165321.00,180.00,755.00,174957.00,5697.00,5806.00,7141.00,10240.00,18060.00,87478.00,0.00,18984.00,637.00,6013.00,6157.00,5074.00,0.00,2516.00,1154.00
1984:Q3,180374.00,8971.00,170453.00,152.00,798.00,180374.00,5562.00,5854.00,7637.00,9864.00,19259.00,91162.00,0.00,18769.00,686.00,6024.00,6281.00,5501.00,0.00,2516.00,1259.00
1984:Q4,186145.00,9259.00,175927.00,141.00,818.00,186145.00,5359.00,6029.00,8108.00,10137.00,20187.00,94769.00,0.00,18938.00,721.00,6035.00,6510.00,5518.00,0.00,2490.00,1344.00
1985:Q1,182816.00,9094.00,172785.00,116.00,821.00,182816.00,1262.00,1262.00,8415.00,9898.00,20700.00,97969.00,0.00,19003.00,1093.00,6012.00,6752.00,6421.00,0.00,2648.00,1381.00
1985:Q2,189290.00,9418.00,178951.00,96.00,825.00,189290.00,1216.00,1216.00,8668.00,10120.00,21331.00,102228.00,0.00,19061.00,1250.00,6039.00,7277.00,6768.00,0.00,2680.00,1436.00
1985:Q3,194964.00,9703.00,184348.00,83.00,830.00,194964.00,1262.00,1262.00,8786.00,10041.00,22135.00,106233.00,0.00,19074.00,1241.00,6024.00,7811.00,6926.00,0.00,2675.00,1494.00
1985:Q4,205915.00,10250.00,194757.00,72.00,836.00,205915.00,1431.00,1431.00,8799.00,10160.00,23367.00,112333.00,0.00,19894.00,2355.00,6016.00,8457.00,6998.00,0.00,2915.00,1759.00
1986:Q1,212974.00,10602.00,201431.00,61.00,880.00,212974.00,1335.00,1336.00,8985.00,10356.00,25334.00,116167.00,0.00,20032.00,1842.00,6054.00,7872.00,8991.00,0.00,2842.00,1828.00
1986:Q2,220862.00,10993.00,208862.00,52.00,955.00,220862.00,1611.00,1611.00,9194.00,10422.00,27072.00,118499.00,0.00,20241.00,2486.00,6044.00,9139.00,9103.00,0.00,3519.00,1921.00
1986:Q3,228838.00,11392.00,216455.00,40.00,951.00,228838.00,1691.00,1692.00,9461.00,10619.00,28519.00,121876.00,0.00,20802.00,2702.00,6047.00,9440.00,10156.00,0.00,3881.00,1952.00
1986:Q4,239394.00,11922.00,226515.00,36.00,921.00,239394.00,2427.00,2428.00,9777.00,11111.00,30394.00,127226.00,0.00,20952.00,2689.00,6035.00,8731.00,11865.00,165.00,3833.00,1761.00
1987:Q1,245492.00,12226.00,232288.00,27.00,951.00,245492.00,600.00,4502.00,9580.00,11081.00,33597.00,130552.00,0.00,20934.00,1655.00,5885.00,8200.00,13704.00,174.00,3195.00,1833.00
1987:Q2,250241.00,12463.00,236801.00,25.00,952.00,250241.00,150.00,5246.00,9269.00,11167.00,36741.00,130087.00,0.00,21663.00,1516.00,5871.00,8476.00,14854.00,193.00,3183.00,1825.00
1987:Q3,254693.00,12685.00,241022.00,22.00,964.00,254693.00,389.00,4915.00,8981.00,11214.00,37256.00,132878.00,0.00,21968.00,1675.00,5793.00,8353.00,15858.00,383.00,3086.00,1944.00
1987:Q4,258355.00,12865.00,244443.00,21.00,1026.00,258355.00,0.00,4444.00,8848.00,11480.00,37389.00,135701.00,0.00,22524.00,1593.00,5679.00,8425.00,16378.00,529.00,3274.00,2091.00
1988:Q1,268334.00,13365.00,253926.00,21.00,1022.00,268334.00,0.00,6000.00,13128.00,11576.00,37598.00,137067.00,0.00,22702.00,1863.00,5622.00,8596.00,17728.00,782.00,3491.00,2181.00
1988:Q2,265969.00,13246.00,251673.00,22.00,1028.00,265969.00,0.00,8473.00,4567.00,11340.00,37799.00,138662.00,0.00,23195.00,2292.00,5591.00,8909.00,18526.00,791.00,3631.00,2193.00
1988:Q3,269276.00,13412.00,254824.00,20.00,1020.00,269276.00,0.00,1792.00,11029.00,11596.00,38014.00,138707.00,0.00,23728.00,2549.00,5551.00,9156.00,20035.00,846.00,3917.00,2356.00
1988:Q4,274544.00,13671.00,259741.00,16.00,1116.00,274544.00,0.00,1336.00,11377.00,11814.00,38482.00,140264.00,0.00,24560.00,2685.00,5507.00,9528.00,21607.00,967.00,3811.00,2606.00
1989:Q1,279826.00,13934.00,264745.00,15.00,1132.00,279826.00,0.00,3614.00,9134.00,12140.00,38842.00,142961.00,0.00,25001.00,2682.00,5470.00,9843.00,23059.00,934.00,3620.00,2526.00
1989:Q2,284991.00,14192.00,269646.00,14.00,1139.00,284991.00,0.00,3834.00,8824.00,12375.00,39081.00,144298.00,0.00,25548.00,3380.00,5410.00,10334.00,24632.00,919.00,3849.00,2506.00
1989:Q3,285815.00,14231.00,270390.00,13.00,1181.00,285815.00,0.00,3447.00,8491.00,12039.00,39140.00,143884.00,0.00,26127.00,3564.00,5317.00,10876.00,25557.00,954.00,3959.00,2460.00
1989:Q4,287001.00,14288.00,271476.00,13.00,1224.00,287001.00,0.00,3351.00,8177.00,12266.00,39697.00,142206.00,0.00,26907.00,3995.00,5244.00,12029.00,25690.00,953.00,3976.00,2510.00
1990:Q1,290563.00,14464.00,274818.00,14.00,1267.00,290563.00,0.00,5358.00,9130.00,13970.00,40035.00,140587.00,0.00,27555.00,1165.00,5137.00,12104.00,26789.00,992.00,5254.00,2487.00
1990:Q2,284579.00,14163.00,269095.00,11.00,1310.00,284579.00,0.00,1954.00,9089.00,16733.00,40312.00,134444.00,0.00,28027.00,1209.00,5135.00,12087.00,27123.00,959.00,5028.00,2478.00
1990:Q3,286904.00,14275.00,271232.00,10.00,1386.00,286904.00,0.00,1918.00,9032.00,21943.00,40448.00,130861.00,0.00,28100.00,1231.00,5070.00,12693.00,26933.00,914.00,5290.00,2471.00
1990:Q4,287424.00,14299.00,271686.00,10.00,1429.00,287424.00,0.00,1629.00,8957.00,22911.00,40710.00,127373.00,0.00,28979.00,1245.00,5061.00,13219.00,28727.00,868.00,5442.00,2303.00
1991:Q1,288957.00,14375.00,273119.00,11.00,1452.00,288957.00,0.00,1312.00,8846.00,27323.00,41103.00,125770.00,0.00,29493.00,1169.00,5031.00,13111.00,26949.00,951.00,5737.00,2162.00
1991:Q2,290203.00,14436.00,274278.00,10.00,1479.00,290203.00,0.00,1399.00,8704.00,31018.00,41191.00,122993.00,0.00,30006.00,1069.00,4963.00,13388.00,27182.00,923.00,5205.00,2162.00
1991:Q3,282656.00,14057.00,267078.00,10.00,1511.00,282656.00,0.00,387.00,8492.00,30849.00,41530.00,116673.00,0.00,29962.00,1000.00,4885.00,13489.00,25932.00,2138.00,5157.00,2162.00
1991:Q4,284108.00,14126.00,268390.00,10.00,1582.00,284108.00,0.00,596.00,8401.00,31856.00,41676.00,114967.00,0.00,29342.00,911.00,4833.00,14198.00,26102.00,3780.00,5284.00,2162.00
1992:Q1,283928.00,14113.00,268151.00,10.00,1653.00,283928.00,0.00,490.00,8407.00,33614.00,41796.00,112283.00,0.00,29092.00,862.00,4668.00,14702.00,25631.00,4918.00,5350.00,2115.00
1992:Q2,280081.00,13921.00,264492.00,8.00,1660.00,280081.00,0.00,410.00,8393.00,30749.00,42128.00,110575.00,0.00,28667.00,804.00,4464.00,14958.00,25000.00,6371.00,5320.00,2242.00
1992:Q3,276591.00,13744.00,261143.00,8.00,1696.00,276591.00,0.00,406.00,8395.00,28834.00,42197.00,109973.00,0.00,28037.00,771.00,4277.00,15284.00,24409.00,6295.00,5643.00,2070.00
1992:Q4,270935.00,13458.00,255702.00,8.00,1767.00,270935.00,0.00,428.00,8356.00,27624.00,42386.00,105960.00,0.00,27221.00,727.00,4150.00,15828.00,23831.00,6577.00,5673.00,2175.00
1993:Q1,268831.00,13347.00,253595.00,8.00,1881.00,268831.00,0.00,381.00,7805.00,26123.00,42515.00,106257.00,0.00,27089.00,733.00,4020.00,16160.00,23202.00,6783.00,5655.00,2108.00
1993:Q2,265988.00,13199.00,250788.00,8.00,1993.00,265988.00,0.00,464.00,7633.00,24799.00,42702.00,104642.00,0.00,26822.00,717.00,4077.00,16378.00,22552.00,7545.00,5665.00,1993.00
1993:Q3,264685.00,13109.00,249068.00,7.00,2501.00,264685.00,0.00,546.00,7513.00,23785.00,42818.00,104355.00,0.00,26294.00,741.00,4045.00,16892.00,22329.00,7820.00,5580.00,1967.00
1993:Q4,267689.00,13237.00,251495.00,6.00,2952.00,267689.00,0.00,498.00,7254.00,24550.00,42773.00,104370.00,0.00,27545.00,724.00,4081.00,17517.00,22458.00,8373.00,5652.00,1894.00
1994:Q1,267548.00,13189.00,250591.00,6.00,3762.00,267548.00,0.00,677.00,6915.00,24024.00,42916.00,104030.00,0.00,27561.00,752.00,4125.00,17963.00,22308.00,8480.00,5643.00,2154.00
1994:Q2,268641.00,13193.00,250658.00,6.00,4785.00,268641.00,0.00,748.00,7515.00,23421.00,43017.00,103343.00,0.00,28176.00,803.00,4145.00,18163.00,22293.00,9073.00,5683.00,2262.00
1994:Q3,268475.00,13135.00,249559.00,6.00,5775.00,268475.00,0.00,790.00,7600.00,24104.00,43214.00,102333.00,0.00,27705.00,853.00,4224.00,18245.00,22050.00,9329.00,5772.00,2256.00
1994:Q4,268212.00,13101.00,248925.00,6.00,6180.00,268212.00,0.00,866.00,7901.00,21984.00,43507.00,102226.00,0.00,27843.00,1019.00,4273.00,18376.00,22442.00,9820.00,5824.00,2131.00
1995:Q1,267138.00,13034.00,247641.00,6.00,6457.00,267138.00,0.00,668.00,7643.00,21398.00,43738.00,102455.00,0.00,27834.00,1018.00,4324.00,18170.00,22208.00,9780.00,5974.00,1927.00
1995:Q2,269246.00,13107.00,249028.00,6.00,7105.00,269246.00,0.00,471.00,7526.00,19847.00,43922.00,104137.00,0.00,27870.00,1017.00,4385.00,18127.00,23858.00,10122.00,6116.00,1848.00
1995:Q3,270358.00,13144.00,249733.00,6.00,7475.00,270358.00,0.00,273.00,7339.00,18317.00,44010.00,105124.00,0.00,28164.00,1015.00,4440.00,18288.00,24678.00,10470.00,6481.00,1759.00
1995:Q4,273850.00,13295.00,252612.00,6.00,7937.00,273850.00,0.00,79.00,7220.00,17669.00,44148.00,104508.00,0.00,28714.00,1014.00,4497.00,18466.00,26893.00,11924.00,7166.00,1552.00
1996:Q1,274711.00,13315.00,252991.00,6.00,8399.00,274711.00,0.00,530.00,7088.00,16946.00,44372.00,103956.00,0.00,29172.00,1013.00,4556.00,18639.00,27803.00,12176.00,7239.00,1221.00
1996:Q2,277944.00,13445.00,255447.00,5.00,9047.00,277944.00,0.00,581.00,6902.00,16791.00,44606.00,104790.00,0.00,29607.00,1012.00,4614.00,18234.00,28938.00,12825.00,8003.00,1041.00
1996:Q3,280374.00,13528.00,257023.00,4.00,9819.00,280374.00,0.00,675.00,6839.00,15856.00,45031.00,106477.00,0.00,28776.00,1011.00,4674.00,17991.00,30705.00,13782.00,7549.00,1008.00
1996:Q4,286110.00,13779.00,261799.00,2.00,10530.00,286110.00,0.00,768.00,6768.00,14817.00,45914.00,107021.00,0.00,30750.00,1016.00,4736.00,17702.00,32499.00,15721.00,7211.00,1187.00
1997:Q1,286380.00,13724.00,260757.00,0.00,11899.00,286380.00,0.00,942.00,6536.00,14115.00,45870.00,107089.00,0.00,30057.00,1023.00,4798.00,17330.00,33749.00,15684.00,7990.00,1197.00
1997:Q2,290412.00,13859.00,263317.00,0.00,13236.00,290412.00,0.00,1092.00,6446.00,13956.00,46060.00,108119.00,0.00,30685.00,1031.00,4860.00,16792.00,35167.00,16811.00,7898.00,1495.00
1997:Q3,292593.00,13940.00,264865.00,0.00,13788.00,292593.00,0.00,1242.00,6320.00,14013.00,46164.00,108493.00,0.00,30999.00,1040.00,4923.00,16492.00,36372.00,17409.00,7453.00,1673.00
1997:Q4,298013.00,14128.00,268436.00,0.00,15449.00,298013.00,0.00,1392.00,6223.00,13904.00,46488.00,109213.00,0.00,30402.00,987.00,4985.00,16215.00,37794.00,20313.00,8013.00,2084.00
1998:Q1,304620.00,14421.00,273999.00,0.00,16200.00,304620.00,0.00,1315.00,6884.00,13909.00,46696.00,111132.00,0.00,30394.00,975.00,5228.00,15439.00,38995.00,23844.00,7650.00,2159.00
1998:Q2,311815.00,14699.00,279278.00,0.00,17838.00,311815.00,0.00,1238.00,7545.00,13842.00,46910.00,111443.00,0.00,30618.00,964.00,5791.00,15226.00,40393.00,27857.00,7762.00,2226.00
1998:Q3,320219.00,14956.00,284157.00,0.00,21106.00,320219.00,0.00,1159.00,8207.00,13684.00,49242.00,110305.00,0.00,30565.00,954.00,6020.00,15412.00,44580.00,29894.00,7810.00,2387.00
1998:Q4,332291.00,15433.00,293228.00,0.00,23630.00,332291.00,0.00,1080.00,8868.00,13634.00,50943.00,111670.00,0.00,31757.00,875.00,6275.00,16175.00,48255.00,33100.00,7522.00,2137.00
1999:Q1,342056.00,15838.00,300928.00,0.00,25290.00,342056.00,0.00,1038.00,8661.00,13617.00,51391.00,115017.00,0.00,31515.00,935.00,6382.00,17149.00,50636.00,36077.00,7608.00,2030.00
1999:Q2,348483.00,16210.00,307995.00,0.00,24278.00,348483.00,0.00,996.00,8453.00,13638.00,51553.00,115773.00,0.00,31800.00,995.00,6711.00,18693.00,52722.00,37734.00,7483.00,1932.00
1999:Q3,359089.00,16702.00,317336.00,0.00,25051.00,359089.00,0.00,954.00,8246.00,13652.00,51691.00,121470.00,0.00,31998.00,1055.00,6679.00,19863.00,54814.00,39306.00,7530.00,1831.00
1999:Q4,372873.00,17916.00,340396.00,0.00,14561.00,372873.00,0.00,912.00,8039.00,13631.00,52722.00,126974.00,0.00,32818.00,1116.00,7192.00,20497.00,57478.00,41626.00,7560.00,2308.00
2000:Q1,379676.00,18217.00,346118.00,0.00,15341.00,379676.00,0.00,895.00,7982.00,13698.00,52876.00,130459.00,0.00,32655.00,1123.00,6794.00,21749.00,59102.00,42613.00,7612.00,2118.00
2000:Q2,388103.00,18607.00,353534.00,0.00,15962.00,388103.00,0.00,878.00,7925.00,13756.00,52576.00,134972.00,0.00,33150.00,1125.00,6955.00,22308.00,61029.00,43749.00,7595.00,2085.00
2000:Q3,393429.00,18843.00,358018.00,0.00,16568.00,393429.00,0.00,861.00,7867.00,13818.00,52636.00,137235.00,0.00,33478.00,1133.00,6138.00,23063.00,62982.00,44505.00,7739.00,1974.00
2000:Q4,402204.00,19229.00,365352.00,0.00,17623.00,402204.00,0.00,844.00,7810.00,13941.00,52214.00,139061.00,0.00,33681.00,1133.00,6237.00,24951.00,65989.00,47042.00,7572.00,1729.00
2001:Q1,406998.00,19453.00,369612.00,0.00,17933.00,406998.00,0.00,859.00,8105.00,13332.00,51979.00,142678.00,0.00,33557.00,882.00,6194.00,26763.00,69264.00,44194.00,7470.00,1721.00
2001:Q2,418323.00,20009.00,380162.00,0.00,18153.00,418323.00,0.00,874.00,8399.00,13376.00,52434.00,143714.00,0.00,33856.00,1085.00,5823.00,28781.00,74062.00,46747.00,7429.00,1743.00
2001:Q3,427747.00,20514.00,389775.00,0.00,17458.00,427747.00,0.00,890.00,8693.00,13619.00,51581.00,148355.00,0.00,33885.00,1275.00,5964.00,30632.00,77308.00,46439.00,7362.00,1744.00
2001:Q4,443816.00,21235.00,403459.00,0.00,19122.00,443816.00,0.00,905.00,8987.00,13746.00,51883.00,149420.00,0.00,35631.00,1435.00,6005.00,33178.00,81610.00,52479.00,7093.00,1444.00
2002:Q1,450032.00,21505.00,408594.00,0.00,19933.00,450032.00,0.00,915.00,8932.00,13813.00,51286.00,151841.00,0.00,35671.00,1578.00,5995.00,35011.00,84468.00,52919.00,6238.00,1365.00
2002:Q2,460124.00,22013.00,418238.00,0.00,19874.00,460124.00,0.00,925.00,8877.00,13914.00,50645.00,156708.00,0.00,35818.00,1697.00,5967.00,36530.00,86628.00,54943.00,6038.00,1434.00
2002:Q3,467389.00,22349.00,424639.00,0.00,20401.00,467389.00,0.00,936.00,8822.00,13409.00,49751.00,159559.00,0.00,35921.00,1809.00,6278.00,38572.00,88471.00,56552.00,5923.00,1386.00
2002:Q4,483909.00,23155.00,439936.00,0.00,20818.00,483909.00,0.00,946.00,8767.00,14270.00,49749.00,162793.00,0.00,36816.00,1895.00,6329.00,41684.00,94539.00,59103.00,5721.00,1297.00
2003:Q1,495108.00,23725.00,450782.00,0.00,20601.00,495108.00,0.00,956.00,8777.00,14246.00,49717.00,166467.00,0.00,36958.00,1967.00,6389.00,44829.00,98218.00,59714.00,5636.00,1234.00
2003:Q2,513358.00,24620.00,467782.00,0.00,20956.00,513358.00,0.00,966.00,8788.00,14410.00,51252.00,172660.00,0.00,37631.00,2006.00,6839.00,48496.00,101838.00,61551.00,5631.00,1290.00
2003:Q3,529505.00,25434.00,483246.00,0.00,20825.00,529505.00,0.00,976.00,8798.00,14413.00,50937.00,177457.00,0.00,38141.00,2074.00,6436.00,49760.00,109493.00,64104.00,5623.00,1293.00
2003:Q4,555827.00,26725.00,507777.00,0.00,21325.00,555827.00,0.00,986.00,8808.00,14504.00,51667.00,182431.00,0.00,38556.00,2150.00,6120.00,68197.00,108737.00,66414.00,5728.00,1529.00
2004:Q1,566239.00,27174.00,516297.00,0.00,22768.00,566239.00,0.00,996.00,9206.00,14739.00,52338.00,188863.00,0.00,38685.00,2184.00,5717.00,71827.00,104195.00,70292.00,5676.00,1521.00
2004:Q2,583820.00,28004.00,532068.00,0.00,23748.00,583820.00,0.00,1006.00,9605.00,14815.00,54821.00,194415.00,0.00,38933.00,2176.00,5327.00,75523.00,107317.00,72528.00,5657.00,1697.00
2004:Q3,595865.00,28576.00,542950.00,0.00,24339.00,595865.00,0.00,1016.00,10003.00,14738.00,55752.00,200327.00,0.00,39464.00,2192.00,5148.00,79560.00,106391.00,73968.00,5699.00,1607.00
2004:Q4,609300.00,29220.00,555176.00,0.00,24904.00,609300.00,0.00,1026.00,10401.00,14952.00,57454.00,206255.00,0.00,40453.00,2155.00,4502.00,82451.00,105734.00,76689.00,5589.00,1639.00
2005:Q1,620087.00,29760.00,565445.00,0.00,24882.00,620087.00,0.00,1032.00,10869.00,15128.00,58430.00,212456.00,0.00,40705.00,2138.00,4081.00,84797.00,104485.00,78715.00,5569.00,1682.00
2005:Q2,635783.00,30551.00,580464.00,0.00,24768.00,635783.00,0.00,1039.00,11337.00,14958.00,59243.00,223251.00,0.00,41213.00,2135.00,3496.00,86183.00,103221.00,82526.00,5545.00,1636.00
2005:Q3,650478.00,31255.00,593847.00,0.00,25376.00,650478.00,0.00,1045.00,11805.00,14846.00,62063.00,231257.00,0.00,41585.00,2131.00,4269.00,88173.00,102090.00,83864.00,5540.00,1810.00
2005:Q4,670079.00,32266.00,613045.00,0.00,24768.00,670079.00,0.00,1051.00,12272.00,14944.00,63659.00,237054.00,0.00,42440.00,2113.00,4031.00,92960.00,101282.00,90718.00,5614.00,1941.00
2006:Q1,682035.00,32859.00,624312.00,0.00,24865.00,682035.00,0.00,1019.00,12137.00,14683.00,64047.00,244672.00,0.00,43130.00,2092.00,3923.00,96216.00,98475.00,93710.00,5614.00,2317.00
2006:Q2,689290.00,33233.00,631434.00,0.00,24623.00,689290.00,0.00,987.00,12002.00,14639.00,65598.00,248110.00,0.00,44466.00,2077.00,3976.00,98847.00,95279.00,95931.00,5144.00,2234.00
2006:Q3,698126.00,33624.00,638852.00,0.00,25650.00,698126.00,0.00,954.00,11867.00,14682.00,68305.00,251430.00,0.00,45421.00,2059.00,4284.00,101212.00,92041.00,98217.00,5043.00,2611.00
2006:Q4,712208.00,34356.00,652769.00,0.00,25083.00,712208.00,0.00,922.00,11732.00,14773.00,70168.00,253347.00,0.00,46078.00,2015.00,4601.00,105364.00,88816.00,104226.00,5140.00,5026.00
2007:Q1,729062.00,35209.00,668979.00,0.00,24874.00,729062.00,0.00,850.00,12383.00,14678.00,72726.00,253324.00,0.00,47035.00,2008.00,4924.00,111275.00,87035.00,112344.00,4834.00,5646.00
2007:Q2,746256.00,36099.00,685872.00,0.00,24285.00,746256.00,0.00,777.00,13034.00,14747.00,74408.00,254218.00,0.00,48502.00,2045.00,5255.00,119386.00,85762.00,117494.00,4781.00,5847.00
2007:Q3,768254.00,37282.00,708358.00,0.00,22614.00,768254.00,0.00,704.00,13686.00,14476.00,76176.00,259738.00,0.00,49846.00,2109.00,5225.00,126227.00,85906.00,123944.00,4792.00,5425.00
2007:Q4,798919.00,38809.00,737362.00,0.00,22749.00,798919.00,0.00,631.00,14337.00,14429.00,77559.00,261112.00,0.00,51837.00,2109.00,5193.00,147674.00,88116.00,125630.00,5086.00,5206.00
2008:Q1,814965.00,39549.00,751439.00,0.00,23977.00,814965.00,0.00,608.00,14077.00,14312.00,78210.00,267530.00,0.00,51900.00,2343.00,5168.00,159245.00,87834.00,123005.00,5540.00,5193.00
2008:Q2,831413.00,40374.00,767105.00,0.00,23934.00,831413.00,0.00,578.00,13817.00,14316.00,77474.00,273069.00,0.00,51950.00,2435.00,5134.00,169605.00,90388.00,121616.00,5959.00,5072.00
2008:Q3,842712.00,40912.00,777321.00,0.00,24480.00,842712.00,0.00,548.00,13557.00,14305.00,75627.00,275426.00,4491.00,52000.00,2696.00,4730.00,181157.00,88438.00,119348.00,5980.00,4409.00
2008:Q4,852346.00,41364.00,785909.00,0.00,25073.00,852346.00,0.00,518.00,13297.00,14531.00,74943.00,275981.00,4336.00,51755.00,2405.00,4347.00,190189.00,92765.00,117722.00,5255.00,4302.00
2009:Q1,855738.00,41494.00,788387.00,0.00,25857.00,855738.00,0.00,503.00,13191.00,14421.00,73707.00,278146.00,4339.00,51182.00,2319.00,3971.00,194934.00,93818.00,115995.00,5080.00,4132.00
2009:Q2,861358.00,41697.00,792243.00,0.00,27418.00,861358.00,0.00,487.00,13086.00,14387.00,74814.00,278211.00,4422.00,50651.00,2414.00,3589.00,199127.00,97547.00,113919.00,4991.00,3713.00
2009:Q3,864387.00,41846.00,795065.00,0.00,27477.00,864387.00,0.00,471.00,12980.00,14399.00,76799.00,275848.00,4671.00,50277.00,2558.00,3576.00,203042.00,100905.00,111699.00,4805.00,2357.00
2009:Q4,859903.00,41628.00,790939.00,0.00,27336.00,859903.00,0.00,455.00,12874.00,14667.00,77630.00,266953.00,3979.00,48507.00,2729.00,3563.00,204378.00,105723.00,111584.00,4601.00,2260.00
2010:Q1,854590.00,41374.00,786111.00,0.00,27105.00,854590.00,0.00,449.00,13239.00,14460.00,78001.00,265954.00,4040.00,47899.00,3001.00,3548.00,249691.00,57518.00,110208.00,4436.00,2146.00
2010:Q2,851848.00,41238.00,783527.00,0.00,27083.00,851848.00,0.00,443.00,13604.00,14518.00,78080.00,261867.00,3968.00,47377.00,3300.00,3536.00,249209.00,61526.00,108044.00,4237.00,2139.00
2010:Q3,854733.00,41353.00,785700.00,0.00,27680.00,854733.00,0.00,437.00,13968.00,14330.00,80208.00,259941.00,3766.00,47420.00,3196.00,3508.00,251333.00,65042.00,105388.00,4170.00,2026.00
2010:Q4,857833.00,41504.00,788577.00,0.00,27752.00,857833.00,0.00,431.00,14333.00,14364.00,81942.00,254899.00,3498.00,47246.00,3144.00,3471.00,256458.00,68091.00,102902.00,5104.00,1950.00
2011:Q1,854514.00,41369.00,786006.00,0.00,27139.00,854514.00,0.00,429.00,13825.00,14311.00,81615.00,251519.00,3506.00,47264.00,3093.00,3426.00,256052.00,72427.00,100648.00,4604.00,1795.00
2011:Q2,853490.00,41311.00,784901.00,0.00,27278.00,853490.00,0.00,427.00,13317.00,14116.00,81613.00,250332.00,3175.00,47936.00,2930.00,3374.00,254613.00,78226.00,97431.00,4210.00,1790.00
2011:Q3,854768.00,41363.00,785891.00,0.00,27514.00,854768.00,0.00,425.00,12809.00,14089.00,81669.00,248668.00,2890.00,48806.00,2733.00,3343.00,256391.00,82193.00,95064.00,3930.00,1758.00
2011:Q4,857668.00,41490.00,788319.00,0.00,27859.00,857668.00,0.00,423.00,12301.00,14078.00,81139.00,248338.00,2945.00,49378.00,2850.00,3297.00,259230.00,87332.00,91003.00,3628.00,1726.00
2012:Q1,860555.00,41677.00,791858.00,0.00,27020.00,860555.00,0.00,415.00,12090.00,14083.00,80669.00,248875.00,1529.00,49998.00,2738.00,3249.00,261304.00,92046.00,88381.00,3479.00,1699.00
2012:Q2,867097.00,42030.00,798562.00,0.00,26505.00,867097.00,0.00,408.00,11879.00,13925.00,81069.00,250964.00,1409.00,50574.00,2676.00,3210.00,260427.00,99986.00,85509.00,3318.00,1743.00
