1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1298.00,35.00,219.00,35.00,31.00,0.00,0.00,153.00,0.00,1044.00,0.00,1298.00,0.00,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1413.00,36.00,224.00,36.00,43.00,0.00,0.00,145.00,0.00,1153.00,0.00,1413.00,0.00,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1516.00,35.00,255.00,35.00,65.00,0.00,0.00,155.00,0.00,1226.00,0.00,1516.00,0.00,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q1,40968.00,1543.00,7453.00,1543.00,785.00,0.00,0.00,5125.00,0.00,31972.00,0.00,40968.00,0.00,ND,ND,ND,ND,ND
1975:Q2,46061.00,1345.00,7619.00,1345.00,949.00,0.00,0.00,5325.00,0.00,37097.00,0.00,46061.00,0.00,ND,ND,ND,ND,ND
1975:Q3,40876.00,1076.00,8030.00,1076.00,1493.00,0.00,0.00,5461.00,0.00,31770.00,0.00,40876.00,0.00,ND,ND,ND,ND,ND
1975:Q4,43034.00,1341.00,8029.00,1341.00,1066.00,0.00,0.00,5622.00,0.00,33664.00,0.00,43034.00,0.00,ND,ND,ND,ND,ND
1976:Q1,46920.00,723.00,7672.00,723.00,1435.00,0.00,0.00,5514.00,0.00,38525.00,0.00,46920.00,0.00,ND,ND,ND,ND,ND
1976:Q2,47003.00,742.00,7624.00,742.00,1196.00,0.00,23.00,5663.00,0.00,38637.00,0.00,47003.00,0.00,ND,ND,ND,ND,ND
1976:Q3,45799.00,570.00,7795.00,570.00,1368.00,0.00,111.00,5746.00,0.00,37434.00,0.00,45799.00,0.00,ND,ND,ND,ND,ND
1976:Q4,46510.00,823.00,8405.00,823.00,1086.00,0.00,525.00,5971.00,0.00,37282.00,0.00,46510.00,0.00,ND,ND,ND,ND,ND
1977:Q1,43037.00,790.00,9243.00,790.00,1368.00,0.00,984.00,6101.00,0.00,33004.00,0.00,43037.00,0.00,ND,ND,ND,ND,ND
1977:Q2,45901.00,1167.00,10338.00,1167.00,1485.00,0.00,1403.00,6283.00,0.00,34396.00,0.00,45901.00,0.00,ND,ND,ND,ND,ND
1977:Q3,45617.00,1360.00,11807.00,1360.00,1740.00,0.00,1875.00,6832.00,0.00,32450.00,0.00,45617.00,0.00,ND,ND,ND,ND,ND
1977:Q4,45491.00,1335.00,12290.00,1335.00,1763.00,0.00,2155.00,7037.00,0.00,31866.00,0.00,45491.00,0.00,ND,ND,ND,ND,ND
1978:Q1,44493.00,1788.00,13090.00,1788.00,1833.00,0.00,2587.00,6882.00,0.00,29615.00,0.00,44493.00,0.00,ND,ND,ND,ND,ND
1978:Q2,46687.00,1815.00,13025.00,1815.00,1818.00,0.00,2640.00,6752.00,0.00,31847.00,0.00,46687.00,0.00,ND,ND,ND,ND,ND
1978:Q3,48619.00,1429.00,12593.00,1429.00,1748.00,0.00,2783.00,6633.00,0.00,34597.00,0.00,48619.00,0.00,ND,ND,ND,ND,ND
1978:Q4,46050.00,1883.00,12508.00,1883.00,1584.00,0.00,2683.00,6358.00,0.00,31659.00,0.00,46050.00,0.00,ND,ND,ND,ND,ND
1979:Q1,47697.00,1842.00,13179.00,1842.00,1722.00,0.00,3013.00,6602.00,0.00,32676.00,0.00,47697.00,0.00,ND,ND,ND,ND,ND
1979:Q2,48943.00,1844.00,14194.00,1844.00,1502.00,0.00,3660.00,7188.00,0.00,32905.00,0.00,48943.00,0.00,ND,ND,ND,ND,ND
1979:Q3,51166.00,1925.00,14585.00,1925.00,1379.00,0.00,4069.00,7212.00,0.00,34656.00,0.00,51166.00,0.00,ND,ND,ND,ND,ND
1979:Q4,51789.00,1808.00,14545.00,1808.00,1536.00,0.00,4039.00,7162.00,0.00,35436.00,0.00,51789.00,6410.00,ND,ND,ND,ND,ND
1980:Q1,53772.00,1936.00,14211.00,1936.00,1679.00,0.00,3654.00,6942.00,0.00,37625.00,0.00,53772.00,6720.00,ND,ND,ND,ND,ND
1980:Q2,59434.00,1710.00,16506.00,1710.00,2592.00,0.00,4169.00,8035.00,0.00,41218.00,0.00,59434.00,7039.00,ND,ND,ND,ND,ND
1980:Q3,66091.00,2157.00,17136.00,2157.00,1939.00,0.00,4439.00,8601.00,0.00,46798.00,0.00,66091.00,7865.00,ND,ND,ND,ND,ND
1980:Q4,70395.00,2306.00,17057.00,2306.00,1853.00,0.00,4420.00,8478.00,0.00,51032.00,0.00,70395.00,8586.00,ND,ND,ND,ND,ND
1981:Q1,71227.00,1764.00,17830.00,1764.00,2651.00,0.00,4730.00,8685.00,0.00,51633.00,0.00,71227.00,9020.00,ND,ND,ND,ND,ND
1981:Q2,71535.00,2031.00,18888.00,2031.00,2363.00,0.00,5010.00,9484.00,0.00,50616.00,0.00,71535.00,9091.00,ND,ND,ND,ND,ND
1981:Q3,65157.00,2149.00,19102.00,2149.00,2443.00,0.00,5035.00,9475.00,0.00,43906.00,0.00,65157.00,8262.00,ND,ND,ND,ND,ND
1981:Q4,68834.00,2233.00,20184.00,2233.00,2775.00,0.00,5102.00,10074.00,0.00,46417.00,0.00,68834.00,8992.00,ND,ND,ND,ND,ND
1982:Q1,66089.00,2289.00,20866.00,2289.00,3512.00,0.00,5487.00,9578.00,0.00,42934.00,0.00,66089.00,8507.00,ND,ND,ND,ND,ND
1982:Q2,67525.00,2546.00,21916.00,2546.00,3895.00,0.00,5924.00,9551.00,0.00,43063.00,0.00,67525.00,8557.00,ND,ND,ND,ND,ND
1982:Q3,75941.00,2125.00,23773.00,2125.00,4594.00,0.00,6757.00,10297.00,0.00,50043.00,0.00,75941.00,9601.00,ND,ND,ND,ND,ND
1982:Q4,88353.00,2074.00,25360.00,2074.00,5087.00,0.00,7972.00,10227.00,0.00,60919.00,0.00,88353.00,11501.00,ND,ND,ND,ND,ND
1983:Q1,101710.00,2685.00,28234.00,2685.00,4611.00,349.00,9715.00,10874.00,0.00,70587.00,204.00,101710.00,12881.00,ND,ND,ND,ND,ND
1983:Q2,119852.00,2989.00,31653.00,2989.00,5170.00,852.00,10862.00,11780.00,0.00,84987.00,223.00,119852.00,14424.00,ND,ND,ND,ND,ND
1983:Q3,123236.00,2947.00,32722.00,2947.00,4395.00,1192.00,12216.00,11972.00,0.00,87342.00,225.00,123236.00,14615.00,ND,ND,ND,ND,ND
1983:Q4,126973.00,2855.00,34910.00,2855.00,4059.00,1620.00,13424.00,12952.00,0.00,88931.00,277.00,126973.00,14852.00,ND,ND,ND,ND,ND
1984:Q1,129465.00,4201.00,39164.00,4201.00,4720.00,2288.00,14867.00,13088.00,0.00,85899.00,201.00,129465.00,14928.00,ND,ND,ND,ND,ND
1984:Q2,129412.00,4652.00,41727.00,4652.00,5267.00,3062.00,15678.00,13068.00,0.00,82832.00,201.00,129412.00,14378.00,ND,ND,ND,ND,ND
1984:Q3,145397.00,5719.00,46920.00,5719.00,6194.00,4289.00,17529.00,13189.00,0.00,92559.00,199.00,145397.00,15740.00,ND,ND,ND,ND,ND
1984:Q4,153337.00,4912.00,50845.00,4912.00,6688.00,5489.00,19327.00,14429.00,0.00,97111.00,469.00,153337.00,16211.00,ND,ND,ND,ND,ND
1985:Q1,174257.00,4577.00,63647.00,4577.00,12127.00,9476.00,21942.00,15525.00,0.00,105672.00,361.00,174257.00,17645.00,ND,ND,ND,ND,ND
1985:Q2,205015.00,4930.00,79975.00,4930.00,17226.00,12810.00,26911.00,18098.00,0.00,119895.00,215.00,205015.00,18767.00,ND,ND,ND,ND,ND
1985:Q3,221441.00,5603.00,95010.00,5603.00,23706.00,16761.00,29926.00,19014.00,0.00,120627.00,201.00,221441.00,18304.00,ND,ND,ND,ND,ND
1985:Q4,272965.00,4744.00,129592.00,4744.00,39719.00,26690.00,35709.00,22730.00,0.00,137156.00,1473.00,272965.00,21382.00,ND,ND,ND,ND,ND
1986:Q1,340693.00,8152.00,162931.00,8152.00,48660.00,35079.00,43678.00,27362.00,0.00,167512.00,2098.00,340693.00,25718.00,ND,ND,ND,ND,ND
1986:Q2,382490.00,8007.00,193260.00,8007.00,57395.00,44384.00,49787.00,33687.00,0.00,178592.00,2631.00,382490.00,26922.00,ND,ND,ND,ND,ND
1986:Q3,407139.00,8344.00,224394.00,8344.00,66178.00,54902.00,58116.00,36854.00,0.00,171286.00,3115.00,407139.00,25707.00,ND,ND,ND,ND,ND
1986:Q4,450367.00,9588.00,252046.00,9588.00,70773.00,62962.00,66492.00,42231.00,0.00,184410.00,4323.00,450367.00,26851.00,ND,ND,ND,ND,ND
1987:Q1,539434.00,12597.00,294154.00,12597.00,84051.00,72575.00,77454.00,47477.00,0.00,227452.00,5231.00,539434.00,33079.00,ND,ND,ND,ND,ND
1987:Q2,550400.00,12338.00,290508.00,12338.00,85954.00,72003.00,74029.00,46184.00,0.00,243473.00,4081.00,550400.00,34412.00,ND,ND,ND,ND,ND
1987:Q3,556224.00,14418.00,282446.00,14418.00,82623.00,67121.00,72650.00,45634.00,0.00,253974.00,5386.00,556224.00,36123.00,ND,ND,ND,ND,ND
1987:Q4,481466.00,11301.00,267780.00,11301.00,79334.00,62493.00,70603.00,44049.00,0.00,196632.00,5753.00,481466.00,28390.00,ND,ND,ND,ND,ND
1988:Q1,502572.00,16459.00,272177.00,16459.00,78617.00,61833.00,70898.00,44370.00,0.00,207680.00,6256.00,502572.00,30181.00,ND,ND,ND,ND,ND
1988:Q2,511551.00,13390.00,276416.00,13390.00,80019.00,62839.00,74456.00,45712.00,0.00,215376.00,6369.00,511551.00,31278.00,ND,ND,ND,ND,ND
1988:Q3,504894.00,16432.00,277215.00,16432.00,78147.00,61268.00,76083.00,45285.00,0.00,205769.00,5478.00,504894.00,31081.00,ND,ND,ND,ND,ND
1988:Q4,503097.00,16159.00,276008.00,16159.00,75604.00,59180.00,78122.00,46943.00,0.00,205473.00,5457.00,503097.00,31680.00,ND,ND,ND,ND,ND
1989:Q1,515301.00,16020.00,278528.00,16020.00,74304.00,58326.00,82156.00,47722.00,0.00,214570.00,6183.00,515301.00,33178.00,ND,ND,ND,ND,ND
1989:Q2,549881.00,17346.00,287690.00,17346.00,74163.00,58378.00,87732.00,50071.00,0.00,237550.00,7295.00,549881.00,35197.00,ND,ND,ND,ND,ND
1989:Q3,576895.00,17026.00,292106.00,17026.00,75471.00,59577.00,90061.00,49971.00,0.00,259737.00,8026.00,576895.00,38325.00,ND,ND,ND,ND,ND
1989:Q4,591345.00,15766.00,296256.00,15766.00,76364.00,60454.00,92456.00,51216.00,0.00,270649.00,8674.00,591345.00,58421.00,ND,ND,ND,ND,ND
1990:Q1,585636.00,16071.00,306031.00,16071.00,78153.00,62663.00,96868.00,52276.00,0.00,254332.00,9202.00,585636.00,58867.00,ND,ND,ND,ND,ND
1990:Q2,620236.00,16094.00,314179.00,16094.00,78958.00,64126.00,99946.00,55055.00,0.00,280257.00,9706.00,620236.00,63149.00,ND,ND,ND,ND,ND
1990:Q3,568041.00,16987.00,313906.00,16987.00,77820.00,64019.00,101163.00,53917.00,0.00,227514.00,9634.00,568041.00,55161.00,ND,ND,ND,ND,ND
1990:Q4,603053.00,16681.00,325997.00,16681.00,81297.00,67741.00,104908.00,55370.00,0.00,250395.00,9980.00,603053.00,59691.00,ND,ND,ND,ND,ND
1991:Q1,669138.00,17692.00,365298.00,17692.00,88809.00,76056.00,117714.00,65027.00,0.00,277623.00,8525.00,669138.00,66359.00,288576.00,32195.00,39759.00,182872.00,125736.00
1991:Q2,700414.00,17276.00,390682.00,17276.00,92517.00,81440.00,125811.00,73638.00,0.00,283802.00,8654.00,700414.00,69482.00,295257.00,34072.00,42739.00,194716.00,133631.00
1991:Q3,769566.00,16970.00,425634.00,16970.00,100784.00,91217.00,134946.00,81717.00,0.00,318328.00,8634.00,769566.00,74403.00,323419.00,36624.00,47319.00,216900.00,145303.00
1991:Q4,850744.00,12837.00,486059.00,12837.00,114872.00,106893.00,154497.00,96960.00,0.00,341543.00,10305.00,850744.00,82989.00,365212.00,39520.00,52045.00,239765.00,154202.00
1992:Q1,889980.00,7655.00,464474.00,7655.00,93841.00,95413.00,161639.00,105926.00,0.00,393898.00,23953.00,889980.00,84206.00,378749.00,40948.00,56014.00,254615.00,159654.00
1992:Q2,952243.00,8637.00,508162.00,8637.00,98970.00,109948.00,173453.00,117154.00,0.00,407327.00,28117.00,952243.00,88149.00,393936.00,45220.00,62483.00,276587.00,174017.00
1992:Q3,1019928.00,12194.00,541276.00,12194.00,97310.00,118280.00,186180.00,127312.00,0.00,427945.00,38513.00,1019928.00,93639.00,415679.00,44281.00,70196.00,303834.00,185937.00
1992:Q4,1096342.00,8801.00,571309.00,8801.00,103193.00,137348.00,197781.00,124186.00,0.00,486710.00,29522.00,1096342.00,102203.00,468405.00,45682.00,77630.00,308366.00,196259.00
1993:Q1,1201180.00,9022.00,634134.00,9022.00,115482.00,152474.00,215151.00,142005.00,0.00,527101.00,30923.00,1201180.00,112010.00,519663.00,52799.00,91548.00,323099.00,214071.00
1993:Q2,1302226.00,9742.00,677266.00,9742.00,119104.00,155984.00,234084.00,158352.00,0.00,584350.00,30868.00,1302226.00,120625.00,557701.00,64331.00,105240.00,343982.00,230971.00
1993:Q3,1419318.00,10118.00,713579.00,10118.00,124577.00,161818.00,247241.00,169825.00,0.00,663614.00,32007.00,1419318.00,132270.00,597567.00,84297.00,128184.00,361720.00,247550.00
1993:Q4,1504644.00,8468.00,752418.00,8468.00,137595.00,177268.00,255298.00,173789.00,0.00,714292.00,29466.00,1504644.00,145025.00,626537.00,114130.00,142331.00,367050.00,254597.00
1994:Q1,1495186.00,13369.00,702237.00,13369.00,115969.00,148899.00,239395.00,184605.00,0.00,735708.00,43872.00,1495186.00,147618.00,625889.00,130045.00,149746.00,348128.00,241379.00
1994:Q2,1504264.00,13755.00,677415.00,13755.00,111973.00,143273.00,224671.00,183743.00,0.00,755005.00,58089.00,1504264.00,154729.00,637683.00,140165.00,156404.00,330617.00,239394.00
1994:Q3,1580774.00,15540.00,675872.00,15540.00,108965.00,138941.00,232832.00,179594.00,0.00,832137.00,57225.00,1580774.00,164373.00,689447.00,164146.00,162915.00,321100.00,243195.00
1994:Q4,1544320.00,14818.00,650510.00,14818.00,109734.00,139434.00,216584.00,169940.00,0.00,824545.00,54447.00,1544320.00,165051.00,691570.00,161194.00,161404.00,302844.00,227307.00
1995:Q1,1649397.00,14987.00,670972.00,14987.00,112879.00,141152.00,234866.00,167088.00,0.00,912377.00,51061.00,1649397.00,179243.00,767361.00,161095.00,170023.00,310156.00,240762.00
1995:Q2,1800550.00,17618.00,683957.00,17618.00,108707.00,133757.00,234949.00,188926.00,0.00,1039083.00,59892.00,1800550.00,208956.00,872140.00,176452.00,184884.00,326002.00,241071.00
1995:Q3,1954042.00,15833.00,718407.00,15833.00,120459.00,145817.00,238088.00,198210.00,0.00,1164882.00,54920.00,1954042.00,230632.00,988119.00,189475.00,195562.00,336016.00,244870.00
1995:Q4,2058275.00,17180.00,758138.00,17180.00,133489.00,158980.00,250641.00,197848.00,10170.00,1216013.00,56774.00,2058275.00,247900.00,1052572.00,196505.00,206705.00,349206.00,253287.00
1996:Q1,2201626.00,16871.00,761903.00,16871.00,130537.00,167718.00,243577.00,203200.00,10369.00,1356843.00,55640.00,2201626.00,269709.00,1160448.00,225486.00,217650.00,351506.00,246536.00
1996:Q2,2351651.00,17891.00,774865.00,17891.00,125202.00,173671.00,244562.00,213539.00,10568.00,1486729.00,61598.00,2351651.00,290503.00,1258525.00,250609.00,224977.00,370758.00,246780.00
1996:Q3,2461780.00,19655.00,794514.00,19655.00,119699.00,179580.00,245767.00,229813.00,10767.00,1574794.00,62050.00,2461780.00,309033.00,1332971.00,263309.00,233482.00,382614.00,249404.00
1996:Q4,2623994.00,18696.00,814396.00,18696.00,114145.00,185448.00,250373.00,245734.00,10966.00,1719141.00,60795.00,2623994.00,334148.00,1440812.00,285198.00,248358.00,396557.00,253068.00
1997:Q1,2686387.00,21046.00,814851.00,21046.00,114055.00,183568.00,245708.00,250474.00,11824.00,1769891.00,68775.00,2686387.00,346103.00,1478333.00,306780.00,254718.00,396560.00,249995.00
1997:Q2,3051401.00,23765.00,843887.00,23765.00,117530.00,187376.00,253428.00,261788.00,12682.00,2088152.00,82915.00,3051401.00,404654.00,1740101.00,356719.00,283939.00,415283.00,255359.00
1997:Q3,3368362.00,23623.00,893328.00,23623.00,122307.00,193136.00,261528.00,292734.00,13541.00,2358218.00,79652.00,3368362.00,450156.00,1983231.00,378509.00,305372.00,437611.00,263639.00
1997:Q4,3409315.00,24497.00,927807.00,24497.00,128943.00,201680.00,269819.00,302868.00,14399.00,2360738.00,81874.00,3409315.00,456857.00,2021656.00,346368.00,311903.00,457498.00,271890.00
1998:Q1,3840596.00,23125.00,969838.00,23125.00,133268.00,211717.00,274344.00,327384.00,14965.00,2754174.00,78494.00,3840596.00,525502.00,2333289.00,400124.00,342952.00,487201.00,277029.00
1998:Q2,3977323.00,25921.00,1007170.00,25921.00,131729.00,212607.00,282032.00,354881.00,15874.00,2843666.00,84692.00,3977323.00,550692.00,2425950.00,409654.00,351224.00,507489.00,283007.00
1998:Q3,3622978.00,27795.00,1026616.00,27795.00,126400.00,207302.00,292780.00,372339.00,16459.00,2461506.00,90602.00,3622978.00,494382.00,2138665.00,340329.00,327364.00,521390.00,295230.00
1998:Q4,4173531.00,24858.00,1043094.00,24858.00,121349.00,202247.00,297633.00,397007.00,17064.00,3005393.00,83122.00,4173531.00,591299.00,2586307.00,391638.00,360037.00,536955.00,298594.00
1999:Q1,4327921.00,26040.00,1048425.00,26040.00,118031.00,212589.00,301658.00,390107.00,17453.00,3142852.00,93151.00,4327921.00,617601.00,2711339.00,397433.00,359115.00,556029.00,304006.00
1999:Q2,4651052.00,27498.00,1065169.00,27498.00,115941.00,226269.00,294678.00,400783.00,18489.00,3451209.00,88687.00,4651052.00,671062.00,2988741.00,435937.00,376154.00,553778.00,296443.00
1999:Q3,4498393.00,26902.00,1049863.00,26902.00,108441.00,230013.00,285656.00,398851.00,19315.00,3316176.00,86137.00,4498393.00,645196.00,2854412.00,446780.00,358102.00,550216.00,288883.00
1999:Q4,5233194.00,29287.00,1031477.00,29287.00,100884.00,233166.00,270315.00,397825.00,19934.00,4060203.00,92293.00,5233194.00,785226.00,3456640.00,585253.00,374638.00,545182.00,271480.00
2000:Q1,5600779.00,30244.00,1015488.00,30244.00,98517.00,225564.00,265228.00,395935.00,21182.00,4440119.00,93746.00,5600779.00,856419.00,3732054.00,678041.00,370963.00,551574.00,268147.00
2000:Q2,5463631.00,35474.00,1007756.00,35474.00,100243.00,227372.00,258807.00,385860.00,22426.00,4288728.00,109247.00,5463631.00,836251.00,3642559.00,649676.00,361782.00,545842.00,263772.00
2000:Q3,5541139.00,37436.00,1030773.00,37436.00,107279.00,241041.00,263789.00,381228.00,23397.00,4333503.00,116030.00,5541139.00,848037.00,3740015.00,620861.00,364758.00,547535.00,267969.00
2000:Q4,5119386.00,36499.00,1034925.00,36499.00,113057.00,251644.00,272556.00,361169.00,24258.00,3910517.00,113187.00,5119386.00,783763.00,3369728.00,564752.00,360916.00,545579.00,278411.00
2001:Q1,4588723.00,30272.00,1074441.00,30272.00,111893.00,277187.00,281701.00,373388.00,22064.00,3369705.00,92241.00,4588723.00,684980.00,2893922.00,484599.00,344440.00,579224.00,286538.00
2001:Q2,4887912.00,28019.00,1110982.00,28019.00,110969.00,307914.00,283415.00,380665.00,19416.00,3644277.00,85218.00,4887912.00,730741.00,3154309.00,498657.00,360240.00,587574.00,287132.00
2001:Q3,4252626.00,27387.00,1115036.00,27387.00,100326.00,314242.00,292181.00,380900.00,17992.00,3008946.00,83265.00,4252626.00,618443.00,2589573.00,405616.00,334716.00,624837.00,297884.00
2001:Q4,4689603.00,25828.00,1143035.00,25828.00,105593.00,337931.00,293372.00,380311.00,16953.00,3425322.00,78465.00,4689603.00,697503.00,2947929.00,444469.00,358027.00,642955.00,296222.00
2002:Q1,4812247.00,29615.00,1181445.00,29615.00,105656.00,346949.00,295756.00,403469.00,17058.00,3493941.00,90188.00,4812247.00,723828.00,3011645.00,458284.00,369668.00,672424.00,300225.00
2002:Q2,4433260.00,25205.00,1215212.00,25205.00,106098.00,358516.00,309072.00,416321.00,17185.00,3098686.00,76972.00,4433260.00,646513.00,2628780.00,434669.00,351170.00,706212.00,312430.00
2002:Q3,3898456.00,23595.00,1280958.00,23595.00,119239.00,402210.00,328111.00,407803.00,17272.00,2504642.00,71989.00,3898456.00,548434.00,2133285.00,349249.00,312759.00,769692.00,333471.00
2002:Q4,4118082.00,25827.00,1307441.00,25827.00,121054.00,410213.00,324655.00,425692.00,17465.00,2688868.00,78481.00,4118082.00,590879.00,2273051.00,369369.00,335276.00,810261.00,330126.00
2003:Q1,4057552.00,25825.00,1355575.00,25825.00,129128.00,433425.00,329805.00,437392.00,17215.00,2579752.00,79185.00,4057552.00,577842.00,2186320.00,340154.00,331539.00,866557.00,332982.00
2003:Q2,4649056.00,27139.00,1446576.00,27139.00,135224.00,456962.00,342304.00,484947.00,16972.00,3075150.00,83219.00,4649056.00,669266.00,2587437.00,411957.00,382336.00,925143.00,342182.00
2003:Q3,4845657.00,27144.00,1435031.00,27144.00,131249.00,451919.00,336398.00,488321.00,16737.00,3282123.00,84622.00,4845657.00,710138.00,2741325.00,454061.00,400437.00,913034.00,336800.00
2003:Q4,5362097.00,31045.00,1457489.00,31045.00,132725.00,439992.00,337184.00,516543.00,16355.00,3762039.00,95169.00,5362097.00,801791.00,3118323.00,535046.00,447570.00,924848.00,336309.00
2004:Q1,5620835.00,48156.00,1437203.00,48156.00,116206.00,367718.00,342942.00,562181.00,17840.00,3967702.00,149934.00,5620835.00,837925.00,3263093.00,590021.00,477491.00,949683.00,340546.00
2004:Q2,5640075.00,30399.00,1459957.00,30399.00,142725.00,456097.00,321838.00,508898.00,20688.00,4033580.00,95451.00,5640075.00,850058.00,3323259.00,593506.00,490710.00,912021.00,320580.00
2004:Q3,5663150.00,31302.00,1501093.00,31302.00,148533.00,468062.00,328369.00,524827.00,23173.00,4008437.00,99145.00,5663150.00,852061.00,3275010.00,606868.00,506362.00,946752.00,328159.00
2004:Q4,6194101.00,36910.00,1522397.00,36910.00,150732.00,461887.00,328683.00,544185.00,25975.00,4491000.00,117819.00,6194101.00,940550.00,3626374.00,716203.00,552250.00,971031.00,328243.00
2005:Q1,6170973.00,41111.00,1512632.00,41111.00,154161.00,452714.00,329756.00,534890.00,28223.00,4457299.00,131708.00,6170973.00,928282.00,3555969.00,751036.00,562602.00,972964.00,328402.00
2005:Q2,6352653.00,40042.00,1565064.00,40042.00,155408.00,471246.00,339839.00,558529.00,30928.00,4588344.00,128275.00,6352653.00,965011.00,3651159.00,773801.00,588148.00,1002434.00,337110.00
2005:Q3,6676786.00,39407.00,1591672.00,39407.00,164423.00,490578.00,341101.00,556163.00,33106.00,4884903.00,127698.00,6676786.00,1012105.00,3826611.00,880794.00,612099.00,1017479.00,339803.00
2005:Q4,6864553.00,37653.00,1609780.00,37653.00,171557.00,509657.00,339800.00,551113.00,36520.00,5056822.00,123778.00,6864553.00,1039195.00,3929719.00,955726.00,621479.00,1018677.00,338953.00
2006:Q1,7313565.00,46132.00,1633284.00,46132.00,169426.00,490731.00,343396.00,583599.00,38352.00,5442967.00,152830.00,7313565.00,1098685.00,4174068.00,1108924.00,645347.00,1039987.00,345239.00
2006:Q2,7227911.00,46550.00,1643985.00,46550.00,162940.00,498444.00,345020.00,591031.00,40808.00,5343358.00,153210.00,7227911.00,1082994.00,4071835.00,1122067.00,648321.00,1041114.00,344575.00
2006:Q3,7517282.00,48472.00,1716547.00,48472.00,168127.00,515870.00,357716.00,626362.00,42666.00,5548721.00,160876.00,7517282.00,1131711.00,4192231.00,1199186.00,682236.00,1086468.00,357161.00
2006:Q4,8059704.00,45383.00,1791096.00,45383.00,173246.00,537186.00,367941.00,667340.00,46321.00,6026520.00,150384.00,8059704.00,1224742.00,4472135.00,1360447.00,731503.00,1130525.00,365095.00
2007:Q1,8335378.00,44765.00,1847010.00,44765.00,180427.00,556265.00,376556.00,688997.00,57148.00,6235084.00,151371.00,8335378.00,1245792.00,4565273.00,1449832.00,757680.00,1187862.00,374731.00
2007:Q2,8846074.00,42772.00,1896783.00,42772.00,179473.00,597466.00,378704.00,698368.00,68660.00,6690863.00,146996.00,8846074.00,1320924.00,4834523.00,1611570.00,799806.00,1223814.00,376360.00
2007:Q3,9078504.00,44483.00,1952181.00,44483.00,176449.00,607356.00,379454.00,744439.00,75769.00,6853800.00,152271.00,9078504.00,1365715.00,4893655.00,1715159.00,826505.00,1264794.00,378391.00
2007:Q4,8914408.00,46014.00,2017732.00,46014.00,185444.00,660824.00,377812.00,747638.00,82389.00,6611942.00,156331.00,8914408.00,1345595.00,4694654.00,1718568.00,821522.00,1305515.00,374149.00
2008:Q1,8266118.00,45908.00,2013549.00,45908.00,190110.00,662477.00,378055.00,736999.00,85568.00,5963957.00,157136.00,8266118.00,1228259.00,4191667.00,1573432.00,780441.00,1347508.00,373070.00
2008:Q2,8280019.00,51905.00,2046967.00,51905.00,172832.00,648909.00,387881.00,785440.00,88165.00,5920011.00,172971.00,8280019.00,1224277.00,4182379.00,1559610.00,781433.00,1372074.00,384523.00
2008:Q3,7276842.00,46523.00,1956384.00,46523.00,192794.00,646990.00,371236.00,698841.00,94356.00,5019971.00,159608.00,7276842.00,1070788.00,3656792.00,1239019.00,688995.00,1321236.00,370800.00
2008:Q4,5788401.00,35257.00,1797057.00,35257.00,200790.00,601191.00,342670.00,617149.00,94792.00,3736342.00,124953.00,5788401.00,853723.00,2738820.00,916341.00,562262.00,1233185.00,337793.00
2009:Q1,5440338.00,24354.00,1874420.00,24354.00,231114.00,631336.00,367929.00,619687.00,95377.00,3357674.00,88513.00,5440338.00,792195.00,2470221.00,806966.00,516928.00,1283447.00,362776.00
2009:Q2,6372319.00,29459.00,2064827.00,29459.00,251445.00,642042.00,397265.00,744616.00,95826.00,4076209.00,105998.00,6372319.00,926837.00,2926476.00,1022738.00,597406.00,1434482.00,391216.00
2009:Q3,7402832.00,37039.00,2312180.00,37039.00,282798.00,674308.00,454273.00,863762.00,96179.00,4827596.00,129838.00,7402832.00,1076563.00,3402066.00,1240270.00,679473.00,1631477.00,449545.00
2009:Q4,7796729.00,43372.00,2439786.00,43372.00,286678.00,656110.00,463728.00,989898.00,75399.00,5093642.00,144530.00,7796729.00,1130314.00,3564563.00,1307978.00,717580.00,1748111.00,458497.00
