1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1298.00,35.00,219.00,35.00,31.00,0.00,0.00,153.00,0.00,1044.00,0.00,1298.00,0.00,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1413.00,36.00,224.00,36.00,43.00,0.00,0.00,145.00,0.00,1153.00,0.00,1413.00,0.00,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1516.00,35.00,255.00,35.00,65.00,0.00,0.00,155.00,0.00,1226.00,0.00,1516.00,0.00,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q1,6525.00,95.00,677.00,95.00,152.00,0.00,0.00,430.00,0.00,5753.00,0.00,6525.00,0.00,ND,ND,ND,ND,ND
1955:Q2,7186.00,92.00,728.00,92.00,179.00,0.00,0.00,457.00,0.00,6366.00,0.00,7186.00,0.00,ND,ND,ND,ND,ND
1955:Q3,7257.00,104.00,795.00,104.00,233.00,0.00,0.00,458.00,0.00,6358.00,0.00,7257.00,0.00,ND,ND,ND,ND,ND
1955:Q4,7839.00,92.00,820.00,92.00,255.00,0.00,0.00,473.00,0.00,6927.00,0.00,7839.00,0.00,ND,ND,ND,ND,ND
1956:Q1,8555.00,135.00,916.00,135.00,238.00,0.00,0.00,543.00,0.00,7504.00,0.00,8555.00,0.00,ND,ND,ND,ND,ND
1956:Q2,8613.00,99.00,826.00,99.00,221.00,0.00,0.00,506.00,0.00,7688.00,0.00,8613.00,0.00,ND,ND,ND,ND,ND
1956:Q3,8506.00,120.00,1025.00,120.00,265.00,0.00,0.00,640.00,0.00,7361.00,0.00,8506.00,0.00,ND,ND,ND,ND,ND
1956:Q4,9046.00,108.00,1051.00,108.00,276.00,0.00,0.00,667.00,0.00,7887.00,0.00,9046.00,0.00,ND,ND,ND,ND,ND
1957:Q1,9106.00,121.00,1094.00,121.00,280.00,0.00,0.00,693.00,0.00,7891.00,0.00,9106.00,0.00,ND,ND,ND,ND,ND
1957:Q2,9687.00,126.00,1191.00,126.00,292.00,0.00,0.00,773.00,0.00,8370.00,0.00,9687.00,0.00,ND,ND,ND,ND,ND
1957:Q3,9001.00,119.00,1166.00,119.00,291.00,0.00,0.00,756.00,0.00,7716.00,0.00,9001.00,0.00,ND,ND,ND,ND,ND
1957:Q4,8714.00,123.00,1180.00,123.00,277.00,0.00,0.00,780.00,0.00,7411.00,0.00,8714.00,0.00,ND,ND,ND,ND,ND
1958:Q1,9463.00,153.00,1298.00,153.00,314.00,0.00,0.00,831.00,0.00,8012.00,0.00,9463.00,0.00,ND,ND,ND,ND,ND
1958:Q2,10610.00,183.00,1478.00,183.00,401.00,0.00,0.00,894.00,0.00,8949.00,0.00,10610.00,0.00,ND,ND,ND,ND,ND
1958:Q3,11791.00,172.00,1477.00,172.00,356.00,0.00,0.00,949.00,0.00,10142.00,0.00,11791.00,0.00,ND,ND,ND,ND,ND
