1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,8169.00,8169.00,0.00,-311.00,472.00,0.00,4372.00,216.00,0.00,0.00,3420.00,0.00,4390.00,0.00,3779.00
1955:Q3,7577.00,7577.00,0.00,1497.00,-24.00,0.00,2456.00,460.00,0.00,0.00,3188.00,0.00,4556.00,0.00,3021.00
1955:Q4,6045.00,6045.00,0.00,-495.00,1168.00,0.00,3192.00,348.00,0.00,0.00,1832.00,0.00,2601.00,0.00,3444.00
1956:Q1,5397.00,5397.00,0.00,2837.00,-1096.00,0.00,1596.00,380.00,0.00,0.00,1680.00,0.00,2056.00,0.00,3341.00
1956:Q2,3445.00,3445.00,0.00,-1507.00,404.00,0.00,3916.00,-136.00,0.00,0.00,768.00,0.00,951.00,0.00,2494.00
1956:Q3,2953.00,2953.00,0.00,1101.00,160.00,0.00,404.00,596.00,0.00,0.00,692.00,0.00,507.00,0.00,2446.00
1956:Q4,2729.00,2729.00,0.00,-723.00,1156.00,0.00,1432.00,452.00,0.00,0.00,412.00,0.00,539.00,0.00,2190.00
1957:Q1,3195.00,3195.00,0.00,2259.00,-1252.00,0.00,1224.00,88.00,0.00,0.00,876.00,0.00,1032.00,0.00,2163.00
1957:Q2,3027.00,3027.00,0.00,-1149.00,484.00,0.00,2560.00,444.00,0.00,0.00,688.00,0.00,980.00,0.00,2047.00
1957:Q3,2971.00,2971.00,0.00,499.00,-104.00,0.00,1004.00,652.00,0.00,0.00,920.00,0.00,1237.00,0.00,1734.00
1957:Q4,1355.00,1355.00,0.00,-1517.00,1036.00,0.00,1000.00,620.00,0.00,0.00,216.00,0.00,703.00,0.00,652.00
1958:Q1,-1263.00,-1263.00,0.00,1409.00,-1600.00,0.00,-628.00,-140.00,0.00,0.00,-304.00,0.00,-1427.00,0.00,164.00
1958:Q2,-1107.00,-1107.00,0.00,-1231.00,288.00,0.00,784.00,400.00,0.00,0.00,-1348.00,0.00,-2031.00,0.00,924.00
1958:Q3,781.00,781.00,0.00,1029.00,136.00,0.00,760.00,132.00,0.00,0.00,-1276.00,0.00,-1379.00,0.00,2160.00
1958:Q4,2681.00,2681.00,0.00,-607.00,1180.00,0.00,1824.00,568.00,0.00,0.00,-284.00,0.00,-19.00,0.00,2700.00
1959:Q1,6559.00,6559.00,0.00,3015.00,-1068.00,0.00,3288.00,112.00,0.00,0.00,1212.00,0.00,1960.00,0.00,4599.00
1959:Q2,6779.00,6779.00,0.00,-433.00,532.00,0.00,4364.00,600.00,0.00,0.00,1716.00,0.00,2610.00,0.00,4169.00
1959:Q3,8139.00,8139.00,0.00,363.00,-100.00,0.00,4584.00,628.00,0.00,0.00,2664.00,0.00,3573.00,0.00,4566.00
1959:Q4,9415.00,9415.00,0.00,2247.00,1924.00,0.00,2928.00,784.00,0.00,0.00,1532.00,0.00,1353.00,0.00,8062.00
1960:Q1,3428.00,3428.00,0.00,-736.00,-2244.00,0.00,3880.00,92.00,0.00,0.00,2436.00,0.00,2263.00,0.00,1165.00
1960:Q2,6116.00,6116.00,0.00,24.00,644.00,0.00,2920.00,864.00,0.00,0.00,1664.00,0.00,2074.00,0.00,4042.00
1960:Q3,3932.00,3932.00,0.00,-564.00,-392.00,0.00,2216.00,768.00,0.00,0.00,1904.00,0.00,1226.00,0.00,2706.00
1960:Q4,2664.00,2664.00,0.00,-704.00,1100.00,0.00,1228.00,572.00,0.00,0.00,468.00,0.00,241.00,0.00,2423.00
1961:Q1,1685.00,1685.00,0.00,-275.00,-2432.00,0.00,4616.00,-176.00,0.00,0.00,-48.00,0.00,-1041.00,0.00,2726.00
1961:Q2,-519.00,-519.00,0.00,-359.00,676.00,0.00,-1016.00,652.00,0.00,0.00,-472.00,0.00,-1365.00,0.00,846.00
1961:Q3,2157.00,2157.00,0.00,625.00,140.00,0.00,1336.00,52.00,0.00,0.00,4.00,0.00,-492.00,0.00,2649.00
1961:Q4,5425.00,5425.00,0.00,-15.00,1328.00,0.00,2528.00,192.00,0.00,0.00,1392.00,0.00,962.00,0.00,4463.00
1962:Q1,3551.00,3551.00,0.00,1671.00,-1412.00,0.00,1584.00,264.00,0.00,0.00,1444.00,0.00,1808.00,0.00,1743.00
1962:Q2,8067.00,8067.00,0.00,1075.00,972.00,0.00,4120.00,872.00,0.00,0.00,1028.00,0.00,2349.00,0.00,5718.00
1962:Q3,5235.00,5235.00,0.00,715.00,-4.00,0.00,2404.00,432.00,0.00,0.00,1688.00,0.00,2224.00,0.00,3011.00
1962:Q4,6783.00,6783.00,0.00,-369.00,1184.00,0.00,3372.00,336.00,0.00,0.00,2260.00,0.00,2920.00,0.00,3863.00
1963:Q1,7859.00,7859.00,0.00,2203.00,-1396.00,0.00,4256.00,208.00,0.00,0.00,2588.00,0.00,3071.00,0.00,4788.00
1963:Q2,7279.00,7279.00,0.00,87.00,848.00,0.00,4412.00,876.00,0.00,0.00,1056.00,0.00,2984.00,0.00,4295.00
1963:Q3,9247.00,9247.00,0.00,1559.00,184.00,0.00,4536.00,396.00,0.00,0.00,2572.00,0.00,2635.00,0.00,6612.00
1963:Q4,9719.00,9719.00,0.00,-29.00,1316.00,0.00,5452.00,292.00,0.00,0.00,2688.00,0.00,2981.00,0.00,6738.00
1964:Q1,10739.00,10739.00,0.00,3411.00,-1148.00,0.00,4840.00,740.00,0.00,0.00,2896.00,0.00,3240.00,0.00,7499.00
1964:Q2,8855.00,8855.00,0.00,-1185.00,552.00,0.00,6372.00,1180.00,0.00,0.00,1936.00,0.00,3400.00,0.00,5455.00
1964:Q3,10079.00,10079.00,0.00,1703.00,132.00,0.00,5060.00,732.00,0.00,0.00,2452.00,0.00,3029.00,0.00,7050.00
1964:Q4,8255.00,8255.00,0.00,-185.00,1368.00,0.00,4424.00,912.00,0.00,0.00,1736.00,0.00,2231.00,0.00,6024.00
1965:Q1,11967.00,11967.00,0.00,3799.00,-1136.00,0.00,6264.00,448.00,0.00,0.00,2592.00,0.00,3520.00,0.00,8447.00
1965:Q2,11799.00,11799.00,0.00,-1213.00,668.00,0.00,8232.00,1364.00,0.00,0.00,2748.00,0.00,3955.00,0.00,7844.00
1965:Q3,9327.00,9327.00,0.00,1331.00,32.00,0.00,4064.00,1200.00,0.00,0.00,2700.00,0.00,3728.00,0.00,5599.00
1965:Q4,7455.00,7455.00,0.00,-137.00,1480.00,0.00,3980.00,1152.00,0.00,0.00,980.00,0.00,2949.00,0.00,4506.00
1966:Q1,10067.00,10067.00,0.00,3539.00,-1356.00,0.00,6260.00,-84.00,0.00,0.00,1708.00,0.00,2439.00,0.00,7628.00
1966:Q2,5467.00,5467.00,0.00,-1561.00,516.00,0.00,3876.00,1328.00,0.00,0.00,1308.00,0.00,1396.00,0.00,4071.00
1966:Q3,3635.00,3635.00,0.00,-125.00,-420.00,0.00,768.00,1528.00,0.00,0.00,1884.00,0.00,990.00,0.00,2645.00
1966:Q4,4563.00,4563.00,0.00,-1169.00,1052.00,0.00,1416.00,1132.00,0.00,0.00,2132.00,0.00,1723.00,0.00,2840.00
1967:Q1,3867.00,3867.00,0.00,3887.00,-1336.00,0.00,1180.00,536.00,0.00,0.00,-400.00,0.00,116.00,0.00,3751.00
1967:Q2,4127.00,4127.00,0.00,-1885.00,304.00,0.00,4648.00,1048.00,0.00,0.00,12.00,0.00,-74.00,0.00,4201.00
1967:Q3,5815.00,5815.00,0.00,183.00,-412.00,0.00,4404.00,836.00,0.00,0.00,804.00,0.00,27.00,0.00,5788.00
1967:Q4,6771.00,6771.00,0.00,-1049.00,980.00,0.00,4460.00,912.00,0.00,0.00,1468.00,0.00,487.00,0.00,6284.00
1968:Q1,7764.00,7764.00,0.00,4176.00,-1120.00,0.00,2828.00,1076.00,0.00,0.00,804.00,805.00,2527.00,0.00,4432.00
1968:Q2,9612.00,9612.00,0.00,-1944.00,340.00,0.00,7392.00,1572.00,0.00,0.00,2252.00,871.00,2609.00,0.00,6132.00
1968:Q3,10752.00,10752.00,0.00,-1284.00,-580.00,0.00,8572.00,1640.00,0.00,0.00,2404.00,976.00,3509.00,0.00,6267.00
1968:Q4,14900.00,14900.00,0.00,-488.00,1280.00,0.00,8908.00,1488.00,0.00,0.00,3712.00,568.00,4223.00,0.00,10109.00
1969:Q1,12620.00,12620.00,0.00,5708.00,-1288.00,0.00,5240.00,1600.00,0.00,0.00,1360.00,1318.00,2940.00,0.00,8362.00
1969:Q2,11760.00,11760.00,0.00,-2472.00,148.00,0.00,7872.00,2688.00,0.00,0.00,3524.00,1586.00,3710.00,0.00,6464.00
1969:Q3,7628.00,7628.00,0.00,-616.00,-328.00,0.00,3300.00,2232.00,0.00,0.00,3040.00,1767.00,1405.00,0.00,4456.00
1969:Q4,7620.00,7620.00,0.00,-1696.00,908.00,0.00,3824.00,1372.00,0.00,0.00,3212.00,1789.00,2337.00,0.00,3495.00
1970:Q1,5195.00,5195.00,0.00,887.00,-1192.00,0.00,1656.00,2184.00,0.00,0.00,1660.00,1587.00,-1184.00,0.00,4792.00
1970:Q2,3231.00,3231.00,0.00,-1129.00,256.00,0.00,2144.00,1420.00,0.00,0.00,540.00,1114.00,-1343.00,0.00,3461.00
1970:Q3,6347.00,6347.00,0.00,3539.00,408.00,0.00,3568.00,924.00,0.00,0.00,-2092.00,1607.00,1247.00,0.00,3493.00
1970:Q4,2943.00,2943.00,0.00,-757.00,996.00,0.00,1680.00,600.00,0.00,0.00,424.00,1333.00,-1204.00,0.00,2815.00
1971:Q1,18265.00,18265.00,0.00,9669.00,-1492.00,0.00,6832.00,1316.00,0.00,0.00,1940.00,9973.00,2618.00,0.00,5674.00
1971:Q2,11161.00,11161.00,0.00,-467.00,340.00,0.00,8316.00,2028.00,0.00,0.00,944.00,1039.00,3580.00,0.00,6542.00
1971:Q3,15013.00,15013.00,0.00,1609.00,-136.00,0.00,9444.00,1696.00,0.00,0.00,2400.00,1875.00,4110.00,0.00,9028.00
1971:Q4,17893.00,17893.00,0.00,-203.00,820.00,0.00,11144.00,2096.00,0.00,0.00,4036.00,710.00,6468.00,0.00,10715.00
1972:Q1,16546.00,16546.00,0.00,-1614.00,-1364.00,0.00,11260.00,2624.00,0.00,0.00,5640.00,569.00,11236.00,0.00,4742.00
1972:Q2,20738.00,20738.00,0.00,1610.00,144.00,0.00,13240.00,2820.00,0.00,0.00,2924.00,1430.00,7026.00,0.00,12282.00
1972:Q3,16938.00,16938.00,0.00,2142.00,-144.00,0.00,11220.00,496.00,0.00,0.00,3224.00,1822.00,4348.00,0.00,10768.00
1972:Q4,23834.00,23834.00,0.00,598.00,1036.00,0.00,16864.00,2836.00,0.00,0.00,2500.00,867.00,6763.00,0.00,16204.00
1973:Q1,24978.00,24978.00,0.00,-5086.00,-1356.00,0.00,21932.00,3492.00,0.00,0.00,5996.00,1824.00,7205.00,0.00,15948.00
1973:Q2,25582.00,25582.00,0.00,2290.00,332.00,0.00,16564.00,2692.00,0.00,0.00,3704.00,2242.00,7071.00,0.00,16269.00
1973:Q3,19286.00,19286.00,0.00,-378.00,-424.00,0.00,12952.00,2000.00,0.00,0.00,5136.00,1891.00,5023.00,0.00,12373.00
1973:Q4,19990.00,19990.00,0.00,750.00,676.00,0.00,12524.00,2492.00,0.00,0.00,3548.00,2079.00,4341.00,0.00,13570.00
1974:Q1,14340.00,14340.00,0.00,4612.00,-1264.00,0.00,5956.00,1756.00,0.00,0.00,3280.00,933.00,-211.00,0.00,13617.00
1974:Q2,13472.00,13472.00,0.00,1692.00,180.00,0.00,7304.00,1972.00,0.00,0.00,2324.00,3298.00,1448.00,0.00,8727.00
1974:Q3,9660.00,9660.00,0.00,-1404.00,-504.00,0.00,4864.00,3284.00,0.00,0.00,3420.00,3653.00,2750.00,0.00,3257.00
1974:Q4,-1688.00,-1688.00,0.00,-420.00,172.00,0.00,-2204.00,2036.00,0.00,0.00,-1272.00,4.00,-2011.00,0.00,319.00
1975:Q1,2113.00,2113.00,0.00,4037.00,-1752.00,0.00,-2676.00,2528.00,0.00,0.00,-24.00,698.00,-648.00,0.00,2063.00
1975:Q2,-2651.00,-2651.00,0.00,-1259.00,56.00,0.00,-776.00,1884.00,0.00,0.00,-2556.00,1509.00,-1372.00,0.00,-2789.00
1975:Q3,11773.00,11773.00,0.00,-1999.00,-508.00,0.00,7860.00,5668.00,0.00,0.00,752.00,4458.00,4727.00,0.00,2588.00
1975:Q4,19845.00,19845.00,0.00,2965.00,544.00,0.00,11708.00,5004.00,0.00,0.00,-376.00,-1314.00,8293.00,0.00,12866.00
1976:Q1,19262.00,19262.00,0.00,6030.00,-1316.00,0.00,7828.00,5152.00,0.00,0.00,1568.00,1567.00,9472.00,0.00,8223.00
1976:Q2,18102.00,18102.00,0.00,-1190.00,156.00,0.00,12608.00,6028.00,0.00,0.00,500.00,2723.00,10321.00,0.00,5059.00
1976:Q3,19762.00,19762.00,0.00,-2742.00,-488.00,0.00,14568.00,5796.00,0.00,0.00,2628.00,7189.00,8897.00,0.00,3676.00
1976:Q4,30734.00,30734.00,0.00,7054.00,900.00,0.00,15872.00,5036.00,0.00,0.00,1872.00,-2799.00,10438.00,0.00,23095.00
1977:Q1,28264.00,28264.00,0.00,-876.00,-1276.00,0.00,17320.00,6128.00,1076.00,0.00,5892.00,63357.00,11816.00,0.00,-46909.00
1977:Q2,40920.00,40920.00,0.00,3532.00,-416.00,0.00,26168.00,7392.00,80.00,0.00,4164.00,7368.00,15335.00,0.00,18217.00
1977:Q3,36092.00,36092.00,0.00,36.00,-848.00,0.00,23924.00,6312.00,320.00,0.00,6348.00,9631.00,14953.00,0.00,11508.00
1977:Q4,37884.00,37884.00,0.00,752.00,604.00,0.00,25356.00,5912.00,20.00,0.00,5240.00,7980.00,14280.00,0.00,15624.00
1978:Q1,39675.00,39675.00,0.00,4799.00,-2056.00,0.00,23044.00,7336.00,300.00,0.00,6252.00,4749.00,14109.00,0.00,20817.00
1978:Q2,60227.00,60227.00,0.00,3543.00,-544.00,0.00,38288.00,10960.00,400.00,0.00,7580.00,9216.00,23775.00,0.00,27236.00
1978:Q3,45191.00,45191.00,0.00,-321.00,-576.00,0.00,29600.00,5812.00,220.00,0.00,10456.00,12508.00,16786.00,0.00,15896.00
1978:Q4,40559.00,40559.00,0.00,527.00,1020.00,0.00,19228.00,6160.00,680.00,0.00,12944.00,9667.00,16394.00,0.00,14498.00
1979:Q1,45223.00,45223.00,0.00,6563.00,-2024.00,0.00,23432.00,4360.00,460.00,0.00,12432.00,6663.00,17500.00,0.00,21061.00
1979:Q2,44711.00,44711.00,0.00,4739.00,-404.00,0.00,26156.00,2212.00,440.00,0.00,11568.00,9174.00,17621.00,0.00,17916.00
1979:Q3,45931.00,45931.00,0.00,-1561.00,-520.00,0.00,29372.00,3804.00,540.00,0.00,14296.00,10487.00,10623.00,0.00,24820.00
1979:Q4,37379.00,37379.00,0.00,-2541.00,648.00,0.00,25504.00,-1512.00,920.00,0.00,14360.00,8188.00,9296.00,0.00,19895.00
1980:Q1,17909.00,17909.00,0.00,-799.00,-1896.00,0.00,5880.00,-4128.00,908.00,0.00,17944.00,4145.00,7571.00,0.00,6193.00
1980:Q2,-25283.00,-25283.00,0.00,2309.00,-736.00,0.00,-22960.00,-12272.00,1560.00,0.00,6816.00,-3123.00,-9757.00,0.00,-12404.00
1980:Q3,5961.00,5961.00,0.00,2417.00,-300.00,0.00,1672.00,-420.00,624.00,0.00,1968.00,2191.00,-3946.00,0.00,7717.00
1980:Q4,15125.00,15125.00,0.00,485.00,0.00,0.00,4004.00,3488.00,1444.00,0.00,5704.00,3063.00,4336.00,0.00,7726.00
1981:Q1,21285.00,21285.00,0.00,5373.00,-300.00,0.00,668.00,3932.00,3088.00,0.00,8524.00,7060.00,7666.00,0.00,6559.00
1981:Q2,22921.00,22921.00,0.00,4265.00,-100.00,0.00,9780.00,5392.00,952.00,0.00,2632.00,9306.00,6097.00,0.00,7519.00
1981:Q3,27865.00,27865.00,0.00,-2415.00,0.00,0.00,7392.00,2588.00,2728.00,0.00,17572.00,6409.00,11844.00,0.00,9612.00
1981:Q4,7281.00,7281.00,0.00,-3539.00,-100.00,0.00,3408.00,-1276.00,1980.00,0.00,6808.00,2430.00,5486.00,0.00,-634.00
1982:Q1,22625.00,22625.00,0.00,-2479.00,0.00,0.00,12332.00,2304.00,864.00,0.00,9604.00,5036.00,6552.00,0.00,11038.00
1982:Q2,20689.00,20689.00,0.00,1773.00,-100.00,0.00,8528.00,636.00,1504.00,0.00,8348.00,7364.00,9265.00,0.00,4061.00
1982:Q3,9769.00,9769.00,0.00,-147.00,0.00,0.00,7180.00,2460.00,2404.00,0.00,-2128.00,8012.00,-3738.00,0.00,5495.00
1982:Q4,22261.00,22261.00,0.00,2713.00,0.00,0.00,9188.00,3000.00,1576.00,0.00,5784.00,2205.00,18869.00,0.00,1187.00
1983:Q1,23876.00,23876.00,0.00,-7112.00,0.00,0.00,9148.00,4456.00,-2492.00,0.00,19876.00,8644.00,8266.00,0.00,6966.00
1983:Q2,37940.00,37940.00,0.00,8280.00,0.00,0.00,16352.00,5360.00,-1708.00,0.00,9656.00,11117.00,16668.00,0.00,10154.00
1983:Q3,52892.00,52892.00,0.00,14420.00,0.00,0.00,35992.00,9196.00,-1432.00,0.00,-5284.00,14967.00,20794.00,0.00,17130.00
1983:Q4,77932.00,77932.00,0.00,2724.00,0.00,0.00,49172.00,10208.00,-1696.00,0.00,17524.00,18635.00,29295.00,0.00,30002.00
1984:Q1,79420.00,79420.00,0.00,-9252.00,0.00,0.00,62548.00,15872.00,-896.00,0.00,11148.00,20085.00,33426.00,0.00,25909.00
1984:Q2,99272.00,99272.00,0.00,7516.00,0.00,0.00,69680.00,12812.00,2684.00,0.00,6580.00,25744.00,32024.00,0.00,41504.00
1984:Q3,71504.00,71504.00,0.00,16912.00,0.00,0.00,53420.00,8116.00,1604.00,0.00,-8548.00,22399.00,20343.00,0.00,28762.00
1984:Q4,76628.00,76628.00,0.00,-3124.00,0.00,0.00,46024.00,10188.00,576.00,0.00,22964.00,21588.00,30590.00,0.00,24450.00
1985:Q1,99470.00,99470.00,0.00,-9754.00,0.00,0.00,77876.00,11960.00,276.00,0.00,19112.00,32917.00,41645.00,0.00,24907.00
1985:Q2,79354.00,79354.00,0.00,6062.00,0.00,0.00,47064.00,7024.00,1760.00,0.00,17444.00,18181.00,36403.00,0.00,24770.00
1985:Q3,85326.00,85326.00,0.00,20430.00,0.00,0.00,40812.00,2008.00,1288.00,0.00,20788.00,25323.00,36884.00,0.00,23118.00
1985:Q4,71810.00,71810.00,0.00,-230.00,0.00,0.00,41360.00,3600.00,1580.00,0.00,25500.00,24766.00,30723.00,0.00,16321.00
1986:Q1,55403.00,55403.00,0.00,-2225.00,0.00,0.00,39452.00,1440.00,592.00,0.00,16144.00,24255.00,27879.00,0.00,3269.00
1986:Q2,67459.00,67459.00,0.00,6415.00,0.00,0.00,35020.00,3796.00,3444.00,0.00,18784.00,17222.00,37949.00,0.00,12288.00
1986:Q3,64611.00,64611.00,0.00,11595.00,0.00,0.00,18300.00,1976.00,716.00,0.00,32024.00,12587.00,52473.00,0.00,-450.00
1986:Q4,35651.00,35651.00,0.00,2263.00,0.00,0.00,20236.00,5032.00,748.00,0.00,7372.00,15332.00,26395.00,0.00,-6075.00
1987:Q1,-13496.00,-13496.00,0.00,3992.00,0.00,0.00,-3872.00,-300.00,524.00,0.00,-13840.00,11272.00,9938.00,0.00,-34706.00
1987:Q2,47516.00,47516.00,0.00,10080.00,0.00,0.00,27588.00,5016.00,2616.00,0.00,2216.00,26508.00,22302.00,0.00,-1294.00
1987:Q3,53972.00,53972.00,0.00,12392.00,0.00,0.00,17724.00,6692.00,2412.00,0.00,14752.00,27201.00,27174.00,0.00,-402.00
1987:Q4,41148.00,41148.00,0.00,1580.00,0.00,0.00,23860.00,4404.00,1924.00,0.00,9380.00,17967.00,15110.00,0.00,8071.00
1988:Q1,58496.00,58496.00,0.00,9112.00,0.00,0.00,39568.00,9188.00,2592.00,0.00,-1964.00,29815.00,30326.00,0.00,-1645.00
1988:Q2,50920.00,50920.00,0.00,5236.00,0.00,0.00,36032.00,6760.00,3216.00,0.00,-324.00,21740.00,21084.00,0.00,8096.00
1988:Q3,40000.00,40000.00,0.00,7296.00,0.00,0.00,24936.00,7492.00,3888.00,0.00,-3612.00,18771.00,15880.00,0.00,5348.00
1988:Q4,36848.00,36848.00,0.00,5272.00,0.00,0.00,12040.00,5808.00,2940.00,0.00,10788.00,28957.00,8186.00,0.00,-295.00
1989:Q1,45388.00,45388.00,0.00,-11945.00,0.00,0.00,19170.00,1534.00,1884.00,27053.00,7692.00,-10651.00,-15096.00,0.00,71135.00
1989:Q2,54220.00,54220.00,0.00,-4313.00,0.00,0.00,26597.00,4680.00,2280.00,13380.00,11597.00,27856.00,10954.00,0.00,15410.00
1989:Q3,35764.00,35764.00,0.00,2381.00,0.00,0.00,17614.00,5711.00,2692.00,8785.00,-1420.00,21990.00,-4315.00,0.00,18088.00
1989:Q4,52544.00,52544.00,0.00,26165.00,0.00,0.00,9702.00,1331.00,4452.00,31722.00,-20828.00,33344.00,713.00,0.00,18486.00
1990:Q1,18032.00,18032.00,0.00,108.00,0.00,0.00,-12647.00,2213.00,2924.00,32883.00,-7448.00,26927.00,-57.00,0.00,-8838.00
1990:Q2,18068.00,18068.00,0.00,-4286.00,0.00,0.00,-17360.00,-1774.00,2140.00,43030.00,-3682.00,33734.00,884.00,0.00,-16550.00
1990:Q3,31660.00,31660.00,0.00,6233.00,0.00,0.00,-1969.00,747.00,2292.00,12458.00,11900.00,35794.00,-11753.00,0.00,7619.00
1990:Q4,-7336.00,-7336.00,0.00,11193.00,0.00,0.00,-24872.00,-1413.00,5500.00,28942.00,-26685.00,18001.00,-17050.00,0.00,-8288.00
1991:Q1,1875.00,1875.00,0.00,-13019.00,0.00,0.00,-4094.00,-2574.00,3536.00,37276.00,-19249.00,32146.00,-20817.00,0.00,-9454.00
1991:Q2,-8037.00,-8037.00,0.00,-9247.00,0.00,0.00,-25275.00,-5146.00,1960.00,28156.00,1514.00,24588.00,-31803.00,0.00,-821.00
1991:Q3,-19029.00,-19029.00,0.00,3265.00,0.00,0.00,-34365.00,-863.00,608.00,27610.00,-15283.00,26402.00,-20388.00,0.00,-25043.00
1991:Q4,-10049.00,-10049.00,0.00,2389.00,0.00,0.00,-13430.00,3403.00,1340.00,12135.00,-15886.00,21584.00,-5700.00,0.00,-25933.00
1992:Q1,6750.00,6750.00,0.00,-15347.00,0.00,0.00,-19209.00,8054.00,3184.00,33259.00,-3192.00,12135.00,6251.00,0.00,-11636.00
