1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,24943.00,14592.00,0.00,638.00,2963.00,816.00,0.00,0.00,0.00,10175.00,0.00,0.00,392.00,98.00,313.00,177.00,0.00,0.00,0.00,2765.00,175.00,2590.00,911.00,911.00,0.00,0.00,0.00,0.00,0.00,1175.00,0.00,17.00,1158.00,0.00,0.00,0.00,2696.00,2426.00,270.00,1421.00,1421.00,893.00,893.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q1,24613.00,14764.00,0.00,624.00,3064.00,771.00,0.00,0.00,0.00,10305.00,0.00,0.00,366.00,92.00,269.00,189.00,0.00,0.00,0.00,2807.00,180.00,2627.00,589.00,589.00,0.00,0.00,0.00,0.00,0.00,1210.00,0.00,18.00,1192.00,0.00,0.00,0.00,2615.00,2354.00,262.00,1422.00,1422.00,748.00,748.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q2,25106.00,15033.00,0.00,608.00,3133.00,844.00,0.00,0.00,0.00,10448.00,0.00,0.00,333.00,83.00,254.00,162.00,0.00,0.00,0.00,2846.00,185.00,2661.00,653.00,653.00,0.00,0.00,0.00,0.00,0.00,1245.00,0.00,20.00,1225.00,0.00,0.00,0.00,2764.00,2488.00,276.00,1454.00,1454.00,695.00,695.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q3,25639.00,15395.00,0.00,624.00,3166.00,980.00,0.00,0.00,0.00,10625.00,0.00,0.00,363.00,91.00,315.00,139.00,0.00,0.00,0.00,2882.00,185.00,2697.00,715.00,715.00,0.00,0.00,0.00,0.00,0.00,1220.00,0.00,19.00,1201.00,0.00,0.00,0.00,2831.00,2548.00,283.00,1465.00,1465.00,677.00,677.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q4,26391.00,15593.00,0.00,660.00,3189.00,1138.00,0.00,0.00,0.00,10606.00,0.00,0.00,394.00,98.00,335.00,157.00,0.00,0.00,0.00,2902.00,189.00,2713.00,864.00,864.00,0.00,0.00,0.00,0.00,0.00,1197.00,0.00,18.00,1179.00,0.00,0.00,0.00,3127.00,2814.00,313.00,1502.00,1502.00,714.00,714.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q1,26652.00,15749.00,0.00,681.00,3372.00,913.00,0.00,0.00,0.00,10783.00,0.00,0.00,364.00,91.00,313.00,142.00,0.00,0.00,0.00,2953.00,195.00,2758.00,611.00,611.00,0.00,0.00,0.00,0.00,0.00,1110.00,0.00,17.00,1093.00,0.00,0.00,0.00,3372.00,3035.00,337.00,1665.00,1665.00,737.00,737.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q2,27616.00,16394.00,4.00,996.00,3378.00,839.00,0.00,0.00,0.00,11177.00,0.00,0.00,342.00,86.00,281.00,147.00,0.00,0.00,0.00,3006.00,200.00,2806.00,718.00,718.00,0.00,0.00,0.00,0.00,0.00,1149.00,0.00,19.00,1130.00,0.00,0.00,0.00,3428.00,3085.00,343.00,1854.00,1854.00,639.00,639.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q3,28309.00,16966.00,6.00,1014.00,3410.00,842.00,0.00,0.00,0.00,11694.00,0.00,0.00,412.00,103.00,342.00,173.00,0.00,0.00,0.00,3055.00,205.00,2850.00,801.00,801.00,0.00,0.00,0.00,0.00,0.00,1124.00,0.00,18.00,1106.00,0.00,0.00,0.00,3396.00,3056.00,340.00,1789.00,1789.00,663.00,663.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q4,28596.00,17136.00,8.00,963.00,3476.00,774.00,0.00,0.00,0.00,11915.00,0.00,0.00,458.00,115.00,376.00,197.00,0.00,0.00,0.00,3122.00,208.00,2914.00,952.00,952.00,0.00,0.00,0.00,0.00,0.00,987.00,0.00,14.00,973.00,0.00,0.00,0.00,3252.00,2927.00,325.00,1866.00,1866.00,708.00,708.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q1,28545.00,17114.00,11.00,920.00,3612.00,670.00,0.00,0.00,0.00,11901.00,0.00,0.00,464.00,116.00,402.00,178.00,0.00,0.00,0.00,3187.00,215.00,2972.00,630.00,630.00,0.00,0.00,0.00,0.00,0.00,1024.00,0.00,15.00,1009.00,0.00,0.00,0.00,3336.00,3002.00,334.00,1888.00,1888.00,786.00,786.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
