1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,47891.00,21594.00,747.00,947.00,4653.00,1466.00,104.00,0.00,0.00,13677.00,0.00,0.00,2146.00,537.00,895.00,1788.00,0.00,0.00,0.00,6230.00,497.00,5733.00,2662.00,2662.00,0.00,0.00,0.00,0.00,0.00,2347.00,0.00,59.00,2288.00,0.00,0.00,0.00,8392.00,7553.00,839.00,4723.00,4723.00,-740.00,-740.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q1,47582.00,22229.00,790.00,1007.00,4816.00,1551.00,44.00,0.00,0.00,14021.00,0.00,0.00,1998.00,500.00,742.00,1756.00,0.00,0.00,0.00,6356.00,508.00,5848.00,2151.00,2151.00,0.00,0.00,0.00,0.00,0.00,2493.00,0.00,63.00,2430.00,0.00,0.00,0.00,8576.00,7718.00,858.00,4379.00,4379.00,-1100.00,-1100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q2,49286.00,22805.00,846.00,1120.00,4814.00,1712.00,0.00,0.00,0.00,14313.00,0.00,0.00,1874.00,468.00,734.00,1608.00,0.00,0.00,0.00,6515.00,520.00,5995.00,2767.00,2767.00,0.00,0.00,0.00,0.00,0.00,2690.00,0.00,72.00,2618.00,0.00,0.00,0.00,8616.00,7754.00,862.00,4001.00,4001.00,-450.00,-450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q3,49721.00,22938.00,924.00,1134.00,4870.00,1764.00,34.00,0.00,0.00,14212.00,0.00,0.00,1825.00,456.00,737.00,1544.00,0.00,0.00,0.00,6654.00,530.00,6124.00,3046.00,3046.00,0.00,0.00,0.00,0.00,0.00,2697.00,0.00,73.00,2624.00,0.00,0.00,0.00,8138.00,7324.00,814.00,4305.00,4305.00,-338.00,-338.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q4,51202.00,23462.00,970.00,1163.00,4876.00,1970.00,89.00,0.00,0.00,14394.00,0.00,0.00,2120.00,530.00,898.00,1752.00,0.00,0.00,0.00,6774.00,540.00,6234.00,3479.00,3479.00,0.00,0.00,0.00,0.00,0.00,2575.00,0.00,70.00,2505.00,0.00,0.00,0.00,8562.00,7706.00,856.00,4564.00,4564.00,-864.00,-864.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q1,51278.00,24184.00,1032.00,1128.00,5123.00,2031.00,63.00,0.00,0.00,14807.00,0.00,0.00,2071.00,518.00,818.00,1771.00,0.00,0.00,0.00,6898.00,550.00,6348.00,2514.00,2514.00,0.00,0.00,0.00,0.00,0.00,2766.00,0.00,76.00,2690.00,0.00,0.00,0.00,9146.00,8231.00,915.00,4645.00,4645.00,-1464.00,-1464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q2,54661.00,24626.00,1075.00,1168.00,5065.00,2052.00,0.00,0.00,0.00,15266.00,0.00,0.00,2158.00,539.00,732.00,1965.00,0.00,0.00,0.00,7033.00,561.00,6472.00,3270.00,3270.00,0.00,0.00,0.00,0.00,0.00,2994.00,0.00,88.00,2906.00,0.00,0.00,0.00,9526.00,8573.00,953.00,5423.00,5423.00,-908.00,-908.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q3,55804.00,24851.00,1131.00,1178.00,5085.00,2154.00,0.00,0.00,0.00,15303.00,0.00,0.00,2167.00,542.00,708.00,2001.00,0.00,0.00,0.00,7137.00,570.00,6567.00,4024.00,4024.00,0.00,0.00,0.00,0.00,0.00,3053.00,0.00,92.00,2961.00,0.00,0.00,0.00,9131.00,8218.00,913.00,5893.00,5893.00,-994.00,-994.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q4,58120.00,25347.00,1173.00,1215.00,5209.00,2203.00,0.00,0.00,0.00,15547.00,0.00,0.00,2312.00,578.00,665.00,2225.00,0.00,0.00,0.00,7234.00,579.00,6655.00,4784.00,4784.00,0.00,0.00,0.00,0.00,0.00,2939.00,0.00,83.00,2856.00,0.00,0.00,0.00,9977.00,8979.00,998.00,6095.00,6095.00,-1146.00,-1146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q1,60326.00,26031.00,1246.00,1249.00,5457.00,2199.00,0.00,0.00,0.00,15880.00,0.00,0.00,2482.00,620.00,708.00,2394.00,0.00,0.00,0.00,7366.00,589.00,6777.00,4168.00,4168.00,0.00,0.00,0.00,0.00,0.00,3053.00,0.00,92.00,2961.00,0.00,0.00,0.00,10833.00,9750.00,1083.00,5926.00,5926.00,-153.00,-153.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q2,61435.00,26720.00,1281.00,1271.00,5519.00,2274.00,4.00,0.00,0.00,16371.00,0.00,0.00,2519.00,630.00,711.00,2438.00,0.00,0.00,0.00,7510.00,599.00,6911.00,4769.00,4769.00,0.00,0.00,0.00,0.00,0.00,3261.00,0.00,104.00,3157.00,0.00,0.00,0.00,11476.00,10328.00,1148.00,5927.00,5927.00,-1377.00,-1377.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q3,62903.00,27505.00,1348.00,1321.00,5546.00,2372.00,134.00,0.00,0.00,16784.00,0.00,0.00,2540.00,635.00,761.00,2414.00,0.00,0.00,0.00,7637.00,608.00,7029.00,4837.00,4837.00,0.00,0.00,0.00,0.00,0.00,3325.00,0.00,104.00,3221.00,0.00,0.00,0.00,11233.00,10110.00,1123.00,5764.00,5764.00,-573.00,-573.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q4,64169.00,28142.00,1397.00,1418.00,5635.00,2464.00,131.00,0.00,0.00,17097.00,0.00,0.00,2708.00,677.00,764.00,2621.00,0.00,0.00,0.00,7758.00,618.00,7140.00,5325.00,5325.00,0.00,0.00,0.00,0.00,0.00,3205.00,0.00,93.00,3112.00,0.00,0.00,0.00,11567.00,10410.00,1157.00,5610.00,5610.00,-823.00,-823.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q1,65418.00,28919.00,1461.00,1512.00,5801.00,2523.00,27.00,0.00,0.00,17595.00,0.00,0.00,2660.00,665.00,735.00,2590.00,0.00,0.00,0.00,7897.00,628.00,7269.00,4747.00,4747.00,0.00,0.00,0.00,0.00,0.00,3387.00,0.00,100.00,3287.00,0.00,0.00,0.00,12327.00,11094.00,1233.00,5572.00,5572.00,-756.00,-756.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q2,68197.00,29698.00,1507.00,1571.00,5842.00,2655.00,0.00,0.00,0.00,18123.00,0.00,0.00,2684.00,671.00,750.00,2605.00,0.00,0.00,0.00,8057.00,638.00,7419.00,5586.00,5586.00,0.00,0.00,0.00,0.00,0.00,3617.00,0.00,115.00,3502.00,0.00,0.00,0.00,12970.00,11673.00,1297.00,5592.00,5592.00,-678.00,-678.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q3,68425.00,30140.00,1585.00,1620.00,5853.00,2719.00,129.00,0.00,0.00,18234.00,0.00,0.00,2651.00,663.00,860.00,2454.00,0.00,0.00,0.00,8210.00,649.00,7561.00,5802.00,5802.00,0.00,0.00,0.00,0.00,0.00,3665.00,0.00,117.00,3548.00,0.00,0.00,0.00,12422.00,11180.00,1242.00,5420.00,5420.00,-548.00,-548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q4,71532.00,31026.00,1632.00,1716.00,5879.00,2777.00,336.00,0.00,0.00,18686.00,0.00,0.00,2714.00,678.00,891.00,2501.00,0.00,0.00,0.00,8338.00,660.00,7678.00,5997.00,5997.00,0.00,0.00,0.00,0.00,0.00,3571.00,0.00,108.00,3463.00,0.00,0.00,0.00,13532.00,12179.00,1353.00,5986.00,5986.00,-310.00,-310.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q1,73285.00,31988.00,1739.00,1883.00,6217.00,2823.00,238.00,0.00,0.00,19088.00,0.00,0.00,2710.00,678.00,843.00,2545.00,0.00,0.00,0.00,8533.00,672.00,7861.00,5687.00,5687.00,0.00,0.00,0.00,0.00,0.00,3845.00,0.00,118.00,3727.00,0.00,0.00,0.00,14351.00,12916.00,1435.00,6137.00,6137.00,-644.00,-644.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q2,76362.00,32411.00,1856.00,1932.00,6120.00,2910.00,0.00,0.00,0.00,19593.00,0.00,0.00,2736.00,684.00,945.00,2475.00,0.00,0.00,0.00,8857.00,684.00,8173.00,6783.00,6783.00,0.00,0.00,0.00,0.00,0.00,4170.00,0.00,133.00,4037.00,0.00,0.00,0.00,14723.00,13251.00,1472.00,6303.00,6303.00,-305.00,-305.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q3,77087.00,33571.00,2062.00,1986.00,6161.00,3207.00,401.00,0.00,0.00,19754.00,0.00,0.00,2696.00,674.00,1104.00,2266.00,0.00,0.00,0.00,9354.00,697.00,8657.00,7175.00,7175.00,0.00,0.00,0.00,0.00,0.00,4275.00,0.00,134.00,4141.00,0.00,0.00,0.00,13490.00,12141.00,1349.00,5905.00,5905.00,-53.00,-53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q4,78916.00,33847.00,2114.00,2083.00,6078.00,3404.00,103.00,0.00,0.00,20065.00,0.00,0.00,2882.00,721.00,1063.00,2540.00,0.00,0.00,0.00,9827.00,710.00,9117.00,6935.00,6935.00,0.00,0.00,0.00,0.00,0.00,4213.00,0.00,130.00,4083.00,0.00,0.00,0.00,14606.00,13145.00,1461.00,5950.00,5950.00,-65.00,-65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q1,81056.00,35241.00,2198.00,2172.00,6282.00,3414.00,56.00,0.00,0.00,21119.00,0.00,0.00,2963.00,741.00,1076.00,2628.00,0.00,0.00,0.00,10119.00,723.00,9396.00,5175.00,5175.00,0.00,0.00,0.00,0.00,0.00,4531.00,0.00,142.00,4389.00,0.00,0.00,0.00,15045.00,13541.00,1505.00,6479.00,6479.00,762.00,762.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q2,82437.00,35953.00,2258.00,2245.00,6392.00,3464.00,0.00,0.00,0.00,21594.00,0.00,0.00,3305.00,826.00,1103.00,3028.00,0.00,0.00,0.00,10406.00,736.00,9670.00,4302.00,4302.00,0.00,0.00,0.00,0.00,0.00,4843.00,0.00,162.00,4681.00,0.00,0.00,0.00,14520.00,13068.00,1452.00,6983.00,6983.00,1299.00,1299.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q3,84240.00,37069.00,2360.00,2207.00,6372.00,3570.00,497.00,0.00,0.00,22063.00,0.00,0.00,3317.00,829.00,1217.00,2929.00,0.00,0.00,0.00,10609.00,749.00,9860.00,4122.00,4122.00,0.00,0.00,0.00,0.00,0.00,4907.00,0.00,164.00,4743.00,0.00,0.00,0.00,13889.00,12500.00,1389.00,7922.00,7922.00,1576.00,1576.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q4,87458.00,37439.00,2443.00,2283.00,6593.00,3579.00,36.00,0.00,0.00,22505.00,0.00,0.00,3454.00,863.00,1304.00,3013.00,0.00,0.00,0.00,10819.00,760.00,10059.00,4386.00,4386.00,0.00,0.00,0.00,0.00,0.00,4917.00,0.00,157.00,4760.00,0.00,0.00,0.00,14257.00,12831.00,1426.00,9164.00,9164.00,2159.00,2159.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q1,88968.00,38583.00,2557.00,2370.00,6619.00,3636.00,62.00,0.00,0.00,23339.00,0.00,0.00,3469.00,867.00,1345.00,2991.00,0.00,0.00,0.00,11107.00,771.00,10336.00,4269.00,4269.00,0.00,0.00,0.00,0.00,0.00,5212.00,0.00,172.00,5040.00,0.00,0.00,0.00,15299.00,13769.00,1530.00,8593.00,8593.00,1569.00,1569.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q2,95608.00,39102.00,2938.00,1678.00,6673.00,3835.00,56.00,0.00,0.00,23922.00,0.00,0.00,3429.00,857.00,1490.00,2796.00,0.00,0.00,0.00,11478.00,781.00,10697.00,4889.00,4889.00,0.00,0.00,0.00,0.00,0.00,5394.00,0.00,189.00,5205.00,0.00,0.00,0.00,16223.00,14601.00,1622.00,10514.00,10514.00,3722.00,3722.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q3,98148.00,40107.00,3059.00,1683.00,6764.00,3878.00,294.00,0.00,0.00,24429.00,0.00,0.00,3462.00,865.00,1582.00,2745.00,0.00,0.00,0.00,11836.00,794.00,11042.00,5026.00,5026.00,0.00,0.00,0.00,0.00,0.00,5320.00,0.00,184.00,5136.00,0.00,0.00,0.00,15620.00,14058.00,1562.00,10759.00,10759.00,5153.00,5153.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q4,101170.00,40770.00,3206.00,1706.00,6868.00,3993.00,283.00,0.00,0.00,24714.00,0.00,0.00,3542.00,886.00,1574.00,2854.00,0.00,0.00,0.00,12109.00,803.00,11306.00,5259.00,5259.00,0.00,0.00,0.00,0.00,0.00,5231.00,0.00,174.00,5057.00,0.00,0.00,0.00,16490.00,14841.00,1649.00,12005.00,12005.00,4878.00,4878.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q1,98729.00,41644.00,3329.00,1747.00,7045.00,4130.00,0.00,0.00,0.00,25393.00,0.00,0.00,3571.00,893.00,1687.00,2777.00,350.00,350.00,0.00,12542.00,817.00,11725.00,5331.00,5331.00,0.00,0.00,0.00,0.00,0.00,5584.00,0.00,187.00,5397.00,0.00,0.00,0.00,17060.00,15354.00,1706.00,10271.00,10271.00,1483.00,1483.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q2,106565.00,42380.00,3360.00,1777.00,7077.00,4205.00,0.00,0.00,0.00,25961.00,0.00,0.00,3904.00,976.00,1813.00,3067.00,1662.00,1662.00,0.00,13199.00,838.00,12361.00,6413.00,6413.00,0.00,0.00,0.00,0.00,0.00,5949.00,0.00,208.00,5741.00,0.00,0.00,0.00,18970.00,17073.00,1897.00,9841.00,9841.00,3271.00,3271.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q3,108380.00,43248.00,3488.00,1790.00,7200.00,4271.00,0.00,0.00,0.00,26499.00,0.00,0.00,4186.00,1046.00,2259.00,2973.00,3858.00,3858.00,0.00,14050.00,868.00,13182.00,7940.00,7940.00,0.00,0.00,0.00,0.00,0.00,5914.00,0.00,208.00,5706.00,0.00,0.00,0.00,19709.00,17738.00,1971.00,8216.00,8216.00,213.00,213.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q4,116143.00,44151.00,3586.00,1824.00,7182.00,4739.00,0.00,0.00,0.00,26820.00,0.00,0.00,4361.00,1090.00,2282.00,3169.00,3946.00,3946.00,0.00,14713.00,888.00,13825.00,9289.00,9289.00,0.00,0.00,0.00,0.00,0.00,6007.00,0.00,210.00,5797.00,0.00,0.00,0.00,21459.00,19313.00,2146.00,8476.00,8476.00,2651.00,2651.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q1,119666.00,44935.00,3704.00,1883.00,7391.00,4698.00,0.00,0.00,0.00,27259.00,0.00,0.00,4282.00,1070.00,2309.00,3043.00,6837.00,6837.00,0.00,15456.00,912.00,14544.00,9745.00,9745.00,0.00,0.00,0.00,0.00,0.00,6484.00,0.00,227.00,6257.00,0.00,0.00,0.00,22077.00,19869.00,2208.00,7298.00,7298.00,1482.00,1482.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q2,123663.00,45487.00,3778.00,1971.00,7554.00,4572.00,0.00,0.00,0.00,27612.00,0.00,0.00,4778.00,1195.00,2686.00,3287.00,8083.00,8083.00,0.00,16124.00,933.00,15191.00,10236.00,10236.00,0.00,0.00,0.00,0.00,0.00,6846.00,0.00,251.00,6595.00,0.00,0.00,0.00,23028.00,20725.00,2303.00,6532.00,6532.00,1354.00,1354.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q3,122285.00,46208.00,3840.00,2021.00,7621.00,4766.00,0.00,0.00,0.00,27960.00,0.00,0.00,4678.00,1170.00,2792.00,3056.00,5228.00,5228.00,0.00,16653.00,950.00,15703.00,10525.00,10525.00,0.00,0.00,0.00,0.00,0.00,6855.00,0.00,250.00,6605.00,0.00,0.00,0.00,22411.00,20170.00,2241.00,6795.00,6795.00,1762.00,1762.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q4,123881.00,46664.00,3879.00,2108.00,7701.00,4816.00,0.00,0.00,0.00,28160.00,0.00,0.00,5646.00,1412.00,3090.00,3968.00,2954.00,2954.00,0.00,17021.00,957.00,16064.00,10615.00,10615.00,0.00,0.00,0.00,0.00,0.00,7004.00,0.00,252.00,6752.00,0.00,0.00,0.00,21813.00,19632.00,2181.00,7188.00,7188.00,3564.00,3564.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q1,124717.00,47197.00,4076.00,1502.00,7842.00,4909.00,0.00,0.00,0.00,28868.00,0.00,0.00,5738.00,1435.00,3120.00,4053.00,2858.00,2858.00,0.00,17257.00,961.00,16296.00,9690.00,9690.00,0.00,0.00,0.00,0.00,0.00,7533.00,0.00,275.00,7258.00,0.00,0.00,0.00,23229.00,20906.00,2323.00,7302.00,7302.00,2478.00,2478.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q2,125818.00,48109.00,4141.00,1582.00,7991.00,4841.00,0.00,0.00,0.00,29554.00,0.00,0.00,6116.00,1529.00,3652.00,3993.00,3058.00,3058.00,0.00,17494.00,963.00,16531.00,7241.00,7241.00,0.00,0.00,0.00,0.00,0.00,7950.00,0.00,304.00,7646.00,0.00,0.00,0.00,23883.00,21495.00,2388.00,8159.00,8159.00,2279.00,2279.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q3,126405.00,48689.00,4173.00,1591.00,8056.00,5090.00,0.00,0.00,0.00,29779.00,0.00,0.00,6518.00,1630.00,4096.00,4052.00,2960.00,2960.00,0.00,17779.00,967.00,16812.00,7637.00,7637.00,0.00,0.00,0.00,0.00,0.00,7720.00,0.00,301.00,7419.00,0.00,0.00,0.00,23180.00,20862.00,2318.00,8785.00,8785.00,1507.00,1507.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q4,130056.00,49157.00,4239.00,1656.00,8103.00,5181.00,0.00,0.00,0.00,29978.00,0.00,0.00,6311.00,1578.00,3619.00,4270.00,2840.00,2840.00,0.00,18034.00,969.00,17065.00,7936.00,7936.00,0.00,0.00,0.00,0.00,0.00,7682.00,0.00,291.00,7391.00,0.00,0.00,0.00,23157.00,20841.00,2316.00,9764.00,9764.00,3597.00,3597.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q1,131501.00,49894.00,4413.00,1660.00,8029.00,5448.00,0.00,0.00,0.00,30344.00,0.00,0.00,6388.00,1597.00,3575.00,4410.00,2772.00,2772.00,0.00,18236.00,969.00,17267.00,5992.00,5992.00,0.00,0.00,0.00,0.00,0.00,8160.00,0.00,306.00,7854.00,0.00,0.00,0.00,24720.00,22248.00,2472.00,11646.00,11646.00,2096.00,2096.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q2,133248.00,50060.00,4456.00,1691.00,8139.00,5145.00,0.00,0.00,0.00,30629.00,0.00,0.00,5655.00,1414.00,3586.00,3483.00,2296.00,2296.00,0.00,18493.00,971.00,17522.00,6075.00,6075.00,0.00,0.00,0.00,0.00,0.00,8441.00,0.00,325.00,8116.00,0.00,0.00,0.00,25488.00,22939.00,2549.00,13000.00,13000.00,2326.00,2326.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q3,132759.00,51030.00,4666.00,1745.00,8297.00,5271.00,0.00,0.00,0.00,31051.00,0.00,0.00,5282.00,1320.00,3635.00,2967.00,2264.00,2264.00,0.00,18751.00,980.00,17771.00,6736.00,6736.00,0.00,0.00,0.00,0.00,0.00,8371.00,0.00,317.00,8054.00,0.00,0.00,0.00,24999.00,22499.00,2500.00,13394.00,13394.00,612.00,612.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q4,140096.00,51687.00,4624.00,1900.00,8197.00,5526.00,0.00,0.00,0.00,31440.00,0.00,0.00,5518.00,1380.00,3672.00,3226.00,2598.00,2598.00,0.00,18984.00,981.00,18003.00,7979.00,7979.00,0.00,0.00,0.00,0.00,0.00,8394.00,0.00,320.00,8074.00,0.00,0.00,0.00,27362.00,24626.00,2736.00,13485.00,13485.00,2709.00,2709.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q1,141873.00,52832.00,4844.00,2000.00,9191.00,4797.00,0.00,0.00,0.00,32000.00,189.00,189.00,5487.00,1372.00,3377.00,3482.00,3161.00,3161.00,0.00,19267.00,983.00,18284.00,8420.00,8420.00,0.00,0.00,0.00,0.00,0.00,9295.00,0.00,330.00,8965.00,0.00,0.00,0.00,29140.00,26226.00,2914.00,12401.00,12401.00,309.00,309.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q2,147846.00,53265.00,4858.00,2036.00,9434.00,4555.00,0.00,0.00,0.00,32382.00,166.00,166.00,5790.00,1447.00,3253.00,3984.00,3520.00,3520.00,0.00,19698.00,985.00,18713.00,11145.00,11145.00,0.00,0.00,0.00,0.00,0.00,9683.00,0.00,363.00,9320.00,0.00,0.00,0.00,30871.00,27784.00,3087.00,10845.00,10845.00,1416.00,1416.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q3,153322.00,54280.00,4858.00,2081.00,9527.00,4971.00,0.00,0.00,0.00,32843.00,24.00,24.00,6536.00,1634.00,4452.00,3718.00,4637.00,4637.00,0.00,20594.00,997.00,19597.00,14298.00,14298.00,0.00,0.00,0.00,0.00,0.00,9907.00,0.00,381.00,9526.00,0.00,0.00,0.00,30583.00,27525.00,3058.00,10181.00,10181.00,648.00,648.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q4,159324.00,54927.00,4969.00,2205.00,9729.00,4916.00,0.00,0.00,0.00,33108.00,32.00,32.00,7114.00,1778.00,4736.00,4156.00,4300.00,4300.00,0.00,21205.00,1006.00,20199.00,15147.00,15147.00,0.00,0.00,0.00,0.00,0.00,9775.00,0.00,388.00,9387.00,0.00,0.00,0.00,32324.00,29092.00,3232.00,9149.00,9149.00,3573.00,3573.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q1,159415.00,53435.00,5063.00,2114.00,9666.00,4974.00,0.00,0.00,0.00,31618.00,51.00,51.00,8133.00,2033.00,5016.00,5150.00,4904.00,4904.00,0.00,21651.00,1008.00,20643.00,14995.00,14995.00,0.00,0.00,0.00,0.00,0.00,10663.00,0.00,408.00,10255.00,0.00,0.00,0.00,33968.00,30571.00,3397.00,8502.00,8502.00,1080.00,1080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q2,169825.00,54082.00,5259.00,2168.00,10029.00,4781.00,0.00,0.00,0.00,31845.00,118.00,118.00,10539.00,2635.00,5575.00,7599.00,5372.00,5372.00,0.00,22322.00,1017.00,21305.00,17642.00,17642.00,0.00,0.00,0.00,0.00,0.00,11287.00,0.00,458.00,10829.00,0.00,0.00,0.00,34660.00,31194.00,3466.00,8033.00,8033.00,3135.00,3135.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q3,178927.00,55462.00,5491.00,2386.00,10179.00,5173.00,110.00,0.00,0.00,32123.00,144.00,144.00,12828.00,3207.00,6463.00,9572.00,4914.00,4914.00,0.00,23209.00,1034.00,22175.00,20772.00,20772.00,0.00,0.00,0.00,0.00,0.00,12023.00,0.00,487.00,11536.00,0.00,0.00,0.00,35592.00,32033.00,3559.00,7732.00,7732.00,3044.00,3044.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q4,188492.00,58544.00,5480.00,3741.00,10291.00,5592.00,695.00,0.00,0.00,32745.00,253.00,253.00,14787.00,3697.00,7247.00,11237.00,4901.00,4901.00,0.00,23904.00,1042.00,22862.00,21804.00,21804.00,0.00,0.00,0.00,0.00,0.00,12423.00,0.00,502.00,11921.00,0.00,0.00,0.00,37163.00,33447.00,3716.00,7583.00,7583.00,3433.00,3433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q1,187497.00,60555.00,5671.00,3796.00,10737.00,5688.00,953.00,0.00,0.00,33710.00,290.00,290.00,14984.00,3746.00,7389.00,11341.00,4677.00,4677.00,0.00,24368.00,1042.00,23326.00,18164.00,18164.00,0.00,0.00,0.00,0.00,0.00,12552.00,0.00,516.00,12036.00,0.00,0.00,0.00,37798.00,34018.00,3780.00,7581.00,7581.00,2782.00,2782.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q2,190137.00,62541.00,5841.00,3787.00,11521.00,5678.00,1247.00,0.00,0.00,34467.00,238.00,238.00,14192.00,3548.00,7099.00,10641.00,4667.00,4667.00,0.00,24755.00,1047.00,23708.00,16803.00,16803.00,0.00,0.00,0.00,0.00,0.00,13392.00,0.00,580.00,12812.00,0.00,0.00,0.00,38706.00,34835.00,3871.00,7709.00,7709.00,3586.00,3586.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q3,190851.00,64211.00,5976.00,3877.00,12219.00,5793.00,1408.00,0.00,0.00,34938.00,249.00,249.00,13432.00,3358.00,6719.00,10071.00,4496.00,4496.00,0.00,25151.00,1052.00,24099.00,17482.00,17482.00,0.00,0.00,0.00,0.00,0.00,13500.00,0.00,595.00,12905.00,0.00,0.00,0.00,39423.00,35481.00,3942.00,8030.00,8030.00,1519.00,1519.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q4,199444.00,65444.00,6022.00,3999.00,12527.00,5781.00,1559.00,0.00,0.00,35556.00,325.00,325.00,14982.00,3745.00,7580.00,11147.00,3400.00,3400.00,0.00,25522.00,1055.00,24467.00,17845.00,17845.00,0.00,0.00,0.00,0.00,0.00,13974.00,0.00,603.00,13371.00,0.00,0.00,0.00,40880.00,36792.00,4088.00,8605.00,8605.00,4722.00,4722.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q1,205349.00,68200.00,6145.00,4354.00,12836.00,7040.00,1534.00,0.00,0.00,36291.00,290.00,290.00,15121.00,3780.00,7745.00,11156.00,3500.00,3500.00,0.00,25811.00,1048.00,24763.00,15757.00,15757.00,0.00,0.00,0.00,0.00,0.00,14600.00,0.00,646.00,13954.00,0.00,0.00,0.00,43534.00,39181.00,4353.00,9959.00,9959.00,4797.00,4797.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
