1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,17240.00,5129.00,1341.00,9367.00,6444.00,1341.00,1002.00,580.00,1403.00,17240.00,17131.00,8504.00,5073.00,3293.00,0.00,261.00,-255.00,101.00,0.00,0.00,0.00,0.00,-77.00,0.00,-279.00,0.00,0.00,364.00,17240.00,2870.00,856.00,627.00,109.00,1209.00,69.00,14370.00,2.00,9914.00,195.00,28.00,56.00,14.00,3389.00,18.00,30.00,0.00,362.00,11.00,0.00,422.00,0.00,-71.00,0.00,0.00,0.00
1952:Q1,487.00,-366.00,-317.00,1923.00,1357.00,178.00,225.00,163.00,-753.00,487.00,938.00,697.00,-241.00,527.00,0.00,-45.00,-629.00,-322.00,0.00,0.00,0.00,0.00,118.00,0.00,-425.00,0.00,0.00,178.00,487.00,-335.00,-116.00,-1625.00,842.00,536.00,28.00,822.00,13.00,387.00,88.00,3.00,23.00,2.00,612.00,6.00,8.00,0.00,-269.00,2.00,0.00,-54.00,0.00,1.00,0.00,0.00,0.00
1952:Q2,6124.00,935.00,539.00,2369.00,1731.00,217.00,214.00,207.00,2281.00,6124.00,4910.00,4142.00,-444.00,1139.00,0.00,73.00,1046.00,64.00,0.00,0.00,0.00,0.00,146.00,0.00,836.00,0.00,0.00,168.00,6124.00,1331.00,208.00,556.00,186.00,356.00,25.00,4793.00,2.00,3172.00,74.00,1.00,88.00,1.00,494.00,7.00,9.00,0.00,117.00,2.00,0.00,794.00,0.00,32.00,0.00,0.00,0.00
1952:Q3,3973.00,-85.00,545.00,2426.00,1841.00,238.00,234.00,113.00,1087.00,3973.00,4269.00,2984.00,587.00,562.00,0.00,136.00,-471.00,62.00,0.00,0.00,0.00,0.00,131.00,0.00,-664.00,0.00,0.00,175.00,3973.00,830.00,195.00,104.00,65.00,440.00,26.00,3143.00,29.00,2045.00,-72.00,1.00,72.00,1.00,499.00,8.00,9.00,0.00,59.00,3.00,0.00,478.00,0.00,11.00,0.00,0.00,0.00
1952:Q4,7804.00,2270.00,668.00,2309.00,1765.00,206.00,236.00,102.00,2557.00,7804.00,6387.00,4395.00,1558.00,276.00,0.00,158.00,1502.00,149.00,0.00,0.00,0.00,0.00,725.00,0.00,628.00,0.00,0.00,-85.00,7804.00,1650.00,200.00,805.00,321.00,300.00,24.00,6154.00,-15.00,4495.00,46.00,0.00,54.00,1.00,455.00,8.00,10.00,0.00,149.00,3.00,0.00,911.00,0.00,37.00,0.00,0.00,0.00
1953:Q1,1875.00,-678.00,58.00,2116.00,1587.00,106.00,263.00,160.00,379.00,1875.00,2816.00,2271.00,608.00,163.00,0.00,-225.00,-856.00,-253.00,0.00,0.00,0.00,0.00,-187.00,0.00,-416.00,0.00,0.00,-85.00,1875.00,-373.00,353.00,-670.00,-221.00,144.00,21.00,2248.00,-12.00,1301.00,-26.00,1.00,66.00,2.00,535.00,10.00,11.00,0.00,-317.00,2.00,0.00,512.00,0.00,163.00,0.00,0.00,0.00
1953:Q2,5088.00,122.00,326.00,2869.00,2220.00,179.00,279.00,191.00,1771.00,5088.00,4838.00,4451.00,-392.00,853.00,0.00,-74.00,294.00,107.00,0.00,0.00,0.00,0.00,90.00,0.00,97.00,0.00,0.00,-44.00,5088.00,828.00,169.00,366.00,111.00,161.00,21.00,4260.00,-9.00,2541.00,25.00,2.00,104.00,4.00,560.00,11.00,11.00,0.00,168.00,1.00,0.00,653.00,0.00,189.00,0.00,0.00,0.00
1953:Q3,3987.00,448.00,357.00,2500.00,1979.00,168.00,273.00,80.00,682.00,3987.00,3427.00,2486.00,404.00,534.00,0.00,3.00,448.00,83.00,0.00,0.00,0.00,0.00,95.00,0.00,270.00,0.00,0.00,112.00,3987.00,419.00,158.00,-80.00,-8.00,329.00,20.00,3568.00,-10.00,2383.00,16.00,1.00,89.00,5.00,527.00,11.00,12.00,0.00,80.00,2.00,0.00,517.00,0.00,-65.00,0.00,0.00,0.00
1953:Q4,2878.00,-807.00,85.00,2340.00,1731.00,187.00,352.00,70.00,1260.00,2878.00,2298.00,3350.00,-354.00,-630.00,0.00,-68.00,420.00,151.00,0.00,0.00,0.00,0.00,-169.00,0.00,438.00,0.00,0.00,160.00,2878.00,1160.00,310.00,644.00,246.00,-61.00,21.00,1718.00,14.00,768.00,54.00,0.00,52.00,5.00,650.00,11.00,13.00,0.00,36.00,2.00,0.00,36.00,0.00,77.00,0.00,0.00,0.00
1954:Q1,-992.00,-949.00,-134.00,1961.00,1413.00,53.00,316.00,179.00,-1870.00,-992.00,186.00,-170.00,15.00,445.00,0.00,-104.00,-1056.00,-322.00,0.00,0.00,0.00,0.00,-307.00,0.00,-427.00,0.00,0.00,-122.00,-992.00,-1056.00,285.00,-888.00,-309.00,-166.00,22.00,64.00,-1.00,-150.00,8.00,0.00,27.00,4.00,553.00,11.00,14.00,0.00,-254.00,1.00,0.00,-171.00,0.00,22.00,0.00,0.00,0.00
1954:Q2,5226.00,358.00,6.00,3600.00,2818.00,138.00,444.00,200.00,1262.00,5226.00,4333.00,4330.00,-908.00,1104.00,0.00,-193.00,949.00,45.00,0.00,0.00,0.00,0.00,138.00,0.00,766.00,0.00,0.00,-56.00,5226.00,1071.00,372.00,409.00,73.00,193.00,24.00,4155.00,0.00,2831.00,35.00,0.00,88.00,2.00,675.00,10.00,15.00,0.00,147.00,1.00,0.00,194.00,0.00,157.00,0.00,0.00,0.00
1954:Q3,3726.00,467.00,252.00,2771.00,2102.00,140.00,458.00,71.00,236.00,3726.00,3381.00,2788.00,-359.00,976.00,0.00,-24.00,193.00,14.00,0.00,0.00,0.00,0.00,-46.00,0.00,225.00,0.00,0.00,152.00,3726.00,-229.00,376.00,-72.00,-50.00,-506.00,23.00,3955.00,90.00,2534.00,30.00,0.00,74.00,0.00,703.00,11.00,16.00,0.00,58.00,8.00,0.00,186.00,0.00,245.00,0.00,0.00,0.00
1954:Q4,7540.00,915.00,1081.00,3823.00,3020.00,213.00,531.00,59.00,1721.00,7540.00,6480.00,5282.00,1182.00,30.00,0.00,-14.00,695.00,178.00,0.00,0.00,0.00,0.00,76.00,0.00,441.00,0.00,0.00,365.00,7540.00,1816.00,417.00,897.00,287.00,194.00,21.00,5724.00,28.00,3620.00,117.00,2.00,41.00,-2.00,936.00,14.00,16.00,0.00,105.00,8.00,0.00,457.00,0.00,382.00,0.00,0.00,0.00
1955:Q1,3925.00,317.00,193.00,3676.00,2881.00,117.00,452.00,226.00,-261.00,3925.00,4268.00,3173.00,401.00,686.00,0.00,8.00,-270.00,-165.00,0.00,0.00,0.00,0.00,200.00,0.00,-305.00,0.00,0.00,-73.00,3925.00,-513.00,376.00,-853.00,-298.00,245.00,17.00,4438.00,-40.00,3021.00,-53.00,7.00,51.00,1.00,853.00,17.00,17.00,0.00,-32.00,8.00,0.00,289.00,0.00,299.00,0.00,0.00,0.00
1955:Q2,10747.00,2630.00,664.00,4400.00,3460.00,207.00,498.00,235.00,3053.00,10747.00,9816.00,7059.00,1062.00,1704.00,0.00,-9.00,806.00,315.00,0.00,0.00,0.00,0.00,269.00,0.00,222.00,0.00,0.00,125.00,10747.00,1130.00,183.00,564.00,118.00,251.00,14.00,9617.00,-40.00,6712.00,13.00,11.00,124.00,2.00,787.00,19.00,17.00,0.00,463.00,9.00,0.00,1438.00,0.00,62.00,0.00,0.00,0.00
1955:Q3,8027.00,1574.00,425.00,4240.00,3335.00,190.00,556.00,159.00,1788.00,8027.00,7517.00,5304.00,1022.00,1188.00,0.00,3.00,473.00,258.00,0.00,0.00,0.00,16.00,345.00,0.00,-146.00,0.00,0.00,37.00,8027.00,481.00,298.00,79.00,-6.00,97.00,13.00,7546.00,-40.00,5186.00,-34.00,11.00,117.00,3.00,801.00,22.00,18.00,0.00,343.00,10.00,0.00,1009.00,0.00,100.00,0.00,0.00,0.00
1955:Q4,10033.00,3141.00,559.00,3927.00,2904.00,311.00,556.00,156.00,2406.00,10033.00,9069.00,5574.00,3143.00,342.00,0.00,10.00,830.00,142.00,0.00,0.00,0.00,50.00,113.00,0.00,525.00,0.00,0.00,134.00,10033.00,1646.00,324.00,908.00,292.00,107.00,15.00,8387.00,-12.00,5918.00,-5.00,9.00,70.00,3.00,1191.00,25.00,17.00,0.00,115.00,11.00,0.00,1070.00,0.00,-25.00,0.00,0.00,0.00
1956:Q1,3546.00,584.00,225.00,3435.00,2420.00,167.00,579.00,269.00,-698.00,3546.00,4272.00,1684.00,1966.00,615.00,0.00,7.00,-769.00,-279.00,0.00,0.00,0.00,-40.00,15.00,0.00,-465.00,0.00,0.00,43.00,3546.00,-627.00,547.00,-880.00,-274.00,-36.00,16.00,4173.00,-1.00,2699.00,16.00,6.00,56.00,4.00,1007.00,28.00,18.00,0.00,-84.00,11.00,0.00,422.00,0.00,-9.00,0.00,0.00,0.00
1956:Q2,8454.00,2135.00,222.00,4067.00,2971.00,170.00,628.00,298.00,2030.00,8454.00,8122.00,5174.00,1490.00,1456.00,0.00,2.00,130.00,35.00,0.00,0.00,0.00,68.00,93.00,0.00,-66.00,0.00,0.00,202.00,8454.00,1111.00,338.00,405.00,101.00,253.00,14.00,7343.00,0.00,5628.00,64.00,4.00,125.00,3.00,964.00,32.00,16.00,0.00,312.00,11.00,0.00,181.00,0.00,3.00,0.00,0.00,0.00
1956:Q3,4823.00,482.00,-135.00,3779.00,2847.00,145.00,617.00,170.00,697.00,4823.00,4928.00,3297.00,596.00,1000.00,0.00,35.00,-141.00,-31.00,0.00,0.00,0.00,4.00,176.00,0.00,-290.00,0.00,0.00,36.00,4823.00,456.00,334.00,26.00,40.00,37.00,19.00,4367.00,0.00,3077.00,85.00,3.00,117.00,2.00,856.00,34.00,19.00,0.00,171.00,5.00,0.00,3.00,0.00,-5.00,0.00,0.00,0.00
1956:Q4,7815.00,1909.00,961.00,3343.00,2571.00,92.00,604.00,76.00,1602.00,7815.00,6928.00,4683.00,2200.00,21.00,0.00,24.00,594.00,86.00,0.00,0.00,0.00,263.00,12.00,0.00,233.00,0.00,0.00,293.00,7815.00,2004.00,366.00,883.00,289.00,435.00,31.00,5811.00,25.00,3969.00,42.00,5.00,94.00,0.00,946.00,34.00,24.00,0.00,359.00,6.00,0.00,262.00,0.00,45.00,0.00,0.00,0.00
1957:Q1,1415.00,-424.00,334.00,2843.00,2106.00,21.00,518.00,198.00,-1338.00,1415.00,2595.00,1083.00,1138.00,317.00,0.00,57.00,-1298.00,-267.00,0.00,0.00,0.00,-150.00,-211.00,0.00,-670.00,0.00,0.00,118.00,1415.00,-861.00,477.00,-1092.00,-313.00,26.00,41.00,2276.00,0.00,912.00,-17.00,5.00,66.00,0.00,766.00,33.00,30.00,0.00,242.00,8.00,0.00,358.00,0.00,-127.00,0.00,0.00,0.00
1957:Q2,7633.00,2374.00,322.00,2956.00,2188.00,97.00,473.00,198.00,1981.00,7633.00,7443.00,4990.00,1360.00,1092.00,0.00,2.00,130.00,118.00,0.00,0.00,0.00,-208.00,-88.00,0.00,308.00,0.00,0.00,60.00,7633.00,976.00,461.00,543.00,121.00,-201.00,52.00,6657.00,-25.00,4780.00,36.00,5.00,152.00,0.00,585.00,32.00,35.00,0.00,515.00,9.00,0.00,338.00,0.00,195.00,0.00,0.00,0.00
1957:Q3,4167.00,-339.00,402.00,3356.00,2358.00,197.00,684.00,117.00,748.00,4167.00,3861.00,3068.00,-71.00,750.00,48.00,66.00,229.00,40.00,0.00,0.00,0.00,115.00,2.00,0.00,72.00,0.00,0.00,77.00,4167.00,702.00,529.00,-88.00,-26.00,230.00,57.00,3465.00,6.00,2120.00,17.00,5.00,148.00,0.00,602.00,33.00,39.00,0.00,304.00,4.00,0.00,291.00,0.00,-104.00,0.00,0.00,0.00
1957:Q4,5673.00,562.00,826.00,3039.00,1977.00,232.00,781.00,49.00,1246.00,5673.00,4566.00,3033.00,1165.00,294.00,48.00,26.00,500.00,146.00,0.00,0.00,0.00,-37.00,-28.00,0.00,419.00,0.00,0.00,607.00,5673.00,2052.00,501.00,678.00,259.00,562.00,52.00,3621.00,-2.00,2450.00,13.00,5.00,84.00,0.00,644.00,36.00,41.00,0.00,321.00,3.00,0.00,327.00,0.00,-301.00,0.00,0.00,0.00
1958:Q1,-1160.00,-2029.00,616.00,2695.00,1601.00,414.00,553.00,127.00,-2442.00,-1160.00,-729.00,-934.00,-433.00,461.00,126.00,51.00,-567.00,-569.00,0.00,0.00,0.00,-74.00,114.00,0.00,-38.00,0.00,0.00,136.00,-1160.00,-763.00,524.00,-1230.00,-400.00,291.00,52.00,-397.00,-5.00,-977.00,65.00,10.00,-12.00,0.00,558.00,36.00,44.00,0.00,-371.00,2.00,0.00,4.00,0.00,249.00,0.00,0.00,0.00
1958:Q2,6672.00,1461.00,709.00,3573.00,2167.00,492.00,684.00,230.00,929.00,6672.00,4823.00,3508.00,-243.00,1396.00,125.00,37.00,1624.00,233.00,0.00,0.00,0.00,-7.00,114.00,0.00,1284.00,0.00,0.00,225.00,6672.00,1625.00,883.00,446.00,72.00,173.00,51.00,5047.00,0.00,4140.00,37.00,13.00,105.00,0.00,424.00,36.00,47.00,0.00,112.00,2.00,0.00,-301.00,0.00,432.00,0.00,0.00,0.00
1958:Q3,3038.00,-1634.00,129.00,4307.00,2893.00,503.00,708.00,203.00,236.00,3038.00,4293.00,3510.00,-443.00,1075.00,92.00,59.00,-1627.00,81.00,0.00,0.00,0.00,19.00,-286.00,0.00,-1441.00,0.00,0.00,372.00,3038.00,1302.00,700.00,93.00,34.00,422.00,53.00,1736.00,1.00,1481.00,3.00,13.00,88.00,0.00,476.00,40.00,50.00,0.00,141.00,6.00,0.00,-631.00,0.00,68.00,0.00,0.00,0.00
1958:Q4,11245.00,3405.00,1433.00,4857.00,3142.00,545.00,1018.00,152.00,1550.00,11245.00,9281.00,5712.00,2575.00,868.00,93.00,33.00,1600.00,288.00,0.00,0.00,0.00,41.00,515.00,0.00,756.00,0.00,0.00,364.00,11245.00,2582.00,759.00,856.00,295.00,616.00,56.00,8663.00,17.00,6595.00,-30.00,7.00,86.00,-1.00,687.00,47.00,55.00,0.00,346.00,7.00,0.00,631.00,0.00,216.00,0.00,0.00,0.00
1959:Q1,3583.00,-1006.00,932.00,4156.00,2788.00,567.00,553.00,248.00,-499.00,3583.00,4019.00,2226.00,254.00,1465.00,49.00,25.00,-331.00,-211.00,0.00,0.00,0.00,25.00,514.00,0.00,-659.00,0.00,0.00,-105.00,3583.00,275.00,603.00,-789.00,-267.00,667.00,61.00,3308.00,0.00,1719.00,-3.00,2.00,66.00,0.00,484.00,54.00,56.00,0.00,123.00,5.00,0.00,768.00,0.00,34.00,0.00,0.00,0.00
1959:Q2,13064.00,3582.00,1418.00,5177.00,3439.00,547.00,804.00,387.00,2887.00,13064.00,11837.00,6966.00,2376.00,2381.00,51.00,63.00,998.00,450.00,0.00,0.00,0.00,-43.00,543.00,0.00,48.00,0.00,0.00,229.00,13064.00,1952.00,495.00,549.00,133.00,708.00,67.00,11112.00,-1.00,8291.00,11.00,-2.00,208.00,-2.00,482.00,60.00,55.00,0.00,889.00,6.00,0.00,1018.00,0.00,97.00,0.00,0.00,0.00
1959:Q3,9149.00,1900.00,-15.00,5224.00,3716.00,533.00,771.00,204.00,2040.00,9149.00,8213.00,6161.00,313.00,1589.00,107.00,43.00,852.00,258.00,0.00,0.00,0.00,-7.00,506.00,0.00,95.00,0.00,0.00,84.00,9149.00,684.00,384.00,-114.00,-25.00,373.00,66.00,8465.00,-16.00,6402.00,32.00,-3.00,227.00,-3.00,671.00,65.00,64.00,0.00,574.00,1.00,0.00,605.00,0.00,-154.00,0.00,0.00,0.00
1959:Q4,11633.00,4001.00,-341.00,4678.00,3092.00,488.00,945.00,153.00,3295.00,11633.00,10402.00,6704.00,2903.00,633.00,108.00,54.00,1282.00,339.00,0.00,0.00,0.00,104.00,284.00,0.00,555.00,0.00,0.00,-51.00,11633.00,1262.00,-902.00,1586.00,481.00,36.00,61.00,10371.00,4.00,7468.00,57.00,-3.00,163.00,-9.00,928.00,68.00,81.00,0.00,528.00,1.00,0.00,1059.00,0.00,26.00,0.00,0.00,0.00
1960:Q1,1983.00,-885.00,503.00,3821.00,2481.00,499.00,671.00,170.00,-1456.00,1983.00,3707.00,833.00,1561.00,1175.00,100.00,38.00,-1792.00,-614.00,0.00,0.00,0.00,93.00,-67.00,0.00,-1204.00,0.00,0.00,68.00,1983.00,-1928.00,178.00,-1799.00,-561.00,202.00,52.00,3911.00,15.00,1776.00,9.00,1.00,115.00,-1.00,876.00,74.00,99.00,0.00,-127.00,1.00,0.00,1386.00,0.00,-313.00,0.00,0.00,0.00
1960:Q2,11082.00,2457.00,1414.00,4346.00,2786.00,503.00,769.00,288.00,2865.00,11082.00,10389.00,6759.00,1648.00,1782.00,102.00,98.00,411.00,250.00,0.00,0.00,0.00,-232.00,58.00,0.00,335.00,0.00,0.00,282.00,11082.00,1791.00,592.00,704.00,161.00,291.00,43.00,9291.00,-20.00,6027.00,74.00,2.00,259.00,0.00,793.00,82.00,118.00,0.00,687.00,2.00,0.00,1220.00,0.00,47.00,0.00,0.00,0.00
1960:Q3,5861.00,-509.00,594.00,4808.00,3216.00,591.00,863.00,138.00,968.00,5861.00,5407.00,4554.00,-498.00,1171.00,101.00,79.00,164.00,-34.00,0.00,0.00,0.00,56.00,-580.00,0.00,722.00,0.00,0.00,290.00,5861.00,982.00,1067.00,-267.00,-98.00,236.00,44.00,4879.00,19.00,3107.00,142.00,3.00,181.00,2.00,704.00,82.00,124.00,0.00,243.00,-2.00,0.00,196.00,0.00,78.00,0.00,0.00,0.00
1960:Q4,9964.00,2046.00,1954.00,4306.00,2796.00,493.00,876.00,141.00,1658.00,9964.00,8499.00,5400.00,2359.00,648.00,102.00,-10.00,903.00,245.00,0.00,0.00,0.00,-19.00,35.00,0.00,642.00,0.00,0.00,562.00,9964.00,2808.00,1343.00,870.00,275.00,267.00,53.00,7156.00,-11.00,4906.00,134.00,2.00,120.00,2.00,814.00,74.00,117.00,0.00,249.00,-3.00,0.00,688.00,0.00,64.00,0.00,0.00,0.00
1961:Q1,156.00,-1859.00,80.00,3844.00,2267.00,638.00,714.00,225.00,-1909.00,156.00,2427.00,723.00,-281.00,1881.00,54.00,50.00,-2824.00,-504.00,0.00,0.00,0.00,-24.00,-1446.00,0.00,-850.00,0.00,0.00,553.00,156.00,-1386.00,195.00,-1655.00,-608.00,621.00,61.00,1542.00,0.00,685.00,482.00,5.00,-8.00,4.00,692.00,68.00,114.00,0.00,-414.00,0.00,0.00,-459.00,0.00,373.00,0.00,0.00,0.00
1961:Q2,9043.00,1198.00,1684.00,4903.00,2958.00,519.00,1052.00,374.00,1258.00,9043.00,8147.00,6070.00,108.00,1802.00,54.00,113.00,1068.00,392.00,0.00,0.00,0.00,-13.00,-98.00,0.00,787.00,0.00,0.00,-172.00,9043.00,2187.00,1518.00,582.00,169.00,-151.00,69.00,6856.00,-7.00,4546.00,151.00,5.00,182.00,3.00,770.00,61.00,116.00,0.00,361.00,-1.00,0.00,209.00,0.00,460.00,0.00,0.00,0.00
1961:Q3,7096.00,889.00,87.00,5635.00,3576.00,847.00,912.00,300.00,485.00,7096.00,5891.00,4215.00,-324.00,1905.00,57.00,38.00,578.00,255.00,0.00,0.00,0.00,9.00,300.00,0.00,14.00,0.00,0.00,627.00,7096.00,959.00,72.00,45.00,35.00,736.00,71.00,6137.00,1.00,5027.00,-116.00,7.00,122.00,1.00,551.00,61.00,113.00,0.00,451.00,44.00,0.00,-84.00,0.00,-41.00,0.00,0.00,0.00
1961:Q4,14644.00,4226.00,1887.00,6178.00,3848.00,832.00,1318.00,180.00,2353.00,14644.00,11401.00,7042.00,3171.00,1106.00,57.00,25.00,2457.00,538.00,0.00,0.00,0.00,95.00,901.00,0.00,923.00,0.00,0.00,786.00,14644.00,2571.00,686.00,1031.00,332.00,456.00,66.00,12073.00,13.00,8442.00,-29.00,10.00,114.00,-2.00,921.00,69.00,103.00,0.00,713.00,46.00,0.00,1391.00,0.00,282.00,0.00,0.00,0.00
1962:Q1,1412.00,-1215.00,-309.00,4333.00,2461.00,596.00,971.00,305.00,-1397.00,1412.00,3116.00,1240.00,-87.00,1798.00,80.00,85.00,-2405.00,-511.00,0.00,0.00,0.00,-60.00,-1118.00,0.00,-716.00,0.00,0.00,701.00,1412.00,-489.00,183.00,-1081.00,-353.00,697.00,65.00,1901.00,50.00,1613.00,-174.00,15.00,-2.00,-1.00,518.00,74.00,94.00,0.00,-144.00,22.00,0.00,180.00,0.00,-344.00,0.00,0.00,0.00
