date,FL893065603.Q,FL183165605.Q,FL233165605.Q,FL893065603.Q,FL153065605.Q,FL113065603.Q,FL313065605.Q,FL213065603.Q,FL763065633.Q,FL753065603.Q,FL543065633.Q,FL223065643.Q,FL403065605.Q,FL413065605.Q
1945:Q4,4760.00,97.88,4662.12,4760.00,1955.00,0.00,467.00,0.00,524.00,0.00,776.00,3.00,1035.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,4897.00,100.00,4797.00,4897.00,2080.00,0.00,357.00,0.00,704.00,0.00,795.00,2.00,959.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5064.00,104.00,4960.00,5064.00,2149.00,0.00,307.00,0.00,824.00,0.00,895.00,2.00,887.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5288.00,108.00,5180.00,5288.00,2276.00,0.00,266.00,4.00,874.00,0.00,990.00,2.00,872.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,5579.00,114.00,5465.00,5579.00,2355.00,0.00,253.00,10.00,909.00,0.00,1138.00,2.00,905.00,7.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,6071.00,124.00,5947.00,6071.00,2513.00,0.00,260.00,16.00,968.00,0.00,1327.00,3.00,952.00,32.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6651.00,135.00,6516.00,6651.00,2789.00,0.00,250.00,23.00,1004.00,0.00,1527.00,5.00,1010.00,43.00
1952:Q1,6814.00,144.00,6670.00,6814.00,2799.00,0.00,300.00,33.00,1030.00,0.00,1574.00,5.00,1028.00,45.00
