1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7228.00,385.00,-444.00,0.00,-113.00,942.00,6744.00,553.00,-247.00,6438.00,75.00,25.00,50.00,24.00,0.00,7228.00,4443.00,2148.00,1642.00,506.00,119.00,395.00,256.00,36.00,80.00,65.00,19.00,0.00,-2.00,88.00,0.00,-30.00,-335.00,-335.00,0.00,202.00
1952:Q1,14788.00,968.00,-708.00,0.00,56.00,1620.00,13628.00,4176.00,-132.00,9584.00,160.00,56.00,104.00,32.00,0.00,14788.00,5652.00,3336.00,3284.00,52.00,5472.00,880.00,-256.00,52.00,-280.00,4.00,20.00,0.00,-40.00,20.00,0.00,-32.00,-20.00,-20.00,0.00,-276.00
1952:Q2,3516.00,1920.00,368.00,0.00,24.00,1528.00,1424.00,-728.00,424.00,1728.00,136.00,44.00,92.00,36.00,0.00,3516.00,360.00,1368.00,2004.00,-636.00,-2180.00,-616.00,328.00,76.00,248.00,-36.00,20.00,0.00,40.00,24.00,0.00,-44.00,492.00,492.00,0.00,3764.00
1952:Q3,11480.00,1268.00,-692.00,0.00,744.00,1216.00,10328.00,4656.00,1248.00,4424.00,-152.00,-56.00,-96.00,36.00,0.00,11480.00,4704.00,-460.00,348.00,-808.00,6560.00,1280.00,-40.00,92.00,-48.00,-36.00,20.00,0.00,-32.00,24.00,0.00,-60.00,1936.00,1936.00,0.00,-2500.00
1952:Q4,-3668.00,1200.00,1600.00,0.00,-720.00,320.00,-4952.00,-1776.00,-708.00,-2468.00,64.00,20.00,44.00,20.00,0.00,-3668.00,-2084.00,-2980.00,-2496.00,-484.00,-368.00,-332.00,440.00,108.00,324.00,-8.00,20.00,0.00,60.00,24.00,0.00,-88.00,-1408.00,-1408.00,0.00,3064.00
1953:Q1,4836.00,144.00,-1196.00,0.00,-188.00,1528.00,3508.00,-2268.00,-476.00,6252.00,1176.00,-12.00,1188.00,8.00,0.00,4836.00,12496.00,-3956.00,-3620.00,-336.00,-3920.00,-136.00,-516.00,92.00,-624.00,36.00,24.00,0.00,16.00,16.00,0.00,-76.00,-676.00,-676.00,0.00,1544.00
1953:Q2,-10848.00,-48.00,-620.00,0.00,76.00,496.00,-9688.00,-9244.00,-272.00,-172.00,-1108.00,8.00,-1116.00,-4.00,0.00,-10848.00,-5776.00,4904.00,5196.00,-292.00,-11036.00,444.00,-56.00,72.00,-168.00,72.00,36.00,0.00,-8.00,20.00,0.00,-80.00,-188.00,-188.00,0.00,860.00
1953:Q3,17812.00,3052.00,1804.00,0.00,-60.00,1308.00,14824.00,11816.00,-156.00,3164.00,-64.00,-4.00,-60.00,0.00,0.00,17812.00,3732.00,-1240.00,-1076.00,-164.00,16368.00,936.00,484.00,44.00,328.00,76.00,36.00,0.00,52.00,20.00,0.00,-72.00,-220.00,-220.00,0.00,-2248.00
1953:Q4,-11672.00,-3520.00,-2196.00,0.00,-348.00,-976.00,-8236.00,-3484.00,-404.00,-4348.00,80.00,28.00,52.00,4.00,0.00,-11672.00,-5204.00,-844.00,-852.00,8.00,-7540.00,292.00,884.00,12.00,740.00,40.00,28.00,0.00,112.00,20.00,0.00,-68.00,-724.00,-724.00,0.00,1464.00
1954:Q1,2072.00,1360.00,1844.00,0.00,260.00,-744.00,656.00,-900.00,-216.00,1772.00,28.00,-4.00,32.00,28.00,0.00,2072.00,3392.00,-2532.00,-2768.00,236.00,764.00,1264.00,-784.00,-16.00,-620.00,8.00,16.00,0.00,-212.00,36.00,0.00,4.00,40.00,40.00,0.00,-72.00
