date,FL574090005.Q,FL573020005.Q,FL573030005.Q,FL573034005.Q,FL572051005.Q,FL574022005.Q,FL573069105.Q,FL573061105.Q,FL573061705.Q,FL573063005.Q,FL573065005.Q,LM573064105.Q,LM573064205.Q,FL573090005.Q,FL573095005.Q,FL573074005.Q,FL573073005.Q,FL573093005.Q,FL574190005.Q,FL574190043.Q,FL572000075.Q,FL573073005.Q,FL574090045.Q,FL574090055.Q
1954:Q4,46583.00,357.00,556.00,0.00,106.00,9589.00,0.00,2675.00,7.00,6907.00,238.00,3154.00,0.00,32583.00,0.00,224.00,31629.00,730.00,46674.00,43293.00,11664.00,31629.00,43202.00,3381.00
1955:Q1,47697.00,367.00,577.00,0.00,111.00,9964.00,0.00,2735.00,9.00,7220.00,255.00,3551.00,0.00,32872.00,0.00,237.00,31873.00,762.00,47788.00,44220.00,12347.00,31873.00,44129.00,3568.00
1955:Q2,48951.00,385.00,600.00,0.00,118.00,10326.00,0.00,2839.00,11.00,7476.00,274.00,4519.00,0.00,32729.00,0.00,259.00,31672.00,798.00,49050.00,45178.00,13506.00,31672.00,45079.00,3872.00
1955:Q3,50187.00,404.00,623.00,0.00,125.00,10628.00,0.00,2936.00,13.00,7679.00,296.00,5446.00,0.00,32665.00,0.00,280.00,31542.00,843.00,50301.00,46140.00,14598.00,31542.00,46026.00,4161.00
1955:Q4,51324.00,415.00,647.00,0.00,132.00,10844.00,0.00,2972.00,19.00,7853.00,321.00,6085.00,0.00,32880.00,0.00,295.00,31689.00,896.00,51451.00,47074.00,15385.00,31689.00,46947.00,4377.00
1956:Q1,52471.00,419.00,671.00,0.00,140.00,11088.00,0.00,2949.00,35.00,8104.00,349.00,6817.00,0.00,32987.00,0.00,311.00,31724.00,952.00,52603.00,47989.00,16265.00,31724.00,47857.00,4614.00
1956:Q2,53539.00,417.00,697.00,0.00,150.00,11388.00,0.00,2895.00,36.00,8457.00,381.00,6739.00,0.00,33767.00,0.00,317.00,32423.00,1027.00,53675.00,48960.00,16537.00,32423.00,48824.00,4715.00
1956:Q3,54796.00,414.00,724.00,0.00,158.00,11781.00,0.00,2817.00,43.00,8921.00,415.00,6712.00,0.00,34592.00,0.00,324.00,33167.00,1101.00,54938.00,50098.00,16931.00,33167.00,49956.00,4840.00
1956:Q4,56382.00,415.00,752.00,0.00,166.00,12273.00,0.00,2751.00,47.00,9475.00,449.00,7065.00,0.00,35262.00,0.00,339.00,33770.00,1153.00,56529.00,51478.00,17708.00,33770.00,51331.00,5051.00
1957:Q1,58085.00,424.00,781.00,0.00,172.00,12764.00,0.00,2677.00,65.00,10022.00,482.00,7014.00,0.00,36448.00,0.00,348.00,34900.00,1200.00,58237.00,53060.00,18160.00,34900.00,52908.00,5177.00
1957:Q2,60130.00,439.00,811.00,0.00,177.00,13200.00,0.00,2604.00,72.00,10524.00,514.00,7948.00,0.00,37041.00,0.00,370.00,35448.00,1223.00,60286.00,54809.00,19361.00,35448.00,54653.00,5477.00
1957:Q3,61925.00,454.00,842.00,0.00,182.00,13579.00,0.00,2535.00,82.00,10962.00,547.00,7638.00,0.00,38683.00,0.00,373.00,37050.00,1260.00,62085.00,56561.00,19511.00,37050.00,56401.00,5524.00
1957:Q4,63567.00,466.00,874.00,0.00,186.00,13911.00,0.00,2461.00,113.00,11337.00,583.00,7489.00,0.00,40058.00,0.00,378.00,38382.00,1298.00,63731.00,58136.00,19754.00,38382.00,57972.00,5595.00
1958:Q1,65106.00,475.00,908.00,0.00,191.00,14255.00,0.00,2411.00,142.00,11702.00,619.00,8060.00,0.00,40598.00,0.00,393.00,38883.00,1322.00,65252.00,59446.00,20563.00,38883.00,59300.00,5806.00
1958:Q2,66514.00,482.00,943.00,0.00,194.00,14615.00,0.00,2432.00,111.00,12072.00,655.00,8981.00,0.00,40644.00,0.00,414.00,38895.00,1335.00,66666.00,60580.00,21685.00,38895.00,60428.00,6086.00
1958:Q3,67928.00,488.00,979.00,0.00,198.00,15000.00,0.00,2431.00,116.00,12453.00,695.00,10184.00,0.00,40384.00,0.00,440.00,38599.00,1345.00,68103.00,61675.00,23076.00,38599.00,61500.00,6428.00
1958:Q4,69489.00,496.00,1017.00,0.00,204.00,15409.00,0.00,2451.00,116.00,12842.00,742.00,11561.00,0.00,40060.00,0.00,469.00,38225.00,1366.00,69685.00,62869.00,24644.00,38225.00,62673.00,6816.00
1959:Q1,71055.00,505.00,1056.00,0.00,211.00,15669.00,0.00,2476.00,137.00,13056.00,796.00,12137.00,0.00,40681.00,0.00,484.00,38787.00,1410.00,71231.00,64202.00,25415.00,38787.00,64026.00,7029.00
1959:Q2,72880.00,516.00,1096.00,0.00,218.00,16062.00,0.00,2523.00,172.00,13367.00,856.00,13278.00,0.00,40854.00,0.00,510.00,38889.00,1455.00,73084.00,65698.00,26809.00,38889.00,65494.00,7386.00
1959:Q3,74570.00,527.00,1138.00,0.00,227.00,16419.00,0.00,2587.00,188.00,13644.00,921.00,13422.00,0.00,41916.00,0.00,520.00,39878.00,1518.00,74805.00,67258.00,27380.00,39878.00,67023.00,7547.00
1959:Q4,76402.00,535.00,1182.00,0.00,235.00,16896.00,0.00,2619.00,192.00,14085.00,989.00,14525.00,0.00,42040.00,0.00,547.00,39923.00,1570.00,76659.00,68742.00,28819.00,39923.00,68485.00,7917.00
1960:Q1,77742.00,538.00,1227.00,0.00,245.00,17228.00,0.00,2537.00,269.00,14422.00,1063.00,14128.00,0.00,43313.00,0.00,549.00,41112.00,1652.00,78031.00,70060.00,28948.00,41112.00,69771.00,7971.00
1960:Q2,79201.00,536.00,1275.00,0.00,255.00,17507.00,0.00,2457.00,305.00,14745.00,1145.00,15118.00,0.00,43365.00,0.00,572.00,41068.00,1725.00,79493.00,71205.00,30137.00,41068.00,70913.00,8288.00
1960:Q3,80248.00,536.00,1324.00,0.00,266.00,17860.00,0.00,2408.00,303.00,15149.00,1227.00,14603.00,0.00,44432.00,0.00,573.00,42041.00,1818.00,80543.00,72211.00,30170.00,42041.00,71916.00,8332.00
1960:Q4,81683.00,546.00,1374.00,0.00,275.00,18381.00,0.00,2404.00,278.00,15699.00,1301.00,16545.00,0.00,43261.00,0.00,613.00,40785.00,1863.00,81980.00,73105.00,32320.00,40785.00,72808.00,8875.00
1961:Q1,83080.00,568.00,1427.00,0.00,284.00,18511.00,0.00,2407.00,270.00,15834.00,1369.00,19082.00,0.00,41839.00,0.00,657.00,39287.00,1895.00,83342.00,73890.00,34603.00,39287.00,73628.00,9452.00
1961:Q2,83980.00,601.00,1482.00,0.00,291.00,18909.00,0.00,2429.00,250.00,16230.00,1430.00,19596.00,0.00,41671.00,0.00,674.00,39055.00,1942.00,84282.00,74593.00,35538.00,39055.00,74291.00,9689.00
1961:Q3,84861.00,635.00,1539.00,0.00,298.00,19181.00,0.00,2431.00,261.00,16489.00,1491.00,20660.00,0.00,41057.00,0.00,697.00,38375.00,1985.00,85195.00,75186.00,36811.00,38375.00,74852.00,10009.00
1961:Q4,85860.00,660.00,1598.00,0.00,307.00,19596.00,0.00,2425.00,289.00,16882.00,1560.00,22856.00,0.00,39283.00,0.00,740.00,36522.00,2021.00,86222.00,75642.00,39120.00,36522.00,75280.00,10580.00
1962:Q1,86337.00,677.00,1660.00,0.00,321.00,19870.00,0.00,2421.00,333.00,17116.00,1634.00,22866.00,32.00,39277.00,0.00,749.00,36393.00,2135.00,86701.00,75966.00,39573.00,36393.00,75602.00,10735.00
1962:Q2,85825.00,687.00,1723.00,0.00,338.00,20322.00,0.00,2459.00,354.00,17509.00,1713.00,17845.00,86.00,43111.00,0.00,686.00,40074.00,2351.00,86195.00,76210.00,36136.00,40074.00,75840.00,9985.00
1962:Q3,86484.00,695.00,1790.00,0.00,355.00,20522.00,0.00,2524.00,351.00,17647.00,1794.00,19251.00,140.00,41937.00,0.00,716.00,38741.00,2480.00,86858.00,76442.00,37701.00,38741.00,76068.00,10416.00
1962:Q4,87481.00,707.00,1858.00,0.00,369.00,21025.00,0.00,2600.00,324.00,18101.00,1876.00,21885.00,172.00,39589.00,0.00,768.00,36266.00,2555.00,87855.00,76731.00,40465.00,36266.00,76357.00,11124.00
1963:Q1,88300.00,721.00,1930.00,0.00,380.00,21405.00,0.00,2628.00,333.00,18444.00,1957.00,23509.00,184.00,38214.00,0.00,803.00,34800.00,2611.00,88707.00,77112.00,42312.00,34800.00,76705.00,11595.00
1963:Q2,89230.00,735.00,2004.00,0.00,385.00,21837.00,0.00,2655.00,335.00,18847.00,2035.00,24949.00,177.00,37108.00,0.00,834.00,33642.00,2632.00,89630.00,77613.00,43971.00,33642.00,77213.00,12017.00
1963:Q3,90237.00,752.00,2081.00,0.00,393.00,22284.00,0.00,2640.00,377.00,19267.00,2119.00,26270.00,169.00,36169.00,0.00,864.00,32635.00,2670.00,90656.00,78226.00,45591.00,32635.00,77807.00,12430.00
1963:Q4,91373.00,773.00,2161.00,0.00,409.00,22609.00,0.00,2679.00,370.00,19560.00,2220.00,27670.00,176.00,35355.00,0.00,895.00,31675.00,2785.00,91810.00,78926.00,47251.00,31675.00,78489.00,12884.00
1964:Q1,92784.00,802.00,2244.00,0.00,435.00,23056.00,0.00,2872.00,386.00,19798.00,2357.00,29690.00,201.00,33999.00,0.00,940.00,30087.00,2972.00,93233.00,79694.00,49607.00,30087.00,79245.00,13539.00
1964:Q2,94164.00,850.00,2330.00,0.00,471.00,23427.00,0.00,2665.00,373.00,20389.00,2506.00,31136.00,241.00,33203.00,0.00,978.00,28970.00,3255.00,94641.00,80540.00,51570.00,28970.00,80063.00,14101.00
1964:Q3,95675.00,857.00,2419.00,0.00,507.00,23718.00,0.00,2661.00,362.00,20695.00,2640.00,32638.00,283.00,32613.00,0.00,1014.00,28048.00,3551.00,96166.00,81487.00,53439.00,28048.00,80996.00,14679.00
1964:Q4,97254.00,892.00,2512.00,0.00,537.00,24398.00,0.00,2715.00,477.00,21206.00,2778.00,33705.00,312.00,32120.00,0.00,1049.00,27290.00,3781.00,97767.00,82551.00,55261.00,27290.00,82038.00,15216.00
1965:Q1,98902.00,752.00,2609.00,0.00,560.00,24938.00,0.00,2909.00,403.00,21626.00,2919.00,34953.00,331.00,31840.00,0.00,1081.00,26804.00,3955.00,99460.00,83730.00,56926.00,26804.00,83172.00,15730.00
1965:Q2,100351.00,728.00,2709.00,0.00,577.00,25197.00,0.00,2709.00,404.00,22084.00,3175.00,34570.00,341.00,33054.00,0.00,1087.00,27862.00,4105.00,100927.00,85094.00,57232.00,27862.00,84518.00,15833.00
1965:Q3,102841.00,760.00,2813.00,0.00,594.00,25334.00,0.00,2457.00,431.00,22446.00,3298.00,38608.00,349.00,31085.00,0.00,1157.00,25742.00,4186.00,103436.00,86682.00,60940.00,25742.00,86087.00,16754.00
1965:Q4,105256.00,941.00,2921.00,0.00,616.00,25696.00,0.00,2539.00,454.00,22703.00,3385.00,40754.00,360.00,30583.00,0.00,1203.00,25040.00,4340.00,105912.00,88508.00,63468.00,25040.00,87852.00,17404.00
1966:Q1,107639.00,957.00,3034.00,0.00,642.00,26684.00,0.00,2479.00,465.00,23740.00,3508.00,40765.00,372.00,31677.00,0.00,1226.00,25900.00,4551.00,108303.00,90523.00,64623.00,25900.00,89859.00,17780.00
1966:Q2,109975.00,791.00,3151.00,0.00,671.00,27014.00,0.00,2377.00,475.00,24162.00,3591.00,39868.00,384.00,34505.00,0.00,1223.00,28462.00,4820.00,110643.00,92766.00,64304.00,28462.00,92098.00,17877.00
1966:Q3,112085.00,719.00,3271.00,0.00,702.00,27411.00,0.00,2351.00,442.00,24618.00,3710.00,36711.00,397.00,39164.00,0.00,1189.00,32843.00,5132.00,112760.00,95193.00,62350.00,32843.00,94518.00,17567.00
1966:Q4,115474.00,758.00,3418.00,0.00,734.00,27981.00,0.00,2304.00,446.00,25231.00,3911.00,39468.00,414.00,38790.00,0.00,1249.00,32186.00,5355.00,116155.00,97722.00,65536.00,32186.00,97041.00,18433.00
1967:Q1,119407.00,824.00,3539.00,0.00,767.00,28227.00,0.00,2148.00,432.00,25647.00,3991.00,45497.00,435.00,36127.00,0.00,1353.00,29224.00,5550.00,120104.00,100251.00,71027.00,29224.00,99554.00,19853.00
1967:Q2,122459.00,839.00,3682.00,0.00,803.00,28195.00,0.00,1999.00,390.00,25806.00,3976.00,46820.00,459.00,37685.00,0.00,1380.00,30463.00,5842.00,123179.00,102832.00,72369.00,30463.00,102112.00,20347.00
1967:Q3,126082.00,882.00,3829.00,0.00,838.00,28553.00,0.00,1967.00,362.00,26224.00,4059.00,50519.00,485.00,36917.00,0.00,1451.00,29376.00,6090.00,126825.00,105451.00,76075.00,29376.00,104708.00,21374.00
1967:Q4,129088.00,894.00,4014.00,0.00,870.00,28679.00,0.00,1987.00,337.00,26355.00,4083.00,51104.00,510.00,38934.00,0.00,1470.00,31104.00,6360.00,129858.00,108092.00,76988.00,31104.00,107322.00,21766.00
1968:Q1,131539.00,871.00,4136.00,0.00,900.00,29303.00,0.00,2207.00,358.00,26738.00,4091.00,48280.00,535.00,43423.00,0.00,1443.00,35325.00,6655.00,132355.00,110784.00,75459.00,35325.00,109968.00,21571.00
1968:Q2,136068.00,950.00,4303.00,0.00,928.00,29317.00,0.00,2181.00,379.00,26757.00,4050.00,55974.00,561.00,39985.00,0.00,1566.00,31638.00,6781.00,136923.00,113658.00,82020.00,31638.00,112803.00,23265.00
1968:Q3,140061.00,983.00,4485.00,0.00,954.00,29505.00,0.00,2120.00,401.00,26984.00,4071.00,58869.00,587.00,40607.00,0.00,1621.00,32021.00,6965.00,140969.00,116893.00,84872.00,32021.00,115985.00,24076.00
1968:Q4,144472.00,1015.00,4680.00,0.00,980.00,29756.00,0.00,2359.00,397.00,27000.00,4067.00,61456.00,614.00,41904.00,0.00,1671.00,33082.00,7151.00,145432.00,120573.00,87491.00,33082.00,119613.00,24859.00
1969:Q1,148576.00,1005.00,4799.00,0.00,1006.00,29729.00,0.00,2460.00,433.00,26836.00,4079.00,60813.00,639.00,46506.00,0.00,1667.00,37457.00,7382.00,149543.00,124618.00,87161.00,37457.00,123651.00,24925.00
1969:Q2,153235.00,1009.00,5040.00,0.00,1030.00,29571.00,0.00,2191.00,468.00,26912.00,4069.00,60925.00,664.00,50927.00,0.00,1674.00,41663.00,7590.00,154204.00,129063.00,87400.00,41663.00,128094.00,25141.00
1969:Q3,157989.00,1004.00,5220.00,0.00,1053.00,30160.00,0.00,2159.00,550.00,27451.00,4134.00,59756.00,689.00,55973.00,0.00,1672.00,46494.00,7807.00,158967.00,133728.00,87234.00,46494.00,132750.00,25239.00
1969:Q4,163205.00,1024.00,5429.00,0.00,1079.00,30404.00,0.00,2183.00,608.00,27613.00,4216.00,61425.00,715.00,58913.00,0.00,1710.00,49205.00,7998.00,164186.00,138348.00,89143.00,49205.00,137367.00,25838.00
1970:Q1,170851.00,1029.00,5646.00,0.00,1105.00,30657.00,0.00,2081.00,578.00,27998.00,4230.00,61339.00,737.00,66108.00,0.00,1720.00,56161.00,8227.00,171848.00,142676.00,86515.00,56161.00,141679.00,29172.00
1970:Q2,172481.00,918.00,5866.00,0.00,1133.00,30775.00,0.00,1984.00,660.00,28131.00,4213.00,50119.00,752.00,78705.00,0.00,1560.00,68514.00,8631.00,173510.00,146777.00,78263.00,68514.00,145748.00,26733.00
1970:Q3,179099.00,1028.00,6099.00,0.00,1161.00,31697.00,0.00,2152.00,916.00,28629.00,4193.00,59913.00,774.00,74234.00,0.00,1730.00,63789.00,8715.00,180163.00,150624.00,86835.00,63789.00,149560.00,29539.00
1970:Q4,184791.00,1106.00,6315.00,0.00,1190.00,32471.00,0.00,2124.00,904.00,29443.00,4171.00,67087.00,817.00,71634.00,0.00,1858.00,60923.00,8853.00,185881.00,154210.00,93287.00,60923.00,153120.00,31671.00
1971:Q1,190552.00,1199.00,6567.00,0.00,1221.00,31771.00,0.00,2259.00,759.00,28753.00,4080.00,76860.00,882.00,67972.00,0.00,2004.00,56986.00,8982.00,191720.00,157547.00,100561.00,56986.00,156379.00,34173.00
1971:Q2,194383.00,1205.00,6765.00,0.00,1252.00,30949.00,0.00,2001.00,593.00,28355.00,3914.00,78937.00,968.00,70393.00,0.00,2029.00,59123.00,9241.00,195635.00,160875.00,101752.00,59123.00,159623.00,34760.00
1971:Q3,199055.00,1242.00,7033.00,0.00,1286.00,30525.00,0.00,2044.00,590.00,27891.00,3768.00,83299.00,1062.00,70840.00,0.00,2097.00,59271.00,9472.00,200390.00,164357.00,105086.00,59271.00,163022.00,36033.00
1971:Q4,204451.00,1305.00,7270.00,0.00,1321.00,31345.00,0.00,2125.00,606.00,28614.00,3658.00,88651.00,1150.00,69751.00,0.00,2199.00,57859.00,9693.00,205877.00,168094.00,110235.00,57859.00,166668.00,37783.00
1972:Q1,211278.00,1413.00,7513.00,0.00,1474.00,32197.00,308.00,2540.00,858.00,28491.00,3332.00,96231.00,1237.00,67881.00,0.00,2350.00,54616.00,10915.00,212862.00,172080.00,117464.00,54616.00,170496.00,40782.00
1972:Q2,217384.00,1471.00,7821.00,0.00,1707.00,33828.00,794.00,2451.00,1207.00,29376.00,3133.00,97083.00,1330.00,71011.00,0.00,2426.00,55649.00,12936.00,219066.00,176286.00,120637.00,55649.00,174604.00,42780.00
1972:Q3,224179.00,1577.00,8155.00,0.00,1948.00,36295.00,1322.00,2623.00,1741.00,30609.00,2865.00,99365.00,1419.00,72555.00,0.00,2537.00,55020.00,14998.00,225963.00,180600.00,125580.00,55020.00,178816.00,45363.00
1972:Q4,231909.00,1790.00,8511.00,0.00,2130.00,37818.00,1755.00,3381.00,2078.00,30604.00,2728.00,107817.00,1494.00,69621.00,0.00,2722.00,50454.00,16445.00,233770.00,184824.00,134370.00,50454.00,182963.00,48946.00
1973:Q1,235864.00,1889.00,8891.00,0.00,2260.00,39986.00,2104.00,3725.00,2598.00,31559.00,2514.00,102259.00,1555.00,76510.00,0.00,2695.00,56170.00,17645.00,237829.00,188842.00,132672.00,56170.00,186877.00,48987.00
1973:Q2,239107.00,2016.00,9232.00,0.00,2348.00,41224.00,2382.00,4011.00,2788.00,32043.00,2439.00,95599.00,1603.00,84646.00,0.00,2634.00,63511.00,18501.00,241212.00,192894.00,129383.00,63511.00,190789.00,48318.00
1973:Q3,246596.00,2340.00,9680.00,0.00,2427.00,43334.00,2677.00,4711.00,2968.00,32978.00,2361.00,104779.00,1647.00,80028.00,0.00,2826.00,58182.00,19020.00,248858.00,197203.00,139021.00,58182.00,194941.00,51655.00
1973:Q4,249473.00,2455.00,10027.00,0.00,2530.00,44383.00,3079.00,5379.00,3192.00,32733.00,2376.00,93557.00,1695.00,92450.00,0.00,2697.00,69686.00,20067.00,251894.00,201926.00,132240.00,69686.00,199505.00,49968.00
1974:Q1,256356.00,2604.00,10444.00,0.00,2645.00,45609.00,3554.00,6109.00,3252.00,32694.00,2393.00,96863.00,1734.00,94064.00,0.00,2791.00,70258.00,21015.00,258905.00,206968.00,136710.00,70258.00,204419.00,51937.00
1974:Q2,260809.00,2840.00,10873.00,0.00,2765.00,47142.00,4069.00,6912.00,3264.00,32897.00,2377.00,88565.00,1751.00,104496.00,0.00,2718.00,79617.00,22161.00,263523.00,212322.00,132705.00,79617.00,209608.00,51201.00
1974:Q3,262224.00,3093.00,11331.00,0.00,2894.00,50161.00,4670.00,8235.00,3511.00,33745.00,2368.00,66279.00,1790.00,124308.00,0.00,2459.00,98259.00,23590.00,265154.00,217656.00,119397.00,98259.00,214726.00,47498.00
1974:Q4,270820.00,3366.00,11957.00,0.00,3041.00,53276.00,5403.00,8559.00,4305.00,35009.00,2372.00,74755.00,1895.00,120158.00,0.00,2670.00,92791.00,24697.00,273966.00,222589.00,129798.00,92791.00,219443.00,51377.00
1975:Q1,284013.00,3626.00,12495.00,0.00,3211.00,57738.00,6329.00,9623.00,4673.00,37113.00,2409.00,91897.00,2065.00,110572.00,0.00,3035.00,81676.00,25861.00,287453.00,226943.00,145267.00,81676.00,223503.00,60510.00
1975:Q2,296025.00,3915.00,13151.00,0.00,3575.00,61567.00,7508.00,10516.00,4900.00,38643.00,2378.00,110006.00,2301.00,99132.00,0.00,3436.00,66956.00,28740.00,299697.00,231031.00,164075.00,66956.00,227359.00,68666.00
