date,FU413065005.Q,FU413065105.Q,FU413065405.Q,FU413065505.Q,FU413065605.Q,FU413065005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3.00,0.00,0.00,0.00,3.00,3.00
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25.00,0.00,0.00,0.00,25.00,25.00
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1971:Q4,1147.00,1000.00,26.00,35.00,86.00,1147.00
1972:Q1,1026.00,919.00,32.00,-83.00,158.00,1026.00
1972:Q2,1206.00,1045.00,66.00,36.00,59.00,1206.00
1972:Q3,1067.00,906.00,68.00,40.00,53.00,1067.00
1972:Q4,1589.00,1114.00,112.00,285.00,78.00,1589.00
1973:Q1,756.00,655.00,110.00,0.00,-9.00,756.00
1973:Q2,1455.00,1144.00,44.00,103.00,164.00,1455.00
1973:Q3,442.00,422.00,52.00,-20.00,-12.00,442.00
1973:Q4,983.00,714.00,18.00,174.00,77.00,983.00
1974:Q1,1669.00,1633.00,16.00,-6.00,26.00,1669.00
1974:Q2,423.00,530.00,16.00,-53.00,-70.00,423.00
1974:Q3,1470.00,1353.00,89.00,0.00,28.00,1470.00
1974:Q4,921.00,886.00,38.00,0.00,-3.00,921.00
1975:Q1,2962.00,2782.00,120.00,0.00,60.00,2962.00
1975:Q2,1183.00,1531.00,-43.00,0.00,-305.00,1183.00
1975:Q3,1182.00,1135.00,237.00,0.00,-190.00,1182.00
1975:Q4,1726.00,1853.00,86.00,0.00,-213.00,1726.00
1976:Q1,2641.00,2361.00,271.00,0.00,9.00,2641.00
1976:Q2,2874.00,2927.00,23.00,0.00,-76.00,2874.00
1976:Q3,2958.00,2886.00,89.00,0.00,-17.00,2958.00
1976:Q4,3709.00,3744.00,101.00,0.00,-136.00,3709.00
1977:Q1,4725.00,4496.00,265.00,0.00,-36.00,4725.00
1977:Q2,2562.00,2649.00,63.00,0.00,-150.00,2562.00
1977:Q3,4432.00,4428.00,225.00,0.00,-221.00,4432.00
1977:Q4,4391.00,4158.00,372.00,0.00,-139.00,4391.00
1978:Q1,2709.00,2362.00,301.00,0.00,46.00,2709.00
1978:Q2,3099.00,2643.00,584.00,0.00,-128.00,3099.00
1978:Q3,3144.00,3039.00,267.00,0.00,-162.00,3144.00
1978:Q4,4652.00,4322.00,361.00,0.00,-31.00,4652.00
1979:Q1,4900.00,4600.00,250.00,0.00,50.00,4900.00
1979:Q2,4879.00,4527.00,333.00,0.00,19.00,4879.00
1979:Q3,6803.00,6506.00,288.00,0.00,9.00,6803.00
1979:Q4,6469.00,6133.00,339.00,0.00,-3.00,6469.00
1980:Q1,5176.00,5092.00,79.00,0.00,5.00,5176.00
1980:Q2,4062.00,3826.00,221.00,0.00,15.00,4062.00
1980:Q3,5675.00,5533.00,214.00,0.00,-72.00,5675.00
1980:Q4,4268.00,4246.00,144.00,0.00,-122.00,4268.00
1981:Q1,3301.00,3138.00,135.00,0.00,28.00,3301.00
1981:Q2,3591.00,3602.00,90.00,0.00,-101.00,3591.00
1981:Q3,3519.00,3378.00,173.00,0.00,-32.00,3519.00
1981:Q4,4616.00,4163.00,457.00,0.00,-4.00,4616.00
1982:Q1,8642.00,8724.00,39.00,0.00,-121.00,8642.00
1982:Q2,9323.00,9233.00,108.00,0.00,-18.00,9323.00
1982:Q3,13280.00,13201.00,105.00,0.00,-26.00,13280.00
1982:Q4,18288.00,18181.00,109.00,0.00,-2.00,18288.00
1983:Q1,17998.00,17626.00,293.00,0.00,79.00,17998.00
1983:Q2,16544.00,16365.00,273.00,0.00,-94.00,16544.00
1983:Q3,18477.00,18045.00,451.00,0.00,-19.00,18477.00
1983:Q4,13269.00,13054.00,214.00,0.00,1.00,13269.00
1984:Q1,11123.00,10992.00,133.00,0.00,-2.00,11123.00
1984:Q2,7781.00,7331.00,488.00,0.00,-38.00,7781.00
1984:Q3,12194.00,11499.00,427.00,0.00,268.00,12194.00
1984:Q4,13449.00,13692.00,17.00,0.00,-260.00,13449.00
1985:Q1,15046.00,14143.00,903.00,0.00,0.00,15046.00
1985:Q2,17057.00,16667.00,347.00,0.00,43.00,17057.00
1985:Q3,22242.00,22202.00,158.00,0.00,-118.00,22242.00
1985:Q4,24532.00,24543.00,72.00,0.00,-83.00,24532.00
1986:Q1,26723.00,24661.00,1993.00,0.00,69.00,26723.00
1986:Q2,34485.00,34376.00,112.00,0.00,-3.00,34485.00
1986:Q3,46824.00,45809.00,1053.00,0.00,-38.00,46824.00
1986:Q4,55695.00,54166.00,1709.00,132.00,-312.00,55695.00
1987:Q1,43844.00,42014.00,1839.00,-5.00,-4.00,43844.00
1987:Q2,39707.00,38561.00,1150.00,-1.00,-3.00,39707.00
1987:Q3,31942.00,30942.00,1004.00,-2.00,-2.00,31942.00
1987:Q4,22310.00,21855.00,520.00,-61.00,-4.00,22310.00
1988:Q1,8447.00,7114.00,1350.00,-5.00,-12.00,8447.00
1988:Q2,17474.00,16700.00,798.00,-17.00,-7.00,17474.00
1988:Q3,25822.00,24317.00,1509.00,-3.00,-1.00,25822.00
1988:Q4,24150.00,22579.00,1572.00,0.00,-1.00,24150.00
1989:Q1,25172.00,23726.00,1452.00,-4.00,-2.00,25172.00
1989:Q2,24023.00,22460.00,1574.00,-8.00,-2.00,24023.00
1989:Q3,32529.00,31606.00,925.00,0.00,-1.00,32529.00
1989:Q4,42537.00,42406.00,133.00,0.00,-2.00,42537.00
1990:Q1,35616.00,34520.00,1099.00,-1.00,-2.00,35616.00
1990:Q2,39033.00,38701.00,335.00,-1.00,-1.00,39033.00
1990:Q3,34335.00,34526.00,-191.00,0.00,-1.00,34335.00
1990:Q4,41328.00,39537.00,1795.00,0.00,-3.00,41328.00
1991:Q1,30446.00,32226.00,-1779.00,0.00,-2.00,30446.00
1991:Q2,35677.00,35449.00,233.00,-2.00,-3.00,35677.00
1991:Q3,37329.00,38580.00,-1250.00,-1.00,-1.00,37329.00
1991:Q4,33177.00,33011.00,170.00,-1.00,-3.00,33177.00
1992:Q1,23238.00,23712.00,-471.00,-1.00,-2.00,23238.00
1992:Q2,39260.00,39891.00,-631.00,0.00,0.00,39260.00
1992:Q3,24660.00,25252.00,-591.00,0.00,-1.00,24660.00
1992:Q4,28400.00,28980.00,-579.00,-1.00,-1.00,28400.00
1993:Q1,27749.00,28381.00,-628.00,-2.00,-2.00,27749.00
1993:Q2,1504.00,2156.00,-651.00,-1.00,0.00,1504.00
1993:Q3,29255.00,29480.00,-223.00,-1.00,-1.00,29255.00
1993:Q4,26211.00,26084.00,129.00,-1.00,-1.00,26211.00
1994:Q1,42531.00,42681.00,-149.00,-1.00,-1.00,42531.00
1994:Q2,33121.00,33139.00,-16.00,-2.00,-1.00,33121.00
1994:Q3,22516.00,22761.00,-243.00,-1.00,-1.00,22516.00
1994:Q4,17114.00,16722.00,393.00,0.00,0.00,17114.00
1995:Q1,7841.00,8062.00,-234.00,-2.00,15.00,7841.00
1995:Q2,19152.00,17486.00,1649.00,-1.00,17.00,19152.00
1995:Q3,27632.00,26796.00,820.00,-1.00,17.00,27632.00
1995:Q4,43701.00,41469.00,2215.00,0.00,17.00,43701.00
1996:Q1,29364.00,28456.00,910.00,0.00,-2.00,29364.00
1996:Q2,43610.00,42477.00,1135.00,0.00,-2.00,43610.00
1996:Q3,35659.00,33896.00,1767.00,-1.00,-3.00,35659.00
1996:Q4,32344.00,30555.00,1794.00,-4.00,-1.00,32344.00
1997:Q1,28651.00,27395.00,1250.00,0.00,6.00,28651.00
1997:Q2,22162.00,20738.00,1418.00,0.00,6.00,22162.00
1997:Q3,28567.00,27356.00,1205.00,0.00,6.00,28567.00
1997:Q4,35206.00,33777.00,1422.00,0.00,7.00,35206.00
1998:Q1,21261.00,20037.00,1201.00,0.00,23.00,21261.00
1998:Q2,61834.00,60411.00,1398.00,0.00,25.00,61834.00
1998:Q3,66858.00,62646.00,4187.00,0.00,25.00,66858.00
1998:Q4,42722.00,39021.00,3675.00,0.00,26.00,42722.00
1999:Q1,94041.00,91472.00,2381.00,0.00,188.00,94041.00
1999:Q2,70632.00,68355.00,2086.00,0.00,191.00,70632.00
1999:Q3,63575.00,61295.00,2092.00,0.00,188.00,63575.00
1999:Q4,46314.00,43460.00,2664.00,0.00,190.00,46314.00
2000:Q1,29968.00,28262.00,1624.00,0.00,82.00,29968.00
2000:Q2,33133.00,31124.00,1927.00,0.00,82.00,33133.00
2000:Q3,59263.00,57229.00,1953.00,0.00,81.00,59263.00
