1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,132149.00,28560.00,1517.00,0.00,534.00,26509.00,102435.00,3359.00,1067.00,98009.00,308.00,99.00,209.00,846.00,0.00,132149.00,63347.00,43889.00,26006.00,17883.00,5067.00,6890.00,4339.00,1238.00,1085.00,329.00,138.00,0.00,89.00,855.00,0.00,605.00,1700.00,1700.00,0.00,6917.00
1952:Q1,130528.00,27746.00,1289.00,0.00,548.00,25909.00,101580.00,5560.00,1034.00,94986.00,348.00,113.00,235.00,854.00,0.00,130528.00,62451.00,42559.00,24664.00,17895.00,8275.00,7200.00,4275.00,1251.00,1015.00,330.00,143.00,0.00,79.00,860.00,0.00,597.00,1695.00,1695.00,0.00,4073.00
1952:Q2,132121.00,28800.00,1616.00,0.00,554.00,26630.00,102076.00,5837.00,1140.00,95099.00,382.00,124.00,258.00,863.00,0.00,132121.00,60701.00,43742.00,26006.00,17736.00,8305.00,7174.00,4357.00,1270.00,1077.00,321.00,148.00,0.00,89.00,866.00,0.00,586.00,1818.00,1818.00,0.00,6024.00
1952:Q3,134018.00,28995.00,1538.00,0.00,740.00,26717.00,103807.00,6180.00,1452.00,96175.00,344.00,110.00,234.00,872.00,0.00,134018.00,63517.00,44088.00,26554.00,17534.00,8420.00,6718.00,4347.00,1293.00,1065.00,312.00,153.00,0.00,81.00,872.00,0.00,571.00,2302.00,2302.00,0.00,4626.00
1952:Q4,138678.00,29899.00,1659.00,0.00,560.00,27680.00,107542.00,4941.00,1275.00,101326.00,360.00,115.00,245.00,877.00,0.00,138678.00,65505.00,44205.00,26792.00,17413.00,7438.00,7193.00,4457.00,1320.00,1146.00,310.00,158.00,0.00,96.00,878.00,0.00,549.00,1950.00,1950.00,0.00,7930.00
1953:Q1,134481.00,28876.00,1313.00,0.00,513.00,27050.00,104072.00,5530.00,1156.00,97386.00,654.00,112.00,542.00,879.00,0.00,134481.00,66259.00,41076.00,23747.00,17329.00,8240.00,7226.00,4328.00,1343.00,990.00,319.00,164.00,0.00,100.00,882.00,0.00,530.00,1781.00,1781.00,0.00,5571.00
1953:Q2,132531.00,29458.00,1391.00,0.00,532.00,27535.00,101818.00,3634.00,1088.00,97096.00,377.00,114.00,263.00,878.00,0.00,132531.00,63030.00,43125.00,25869.00,17256.00,6017.00,7522.00,4314.00,1361.00,948.00,337.00,173.00,0.00,98.00,887.00,0.00,510.00,1734.00,1734.00,0.00,6789.00
1953:Q3,136105.00,30067.00,1925.00,0.00,517.00,27625.00,104799.00,5870.00,1049.00,97880.00,361.00,113.00,248.00,878.00,0.00,136105.00,65669.00,43237.00,26022.00,17215.00,8770.00,6939.00,4435.00,1372.00,1030.00,356.00,182.00,0.00,111.00,892.00,0.00,492.00,1679.00,1679.00,0.00,5376.00
1953:Q4,138710.00,29806.00,1107.00,0.00,430.00,28269.00,107644.00,4146.00,948.00,102550.00,381.00,120.00,261.00,879.00,0.00,138710.00,66817.00,43921.00,26704.00,17217.00,5906.00,7577.00,4656.00,1375.00,1215.00,366.00,189.00,0.00,139.00,897.00,0.00,475.00,1498.00,1498.00,0.00,8335.00
1954:Q1,133696.00,29113.00,1541.00,0.00,495.00,27077.00,103309.00,5060.00,894.00,97355.00,388.00,119.00,269.00,886.00,0.00,133696.00,65248.00,41140.00,23864.00,17276.00,7772.00,7913.00,4460.00,1371.00,1060.00,368.00,193.00,0.00,86.00,906.00,0.00,476.00,1508.00,1508.00,0.00,5655.00
