1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q1,20646903.00,10726672.00,5361273.00,2967553.00,1125095.00,1272752.00,9920230.00,16672.00,174282.00,276810.00,314720.00,2673.00,123491.00,54667.00,20664.00,18325.00,29835.00,115661.00,47358.00,68303.00,109114.00,1855375.00,1530629.00,5400803.00,9898948.00,2944889.00,162983.00,157500.00,2624406.00,1876256.00,783066.00,698306.00,394885.00,1441903.00,85067.00,1289577.00,2261257.00,10747955.00,104999.00,4357966.00,10828872.00,44.86,44.52,100.75,17832838.00,7912608.00,2833586.00,2803740.00,1057633.00,1217649.00,7933890.00,48908.00,2461366.00,60.77
2002:Q2,20618991.00,10711326.00,5328642.00,2969196.00,1130906.00,1282581.00,9907665.00,18500.00,175927.00,279564.00,306603.00,5667.00,127139.00,55218.00,25139.00,18964.00,27818.00,116954.00,48087.00,68867.00,99863.00,1875524.00,1563833.00,5338091.00,9916792.00,2957583.00,141454.00,158317.00,2657812.00,1857867.00,735625.00,716047.00,406195.00,1442255.00,88580.00,1295551.00,2274956.00,10702199.00,106719.00,4416698.00,9214983.00,44.99,52.26,86.10,17858219.00,7950554.00,2868667.00,2815224.00,1066825.00,1199838.00,7941427.00,49854.00,2487806.00,60.64
2002:Q3,20686320.00,10853169.00,5445312.00,2968334.00,1141258.00,1298265.00,9833151.00,20000.00,175757.00,263917.00,298773.00,5282.00,139956.00,60256.00,28351.00,18126.00,33223.00,118384.00,48824.00,69560.00,87756.00,1832497.00,1596951.00,5293877.00,9895130.00,2938083.00,136423.00,159165.00,2642495.00,1862395.00,715872.00,726172.00,420351.00,1443033.00,101055.00,1308381.00,2242184.00,10791189.00,108289.00,4465119.00,7524481.00,44.49,63.80,69.73,17855450.00,8022299.00,2889983.00,2825109.00,1075669.00,1231538.00,7960319.00,50800.00,2511990.00,60.31
2002:Q4,20981023.00,11039402.00,5607066.00,2975789.00,1144356.00,1312191.00,9941620.00,20587.00,160221.00,291301.00,319714.00,6171.00,145157.00,64789.00,31354.00,16883.00,32131.00,124359.00,49561.00,74798.00,90918.00,1719534.00,1611894.00,5451764.00,9950017.00,2934099.00,119813.00,160622.00,2653664.00,1880211.00,693430.00,734886.00,451894.00,1458570.00,92954.00,1252522.00,2331661.00,11031006.00,111220.00,4525987.00,8157248.00,43.64,59.02,73.95,18010312.00,8068692.00,2920016.00,2833220.00,1083840.00,1231616.00,8060296.00,51786.00,2535926.00,59.73
2003:Q1,21234254.00,11284481.00,5836370.00,2962367.00,1151495.00,1334249.00,9949773.00,21933.00,174194.00,303994.00,307769.00,5717.00,146697.00,61894.00,34525.00,17944.00,32334.00,122546.00,50103.00,72443.00,89812.00,1799889.00,1634043.00,5343179.00,9961028.00,2950245.00,119825.00,160774.00,2669646.00,1866412.00,668649.00,733855.00,463909.00,1419375.00,97214.00,1269756.00,2358027.00,11273226.00,114106.00,4589526.00,7869687.00,42.73,61.21,69.81,18082619.00,8132846.00,2952649.00,2840784.00,1092499.00,1246914.00,8121591.00,52825.00,2559984.00,59.31
2003:Q2,21373399.00,11369068.00,5907682.00,2965404.00,1167165.00,1328817.00,10004331.00,30297.00,191188.00,325301.00,304780.00,6221.00,149637.00,70005.00,36575.00,12192.00,30865.00,123057.00,50650.00,72407.00,100865.00,1797930.00,1676988.00,5298068.00,9929619.00,2969138.00,100995.00,161893.00,2706250.00,1855768.00,638088.00,741210.00,476470.00,1396801.00,96413.00,1266552.00,2344947.00,11443780.00,114810.00,4602159.00,9198170.00,42.16,52.46,80.38,18203409.00,8199078.00,2982050.00,2851476.00,1101860.00,1263692.00,8273790.00,53883.00,2585066.00,58.32
2003:Q3,21381490.00,11363374.00,5862017.00,2982482.00,1183336.00,1335539.00,10018116.00,34513.00,214944.00,337052.00,291739.00,7241.00,162238.00,80487.00,35355.00,11785.00,34611.00,124260.00,51204.00,73056.00,105180.00,1783467.00,1714404.00,5243077.00,9910910.00,2999819.00,103978.00,162518.00,2733323.00,1838281.00,622539.00,727271.00,488471.00,1392710.00,98972.00,1266541.00,2314586.00,11470580.00,116204.00,4645300.00,9577415.00,42.18,50.52,83.50,18270771.00,8252655.00,3008453.00,2865105.00,1112334.00,1266763.00,8359861.00,55017.00,2609898.00,57.87
2003:Q4,21491470.00,11374757.00,5812346.00,3006130.00,1195894.00,1360387.00,10116713.00,38145.00,204193.00,362778.00,289273.00,5986.00,156003.00,75679.00,33690.00,11230.00,35404.00,110823.00,51758.00,59065.00,114880.00,1701793.00,1745058.00,5387781.00,9894612.00,2973754.00,82481.00,163914.00,2727359.00,1851539.00,614050.00,742211.00,495277.00,1403862.00,81222.00,1302021.00,2282215.00,11596858.00,118904.00,4716987.00,10796040.00,41.61,44.70,93.09,18414618.00,8297905.00,3024605.00,2880827.00,1123244.00,1269229.00,8520006.00,56185.00,2634806.00,56.63
2004:Q1,22042385.00,11739031.00,6108368.00,3031355.00,1206997.00,1392312.00,10303354.00,41699.00,223679.00,369694.00,288233.00,5183.00,159037.00,78983.00,34925.00,11642.00,33487.00,111451.00,55448.00,56003.00,117914.00,1805212.00,1807089.00,5374163.00,10030869.00,3036912.00,91623.00,192611.00,2752678.00,1861163.00,580428.00,750216.00,530519.00,1438201.00,90747.00,1322398.00,2281448.00,12011516.00,122229.00,4823696.00,10998558.00,40.78,44.53,91.57,18708929.00,8405575.00,3055188.00,2892782.00,1133532.00,1324073.00,8678060.00,57363.00,2658265.00,56.44
2004:Q2,22636870.00,12141141.00,6419969.00,3077007.00,1216864.00,1427301.00,10495729.00,47625.00,240260.00,370406.00,285465.00,4829.00,156791.00,78886.00,34008.00,11336.00,32561.00,115237.00,59137.00,56100.00,118146.00,1860975.00,1872058.00,5423937.00,10124705.00,3021293.00,98673.00,198731.00,2723889.00,1888087.00,582182.00,760532.00,545373.00,1445035.00,92174.00,1339011.00,2339104.00,12512165.00,125422.00,4942275.00,11204298.00,39.24,43.82,89.55,18982255.00,8486526.00,3082619.00,2908847.00,1143654.00,1351406.00,8857550.00,58580.00,2682295.00,55.43
