1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q1,87021.00,82113.00,80709.00,17.00,0.00,1387.00,4908.00,4752.00,156.00,0.00,0.00,87021.00,81545.00,900.00,900.00,0.00,345.00,1658.00,721.00,427.00,0.00,0.00,0.00,294.00,0.00,1852.00
1953:Q2,89868.00,84736.00,83194.00,19.00,0.00,1523.00,5132.00,4964.00,168.00,0.00,0.00,89868.00,84177.00,900.00,900.00,0.00,340.00,1742.00,740.00,444.00,0.00,0.00,0.00,296.00,0.00,1969.00
1953:Q3,91503.00,86346.00,84731.00,20.00,0.00,1595.00,5157.00,4978.00,179.00,0.00,0.00,91503.00,85755.00,900.00,900.00,0.00,344.00,1696.00,758.00,461.00,0.00,0.00,0.00,297.00,0.00,2050.00
1953:Q4,94270.00,88467.00,86758.00,21.00,0.00,1688.00,5803.00,5614.00,189.00,0.00,0.00,94270.00,87886.00,900.00,900.00,0.00,342.00,1957.00,777.00,478.00,0.00,0.00,0.00,299.00,0.00,2408.00
1954:Q1,96947.00,90512.00,88766.00,22.00,0.00,1724.00,6435.00,6233.00,202.00,0.00,0.00,96947.00,89888.00,950.00,950.00,0.00,344.00,2283.00,799.00,497.00,0.00,0.00,0.00,302.00,0.00,2683.00
1954:Q2,100284.00,93406.00,91552.00,24.00,0.00,1830.00,6878.00,6665.00,213.00,0.00,0.00,100284.00,92829.00,1000.00,1000.00,0.00,335.00,2335.00,821.00,516.00,0.00,0.00,0.00,305.00,0.00,2964.00
1954:Q3,102332.00,95052.00,93101.00,25.00,0.00,1926.00,7280.00,7055.00,225.00,0.00,0.00,102332.00,94440.00,1050.00,1050.00,0.00,344.00,2438.00,837.00,536.00,0.00,0.00,0.00,301.00,0.00,3223.00
1954:Q4,104819.00,97834.00,95771.00,26.00,0.00,2037.00,6985.00,6752.00,233.00,0.00,0.00,104819.00,97182.00,1100.00,1100.00,0.00,370.00,2419.00,848.00,556.00,0.00,0.00,0.00,292.00,0.00,2900.00
1955:Q1,106910.00,99965.00,97873.00,26.00,0.00,2066.00,6945.00,6712.00,233.00,0.00,0.00,106910.00,99274.00,1075.00,1075.00,0.00,374.00,2377.00,873.00,577.00,0.00,0.00,0.00,296.00,0.00,2937.00
1955:Q2,109566.00,102541.00,100318.00,25.00,0.00,2198.00,7025.00,6796.00,229.00,0.00,0.00,109566.00,101868.00,1050.00,1050.00,0.00,370.00,2452.00,904.00,600.00,0.00,0.00,0.00,304.00,0.00,2922.00
1955:Q3,110976.00,104096.00,101753.00,25.00,0.00,2318.00,6880.00,6656.00,224.00,0.00,0.00,110976.00,103362.00,1025.00,1025.00,0.00,352.00,2313.00,939.00,623.00,0.00,0.00,0.00,316.00,0.00,2985.00
1955:Q4,113274.00,106606.00,104135.00,25.00,0.00,2446.00,6668.00,6446.00,222.00,0.00,0.00,113274.00,105783.00,1000.00,1000.00,0.00,357.00,2356.00,979.00,647.00,0.00,0.00,0.00,332.00,0.00,2799.00
1956:Q1,115386.00,108798.00,106228.00,26.00,0.00,2544.00,6588.00,6356.00,232.00,0.00,0.00,115386.00,107946.00,1000.00,1000.00,0.00,351.00,2508.00,1004.00,671.00,0.00,0.00,0.00,333.00,0.00,2577.00
1956:Q2,118567.00,111792.00,109107.00,28.00,0.00,2657.00,6775.00,6526.00,249.00,0.00,0.00,118567.00,110925.00,1000.00,1000.00,0.00,331.00,2509.00,1030.00,697.00,0.00,0.00,0.00,333.00,0.00,2772.00
1956:Q3,120060.00,113421.00,110650.00,29.00,0.00,2742.00,6639.00,6374.00,265.00,0.00,0.00,120060.00,112516.00,1000.00,1000.00,0.00,330.00,2347.00,1056.00,724.00,0.00,0.00,0.00,332.00,0.00,2811.00
1956:Q4,122702.00,116243.00,113299.00,30.00,0.00,2914.00,6459.00,6186.00,273.00,0.00,0.00,122702.00,115230.00,1000.00,1000.00,0.00,330.00,2400.00,1085.00,752.00,0.00,0.00,0.00,333.00,0.00,2657.00
