1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q1,742706.00,610529.00,583866.00,375.00,778.00,25510.00,132178.00,128317.00,3083.00,778.00,0.00,742706.00,646310.00,25526.00,18791.00,6735.00,590.00,45074.00,12276.00,10444.00,887.00,67.00,0.00,878.00,0.00,12930.00
1974:Q2,765395.00,615520.00,587762.00,388.00,771.00,26599.00,149876.00,145846.00,3259.00,771.00,0.00,765395.00,663872.00,26384.00,19179.00,7205.00,446.00,46528.00,13159.00,10873.00,1183.00,210.00,0.00,893.00,0.00,15006.00
1974:Q3,776619.00,613276.00,585424.00,435.00,783.00,26634.00,163343.00,158819.00,3741.00,783.00,0.00,776619.00,670156.00,26591.00,19045.00,7546.00,490.00,46098.00,14397.00,11331.00,1373.00,786.00,0.00,907.00,0.00,18887.00
1974:Q4,795472.00,628062.00,599344.00,470.00,794.00,27454.00,167411.00,162587.00,4030.00,794.00,0.00,795472.00,681039.00,28248.00,20464.00,7784.00,477.00,48544.00,16041.00,11957.00,1543.00,1620.00,0.00,921.00,0.00,21123.00
1975:Q1,822810.00,656027.00,625466.00,493.00,831.00,29237.00,166783.00,161766.00,4186.00,831.00,0.00,822810.00,708884.00,27638.00,19761.00,7877.00,650.00,46854.00,17567.00,12495.00,1811.00,2326.00,0.00,935.00,0.00,21217.00
1975:Q2,844694.00,686292.00,653863.00,533.00,869.00,31027.00,158402.00,152887.00,4646.00,869.00,0.00,844694.00,727385.00,29922.00,21958.00,7964.00,492.00,46531.00,18319.00,13151.00,1688.00,2532.00,0.00,948.00,0.00,22045.00
1975:Q3,861883.00,705132.00,671869.00,648.00,911.00,31704.00,156752.00,150346.00,5495.00,911.00,0.00,861883.00,742259.00,32325.00,24292.00,8033.00,650.00,45876.00,18444.00,13832.00,1342.00,2308.00,0.00,962.00,0.00,22329.00
1975:Q4,884715.00,726454.00,691720.00,844.00,953.00,32937.00,158262.00,150269.00,7040.00,953.00,0.00,884715.00,762165.00,32218.00,24130.00,8088.00,572.00,46942.00,20239.00,14454.00,1171.00,2139.00,0.00,975.00,1500.00,22579.00
1976:Q1,914589.00,766015.00,729473.00,762.00,949.00,34831.00,148574.00,141117.00,6508.00,949.00,0.00,914589.00,790700.00,33151.00,24945.00,8206.00,620.00,48381.00,20552.00,15095.00,1065.00,1705.00,0.00,987.00,1700.00,21185.00
1976:Q2,936971.00,789159.00,750883.00,819.00,944.00,36513.00,147812.00,140057.00,6811.00,944.00,0.00,936971.00,813974.00,34764.00,26347.00,8417.00,724.00,45411.00,21348.00,15646.00,1133.00,1669.00,0.00,1000.00,1900.00,20750.00
1976:Q3,957201.00,813587.00,774522.00,855.00,977.00,37233.00,143615.00,135491.00,7147.00,977.00,0.00,957201.00,834021.00,34321.00,25462.00,8859.00,570.00,46481.00,21793.00,16096.00,1055.00,1530.00,0.00,1012.00,2100.00,20015.00
1976:Q4,992370.00,847958.00,807352.00,874.00,1010.00,38722.00,144413.00,136011.00,7392.00,1010.00,0.00,992370.00,853592.00,38273.00,28783.00,9490.00,731.00,49064.00,22858.00,16639.00,1148.00,1487.00,0.00,1024.00,2560.00,27852.00
1977:Q1,1030758.00,887120.00,844092.00,903.00,1133.00,40992.00,143638.00,134866.00,7639.00,1133.00,0.00,1030758.00,888745.00,37906.00,27955.00,9951.00,590.00,51802.00,23689.00,17300.00,1098.00,1455.00,0.00,1036.00,2800.00,28026.00
1977:Q2,1055163.00,908986.00,863801.00,946.00,1283.00,42956.00,146177.00,136968.00,7926.00,1283.00,0.00,1055163.00,909367.00,39781.00,29290.00,10491.00,810.00,50471.00,25251.00,18034.00,1401.00,1569.00,0.00,1047.00,3200.00,29483.00
1977:Q3,1084311.00,929238.00,882532.00,949.00,1406.00,44351.00,155074.00,145611.00,8057.00,1406.00,0.00,1084311.00,935033.00,41126.00,29897.00,11229.00,760.00,52759.00,26519.00,18821.00,1483.00,1556.00,0.00,1059.00,3600.00,28114.00
1977:Q4,1116191.00,943206.00,894529.00,1106.00,1513.00,46058.00,172986.00,162097.00,9376.00,1513.00,0.00,1116191.00,955062.00,47583.00,35456.00,12127.00,878.00,55766.00,27993.00,19644.00,1416.00,1793.00,0.00,1070.00,4070.00,28909.00
1978:Q1,1154015.00,967673.00,916021.00,1198.00,1707.00,48747.00,186342.00,174425.00,10186.00,1707.00,24.00,1154015.00,984722.00,47745.00,35080.00,12665.00,690.00,59578.00,30688.00,20592.00,1758.00,2658.00,0.00,1080.00,4600.00,30592.00
1978:Q2,1178943.00,982087.00,928159.00,1268.00,1964.00,50696.00,196857.00,184206.00,10627.00,1964.00,60.00,1178943.00,1006054.00,48713.00,35386.00,13327.00,1051.00,58731.00,33039.00,21590.00,2043.00,3115.00,0.00,1091.00,5200.00,31355.00
1978:Q3,1208808.00,999693.00,944735.00,1476.00,2160.00,51322.00,209116.00,194466.00,12398.00,2160.00,92.00,1208808.00,1030407.00,48565.00,34266.00,14299.00,946.00,61164.00,36141.00,22509.00,2436.00,4095.00,0.00,1101.00,6000.00,31585.00
1978:Q4,1237393.00,1009317.00,953383.00,1797.00,2296.00,51841.00,228076.00,210546.00,15106.00,2296.00,128.00,1237393.00,1048359.00,53704.00,38182.00,15522.00,942.00,62912.00,38318.00,23660.00,2354.00,4458.00,0.00,1111.00,6735.00,33158.00
1979:Q1,1265973.00,1034464.00,976581.00,1845.00,2353.00,53685.00,231509.00,213696.00,15296.00,2353.00,164.00,1265973.00,1070090.00,53027.00,36026.00,17001.00,935.00,65474.00,41562.00,24727.00,2747.00,6067.00,0.00,1121.00,6900.00,34885.00
1979:Q2,1274919.00,1047299.00,987389.00,2038.00,2348.00,55524.00,227620.00,208251.00,16821.00,2348.00,200.00,1274919.00,1080983.00,52444.00,33981.00,18463.00,973.00,62093.00,44494.00,25677.00,2844.00,7743.00,0.00,1130.00,7100.00,33932.00
1979:Q3,1307219.00,1061536.00,1000183.00,2288.00,2550.00,56515.00,245684.00,224010.00,18888.00,2550.00,236.00,1307219.00,1102350.00,57541.00,37659.00,19882.00,997.00,62232.00,48747.00,26714.00,3055.00,10538.00,0.00,1140.00,7300.00,35352.00
1979:Q4,1327119.00,1069712.00,1008873.00,2276.00,2832.00,55731.00,257408.00,236044.00,18260.00,2832.00,272.00,1327119.00,1115960.00,61683.00,40414.00,21269.00,1007.00,60793.00,52085.00,27894.00,3458.00,11987.00,0.00,1149.00,7597.00,35591.00
1980:Q1,1354540.00,1086744.00,1027822.00,2221.00,2923.00,53778.00,267797.00,246580.00,17986.00,2923.00,308.00,1354540.00,1139722.00,60285.00,38748.00,21537.00,909.00,62596.00,55696.00,28830.00,3569.00,14140.00,0.00,1157.00,8000.00,35332.00
1980:Q2,1373045.00,1107925.00,1047140.00,2278.00,2972.00,55535.00,265121.00,244003.00,17802.00,2972.00,344.00,1373045.00,1158969.00,58764.00,36770.00,21994.00,758.00,58925.00,59302.00,29699.00,3556.00,16381.00,0.00,1166.00,8500.00,36327.00
1980:Q3,1407456.00,1129256.00,1065306.00,2604.00,3042.00,58304.00,278200.00,253946.00,20832.00,3042.00,380.00,1407456.00,1189371.00,60322.00,37399.00,22923.00,988.00,57595.00,63617.00,30520.00,3559.00,19364.00,0.00,1174.00,9000.00,35563.00
1980:Q4,1470070.00,1153156.00,1088906.00,3109.00,3200.00,57941.00,316914.00,287923.00,25320.00,3200.00,471.00,1470070.00,1237365.00,69253.00,45022.00,24231.00,797.00,58826.00,67263.00,31827.00,3684.00,21201.00,0.00,1182.00,9369.00,36566.00
1981:Q1,1489864.00,1166901.00,1101151.00,3205.00,3462.00,59083.00,322964.00,292472.00,26537.00,3462.00,493.00,1489864.00,1240544.00,75704.00,51034.00,24670.00,823.00,60356.00,76738.00,32923.00,4107.00,29918.00,0.00,1190.00,8600.00,35699.00
1981:Q2,1510561.00,1168989.00,1102081.00,3236.00,3841.00,59831.00,341572.00,310043.00,27172.00,3841.00,516.00,1510561.00,1258542.00,75574.00,50593.00,24981.00,757.00,57854.00,81085.00,33727.00,3761.00,31980.00,0.00,1197.00,10420.00,36749.00
1981:Q3,1543013.00,1177458.00,1110209.00,3569.00,4211.00,59469.00,365555.00,330898.00,29931.00,4211.00,515.00,1543013.00,1280425.00,74591.00,49315.00,25276.00,667.00,57983.00,93099.00,34960.00,4296.00,40438.00,0.00,1205.00,12200.00,36248.00
1981:Q4,1586412.00,1207821.00,1139245.00,3967.00,4442.00,60167.00,378591.00,341522.00,32075.00,4442.00,552.00,1586412.00,1305318.00,80671.00,54971.00,25700.00,655.00,61065.00,99865.00,36476.00,3813.00,44363.00,0.00,1212.00,14001.00,38838.00
1982:Q1,1619191.00,1238287.00,1167781.00,3220.00,4539.00,62747.00,380905.00,348117.00,27561.00,4539.00,688.00,1619191.00,1328919.00,80616.00,54405.00,26211.00,784.00,65520.00,102740.00,39585.00,3972.00,41765.00,0.00,1218.00,16200.00,40612.00
1982:Q2,1651888.00,1253747.00,1181119.00,3565.00,4499.00,64564.00,398141.00,362542.00,30343.00,4499.00,757.00,1651888.00,1352369.00,77346.00,50577.00,26769.00,958.00,63508.00,112816.00,43034.00,4610.00,45464.00,0.00,1224.00,18484.00,44891.00
1982:Q3,1690721.00,1279912.00,1205746.00,3828.00,4449.00,65889.00,410809.00,372801.00,32763.00,4449.00,796.00,1690721.00,1372642.00,85392.00,58000.00,27392.00,986.00,65194.00,120520.00,46147.00,5083.00,50960.00,0.00,1230.00,17100.00,45987.00
1982:Q4,1751613.00,1355788.00,1278774.00,4136.00,4511.00,68367.00,395825.00,354782.00,35818.00,4511.00,714.00,1751613.00,1431240.00,91673.00,63573.00,28100.00,1127.00,64893.00,113469.00,49416.00,5992.00,41101.00,0.00,1237.00,15723.00,49211.00
1983:Q1,1803890.00,1458588.00,1377777.00,3196.00,4686.00,72929.00,345303.00,313486.00,26485.00,4686.00,646.00,1803890.00,1501993.00,92246.00,63337.00,28909.00,950.00,64565.00,110885.00,53491.00,7350.00,30600.00,0.00,1244.00,18200.00,33251.00
1983:Q2,1841961.00,1490895.00,1405398.00,3548.00,4967.00,76982.00,351067.00,315496.00,29976.00,4967.00,628.00,1841961.00,1535100.00,97666.00,67829.00,29837.00,749.00,60535.00,113924.00,59049.00,7757.00,26372.00,0.00,1251.00,19495.00,33987.00
1983:Q3,1890211.00,1520594.00,1432902.00,3550.00,5246.00,78896.00,369618.00,333877.00,29818.00,5246.00,677.00,1890211.00,1585159.00,97393.00,66597.00,30796.00,784.00,59605.00,113609.00,59222.00,7305.00,24823.00,0.00,1259.00,21000.00,33661.00
1983:Q4,1947614.00,1563044.00,1473336.00,3283.00,5414.00,81011.00,384570.00,351387.00,27076.00,5414.00,693.00,1947614.00,1633536.00,101674.00,69974.00,31700.00,676.00,58633.00,117613.00,60873.00,8785.00,24289.00,0.00,1267.00,22399.00,35482.00
1984:Q1,1998504.00,1599846.00,1504304.00,3046.00,5481.00,87015.00,398659.00,367237.00,25199.00,5481.00,742.00,1998504.00,1691022.00,99993.00,67460.00,32533.00,816.00,56089.00,115347.00,60168.00,10104.00,20900.00,0.00,1175.00,23000.00,35237.00
1984:Q2,2066145.00,1634193.00,1533498.00,3453.00,5452.00,91790.00,431952.00,397878.00,27996.00,5452.00,626.00,2066145.00,1751714.00,99091.00,65810.00,33281.00,841.00,55083.00,120286.00,60020.00,11093.00,24668.00,0.00,1176.00,23329.00,39130.00
1984:Q3,2112868.00,1660799.00,1559614.00,3269.00,5407.00,92509.00,452070.00,419315.00,26638.00,5407.00,710.00,2112868.00,1799247.00,95221.00,61132.00,34089.00,939.00,57024.00,120587.00,64875.00,12727.00,19975.00,0.00,1210.00,21800.00,39850.00
1984:Q4,2182830.00,1711393.00,1609909.00,3773.00,5420.00,92291.00,471437.00,434252.00,30951.00,5420.00,814.00,2182830.00,1853189.00,104224.00,69124.00,35100.00,1208.00,58862.00,125222.00,68025.00,11960.00,24126.00,0.00,1162.00,19949.00,40125.00
1985:Q1,2234073.00,1759519.00,1651595.00,3975.00,5478.00,98471.00,474554.00,436140.00,32042.00,5478.00,894.00,2234073.00,1889594.00,109420.00,73050.00,36370.00,1139.00,62869.00,130362.00,73195.00,14085.00,21849.00,0.00,1183.00,20050.00,40689.00
1985:Q2,2264828.00,1798253.00,1684020.00,3718.00,5564.00,104951.00,466576.00,430794.00,29251.00,5564.00,967.00,2264828.00,1921975.00,104764.00,66808.00,37956.00,1112.00,60563.00,135929.00,79595.00,14614.00,20301.00,0.00,1276.00,20143.00,40485.00
1985:Q3,2303021.00,1824862.00,1705182.00,4141.00,5664.00,109875.00,478160.00,438181.00,33281.00,5664.00,1034.00,2303021.00,1955490.00,108177.00,68688.00,39489.00,1195.00,62559.00,133798.00,78824.00,14149.00,19186.00,0.00,1489.00,20150.00,41802.00
1985:Q4,2444048.00,1851712.00,1729331.00,4915.00,5765.00,111701.00,592337.00,472349.00,113065.00,5765.00,1158.00,2444048.00,2094599.00,109901.00,69301.00,40600.00,1248.00,65888.00,129063.00,76601.00,13327.00,17435.00,0.00,1481.00,20219.00,43349.00
1986:Q1,2477751.00,1882335.00,1753211.00,3763.00,5884.00,119477.00,595416.00,476672.00,111637.00,5884.00,1223.00,2477751.00,2123204.00,116137.00,74757.00,41380.00,1621.00,67418.00,130476.00,78044.00,14072.00,17754.00,0.00,1606.00,19000.00,38895.00
1986:Q2,2499306.00,1914041.00,1775557.00,4216.00,6036.00,128232.00,585266.00,465671.00,112310.00,6036.00,1249.00,2499306.00,2138249.00,122345.00,80427.00,41918.00,1646.00,65426.00,132028.00,78969.00,14183.00,17526.00,0.00,1610.00,19740.00,39612.00
1986:Q3,2546184.00,1945190.00,1801212.00,4120.00,6174.00,133684.00,600995.00,468856.00,124549.00,6174.00,1416.00,2546184.00,2168199.00,134442.00,92218.00,42224.00,1456.00,66614.00,135348.00,81702.00,11595.00,19916.00,0.00,1978.00,20157.00,40125.00
1986:Q4,2591208.00,1977510.00,1826270.00,7143.00,6253.00,137844.00,613699.00,466963.00,138663.00,6253.00,1820.00,2591208.00,2213135.00,127838.00,85530.00,42308.00,1433.00,68239.00,139744.00,86920.00,9891.00,20191.00,0.00,2298.00,20444.00,40819.00
1987:Q1,2595161.00,1990175.00,1828519.00,9073.00,6267.00,146316.00,604987.00,462427.00,134709.00,6267.00,1584.00,2595161.00,2220189.00,123132.00,81118.00,42014.00,1321.00,73519.00,136170.00,83688.00,7403.00,19892.00,0.00,2390.00,22797.00,40830.00
1987:Q2,2631531.00,2000297.00,1836425.00,6644.00,6211.00,151017.00,631234.00,473922.00,149112.00,6211.00,1989.00,2631531.00,2254896.00,122975.00,81792.00,41183.00,1573.00,73491.00,138451.00,83821.00,5753.00,24768.00,0.00,2345.00,21764.00,40145.00
1987:Q3,2666987.00,2012753.00,1849688.00,6560.00,6152.00,150353.00,654235.00,486657.00,159679.00,6152.00,1747.00,2666987.00,2290364.00,120919.00,80483.00,40436.00,1520.00,72961.00,140761.00,81144.00,5019.00,27532.00,0.00,2604.00,24462.00,40462.00
1987:Q4,2735306.00,2047389.00,1884267.00,7772.00,6153.00,149197.00,687917.00,513838.00,165844.00,6153.00,2082.00,2735306.00,2352184.00,126333.00,85943.00,40390.00,1651.00,75339.00,137549.00,76103.00,5216.00,34845.00,0.00,2883.00,18502.00,42250.00
1988:Q1,2805515.00,2121320.00,1952639.00,7457.00,6190.00,155034.00,684195.00,519850.00,156189.00,6190.00,1966.00,2805515.00,2417033.00,124630.00,81972.00,42658.00,1572.00,78302.00,141842.00,76495.00,5761.00,37513.00,0.00,3024.00,19049.00,42136.00
1988:Q2,2837944.00,2148461.00,1975701.00,7627.00,6255.00,158878.00,689483.00,521976.00,158491.00,6255.00,2761.00,2837944.00,2451709.00,119384.00,74680.00,44704.00,1644.00,73820.00,147541.00,82766.00,5865.00,35091.00,0.00,3312.00,20507.00,43846.00
1988:Q3,2891679.00,2167100.00,1992307.00,8224.00,6341.00,160228.00,724580.00,550357.00,165690.00,6341.00,2192.00,2891679.00,2494640.00,124824.00,78949.00,45875.00,1419.00,74581.00,152426.00,82649.00,6488.00,37994.00,0.00,3251.00,22044.00,43789.00
1988:Q4,2935907.00,2186306.00,2011105.00,8302.00,6439.00,160460.00,749602.00,558933.00,181776.00,6439.00,2454.00,2935907.00,2537955.00,129230.00,82273.00,46957.00,1404.00,73365.00,150581.00,86942.00,7116.00,34295.00,0.00,3379.00,18849.00,43372.00
1989:Q1,2973040.00,2198231.00,2019439.00,9120.00,6531.00,163141.00,774809.00,575748.00,189971.00,6531.00,2559.00,2973040.00,2561400.00,122107.00,74379.00,47728.00,1332.00,75277.00,168110.00,94517.00,8123.00,37133.00,0.00,4070.00,24267.00,44814.00
1989:Q2,2993510.00,2217720.00,2039899.00,8704.00,6600.00,162517.00,775790.00,580240.00,186488.00,6600.00,2462.00,2993510.00,2564572.00,128116.00,80721.00,47395.00,1285.00,72775.00,179824.00,101600.00,8418.00,44231.00,0.00,4324.00,21251.00,46938.00
1989:Q3,3023299.00,2250124.00,2070630.00,9239.00,6725.00,163530.00,773175.00,575397.00,187053.00,6725.00,4000.00,3023299.00,2595361.00,120264.00,73203.00,47061.00,1155.00,70752.00,187969.00,108691.00,8850.00,45653.00,0.00,4460.00,20315.00,47798.00
1989:Q4,3064591.00,2284283.00,2100645.00,12000.00,6986.00,164652.00,780309.00,567257.00,200530.00,6986.00,5536.00,3064591.00,2623530.00,128961.00,80610.00,48351.00,1261.00,70585.00,190708.00,114406.00,9060.00,43652.00,0.00,4668.00,18922.00,49546.00
1990:Q1,3066868.00,2315774.00,2126219.00,9395.00,7435.00,172725.00,751095.00,553008.00,186352.00,7435.00,4300.00,3066868.00,2639199.00,119428.00,69847.00,49581.00,1409.00,71512.00,184269.00,116002.00,8479.00,36842.00,0.00,4648.00,18298.00,51051.00
1990:Q2,3052226.00,2320278.00,2125079.00,9791.00,8124.00,177284.00,731948.00,536564.00,184089.00,8124.00,3171.00,3052226.00,2635181.00,121084.00,70925.00,50159.00,1335.00,69140.00,175390.00,113279.00,7953.00,31163.00,0.00,4907.00,18088.00,50096.00
1990:Q3,3049194.00,2328791.00,2132736.00,9020.00,8765.00,178270.00,720403.00,523808.00,184530.00,8765.00,3300.00,3049194.00,2650585.00,123818.00,72369.00,51449.00,1459.00,68080.00,156093.00,111111.00,7802.00,25226.00,0.00,5093.00,6861.00,49159.00
1990:Q4,3067296.00,2348248.00,2149084.00,11031.00,9069.00,179064.00,719049.00,503802.00,202763.00,9069.00,3415.00,3067296.00,2673578.00,125583.00,74564.00,51019.00,1403.00,67545.00,150168.00,110223.00,7701.00,22361.00,0.00,5320.00,4563.00,49019.00
1991:Q1,3085479.00,2379618.00,2173763.00,12467.00,9038.00,184350.00,705861.00,479628.00,213595.00,9038.00,3600.00,3085479.00,2682465.00,128049.00,77964.00,50085.00,1300.00,62777.00,160591.00,107637.00,14658.00,29283.00,0.00,5570.00,3443.00,50297.00
1991:Q2,3042009.00,2375491.00,2164866.00,12632.00,8675.00,189318.00,666519.00,444836.00,209188.00,8675.00,3820.00,3042009.00,2630930.00,132669.00,81294.00,51375.00,1544.00,60660.00,164996.00,109796.00,12230.00,32538.00,0.00,6680.00,3752.00,51210.00
1991:Q3,3027672.00,2364904.00,2151197.00,13199.00,8258.00,192250.00,662768.00,421508.00,229002.00,8258.00,4000.00,3027672.00,2611030.00,136293.00,84043.00,52250.00,1527.00,60664.00,169748.00,114389.00,9902.00,35086.00,0.00,7404.00,2967.00,48410.00
1991:Q4,2999683.00,2349869.00,2134301.00,10980.00,8067.00,196521.00,649814.00,393706.00,243809.00,8067.00,4232.00,2999683.00,2591258.00,130809.00,77581.00,53228.00,1551.00,56467.00,170718.00,115719.00,8828.00,35692.00,0.00,8110.00,2369.00,48880.00
1992:Q1,2968232.00,2347146.00,2122546.00,10433.00,8067.00,206100.00,621087.00,372050.00,236370.00,8067.00,4600.00,2968232.00,2455799.00,130553.00,74167.00,56386.00,1901.00,57855.00,166907.00,110670.00,8406.00,36068.00,0.00,8024.00,3739.00,155217.00
1992:Q2,2951327.00,2328682.00,2101315.00,11158.00,8216.00,207993.00,622645.00,345684.00,263782.00,8216.00,4963.00,2951327.00,2447963.00,131103.00,73250.00,57853.00,2201.00,52180.00,159362.00,106119.00,8358.00,34402.00,0.00,7654.00,2829.00,158518.00
1992:Q3,2893644.00,2304015.00,2076372.00,10453.00,8390.00,208800.00,589630.00,330874.00,244966.00,8390.00,5400.00,2893644.00,2394301.00,134367.00,74612.00,59755.00,2175.00,53207.00,159074.00,102989.00,7910.00,37719.00,0.00,8086.00,2370.00,150520.00
1992:Q4,2871574.00,2292706.00,2060988.00,11224.00,8462.00,212032.00,578869.00,305966.00,258638.00,8462.00,5803.00,2871574.00,2364216.00,136186.00,75991.00,60195.00,874.00,50319.00,150522.00,98608.00,6942.00,35168.00,0.00,8371.00,1433.00,169457.00
1993:Q1,2829814.00,2274906.00,2038111.00,11296.00,8449.00,217050.00,554908.00,295764.00,244795.00,8449.00,5900.00,2829814.00,2322444.00,144020.00,82120.00,61900.00,936.00,53274.00,154657.00,99701.00,7591.00,37485.00,0.00,8890.00,990.00,154483.00
1993:Q2,2812735.00,2254200.00,2013458.00,11974.00,8368.00,220400.00,558536.00,288357.00,255784.00,8368.00,6027.00,2812735.00,2299816.00,147846.00,85412.00,62434.00,835.00,48363.00,152293.00,99409.00,8601.00,33743.00,0.00,9215.00,1325.00,163582.00
1993:Q3,2786204.00,2235825.00,1997061.00,9886.00,8278.00,220600.00,550379.00,284439.00,251162.00,8278.00,6500.00,2786204.00,2284297.00,143401.00,81130.00,62271.00,826.00,49002.00,142988.00,95060.00,8554.00,26333.00,0.00,10999.00,2042.00,165690.00
1993:Q4,2786009.00,2222417.00,1981958.00,10406.00,8241.00,221812.00,563593.00,283116.00,265307.00,8241.00,6929.00,2786009.00,2241626.00,155587.00,91982.00,63605.00,811.00,48790.00,146617.00,95254.00,6230.00,32275.00,0.00,11513.00,1345.00,192578.00
1994:Q1,2790028.00,2233083.00,1984800.00,10159.00,8374.00,229750.00,556945.00,282519.00,259052.00,8374.00,7000.00,2790028.00,2245532.00,152045.00,87310.00,64735.00,723.00,52162.00,144263.00,96975.00,5869.00,28818.00,0.00,11639.00,962.00,195303.00
1994:Q2,2776204.00,2214129.00,1963410.00,10644.00,8588.00,231487.00,562075.00,283654.00,262651.00,8588.00,7182.00,2776204.00,2213642.00,155832.00,90287.00,65545.00,689.00,49715.00,145961.00,97401.00,5520.00,30073.00,0.00,11947.00,1020.00,210365.00
1994:Q3,2786121.00,2197793.00,1949933.00,9158.00,8752.00,229950.00,588328.00,292633.00,279693.00,8752.00,7250.00,2786121.00,2229788.00,157040.00,90528.00,66512.00,722.00,53920.00,147697.00,96231.00,2636.00,35564.00,0.00,12205.00,1061.00,196954.00
1994:Q4,2790658.00,2184975.00,1939396.00,9273.00,9016.00,227290.00,605683.00,304116.00,285236.00,9016.00,7315.00,2790658.00,2217009.00,163545.00,96369.00,67176.00,688.00,55319.00,149896.00,101717.00,2483.00,32101.00,0.00,12681.00,914.00,204201.00
1995:Q1,2842578.00,2201707.00,1956981.00,8689.00,9237.00,226800.00,640871.00,327422.00,291212.00,9237.00,13000.00,2842578.00,2264951.00,151005.00,82205.00,68800.00,1126.00,60245.00,163751.00,104456.00,2536.00,42345.00,0.00,13446.00,968.00,201500.00
1995:Q2,2886820.00,2228201.00,1984868.00,9150.00,9461.00,224722.00,658619.00,334820.00,295020.00,9461.00,19318.00,2886820.00,2293499.00,161359.00,91827.00,69532.00,1054.00,58001.00,166347.00,105521.00,2594.00,43563.00,0.00,13755.00,914.00,206560.00
1995:Q3,2934377.00,2266695.00,2015388.00,8860.00,9697.00,232750.00,667682.00,345918.00,298917.00,9697.00,13150.00,2934377.00,2328200.00,163948.00,93237.00,70711.00,1053.00,58492.00,185154.00,107911.00,4209.00,58270.00,0.00,13864.00,900.00,197530.00
1995:Q4,2964688.00,2297478.00,2039772.00,8541.00,10230.00,238935.00,667211.00,359015.00,288991.00,10230.00,8975.00,2964688.00,2344581.00,171147.00,99688.00,71459.00,940.00,61959.00,184744.00,109819.00,4464.00,53333.00,0.00,16309.00,819.00,201317.00
1996:Q1,3046825.00,2366695.00,2097295.00,8250.00,10450.00,250700.00,680131.00,371692.00,288489.00,10450.00,9500.00,3046825.00,2417103.00,167839.00,95849.00,71990.00,1035.00,66592.00,191907.00,111933.00,4969.00,57619.00,0.00,16574.00,812.00,202349.00
1996:Q2,3070878.00,2370371.00,2100199.00,7653.00,10760.00,251759.00,700507.00,385720.00,294087.00,10760.00,9940.00,3070878.00,2432027.00,176787.00,103832.00,72955.00,4336.00,67411.00,192210.00,115084.00,3871.00,55659.00,0.00,16813.00,783.00,198107.00
1996:Q3,3136704.00,2394117.00,2126988.00,7613.00,10537.00,248979.00,742587.00,406185.00,315583.00,10537.00,10282.00,3136704.00,2466234.00,186931.00,112984.00,73947.00,3313.00,70800.00,207420.00,117470.00,2274.00,69158.00,0.00,17517.00,1001.00,202006.00
1996:Q4,3190820.00,2421088.00,2150823.00,8676.00,10388.00,251201.00,769732.00,413112.00,334809.00,10388.00,11423.00,3190820.00,2485491.00,204675.00,129670.00,75005.00,2376.00,72558.00,224663.00,118497.00,2293.00,84412.00,0.00,18953.00,508.00,201057.00
1997:Q1,3262061.00,2478523.00,2189560.00,19439.00,10119.00,259405.00,783538.00,423728.00,337295.00,10119.00,12396.00,3262061.00,2525084.00,211214.00,132912.00,78302.00,2426.00,73058.00,247851.00,120706.00,5021.00,101866.00,0.00,18976.00,1282.00,202428.00
1997:Q2,3311617.00,2491963.00,2202404.00,16773.00,9876.00,262910.00,819654.00,439765.00,357244.00,9876.00,12769.00,3311617.00,2547372.00,227641.00,146321.00,81320.00,3270.00,74490.00,255939.00,123716.00,2302.00,108625.00,0.00,20144.00,1152.00,202905.00
1997:Q3,3380561.00,2507785.00,2223155.00,13104.00,10170.00,261356.00,872776.00,474470.00,375336.00,10170.00,12800.00,3380561.00,2608369.00,225587.00,141792.00,83795.00,2757.00,76885.00,263672.00,123443.00,2823.00,117151.00,0.00,19050.00,1205.00,203291.00
1997:Q4,3442235.00,2550576.00,2262683.00,13078.00,10387.00,264428.00,891659.00,489844.00,377056.00,10387.00,14372.00,3442235.00,2621264.00,250089.00,164374.00,85715.00,3395.00,78361.00,274702.00,129471.00,2420.00,113384.00,6409.00,22677.00,341.00,214424.00
1998:Q1,3537647.00,2610591.00,2314280.00,12301.00,10660.00,273350.00,927056.00,513425.00,388521.00,10660.00,14450.00,3537647.00,2650953.00,300429.00,205028.00,95401.00,2985.00,84756.00,278940.00,137042.00,1653.00,111507.00,3984.00,23968.00,786.00,219584.00
1998:Q2,3541336.00,2625406.00,2321441.00,14613.00,10909.00,278443.00,915931.00,511162.00,377441.00,10909.00,16419.00,3541336.00,2641693.00,307586.00,202999.00,104587.00,3230.00,85820.00,287012.00,145409.00,1621.00,109061.00,5255.00,24586.00,1080.00,215995.00
1998:Q3,3578015.00,2657676.00,2355657.00,9692.00,11215.00,281112.00,920339.00,516102.00,376022.00,11215.00,17000.00,3578015.00,2649883.00,316869.00,201597.00,115272.00,3550.00,87833.00,302725.00,152485.00,1717.00,122740.00,1975.00,22798.00,1010.00,217155.00
1998:Q4,3659227.00,2739875.00,2431673.00,9358.00,11357.00,287487.00,919352.00,539728.00,349791.00,11357.00,18476.00,3659227.00,2703990.00,319046.00,192588.00,126458.00,4714.00,93175.00,317301.00,159171.00,1983.00,126521.00,4718.00,24010.00,898.00,221001.00
