date,FL744090005.Q,FL744022003.Q,FL743061103.Q,FL743061703.Q,FL743062003.Q,FL743063005.Q,FL744023003.Q,FL743068005.Q,FL743065103.Q,FL743065505.Q,FL743093005.Q,FL744190005.Q,FL744110005.Q,FL743127003.Q,FL743131005.Q,FL743135005.Q,FL743193005.Q
1957:Q3,925.00,372.00,281.00,0.00,71.00,20.00,224.00,0.00,156.00,68.00,329.00,1131.00,-218.00,1143.00,0.00,0.00,206.00
1957:Q4,954.00,373.00,284.00,0.00,73.00,16.00,229.00,0.00,157.00,72.00,352.00,1164.00,-223.00,1177.00,0.00,0.00,210.00
1958:Q1,982.00,381.00,289.00,0.00,75.00,17.00,239.00,0.00,163.00,76.00,362.00,1197.00,-229.00,1211.00,0.00,0.00,215.00
1958:Q2,1012.00,393.00,296.00,0.00,77.00,20.00,252.00,0.00,172.00,80.00,367.00,1233.00,-235.00,1247.00,0.00,0.00,221.00
1958:Q3,1039.00,404.00,302.00,0.00,79.00,23.00,265.00,0.00,181.00,84.00,370.00,1264.00,-239.00,1278.00,0.00,0.00,225.00
1958:Q4,1056.00,408.00,303.00,0.00,81.00,24.00,272.00,0.00,185.00,87.00,376.00,1281.00,-240.00,1296.00,0.00,0.00,225.00
1959:Q1,920.00,327.00,233.00,0.00,70.00,24.00,230.00,0.00,156.00,74.00,363.00,1093.00,-188.00,1108.00,0.00,0.00,173.00
1959:Q2,789.00,255.00,173.00,0.00,59.00,23.00,188.00,0.00,126.00,62.00,346.00,905.00,-130.00,919.00,0.00,0.00,116.00
1959:Q3,540.00,146.00,87.00,0.00,37.00,22.00,89.00,0.00,68.00,21.00,305.00,600.00,-74.00,614.00,0.00,0.00,60.00
1959:Q4,545.00,135.00,81.00,0.00,35.00,19.00,86.00,0.00,65.00,21.00,324.00,596.00,-66.00,611.00,0.00,0.00,51.00
1960:Q1,555.00,138.00,83.00,0.00,36.00,19.00,87.00,0.00,65.00,22.00,330.00,605.00,-67.00,622.00,0.00,0.00,50.00
1960:Q2,570.00,145.00,89.00,0.00,37.00,19.00,89.00,0.00,66.00,23.00,336.00,622.00,-71.00,641.00,0.00,0.00,52.00
1960:Q3,588.00,153.00,96.00,0.00,38.00,19.00,92.00,0.00,68.00,24.00,343.00,645.00,-77.00,665.00,0.00,0.00,57.00
1960:Q4,605.00,154.00,101.00,0.00,38.00,15.00,94.00,0.00,70.00,24.00,357.00,666.00,-83.00,688.00,0.00,0.00,61.00
1961:Q1,625.00,158.00,104.00,0.00,39.00,15.00,99.00,0.00,73.00,26.00,368.00,692.00,-91.00,716.00,0.00,0.00,67.00
1961:Q2,648.00,160.00,106.00,0.00,40.00,14.00,104.00,0.00,76.00,28.00,384.00,724.00,-101.00,749.00,0.00,0.00,76.00
1961:Q3,672.00,161.00,107.00,0.00,41.00,13.00,111.00,0.00,81.00,30.00,400.00,757.00,-111.00,783.00,0.00,0.00,85.00
1961:Q4,696.00,157.00,107.00,0.00,41.00,9.00,121.00,0.00,88.00,33.00,418.00,789.00,-119.00,815.00,0.00,0.00,93.00
1962:Q1,721.00,159.00,109.00,0.00,41.00,9.00,136.00,0.00,98.00,38.00,426.00,817.00,-124.00,845.00,0.00,0.00,96.00
1962:Q2,746.00,161.00,111.00,0.00,41.00,9.00,155.00,0.00,111.00,44.00,430.00,843.00,-127.00,873.00,0.00,0.00,97.00
1962:Q3,774.00,164.00,114.00,0.00,41.00,9.00,174.00,0.00,124.00,50.00,436.00,872.00,-129.00,903.00,0.00,0.00,98.00
1962:Q4,807.00,168.00,119.00,0.00,40.00,9.00,189.00,0.00,135.00,54.00,450.00,907.00,-131.00,938.00,0.00,0.00,100.00
1963:Q1,844.00,182.00,127.00,0.00,44.00,11.00,201.00,0.00,145.00,56.00,461.00,945.00,-134.00,978.00,0.00,0.00,101.00
1963:Q2,887.00,205.00,139.00,0.00,51.00,15.00,210.00,0.00,154.00,56.00,472.00,989.00,-136.00,1023.00,0.00,0.00,102.00
1963:Q3,931.00,226.00,150.00,0.00,58.00,18.00,218.00,0.00,162.00,56.00,487.00,1035.00,-138.00,1069.00,0.00,0.00,104.00
1963:Q4,969.00,235.00,155.00,0.00,61.00,19.00,231.00,0.00,171.00,60.00,503.00,1076.00,-141.00,1110.00,0.00,0.00,107.00
1964:Q1,1006.00,234.00,155.00,0.00,62.00,17.00,246.00,0.00,181.00,65.00,526.00,1111.00,-144.00,1150.00,0.00,0.00,105.00
1964:Q2,1042.00,225.00,151.00,0.00,62.00,12.00,264.00,0.00,192.00,72.00,553.00,1144.00,-147.00,1189.00,0.00,0.00,102.00
1964:Q3,1076.00,215.00,146.00,0.00,62.00,7.00,283.00,0.00,204.00,79.00,578.00,1180.00,-150.00,1226.00,0.00,0.00,104.00
1964:Q4,1106.00,204.00,142.00,0.00,61.00,1.00,301.00,0.00,217.00,84.00,601.00,1208.00,-151.00,1257.00,0.00,0.00,102.00
1965:Q1,1129.00,205.00,141.00,0.00,63.00,1.00,319.00,0.00,233.00,86.00,605.00,1228.00,-151.00,1280.00,0.00,0.00,99.00
1965:Q2,1144.00,209.00,141.00,0.00,65.00,3.00,338.00,0.00,252.00,86.00,597.00,1237.00,-148.00,1292.00,0.00,0.00,93.00
1965:Q3,1162.00,215.00,141.00,0.00,68.00,6.00,357.00,0.00,271.00,86.00,590.00,1251.00,-146.00,1308.00,0.00,0.00,89.00
1965:Q4,1200.00,222.00,141.00,0.00,73.00,8.00,374.00,0.00,286.00,88.00,604.00,1283.00,-144.00,1344.00,0.00,0.00,83.00
1966:Q1,1250.00,237.00,145.00,0.00,80.00,12.00,390.00,0.00,297.00,93.00,623.00,1337.00,-149.00,1399.00,0.00,0.00,87.00
1966:Q2,1314.00,258.00,151.00,0.00,90.00,17.00,404.00,0.00,304.00,100.00,652.00,1410.00,-158.00,1472.00,0.00,0.00,96.00
1966:Q3,1382.00,280.00,158.00,0.00,100.00,22.00,418.00,0.00,310.00,108.00,684.00,1487.00,-168.00,1550.00,0.00,0.00,105.00
1966:Q4,1444.00,295.00,163.00,0.00,107.00,25.00,433.00,0.00,319.00,114.00,716.00,1555.00,-176.00,1620.00,0.00,0.00,111.00
1967:Q1,1506.00,317.00,172.00,0.00,112.00,33.00,448.00,0.00,333.00,115.00,741.00,1627.00,-187.00,1693.00,0.00,0.00,121.00
1967:Q2,1571.00,339.00,183.00,0.00,115.00,41.00,464.00,0.00,351.00,113.00,768.00,1704.00,-200.00,1771.00,0.00,0.00,133.00
1967:Q3,1633.00,361.00,194.00,0.00,117.00,50.00,480.00,0.00,369.00,111.00,792.00,1780.00,-214.00,1847.00,0.00,0.00,147.00
1967:Q4,1688.00,382.00,204.00,0.00,118.00,60.00,494.00,0.00,382.00,112.00,812.00,1847.00,-226.00,1914.00,0.00,0.00,159.00
1968:Q1,1738.00,395.00,210.00,0.00,120.00,65.00,499.00,0.00,393.00,106.00,844.00,1903.00,-231.00,1969.00,0.00,0.00,165.00
1968:Q2,1753.00,403.00,213.00,0.00,122.00,68.00,505.00,0.00,401.00,104.00,845.00,1925.00,-237.00,1990.00,0.00,0.00,172.00
1968:Q3,1793.00,410.00,216.00,0.00,124.00,70.00,511.00,0.00,408.00,103.00,872.00,1971.00,-243.00,2036.00,0.00,0.00,178.00
1968:Q4,1917.00,444.00,220.00,0.00,153.00,71.00,517.00,0.00,417.00,100.00,956.00,2100.00,-249.00,2166.00,0.00,0.00,183.00
1969:Q1,2145.00,459.00,226.00,0.00,161.00,72.00,548.00,0.00,425.00,123.00,1138.00,2307.00,-257.00,2191.00,106.00,106.00,162.00
1969:Q2,2504.00,473.00,232.00,0.00,169.00,72.00,593.00,0.00,433.00,160.00,1438.00,2635.00,-266.00,2231.00,270.00,270.00,131.00
1969:Q3,2840.00,488.00,239.00,0.00,177.00,72.00,642.00,0.00,441.00,201.00,1710.00,2977.00,-275.00,2271.00,422.00,422.00,137.00
1969:Q4,2997.00,506.00,248.00,0.00,184.00,74.00,685.00,0.00,449.00,236.00,1806.00,3140.00,-284.00,2297.00,492.00,492.00,143.00
1970:Q1,3151.00,517.00,255.00,0.00,190.00,72.00,715.00,0.00,521.00,194.00,1919.00,3311.00,-305.00,2419.00,519.00,519.00,160.00
1970:Q2,3244.00,522.00,261.00,0.00,193.00,68.00,738.00,0.00,536.00,202.00,1984.00,3429.00,-334.00,2505.00,537.00,537.00,185.00
1970:Q3,3311.00,530.00,268.00,0.00,198.00,64.00,759.00,0.00,551.00,208.00,2022.00,3521.00,-364.00,2572.00,552.00,552.00,210.00
1970:Q4,3388.00,543.00,277.00,0.00,207.00,59.00,783.00,0.00,569.00,214.00,2062.00,3617.00,-387.00,2642.00,567.00,567.00,229.00
1971:Q1,3324.00,629.00,307.00,0.00,263.00,59.00,809.00,0.00,590.00,219.00,1886.00,3565.00,-408.00,2612.00,560.00,560.00,241.00
1971:Q2,3253.00,667.00,332.00,0.00,276.00,59.00,863.00,0.00,664.00,199.00,1723.00,3521.00,-443.00,2587.00,555.00,555.00,268.00
1971:Q3,3558.00,712.00,401.00,0.00,251.00,60.00,890.00,0.00,670.00,220.00,1956.00,3880.00,-507.00,2845.00,610.00,610.00,322.00
1971:Q4,3770.00,722.00,438.00,0.00,224.00,60.00,915.00,0.00,676.00,239.00,2133.00,4088.00,-514.00,2999.00,643.00,643.00,318.00
1972:Q1,3613.00,738.00,399.00,0.00,278.00,61.00,917.00,0.00,680.00,237.00,1958.00,3971.00,-561.00,2922.00,626.00,626.00,358.00
1972:Q2,3444.00,735.00,368.00,0.00,305.00,62.00,894.00,0.00,695.00,199.00,1815.00,3856.00,-623.00,2847.00,610.00,610.00,412.00
1972:Q3,3732.00,872.00,508.00,0.00,301.00,63.00,971.00,0.00,700.00,271.00,1889.00,4191.00,-676.00,3086.00,661.00,661.00,459.00
1972:Q4,4067.00,1000.00,643.00,0.00,293.00,64.00,924.00,0.00,698.00,226.00,2143.00,4527.00,-683.00,3325.00,713.00,713.00,460.00
1973:Q1,4104.00,923.00,558.00,0.00,296.00,69.00,920.00,0.00,656.00,264.00,2261.00,4567.00,-688.00,3354.00,719.00,719.00,463.00
1973:Q2,3972.00,846.00,473.00,0.00,299.00,74.00,915.00,0.00,615.00,300.00,2211.00,4438.00,-694.00,3266.00,700.00,700.00,466.00
1973:Q3,4143.00,921.00,521.00,0.00,326.00,74.00,975.00,0.00,663.00,312.00,2247.00,4733.00,-832.00,3482.00,747.00,747.00,590.00
1973:Q4,4254.00,997.00,570.00,0.00,353.00,74.00,1036.00,0.00,712.00,324.00,2221.00,4968.00,-969.00,3656.00,784.00,784.00,714.00
1974:Q1,4332.00,963.00,445.00,0.00,443.00,75.00,1092.00,0.00,695.00,397.00,2277.00,4926.00,-850.00,3627.00,778.00,778.00,594.00
1974:Q2,4408.00,1030.00,421.00,0.00,534.00,75.00,1148.00,0.00,677.00,471.00,2230.00,4880.00,-730.00,3597.00,771.00,771.00,472.00
1974:Q3,4545.00,1075.00,400.00,0.00,600.00,75.00,1382.00,0.00,765.00,617.00,2088.00,4963.00,-675.00,3654.00,783.00,783.00,418.00
1974:Q4,4503.00,986.00,346.00,0.00,565.00,75.00,1512.00,0.00,766.00,746.00,2005.00,5035.00,-787.00,3703.00,794.00,794.00,532.00
1975:Q1,4745.00,1037.00,375.00,0.00,590.00,72.00,1537.00,0.00,730.00,807.00,2171.00,5280.00,-795.00,3878.00,831.00,831.00,535.00
1975:Q2,4991.00,1072.00,395.00,0.00,602.00,75.00,1567.00,0.00,745.00,822.00,2352.00,5527.00,-803.00,4056.00,869.00,869.00,536.00
1975:Q3,5219.00,1126.00,408.00,0.00,640.00,78.00,1627.00,0.00,753.00,874.00,2466.00,5820.00,-850.00,4248.00,911.00,911.00,601.00
1975:Q4,5451.00,1175.00,417.00,0.00,677.00,81.00,1688.00,0.00,760.00,928.00,2588.00,6118.00,-899.00,4445.00,953.00,953.00,667.00
1976:Q1,5450.00,1295.00,375.00,0.00,820.00,100.00,1712.00,0.00,810.00,902.00,2443.00,6155.00,-875.00,4427.00,949.00,949.00,705.00
1976:Q2,5430.00,1375.00,346.00,0.00,902.00,127.00,1734.00,0.00,859.00,875.00,2321.00,6176.00,-864.00,4406.00,944.00,944.00,746.00
1976:Q3,5710.00,1548.00,410.00,0.00,1000.00,138.00,1730.00,0.00,875.00,855.00,2432.00,6394.00,-800.00,4557.00,977.00,977.00,684.00
1976:Q4,5985.00,1765.00,494.00,0.00,1121.00,150.00,1727.00,0.00,889.00,838.00,2493.00,6614.00,-744.00,4710.00,1010.00,1010.00,629.00
1977:Q1,6064.00,1810.00,550.00,0.00,1060.00,200.00,1729.00,0.00,925.00,804.00,2525.00,6871.00,-900.00,4698.00,1133.00,1133.00,807.00
1977:Q2,6111.00,1884.00,621.00,0.00,1002.00,261.00,1731.00,0.00,961.00,770.00,2496.00,7129.00,-1093.00,4638.00,1283.00,1283.00,1018.00
1977:Q3,6211.00,1940.00,660.00,0.00,1020.00,260.00,1770.00,0.00,910.00,860.00,2501.00,7258.00,-1172.00,4572.00,1406.00,1406.00,1047.00
1977:Q4,6310.00,1998.00,702.00,0.00,1039.00,257.00,1807.00,0.00,877.00,930.00,2505.00,7367.00,-1252.00,4537.00,1513.00,1513.00,1057.00
1978:Q1,6600.00,2116.00,700.00,0.00,1139.00,277.00,1700.00,0.00,930.00,770.00,2784.00,7735.00,-1332.00,4518.00,1707.00,1707.00,1135.00
1978:Q2,7001.00,2229.00,700.00,0.00,1231.00,298.00,1590.00,0.00,996.00,594.00,3182.00,8216.00,-1414.00,4488.00,1964.00,1964.00,1215.00
1978:Q3,7326.00,2328.00,665.00,0.00,1295.00,368.00,1604.00,0.00,1010.00,594.00,3394.00,8600.00,-1489.00,4496.00,2160.00,2160.00,1274.00
1978:Q4,7605.00,2427.00,629.00,0.00,1359.00,439.00,1619.00,0.00,1025.00,594.00,3559.00,8951.00,-1578.00,4591.00,2296.00,2296.00,1346.00
1979:Q1,7827.00,2243.00,600.00,0.00,1200.00,443.00,1635.00,0.00,1040.00,595.00,3949.00,9261.00,-1673.00,4794.00,2353.00,2353.00,1434.00
1979:Q2,8062.00,2096.00,563.00,0.00,1084.00,449.00,1655.00,0.00,1055.00,600.00,4311.00,9571.00,-1755.00,5121.00,2348.00,2348.00,1509.00
1979:Q3,8460.00,2218.00,618.00,0.00,1100.00,500.00,1676.00,0.00,1070.00,606.00,4566.00,10296.00,-2090.00,5451.00,2550.00,2550.00,1836.00
1979:Q4,8884.00,2335.00,672.00,0.00,1115.00,548.00,1700.00,0.00,1085.00,615.00,4849.00,11063.00,-2441.00,5662.00,2832.00,2832.00,2179.00
1980:Q1,9385.00,2421.00,693.00,0.00,1082.00,646.00,1721.00,66.00,1105.00,550.00,5243.00,11646.00,-2531.00,5770.00,2923.00,2923.00,2562.00
1980:Q2,10088.00,2593.00,722.00,0.00,1070.00,801.00,1863.00,163.00,1125.00,575.00,5632.00,12430.00,-2621.00,5791.00,2972.00,2972.00,3317.00
1980:Q3,10833.00,2744.00,750.00,0.00,1053.00,941.00,2030.00,279.00,1145.00,606.00,6059.00,13256.00,-2711.00,5783.00,3042.00,3042.00,4100.00
1980:Q4,11575.00,2766.00,770.00,0.00,1000.00,996.00,2200.00,400.00,1165.00,635.00,6609.00,14080.00,-2800.00,5800.00,3200.00,3200.00,4680.00
1981:Q1,12527.00,2666.00,786.00,0.00,920.00,960.00,2450.00,539.00,1185.00,726.00,7411.00,14976.00,-2754.00,5832.00,3462.00,3462.00,4975.00
1981:Q2,13560.00,2449.00,803.00,0.00,807.00,839.00,2730.00,656.00,1205.00,869.00,8381.00,16020.00,-2775.00,5864.00,3841.00,3841.00,5249.00
1981:Q3,14448.00,2200.00,811.00,0.00,692.00,697.00,3070.00,845.00,1225.00,1000.00,9178.00,16955.00,-2833.00,5895.00,4211.00,4211.00,5471.00
1981:Q4,14962.00,2000.00,800.00,0.00,600.00,600.00,3500.00,1200.00,1245.00,1055.00,9462.00,17526.00,-2900.00,5923.00,4442.00,4442.00,5619.00
1982:Q1,15009.00,1920.00,819.00,0.00,569.00,532.00,4047.00,1739.00,1213.00,1095.00,9042.00,17661.00,-2999.00,5964.00,4539.00,4539.00,5619.00
1982:Q2,14495.00,1897.00,841.00,0.00,576.00,480.00,4738.00,2485.00,1150.00,1103.00,7860.00,17282.00,-3145.00,6033.00,4499.00,4499.00,5396.00
1982:Q3,14024.00,1901.00,869.00,0.00,595.00,437.00,5435.00,3262.00,1080.00,1093.00,6688.00,16949.00,-3294.00,6070.00,4449.00,4449.00,5275.00
1982:Q4,14198.00,1900.00,900.00,0.00,600.00,400.00,6000.00,3900.00,1025.00,1075.00,6298.00,17217.00,-3400.00,6014.00,4511.00,4511.00,5581.00
1983:Q1,14678.00,1910.00,946.00,0.00,601.00,363.00,6454.00,4426.00,1010.00,1018.00,6314.00,17754.00,-3470.00,5858.00,4686.00,4686.00,5995.00
1983:Q2,15913.00,1940.00,1008.00,0.00,602.00,330.00,6818.00,4884.00,1020.00,914.00,7155.00,19008.00,-3503.00,5593.00,4967.00,4967.00,6985.00
1983:Q3,17083.00,1976.00,1067.00,0.00,603.00,306.00,7147.00,5298.00,1035.00,814.00,7960.00,20198.00,-3536.00,5311.00,5246.00,5246.00,7932.00
1983:Q4,17477.00,2000.00,1100.00,0.00,600.00,300.00,7500.00,5700.00,1060.00,740.00,7977.00,20642.00,-3600.00,5100.00,5414.00,5414.00,8314.00
1984:Q1,17601.00,2017.00,1115.00,0.00,601.00,301.00,7847.00,6057.00,1085.00,705.00,7737.00,20850.00,-3699.00,4940.00,5481.00,5481.00,8648.00
1984:Q2,16970.00,2021.00,1108.00,0.00,602.00,311.00,8159.00,6346.00,1125.00,688.00,6790.00,20330.00,-3825.00,4800.00,5452.00,5452.00,8451.00
1984:Q3,16249.00,2036.00,1098.00,0.00,603.00,335.00,8494.00,6643.00,1150.00,701.00,5719.00,19727.00,-3958.00,4697.00,5407.00,5407.00,8175.00
1984:Q4,16204.00,2083.00,1100.00,0.00,603.00,380.00,8907.00,7026.00,1185.00,696.00,5214.00,19783.00,-4075.00,4646.00,5420.00,5420.00,8372.00
1985:Q1,16364.00,2169.00,1117.00,0.00,619.00,433.00,9429.00,7513.00,1221.00,695.00,4766.00,20046.00,-4194.00,4659.00,5478.00,5478.00,8625.00
1985:Q2,17059.00,2287.00,1138.00,0.00,617.00,532.00,10086.00,8127.00,1239.00,720.00,4686.00,20855.00,-4325.00,4738.00,5564.00,5564.00,9315.00
1985:Q3,17806.00,2421.00,1167.00,0.00,609.00,645.00,10710.00,8707.00,1251.00,752.00,4675.00,21698.00,-4438.00,4845.00,5664.00,5664.00,9964.00
1985:Q4,18126.00,2554.00,1209.00,0.00,603.00,742.00,11129.00,9091.00,1265.00,773.00,4443.00,22063.00,-4500.00,4940.00,5765.00,5765.00,10094.00
1986:Q1,18079.00,2706.00,1308.00,0.00,603.00,795.00,11362.00,9292.00,1275.00,795.00,4011.00,22013.00,-4529.00,5042.00,5884.00,5884.00,9732.00
1986:Q2,17715.00,2891.00,1457.00,0.00,603.00,831.00,11424.00,9329.00,1285.00,810.00,3400.00,21629.00,-4533.00,5169.00,6036.00,6036.00,8922.00
1986:Q3,17277.00,3062.00,1603.00,0.00,603.00,856.00,11418.00,9296.00,1295.00,827.00,2797.00,21132.00,-4498.00,5286.00,6174.00,6174.00,7997.00
1986:Q4,16996.00,3173.00,1694.00,0.00,603.00,876.00,11443.00,9290.00,1320.00,833.00,2380.00,20735.00,-4406.00,5359.00,6253.00,6253.00,7277.00
1987:Q1,16789.00,3227.00,1724.00,0.00,603.00,900.00,11472.00,9281.00,1343.00,848.00,2090.00,20375.00,-4248.00,5386.00,6267.00,6267.00,6704.00
1987:Q2,16573.00,3222.00,1692.00,0.00,601.00,929.00,11464.00,9238.00,1378.00,848.00,1887.00,19923.00,-4002.00,5365.00,6211.00,6211.00,6138.00
1987:Q3,16448.00,3203.00,1664.00,0.00,601.00,938.00,11460.00,9185.00,1416.00,859.00,1785.00,19556.00,-3751.00,5339.00,6152.00,6152.00,5665.00
1987:Q4,16517.00,3207.00,1705.00,0.00,603.00,899.00,11495.00,9148.00,1462.00,885.00,1815.00,19450.00,-3571.00,5350.00,6153.00,6153.00,5365.00
1988:Q1,16841.00,3152.00,1522.00,289.00,614.00,727.00,11668.00,9213.00,1512.00,943.00,2021.00,19596.00,-3405.00,5394.00,6190.00,6190.00,5227.00
1988:Q2,17399.00,3039.00,1646.00,324.00,633.00,436.00,11930.00,9339.00,1562.00,1029.00,2430.00,19993.00,-3257.00,5460.00,6255.00,6255.00,5280.00
1988:Q3,18050.00,2949.00,1785.00,366.00,651.00,147.00,12218.00,9474.00,1612.00,1132.00,2883.00,20494.00,-3123.00,5540.00,6341.00,6341.00,5396.00
1988:Q4,18653.00,3009.00,1898.00,423.00,658.00,30.00,12467.00,9564.00,1662.00,1241.00,3177.00,20952.00,-2997.00,5628.00,6439.00,6439.00,5444.00
