1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q2,1199.00,969.00,12108.00,516.00,0.00,0.00,8896.00,0.00,1160.00,1252.00,2456.00,4028.00,96.00,472.00,0.00,1228.00,900.00,0.00,11396.00,0.00,820.00,0.00,-96.00,260.00,10412.00,0.00,10412.00,-482.00
1976:Q3,1541.00,1007.00,17352.00,496.00,0.00,0.00,13184.00,0.00,3340.00,536.00,4836.00,4472.00,-4.00,1408.00,0.00,1308.00,960.00,0.00,12276.00,0.00,872.00,0.00,132.00,260.00,11012.00,0.00,11012.00,-4543.00
1976:Q4,2723.00,1043.00,17228.00,684.00,0.00,0.00,12620.00,0.00,2860.00,-648.00,8880.00,1528.00,116.00,1504.00,0.00,1276.00,1028.00,0.00,12124.00,0.00,1044.00,0.00,52.00,260.00,10768.00,0.00,10768.00,-3425.00
1977:Q1,4724.00,1031.00,19992.00,-580.00,0.00,0.00,17232.00,0.00,4744.00,1808.00,12448.00,-1768.00,216.00,768.00,0.00,1260.00,1096.00,0.00,13232.00,0.00,1244.00,0.00,96.00,112.00,11780.00,0.00,11780.00,-3067.00
1977:Q2,5570.00,1063.00,20780.00,520.00,0.00,0.00,16824.00,0.00,-3412.00,60.00,6872.00,13304.00,164.00,828.00,0.00,1268.00,1176.00,0.00,14164.00,0.00,1472.00,0.00,120.00,112.00,12460.00,0.00,12460.00,-2109.00
1977:Q3,6058.00,1087.00,22140.00,-268.00,0.00,0.00,18344.00,0.00,4548.00,-404.00,10872.00,3328.00,108.00,1396.00,0.00,1304.00,1256.00,0.00,14636.00,0.00,1464.00,0.00,128.00,112.00,12932.00,0.00,12932.00,-2533.00
1977:Q4,6317.00,1123.00,22900.00,1420.00,0.00,0.00,17120.00,0.00,3960.00,644.00,12652.00,-136.00,-44.00,1700.00,0.00,1360.00,1344.00,0.00,14660.00,0.00,1220.00,0.00,128.00,112.00,13200.00,0.00,13200.00,-3046.00
1978:Q1,6472.00,1255.00,18844.00,-2020.00,0.00,0.00,17340.00,0.00,-24.00,-96.00,14720.00,2740.00,-36.00,1436.00,0.00,1416.00,708.00,0.00,14984.00,0.00,1000.00,0.00,132.00,292.00,13560.00,0.00,13560.00,1357.00
1978:Q2,5936.00,1374.00,17336.00,572.00,0.00,0.00,12804.00,0.00,-2128.00,652.00,13604.00,676.00,-40.00,1800.00,0.00,1468.00,732.00,0.00,15268.00,0.00,800.00,0.00,148.00,292.00,14028.00,0.00,14028.00,2494.00
1978:Q3,5564.00,1461.00,23984.00,1592.00,0.00,0.00,18312.00,0.00,2692.00,-848.00,14644.00,1824.00,4.00,1808.00,0.00,1508.00,760.00,0.00,15468.00,0.00,748.00,0.00,132.00,292.00,14296.00,0.00,14296.00,-4413.00
1978:Q4,5650.00,1551.00,24408.00,1532.00,0.00,0.00,17572.00,0.00,2220.00,2296.00,11196.00,1860.00,100.00,2892.00,0.00,1528.00,784.00,0.00,15564.00,0.00,832.00,0.00,84.00,284.00,14364.00,0.00,14364.00,-4745.00
1979:Q1,5843.00,1857.00,20104.00,-1908.00,0.00,0.00,15252.00,0.00,1784.00,948.00,11340.00,1180.00,228.00,3920.00,0.00,1804.00,808.00,0.00,16152.00,0.00,872.00,0.00,44.00,760.00,14476.00,0.00,14476.00,34.00
1979:Q2,5579.00,1923.00,16004.00,1312.00,0.00,0.00,8212.00,0.00,-620.00,924.00,5804.00,2104.00,-80.00,3728.00,0.00,1992.00,840.00,0.00,16272.00,0.00,864.00,0.00,16.00,760.00,14632.00,0.00,14632.00,3924.00
1979:Q3,5780.00,2037.00,20972.00,512.00,0.00,0.00,15308.00,0.00,-188.00,1276.00,11344.00,2876.00,120.00,2132.00,0.00,2032.00,868.00,0.00,16460.00,0.00,904.00,0.00,-16.00,760.00,14812.00,0.00,14812.00,-769.00
1979:Q4,5437.00,2114.00,21568.00,1084.00,0.00,0.00,13928.00,0.00,-116.00,1188.00,11032.00,1824.00,768.00,2980.00,0.00,1912.00,896.00,0.00,16712.00,0.00,992.00,0.00,-60.00,760.00,15020.00,0.00,15020.00,-1533.00
1980:Q1,5893.00,2120.00,16756.00,1012.00,0.00,0.00,10288.00,0.00,1972.00,-248.00,10168.00,-1604.00,496.00,2072.00,0.00,1960.00,928.00,0.00,16824.00,0.00,1080.00,0.00,108.00,316.00,15320.00,0.00,15320.00,3841.00
1980:Q2,5605.00,2103.00,13680.00,-316.00,0.00,0.00,5916.00,0.00,-3988.00,-292.00,6908.00,3288.00,188.00,4932.00,0.00,2000.00,960.00,0.00,15112.00,0.00,1180.00,0.00,188.00,392.00,13352.00,0.00,13352.00,4934.00
1980:Q3,4782.00,2174.00,15968.00,-164.00,0.00,0.00,10700.00,0.00,3684.00,-244.00,7528.00,-268.00,176.00,2268.00,0.00,1996.00,992.00,0.00,14616.00,0.00,1204.00,0.00,184.00,344.00,12884.00,0.00,12884.00,1256.00
1980:Q4,3530.00,2279.00,17668.00,-152.00,0.00,0.00,11192.00,0.00,4664.00,1612.00,6284.00,-1368.00,516.00,3104.00,0.00,1980.00,1028.00,0.00,14408.00,0.00,1152.00,0.00,96.00,536.00,12624.00,0.00,12624.00,-2010.00
1981:Q1,5885.00,2394.00,17296.00,116.00,0.00,0.00,10796.00,0.00,3820.00,472.00,4296.00,2208.00,244.00,2624.00,0.00,2456.00,1060.00,0.00,13576.00,0.00,1016.00,0.00,8.00,204.00,12348.00,0.00,12348.00,-229.00
1981:Q2,3943.00,2510.00,12320.00,112.00,16.00,0.00,6220.00,20.00,-976.00,836.00,4368.00,1972.00,368.00,1744.00,0.00,2760.00,1100.00,0.00,13016.00,0.00,784.00,0.00,-76.00,368.00,11940.00,0.00,11940.00,2129.00
1981:Q3,3639.00,2627.00,15872.00,68.00,56.00,0.00,9828.00,80.00,2620.00,1168.00,4652.00,1308.00,408.00,1564.00,0.00,2816.00,1132.00,0.00,12712.00,0.00,992.00,0.00,-84.00,632.00,11172.00,0.00,11172.00,-2148.00
1981:Q4,3326.00,2787.00,15840.00,-56.00,68.00,0.00,9616.00,100.00,280.00,740.00,2592.00,5904.00,388.00,2084.00,0.00,2564.00,1176.00,0.00,13008.00,0.00,1632.00,0.00,-28.00,692.00,10712.00,0.00,10712.00,-2294.00
1982:Q1,2834.00,2920.00,13576.00,484.00,144.00,0.00,5976.00,208.00,696.00,1264.00,3056.00,752.00,260.00,2724.00,0.00,2228.00,1760.00,0.00,11032.00,0.00,2364.00,0.00,48.00,-144.00,8764.00,0.00,8764.00,-2631.00
1982:Q2,1672.00,2872.00,12328.00,-36.00,404.00,0.00,6180.00,576.00,-680.00,1456.00,4792.00,36.00,168.00,2800.00,0.00,2128.00,684.00,0.00,11828.00,0.00,3172.00,0.00,108.00,-68.00,8616.00,0.00,8616.00,-1700.00
1982:Q3,3209.00,2795.00,13864.00,-104.00,824.00,0.00,7316.00,1176.00,2520.00,1628.00,2812.00,-820.00,212.00,2728.00,0.00,2076.00,812.00,0.00,11848.00,0.00,3220.00,0.00,108.00,-188.00,8708.00,0.00,8708.00,-1603.00
1982:Q4,3604.00,2745.00,18108.00,-200.00,4196.00,0.00,9808.00,5992.00,2348.00,1784.00,1520.00,-1836.00,396.00,2492.00,0.00,2068.00,-652.00,0.00,21240.00,0.00,2516.00,0.00,52.00,1432.00,17240.00,0.00,17240.00,3991.00
1983:Q1,2006.00,2905.00,15348.00,-324.00,2192.00,0.00,7964.00,3136.00,5428.00,1980.00,704.00,-3284.00,596.00,2604.00,0.00,2044.00,272.00,0.00,11892.00,0.00,1844.00,0.00,0.00,168.00,9880.00,0.00,9880.00,-4356.00
1983:Q2,1342.00,2930.00,12192.00,-500.00,2516.00,0.00,2844.00,3592.00,2848.00,2224.00,-624.00,-5196.00,820.00,3016.00,0.00,2004.00,1492.00,0.00,9772.00,0.00,1204.00,0.00,-48.00,112.00,8504.00,0.00,8504.00,-4008.00
1983:Q3,1422.00,3065.00,17000.00,-480.00,3884.00,0.00,7316.00,5552.00,5568.00,2308.00,-964.00,-5148.00,824.00,2308.00,0.00,1988.00,1160.00,0.00,14872.00,0.00,1192.00,0.00,-56.00,1280.00,12456.00,0.00,12456.00,-3771.00
1983:Q4,815.00,3240.00,18316.00,-284.00,4904.00,0.00,10756.00,7004.00,5004.00,2228.00,-320.00,-3160.00,604.00,472.00,0.00,1952.00,-88.00,0.00,20132.00,0.00,1804.00,0.00,-40.00,328.00,18040.00,0.00,18040.00,-609.00
1984:Q1,-372.00,3434.00,13616.00,308.00,1940.00,0.00,10292.00,2772.00,5004.00,3064.00,-2344.00,1796.00,412.00,-1812.00,0.00,2528.00,-52.00,0.00,16948.00,0.00,3164.00,0.00,0.00,-320.00,14104.00,0.00,14104.00,-474.00
1984:Q2,-784.00,3619.00,16288.00,744.00,2832.00,0.00,15244.00,4044.00,5220.00,3144.00,-2212.00,5048.00,304.00,-6460.00,0.00,2928.00,696.00,0.00,17508.00,0.00,3060.00,0.00,8.00,28.00,14412.00,0.00,14412.00,-3183.00
1984:Q3,-3769.00,3759.00,15664.00,668.00,684.00,0.00,16440.00,976.00,8496.00,3540.00,-1680.00,5108.00,360.00,-6148.00,0.00,2872.00,788.00,0.00,17764.00,0.00,4088.00,0.00,24.00,-664.00,14316.00,0.00,14316.00,-5428.00
1984:Q4,-3832.00,3870.00,15256.00,240.00,420.00,0.00,13928.00,600.00,7228.00,2988.00,-1464.00,4576.00,336.00,-2920.00,0.00,2716.00,536.00,0.00,21872.00,0.00,5464.00,0.00,48.00,-72.00,16432.00,0.00,16432.00,-1086.00
1985:Q1,-4679.00,4706.00,17436.00,1256.00,1336.00,0.00,15984.00,1908.00,2520.00,5776.00,804.00,4976.00,820.00,-2800.00,0.00,2576.00,-1736.00,0.00,16568.00,0.00,-688.00,0.00,68.00,-268.00,17456.00,0.00,17456.00,-10253.00
1985:Q2,-2311.00,4772.00,27104.00,1720.00,1108.00,0.00,22228.00,1584.00,476.00,8320.00,2320.00,9528.00,712.00,-2112.00,0.00,2436.00,1012.00,0.00,38096.00,0.00,2008.00,0.00,80.00,-320.00,36328.00,0.00,36328.00,3909.00
1985:Q3,-4651.00,4720.00,42440.00,1460.00,2164.00,0.00,36388.00,3092.00,11296.00,7428.00,6612.00,7960.00,600.00,-1608.00,0.00,2024.00,1412.00,0.00,53964.00,0.00,2852.00,0.00,108.00,1144.00,49860.00,0.00,49860.00,2153.00
1985:Q4,-4518.00,4822.00,39524.00,340.00,3376.00,0.00,35968.00,4824.00,8724.00,9648.00,4288.00,8484.00,568.00,-1300.00,0.00,1724.00,-1152.00,0.00,47032.00,0.00,1716.00,0.00,152.00,660.00,44504.00,0.00,44504.00,-1832.00
1986:Q1,-2993.00,5088.00,44352.00,1368.00,76.00,0.00,36232.00,108.00,12688.00,1912.00,9936.00,11588.00,1136.00,-1000.00,0.00,5068.00,1472.00,0.00,43360.00,0.00,5812.00,0.00,184.00,-364.00,37728.00,0.00,37728.00,-9073.00
1986:Q2,250.00,4924.00,43380.00,1592.00,-200.00,0.00,36040.00,-288.00,10176.00,-1096.00,12612.00,14636.00,880.00,-756.00,0.00,4368.00,1456.00,0.00,42292.00,0.00,2316.00,0.00,208.00,88.00,39680.00,0.00,39680.00,-5762.00
1986:Q3,2886.00,4868.00,50752.00,1428.00,-96.00,0.00,40868.00,-132.00,13492.00,-2068.00,15028.00,14548.00,928.00,-168.00,0.00,5824.00,1968.00,0.00,47848.00,0.00,1012.00,0.00,260.00,160.00,46416.00,0.00,46416.00,-4886.00
1986:Q4,6689.00,4942.00,47832.00,880.00,396.00,0.00,42420.00,564.00,14380.00,-1032.00,17180.00,11328.00,1092.00,748.00,0.00,4228.00,-1932.00,0.00,47216.00,0.00,-152.00,0.00,336.00,2028.00,45004.00,0.00,45004.00,1131.00
1987:Q1,8779.00,4956.00,50704.00,328.00,172.00,0.00,40596.00,244.00,10144.00,76.00,20816.00,9316.00,384.00,1856.00,0.00,4140.00,3228.00,0.00,40828.00,0.00,-1668.00,0.00,416.00,-280.00,42360.00,0.00,42360.00,-6053.00
1987:Q2,5434.00,5067.00,49788.00,-220.00,164.00,0.00,40796.00,236.00,8064.00,48.00,25936.00,6512.00,1224.00,3116.00,0.00,2980.00,1728.00,0.00,44028.00,0.00,-2048.00,0.00,500.00,2108.00,43468.00,0.00,43468.00,-5393.00
1987:Q3,2590.00,5256.00,47284.00,-376.00,304.00,0.00,39424.00,432.00,7528.00,64.00,25388.00,6012.00,472.00,3376.00,0.00,3060.00,1024.00,0.00,41576.00,0.00,-1960.00,0.00,548.00,1028.00,41960.00,0.00,41960.00,-8374.00
1987:Q4,5911.00,5346.00,45440.00,-144.00,588.00,0.00,36488.00,840.00,8528.00,124.00,19172.00,7824.00,504.00,2636.00,0.00,4176.00,1192.00,0.00,37500.00,0.00,-2148.00,0.00,560.00,1252.00,37836.00,0.00,37836.00,-7375.00
1988:Q1,5618.00,5359.00,47812.00,-164.00,960.00,0.00,33460.00,1376.00,8920.00,72.00,13988.00,9104.00,580.00,3096.00,0.00,5944.00,3936.00,0.00,32340.00,0.00,-2188.00,0.00,316.00,660.00,33552.00,0.00,33552.00,-15213.00
1988:Q2,5731.00,5533.00,44508.00,-268.00,1428.00,0.00,30344.00,2040.00,8832.00,-20.00,9844.00,9648.00,520.00,2896.00,0.00,7724.00,1864.00,0.00,28000.00,0.00,-2008.00,0.00,316.00,576.00,29116.00,0.00,29116.00,-16310.00
1988:Q3,5553.00,5597.00,44472.00,-176.00,1388.00,0.00,29156.00,1980.00,9388.00,148.00,7224.00,10416.00,548.00,3544.00,0.00,7712.00,2300.00,0.00,26820.00,0.00,-2172.00,0.00,316.00,764.00,27912.00,0.00,27912.00,-17697.00
1988:Q4,8149.00,5719.00,45208.00,92.00,840.00,0.00,29900.00,1196.00,10580.00,592.00,6124.00,11408.00,672.00,5036.00,0.00,5856.00,2812.00,0.00,30892.00,0.00,-2188.00,0.00,316.00,2832.00,29932.00,0.00,29932.00,-11886.00
1989:Q1,9762.00,6622.00,43836.00,392.00,272.00,0.00,28580.00,388.00,10452.00,2196.00,2764.00,12780.00,820.00,7524.00,0.00,4116.00,2132.00,0.00,30536.00,0.00,-1648.00,0.00,-688.00,1144.00,31728.00,0.00,31728.00,-10160.00
1989:Q2,8764.00,6753.00,45484.00,692.00,-312.00,0.00,28620.00,-444.00,11320.00,3084.00,92.00,14568.00,992.00,10992.00,0.00,2728.00,1772.00,0.00,32460.00,0.00,-1608.00,0.00,-688.00,1448.00,33308.00,0.00,33308.00,-11013.00
1989:Q3,-9750.00,7024.00,43776.00,764.00,-316.00,0.00,28312.00,-452.00,11196.00,3804.00,-776.00,14540.00,972.00,9668.00,0.00,2120.00,2256.00,0.00,33100.00,0.00,-1644.00,0.00,-688.00,2888.00,32544.00,0.00,32544.00,-27450.00
1989:Q4,3392.00,7044.00,36076.00,612.00,248.00,0.00,28208.00,360.00,10060.00,4356.00,744.00,12688.00,760.00,3548.00,0.00,2300.00,400.00,0.00,30756.00,0.00,-1460.00,0.00,-684.00,3464.00,29436.00,0.00,29436.00,-8972.00
1990:Q1,5473.00,7676.00,32888.00,600.00,932.00,0.00,28456.00,1328.00,8744.00,4892.00,1768.00,11724.00,620.00,-2660.00,0.00,2236.00,2704.00,0.00,24260.00,0.00,-4112.00,0.00,652.00,1216.00,26504.00,0.00,26504.00,-10831.00
1990:Q2,2249.00,7657.00,22888.00,736.00,1712.00,0.00,27692.00,2448.00,7080.00,5340.00,2272.00,10552.00,548.00,-8960.00,0.00,1928.00,-768.00,0.00,22668.00,0.00,-2644.00,0.00,648.00,908.00,23756.00,0.00,23756.00,-5628.00
1990:Q3,1318.00,7705.00,24204.00,520.00,1496.00,0.00,28056.00,2136.00,7492.00,6160.00,2424.00,9844.00,388.00,-10100.00,0.00,1808.00,2036.00,0.00,18684.00,0.00,-5792.00,0.00,652.00,1200.00,22624.00,0.00,22624.00,-11907.00
1990:Q4,570.00,7649.00,27180.00,-52.00,276.00,0.00,29512.00,392.00,9964.00,7344.00,2216.00,9596.00,144.00,-6096.00,0.00,1876.00,1520.00,0.00,27592.00,0.00,-2664.00,0.00,652.00,6500.00,23104.00,0.00,23104.00,-6667.00
1991:Q1,1736.00,7517.00,28296.00,-716.00,-840.00,0.00,30084.00,-1200.00,19528.00,9004.00,-7408.00,10160.00,-104.00,-3040.00,0.00,1984.00,928.00,0.00,22536.00,0.00,-2580.00,0.00,664.00,9328.00,15124.00,0.00,15124.00,-11541.00
1991:Q2,2217.00,7479.00,27884.00,-1480.00,-2212.00,0.00,30552.00,-3160.00,27860.00,11764.00,-14244.00,8332.00,-372.00,-980.00,0.00,2224.00,152.00,0.00,8248.00,0.00,-2552.00,0.00,664.00,808.00,9328.00,0.00,9328.00,-24898.00
1991:Q3,4300.00,7373.00,24992.00,-1508.00,-2104.00,0.00,28508.00,-3004.00,27500.00,11076.00,-13572.00,6508.00,-504.00,-160.00,0.00,1984.00,-1224.00,0.00,9688.00,0.00,-2516.00,0.00,664.00,2392.00,9148.00,0.00,9148.00,-18378.00
1991:Q4,632.00,7351.00,21596.00,-812.00,-524.00,0.00,23896.00,-748.00,18436.00,6936.00,-5408.00,4680.00,-516.00,-604.00,0.00,1264.00,-1108.00,0.00,13988.00,0.00,-2576.00,0.00,664.00,1316.00,14584.00,0.00,14584.00,-14327.00
1992:Q1,11754.00,8558.00,23432.00,-144.00,1048.00,0.00,21328.00,1496.00,14720.00,2580.00,1748.00,784.00,-492.00,-720.00,0.00,432.00,1980.00,0.00,18388.00,0.00,-48.00,0.00,-1700.00,408.00,19728.00,0.00,19728.00,-1848.00
1992:Q2,8856.00,8806.00,18852.00,444.00,2600.00,0.00,16244.00,3716.00,8384.00,-1192.00,7856.00,-2520.00,-484.00,-572.00,0.00,-500.00,1120.00,0.00,22088.00,0.00,-1524.00,0.00,-1704.00,724.00,24592.00,0.00,24592.00,3286.00
1992:Q3,-97817.00,8988.00,-12644.00,540.00,2744.00,0.00,708.00,3916.00,-8716.00,-2232.00,10600.00,-2860.00,-616.00,-324.00,0.00,-528.00,-15168.00,0.00,21108.00,0.00,-1932.00,0.00,-1700.00,-244.00,24984.00,0.00,24984.00,-73053.00
1992:Q4,2937.00,9257.00,12868.00,128.00,1468.00,0.00,10732.00,2100.00,-576.00,-528.00,9980.00,-244.00,-896.00,0.00,0.00,348.00,1088.00,0.00,19932.00,0.00,-388.00,0.00,-1700.00,1116.00,20904.00,0.00,20904.00,744.00
1993:Q1,-1050.00,7776.00,28696.00,-204.00,332.00,0.00,25056.00,476.00,11148.00,856.00,10496.00,2080.00,-1204.00,432.00,0.00,1148.00,3136.00,0.00,22992.00,0.00,2684.00,0.00,2120.00,1020.00,17168.00,0.00,17168.00,-14530.00
1993:Q2,6508.00,7924.00,34332.00,-480.00,-668.00,0.00,32200.00,-960.00,15360.00,1456.00,12136.00,4208.00,-1584.00,916.00,0.00,1852.00,2096.00,0.00,27180.00,0.00,11092.00,0.00,2124.00,192.00,13772.00,0.00,13772.00,-8568.00
1993:Q3,2770.00,8028.00,36140.00,-520.00,-800.00,0.00,33576.00,-1140.00,16164.00,1560.00,12620.00,4372.00,-1600.00,1028.00,0.00,2004.00,2452.00,0.00,16552.00,0.00,332.00,0.00,2124.00,616.00,13480.00,0.00,13480.00,-24846.00
1993:Q4,3588.00,8316.00,33288.00,-344.00,-56.00,0.00,29176.00,-80.00,13572.00,1164.00,11948.00,2572.00,-1280.00,772.00,0.00,1608.00,3412.00,0.00,19460.00,0.00,208.00,0.00,2124.00,844.00,16284.00,0.00,16284.00,-18556.00
1994:Q1,-69539.00,9743.00,19632.00,-176.00,-980.00,0.00,20876.00,-1400.00,8968.00,1624.00,4504.00,7180.00,-676.00,800.00,340.00,2240.00,-2792.00,0.00,12756.00,0.00,-3140.00,0.00,-416.00,2076.00,14236.00,0.00,14236.00,-86158.00
1994:Q2,10474.00,9964.00,24024.00,-176.00,-700.00,0.00,21892.00,-1000.00,9088.00,1624.00,5000.00,7180.00,-676.00,804.00,336.00,2236.00,308.00,0.00,11952.00,0.00,-3000.00,0.00,-416.00,1368.00,14000.00,0.00,14000.00,-11562.00
1994:Q3,8050.00,10118.00,28116.00,-176.00,-700.00,0.00,24892.00,-1000.00,9088.00,1624.00,8000.00,7180.00,-680.00,804.00,336.00,2240.00,1400.00,0.00,12716.00,0.00,-2840.00,0.00,-412.00,1968.00,14000.00,0.00,14000.00,-17468.00
1994:Q4,11293.00,10456.00,39256.00,-176.00,-812.00,0.00,29812.00,-1160.00,9040.00,1624.00,13128.00,7180.00,-676.00,804.00,336.00,2236.00,7732.00,0.00,12148.00,0.00,-5204.00,0.00,-416.00,1816.00,15952.00,0.00,15952.00,-26272.00
1995:Q1,11863.00,10516.00,40244.00,-160.00,2840.00,0.00,27308.00,4056.00,1368.00,2416.00,6472.00,12996.00,-980.00,4328.00,252.00,4368.00,2288.00,0.00,34280.00,0.00,-3012.00,0.00,708.00,536.00,36048.00,0.00,36048.00,-4617.00
1995:Q2,11583.00,10665.00,32136.00,-164.00,2840.00,0.00,27372.00,4060.00,1992.00,2168.00,6800.00,12352.00,-976.00,-1452.00,252.00,4368.00,-104.00,0.00,39516.00,0.00,-2284.00,0.00,708.00,5532.00,35560.00,0.00,35560.00,8298.00
1995:Q3,11442.00,10790.00,36492.00,-160.00,2840.00,0.00,28468.00,4056.00,1796.00,2076.00,7800.00,12740.00,-1024.00,-2252.00,252.00,4364.00,4004.00,0.00,-9204.00,0.00,-2104.00,0.00,712.00,1384.00,-9196.00,0.00,-9196.00,-45044.00
1995:Q4,-1824.00,11036.00,40052.00,-164.00,2840.00,0.00,28752.00,4056.00,1548.00,2508.00,7944.00,12696.00,-936.00,-4128.00,248.00,4368.00,9072.00,0.00,20532.00,0.00,-1380.00,0.00,708.00,400.00,20804.00,0.00,20804.00,-32380.00
1996:Q1,10727.00,8031.00,15704.00,-160.00,2840.00,0.00,23660.00,4060.00,1704.00,448.00,7872.00,9576.00,-980.00,-16472.00,272.00,4368.00,2176.00,0.00,3788.00,0.00,-11856.00,0.00,640.00,4200.00,10804.00,0.00,10804.00,-9221.00
1996:Q2,9184.00,8232.00,11852.00,-4220.00,-8060.00,0.00,15576.00,-11516.00,-22356.00,-2192.00,15980.00,35660.00,-16.00,1432.00,268.00,4336.00,2536.00,0.00,8644.00,0.00,-924.00,0.00,644.00,3136.00,5788.00,0.00,5788.00,-2256.00
1996:Q3,9225.00,8499.00,34344.00,1332.00,4196.00,0.00,22056.00,5992.00,-13580.00,1428.00,4992.00,23224.00,-112.00,2732.00,268.00,540.00,3332.00,0.00,20628.00,0.00,-2668.00,0.00,644.00,1812.00,20840.00,0.00,20840.00,-12991.00
1996:Q4,9905.00,8777.00,2552.00,-604.00,-1908.00,0.00,24776.00,-2720.00,-17352.00,11660.00,28476.00,4712.00,-580.00,-15968.00,268.00,-9668.00,6236.00,0.00,-588.00,0.00,-3840.00,0.00,644.00,13792.00,-11184.00,0.00,-11184.00,-2012.00
1997:Q1,8861.00,8665.00,42400.00,1180.00,3724.00,0.00,10632.00,5320.00,-112.00,-1308.00,-5404.00,12136.00,344.00,2716.00,436.00,16336.00,7032.00,0.00,-9732.00,0.00,-20692.00,0.00,472.00,804.00,9684.00,0.00,9684.00,-51936.00
1997:Q2,9529.00,8874.00,30900.00,-684.00,-2164.00,0.00,24360.00,-3096.00,1796.00,2140.00,3956.00,19564.00,-440.00,660.00,432.00,2180.00,6556.00,0.00,2096.00,0.00,-7324.00,0.00,472.00,3524.00,5424.00,0.00,5424.00,-28149.00
1997:Q3,8744.00,9318.00,46780.00,424.00,1336.00,0.00,34880.00,1908.00,3944.00,2640.00,5272.00,21116.00,-16.00,2744.00,432.00,156.00,6824.00,0.00,26828.00,0.00,-7748.00,0.00,472.00,12068.00,22036.00,0.00,22036.00,-20526.00
1997:Q4,10432.00,9439.00,28320.00,268.00,-3188.00,0.00,30908.00,-4556.00,2716.00,3192.00,6700.00,22856.00,-544.00,4224.00,432.00,-7740.00,3960.00,0.00,-29352.00,0.00,-19232.00,0.00,472.00,7356.00,-17948.00,0.00,-17948.00,-56679.00
1998:Q1,8682.00,11249.00,29972.00,-2104.00,1352.00,0.00,25996.00,1936.00,-16236.00,3044.00,19968.00,17284.00,-108.00,-4728.00,332.00,10744.00,-1512.00,0.00,24068.00,0.00,6940.00,0.00,-1084.00,2300.00,15912.00,0.00,15912.00,-8471.00
1998:Q2,9185.00,11587.00,2244.00,-460.00,1288.00,0.00,1100.00,1840.00,-20640.00,-376.00,10704.00,9572.00,-172.00,-11512.00,332.00,3112.00,8556.00,0.00,-1620.00,0.00,-6640.00,0.00,-1084.00,1532.00,4572.00,0.00,4572.00,-6266.00
1998:Q3,9483.00,11795.00,27948.00,828.00,7040.00,0.00,6372.00,10056.00,-18944.00,-1124.00,8580.00,7804.00,-1028.00,6916.00,328.00,2592.00,4900.00,0.00,4808.00,0.00,-8968.00,0.00,-1088.00,1360.00,13504.00,0.00,13504.00,-25452.00
1998:Q4,11367.00,12195.00,5996.00,852.00,732.00,0.00,10328.00,1048.00,-22772.00,-6152.00,26604.00,11600.00,204.00,-12088.00,328.00,-9988.00,15628.00,0.00,-28188.00,0.00,-10224.00,0.00,-1084.00,64.00,-16944.00,0.00,-16944.00,-35012.00
1999:Q1,14061.00,12774.00,1648.00,-3180.00,388.00,0.00,-17528.00,552.00,-12344.00,4036.00,-15500.00,5728.00,-184.00,3208.00,60.00,8608.00,10276.00,0.00,-924.00,0.00,-6756.00,0.00,52.00,3908.00,1872.00,0.00,1872.00,-1285.00
1999:Q2,15010.00,13291.00,-5252.00,1768.00,-14364.00,0.00,1156.00,-20520.00,-12604.00,10544.00,2500.00,21236.00,116.00,-5112.00,60.00,7068.00,4056.00,0.00,18260.00,0.00,-9016.00,0.00,52.00,15436.00,11788.00,0.00,11788.00,25231.00
1999:Q3,6597.00,13758.00,744.00,-2064.00,2660.00,0.00,-8504.00,3800.00,-10624.00,4644.00,-13540.00,7216.00,208.00,-5360.00,60.00,2684.00,11060.00,0.00,34144.00,0.00,-7056.00,0.00,52.00,25064.00,16084.00,0.00,16084.00,26239.00
1999:Q4,12389.00,13921.00,-35892.00,4436.00,-8852.00,0.00,-24344.00,-12644.00,-12052.00,4232.00,-9864.00,5984.00,-272.00,388.00,60.00,-10280.00,2972.00,0.00,-27092.00,0.00,-8288.00,0.00,48.00,816.00,-19668.00,0.00,-19668.00,7268.00
2000:Q1,7555.00,14201.00,13952.00,-4492.00,9140.00,0.00,3244.00,13052.00,-5332.00,7892.00,-17024.00,4656.00,2512.00,-9760.00,428.00,9960.00,2920.00,0.00,-4568.00,0.00,-13144.00,0.00,56.00,4704.00,3816.00,0.00,3816.00,-25167.00
2000:Q2,3582.00,14732.00,-15500.00,-1696.00,668.00,0.00,-14088.00,960.00,-9040.00,7508.00,-17468.00,3952.00,-2804.00,-12224.00,428.00,4492.00,9724.00,0.00,19784.00,0.00,-1512.00,0.00,56.00,6924.00,14316.00,0.00,14316.00,24134.00
2000:Q3,1566.00,14929.00,4044.00,1408.00,700.00,0.00,8144.00,996.00,-6552.00,10928.00,-9124.00,11896.00,-688.00,-16820.00,432.00,6108.00,4760.00,0.00,15768.00,0.00,-964.00,0.00,56.00,9272.00,7404.00,0.00,7404.00,-1639.00
2000:Q4,782.00,15123.00,25012.00,2448.00,3492.00,0.00,-5036.00,4992.00,-7288.00,7948.00,-15864.00,5176.00,-168.00,39968.00,432.00,-16492.00,368.00,0.00,-24684.00,0.00,-2376.00,0.00,56.00,6416.00,-28780.00,0.00,-28780.00,-64037.00
