1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,-210.00,133.00,804.00,-160.00,0.00,0.00,680.00,0.00,8.00,0.00,636.00,36.00,0.00,120.00,0.00,156.00,8.00,0.00,728.00,0.00,56.00,0.00,-168.00,4.00,836.00,0.00,836.00,-419.00
1957:Q1,-221.00,123.00,392.00,-108.00,0.00,0.00,212.00,0.00,-508.00,0.00,628.00,92.00,0.00,124.00,0.00,156.00,8.00,0.00,1036.00,0.00,60.00,0.00,28.00,4.00,944.00,0.00,944.00,300.00
1957:Q2,-179.00,123.00,628.00,-44.00,0.00,0.00,368.00,0.00,-428.00,0.00,640.00,156.00,0.00,132.00,0.00,160.00,12.00,0.00,1252.00,0.00,52.00,0.00,132.00,4.00,1064.00,0.00,1064.00,322.00
1957:Q3,-155.00,126.00,1260.00,28.00,0.00,0.00,932.00,0.00,56.00,0.00,660.00,216.00,0.00,128.00,0.00,160.00,12.00,0.00,1236.00,0.00,60.00,0.00,96.00,4.00,1076.00,0.00,1076.00,-305.00
1957:Q4,-111.00,124.00,1496.00,92.00,0.00,0.00,1112.00,0.00,172.00,0.00,684.00,256.00,0.00,116.00,0.00,164.00,12.00,0.00,1156.00,0.00,92.00,0.00,76.00,4.00,984.00,0.00,984.00,-575.00
1958:Q1,82.00,108.00,372.00,104.00,0.00,0.00,-24.00,0.00,-928.00,0.00,676.00,228.00,0.00,124.00,0.00,156.00,12.00,0.00,672.00,0.00,124.00,0.00,-344.00,4.00,888.00,0.00,888.00,274.00
1958:Q2,76.00,104.00,848.00,92.00,0.00,0.00,492.00,0.00,-352.00,0.00,668.00,176.00,0.00,108.00,0.00,148.00,8.00,0.00,1180.00,0.00,156.00,0.00,232.00,0.00,792.00,0.00,792.00,304.00
1958:Q3,92.00,103.00,1560.00,64.00,0.00,0.00,1212.00,0.00,420.00,0.00,676.00,116.00,0.00,128.00,0.00,144.00,12.00,0.00,1100.00,0.00,164.00,0.00,128.00,0.00,808.00,0.00,808.00,-471.00
1958:Q4,115.00,107.00,1812.00,32.00,0.00,0.00,1456.00,0.00,696.00,0.00,704.00,56.00,-4.00,176.00,0.00,144.00,8.00,0.00,1328.00,0.00,148.00,0.00,244.00,0.00,936.00,0.00,936.00,-476.00
1959:Q1,280.00,144.00,952.00,12.00,0.00,0.00,544.00,0.00,-316.00,0.00,816.00,44.00,0.00,224.00,0.00,160.00,12.00,0.00,964.00,0.00,144.00,0.00,-248.00,0.00,1068.00,0.00,1068.00,148.00
1959:Q2,323.00,150.00,1436.00,0.00,0.00,0.00,980.00,0.00,-16.00,0.00,948.00,48.00,-8.00,276.00,0.00,176.00,12.00,0.00,1328.00,0.00,144.00,0.00,-24.00,4.00,1204.00,0.00,1204.00,65.00
1959:Q3,369.00,156.00,2076.00,-12.00,0.00,0.00,1604.00,0.00,480.00,0.00,1060.00,64.00,-12.00,292.00,0.00,192.00,12.00,0.00,1468.00,0.00,136.00,0.00,116.00,4.00,1212.00,0.00,1212.00,-396.00
1959:Q4,400.00,159.00,2248.00,-32.00,0.00,0.00,1824.00,0.00,600.00,0.00,1136.00,88.00,-36.00,276.00,0.00,204.00,12.00,0.00,1284.00,0.00,116.00,0.00,72.00,4.00,1092.00,0.00,1092.00,-723.00
1960:Q1,401.00,141.00,1668.00,-12.00,0.00,0.00,1216.00,0.00,-376.00,456.00,1044.00,92.00,-4.00,264.00,0.00,192.00,12.00,0.00,976.00,0.00,84.00,0.00,-108.00,4.00,996.00,0.00,996.00,-433.00
1960:Q2,420.00,146.00,1360.00,-4.00,0.00,0.00,924.00,0.00,-380.00,304.00,908.00,92.00,0.00,264.00,0.00,168.00,8.00,0.00,948.00,0.00,44.00,0.00,-28.00,8.00,924.00,0.00,924.00,-139.00
1960:Q3,416.00,144.00,1180.00,0.00,0.00,0.00,756.00,0.00,8.00,-108.00,768.00,88.00,8.00,264.00,0.00,140.00,12.00,0.00,1000.00,0.00,56.00,0.00,52.00,8.00,884.00,0.00,884.00,92.00
1960:Q4,423.00,142.00,1064.00,-4.00,0.00,0.00,672.00,0.00,28.00,-92.00,660.00,76.00,8.00,264.00,0.00,108.00,16.00,0.00,1080.00,0.00,132.00,0.00,60.00,8.00,880.00,0.00,880.00,297.00
