date,FU883140005.Q,FU313140003.Q,FU543140005.Q,FU883140005.Q,FU153040005.Q,FU763040005.Q,FU733040005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800.00,1165.00,2635.00,3800.00,3800.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150.00,605.00,2545.00,3150.00,3150.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843.00,213.00,2630.00,2843.00,2843.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751.00,84.00,2667.00,2751.00,2751.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945.00,309.00,2636.00,2945.00,2945.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1965:Q3,1274.00,35.00,1239.00,1274.00,1274.00,0.00,0.00
1965:Q4,1220.00,34.00,1186.00,1220.00,1220.00,0.00,0.00
1966:Q1,1174.00,29.00,1145.00,1174.00,1174.00,0.00,0.00
1966:Q2,1142.00,28.00,1114.00,1142.00,1142.00,0.00,0.00
1966:Q3,1157.00,26.00,1131.00,1157.00,1157.00,0.00,0.00
1966:Q4,1221.00,24.00,1197.00,1221.00,1221.00,0.00,0.00
1967:Q1,1265.00,24.00,1241.00,1265.00,1265.00,0.00,0.00
1967:Q2,1237.00,24.00,1213.00,1237.00,1237.00,0.00,0.00
1967:Q3,1242.00,20.00,1222.00,1242.00,1242.00,0.00,0.00
1967:Q4,1221.00,12.00,1209.00,1221.00,1221.00,0.00,0.00
1968:Q1,1202.00,2.00,1200.00,1202.00,1202.00,0.00,0.00
1968:Q2,1184.00,-8.00,1192.00,1184.00,1184.00,0.00,0.00
1968:Q3,1189.00,-8.00,1197.00,1189.00,1189.00,0.00,0.00
1968:Q4,1214.00,0.00,1214.00,1214.00,1214.00,0.00,0.00
1969:Q1,1237.00,11.00,1226.00,1237.00,1237.00,0.00,0.00
1969:Q2,1253.00,20.00,1233.00,1253.00,1253.00,0.00,0.00
1969:Q3,1269.00,22.00,1247.00,1269.00,1269.00,0.00,0.00
1969:Q4,1279.00,13.00,1266.00,1279.00,1279.00,0.00,0.00
1970:Q1,1341.00,69.00,1272.00,1341.00,1341.00,0.00,0.00
1970:Q2,1276.00,12.00,1264.00,1276.00,1276.00,0.00,0.00
1970:Q3,1316.00,11.00,1305.00,1316.00,1316.00,0.00,0.00
1970:Q4,1408.00,14.00,1394.00,1408.00,1408.00,0.00,0.00
1971:Q1,1499.00,17.00,1482.00,1499.00,1499.00,0.00,0.00
1971:Q2,1584.00,18.00,1566.00,1584.00,1584.00,0.00,0.00
1971:Q3,1631.00,19.00,1612.00,1631.00,1631.00,0.00,0.00
1971:Q4,1638.00,17.00,1621.00,1638.00,1638.00,0.00,0.00
1972:Q1,1669.00,30.00,1639.00,1669.00,1669.00,0.00,0.00
1972:Q2,1706.00,39.00,1667.00,1706.00,1706.00,0.00,0.00
1972:Q3,1736.00,42.00,1694.00,1736.00,1736.00,0.00,0.00
1972:Q4,1764.00,41.00,1723.00,1764.00,1764.00,0.00,0.00
1973:Q1,1804.00,43.00,1761.00,1804.00,1804.00,0.00,0.00
1973:Q2,1855.00,47.00,1808.00,1855.00,1855.00,0.00,0.00
1973:Q3,1863.00,46.00,1817.00,1863.00,1863.00,0.00,0.00
1973:Q4,1826.00,39.00,1787.00,1826.00,1826.00,0.00,0.00
1974:Q1,1783.00,33.00,1750.00,1783.00,1783.00,0.00,0.00
1974:Q2,1732.00,27.00,1705.00,1732.00,1732.00,0.00,0.00
1974:Q3,1755.00,26.00,1729.00,1755.00,1755.00,0.00,0.00
1974:Q4,1851.00,29.00,1822.00,1851.00,1851.00,0.00,0.00
1975:Q1,3047.00,1144.00,1903.00,3047.00,3047.00,0.00,0.00
1975:Q2,2350.00,379.00,1971.00,2350.00,2350.00,0.00,0.00
1975:Q3,2059.00,39.00,2020.00,2059.00,2059.00,0.00,0.00
1975:Q4,2771.00,719.00,2052.00,2771.00,2771.00,0.00,0.00
1976:Q1,1989.00,-99.00,2088.00,1989.00,1989.00,0.00,0.00
1976:Q2,2460.00,334.00,2126.00,2460.00,2460.00,0.00,0.00
1976:Q3,2222.00,53.00,2169.00,2222.00,2222.00,0.00,0.00
1976:Q4,2527.00,311.00,2216.00,2527.00,2527.00,0.00,0.00
1977:Q1,2300.00,52.00,2248.00,2300.00,2300.00,0.00,0.00
1977:Q2,2433.00,167.00,2266.00,2433.00,2433.00,0.00,0.00
1977:Q3,2436.00,99.00,2337.00,2436.00,2436.00,0.00,0.00
1977:Q4,2815.00,353.00,2462.00,2815.00,2815.00,0.00,0.00
1978:Q1,2656.00,53.00,2603.00,2656.00,2656.00,0.00,0.00
1978:Q2,3069.00,306.00,2763.00,3069.00,3069.00,0.00,0.00
1978:Q3,2865.00,67.00,2798.00,2865.00,2865.00,0.00,0.00
1978:Q4,2971.00,264.00,2707.00,2971.00,2971.00,0.00,0.00
1979:Q1,2633.00,-18.00,2651.00,2633.00,2633.00,0.00,0.00
1979:Q2,2895.00,263.00,2632.00,2895.00,2895.00,0.00,0.00
1979:Q3,2597.00,2.00,2595.00,2597.00,2597.00,0.00,0.00
1979:Q4,2811.00,271.00,2540.00,2811.00,2811.00,0.00,0.00
1980:Q1,2459.00,-32.00,2491.00,2459.00,2459.00,0.00,0.00
1980:Q2,2690.00,244.00,2446.00,2690.00,2690.00,0.00,0.00
1980:Q3,2418.00,18.00,2400.00,2418.00,2418.00,0.00,0.00
1980:Q4,2687.00,335.00,2352.00,2687.00,2687.00,0.00,0.00
1981:Q1,2293.00,-32.00,2325.00,2293.00,2293.00,0.00,0.00
1981:Q2,2651.00,334.00,2317.00,2651.00,2651.00,0.00,0.00
1981:Q3,2208.00,-24.00,2232.00,2208.00,2208.00,0.00,0.00
1981:Q4,2430.00,360.00,2070.00,2430.00,2430.00,0.00,0.00
1982:Q1,1919.00,35.00,1884.00,1919.00,1919.00,0.00,0.00
