1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,9.00,0.00,8.00,ND,ND,1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,0.00,53.00,-6.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,-45.00,0.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-6.00,0.00,-6.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.00,0.00,0.00,144.00,-60.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,-114.00,0.00,0.00,0.00
1952:Q1,224.00,0.00,224.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,424.00,0.00,80.00,103.00,152.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,83.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,-200.00,0.00,0.00,0.00
1952:Q2,-197.00,0.00,-197.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,87.00,100.00,-148.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,3.00,0.00,0.00,-11.00,0.00,0.00,0.00,0.00,0.00,0.00,-229.00,0.00,0.00,0.00
1952:Q3,385.00,0.00,386.00,ND,ND,-1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1017.00,0.00,512.00,100.00,408.00,ND,ND,-1.00,ND,ND,0.00,ND,ND,0.00,0.00,4.00,0.00,0.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,-632.00,0.00,0.00,0.00
1952:Q4,-378.00,0.00,-378.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-651.00,0.00,-432.00,164.00,-394.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,3.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,273.00,0.00,0.00,0.00
1953:Q1,577.00,0.00,577.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,411.00,0.00,9.00,-64.00,463.00,ND,ND,-1.00,ND,ND,0.00,ND,ND,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,166.00,0.00,0.00,0.00
1953:Q2,-579.00,0.00,-579.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-718.00,0.00,-256.00,0.00,-455.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,2.00,0.00,0.00,-9.00,0.00,0.00,0.00,0.00,0.00,0.00,139.00,0.00,0.00,0.00
1953:Q3,189.00,0.00,189.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1002.00,0.00,815.00,0.00,188.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-813.00,0.00,0.00,0.00
1953:Q4,-196.00,0.00,-196.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-839.00,0.00,-640.00,-2.00,-217.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,1.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,643.00,0.00,0.00,0.00
1954:Q1,37.00,0.00,37.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-484.00,0.00,-391.00,-198.00,107.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,2.00,0.00,0.00,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,521.00,0.00,0.00,0.00
1954:Q2,-49.00,0.00,-49.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,216.00,-100.00,-111.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,2.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,-51.00,0.00,0.00,0.00
1954:Q3,303.00,0.00,302.00,ND,ND,1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1046.00,0.00,1006.00,-200.00,234.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,2.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,-743.00,0.00,0.00,0.00
1954:Q4,-311.00,0.00,-311.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1091.00,0.00,-834.00,-56.00,-210.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,3.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,780.00,0.00,0.00,0.00
1955:Q1,653.00,0.00,653.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,962.00,0.00,230.00,56.00,654.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,5.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,-309.00,0.00,0.00,0.00
1955:Q2,-613.00,0.00,-613.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-839.00,0.00,-402.00,100.00,-542.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,7.00,0.00,0.00,-3.00,0.00,0.00,0.00,0.00,0.00,0.00,226.00,0.00,0.00,0.00
1955:Q3,417.00,0.00,417.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1629.00,0.00,1136.00,100.00,348.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,7.00,0.00,0.00,12.00,26.00,0.00,0.00,0.00,0.00,0.00,-1212.00,0.00,0.00,0.00
1955:Q4,-434.00,0.00,-434.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-608.00,0.00,-415.00,98.00,-300.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,7.00,0.00,0.00,-12.00,14.00,0.00,0.00,0.00,0.00,0.00,174.00,0.00,0.00,0.00
1956:Q1,789.00,0.00,789.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,441.00,0.00,-158.00,-98.00,646.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,8.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,348.00,0.00,0.00,0.00
1956:Q2,-735.00,0.00,-736.00,ND,ND,1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1165.00,0.00,-563.00,0.00,-574.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,10.00,0.00,0.00,-36.00,-3.00,0.00,0.00,0.00,0.00,0.00,430.00,0.00,0.00,0.00
1956:Q3,693.00,0.00,693.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2360.00,0.00,1878.00,0.00,468.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,8.00,0.00,0.00,21.00,-15.00,0.00,0.00,0.00,0.00,0.00,-1667.00,0.00,0.00,0.00
1956:Q4,-747.00,0.00,-747.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1093.00,0.00,-586.00,40.00,-540.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,8.00,0.00,0.00,-12.00,-4.00,0.00,0.00,0.00,0.00,0.00,346.00,0.00,0.00,0.00
1957:Q1,892.00,0.00,891.00,ND,ND,1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,526.00,0.00,-174.00,60.00,621.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,6.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,366.00,0.00,0.00,0.00
1957:Q2,-278.00,0.00,-279.00,ND,ND,1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1277.00,0.00,-1118.00,0.00,-166.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,5.00,0.00,0.00,5.00,-3.00,0.00,0.00,0.00,0.00,0.00,999.00,0.00,0.00,0.00
1957:Q3,37.00,0.00,36.00,ND,ND,1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2196.00,0.00,2242.00,0.00,-45.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,5.00,0.00,0.00,-7.00,1.00,0.00,0.00,0.00,0.00,0.00,-2159.00,0.00,0.00,0.00
1957:Q4,-665.00,0.00,-666.00,ND,ND,1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-612.00,0.00,-422.00,142.00,-343.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,4.00,0.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,-53.00,0.00,0.00,0.00
1958:Q1,567.00,0.00,567.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,449.00,0.00,-62.00,-132.00,614.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,5.00,0.00,0.00,30.00,-6.00,0.00,0.00,0.00,0.00,0.00,118.00,0.00,0.00,0.00
1958:Q2,1.00,0.00,0.00,ND,ND,1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1889.00,0.00,-1758.00,-100.00,-62.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,3.00,0.00,0.00,30.00,-2.00,0.00,0.00,0.00,0.00,0.00,1890.00,0.00,0.00,0.00
