1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q1,24432747.00,9902542.00,7092888.00,2135867.00,7277921.00,4906340.00,4912016.00,2340267.00,11787563.00,1184512.00
2004:Q2,25007721.00,10198474.00,7346576.00,2154712.00,7331040.00,4899681.00,5081330.00,2396877.00,12042442.00,1179070.00
2004:Q3,25519694.00,10445392.00,7588422.00,2187446.00,7454476.00,4961068.00,5173475.00,2446351.00,12284234.00,1223302.00
2004:Q4,26115649.00,10812837.00,7859078.00,2220119.00,7568710.00,5012461.00,5250883.00,2483219.00,12644118.00,1285201.00
2005:Q1,26644802.00,11043558.00,8065305.00,2248511.00,7712675.00,5076910.00,5352908.00,2535661.00,12889502.00,1304194.00
2005:Q2,27241082.00,11363102.00,8342462.00,2276583.00,7850478.00,5129202.00,5446929.00,2580572.00,13194745.00,1331591.00
2005:Q3,27783448.00,11674591.00,8628944.00,2300822.00,7984139.00,5175365.00,5502074.00,2622644.00,13279136.00,1356077.00
2005:Q4,28364072.00,11957910.00,8912714.00,2320555.00,8171301.00,5273267.00,5584775.00,2650086.00,13706769.00,1350547.00
2006:Q1,29077700.00,12352646.00,9206227.00,2385808.00,8382753.00,5381624.00,5690834.00,2651466.00,14065353.00,1374002.00
2006:Q2,29739580.00,12704439.00,9513277.00,2395813.00,8577462.00,5470986.00,5769608.00,2688071.00,14457672.00,1451609.00
2006:Q3,30191899.00,12983137.00,9748101.00,2426814.00,8709481.00,5499740.00,5773590.00,2725690.00,14713581.00,1550474.00
2006:Q4,30797898.00,13237780.00,9910254.00,2456716.00,8989441.00,5676010.00,5803923.00,2766754.00,15095079.00,1657889.00
2007:Q1,31431290.00,13457857.00,10111968.00,2488297.00,9245471.00,5815085.00,5907940.00,2820021.00,15661244.00,1703828.00
2007:Q2,32097965.00,13763059.00,10315598.00,2522996.00,9536314.00,5992262.00,5930572.00,2868020.00,16110001.00,1819049.00
2007:Q3,32713592.00,13961778.00,10497346.00,2571129.00,9848373.00,6188963.00,6001473.00,2901968.00,16765588.00,1912616.00
2007:Q4,33277625.00,14157012.00,10613076.00,2609880.00,10112981.00,6337857.00,6074315.00,2933317.00,17277177.00,1996631.00
2008:Q1,33848756.00,14321215.00,10682620.00,2649579.00,10346041.00,6484024.00,6229902.00,2951597.00,17651377.00,2011824.00
2008:Q2,34079989.00,14252718.00,10684326.00,2665615.00,10542417.00,6594276.00,6325304.00,2959549.00,17888738.00,1936259.00
2008:Q3,34820445.00,14345070.00,10660738.00,2659134.00,10685007.00,6664721.00,6822181.00,2968187.00,18182204.00,1699926.00
2008:Q4,35081450.00,14031570.00,10595560.00,2644184.00,10704764.00,6610772.00,7376817.00,2968299.00,17995675.00,1604415.00
2009:Q1,35320570.00,13891076.00,10588750.00,2624140.00,10648465.00,6567063.00,7791835.00,2989194.00,17899830.00,1607985.00
2009:Q2,35710447.00,13875329.00,10556931.00,2592514.00,10541549.00,6491138.00,8266574.00,3026996.00,17332635.00,1748657.00
2009:Q3,35907911.00,13835164.00,10496699.00,2574614.00,10391355.00,6373286.00,8624222.00,3057170.00,16919077.00,1899151.00
2009:Q4,35952150.00,13807600.00,10453634.00,2555390.00,10164180.00,6178799.00,8882645.00,3097725.00,16545640.00,2005944.00
2010:Q1,36307481.00,13723133.00,10314151.00,2537813.00,10148704.00,6173938.00,9314558.00,3121086.00,15769911.00,2066982.00
2010:Q2,36668423.00,13693484.00,10257581.00,2520871.00,10060534.00,6093155.00,9792693.00,3121712.00,15493429.00,2055516.00
2010:Q3,37051394.00,13628491.00,10176834.00,2520131.00,10109624.00,6145351.00,10178962.00,3134317.00,15302007.00,2194428.00
2010:Q4,37283436.00,13572578.00,9970939.00,2647203.00,10010198.00,6059336.00,10528562.00,3172098.00,15331153.00,2257908.00
2011:Q1,37500026.00,13568361.00,9916615.00,2672782.00,10041218.00,6106113.00,10739838.00,3150609.00,15270700.00,2348682.00
2011:Q2,37613020.00,13493395.00,9866468.00,2695366.00,10112408.00,6194830.00,10884478.00,3122739.00,15152384.00,2476915.00
2011:Q3,38082962.00,13382708.00,9809837.00,2720459.00,10196691.00,6296846.00,11381015.00,3122548.00,15062793.00,2456760.00
2011:Q4,38443205.00,13368270.00,9755997.00,2758267.00,10281906.00,6395297.00,11667250.00,3125779.00,14916443.00,2484936.00
2012:Q1,38909018.00,13402877.00,9706918.00,2791401.00,10370833.00,6442151.00,12013310.00,3121999.00,14829366.00,2526054.00
2012:Q2,39385493.00,13423664.00,9654147.00,2836999.00,10458497.00,6484536.00,12369510.00,3133822.00,14660956.00,2555333.00
2012:Q3,39755554.00,13359778.00,9596538.00,2873262.00,10623260.00,6606752.00,12637858.00,3134657.00,14767744.00,2718482.00
2012:Q4,40195315.00,13425320.00,9549772.00,2920354.00,10801659.00,6744317.00,12847828.00,3120508.00,14705395.00,2834013.00
2013:Q1,40619041.00,13437977.00,9515676.00,2965729.00,10899754.00,6820709.00,13160986.00,3120324.00,14677955.00,2891228.00
2013:Q2,40794613.00,13446893.00,9484525.00,3003456.00,11018755.00,6911611.00,13223191.00,3105774.00,14715136.00,2825995.00
2013:Q3,41125897.00,13528078.00,9479666.00,3051935.00,11203051.00,7069073.00,13309404.00,3085364.00,14698908.00,2897832.00
2013:Q4,41632051.00,13573319.00,9466819.00,3096199.00,11288851.00,7126780.00,13705127.00,3064754.00,14895569.00,2957824.00
2014:Q1,42067618.00,13633549.00,9456672.00,3148528.00,11461283.00,7231758.00,13925460.00,3047326.00,14866896.00,3035802.00
2014:Q2,42491567.00,13788558.00,9451828.00,3208646.00,11604222.00,7304620.00,14054299.00,3044489.00,14943019.00,3209136.00
2014:Q3,43016978.00,13875248.00,9445146.00,3265270.00,11786559.00,7416069.00,14331087.00,3024084.00,15079458.00,3158717.00
2014:Q4,43392216.00,13944416.00,9461074.00,3317991.00,11977253.00,7533709.00,14441054.00,3029493.00,15194986.00,3206161.00
2015:Q1,43671341.00,13999012.00,9452301.00,3368960.00,12197546.00,7692274.00,14431571.00,3043212.00,15150210.00,3228043.00
2015:Q2,44142590.00,14126969.00,9491480.00,3435620.00,12438915.00,7851328.00,14529356.00,3047350.00,15220310.00,3195439.00
2015:Q3,44428157.00,14167018.00,9517643.00,3496646.00,12607816.00,7959698.00,14604414.00,3048908.00,15285654.00,3118273.00
2015:Q4,45272977.00,14287771.00,9547191.00,3535728.00,12779513.00,8026276.00,15165626.00,3040067.00,15241815.00,3079905.00
2016:Q1,45876034.00,14373468.00,9586999.00,3585499.00,13078353.00,8249307.00,15378611.00,3045603.00,15385165.00,3144209.00
2016:Q2,46366672.00,14521240.00,9637860.00,3643129.00,13211932.00,8308618.00,15571224.00,3062275.00,15514406.00,3161054.00
2016:Q3,47003638.00,14633803.00,9700870.00,3711281.00,13408863.00,8440965.00,15892377.00,3068595.00,15628978.00,3111557.00
