1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q4,742760.00,219861.00,141378.00,61248.00,200616.00,145592.00,250072.00,72211.00,37709.00,23185.00
1961:Q1,751561.00,224638.00,144160.00,61669.00,203006.00,146194.00,250311.00,73606.00,35794.00,23830.00
1961:Q2,761774.00,228354.00,146813.00,61540.00,206357.00,148193.00,252356.00,74707.00,37235.00,23840.00
1961:Q3,775397.00,232682.00,150112.00,62079.00,209874.00,149680.00,256548.00,76293.00,38072.00,24531.00
1961:Q4,788596.00,237901.00,154027.00,63435.00,214704.00,152987.00,258176.00,77815.00,40940.00,25426.00
1962:Q1,801650.00,243416.00,157045.00,64323.00,217937.00,154534.00,260736.00,79561.00,39917.00,26336.00
1962:Q2,814466.00,247809.00,160432.00,66340.00,223073.00,157690.00,262629.00,80955.00,41317.00,26815.00
1962:Q3,826115.00,254279.00,164276.00,67648.00,227384.00,160111.00,262285.00,82167.00,43018.00,26699.00
1962:Q4,842334.00,259752.00,168307.00,69344.00,232768.00,163466.00,266044.00,83770.00,46345.00,27514.00
1963:Q1,856946.00,267192.00,171943.00,71309.00,236659.00,165589.00,268037.00,85058.00,44018.00,28278.00
1963:Q2,871929.00,273473.00,175979.00,73129.00,241366.00,167940.00,270284.00,86806.00,47671.00,29565.00
1963:Q3,884428.00,281467.00,180605.00,75440.00,245710.00,170147.00,269330.00,87921.00,50338.00,29875.00
1963:Q4,900618.00,288211.00,185106.00,77870.00,252156.00,174184.00,271008.00,89243.00,54125.00,30765.00
1964:Q1,916026.00,296926.00,189423.00,80555.00,256242.00,176586.00,272343.00,90515.00,53177.00,31526.00
1964:Q2,930730.00,302540.00,193536.00,82769.00,262031.00,179977.00,273916.00,92243.00,57749.00,32444.00
1964:Q3,947411.00,309552.00,198037.00,85288.00,267787.00,183446.00,276082.00,93990.00,58175.00,33186.00
1964:Q4,965255.00,317130.00,202335.00,87352.00,274192.00,187925.00,278309.00,95624.00,61043.00,34905.00
1965:Q1,982834.00,324887.00,206582.00,90344.00,281383.00,193184.00,279189.00,97375.00,60637.00,36390.00
1965:Q2,997775.00,330041.00,210488.00,93294.00,288848.00,197971.00,279373.00,99513.00,66508.00,36617.00
1965:Q3,1012260.00,337149.00,215035.00,95625.00,296181.00,202866.00,277467.00,101463.00,65816.00,36722.00
1965:Q4,1034076.00,345863.00,219449.00,97489.00,303787.00,208193.00,281252.00,103174.00,70150.00,37423.00
1966:Q1,1053716.00,352721.00,224085.00,100006.00,313349.00,214562.00,282763.00,104883.00,70819.00,38046.00
1966:Q2,1070723.00,357371.00,227381.00,101373.00,323869.00,222356.00,282469.00,107014.00,77287.00,38603.00
1966:Q3,1084213.00,361503.00,230299.00,102281.00,331871.00,228547.00,282300.00,108539.00,76635.00,38701.00
1966:Q4,1102733.00,368393.00,232742.00,103422.00,338202.00,232924.00,286101.00,110037.00,81898.00,39526.00
1967:Q1,1118526.00,371065.00,234956.00,104389.00,346563.00,239688.00,289406.00,111492.00,80112.00,40855.00
1967:Q2,1128452.00,373105.00,237210.00,105421.00,355873.00,246045.00,285886.00,113588.00,79412.00,41634.00
1967:Q3,1151909.00,379861.00,241614.00,106874.00,364078.00,251640.00,292284.00,115686.00,81315.00,42532.00
1967:Q4,1190912.00,402322.00,245974.00,108567.00,370856.00,255245.00,300362.00,117372.00,85926.00,43299.00
