1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q3,85769.00,33182.00,41647.00,8348.00,6146.00,2202.00,33299.00,-8465.00,-6095.00,-2370.00,52587.00,39030.00,32148.00,23304.00,7463.00,1381.00,6882.00,13557.00,8794.00,4763.00,88353.00,88276.00,67753.00,51964.00,37305.00,11599.00,3060.00,15789.00,20523.00,9106.00,11417.00,9.00,960.00,-217.00,-217.00,0.00,0.00,1177.00,-951.00,581.00,-1532.00,68.00,14549.00,-8667.00,-5054.00,-4136.00,524.00,23216.00,-14480.00,-6988.00,-7493.00,4459.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q4,86286.00,31514.00,46164.00,8486.00,7196.00,1290.00,37679.00,-14651.00,-17721.00,3071.00,54773.00,40746.00,33613.00,24403.00,7752.00,1458.00,7133.00,14027.00,9026.00,5001.00,91146.00,90048.00,70334.00,55652.00,42835.00,9651.00,3166.00,14682.00,19714.00,9419.00,10295.00,9.00,2232.00,1127.00,1127.00,0.00,0.00,1105.00,-2223.00,-374.00,-1849.00,1089.00,19203.00,-9821.00,-7503.00,-1899.00,-418.00,29024.00,-18114.00,-17740.00,-374.00,3571.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q1,77635.00,20715.00,47428.00,10257.00,9537.00,720.00,37171.00,-26713.00,-23628.00,-3085.00,56920.00,42578.00,35191.00,25594.00,8053.00,1544.00,7387.00,14342.00,9199.00,5143.00,83966.00,79494.00,61077.00,46531.00,31775.00,11614.00,3142.00,14546.00,18417.00,9399.00,9018.00,12.00,1126.00,16.00,16.00,0.00,0.00,1111.00,-1114.00,927.00,-2041.00,4460.00,34134.00,5232.00,9670.00,-3560.00,-878.00,28902.00,-29674.00,-24754.00,-4919.00,2097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q2,89627.00,30886.00,58326.00,12368.00,10981.00,1387.00,45958.00,-27439.00,-26600.00,-839.00,58741.00,44159.00,36537.00,26605.00,8309.00,1623.00,7622.00,14582.00,9373.00,5209.00,87083.00,81720.00,60820.00,45457.00,31601.00,10681.00,3176.00,15363.00,20899.00,9261.00,11638.00,15.00,1219.00,-21.00,-21.00,0.00,0.00,1240.00,-1204.00,640.00,-1844.00,5349.00,37901.00,924.00,3462.00,-2372.00,-166.00,36977.00,-32552.00,-27128.00,-5425.00,1988.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q3,88456.00,28183.00,52431.00,14926.00,12024.00,2901.00,37506.00,-24248.00,-19332.00,-4916.00,60274.00,45488.00,37650.00,27437.00,8519.00,1695.00,7838.00,14785.00,9519.00,5266.00,94365.00,89768.00,66298.00,49699.00,35640.00,10793.00,3267.00,16599.00,23470.00,10438.00,13032.00,15.00,1197.00,-109.00,-109.00,0.00,0.00,1306.00,-1182.00,1418.00,-2600.00,4582.00,36333.00,8894.00,9839.00,-2274.00,1329.00,27439.00,-31751.00,-21669.00,-10082.00,7256.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q4,92541.00,30939.00,55081.00,16703.00,12995.00,3708.00,38378.00,-24142.00,-27417.00,3275.00,61602.00,46566.00,38532.00,28089.00,8685.00,1758.00,8035.00,15036.00,9694.00,5342.00,96075.00,90669.00,69059.00,51415.00,36630.00,11433.00,3352.00,17644.00,21610.00,10749.00,10861.00,15.00,1155.00,-145.00,-145.00,0.00,0.00,1299.00,-1140.00,1406.00,-2546.00,5391.00,34967.00,7498.00,8132.00,-2748.00,2114.00,27469.00,-29576.00,-29878.00,302.00,1888.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q1,93295.00,30603.00,56978.00,18083.00,14313.00,3770.00,38895.00,-26375.00,-25052.00,-1323.00,62693.00,47393.00,39181.00,28561.00,8808.00,1812.00,8212.00,15300.00,9881.00,5419.00,99441.00,96153.00,76160.00,56882.00,41772.00,11666.00,3445.00,19278.00,19993.00,10885.00,9108.00,15.00,1392.00,44.00,44.00,0.00,0.00,1348.00,-1377.00,1062.00,-2439.00,3273.00,32963.00,6483.00,7204.00,-2857.00,2137.00,26481.00,-29690.00,-27118.00,-2573.00,2361.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q2,106817.00,42866.00,54696.00,17465.00,14502.00,2963.00,37231.00,-11831.00,-12100.00,270.00,63952.00,48418.00,39988.00,29153.00,8964.00,1871.00,8430.00,15534.00,10036.00,5498.00,105448.00,103200.00,80576.00,60306.00,44924.00,11883.00,3499.00,20270.00,22624.00,10901.00,11723.00,12.00,2020.00,595.00,595.00,0.00,0.00,1425.00,-2008.00,380.00,-2388.00,2237.00,19149.00,-4818.00,-3234.00,-2919.00,1336.00,23966.00,-16912.00,-13345.00,-3567.00,2854.00,159.00,159.00,99.00,60.00,0.00,0.00,0.00
1976:Q3,99313.00,33884.00,53440.00,17483.00,15103.00,2380.00,35957.00,-19556.00,-16324.00,-3232.00,65430.00,49641.00,40952.00,29864.00,9151.00,1937.00,8689.00,15789.00,10247.00,5542.00,107204.00,106602.00,82077.00,61691.00,45313.00,12814.00,3564.00,20387.00,24525.00,11409.00,13116.00,12.00,2404.00,940.00,940.00,0.00,0.00,1465.00,-2392.00,248.00,-2640.00,590.00,26489.00,3695.00,6606.00,-3663.00,753.00,22794.00,-25899.00,-17734.00,-8166.00,9666.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q4,100071.00,32936.00,52230.00,17006.00,15145.00,1861.00,35224.00,-19294.00,-26378.00,7084.00,67136.00,51062.00,42074.00,30695.00,9369.00,2011.00,8988.00,16074.00,10465.00,5609.00,107868.00,106911.00,84412.00,61389.00,45597.00,12189.00,3602.00,23024.00,22499.00,11554.00,10945.00,12.00,1863.00,204.00,204.00,0.00,0.00,1658.00,-1851.00,958.00,-2809.00,945.00,24813.00,5283.00,7834.00,-2821.00,270.00,19530.00,-23868.00,-28425.00,4557.00,5582.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q1,98030.00,28986.00,52000.00,18161.00,15409.00,2752.00,33839.00,-23014.00,-22633.00,-380.00,69044.00,52681.00,43353.00,31645.00,9617.00,2092.00,9328.00,16363.00,10643.00,5720.00,108214.00,110220.00,90078.00,65698.00,48734.00,13269.00,3695.00,24380.00,20142.00,11915.00,8227.00,13.00,3085.00,-155.00,-155.00,0.00,0.00,3240.00,-3072.00,-251.00,-2821.00,-2019.00,21702.00,6155.00,8659.00,-3653.00,1149.00,15547.00,-23721.00,-23654.00,-66.00,5890.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q2,124542.00,53517.00,57389.00,21647.00,17700.00,3947.00,35742.00,-3872.00,-5714.00,1842.00,71025.00,54369.00,44675.00,32623.00,9880.00,2171.00,9695.00,16656.00,10844.00,5812.00,119019.00,121230.00,97426.00,69972.00,50468.00,15713.00,3791.00,27454.00,23804.00,12387.00,11417.00,15.00,1762.00,89.00,89.00,0.00,0.00,1673.00,-1747.00,1128.00,-2875.00,-2226.00,7048.00,-9262.00,-5756.00,-5832.00,2327.00,16310.00,-9273.00,-8385.00,-889.00,1545.00,333.00,333.00,259.00,74.00,0.00,0.00,0.00
1977:Q3,117770.00,44723.00,61936.00,24316.00,19608.00,4708.00,37620.00,-17212.00,-15459.00,-1754.00,73047.00,56125.00,46038.00,33629.00,10161.00,2248.00,10087.00,16922.00,10999.00,5923.00,127133.00,129097.00,103534.00,75330.00,55068.00,16335.00,3927.00,28204.00,25564.00,12511.00,13053.00,18.00,2348.00,732.00,732.00,0.00,0.00,1617.00,-2330.00,726.00,-3056.00,-1982.00,21542.00,3655.00,6800.00,-6174.00,3029.00,17887.00,-23524.00,-17696.00,-5828.00,10317.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q4,119257.00,44039.00,63407.00,22451.00,18638.00,3813.00,40957.00,-19368.00,-28102.00,8734.00,75218.00,57949.00,47443.00,34663.00,10458.00,2322.00,10506.00,17269.00,11242.00,6027.00,124489.00,129223.00,105575.00,76905.00,54824.00,17907.00,4174.00,28671.00,23648.00,12385.00,11263.00,18.00,1783.00,233.00,233.00,0.00,0.00,1550.00,-1765.00,1013.00,-2778.00,-4752.00,19230.00,-2012.00,3476.00,-7450.00,1962.00,21242.00,-23982.00,-30257.00,6276.00,1503.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q1,121330.00,43849.00,65942.00,22294.00,18568.00,3726.00,43649.00,-22093.00,-23332.00,1239.00,77481.00,59842.00,48890.00,35725.00,10772.00,2393.00,10952.00,17639.00,11500.00,6139.00,123154.00,129407.00,108699.00,79179.00,58384.00,16395.00,4400.00,29520.00,20708.00,12557.00,8151.00,21.00,1317.00,-159.00,-159.00,0.00,0.00,1476.00,-1296.00,1496.00,-2792.00,-6274.00,17593.00,-6012.00,-2108.00,-5623.00,1719.00,23605.00,-23866.00,-25886.00,2019.00,-4725.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q2,148758.00,68836.00,66004.00,25913.00,20896.00,5017.00,40091.00,2833.00,-2266.00,5098.00,79921.00,61873.00,50465.00,36875.00,11113.00,2478.00,11408.00,18048.00,11755.00,6293.00,140779.00,143993.00,117646.00,86028.00,62803.00,18282.00,4943.00,31618.00,26347.00,13490.00,12857.00,21.00,2091.00,649.00,649.00,0.00,0.00,1443.00,-2070.00,862.00,-2932.00,-3235.00,162.00,-18277.00,-13660.00,-7168.00,2552.00,18439.00,-3396.00,-4863.00,1466.00,1521.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
