1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,84694.00,27055.00,24745.00,22559.00,0.00,6652.00,665.00,2614.00,404.00,78689.00,53972.00,10538.00,5135.00,7596.00,1448.00,6005.00,10012.00,291.00,-940.00,16666.00,26225.00,19571.00,272.00,6382.00,17569.00,37.00,514.00,240.00,0.00,0.00,714.00,0.00,480.00,205.00,29.00,0.00,1278.00,599.00,0.00,679.00,0.00,0.00,1138.00,13701.00,-53.00,11187.00,0.00,0.00,24.00,2387.00,409.00,2115.00,261.00,0.00,261.00,1686.00,173.00,6656.00,-9559.00,16828.00,10446.00
1952:Q1,87447.00,30876.00,26087.00,19804.00,0.00,6964.00,700.00,2584.00,432.00,84485.00,61168.00,10480.00,3752.00,7844.00,1241.00,2962.00,10577.00,440.00,-1034.00,14133.00,14212.00,24082.00,245.00,-10115.00,16117.00,12.00,6352.00,200.00,0.00,320.00,1236.00,0.00,1392.00,-284.00,128.00,0.00,2256.00,1496.00,0.00,760.00,0.00,0.00,928.00,4713.00,100.00,26232.00,0.00,0.00,60.00,19696.00,11496.00,8508.00,-180.00,0.00,-180.00,-316.00,60.00,6912.00,-79.00,14905.00,25020.00
1952:Q2,88024.00,31813.00,26918.00,18652.00,0.00,6848.00,708.00,2672.00,413.00,89182.00,64973.00,10628.00,4488.00,7893.00,1200.00,-1158.00,10892.00,520.00,-1079.00,10293.00,7168.00,24263.00,244.00,-17339.00,5785.00,116.00,-2796.00,-200.00,0.00,348.00,2668.00,0.00,1840.00,780.00,48.00,0.00,1524.00,244.00,0.00,1280.00,0.00,0.00,1228.00,2533.00,364.00,23124.00,0.00,0.00,28.00,15380.00,2652.00,10500.00,292.00,0.00,292.00,104.00,80.00,7240.00,3125.00,3653.00,20992.00
1952:Q3,89098.00,32274.00,27334.00,18608.00,0.00,6896.00,715.00,2880.00,391.00,91733.00,66319.00,11396.00,4816.00,8018.00,1184.00,-2635.00,11290.00,292.00,-1103.00,9466.00,29715.00,24838.00,252.00,4625.00,22529.00,32.00,7840.00,592.00,0.00,2048.00,596.00,0.00,312.00,252.00,32.00,0.00,1864.00,368.00,0.00,1496.00,0.00,0.00,1312.00,7833.00,412.00,17904.00,0.00,0.00,36.00,10676.00,3856.00,4220.00,544.00,0.00,544.00,880.00,32.00,5736.00,-20249.00,21673.00,17048.00
1952:Q4,92834.00,33057.00,28145.00,20532.00,0.00,7072.00,727.00,2908.00,393.00,93046.00,68366.00,11472.00,3952.00,8173.00,1083.00,-212.00,11542.00,300.00,-1004.00,12034.00,17866.00,25294.00,267.00,-7695.00,9549.00,-456.00,-700.00,40.00,0.00,-1728.00,1176.00,0.00,1280.00,-96.00,-8.00,0.00,1296.00,824.00,0.00,472.00,0.00,0.00,632.00,8777.00,512.00,17244.00,0.00,0.00,24.00,7088.00,5764.00,4320.00,632.00,0.00,632.00,1592.00,0.00,7908.00,-5832.00,7637.00,15332.00
1953:Q1,94494.00,33411.00,28746.00,21616.00,0.00,7088.00,766.00,2443.00,424.00,94299.00,69480.00,11464.00,3880.00,8329.00,1146.00,195.00,11824.00,336.00,-1224.00,12907.00,17832.00,26537.00,309.00,-9014.00,8753.00,84.00,-4056.00,-144.00,0.00,36.00,1124.00,0.00,1152.00,-40.00,12.00,0.00,660.00,824.00,0.00,-164.00,0.00,0.00,1184.00,10285.00,-420.00,17767.00,0.00,0.00,12.00,10184.00,4160.00,5776.00,-900.00,0.00,-900.00,944.00,32.00,7495.00,-4925.00,8501.00,17515.00
1953:Q2,96068.00,33439.00,29178.00,21724.00,0.00,7160.00,781.00,3343.00,443.00,96568.00,71021.00,11428.00,4800.00,8429.00,890.00,-500.00,12107.00,312.00,-1052.00,12347.00,10512.00,27148.00,326.00,-16962.00,925.00,-288.00,-10592.00,40.00,0.00,-1024.00,460.00,0.00,648.00,-308.00,120.00,0.00,728.00,680.00,0.00,48.00,0.00,0.00,-300.00,12425.00,-524.00,17887.00,0.00,0.00,52.00,11088.00,4816.00,5284.00,-296.00,0.00,-296.00,-316.00,72.00,7287.00,1835.00,573.00,17535.00
1953:Q3,95111.00,33187.00,29319.00,21232.00,0.00,7196.00,792.00,2920.00,465.00,95407.00,69850.00,11676.00,4164.00,8581.00,1136.00,-296.00,12224.00,296.00,-1113.00,12745.00,31739.00,27016.00,337.00,4386.00,36257.00,220.00,17304.00,428.00,0.00,3260.00,656.00,0.00,504.00,-84.00,236.00,0.00,1396.00,432.00,0.00,964.00,0.00,0.00,308.00,12153.00,532.00,31871.00,0.00,0.00,28.00,23896.00,17140.00,5016.00,12.00,0.00,12.00,476.00,100.00,7359.00,-18994.00,35741.00,31355.00
1953:Q4,90011.00,32931.00,29161.00,16576.00,0.00,7072.00,804.00,2970.00,497.00,96846.00,71084.00,12128.00,4216.00,8724.00,694.00,-6835.00,12382.00,368.00,-1203.00,6382.00,10291.00,25917.00,344.00,-15970.00,-1203.00,-360.00,-7248.00,956.00,0.00,-2560.00,1360.00,0.00,912.00,88.00,360.00,0.00,-160.00,-44.00,0.00,-116.00,0.00,0.00,-1324.00,7629.00,504.00,14767.00,0.00,0.00,44.00,6452.00,-2424.00,5344.00,-272.00,0.00,-272.00,268.00,92.00,8183.00,-3909.00,-1843.00,14127.00
1954:Q1,87823.00,30196.00,28681.00,16404.00,0.00,8092.00,857.00,3055.00,538.00,95191.00,68706.00,12888.00,4044.00,8890.00,663.00,-7368.00,12599.00,148.00,-1195.00,6278.00,18638.00,26415.00,316.00,-8093.00,5811.00,-168.00,2028.00,1048.00,0.00,-1564.00,800.00,0.00,240.00,196.00,364.00,0.00,-576.00,-184.00,0.00,-392.00,0.00,0.00,1060.00,3835.00,-652.00,13904.00,0.00,0.00,88.00,5536.00,-2396.00,5528.00,-416.00,0.00,-416.00,1212.00,-52.00,7536.00,-12360.00,5987.00,14080.00
1954:Q2,88149.00,29977.00,28812.00,16904.00,0.00,8056.00,868.00,2965.00,567.00,94441.00,66877.00,13568.00,3708.00,9035.00,1253.00,-6292.00,12948.00,-56.00,-1142.00,7854.00,16890.00,25946.00,337.00,-9393.00,5191.00,40.00,-1612.00,-112.00,0.00,864.00,528.00,0.00,256.00,44.00,228.00,0.00,868.00,2272.00,0.00,-1404.00,0.00,0.00,-420.00,5467.00,-432.00,14584.00,0.00,0.00,40.00,8820.00,3756.00,6072.00,-772.00,0.00,-772.00,-832.00,-236.00,7564.00,-9036.00,5707.00,15100.00
1954:Q3,89274.00,30005.00,28744.00,17920.00,0.00,8080.00,878.00,3062.00,585.00,95060.00,66706.00,13944.00,4324.00,9178.00,908.00,-5786.00,13133.00,-508.00,-1143.00,8998.00,19620.00,24720.00,377.00,-5477.00,7431.00,-700.00,-4204.00,1080.00,0.00,4024.00,916.00,0.00,688.00,120.00,108.00,0.00,-1932.00,-1840.00,0.00,-92.00,0.00,0.00,1160.00,6455.00,632.00,12908.00,0.00,0.00,8.00,4832.00,4176.00,5372.00,-96.00,0.00,-96.00,176.00,-400.00,8388.00,-10622.00,6839.00,12316.00
1954:Q4,91780.00,30462.00,29319.00,19268.00,0.00,8172.00,892.00,3054.00,613.00,96211.00,67145.00,14588.00,4432.00,9278.00,768.00,-4431.00,13412.00,-192.00,-1172.00,10345.00,13041.00,24484.00,434.00,-11877.00,11275.00,152.00,3896.00,-56.00,0.00,-3336.00,816.00,0.00,604.00,216.00,-4.00,0.00,860.00,520.00,0.00,340.00,0.00,0.00,-176.00,8295.00,824.00,23152.00,0.00,0.00,8.00,14680.00,5388.00,5632.00,-56.00,0.00,-56.00,828.00,-508.00,8200.00,-2696.00,10727.00,22604.00
1955:Q1,96466.00,31412.00,30248.00,21344.00,0.00,8900.00,903.00,2974.00,685.00,97673.00,68028.00,14556.00,4820.00,9325.00,944.00,-1207.00,13501.00,-312.00,-1236.00,13842.00,23549.00,24137.00,540.00,-1128.00,10479.00,-324.00,-6220.00,-500.00,0.00,920.00,1028.00,0.00,756.00,316.00,-44.00,0.00,1048.00,196.00,0.00,852.00,0.00,0.00,140.00,14387.00,0.00,11607.00,0.00,0.00,12.00,3096.00,-3108.00,5472.00,32.00,0.00,32.00,48.00,-396.00,8815.00,-9707.00,9691.00,10819.00
1955:Q2,99106.00,32429.00,31228.00,21608.00,0.00,9068.00,922.00,3112.00,739.00,97654.00,68098.00,14736.00,4404.00,9355.00,1061.00,1452.00,13662.00,-64.00,-1108.00,16286.00,33203.00,24750.00,601.00,7852.00,21335.00,56.00,4736.00,48.00,0.00,-1608.00,1208.00,0.00,1080.00,132.00,-4.00,0.00,1060.00,432.00,0.00,628.00,0.00,0.00,-188.00,15915.00,108.00,13483.00,0.00,0.00,-4.00,5088.00,1688.00,5144.00,-36.00,0.00,-36.00,344.00,-208.00,8299.00,-16917.00,20291.00,12439.00
1955:Q3,101607.00,33364.00,31941.00,22156.00,0.00,9220.00,943.00,3215.00,768.00,99836.00,70145.00,14864.00,4392.00,9641.00,794.00,1771.00,14043.00,28.00,-1236.00,17022.00,27856.00,24261.00,647.00,2948.00,15931.00,-148.00,-1380.00,20.00,0.00,4544.00,1156.00,0.00,1208.00,-84.00,32.00,0.00,440.00,136.00,0.00,304.00,0.00,0.00,416.00,9895.00,988.00,12983.00,0.00,0.00,0.00,4700.00,1368.00,4908.00,12.00,0.00,12.00,736.00,4.00,7531.00,-10834.00,14711.00,11763.00
1955:Q4,103921.00,34231.00,32451.00,23056.00,0.00,9280.00,966.00,3151.00,786.00,99409.00,69339.00,14860.00,4288.00,9960.00,962.00,4512.00,14365.00,124.00,-1400.00,20153.00,22846.00,24274.00,676.00,-2104.00,13767.00,-120.00,1940.00,128.00,0.00,-1660.00,1388.00,0.00,1544.00,-220.00,64.00,0.00,488.00,260.00,0.00,228.00,0.00,0.00,888.00,9823.00,892.00,15871.00,0.00,0.00,0.00,6780.00,2488.00,4612.00,40.00,0.00,40.00,1124.00,-60.00,7987.00,-2693.00,12183.00,14287.00
1956:Q1,105274.00,35367.00,33031.00,22040.00,0.00,9884.00,1017.00,3162.00,773.00,100079.00,69586.00,15176.00,4164.00,10086.00,1067.00,5195.00,14828.00,400.00,-1453.00,21076.00,30066.00,25578.00,671.00,3817.00,13749.00,-164.00,5700.00,160.00,0.00,-632.00,848.00,0.00,1048.00,-264.00,64.00,0.00,-80.00,76.00,0.00,-156.00,0.00,0.00,-156.00,7945.00,128.00,9932.00,0.00,0.00,8.00,184.00,-3984.00,4444.00,28.00,0.00,28.00,700.00,232.00,8780.00,-8990.00,12673.00,8856.00
1956:Q2,107413.00,36239.00,33596.00,22488.00,0.00,9996.00,1046.00,3276.00,772.00,103601.00,71997.00,15364.00,4432.00,10487.00,1321.00,3812.00,15149.00,420.00,-1705.00,20246.00,37535.00,26573.00,681.00,10281.00,10337.00,-204.00,-2700.00,-292.00,0.00,-2252.00,1412.00,0.00,1332.00,48.00,32.00,0.00,1068.00,92.00,0.00,976.00,0.00,0.00,1384.00,11849.00,72.00,56.00,0.00,0.00,12.00,-10416.00,-15108.00,4420.00,8.00,0.00,8.00,744.00,360.00,9348.00,-17289.00,8997.00,-1284.00
1956:Q3,107955.00,36901.00,34597.00,21144.00,0.00,10024.00,1074.00,3444.00,771.00,103708.00,70882.00,15812.00,4532.00,10818.00,1664.00,4247.00,15495.00,388.00,-1601.00,20955.00,28659.00,27748.00,686.00,225.00,12013.00,620.00,-5380.00,36.00,0.00,7512.00,1172.00,0.00,992.00,196.00,-16.00,0.00,224.00,64.00,0.00,160.00,0.00,0.00,336.00,5913.00,1580.00,11788.00,0.00,0.00,20.00,1492.00,-2308.00,3956.00,140.00,0.00,140.00,956.00,344.00,8836.00,-7704.00,10881.00,10656.00
1956:Q4,111372.00,37857.00,35724.00,22300.00,0.00,10164.00,1101.00,3462.00,764.00,107130.00,73063.00,16016.00,4604.00,11476.00,1971.00,4242.00,15791.00,372.00,-1585.00,21246.00,21897.00,28646.00,690.00,-7439.00,10569.00,2180.00,-948.00,164.00,0.00,-2344.00,1064.00,0.00,836.00,304.00,-76.00,0.00,1864.00,176.00,0.00,1688.00,0.00,0.00,-204.00,7937.00,856.00,18008.00,0.00,0.00,36.00,5248.00,2268.00,3840.00,96.00,0.00,96.00,1668.00,276.00,10684.00,-651.00,9637.00,17076.00
1957:Q1,114625.00,38578.00,36144.00,22824.00,0.00,11428.00,1153.00,3743.00,755.00,110901.00,75933.00,16836.00,4612.00,11485.00,2035.00,3724.00,16213.00,324.00,-1626.00,21239.00,31573.00,29764.00,689.00,1120.00,19364.00,-232.00,9384.00,280.00,0.00,-696.00,328.00,0.00,116.00,272.00,-60.00,0.00,268.00,368.00,0.00,-100.00,0.00,0.00,292.00,9028.00,712.00,18244.00,0.00,0.00,28.00,8680.00,5104.00,3740.00,228.00,0.00,228.00,448.00,184.00,8676.00,-10334.00,19020.00,17900.00
1957:Q2,114411.00,38965.00,36561.00,21872.00,0.00,11460.00,1175.00,3621.00,757.00,113155.00,76476.00,18032.00,4812.00,11867.00,1968.00,1256.00,16514.00,-128.00,-1886.00,19784.00,31560.00,29735.00,697.00,1128.00,1264.00,292.00,-5692.00,328.00,0.00,-4472.00,40.00,0.00,-44.00,48.00,36.00,0.00,-596.00,376.00,0.00,-972.00,0.00,0.00,684.00,10156.00,524.00,136.00,0.00,0.00,44.00,-12192.00,-16572.00,4420.00,8.00,0.00,8.00,536.00,88.00,11652.00,-11776.00,1300.00,172.00
1957:Q3,114969.00,39197.00,37012.00,21428.00,0.00,11532.00,1188.00,3819.00,793.00,114068.00,77199.00,18224.00,4676.00,12123.00,1846.00,901.00,16829.00,112.00,-1856.00,19474.00,25558.00,30593.00,709.00,-5744.00,17712.00,1016.00,-3368.00,840.00,0.00,8968.00,-556.00,0.00,-556.00,-160.00,160.00,0.00,1148.00,532.00,0.00,616.00,0.00,0.00,-60.00,8576.00,1148.00,23456.00,0.00,0.00,32.00,13348.00,9228.00,4532.00,456.00,192.00,264.00,556.00,48.00,9016.00,-6084.00,18004.00,23748.00
1957:Q4,112439.00,38804.00,36746.00,19568.00,0.00,11356.00,1192.00,3993.00,780.00,118203.00,79614.00,19436.00,4852.00,12567.00,1734.00,-5764.00,17068.00,116.00,-1684.00,12872.00,21107.00,30830.00,725.00,-10448.00,4420.00,140.00,-2408.00,-32.00,0.00,-1688.00,-744.00,0.00,-828.00,-220.00,304.00,0.00,2456.00,656.00,0.00,1800.00,0.00,0.00,-828.00,7112.00,412.00,14868.00,0.00,0.00,40.00,612.00,-6632.00,5336.00,296.00,192.00,104.00,2156.00,28.00,11736.00,-8235.00,5144.00,15592.00
1958:Q1,109072.00,38178.00,36823.00,16920.00,0.00,11364.00,1221.00,3803.00,763.00,118276.00,78942.00,20808.00,4560.00,12114.00,1852.00,-9204.00,17027.00,132.00,-1722.00,9413.00,18283.00,31271.00,756.00,-13744.00,8973.00,376.00,3920.00,1984.00,0.00,-248.00,-1040.00,0.00,-1336.00,-8.00,304.00,0.00,1372.00,480.00,0.00,892.00,0.00,0.00,-1072.00,4077.00,-396.00,22717.00,0.00,0.00,64.00,12528.00,5128.00,5264.00,708.00,504.00,204.00,404.00,28.00,8985.00,-8870.00,10105.00,23849.00
1958:Q2,109762.00,37696.00,37331.00,17248.00,0.00,11288.00,1228.00,4220.00,751.00,123912.00,82021.00,22648.00,5100.00,12109.00,2034.00,-14150.00,17311.00,-516.00,-1664.00,5341.00,14738.00,31983.00,771.00,-18016.00,18669.00,52.00,15948.00,2528.00,0.00,-7032.00,216.00,0.00,276.00,-216.00,156.00,0.00,896.00,432.00,0.00,464.00,0.00,0.00,-428.00,6541.00,-52.00,36685.00,0.00,0.00,48.00,22224.00,19588.00,5428.00,648.00,500.00,148.00,584.00,44.00,13137.00,-9397.00,18245.00,36261.00
1958:Q3,113670.00,38945.00,37795.00,19388.00,0.00,11456.00,1241.00,4088.00,757.00,125260.00,82578.00,22976.00,5100.00,12382.00,2224.00,-11590.00,17697.00,584.00,-1624.00,7147.00,12685.00,32913.00,784.00,-21012.00,-8743.00,-36.00,-29172.00,-648.00,0.00,8372.00,184.00,0.00,304.00,-192.00,72.00,0.00,1900.00,424.00,0.00,1476.00,0.00,0.00,148.00,9625.00,884.00,12269.00,0.00,0.00,12.00,1080.00,-4656.00,5124.00,604.00,368.00,236.00,1132.00,64.00,9377.00,-5538.00,-9283.00,11729.00
1958:Q4,119099.00,39376.00,38929.00,22300.00,0.00,11576.00,1268.00,4873.00,777.00,127726.00,84100.00,22472.00,5940.00,12834.00,2380.00,-8627.00,18022.00,-84.00,-1655.00,11134.00,18425.00,34316.00,793.00,-16684.00,21573.00,-548.00,9668.00,-536.00,0.00,-2704.00,488.00,0.00,624.00,-192.00,56.00,0.00,2688.00,1152.00,0.00,1536.00,0.00,0.00,244.00,11709.00,564.00,38257.00,0.00,0.00,28.00,24760.00,19056.00,5984.00,504.00,372.00,132.00,1516.00,88.00,11361.00,-7291.00,20817.00,37501.00
1959:Q1,123451.00,40758.00,39770.00,23424.00,84.00,13700.00,1226.00,3995.00,494.00,126609.00,81406.00,22736.00,7436.00,13883.00,1148.00,-3158.00,18259.00,172.00,-1647.00,16576.00,15608.00,36220.00,793.00,-21405.00,3387.00,-680.00,2700.00,-516.00,0.00,-4852.00,772.00,0.00,884.00,-144.00,32.00,0.00,2912.00,1940.00,0.00,972.00,0.00,0.00,156.00,2547.00,348.00,24792.00,0.00,0.00,24.00,14548.00,10312.00,5676.00,296.00,196.00,100.00,788.00,108.00,9028.00,968.00,2403.00,23808.00
1959:Q2,128180.00,41986.00,40292.00,25648.00,84.00,13944.00,1231.00,4481.00,514.00,128021.00,82818.00,22612.00,8116.00,13547.00,928.00,159.00,18483.00,-716.00,-1692.00,21050.00,19372.00,36146.00,800.00,-17574.00,11166.00,1260.00,-748.00,56.00,0.00,-816.00,1336.00,0.00,1268.00,60.00,8.00,0.00,3100.00,1964.00,0.00,1136.00,0.00,0.00,448.00,6150.00,380.00,28740.00,0.00,0.00,60.00,14748.00,8740.00,5940.00,456.00,204.00,252.00,416.00,124.00,12936.00,1678.00,9646.00,27220.00
1959:Q3,127524.00,42679.00,41722.00,23032.00,84.00,13900.00,1263.00,4317.00,527.00,129159.00,83786.00,22844.00,7240.00,14201.00,1088.00,-1635.00,18738.00,1068.00,-1822.00,17857.00,18446.00,36120.00,1380.00,-19054.00,8046.00,640.00,2332.00,-1076.00,0.00,3992.00,860.00,0.00,840.00,56.00,-36.00,0.00,1756.00,1456.00,0.00,300.00,0.00,0.00,308.00,-86.00,-680.00,27100.00,0.00,0.00,20.00,16860.00,10192.00,6680.00,600.00,428.00,172.00,856.00,112.00,8652.00,-589.00,7034.00,26088.00
1959:Q4,128974.00,43733.00,42424.00,22480.00,84.00,13952.00,1308.00,4351.00,642.00,131138.00,84090.00,23476.00,7732.00,14772.00,1068.00,-2164.00,19002.00,-268.00,-1863.00,18969.00,18782.00,34938.00,1382.00,-17538.00,4614.00,-944.00,5124.00,-272.00,0.00,-1688.00,1592.00,0.00,1868.00,-180.00,-96.00,0.00,388.00,740.00,0.00,-352.00,0.00,0.00,588.00,-222.00,48.00,22152.00,0.00,0.00,52.00,7176.00,3316.00,5072.00,648.00,432.00,216.00,1808.00,92.00,12376.00,187.00,2530.00,20068.00
1960:Q1,138276.00,45292.00,43696.00,25024.00,88.00,16456.00,2736.00,4455.00,529.00,130856.00,82332.00,23556.00,7004.00,16940.00,1024.00,7420.00,19278.00,88.00,-1926.00,28536.00,26309.00,35098.00,1121.00,-9910.00,3355.00,-468.00,2280.00,228.00,0.00,-1688.00,1468.00,0.00,1432.00,140.00,-104.00,0.00,1016.00,-96.00,0.00,1112.00,0.00,0.00,744.00,-753.00,528.00,13265.00,0.00,0.00,52.00,624.00,-4876.00,5752.00,552.00,400.00,152.00,1708.00,84.00,10245.00,2227.00,1771.00,11681.00
1960:Q2,137869.00,46028.00,44347.00,22984.00,100.00,16488.00,2790.00,4575.00,557.00,134025.00,83657.00,24188.00,7868.00,17032.00,1280.00,3844.00,19535.00,360.00,-2147.00,25166.00,24642.00,35196.00,1368.00,-11922.00,6103.00,-260.00,3576.00,1392.00,0.00,-616.00,1408.00,0.00,1244.00,220.00,-56.00,0.00,1336.00,348.00,0.00,988.00,0.00,0.00,40.00,-1725.00,952.00,18025.00,0.00,0.00,36.00,3580.00,-2692.00,5272.00,800.00,408.00,392.00,476.00,72.00,13061.00,524.00,4467.00,16389.00
1960:Q3,137812.00,46528.00,44861.00,21940.00,96.00,16544.00,2883.00,4567.00,393.00,135655.00,86110.00,24988.00,6720.00,16789.00,1048.00,2157.00,19826.00,84.00,-2049.00,23948.00,23012.00,36830.00,1410.00,-15228.00,4213.00,-308.00,-352.00,2092.00,0.00,620.00,1748.00,0.00,1056.00,636.00,56.00,0.00,1120.00,568.00,0.00,552.00,0.00,0.00,320.00,-1551.00,524.00,19441.00,0.00,0.00,48.00,5356.00,1832.00,5252.00,720.00,404.00,316.00,1256.00,68.00,11993.00,936.00,2841.00,18069.00
