1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q1,2.00,3.00,5003.00,8.00,76.00,0.00,8.00,1108.00,0.00,64.00,-8.00,1052.00,44.00,940.00,0.00,2819.00,0.00,32.00,2763.00,24.00,5004.00,4311.00,692.00
1954:Q2,2.00,3.00,4647.00,-20.00,76.00,0.00,8.00,1168.00,0.00,-32.00,0.00,1200.00,40.00,996.00,0.00,2379.00,0.00,24.00,2331.00,24.00,4648.00,3935.00,712.00
1954:Q3,2.00,3.00,4507.00,-20.00,80.00,0.00,8.00,1332.00,0.00,12.00,-28.00,1348.00,44.00,1040.00,0.00,2023.00,0.00,32.00,1951.00,40.00,4508.00,3727.00,780.00
1954:Q4,2.00,3.00,4595.00,-4.00,80.00,0.00,12.00,1544.00,0.00,112.00,-8.00,1440.00,56.00,1088.00,0.00,1819.00,0.00,44.00,1703.00,72.00,4596.00,3699.00,896.00
1955:Q1,0.00,5.00,4703.00,40.00,84.00,0.00,20.00,1500.00,0.00,240.00,8.00,1252.00,68.00,1140.00,0.00,1851.00,0.00,52.00,1671.00,128.00,4708.00,3703.00,1000.00
1955:Q2,0.00,5.00,4987.00,72.00,92.00,0.00,28.00,1448.00,0.00,416.00,8.00,1024.00,76.00,1288.00,0.00,1983.00,0.00,88.00,1755.00,140.00,4992.00,3827.00,1160.00
1955:Q3,0.00,5.00,5131.00,76.00,92.00,0.00,28.00,1208.00,0.00,388.00,8.00,812.00,88.00,1456.00,0.00,2183.00,0.00,84.00,1919.00,180.00,5136.00,3843.00,1288.00
1955:Q4,0.00,5.00,5051.00,44.00,96.00,0.00,28.00,864.00,0.00,144.00,24.00,696.00,100.00,1616.00,0.00,2303.00,0.00,60.00,2035.00,208.00,5056.00,3731.00,1320.00
1956:Q1,2.00,5.00,5113.00,16.00,96.00,0.00,32.00,976.00,0.00,-92.00,64.00,1004.00,112.00,1784.00,0.00,2097.00,0.00,64.00,1813.00,220.00,5116.00,3657.00,1456.00
1956:Q2,2.00,5.00,5425.00,-8.00,104.00,0.00,40.00,1200.00,0.00,-216.00,4.00,1412.00,128.00,1812.00,0.00,2149.00,0.00,24.00,1825.00,300.00,5428.00,3881.00,1544.00
1956:Q3,2.00,5.00,6141.00,-12.00,108.00,0.00,32.00,1572.00,0.00,-312.00,28.00,1856.00,136.00,1848.00,0.00,2457.00,0.00,28.00,2137.00,292.00,6144.00,4549.00,1592.00
1956:Q4,2.00,5.00,7209.00,4.00,112.00,0.00,32.00,1968.00,0.00,-264.00,16.00,2216.00,136.00,1944.00,0.00,3013.00,0.00,60.00,2749.00,204.00,7212.00,5517.00,1692.00
1957:Q1,2.00,4.00,7994.00,36.00,116.00,0.00,24.00,1964.00,0.00,-296.00,72.00,2188.00,132.00,1972.00,0.00,3750.00,0.00,36.00,3530.00,184.00,7996.00,6326.00,1668.00
1957:Q2,2.00,4.00,8714.00,60.00,120.00,0.00,20.00,1744.00,0.00,-292.00,28.00,2008.00,128.00,2152.00,0.00,4490.00,0.00,88.00,4314.00,88.00,8716.00,6994.00,1720.00
1957:Q3,2.00,4.00,8666.00,60.00,124.00,0.00,20.00,1516.00,0.00,-276.00,40.00,1752.00,132.00,2148.00,0.00,4666.00,0.00,12.00,4510.00,144.00,8668.00,7006.00,1660.00
1957:Q4,2.00,4.00,7898.00,48.00,128.00,0.00,16.00,1328.00,0.00,-296.00,124.00,1500.00,144.00,2180.00,0.00,4054.00,0.00,20.00,3886.00,148.00,7900.00,6298.00,1600.00
1958:Q1,2.00,2.00,6916.00,36.00,136.00,0.00,20.00,1376.00,0.00,-200.00,116.00,1460.00,144.00,2312.00,0.00,2892.00,0.00,60.00,2740.00,92.00,6916.00,5240.00,1676.00
1958:Q2,2.00,2.00,6352.00,28.00,140.00,0.00,12.00,1440.00,0.00,84.00,-124.00,1480.00,144.00,2500.00,0.00,2088.00,0.00,84.00,1956.00,48.00,6352.00,4536.00,1816.00
1958:Q3,2.00,2.00,6412.00,24.00,144.00,0.00,16.00,1540.00,0.00,-4.00,20.00,1524.00,160.00,2752.00,0.00,1776.00,0.00,104.00,1632.00,40.00,6412.00,4380.00,2032.00
1958:Q4,2.00,2.00,7072.00,32.00,152.00,0.00,24.00,1636.00,0.00,80.00,0.00,1556.00,188.00,3056.00,0.00,1984.00,0.00,116.00,1788.00,80.00,7072.00,4776.00,2296.00
1959:Q1,2.00,4.00,7662.00,36.00,156.00,0.00,28.00,1040.00,0.00,100.00,84.00,856.00,216.00,3300.00,0.00,2886.00,0.00,60.00,2654.00,172.00,7664.00,5330.00,2332.00
1959:Q2,2.00,4.00,8614.00,44.00,160.00,0.00,28.00,1572.00,0.00,188.00,140.00,1244.00,240.00,3676.00,0.00,2894.00,0.00,104.00,2618.00,172.00,8616.00,5982.00,2632.00
1959:Q3,2.00,4.00,8918.00,44.00,168.00,0.00,36.00,1428.00,0.00,256.00,64.00,1108.00,260.00,3364.00,0.00,3618.00,0.00,40.00,3326.00,252.00,8920.00,6238.00,2680.00
1959:Q4,2.00,4.00,8854.00,32.00,176.00,0.00,32.00,1908.00,0.00,128.00,16.00,1764.00,272.00,3772.00,0.00,2662.00,0.00,108.00,2350.00,204.00,8856.00,5934.00,2920.00
