1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q1,36.00,1160.00,1636.00,-80.00,-2504.00,-748.00,0.00,-1756.00,0.00,0.00,-176.00,-140.00,16.00,-52.00,36.00,-48.00,0.00,84.00,0.00,0.00
1953:Q2,632.00,252.00,-144.00,-192.00,1140.00,360.00,0.00,780.00,0.00,0.00,-424.00,-128.00,-232.00,-64.00,632.00,-36.00,572.00,96.00,0.00,0.00
1953:Q3,1976.00,-648.00,984.00,656.00,1364.00,380.00,0.00,984.00,0.00,0.00,-380.00,-104.00,-152.00,-124.00,1976.00,-40.00,1668.00,348.00,0.00,0.00
1953:Q4,-6304.00,-520.00,-4724.00,-2424.00,896.00,-676.00,0.00,1572.00,0.00,0.00,468.00,148.00,316.00,4.00,-6304.00,56.00,-6040.00,-320.00,0.00,0.00
1954:Q1,-996.00,1636.00,-72.00,712.00,-3248.00,-1228.00,0.00,-2020.00,0.00,0.00,-24.00,-12.00,-36.00,24.00,-996.00,-4.00,-1196.00,204.00,0.00,0.00
1954:Q2,1332.00,-716.00,-1380.00,80.00,3428.00,552.00,0.00,2876.00,0.00,0.00,-80.00,-60.00,48.00,-68.00,1332.00,0.00,1240.00,92.00,0.00,0.00
1954:Q3,2212.00,632.00,-716.00,1084.00,372.00,-184.00,0.00,556.00,0.00,0.00,840.00,368.00,384.00,88.00,2212.00,360.00,1404.00,448.00,0.00,0.00
1954:Q4,616.00,-764.00,-452.00,-972.00,1664.00,304.00,0.00,1360.00,0.00,0.00,1140.00,500.00,336.00,304.00,616.00,112.00,728.00,-224.00,0.00,0.00
1955:Q1,4208.00,1844.00,2720.00,284.00,-432.00,800.00,0.00,-1232.00,0.00,0.00,-208.00,-36.00,-252.00,80.00,4208.00,-160.00,4336.00,32.00,0.00,0.00
1955:Q2,10072.00,1816.00,4000.00,1616.00,2404.00,1076.00,0.00,1328.00,0.00,0.00,236.00,52.00,16.00,168.00,10072.00,-160.00,10116.00,116.00,0.00,0.00
1955:Q3,6852.00,720.00,3992.00,1388.00,508.00,1380.00,0.00,-872.00,0.00,0.00,244.00,32.00,-72.00,284.00,6852.00,-160.00,6816.00,196.00,0.00,0.00
1955:Q4,9516.00,116.00,4892.00,1016.00,2896.00,452.00,0.00,2444.00,0.00,0.00,596.00,-28.00,344.00,280.00,9516.00,-48.00,10036.00,-472.00,0.00,0.00
1956:Q1,5540.00,40.00,7228.00,380.00,-2092.00,60.00,0.00,-2152.00,0.00,0.00,-16.00,-20.00,-156.00,160.00,5540.00,-4.00,5288.00,256.00,0.00,0.00
1956:Q2,7804.00,-736.00,6832.00,780.00,656.00,372.00,0.00,284.00,0.00,0.00,272.00,68.00,128.00,76.00,7804.00,0.00,7648.00,156.00,0.00,0.00
1956:Q3,2700.00,-1548.00,3284.00,1268.00,-584.00,704.00,0.00,-1288.00,0.00,0.00,280.00,-12.00,64.00,228.00,2700.00,0.00,2096.00,604.00,0.00,0.00
1956:Q4,4396.00,-228.00,2992.00,-256.00,920.00,48.00,0.00,872.00,0.00,0.00,968.00,256.00,448.00,264.00,4396.00,100.00,4744.00,-448.00,0.00,0.00
1957:Q1,2020.00,3136.00,2156.00,-12.00,-3256.00,-844.00,0.00,-2412.00,0.00,0.00,-4.00,-92.00,24.00,64.00,2020.00,0.00,1920.00,100.00,0.00,0.00
1957:Q2,8356.00,1192.00,5648.00,344.00,884.00,-352.00,0.00,1236.00,0.00,0.00,288.00,180.00,68.00,40.00,8356.00,-100.00,8332.00,124.00,0.00,0.00
1957:Q3,-112.00,-404.00,-512.00,216.00,220.00,8.00,0.00,212.00,0.00,0.00,368.00,348.00,-128.00,148.00,-112.00,24.00,-424.00,288.00,0.00,0.00
1957:Q4,-1572.00,-2376.00,-2404.00,1272.00,1320.00,-112.00,0.00,1432.00,0.00,0.00,616.00,276.00,-4.00,344.00,-1572.00,-8.00,-976.00,-588.00,0.00,0.00
1958:Q1,-3540.00,-828.00,-2652.00,-312.00,76.00,456.00,0.00,-380.00,0.00,0.00,176.00,104.00,-188.00,260.00,-3540.00,-20.00,-3904.00,384.00,0.00,0.00
1958:Q2,4272.00,-2660.00,32.00,812.00,5216.00,456.00,0.00,4760.00,0.00,0.00,872.00,380.00,356.00,136.00,4272.00,0.00,4068.00,204.00,0.00,0.00
1958:Q3,-4924.00,1152.00,156.00,248.00,-7192.00,-1144.00,0.00,-6048.00,0.00,0.00,712.00,404.00,48.00,260.00,-4924.00,4.00,-5384.00,456.00,0.00,0.00
1958:Q4,9004.00,1020.00,1184.00,1472.00,4924.00,2060.00,0.00,2864.00,0.00,0.00,404.00,-32.00,132.00,304.00,9004.00,68.00,9592.00,-656.00,0.00,0.00
1959:Q1,1760.00,1256.00,1460.00,492.00,-1044.00,2056.00,0.00,-3100.00,0.00,0.00,-404.00,-376.00,-16.00,-12.00,1760.00,0.00,1268.00,492.00,0.00,0.00
1959:Q2,12072.00,-392.00,7944.00,1288.00,2980.00,2172.00,0.00,808.00,0.00,0.00,252.00,0.00,112.00,140.00,12072.00,-4.00,12100.00,-24.00,0.00,0.00
1959:Q3,9696.00,1940.00,3500.00,1216.00,2752.00,2024.00,0.00,728.00,0.00,0.00,288.00,80.00,-36.00,244.00,9696.00,-64.00,9256.00,504.00,0.00,0.00
1959:Q4,10380.00,-2064.00,1588.00,1224.00,8912.00,1136.00,0.00,7776.00,0.00,0.00,720.00,280.00,204.00,236.00,10380.00,16.00,10912.00,-548.00,0.00,0.00
1960:Q1,3640.00,1860.00,5344.00,548.00,-3632.00,-268.00,0.00,-3364.00,0.00,0.00,-480.00,-112.00,-124.00,-244.00,3640.00,60.00,3256.00,324.00,0.00,0.00
1960:Q2,6648.00,796.00,3344.00,396.00,2276.00,232.00,0.00,2044.00,0.00,0.00,-164.00,-240.00,-48.00,124.00,6648.00,-80.00,6628.00,100.00,0.00,0.00
1960:Q3,328.00,676.00,164.00,212.00,-860.00,-2320.00,0.00,1460.00,0.00,0.00,136.00,-48.00,100.00,84.00,328.00,76.00,-352.00,604.00,0.00,0.00
1960:Q4,1820.00,-540.00,-4.00,904.00,356.00,140.00,0.00,216.00,0.00,0.00,1104.00,292.00,244.00,568.00,1820.00,-44.00,2156.00,-292.00,0.00,0.00
1961:Q1,1104.00,3528.00,3672.00,440.00,-6564.00,-5784.00,0.00,-780.00,0.00,0.00,28.00,-48.00,168.00,-92.00,1104.00,0.00,-1076.00,2180.00,0.00,0.00
1961:Q2,288.00,1600.00,-1912.00,-164.00,-4.00,-392.00,0.00,388.00,0.00,0.00,768.00,-40.00,224.00,584.00,288.00,-28.00,-116.00,432.00,0.00,0.00
1961:Q3,6792.00,816.00,904.00,872.00,3996.00,1200.00,0.00,2796.00,0.00,0.00,204.00,-184.00,88.00,300.00,6792.00,4.00,7200.00,-412.00,0.00,0.00
1961:Q4,9632.00,-2424.00,1072.00,1256.00,7848.00,3604.00,0.00,4244.00,0.00,0.00,1880.00,780.00,472.00,628.00,9632.00,52.00,10356.00,-776.00,0.00,0.00
1962:Q1,4924.00,6572.00,2144.00,548.00,-5896.00,-4472.00,0.00,-1424.00,0.00,0.00,1556.00,528.00,600.00,428.00,4924.00,200.00,4868.00,-144.00,0.00,0.00
1962:Q2,1028.00,-4056.00,4260.00,1004.00,-240.00,3020.00,0.00,-3260.00,0.00,0.00,60.00,320.00,36.00,-296.00,1028.00,-128.00,1936.00,-780.00,0.00,0.00
1962:Q3,9708.00,2544.00,4372.00,948.00,2024.00,568.00,0.00,1456.00,0.00,0.00,-180.00,-148.00,-256.00,224.00,9708.00,-88.00,9352.00,444.00,0.00,0.00
1962:Q4,13176.00,-3228.00,3788.00,1956.00,10444.00,3480.00,0.00,6964.00,0.00,0.00,216.00,-520.00,552.00,184.00,13176.00,-40.00,13420.00,-204.00,0.00,0.00
1963:Q1,1956.00,5476.00,2480.00,116.00,-5428.00,-3040.00,0.00,-2388.00,0.00,0.00,-688.00,-476.00,-308.00,96.00,1956.00,116.00,892.00,948.00,0.00,0.00
1963:Q2,5328.00,-2552.00,2216.00,1232.00,3936.00,2364.00,0.00,1572.00,0.00,0.00,496.00,-136.00,16.00,616.00,5328.00,-120.00,4940.00,508.00,0.00,0.00
1963:Q3,11508.00,1204.00,3580.00,812.00,5260.00,2348.00,0.00,2912.00,0.00,0.00,652.00,144.00,112.00,396.00,11508.00,120.00,10696.00,692.00,0.00,0.00
1963:Q4,12868.00,-2740.00,5420.00,2468.00,5768.00,4044.00,0.00,1724.00,0.00,0.00,1952.00,-20.00,844.00,1128.00,12868.00,8.00,13192.00,-332.00,0.00,0.00
1964:Q1,-2012.00,6124.00,2344.00,516.00,-12448.00,-4880.00,0.00,-7568.00,0.00,0.00,1452.00,-96.00,740.00,808.00,-2012.00,-128.00,-2188.00,304.00,0.00,0.00
1964:Q2,15344.00,-4196.00,3996.00,852.00,13788.00,4832.00,0.00,8956.00,0.00,0.00,904.00,-288.00,368.00,824.00,15344.00,0.00,15140.00,204.00,0.00,0.00
1964:Q3,1452.00,-760.00,5956.00,944.00,-6256.00,-2368.00,0.00,-3888.00,0.00,0.00,1568.00,-8.00,712.00,864.00,1452.00,8.00,1368.00,76.00,0.00,0.00
1964:Q4,20132.00,4472.00,6976.00,676.00,6016.00,2256.00,0.00,3760.00,0.00,0.00,1992.00,440.00,176.00,1376.00,20132.00,112.00,20532.00,-512.00,0.00,0.00
1965:Q1,14236.00,636.00,13840.00,1704.00,-5636.00,-2028.00,0.00,-3608.00,0.00,0.00,3692.00,540.00,1188.00,1964.00,14236.00,-60.00,13952.00,344.00,0.00,0.00
1965:Q2,12852.00,-8460.00,8632.00,1472.00,12792.00,7380.00,0.00,5412.00,0.00,0.00,-1584.00,-160.00,-732.00,-692.00,12852.00,-16.00,13084.00,-216.00,0.00,0.00
1965:Q3,4248.00,-40.00,9608.00,1312.00,-6620.00,2028.00,0.00,-8648.00,0.00,0.00,-12.00,156.00,-140.00,-28.00,4248.00,-16.00,3948.00,316.00,0.00,0.00
1965:Q4,31692.00,6092.00,11428.00,1788.00,12124.00,5892.00,0.00,6232.00,0.00,0.00,260.00,-36.00,284.00,12.00,31692.00,136.00,32636.00,-1080.00,0.00,0.00
1966:Q1,328.00,-3704.00,9548.00,2164.00,-6940.00,-3244.00,0.00,-3696.00,0.00,0.00,-740.00,-440.00,-328.00,28.00,328.00,-84.00,248.00,164.00,0.00,0.00
1966:Q2,22188.00,-3200.00,13752.00,2804.00,8948.00,4800.00,0.00,4148.00,0.00,0.00,-116.00,132.00,-124.00,-124.00,22188.00,-60.00,22164.00,84.00,0.00,0.00
1966:Q3,-2692.00,-732.00,10720.00,672.00,-13480.00,-6040.00,0.00,-7440.00,0.00,0.00,128.00,-120.00,512.00,-264.00,-2692.00,40.00,-3160.00,428.00,0.00,0.00
1966:Q4,25804.00,10320.00,276.00,3360.00,11320.00,1956.00,0.00,9364.00,0.00,0.00,528.00,12.00,464.00,52.00,25804.00,-60.00,24780.00,1084.00,0.00,0.00
1967:Q1,-8476.00,-6428.00,8080.00,392.00,-10100.00,-7156.00,0.00,-2944.00,0.00,0.00,-420.00,-288.00,-176.00,44.00,-8476.00,40.00,-8704.00,188.00,0.00,0.00
1967:Q2,2032.00,-8580.00,7916.00,1992.00,2108.00,4104.00,0.00,-1996.00,0.00,0.00,-1404.00,12.00,-660.00,-756.00,2032.00,20.00,1896.00,116.00,0.00,0.00
1967:Q3,6272.00,-2172.00,3524.00,400.00,3988.00,-312.00,0.00,4300.00,0.00,0.00,532.00,316.00,-32.00,248.00,6272.00,-60.00,6204.00,128.00,0.00,0.00
1967:Q4,64844.00,49336.00,6700.00,2656.00,6336.00,1916.00,0.00,4420.00,0.00,0.00,-184.00,20.00,-792.00,588.00,64844.00,0.00,64724.00,120.00,0.00,0.00
1968:Q1,-42960.00,-38116.00,5656.00,464.00,-10144.00,-8020.00,420.00,-2544.00,0.00,0.00,-820.00,-192.00,-104.00,-524.00,-42960.00,60.00,-43388.00,368.00,0.00,0.00
1968:Q2,8632.00,-7212.00,9784.00,2500.00,3852.00,6284.00,408.00,-2840.00,0.00,0.00,-292.00,-284.00,284.00,-292.00,8632.00,-8.00,7940.00,700.00,0.00,0.00
1968:Q3,13660.00,952.00,9324.00,368.00,2996.00,-1556.00,512.00,4040.00,0.00,0.00,20.00,-152.00,456.00,-284.00,13660.00,-52.00,13340.00,372.00,0.00,0.00
1968:Q4,47520.00,17992.00,14584.00,2520.00,12928.00,7720.00,924.00,4284.00,0.00,0.00,-504.00,-176.00,-396.00,68.00,47520.00,0.00,47436.00,84.00,0.00,0.00
1969:Q1,-5932.00,-14132.00,11824.00,2944.00,-6112.00,-4064.00,236.00,-2284.00,0.00,0.00,-456.00,-56.00,168.00,-568.00,-5932.00,0.00,-6652.00,720.00,0.00,0.00
1969:Q2,14564.00,-8352.00,12584.00,3180.00,7164.00,8872.00,340.00,-2048.00,0.00,0.00,-12.00,36.00,468.00,-516.00,14564.00,0.00,13416.00,1148.00,0.00,0.00
1969:Q3,1008.00,1088.00,5120.00,2944.00,-6960.00,-7672.00,264.00,448.00,0.00,0.00,-1184.00,-288.00,-112.00,-784.00,1008.00,0.00,-452.00,1460.00,0.00,0.00
1969:Q4,42016.00,22544.00,8696.00,1920.00,8260.00,6856.00,716.00,688.00,0.00,0.00,596.00,272.00,240.00,84.00,42016.00,0.00,40428.00,1588.00,0.00,0.00
1970:Q1,-5376.00,4492.00,-384.00,-60.00,-9516.00,-4572.00,-656.00,-4288.00,0.00,0.00,92.00,192.00,12.00,-112.00,-5376.00,160.00,-9816.00,4280.00,0.00,0.00
1970:Q2,5824.00,-8068.00,7124.00,1276.00,5912.00,10080.00,424.00,-4592.00,0.00,0.00,-420.00,-36.00,-456.00,72.00,5824.00,200.00,3512.00,2112.00,0.00,0.00
1970:Q3,24220.00,6892.00,12788.00,-144.00,4516.00,-64.00,-12.00,4592.00,0.00,0.00,168.00,-632.00,816.00,-16.00,24220.00,-360.00,20580.00,4000.00,0.00,0.00
1970:Q4,9296.00,-3572.00,4640.00,580.00,8308.00,3196.00,556.00,4556.00,0.00,0.00,-660.00,-92.00,-628.00,60.00,9296.00,0.00,9836.00,-540.00,0.00,0.00
1971:Q1,5056.00,4816.00,-180.00,2312.00,-1220.00,-884.00,1020.00,-1356.00,0.00,0.00,-672.00,-88.00,-1188.00,604.00,5056.00,0.00,5284.00,-228.00,0.00,0.00
1971:Q2,10776.00,-3332.00,5864.00,2552.00,5300.00,6200.00,512.00,-1412.00,0.00,0.00,392.00,84.00,-288.00,596.00,10776.00,0.00,8948.00,1828.00,0.00,0.00
1971:Q3,16376.00,3564.00,12920.00,60.00,-3660.00,-7868.00,796.00,3412.00,0.00,0.00,3492.00,320.00,2100.00,1072.00,16376.00,0.00,15440.00,936.00,0.00,0.00
1971:Q4,13256.00,-4776.00,-768.00,3776.00,10236.00,6348.00,80.00,3808.00,0.00,0.00,4788.00,416.00,2872.00,1500.00,13256.00,0.00,13756.00,-500.00,0.00,0.00
1972:Q1,26072.00,5504.00,11704.00,1992.00,5132.00,-96.00,1836.00,3392.00,0.00,0.00,1740.00,20.00,456.00,1264.00,26072.00,0.00,22980.00,3092.00,0.00,0.00
1972:Q2,17356.00,-2192.00,7488.00,4048.00,7320.00,3656.00,484.00,3180.00,0.00,0.00,692.00,292.00,-1116.00,1516.00,17356.00,0.00,17104.00,252.00,0.00,0.00
1972:Q3,32604.00,1216.00,17180.00,-324.00,9016.00,2804.00,-208.00,6420.00,0.00,0.00,5516.00,220.00,3348.00,1948.00,32604.00,0.00,29452.00,3152.00,0.00,0.00
1972:Q4,45648.00,-2108.00,14368.00,5308.00,24056.00,13456.00,3228.00,7372.00,0.00,0.00,4024.00,252.00,1516.00,2256.00,45648.00,0.00,49144.00,-3496.00,0.00,0.00
1973:Q1,69952.00,18996.00,47468.00,6676.00,-6852.00,-1900.00,4180.00,-9132.00,0.00,0.00,3664.00,88.00,2596.00,980.00,69952.00,0.00,66468.00,3484.00,0.00,0.00
1973:Q2,32844.00,-8104.00,23572.00,6980.00,5948.00,9836.00,3912.00,-7800.00,0.00,0.00,4448.00,636.00,1768.00,2044.00,32844.00,0.00,30748.00,2096.00,0.00,0.00
1973:Q3,40188.00,12868.00,23220.00,7796.00,-784.00,-1412.00,1840.00,-1212.00,0.00,0.00,-2912.00,-52.00,-776.00,-2084.00,40188.00,0.00,36772.00,3416.00,0.00,0.00
1973:Q4,21688.00,-10648.00,5544.00,9212.00,11920.00,7432.00,3508.00,980.00,0.00,0.00,5660.00,1080.00,2812.00,1768.00,21688.00,0.00,16920.00,4768.00,0.00,0.00
1974:Q1,42680.00,6796.00,27392.00,9532.00,-6920.00,-5808.00,4348.00,-6260.00,800.00,0.00,5880.00,1060.00,5168.00,-348.00,42680.00,0.00,40920.00,1760.00,0.00,0.00
1974:Q2,58996.00,260.00,31952.00,9632.00,3956.00,3236.00,4808.00,-4888.00,800.00,0.00,13196.00,1216.00,8184.00,3796.00,58996.00,0.00,47512.00,11484.00,0.00,0.00
1974:Q3,33296.00,10768.00,21400.00,8168.00,-3208.00,-6472.00,3124.00,-660.00,800.00,0.00,-3832.00,-248.00,-3852.00,268.00,33296.00,0.00,31364.00,1932.00,0.00,0.00
1974:Q4,20124.00,1264.00,7020.00,5876.00,2584.00,396.00,720.00,668.00,800.00,0.00,3380.00,-968.00,2964.00,1384.00,20124.00,0.00,10588.00,9536.00,0.00,0.00
1975:Q1,-31432.00,10396.00,-22192.00,4524.00,-19232.00,-17136.00,-2044.00,-852.00,800.00,0.00,-4928.00,24.00,-6072.00,1120.00,-31432.00,0.00,-30116.00,-1316.00,0.00,0.00
1975:Q2,-11464.00,-364.00,-18680.00,1840.00,-2268.00,2268.00,-5840.00,104.00,1200.00,0.00,8008.00,228.00,5184.00,2596.00,-11464.00,0.00,-12896.00,1432.00,0.00,0.00
1975:Q3,-4948.00,10100.00,-7396.00,3276.00,-18912.00,-18128.00,-5524.00,3540.00,1200.00,0.00,7984.00,596.00,3944.00,3444.00,-4948.00,0.00,-6424.00,1476.00,0.00,0.00
1975:Q4,-600.00,332.00,-8224.00,4240.00,-1320.00,-2796.00,-3712.00,3588.00,1600.00,0.00,4372.00,188.00,1308.00,2876.00,-600.00,0.00,-3572.00,2972.00,0.00,0.00
1976:Q1,-4204.00,6712.00,-13916.00,5192.00,-6012.00,-752.00,-2140.00,-3520.00,400.00,0.00,3820.00,468.00,3028.00,324.00,-4204.00,0.00,-6608.00,2404.00,0.00,0.00
1976:Q2,18412.00,-76.00,972.00,5092.00,5060.00,-380.00,-1856.00,6896.00,400.00,0.00,7364.00,340.00,5068.00,1956.00,18412.00,0.00,13284.00,5128.00,0.00,0.00
1976:Q3,1724.00,-1824.00,4384.00,4744.00,-3548.00,-6496.00,-1256.00,3804.00,400.00,0.00,-2032.00,-292.00,-2400.00,660.00,1724.00,0.00,1640.00,84.00,0.00,0.00
1976:Q4,36636.00,-5640.00,628.00,6804.00,16892.00,7696.00,-2348.00,11416.00,128.00,0.00,17952.00,3048.00,11100.00,3804.00,36636.00,0.00,28692.00,7944.00,0.00,0.00
1977:Q1,26908.00,19488.00,21784.00,7960.00,-12424.00,-4468.00,-2088.00,-5740.00,-128.00,0.00,-9900.00,-1784.00,-7420.00,-696.00,26908.00,0.00,30632.00,-3724.00,0.00,0.00
1977:Q2,19004.00,-6928.00,13936.00,9028.00,1564.00,1636.00,-2392.00,1920.00,400.00,0.00,1404.00,908.00,1920.00,-1424.00,19004.00,0.00,12944.00,6060.00,0.00,0.00
1977:Q3,41772.00,320.00,11552.00,7980.00,13252.00,7108.00,-1120.00,6864.00,400.00,0.00,8668.00,528.00,6368.00,1772.00,41772.00,0.00,33700.00,8072.00,0.00,0.00
1977:Q4,38328.00,-11892.00,13548.00,8320.00,16308.00,9592.00,-520.00,6892.00,344.00,0.00,12044.00,676.00,9732.00,1636.00,38328.00,0.00,27924.00,10404.00,0.00,0.00
1978:Q1,54676.00,12992.00,43860.00,11912.00,-17780.00,-6500.00,-600.00,-10736.00,56.00,0.00,3692.00,168.00,2548.00,976.00,54676.00,0.00,41864.00,12812.00,0.00,0.00
1978:Q2,49300.00,-1544.00,16152.00,16168.00,12620.00,8976.00,-1472.00,4716.00,400.00,0.00,5904.00,-324.00,2356.00,3872.00,49300.00,0.00,34972.00,14328.00,0.00,0.00
1978:Q3,35492.00,-2524.00,1060.00,17796.00,68.00,-200.00,-504.00,-28.00,800.00,0.00,19092.00,2836.00,8000.00,8256.00,35492.00,0.00,20352.00,15140.00,0.00,0.00
1978:Q4,82200.00,-5312.00,19016.00,16216.00,7900.00,11080.00,-264.00,-4436.00,1520.00,0.00,44380.00,5848.00,25188.00,13344.00,82200.00,0.00,51508.00,30692.00,0.00,0.00
1979:Q1,37848.00,8240.00,36008.00,15652.00,-8232.00,-3428.00,-240.00,-8244.00,3680.00,0.00,-13820.00,3224.00,-14992.00,-2052.00,37848.00,0.00,29996.00,7852.00,0.00,0.00
1979:Q2,65644.00,-12016.00,28632.00,16448.00,24584.00,11660.00,-320.00,9644.00,3600.00,0.00,7996.00,-3276.00,5888.00,5384.00,65644.00,0.00,39944.00,25700.00,0.00,0.00
1979:Q3,81776.00,-4328.00,35208.00,16452.00,7596.00,8904.00,-360.00,-4548.00,3600.00,0.00,26848.00,9968.00,7824.00,9056.00,81776.00,0.00,53384.00,28392.00,0.00,0.00
1979:Q4,19556.00,-12204.00,24612.00,14376.00,1576.00,328.00,-400.00,-928.00,2576.00,0.00,-8804.00,-1384.00,-15060.00,7640.00,19556.00,0.00,28936.00,-9380.00,0.00,0.00
1980:Q1,27416.00,5516.00,34512.00,3608.00,-5252.00,-1024.00,-120.00,-6732.00,2624.00,0.00,-10968.00,2268.00,-8548.00,-4688.00,27416.00,0.00,22956.00,4196.00,264.00,0.00
1980:Q2,-5568.00,-892.00,-16912.00,-3076.00,2252.00,-544.00,-196.00,192.00,2800.00,0.00,13060.00,5416.00,5804.00,1840.00,-5568.00,0.00,-22752.00,16796.00,388.00,0.00
1980:Q3,53244.00,-2220.00,37260.00,2008.00,-2508.00,2888.00,-164.00,-8032.00,2800.00,0.00,18704.00,3096.00,10160.00,5448.00,53244.00,0.00,40996.00,11784.00,464.00,0.00
1980:Q4,106220.00,-5892.00,63764.00,9056.00,12968.00,2428.00,-120.00,8412.00,2248.00,0.00,26324.00,7396.00,11296.00,7632.00,106220.00,0.00,78756.00,26980.00,484.00,0.00
