1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,409.00,170.00,28180.00,-28010.00,0.00,239.00,-471.00,0.00,0.00,710.00,0.00,409.00,-1074.00,-471.00,-603.00,783.00,0.00,480.00,0.00,480.00,2879.00,9615.00,-6736.00,-1414.00,75.00,-42.00,10.00,164.00,0.00,164.00,-2452.00,0.00,-2452.00,100.00,75.00,25.00,710.00,710.00,0.00,420.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,55.00,0.00,-273.00,0.00,-22.00,0.00,-22.00
1952:Q1,11496.00,10780.00,-4952.00,15732.00,0.00,716.00,0.00,0.00,0.00,716.00,0.00,11496.00,3828.00,0.00,3828.00,-3164.00,0.00,1392.00,0.00,1392.00,-992.00,-5532.00,4540.00,9824.00,124.00,0.00,8.00,112.00,0.00,112.00,-864.00,0.00,-864.00,168.00,124.00,44.00,716.00,716.00,0.00,608.00,0.00,0.00,0.00,32.00,0.00,32.00,12.00,0.00,548.00,0.00,-488.00,0.00,-368.00,0.00,-368.00
1952:Q2,2652.00,2188.00,-1200.00,3388.00,0.00,464.00,-284.00,0.00,0.00,748.00,0.00,2652.00,5680.00,-284.00,5964.00,-4908.00,0.00,1840.00,0.00,1840.00,-388.00,1568.00,-1956.00,-2536.00,152.00,28.00,4.00,-388.00,0.00,-388.00,-1820.00,0.00,-1820.00,-16.00,-12.00,-4.00,748.00,748.00,0.00,312.00,0.00,0.00,0.00,16.00,0.00,16.00,16.00,0.00,-276.00,0.00,3720.00,0.00,468.00,0.00,468.00
1952:Q3,3856.00,1864.00,-2688.00,4552.00,0.00,1992.00,64.00,0.00,0.00,1928.00,0.00,3856.00,-960.00,64.00,-1024.00,1532.00,0.00,312.00,0.00,312.00,2900.00,2748.00,152.00,-1728.00,-184.00,32.00,4.00,1380.00,0.00,1380.00,368.00,0.00,368.00,-60.00,-44.00,-16.00,1928.00,1928.00,0.00,660.00,0.00,0.00,0.00,12.00,0.00,12.00,16.00,0.00,-52.00,0.00,-3764.00,0.00,1460.00,0.00,1460.00
1952:Q4,5764.00,4736.00,-26180.00,30916.00,0.00,1028.00,588.00,0.00,0.00,440.00,0.00,5764.00,-696.00,588.00,-1284.00,2516.00,0.00,1280.00,0.00,1280.00,200.00,-28604.00,28804.00,796.00,80.00,16.00,8.00,324.00,0.00,324.00,-812.00,0.00,-812.00,44.00,32.00,12.00,440.00,440.00,0.00,244.00,0.00,0.00,0.00,-56.00,0.00,-56.00,16.00,0.00,48.00,0.00,2116.00,0.00,-800.00,0.00,-800.00
1953:Q1,4160.00,2204.00,-13020.00,15224.00,0.00,1956.00,1392.00,0.00,0.00,564.00,0.00,4160.00,-1204.00,1392.00,-2596.00,2068.00,0.00,1152.00,0.00,1152.00,1464.00,-908.00,2372.00,432.00,-120.00,0.00,4.00,412.00,0.00,412.00,-528.00,0.00,-528.00,136.00,104.00,32.00,564.00,564.00,0.00,364.00,0.00,0.00,0.00,40.00,0.00,40.00,16.00,0.00,800.00,0.00,-2004.00,0.00,564.00,0.00,564.00
1953:Q2,4816.00,5392.00,1564.00,3828.00,0.00,-576.00,-1052.00,0.00,0.00,476.00,0.00,4816.00,16684.00,-1052.00,17736.00,-6840.00,0.00,648.00,0.00,648.00,2116.00,3648.00,-1532.00,-9288.00,32.00,-8.00,4.00,28.00,0.00,28.00,-120.00,0.00,-120.00,216.00,160.00,56.00,476.00,476.00,0.00,760.00,0.00,0.00,0.00,-24.00,0.00,-24.00,12.00,0.00,-484.00,0.00,-252.00,0.00,856.00,0.00,856.00
1953:Q3,17140.00,16412.00,41264.00,-24852.00,0.00,728.00,20.00,0.00,0.00,708.00,0.00,17140.00,-6312.00,20.00,-6332.00,7112.00,0.00,504.00,0.00,504.00,2096.00,5488.00,-3392.00,10104.00,-28.00,-12.00,4.00,292.00,0.00,292.00,-412.00,0.00,-412.00,212.00,160.00,52.00,708.00,708.00,0.00,700.00,0.00,0.00,0.00,28.00,0.00,28.00,16.00,0.00,72.00,0.00,1124.00,0.00,932.00,0.00,932.00
1953:Q4,-2424.00,-3228.00,80.00,-3308.00,0.00,804.00,432.00,0.00,0.00,372.00,0.00,-2424.00,-6572.00,432.00,-7004.00,4032.00,0.00,912.00,0.00,912.00,-544.00,2472.00,-3016.00,-1252.00,76.00,-12.00,12.00,272.00,0.00,272.00,-632.00,0.00,-632.00,64.00,48.00,16.00,372.00,372.00,0.00,120.00,0.00,0.00,0.00,-48.00,0.00,-48.00,16.00,0.00,-12.00,0.00,856.00,0.00,-84.00,0.00,-84.00
1954:Q1,-2396.00,-2992.00,-22028.00,19036.00,0.00,596.00,200.00,0.00,0.00,396.00,0.00,-2396.00,1012.00,200.00,812.00,-5412.00,0.00,240.00,0.00,240.00,320.00,-1804.00,2124.00,-760.00,-48.00,8.00,8.00,-156.00,0.00,-156.00,-436.00,0.00,-436.00,64.00,48.00,16.00,396.00,396.00,0.00,732.00,0.00,0.00,0.00,76.00,0.00,76.00,16.00,0.00,1248.00,0.00,-788.00,0.00,1084.00,0.00,1084.00
