1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,458639.00,22667.00,0.00,4553.00,0.00,23956.00,4339.00,285.00,0.00,281.00,182424.00,654.00,127572.00,1825.00,14125.00,38248.00,120615.00,33138.00,9283.00,61315.00,16879.00,10934.00,0.00,850.00,0.00,412.00,87323.00,430379.00,24003.00,132149.00,76849.00,0.00,16.00,5324.00,1559.00,2098.00,1667.00,6827.00,5023.00,1804.00,0.00,3482.00,90.00,51635.00,108809.00,1098.00,998.00,19099.00,50063.00,0.00
1952:Q1,463737.00,23260.00,0.00,4575.00,0.00,23563.00,4275.00,654.00,0.00,625.00,182439.00,712.00,126020.00,1703.00,14599.00,39405.00,121437.00,32772.00,8921.00,62834.00,16910.00,12211.00,0.00,876.00,0.00,412.00,89410.00,435312.00,23751.00,130528.00,78610.00,0.00,240.00,5325.00,1781.00,1986.00,1558.00,6198.00,4861.00,1337.00,0.00,3612.00,100.00,52288.00,112851.00,1339.00,1000.00,19470.00,50222.00,0.00
1952:Q2,473339.00,23316.00,0.00,4598.00,0.00,22402.00,4357.00,670.00,0.00,570.00,185037.00,634.00,126997.00,1575.00,15052.00,40779.00,126230.00,33707.00,9193.00,64880.00,18450.00,12664.00,0.00,901.00,0.00,424.00,92170.00,444363.00,22498.00,132121.00,80959.00,0.00,43.00,5648.00,1923.00,2085.00,1640.00,7244.00,5896.00,1348.00,0.00,3696.00,100.00,52976.00,116622.00,1256.00,1008.00,20192.00,50363.00,0.00
1952:Q3,485188.00,23311.00,0.00,4625.00,0.00,24204.00,4347.00,687.00,0.00,1075.00,188351.00,690.00,128303.00,1953.00,15398.00,42007.00,129373.00,33622.00,9382.00,67000.00,19369.00,13012.00,0.00,925.00,0.00,437.00,94841.00,455639.00,24752.00,134018.00,82465.00,0.00,428.00,5880.00,2090.00,2178.00,1612.00,6773.00,5381.00,1392.00,0.00,3837.00,140.00,53707.00,120444.00,1421.00,1016.00,20758.00,50476.00,0.00
1952:Q4,499097.00,23157.00,0.00,4656.00,0.00,23797.00,4457.00,704.00,0.00,856.00,193068.00,702.00,131161.00,2180.00,15776.00,43249.00,135527.00,35892.00,9895.00,68939.00,20801.00,13866.00,0.00,948.00,0.00,460.00,97601.00,468493.00,23817.00,138678.00,85041.00,0.00,50.00,5752.00,1915.00,2155.00,1682.00,8275.00,6697.00,1578.00,0.00,3932.00,150.00,54480.00,124409.00,1434.00,1055.00,21420.00,50591.00,0.00
1953:Q1,502728.00,22531.00,0.00,4670.00,0.00,24198.00,4328.00,721.00,0.00,1258.00,191403.00,652.00,127628.00,2135.00,16367.00,44621.00,137775.00,35214.00,9971.00,70518.00,22072.00,13823.00,0.00,967.00,0.00,473.00,100581.00,471934.00,24235.00,134481.00,87021.00,0.00,627.00,6196.00,2070.00,2051.00,2075.00,7419.00,6071.00,1348.00,0.00,3867.00,160.00,55246.00,128324.00,1276.00,1064.00,22018.00,50705.00,0.00
1953:Q2,507979.00,22433.00,0.00,4698.00,0.00,22806.00,4314.00,740.00,0.00,796.00,191633.00,536.00,127066.00,1699.00,16559.00,45773.00,142035.00,35336.00,10383.00,72949.00,23367.00,13964.00,0.00,983.00,0.00,487.00,103090.00,476757.00,22867.00,132531.00,89868.00,0.00,48.00,6641.00,1951.00,2066.00,2624.00,7713.00,6356.00,1357.00,0.00,3778.00,170.00,55988.00,132392.00,1162.00,1077.00,22522.00,50807.00,0.00
1953:Q3,521504.00,22098.00,0.00,4716.00,0.00,22973.00,4435.00,758.00,0.00,983.00,198101.00,617.00,131653.00,1907.00,17029.00,46895.00,145603.00,35784.00,10475.00,75207.00,24137.00,14207.00,0.00,996.00,0.00,502.00,106132.00,489872.00,23407.00,136105.00,91503.00,0.00,237.00,7325.00,2229.00,2185.00,2911.00,8161.00,6697.00,1464.00,0.00,3753.00,180.00,56701.00,136525.00,1403.00,1089.00,23483.00,50921.00,0.00
1953:Q4,533814.00,21987.00,0.00,4738.00,0.00,23620.00,4656.00,777.00,0.00,784.00,203799.00,723.00,133471.00,3742.00,17841.00,48022.00,147321.00,34977.00,10544.00,77293.00,24507.00,15181.00,0.00,1006.00,0.00,518.00,109427.00,501175.00,23430.00,138710.00,94270.00,0.00,41.00,7438.00,2222.00,2159.00,3057.00,8581.00,6921.00,1660.00,0.00,4146.00,180.00,57388.00,140617.00,1903.00,1094.00,23377.00,50992.00,0.00
1954:Q1,535474.00,21929.00,0.00,4779.00,0.00,22491.00,4460.00,799.00,0.00,691.00,202853.00,861.00,129791.00,4138.00,18783.00,49280.00,147385.00,34028.00,10430.00,79093.00,23834.00,16251.00,0.00,1017.00,0.00,533.00,112286.00,502020.00,21910.00,133696.00,96947.00,0.00,78.00,7478.00,2454.00,1932.00,3092.00,7525.00,6109.00,1416.00,0.00,4512.00,190.00,58093.00,144626.00,1666.00,1107.00,24192.00,51146.00,0.00
