1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,9514.00,8806.00,0.00,336.00,217.00,47.00,100.00,8.00,9614.00,9114.00,500.00,-100.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16929.00,16061.00,0.00,453.00,162.00,76.00,165.00,12.00,17015.00,16515.00,500.00,-86.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,15537.00,14150.00,0.00,475.00,145.00,434.00,283.00,50.00,6203.00,5649.00,554.00,9334.00
1960:Q1,14203.00,12817.00,0.00,595.00,118.00,376.00,261.00,36.00,5571.00,5000.00,571.00,8632.00
1960:Q2,13391.00,11903.00,0.00,772.00,111.00,337.00,235.00,33.00,5582.00,5000.00,582.00,7809.00
1960:Q3,13743.00,11795.00,0.00,1137.00,124.00,383.00,265.00,39.00,5567.00,5000.00,567.00,8176.00
1960:Q4,14924.00,12560.00,0.00,1474.00,139.00,418.00,285.00,48.00,5553.00,5000.00,553.00,9371.00
1961:Q1,13223.00,10921.00,0.00,1381.00,133.00,424.00,297.00,67.00,5555.00,5037.00,518.00,7668.00
1961:Q2,12313.00,10584.00,0.00,969.00,105.00,357.00,237.00,61.00,5574.00,5037.00,537.00,6739.00
1961:Q3,13156.00,11557.00,0.00,788.00,109.00,379.00,252.00,71.00,5601.00,5037.00,564.00,7555.00
1961:Q4,14666.00,13274.00,0.00,582.00,106.00,386.00,255.00,63.00,5680.00,5037.00,643.00,8986.00
1962:Q1,14624.00,12916.00,0.00,713.00,130.00,495.00,304.00,66.00,6277.00,5661.00,616.00,8347.00
1962:Q2,14611.00,13001.00,0.00,746.00,114.00,429.00,283.00,38.00,6300.00,5661.00,639.00,8311.00
1962:Q3,15911.00,13996.00,0.00,979.00,122.00,471.00,310.00,33.00,6312.00,5661.00,651.00,9599.00
1962:Q4,16302.00,14355.00,0.00,1078.00,114.00,440.00,287.00,28.00,6331.00,5661.00,670.00,9971.00
1963:Q1,15799.00,13596.00,0.00,1181.00,92.00,613.00,277.00,40.00,7495.00,6850.00,645.00,8304.00
1963:Q2,15416.00,13743.00,0.00,883.00,63.00,452.00,235.00,40.00,7533.00,6850.00,683.00,7883.00
1963:Q3,16422.00,14713.00,0.00,863.00,93.00,443.00,258.00,52.00,7550.00,6850.00,700.00,8872.00
1963:Q4,17292.00,15744.00,0.00,710.00,92.00,434.00,255.00,57.00,7598.00,6850.00,748.00,9694.00
1964:Q1,17015.00,15109.00,0.00,914.00,77.00,538.00,321.00,56.00,7701.00,6923.00,778.00,9314.00
1964:Q2,16342.00,14675.00,0.00,846.00,61.00,474.00,236.00,50.00,7782.00,6923.00,859.00,8560.00
1964:Q3,17073.00,15338.00,0.00,886.00,49.00,556.00,186.00,58.00,7743.00,6923.00,820.00,9330.00
1964:Q4,17970.00,16211.00,0.00,935.00,37.00,552.00,175.00,60.00,7715.00,6923.00,792.00,10255.00
1965:Q1,17549.00,15891.00,0.00,769.00,67.00,566.00,189.00,67.00,7494.00,6756.00,738.00,10055.00
1965:Q2,16793.00,15316.00,0.00,678.00,64.00,483.00,188.00,64.00,7604.00,6756.00,848.00,9189.00
1965:Q3,18036.00,16329.00,0.00,784.00,82.00,534.00,225.00,82.00,7593.00,6756.00,837.00,10443.00
1965:Q4,20080.00,18294.00,0.00,806.00,93.00,532.00,262.00,93.00,7625.00,6756.00,869.00,12455.00
1966:Q1,20262.00,18132.00,0.00,1062.00,101.00,636.00,230.00,101.00,5366.00,4484.00,882.00,14896.00
1966:Q2,17110.00,15594.00,0.00,624.00,84.00,537.00,187.00,84.00,5414.00,4484.00,930.00,11696.00
1966:Q3,18136.00,16562.00,0.00,613.00,92.00,566.00,211.00,92.00,5323.00,4484.00,839.00,12813.00
1966:Q4,19155.00,17414.00,0.00,731.00,95.00,592.00,228.00,95.00,5358.00,4484.00,874.00,13797.00
1967:Q1,18923.00,16730.00,0.00,897.00,174.00,803.00,186.00,133.00,5704.00,4825.00,879.00,13219.00
1967:Q2,12681.00,11296.00,0.00,558.00,101.00,481.00,136.00,109.00,5775.00,4825.00,950.00,6906.00
1967:Q3,13429.00,11866.00,0.00,639.00,100.00,512.00,167.00,145.00,5712.00,4825.00,887.00,7717.00
1967:Q4,14773.00,13225.00,0.00,647.00,97.00,481.00,172.00,151.00,5824.00,4825.00,999.00,8949.00
1968:Q1,19513.00,17667.00,0.00,660.00,127.00,643.00,215.00,201.00,6786.00,5720.00,1066.00,12727.00
1968:Q2,14582.00,13031.00,0.00,562.00,91.00,553.00,151.00,194.00,6867.00,5720.00,1147.00,7715.00
1968:Q3,14719.00,12930.00,0.00,664.00,115.00,629.00,156.00,225.00,6801.00,5720.00,1081.00,7918.00
1968:Q4,16038.00,14330.00,0.00,620.00,75.00,643.00,171.00,199.00,6904.00,5720.00,1184.00,9134.00
1969:Q1,17630.00,15517.00,0.00,774.00,107.00,806.00,217.00,209.00,4455.00,3254.00,1201.00,13175.00
1969:Q2,13886.00,12220.00,0.00,618.00,101.00,636.00,167.00,144.00,4547.00,3254.00,1293.00,9339.00
1969:Q3,14465.00,12507.00,0.00,738.00,144.00,723.00,190.00,163.00,4434.00,3254.00,1180.00,10031.00
1969:Q4,14522.00,12628.00,0.00,704.00,126.00,698.00,219.00,147.00,4448.00,3254.00,1194.00,10074.00
1970:Q1,15408.00,12846.00,0.00,1143.00,172.00,884.00,244.00,119.00,2134.00,943.00,1191.00,13274.00
1970:Q2,12034.00,10054.00,0.00,857.00,125.00,686.00,204.00,108.00,2237.00,943.00,1294.00,9797.00
1970:Q3,12519.00,10159.00,0.00,1044.00,157.00,785.00,239.00,135.00,2177.00,943.00,1234.00,10342.00
1970:Q4,12475.00,9996.00,0.00,1062.00,193.00,823.00,251.00,150.00,2202.00,943.00,1259.00,10273.00
1971:Q1,14633.00,11698.00,0.00,1315.00,227.00,948.00,285.00,160.00,5412.00,4120.00,1292.00,9221.00
1971:Q2,13417.00,10799.00,311.00,860.00,260.00,815.00,252.00,120.00,5908.00,4120.00,1788.00,7509.00
1971:Q3,15348.00,12131.00,674.00,993.00,248.00,895.00,277.00,130.00,6232.00,4120.00,2112.00,9116.00
1971:Q4,16566.00,13086.00,1037.00,1080.00,150.00,796.00,277.00,140.00,6625.00,4120.00,2505.00,9941.00
1972:Q1,18458.00,14398.00,1400.00,1054.00,216.00,940.00,300.00,150.00,7649.00,4711.00,2938.00,10809.00
1972:Q2,16082.00,12257.00,1763.00,749.00,202.00,739.00,249.00,123.00,8186.00,4711.00,3475.00,7896.00
1972:Q3,18348.00,13824.00,2126.00,894.00,249.00,835.00,269.00,151.00,8467.00,4711.00,3756.00,9881.00
1972:Q4,20460.00,15521.00,2489.00,906.00,270.00,811.00,298.00,165.00,8995.00,4711.00,4284.00,11465.00
1973:Q1,23530.00,17634.00,2853.00,1242.00,296.00,993.00,332.00,180.00,10466.00,5824.00,4642.00,13064.00
1973:Q2,21365.00,15760.00,3222.00,918.00,264.00,786.00,271.00,144.00,11032.00,5824.00,5208.00,10333.00
1973:Q3,23799.00,17565.00,3599.00,1024.00,286.00,873.00,296.00,156.00,11293.00,5824.00,5469.00,12506.00
1973:Q4,25898.00,19305.00,3985.00,1027.00,283.00,847.00,298.00,153.00,11732.00,5824.00,5908.00,14166.00
1974:Q1,29869.00,22325.00,4419.00,1318.00,318.00,1024.00,325.00,140.00,13062.00,6768.00,6294.00,16807.00
1974:Q2,28597.00,21308.00,4836.00,1004.00,286.00,809.00,272.00,82.00,13841.00,6768.00,7073.00,14756.00
1974:Q3,33399.00,25444.00,5208.00,1194.00,307.00,885.00,293.00,68.00,14267.00,6768.00,7499.00,19132.00
1974:Q4,32754.00,24516.00,5545.00,1212.00,303.00,835.00,298.00,45.00,14340.00,6768.00,7572.00,18414.00
1975:Q1,31889.00,22901.00,5847.00,1431.00,330.00,990.00,329.00,61.00,12678.00,5002.00,7676.00,19211.00
1975:Q2,26994.00,18582.00,6134.00,933.00,297.00,757.00,276.00,15.00,13364.00,5002.00,8362.00,13630.00
1975:Q3,29746.00,20917.00,6383.00,971.00,312.00,812.00,299.00,52.00,13902.00,5002.00,8900.00,15844.00
1975:Q4,31331.00,22292.00,6602.00,1006.00,308.00,745.00,298.00,80.00,14153.00,5002.00,9151.00,17178.00
1976:Q1,35455.00,25583.00,6894.00,1072.00,340.00,938.00,331.00,297.00,19139.00,9648.00,9491.00,16316.00
1976:Q2,32717.00,22915.00,7187.00,1095.00,316.00,735.00,270.00,199.00,19849.00,9648.00,10201.00,12868.00
1976:Q3,36332.00,26002.00,7484.00,1154.00,349.00,863.00,295.00,185.00,20014.00,9648.00,10366.00,16318.00
1976:Q4,38535.00,27790.00,7785.00,1214.00,362.00,878.00,298.00,208.00,20243.00,9648.00,10595.00,18292.00
1977:Q1,40373.00,29197.00,8065.00,1300.00,386.00,956.00,316.00,153.00,19899.00,9039.00,10860.00,20474.00
1977:Q2,35174.00,23478.00,8341.00,1406.00,416.00,1060.00,344.00,129.00,20915.00,9039.00,11876.00,14259.00
1977:Q3,39052.00,26812.00,8609.00,1516.00,448.00,1171.00,375.00,121.00,21226.00,9039.00,12187.00,17826.00
1977:Q4,41889.00,29134.00,8871.00,1613.00,480.00,1268.00,404.00,119.00,21299.00,9039.00,12260.00,20590.00
1978:Q1,45206.00,32136.00,8965.00,1702.00,513.00,1360.00,434.00,96.00,24721.00,12746.00,11975.00,20485.00
1978:Q2,40627.00,27075.00,9130.00,1787.00,550.00,1457.00,471.00,157.00,25580.00,12746.00,12834.00,15047.00
1978:Q3,44793.00,30596.00,9470.00,1867.00,583.00,1541.00,501.00,235.00,25788.00,12746.00,13042.00,19005.00
1978:Q4,48845.00,34055.00,9951.00,1941.00,604.00,1597.00,510.00,187.00,26367.00,12746.00,13621.00,22478.00
1979:Q1,54409.00,38940.00,10517.00,2021.00,615.00,1630.00,500.00,186.00,29072.00,14944.00,14128.00,25337.00
1979:Q2,50247.00,34071.00,11141.00,2116.00,619.00,1645.00,470.00,185.00,30044.00,14944.00,15100.00,20203.00
1979:Q3,55674.00,38687.00,11910.00,2186.00,615.00,1638.00,432.00,206.00,30650.00,14944.00,15706.00,25024.00
1979:Q4,58767.00,40986.00,12795.00,2185.00,600.00,1600.00,393.00,208.00,31402.00,14944.00,16458.00,27365.00
1980:Q1,64925.00,46024.00,13870.00,2118.00,627.00,1676.00,371.00,239.00,30212.00,12213.00,17999.00,34713.00
1980:Q2,59540.00,39592.00,14768.00,1975.00,674.00,1805.00,353.00,373.00,30650.00,12213.00,18437.00,28890.00
1980:Q3,62876.00,42354.00,15225.00,1815.00,720.00,1930.00,335.00,497.00,31420.00,12213.00,19207.00,31456.00
1980:Q4,64413.00,43864.00,15328.00,1688.00,744.00,1996.00,310.00,483.00,31720.00,12213.00,19507.00,32693.00
1981:Q1,67037.00,46958.00,15036.00,1591.00,746.00,2002.00,285.00,419.00,21036.00,1720.00,19316.00,46001.00
1981:Q2,61003.00,41488.00,14703.00,1502.00,727.00,1951.00,258.00,374.00,20561.00,1720.00,18841.00,40442.00
1981:Q3,62864.00,44008.00,14266.00,1427.00,706.00,1894.00,229.00,334.00,20172.00,1720.00,18452.00,42692.00
1981:Q4,58072.00,39864.00,13744.00,1364.00,699.00,1882.00,195.00,324.00,19285.00,1720.00,17565.00,38787.00
1982:Q1,57367.00,39220.00,13774.00,1325.00,711.00,1915.00,159.00,263.00,17218.00,0.00,17218.00,40149.00
1982:Q2,51431.00,33080.00,13941.00,1307.00,738.00,1988.00,114.00,263.00,17907.00,0.00,17907.00,33524.00
1982:Q3,53810.00,34754.00,14450.00,1298.00,765.00,2062.00,75.00,406.00,18549.00,0.00,18549.00,35261.00
1982:Q4,55676.00,35585.00,15235.00,1283.00,778.00,2099.00,53.00,643.00,19090.00,0.00,19090.00,36586.00
1983:Q1,62042.00,41447.00,15738.00,1274.00,778.00,2100.00,56.00,649.00,21063.00,2062.00,19001.00,40979.00
1983:Q2,58334.00,37404.00,16224.00,1270.00,766.00,2069.00,81.00,520.00,22700.00,2062.00,20638.00,35634.00
1983:Q3,62354.00,41038.00,16668.00,1258.00,752.00,2033.00,111.00,494.00,23440.00,2062.00,21378.00,38914.00
1983:Q4,60353.00,38646.00,17081.00,1254.00,742.00,2017.00,127.00,486.00,23894.00,2062.00,21832.00,36459.00
1984:Q1,68022.00,43234.00,17188.00,4299.00,742.00,2017.00,132.00,410.00,29974.00,7936.00,22038.00,38048.00
1984:Q2,64588.00,39561.00,17359.00,4509.00,744.00,2019.00,130.00,266.00,30829.00,7936.00,22893.00,33759.00
1984:Q3,65680.00,40087.00,17690.00,4560.00,750.00,2036.00,126.00,431.00,30483.00,7936.00,22547.00,35197.00
1984:Q4,68097.00,42167.00,18151.00,4387.00,762.00,2078.00,124.00,428.00,30737.00,7936.00,22801.00,37360.00
1985:Q1,69268.00,42555.00,18775.00,4404.00,779.00,2146.00,127.00,482.00,34922.00,11336.00,23586.00,34346.00
1985:Q2,65697.00,38470.00,19494.00,4001.00,799.00,2236.00,131.00,566.00,36232.00,11336.00,24896.00,29465.00
1985:Q3,69970.00,41296.00,20450.00,4293.00,826.00,2345.00,136.00,624.00,37692.00,11336.00,26356.00,32278.00
1985:Q4,69436.00,39009.00,21596.00,4583.00,864.00,2470.00,141.00,773.00,38129.00,11336.00,26793.00,31307.00
1986:Q1,71213.00,40329.00,21836.00,4717.00,910.00,2624.00,143.00,654.00,45381.00,18369.00,27012.00,25832.00
1986:Q2,71284.00,39574.00,22148.00,5000.00,962.00,2818.00,139.00,643.00,46596.00,18369.00,28227.00,24688.00
1986:Q3,74018.00,41274.00,22637.00,5294.00,1027.00,3007.00,141.00,638.00,47145.00,18369.00,28776.00,26873.00
1986:Q4,76337.00,42784.00,23269.00,4932.00,1111.00,3145.00,164.00,932.00,47896.00,18369.00,29527.00,28441.00
1987:Q1,77849.00,43947.00,23459.00,4828.00,1215.00,3233.00,211.00,956.00,47917.00,19252.00,28665.00,29932.00
1987:Q2,78928.00,46928.00,23480.00,2970.00,1340.00,3271.00,281.00,658.00,49087.00,19252.00,29835.00,29841.00
1987:Q3,79776.00,47763.00,23542.00,2783.00,1477.00,3303.00,358.00,550.00,49576.00,19252.00,30324.00,30200.00
1987:Q4,80019.00,47866.00,23851.00,2497.00,1617.00,3370.00,424.00,394.00,49262.00,19252.00,30010.00,30757.00
1988:Q1,81289.00,48823.00,24369.00,2001.00,1696.00,3459.00,482.00,459.00,54718.00,24497.00,30221.00,26571.00
1988:Q2,79059.00,46307.00,25051.00,1348.00,1775.00,3556.00,533.00,489.00,56252.00,24497.00,31755.00,22807.00
1988:Q3,79333.00,45149.00,25860.00,1702.00,1854.00,3674.00,587.00,507.00,57400.00,24497.00,32903.00,21933.00
1988:Q4,80792.00,44371.00,26761.00,2701.00,1933.00,3829.00,654.00,543.00,58149.00,24497.00,33652.00,22643.00
1989:Q1,86163.00,49134.00,27852.00,2239.00,1761.00,4031.00,734.00,412.00,58187.00,23844.00,34343.00,27976.00
1989:Q2,82519.00,43378.00,29234.00,2660.00,1589.00,4290.00,825.00,543.00,59605.00,23844.00,35761.00,22914.00
1989:Q3,82435.00,42076.00,30543.00,2224.00,1417.00,4550.00,922.00,703.00,60701.00,23844.00,36857.00,21734.00
1989:Q4,78726.00,38289.00,31417.00,1394.00,1246.00,4755.00,1019.00,606.00,60991.00,23844.00,37147.00,17735.00
1990:Q1,84056.00,42256.00,31781.00,1942.00,1409.00,4904.00,1119.00,645.00,59552.00,22499.00,37053.00,24504.00
1990:Q2,79251.00,37130.00,31863.00,1774.00,1571.00,4994.00,1223.00,696.00,59812.00,22499.00,37313.00,19439.00
1990:Q3,83339.00,40934.00,31919.00,1644.00,1734.00,5090.00,1330.00,688.00,60009.00,22499.00,37510.00,23330.00
1990:Q4,80869.00,38302.00,32000.00,1310.00,1897.00,5255.00,1441.00,664.00,59115.00,22499.00,36616.00,21754.00
1991:Q1,77090.00,34609.00,32143.00,673.00,2063.00,5479.00,1555.00,568.00,53524.00,16440.00,37084.00,23566.00
1991:Q2,70528.00,27402.00,32226.00,647.00,2229.00,5750.00,1669.00,605.00,54269.00,16440.00,37829.00,16259.00
1991:Q3,75770.00,31379.00,32372.00,1098.00,2395.00,6049.00,1790.00,687.00,54782.00,16440.00,38342.00,20988.00
1991:Q4,72959.00,28892.00,32479.00,-105.00,2561.00,6358.00,1924.00,850.00,54813.00,16440.00,38373.00,18146.00
1992:Q1,79119.00,34543.00,32641.00,172.00,2136.00,6680.00,2070.00,877.00,65853.00,27649.00,38204.00,13266.00
1992:Q2,76062.00,31419.00,32794.00,-17.00,1710.00,7022.00,2226.00,908.00,57207.00,18397.00,38810.00,18855.00
1992:Q3,80176.00,35418.00,32956.00,-235.00,1285.00,7381.00,2392.00,979.00,55536.00,16979.00,38557.00,24640.00
1992:Q4,80227.00,35344.00,33121.00,-305.00,860.00,7754.00,2565.00,888.00,53793.00,15485.00,38308.00,26434.00
1993:Q1,83614.00,41686.00,32710.00,-4166.00,1390.00,8154.00,2749.00,1091.00,66994.00,29511.00,37483.00,16620.00
1993:Q2,80700.00,38333.00,32276.00,-4439.00,1921.00,8597.00,2945.00,1067.00,53934.00,17300.00,36634.00,26766.00
1993:Q3,85049.00,41382.00,31850.00,-4255.00,2452.00,9027.00,3146.00,1447.00,55245.00,19111.00,36134.00,29804.00
1993:Q4,86015.00,40725.00,31387.00,-3212.00,2983.00,9389.00,3342.00,1401.00,54511.00,18914.00,35597.00,31504.00
1994:Q1,90248.00,45468.00,31496.00,-4237.00,2879.00,9677.00,3537.00,1428.00,67848.00,32215.00,35633.00,22400.00
1994:Q2,85682.00,41256.00,32000.00,-5322.00,2775.00,9886.00,3734.00,1353.00,53196.00,17133.00,36063.00,32486.00
1994:Q3,88370.00,42676.00,32320.00,-4730.00,2672.00,10093.00,3930.00,1409.00,55961.00,19580.00,36381.00,32409.00
1994:Q4,86191.00,40315.00,32807.00,-5194.00,2568.00,10378.00,4122.00,1195.00,55457.00,18591.00,36866.00,30734.00
1995:Q1,96501.00,49454.00,32898.00,-4675.00,2745.00,10741.00,4291.00,1047.00,79104.00,42148.00,36956.00,17397.00
1995:Q2,90436.00,40898.00,33006.00,-3099.00,2922.00,11154.00,4483.00,1072.00,58904.00,21841.00,37063.00,31532.00
1995:Q3,94474.00,42359.00,33156.00,-1764.00,3100.00,11590.00,4685.00,1348.00,60370.00,22992.00,37378.00,34104.00
1995:Q4,94832.00,40309.00,33358.00,-68.00,3277.00,11975.00,4864.00,1117.00,54995.00,17251.00,37744.00,39837.00
1996:Q1,103323.00,49331.00,33834.00,-1481.00,3437.00,12090.00,5049.00,1063.00,81428.00,43043.00,38385.00,21895.00
1996:Q2,101074.00,45602.00,34412.00,-1193.00,3598.00,12200.00,5259.00,1196.00,63946.00,24818.00,39128.00,37128.00
1996:Q3,106892.00,49068.00,35249.00,-82.00,3759.00,12350.00,5469.00,1079.00,62799.00,22988.00,39811.00,44093.00
1996:Q4,111104.00,49872.00,35675.00,1978.00,3920.00,12732.00,5663.00,1264.00,130283.00,90200.00,40083.00,-19179.00
1997:Q1,125295.00,62141.00,36794.00,2428.00,4038.00,13007.00,5847.00,1040.00,131247.00,90200.00,41047.00,-5952.00
1997:Q2,124390.00,57173.00,38074.00,4735.00,4156.00,13312.00,6051.00,889.00,132373.00,90200.00,42173.00,-7983.00
1997:Q3,134580.00,64368.00,38974.00,5943.00,4274.00,13640.00,6271.00,1110.00,133416.00,90200.00,43216.00,1164.00
1997:Q4,130349.00,59214.00,39941.00,7320.00,4392.00,11664.00,6473.00,1345.00,132701.00,88375.00,44326.00,-2352.00
1998:Q1,140874.00,69045.00,41243.00,7639.00,4121.00,11071.00,6670.00,1085.00,132321.00,86550.00,45771.00,8553.00
1998:Q2,131563.00,59915.00,40730.00,7907.00,3850.00,11182.00,6884.00,1095.00,130126.00,84725.00,45401.00,1437.00
1998:Q3,144262.00,68559.00,43306.00,9634.00,3578.00,11292.00,7100.00,793.00,131162.00,82900.00,48262.00,13100.00
