1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q2,57898.00,15538.00,0.00,5422.00,1633.00,79.00,79.00,0.00,360.00,34517.00,23.00,34494.00,5171.00,29323.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349.00,0.00,349.00,56780.00,16973.00,4539.00,34721.00,1330.00,391.00,939.00,0.00,196.00,0.00,33195.00,0.00,0.00,0.00,547.00,513.00,34.00
1964:Q3,58547.00,15581.00,0.00,5397.00,1567.00,93.00,93.00,0.00,440.00,35009.00,59.00,34950.00,4967.00,29983.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,458.00,0.00,458.00,57419.00,17121.00,4780.00,34920.00,1367.00,434.00,933.00,0.00,175.00,0.00,33378.00,0.00,0.00,0.00,598.00,518.00,80.00
1964:Q4,61176.00,15638.00,0.00,5249.00,2606.00,156.00,156.00,0.00,573.00,36565.00,59.00,36506.00,6044.00,30462.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,30.00,0.00,359.00,0.00,359.00,60652.00,17850.00,4532.00,36942.00,1586.00,612.00,974.00,0.00,269.00,0.00,35087.00,0.00,0.00,0.00,1328.00,524.00,804.00
1965:Q1,59560.00,14890.00,0.00,5234.00,1114.00,109.00,109.00,0.00,550.00,37184.00,93.00,37091.00,6826.00,30265.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,15.00,0.00,464.00,0.00,464.00,58920.00,17277.00,4840.00,35746.00,1569.00,702.00,867.00,0.00,201.00,0.00,33976.00,0.00,0.00,0.00,1057.00,536.00,521.00
1965:Q2,61171.00,14344.00,0.00,5256.00,1349.00,646.00,646.00,0.00,450.00,38703.00,3.00,38700.00,7761.00,30939.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,11.00,0.00,412.00,0.00,412.00,60524.00,18229.00,4978.00,36375.00,1419.00,747.00,672.00,0.00,214.00,0.00,34742.00,0.00,0.00,0.00,942.00,541.00,401.00
1965:Q3,61601.00,14674.00,0.00,5316.00,1405.00,123.00,123.00,0.00,350.00,39280.00,11.00,39269.00,8396.00,30873.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,7.00,0.00,446.00,0.00,446.00,60948.00,17797.00,5370.00,36936.00,1656.00,804.00,852.00,0.00,233.00,0.00,35047.00,0.00,0.00,0.00,845.00,544.00,301.00
1965:Q4,63523.00,14313.00,0.00,5419.00,2248.00,96.00,96.00,0.00,402.00,40553.00,75.00,40478.00,9101.00,31377.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,41.00,0.00,451.00,0.00,451.00,62972.00,18447.00,4851.00,38834.00,1428.00,760.00,668.00,0.00,201.00,0.00,37205.00,0.00,0.00,0.00,840.00,551.00,289.00
1966:Q1,62595.00,13793.00,0.00,5580.00,1388.00,579.00,579.00,0.00,400.00,40226.00,30.00,40196.00,9237.00,30959.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,609.00,0.00,609.00,61914.00,17941.00,5470.00,37786.00,1486.00,940.00,546.00,0.00,341.00,0.00,35959.00,0.00,0.00,0.00,717.00,560.00,157.00
1966:Q2,64943.00,13855.00,0.00,5822.00,1957.00,287.00,287.00,0.00,500.00,41907.00,138.00,41769.00,10447.00,31322.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,610.00,0.00,610.00,64248.00,18564.00,5234.00,39651.00,1815.00,1049.00,766.00,0.00,516.00,0.00,37320.00,0.00,0.00,0.00,799.00,562.00,237.00
1966:Q3,65152.00,13806.00,0.00,5930.00,1647.00,979.00,979.00,0.00,500.00,41585.00,48.00,41537.00,15456.00,26081.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,15.00,0.00,690.00,0.00,690.00,64443.00,18070.00,5830.00,39805.00,2404.00,1091.00,1313.00,0.00,393.00,0.00,37008.00,0.00,0.00,0.00,738.00,566.00,172.00
1966:Q4,67980.00,13977.00,0.00,6161.00,2510.00,173.00,173.00,0.00,785.00,43724.00,69.00,43655.00,16155.00,27500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,650.00,0.00,650.00,67410.00,19794.00,5450.00,41210.00,1592.00,1176.00,416.00,0.00,405.00,0.00,39213.00,0.00,0.00,0.00,956.00,570.00,386.00
1967:Q1,66244.00,13235.00,0.00,6348.00,1260.00,29.00,29.00,0.00,600.00,44029.00,0.00,44029.00,17160.00,26869.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,733.00,0.00,733.00,65508.00,18619.00,5970.00,40151.00,2012.00,1335.00,677.00,0.00,384.00,0.00,37755.00,0.00,0.00,0.00,768.00,578.00,190.00
1967:Q2,69016.00,13629.00,0.00,6456.00,1345.00,53.00,53.00,0.00,500.00,46355.00,36.00,46318.00,18359.00,27959.00,1.00,0.00,1.00,15.00,0.00,0.00,0.00,15.00,0.00,663.00,0.00,663.00,68280.00,19505.00,4854.00,43032.00,2783.00,1472.00,1311.00,0.00,402.00,0.00,39847.00,0.00,0.00,0.00,889.00,585.00,304.00
1967:Q3,69443.00,13723.00,0.00,6604.00,1235.00,171.00,171.00,0.00,400.00,46462.00,60.00,46402.00,14097.00,32305.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,848.00,0.00,848.00,68699.00,20039.00,6252.00,41519.00,2234.00,1523.00,711.00,0.00,428.00,0.00,38857.00,0.00,0.00,0.00,889.00,589.00,300.00
1967:Q4,72763.00,13526.00,0.00,6628.00,2483.00,141.00,141.00,0.00,259.00,49055.00,75.00,48980.00,15975.00,33005.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,671.00,0.00,671.00,72165.00,21092.00,5931.00,44099.00,2467.00,1344.00,1123.00,0.00,396.00,0.00,41236.00,0.00,0.00,0.00,1043.00,598.00,445.00
1968:Q1,71900.00,11967.00,0.00,6799.00,1344.00,1390.00,1390.00,0.00,0.00,49595.00,100.00,49495.00,16161.00,33334.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,15.00,0.00,790.00,0.00,790.00,71090.00,21232.00,6250.00,42559.00,2096.00,1131.00,965.00,0.00,448.00,0.00,40015.00,0.00,0.00,0.00,1049.00,612.00,437.00
1968:Q2,73417.00,11315.00,0.00,6708.00,1938.00,292.00,292.00,0.00,0.00,52364.00,134.00,52230.00,18380.00,33850.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,13.00,0.00,787.00,0.00,787.00,72598.00,21462.00,5190.00,44793.00,1912.00,838.00,1074.00,0.00,431.00,0.00,42450.00,0.00,0.00,0.00,1153.00,617.00,536.00
1968:Q3,74924.00,11576.00,0.00,6741.00,1770.00,1565.00,1565.00,0.00,0.00,52454.00,49.00,52405.00,18794.00,33611.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,818.00,0.00,818.00,74094.00,22413.00,6660.00,43923.00,1824.00,797.00,1027.00,0.00,403.00,0.00,41696.00,0.00,0.00,0.00,1098.00,619.00,479.00
1968:Q4,76736.00,12370.00,0.00,6795.00,3482.00,188.00,188.00,0.00,0.00,52995.00,58.00,52937.00,18756.00,34181.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,906.00,0.00,906.00,76106.00,21859.00,7195.00,45642.00,1398.00,695.00,703.00,0.00,477.00,0.00,43767.00,0.00,0.00,0.00,1410.00,630.00,780.00
1969:Q1,75176.00,12387.00,0.00,6826.00,2034.00,997.00,997.00,0.00,0.00,52089.00,74.00,52010.00,17583.00,34427.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,843.00,0.00,843.00,74294.00,22066.00,6490.00,44672.00,1217.00,715.00,502.00,0.00,404.00,0.00,43051.00,0.00,0.00,0.00,1066.00,641.00,425.00
1969:Q2,76311.00,12142.00,0.00,6736.00,1472.00,1049.00,1049.00,0.00,0.00,54136.00,41.00,54095.00,19466.00,34629.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,776.00,0.00,776.00,75406.00,20808.00,6258.00,46969.00,1891.00,633.00,1258.00,0.00,419.00,0.00,44659.00,0.00,0.00,0.00,1371.00,659.00,712.00
1969:Q3,78191.00,12667.00,0.00,6761.00,2313.00,1526.00,1526.00,0.00,0.00,54028.00,60.00,53932.00,19149.00,34783.00,36.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,896.00,0.00,896.00,77274.00,22508.00,6950.00,46637.00,1885.00,682.00,1203.00,0.00,410.00,0.00,44342.00,0.00,0.00,0.00,1179.00,666.00,513.00
1969:Q4,80738.00,12273.00,0.00,6848.00,3440.00,183.00,183.00,0.00,0.00,57218.00,64.00,57154.00,22265.00,34889.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,776.00,0.00,776.00,80069.00,22085.00,7320.00,48911.00,1969.00,657.00,1312.00,0.00,377.00,0.00,46565.00,0.00,0.00,0.00,1753.00,669.00,1084.00
1970:Q1,80236.00,12478.00,400.00,6900.00,2237.00,1554.00,1554.00,0.00,0.00,55697.00,76.00,55578.00,20897.00,34681.00,43.00,0.00,43.00,40.00,0.00,0.00,0.00,40.00,0.00,930.00,0.00,930.00,79268.00,22568.00,6940.00,48129.00,2060.00,581.00,1479.00,0.00,456.00,0.00,45613.00,0.00,0.00,0.00,1631.00,681.00,950.00
1970:Q2,80968.00,11988.00,400.00,6986.00,2562.00,330.00,330.00,0.00,0.00,57746.00,32.00,57714.00,22407.00,35307.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,90.00,0.00,866.00,0.00,866.00,79987.00,21991.00,7090.00,49115.00,1444.00,439.00,1005.00,0.00,410.00,0.00,47261.00,0.00,0.00,0.00,1791.00,685.00,1106.00
1970:Q3,83521.00,11742.00,400.00,7074.00,2313.00,853.00,853.00,0.00,0.00,60142.00,87.00,59975.00,24110.00,35865.00,80.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,997.00,0.00,997.00,82537.00,23938.00,7260.00,49585.00,1685.00,447.00,1238.00,0.00,365.00,0.00,47535.00,0.00,0.00,0.00,1754.00,691.00,1063.00
1970:Q4,86124.00,10914.00,400.00,7149.00,4261.00,335.00,335.00,0.00,0.00,62199.00,57.00,62142.00,25965.00,36177.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,866.00,0.00,866.00,85422.00,24150.00,7047.00,51979.00,1587.00,431.00,1156.00,0.00,346.00,0.00,50046.00,0.00,0.00,0.00,2246.00,702.00,1544.00
1971:Q1,86728.00,10670.00,400.00,7270.00,2550.00,391.00,391.00,0.00,350.00,64133.00,88.00,63860.00,25638.00,38222.00,185.00,0.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,964.00,0.00,964.00,85736.00,25932.00,7230.00,50819.00,1341.00,483.00,858.00,0.00,404.00,0.00,49074.00,0.00,0.00,0.00,1755.00,717.00,1038.00
1971:Q2,87740.00,10355.00,400.00,7420.00,2549.00,446.00,446.00,0.00,650.00,64930.00,12.00,64918.00,27929.00,36989.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,990.00,0.00,990.00,86759.00,24550.00,7634.00,52859.00,1728.00,454.00,1274.00,0.00,372.00,0.00,50759.00,0.00,0.00,0.00,1716.00,729.00,987.00
1971:Q3,89657.00,10078.00,400.00,7547.00,2527.00,382.00,382.00,0.00,950.00,66802.00,41.00,66662.00,29584.00,37078.00,99.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,971.00,0.00,971.00,88644.00,25424.00,8100.00,53601.00,2496.00,475.00,2021.00,0.00,373.00,0.00,50732.00,0.00,0.00,0.00,1519.00,734.00,785.00
1971:Q4,94598.00,10073.00,400.00,7627.00,4343.00,39.00,39.00,0.00,1504.00,69561.00,80.00,68996.00,30156.00,38840.00,485.00,0.00,485.00,0.00,0.00,0.00,0.00,0.00,0.00,1051.00,0.00,1051.00,93856.00,27788.00,7541.00,56470.00,2484.00,464.00,2020.00,0.00,465.00,0.00,53521.00,0.00,0.00,0.00,2057.00,742.00,1315.00
1972:Q1,93264.00,9528.00,400.00,7895.00,2673.00,1030.00,1030.00,0.00,1110.00,69748.00,19.00,68971.00,29676.00,39295.00,758.00,0.00,758.00,0.00,0.00,0.00,0.00,0.00,0.00,880.00,0.00,880.00,92241.00,28471.00,8050.00,53938.00,1330.00,413.00,917.00,0.00,275.00,0.00,52333.00,0.00,0.00,0.00,1782.00,761.00,1021.00
1972:Q2,95752.00,10350.00,400.00,8066.00,3299.00,130.00,130.00,0.00,690.00,71845.00,23.00,70756.00,31258.00,39498.00,1066.00,0.00,1066.00,0.00,0.00,0.00,0.00,0.00,0.00,972.00,0.00,972.00,94745.00,27482.00,6799.00,58386.00,2695.00,351.00,2344.00,0.00,298.00,0.00,55393.00,0.00,0.00,0.00,2078.00,772.00,1306.00
1972:Q3,94655.00,10432.00,400.00,8200.00,3742.00,842.00,842.00,0.00,370.00,69708.00,10.00,68677.00,29660.00,39017.00,1021.00,0.00,1021.00,0.00,0.00,0.00,0.00,0.00,0.00,961.00,0.00,961.00,93724.00,26692.00,8840.00,56199.00,2209.00,347.00,1862.00,0.00,229.00,0.00,53761.00,0.00,0.00,0.00,1993.00,778.00,1215.00
1972:Q4,97596.00,10524.00,400.00,8313.00,3974.00,1981.00,1981.00,0.00,147.00,71189.00,70.00,69808.00,29664.00,40144.00,1311.00,0.00,1311.00,0.00,0.00,0.00,0.00,0.00,0.00,1068.00,0.00,1068.00,96803.00,25647.00,8648.00,60440.00,2200.00,345.00,1855.00,0.00,369.00,0.00,57871.00,0.00,0.00,0.00,2068.00,793.00,1275.00
1973:Q1,99585.00,10334.00,400.00,8420.00,2121.00,2028.00,2028.00,0.00,90.00,75247.00,144.00,73784.00,32761.00,41023.00,1319.00,0.00,1319.00,0.00,0.00,0.00,0.00,0.00,0.00,945.00,0.00,945.00,98453.00,26873.00,8889.00,60510.00,3778.00,396.00,3382.00,0.00,442.00,0.00,56290.00,0.00,0.00,0.00,2181.00,807.00,1374.00
1973:Q2,100738.00,10321.00,400.00,8531.00,2048.00,1770.00,1770.00,0.00,100.00,76437.00,66.00,74952.00,34247.00,40705.00,1419.00,0.00,1419.00,0.00,0.00,0.00,0.00,0.00,0.00,1131.00,0.00,1131.00,99574.00,24818.00,7666.00,64944.00,4408.00,369.00,4039.00,0.00,437.00,0.00,60099.00,0.00,0.00,0.00,2146.00,820.00,1326.00
1973:Q3,104923.00,10334.00,400.00,8614.00,3036.00,4522.00,4522.00,0.00,110.00,76916.00,57.00,75224.00,34100.00,41124.00,1635.00,0.00,1635.00,0.00,0.00,0.00,0.00,0.00,0.00,991.00,0.00,991.00,103699.00,30962.00,9671.00,60536.00,1497.00,372.00,1125.00,0.00,500.00,0.00,58539.00,0.00,0.00,0.00,2530.00,829.00,1701.00
1973:Q4,106889.00,11491.00,400.00,8716.00,3099.00,1258.00,1258.00,0.00,100.00,80463.00,68.00,78458.00,36897.00,41561.00,1937.00,0.00,1937.00,0.00,0.00,0.00,0.00,0.00,0.00,1362.00,0.00,1362.00,106045.00,27060.00,10688.00,64954.00,2859.00,317.00,2542.00,0.00,300.00,0.00,61795.00,0.00,0.00,0.00,3343.00,844.00,2499.00
1974:Q1,106284.00,11487.00,400.00,8813.00,2222.00,2033.00,2033.00,0.00,400.00,79906.00,30.00,77929.00,36400.00,41529.00,1947.00,0.00,1947.00,0.00,0.00,0.00,0.00,0.00,0.00,1023.00,0.00,1023.00,105012.00,28410.00,9709.00,64339.00,2432.00,338.00,2094.00,0.00,419.00,0.00,61488.00,0.00,0.00,0.00,2554.00,872.00,1682.00
1974:Q2,111496.00,11575.00,400.00,8924.00,2297.00,3210.00,3210.00,0.00,700.00,83216.00,104.00,80284.00,37274.00,43010.00,2828.00,0.00,2828.00,0.00,0.00,0.00,0.00,0.00,0.00,1174.00,0.00,1174.00,110156.00,30086.00,8355.00,69100.00,3193.00,274.00,2919.00,0.00,445.00,0.00,65462.00,0.00,0.00,0.00,2615.00,878.00,1737.00
1974:Q3,116654.00,11734.00,400.00,9069.00,3721.00,5192.00,5192.00,0.00,1000.00,84377.00,190.00,80353.00,34100.00,46253.00,3834.00,0.00,3834.00,0.00,0.00,0.00,0.00,0.00,0.00,1161.00,0.00,1161.00,115262.00,33256.00,10507.00,68697.00,3665.00,318.00,3347.00,0.00,704.00,0.00,64328.00,0.00,0.00,0.00,2802.00,886.00,1916.00
1974:Q4,113429.00,11571.00,400.00,9252.00,2001.00,299.00,299.00,0.00,1374.00,85339.00,579.00,80058.00,36765.00,43293.00,4702.00,0.00,4702.00,0.00,0.00,0.00,0.00,0.00,0.00,3193.00,0.00,3193.00,112532.00,25843.00,11640.00,71897.00,3298.00,185.00,3113.00,0.00,523.00,0.00,68076.00,0.00,0.00,0.00,3152.00,897.00,2255.00
1975:Q1,116658.00,11601.00,400.00,9453.00,2163.00,813.00,813.00,0.00,1400.00,87706.00,628.00,82034.00,36087.00,45947.00,5044.00,0.00,5044.00,0.00,0.00,0.00,0.00,0.00,0.00,3122.00,0.00,3122.00,115452.00,30437.00,10562.00,72055.00,3860.00,306.00,3554.00,0.00,602.00,0.00,67593.00,0.00,0.00,0.00,2398.00,902.00,1496.00
1975:Q2,117698.00,11617.00,500.00,9687.00,1791.00,561.00,561.00,0.00,1500.00,89077.00,282.00,83949.00,37172.00,46777.00,4846.00,0.00,4846.00,0.00,0.00,0.00,0.00,0.00,0.00,2965.00,0.00,2965.00,116329.00,25976.00,10084.00,77693.00,6137.00,364.00,5773.00,0.00,454.00,0.00,71102.00,0.00,0.00,0.00,2576.00,909.00,1667.00
1975:Q3,122841.00,11629.00,500.00,9934.00,2406.00,1402.00,1402.00,0.00,1600.00,92563.00,474.00,86474.00,35422.00,51052.00,5615.00,0.00,5615.00,0.00,0.00,0.00,0.00,0.00,0.00,2807.00,0.00,2807.00,121448.00,29363.00,11168.00,78461.00,7605.00,356.00,7249.00,0.00,306.00,0.00,70550.00,0.00,0.00,0.00,2456.00,914.00,1542.00
1975:Q4,124741.00,11655.00,500.00,10218.00,3688.00,229.00,229.00,0.00,1720.00,93530.00,741.00,86717.00,37207.00,49510.00,6072.00,0.00,6072.00,0.00,0.00,0.00,0.00,0.00,0.00,3201.00,0.00,3201.00,123812.00,26052.00,12252.00,82606.00,7768.00,483.00,7285.00,0.00,484.00,0.00,74354.00,0.00,0.00,0.00,2902.00,929.00,1973.00
1976:Q1,125857.00,12140.00,500.00,10403.00,2110.00,54.00,54.00,0.00,3090.00,94440.00,540.00,87293.00,36731.00,50562.00,6607.00,0.00,6607.00,0.00,0.00,0.00,0.00,0.00,0.00,3120.00,0.00,3120.00,124411.00,28150.00,11257.00,82323.00,7668.00,524.00,7144.00,0.00,396.00,0.00,74259.00,0.00,0.00,0.00,2681.00,945.00,1736.00
1976:Q2,133270.00,12718.00,500.00,10558.00,3577.00,314.00,314.00,0.00,4814.00,97741.00,361.00,90575.00,38729.00,51846.00,6805.00,0.00,6805.00,0.00,0.00,0.00,0.00,0.00,0.00,3048.00,0.00,3048.00,131824.00,27460.00,11981.00,89878.00,12452.00,480.00,11972.00,0.00,561.00,0.00,76865.00,0.00,0.00,0.00,2505.00,959.00,1546.00
1976:Q3,136899.00,12194.00,800.00,10685.00,2811.00,326.00,326.00,0.00,5733.00,101262.00,88.00,94445.00,38245.00,56200.00,6729.00,0.00,6729.00,0.00,0.00,0.00,0.00,0.00,0.00,3088.00,0.00,3088.00,135444.00,29716.00,12287.00,90518.00,12716.00,504.00,12212.00,0.00,535.00,0.00,77267.00,0.00,0.00,0.00,2923.00,965.00,1958.00
1976:Q4,134455.00,11743.00,1200.00,10820.00,2601.00,25.00,25.00,0.00,4826.00,100258.00,196.00,93268.00,38571.00,54697.00,6794.00,0.00,6794.00,0.00,0.00,0.00,0.00,0.00,0.00,2982.00,0.00,2982.00,133472.00,25158.00,12121.00,93234.00,10853.00,460.00,10393.00,0.00,647.00,0.00,81734.00,0.00,0.00,0.00,2959.00,983.00,1976.00
1977:Q1,132762.00,11668.00,1200.00,10939.00,2913.00,149.00,149.00,0.00,620.00,102391.00,29.00,95672.00,39170.00,56502.00,6690.00,0.00,6690.00,0.00,0.00,0.00,0.00,0.00,0.00,2882.00,0.00,2882.00,131311.00,26883.00,12124.00,89932.00,8240.00,471.00,7769.00,0.00,451.00,0.00,81241.00,0.00,0.00,0.00,2372.00,990.00,1382.00
1977:Q2,141523.00,11656.00,1200.00,11081.00,3604.00,260.00,260.00,0.00,5264.00,105629.00,43.00,98163.00,40827.00,57336.00,7423.00,0.00,7423.00,0.00,0.00,0.00,0.00,0.00,0.00,2829.00,0.00,2829.00,140072.00,24562.00,12725.00,100159.00,15623.00,440.00,15183.00,0.00,611.00,0.00,83925.00,0.00,0.00,0.00,2626.00,1000.00,1626.00
1977:Q3,142937.00,11638.00,1200.00,11206.00,1956.00,1292.00,1292.00,0.00,3098.00,109779.00,4.00,102405.00,44048.00,58357.00,7370.00,0.00,7370.00,0.00,0.00,0.00,0.00,0.00,0.00,2768.00,0.00,2768.00,141459.00,23953.00,11326.00,103220.00,16174.00,434.00,15740.00,0.00,565.00,0.00,86481.00,0.00,0.00,0.00,2960.00,1016.00,1944.00
1977:Q4,142976.00,11714.00,1250.00,11331.00,3810.00,265.00,265.00,0.00,3306.00,108922.00,0.00,100918.00,41561.00,59357.00,8004.00,0.00,8004.00,0.00,0.00,0.00,0.00,0.00,0.00,2378.00,0.00,2378.00,141947.00,26870.00,13922.00,98013.00,7506.00,392.00,7114.00,0.00,618.00,0.00,89889.00,0.00,0.00,0.00,3142.00,1029.00,2113.00
1978:Q1,140269.00,11763.00,1250.00,11441.00,2732.00,332.00,332.00,0.00,2721.00,107819.00,0.00,99890.00,38358.00,61532.00,7929.00,0.00,7929.00,0.00,0.00,0.00,0.00,0.00,0.00,2211.00,0.00,2211.00,138691.00,27900.00,11622.00,96433.00,5098.00,393.00,4705.00,0.00,572.00,0.00,90763.00,0.00,0.00,0.00,2736.00,1048.00,1688.00
1978:Q2,151330.00,11736.00,1250.00,11565.00,3318.00,1428.00,1428.00,0.00,3666.00,116027.00,0.00,107859.00,44080.00,63779.00,8168.00,0.00,8168.00,0.00,0.00,0.00,0.00,0.00,0.00,2340.00,0.00,2340.00,149752.00,27920.00,11888.00,106871.00,11951.00,337.00,11614.00,0.00,537.00,0.00,94383.00,0.00,0.00,0.00,3073.00,1056.00,2017.00
1978:Q3,156678.00,11662.00,1300.00,11683.00,3719.00,1365.00,1365.00,0.00,3614.00,120977.00,0.00,113027.00,47551.00,65476.00,7950.00,0.00,7950.00,0.00,0.00,0.00,0.00,0.00,0.00,2358.00,0.00,2358.00,155068.00,26830.00,12141.00,112911.00,16949.00,302.00,16647.00,0.00,445.00,0.00,95517.00,0.00,0.00,0.00,3186.00,1062.00,2124.00
1978:Q4,156132.00,13248.00,1300.00,11831.00,6516.00,1172.00,1172.00,0.00,1804.00,117374.00,0.00,109478.00,42158.00,67320.00,7896.00,0.00,7896.00,0.00,0.00,0.00,0.00,0.00,0.00,2887.00,0.00,2887.00,155054.00,31223.00,15470.00,104272.00,4436.00,240.00,4196.00,0.00,674.00,0.00,99162.00,0.00,0.00,0.00,4089.00,1078.00,3011.00
1979:Q1,155526.00,15212.00,1300.00,12158.00,4337.00,963.00,963.00,0.00,2252.00,116724.00,0.00,109260.00,41241.00,68019.00,7464.00,0.00,7464.00,0.00,0.00,0.00,0.00,0.00,0.00,2580.00,0.00,2580.00,153684.00,31714.00,12345.00,106382.00,6111.00,385.00,5726.00,0.00,552.00,0.00,99719.00,0.00,0.00,0.00,3243.00,1113.00,2130.00
1979:Q2,156511.00,14232.00,1800.00,12525.00,3924.00,1558.00,1558.00,0.00,5531.00,114193.00,0.00,106432.00,38370.00,68062.00,7761.00,0.00,7761.00,0.00,0.00,0.00,0.00,0.00,0.00,2748.00,0.00,2748.00,154647.00,30407.00,13272.00,107505.00,3661.00,371.00,3290.00,0.00,571.00,0.00,103273.00,0.00,0.00,0.00,3463.00,1126.00,2337.00
1979:Q3,160733.00,12731.00,1800.00,12825.00,2654.00,1156.00,1156.00,0.00,3014.00,122820.00,0.00,114596.00,44232.00,70364.00,8224.00,0.00,8224.00,0.00,0.00,0.00,0.00,0.00,0.00,3733.00,0.00,3733.00,158860.00,29089.00,13609.00,112417.00,6826.00,337.00,6489.00,0.00,473.00,0.00,105118.00,0.00,0.00,0.00,3745.00,1135.00,2610.00
1979:Q4,166656.00,13628.00,1800.00,13091.00,6767.00,1454.00,1454.00,0.00,2364.00,124507.00,0.00,116291.00,45244.00,71047.00,8216.00,0.00,8216.00,0.00,0.00,0.00,0.00,0.00,0.00,3045.00,0.00,3045.00,165511.00,29792.00,18488.00,112468.00,4569.00,494.00,4075.00,0.00,785.00,0.00,107114.00,0.00,0.00,0.00,4763.00,1145.00,3618.00
1980:Q1,163686.00,13478.00,2968.00,13352.00,3682.00,2502.00,2502.00,0.00,1174.00,123945.00,0.00,115734.00,43851.00,71883.00,8211.00,0.00,8211.00,0.00,0.00,0.00,0.00,0.00,0.00,2585.00,0.00,2585.00,162132.00,32270.00,15333.00,111163.00,2920.00,586.00,2334.00,0.00,572.00,0.00,107671.00,0.00,0.00,0.00,3366.00,1159.00,2207.00
1980:Q2,171326.00,13480.00,3018.00,13523.00,4167.00,215.00,215.00,0.00,867.00,132933.00,0.00,124058.00,49781.00,74277.00,8875.00,0.00,8875.00,0.00,0.00,0.00,0.00,0.00,0.00,3123.00,0.00,3123.00,169742.00,33612.00,16048.00,115561.00,3728.00,529.00,3199.00,0.00,814.00,0.00,111019.00,0.00,0.00,0.00,4521.00,1169.00,3352.00
1980:Q3,167958.00,13374.00,3268.00,13653.00,3192.00,982.00,982.00,0.00,2063.00,128200.00,0.00,119418.00,43907.00,75511.00,8782.00,0.00,8782.00,0.00,0.00,0.00,0.00,0.00,0.00,3226.00,0.00,3226.00,166360.00,28146.00,17327.00,117688.00,4568.00,466.00,4102.00,0.00,545.00,0.00,112575.00,0.00,0.00,0.00,3199.00,1184.00,2015.00
1980:Q4,173726.00,16206.00,2518.00,13832.00,4467.00,1809.00,1809.00,0.00,3330.00,128038.00,0.00,119299.00,43688.00,75611.00,8739.00,0.00,8739.00,0.00,0.00,0.00,0.00,0.00,0.00,3526.00,0.00,3526.00,172523.00,27456.00,19828.00,121471.00,3499.00,437.00,3062.00,0.00,543.00,0.00,117429.00,0.00,0.00,0.00,3768.00,1203.00,2565.00
1981:Q1,169085.00,18170.00,2818.00,14004.00,3261.00,656.00,656.00,0.00,732.00,126388.00,0.00,117666.00,42078.00,75588.00,8722.00,0.00,8722.00,0.00,0.00,0.00,0.00,0.00,0.00,3056.00,0.00,3056.00,167409.00,26164.00,17309.00,120674.00,3526.00,494.00,3032.00,0.00,528.00,0.00,116620.00,0.00,0.00,0.00,3262.00,1227.00,2035.00
