1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,52406.00,22667.00,0.00,4553.00,1184.00,19.00,19.00,0.00,197.00,23604.00,0.00,23604.00,13193.00,10411.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,177.00,0.00,177.00,51734.00,20056.00,2697.00,28560.00,1517.00,1270.00,247.00,0.00,534.00,0.00,26509.00,0.00,0.00,0.00,421.00,237.00,184.00
1952:Q1,51454.00,23260.00,0.00,4575.00,710.00,157.00,157.00,0.00,300.00,22228.00,0.00,22228.00,11810.00,10418.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,18.00,0.00,206.00,0.00,206.00,50700.00,20276.00,2420.00,27746.00,1289.00,1282.00,7.00,0.00,548.00,0.00,25909.00,0.00,0.00,0.00,258.00,242.00,16.00
1952:Q2,51698.00,23316.00,0.00,4598.00,581.00,44.00,44.00,0.00,400.00,22506.00,0.00,22506.00,12202.00,10304.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,233.00,0.00,233.00,50938.00,19381.00,2396.00,28800.00,1616.00,1283.00,333.00,0.00,554.00,0.00,26630.00,0.00,0.00,0.00,361.00,245.00,116.00
1952:Q3,53100.00,23311.00,0.00,4625.00,738.00,355.00,355.00,0.00,500.00,23215.00,0.00,23215.00,12889.00,10326.00,0.00,0.00,0.00,49.00,0.00,0.00,0.00,49.00,0.00,307.00,0.00,307.00,52326.00,20581.00,2530.00,28995.00,1538.00,1274.00,264.00,0.00,740.00,0.00,26717.00,0.00,0.00,0.00,220.00,247.00,-27.00
1952:Q4,53846.00,23157.00,0.00,4656.00,967.00,127.00,127.00,0.00,664.00,24034.00,0.00,24034.00,5738.00,18296.00,0.00,0.00,0.00,34.00,0.00,0.00,0.00,34.00,0.00,207.00,0.00,207.00,53126.00,19950.00,2753.00,29899.00,1659.00,1270.00,389.00,0.00,560.00,0.00,27680.00,0.00,0.00,0.00,524.00,253.00,271.00
1953:Q1,52816.00,22531.00,0.00,4670.00,810.00,690.00,690.00,0.00,600.00,23269.00,0.00,23269.00,5511.00,17758.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,22.00,0.00,224.00,0.00,224.00,52005.00,20148.00,2550.00,28876.00,1313.00,1306.00,7.00,0.00,513.00,0.00,27050.00,0.00,0.00,0.00,431.00,257.00,174.00
1953:Q2,52693.00,22433.00,0.00,4698.00,601.00,54.00,54.00,0.00,600.00,24146.00,0.00,24146.00,6423.00,17723.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,13.00,0.00,148.00,0.00,148.00,51890.00,19561.00,2590.00,29458.00,1391.00,1259.00,132.00,0.00,532.00,0.00,27535.00,0.00,0.00,0.00,281.00,260.00,21.00
1953:Q3,53310.00,22098.00,0.00,4716.00,685.00,329.00,329.00,0.00,600.00,24635.00,0.00,24635.00,7795.00,16840.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,0.00,244.00,0.00,244.00,52469.00,19309.00,2650.00,30067.00,1925.00,1283.00,642.00,0.00,517.00,0.00,27625.00,0.00,0.00,0.00,443.00,262.00,181.00
1953:Q4,53810.00,21987.00,0.00,4738.00,935.00,13.00,13.00,0.00,598.00,25317.00,0.00,25317.00,8413.00,16904.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,17.00,0.00,205.00,0.00,205.00,53050.00,20160.00,2512.00,29806.00,1107.00,761.00,346.00,0.00,430.00,0.00,28269.00,0.00,0.00,0.00,572.00,265.00,307.00
1954:Q1,52242.00,21929.00,0.00,4779.00,535.00,132.00,132.00,0.00,400.00,24232.00,0.00,24232.00,7962.00,16270.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,16.00,0.00,219.00,0.00,219.00,51395.00,19194.00,2630.00,29113.00,1541.00,819.00,722.00,0.00,495.00,0.00,27077.00,0.00,0.00,0.00,458.00,270.00,188.00
1954:Q2,52486.00,21891.00,0.00,4803.00,567.00,22.00,22.00,0.00,300.00,24737.00,0.00,24737.00,8916.00,15821.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,16.00,0.00,150.00,0.00,150.00,51637.00,19011.00,2660.00,29501.00,1686.00,811.00,875.00,0.00,553.00,0.00,27262.00,0.00,0.00,0.00,465.00,272.00,193.00
1954:Q3,51658.00,21774.00,0.00,4815.00,511.00,174.00,174.00,0.00,100.00,23946.00,0.00,23946.00,8149.00,15797.00,0.00,0.00,0.00,106.00,0.00,0.00,0.00,106.00,0.00,232.00,0.00,232.00,50807.00,18331.00,2830.00,29169.00,1565.00,796.00,769.00,0.00,512.00,0.00,27092.00,0.00,0.00,0.00,477.00,276.00,201.00
1954:Q4,52581.00,21676.00,0.00,4829.00,808.00,10.00,10.00,0.00,44.00,24888.00,0.00,24888.00,16049.00,8839.00,0.00,0.00,0.00,134.00,0.00,0.00,0.00,134.00,0.00,192.00,0.00,192.00,51784.00,18876.00,2469.00,29893.00,1359.00,796.00,563.00,0.00,494.00,0.00,28040.00,0.00,0.00,0.00,546.00,288.00,258.00
1955:Q1,51572.00,21683.00,0.00,4841.00,552.00,598.00,598.00,0.00,100.00,23505.00,0.00,23505.00,10843.00,12662.00,0.00,0.00,0.00,94.00,0.00,0.00,0.00,94.00,0.00,199.00,0.00,199.00,50721.00,18388.00,2830.00,28974.00,1680.00,829.00,851.00,0.00,386.00,0.00,26908.00,0.00,0.00,0.00,529.00,294.00,235.00
1955:Q2,51261.00,21616.00,0.00,4846.00,850.00,75.00,75.00,0.00,200.00,23423.00,16.00,23407.00,9106.00,14301.00,0.00,0.00,0.00,54.00,0.00,0.00,0.00,54.00,0.00,197.00,0.00,197.00,50398.00,18066.00,2681.00,29123.00,1192.00,812.00,380.00,0.00,383.00,0.00,27548.00,0.00,0.00,0.00,528.00,295.00,233.00
1955:Q3,51885.00,21655.00,0.00,4850.00,788.00,649.00,649.00,0.00,300.00,23421.00,19.00,23402.00,3527.00,19875.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,14.00,0.00,208.00,0.00,208.00,51000.00,18475.00,2960.00,29065.00,1303.00,791.00,512.00,0.00,384.00,0.00,27378.00,0.00,0.00,0.00,500.00,298.00,202.00
1955:Q4,53209.00,21629.00,0.00,4852.00,1585.00,107.00,107.00,0.00,398.00,24415.00,24.00,24391.00,7424.00,16967.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,221.00,0.00,221.00,52379.00,19005.00,2682.00,30046.00,1161.00,767.00,394.00,0.00,409.00,0.00,28476.00,0.00,0.00,0.00,646.00,303.00,343.00
1956:Q1,51845.00,21686.00,0.00,4859.00,793.00,706.00,706.00,0.00,300.00,23318.00,15.00,23303.00,11632.00,11671.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,182.00,0.00,182.00,50917.00,18582.00,2890.00,28996.00,1299.00,787.00,512.00,0.00,349.00,0.00,27348.00,0.00,0.00,0.00,449.00,310.00,139.00
1956:Q2,52153.00,21771.00,0.00,4876.00,1206.00,232.00,232.00,0.00,300.00,23475.00,18.00,23457.00,11757.00,11700.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,292.00,0.00,292.00,51205.00,18443.00,2273.00,30038.00,1290.00,768.00,522.00,0.00,306.00,0.00,28442.00,0.00,0.00,0.00,451.00,316.00,135.00
1956:Q3,52340.00,21853.00,0.00,4890.00,1060.00,573.00,573.00,0.00,300.00,23310.00,17.00,23293.00,11634.00,11659.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,353.00,0.00,353.00,51368.00,18656.00,3100.00,29258.00,1363.00,780.00,583.00,0.00,334.00,0.00,27561.00,0.00,0.00,0.00,354.00,320.00,34.00
1956:Q4,53825.00,21890.00,0.00,4910.00,1665.00,25.00,25.00,0.00,340.00,24644.00,34.00,24610.00,12654.00,11956.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,26.00,0.00,325.00,0.00,325.00,52941.00,19059.00,3261.00,30070.00,1216.00,775.00,441.00,0.00,325.00,0.00,28529.00,0.00,0.00,0.00,551.00,326.00,225.00
1957:Q1,51939.00,22276.00,0.00,4929.00,807.00,592.00,592.00,0.00,400.00,22689.00,23.00,22666.00,11667.00,10999.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,26.00,0.00,220.00,0.00,220.00,50921.00,18350.00,2910.00,29212.00,1301.00,811.00,490.00,0.00,352.00,0.00,27559.00,0.00,0.00,0.00,449.00,331.00,118.00
1957:Q2,52665.00,22590.00,0.00,4951.00,1029.00,824.00,824.00,0.00,400.00,22658.00,23.00,22635.00,11621.00,11014.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,212.00,0.00,212.00,51627.00,18628.00,2950.00,29850.00,1256.00,758.00,498.00,0.00,462.00,0.00,28132.00,0.00,0.00,0.00,199.00,333.00,-134.00
1957:Q3,52729.00,22612.00,0.00,4970.00,985.00,776.00,776.00,0.00,400.00,22769.00,17.00,22752.00,20511.00,2241.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,7.00,0.00,210.00,0.00,210.00,51751.00,18594.00,3040.00,29702.00,1385.00,780.00,605.00,0.00,380.00,0.00,27937.00,0.00,0.00,0.00,415.00,338.00,77.00
1957:Q4,53833.00,22752.00,0.00,4990.00,1424.00,50.00,50.00,0.00,542.00,23762.00,43.00,23719.00,20918.00,2801.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,308.00,0.00,308.00,52887.00,19034.00,3335.00,30106.00,1242.00,761.00,481.00,0.00,365.00,0.00,28499.00,0.00,0.00,0.00,412.00,345.00,67.00
1958:Q1,52026.00,22355.00,0.00,5026.00,704.00,118.00,118.00,0.00,410.00,23154.00,29.00,23125.00,20839.00,2286.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,259.00,0.00,259.00,51015.00,18426.00,2890.00,29248.00,1353.00,730.00,623.00,0.00,262.00,0.00,27633.00,0.00,0.00,0.00,451.00,350.00,101.00
1958:Q2,53022.00,21309.00,0.00,5047.00,796.00,128.00,128.00,0.00,310.00,25173.00,35.00,25138.00,22649.00,2489.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,259.00,0.00,259.00,51998.00,18568.00,3017.00,29534.00,1102.00,692.00,410.00,0.00,277.00,0.00,28155.00,0.00,0.00,0.00,879.00,353.00,526.00
