date,FA106902501.A,FA106300083.A,FA106902605.A,FA106025005.A,FA106020001.A,FA106401001.A,FA106240101.A,FA106402101.A,FA106140005.A,FA106402101.A,FA106150105.A,FA106130101.A,FA106121101.A,FA103092201.A,FA106150005.A,FA106130001.A,FA106121001.A,FA103192201.A,FA106112001.A,FA106140005.A,FA106220001.A,FA106403001.A,FA106012095.A,FA106012095.A,FA106006385.A,FA106012095.A,FA105440005.A,FA105050985.A,FA105019085.A,FA106300083.A,FA105420095.A,FA105020005.A,FA105000905.A,FA105000905.A,FA104090005.A,FA104000005.A,FA103020005.A,FA103030003.A,FA103091003.A,FA104022005.A,FA103069100.A,FA103061103.A,FA103061703.A,FA103062003.A,FA104035005.A,FA104041005.A,FA103065003.A,FA103081005.A,FA103034003.A,FA103064203.A,FA103092005.A,FA103092405.A,FA103094105.A,FA103076005.A,FA103096005.A,FA103070005.A,FA103093005.A,FA104190005.A,FA104122005.A,FA103169100.A,FA103162000.A,FA103163003.A,FA104123005.A,FA104141005.A,FA103168005.A,FA103169005.A,FA103165005.A,FA103181005.A,FA103164103.A,FA103192005.A,FA103152025.A,FA573074005.A,FA573073005.A,FA103196005.A,FA103170005.A,FA103178000.A,FA103193005.A,FA105000005.A,FV108090105.A,FV102010005.A,FV108090085.A,FU107005045.A,FU105020601.A,FR102010005.A,FR105035005.A,FR105015205.A,FR105013765.A,FR105020015.A,FR108080095.A,FR103064203.A,FR103092005.A,FR104190085.A,FR103164103.A,FR103192005.A,FR103152025.A,FR108200005.A,FC102090085.A,FL102000005.A,FL102010005.A,LM105035005.A,FL105015205.A,FL105013765.A,FL105020015.A,FL104090005.A,FL104000005.A,FL103020005.A,FL103030003.A,FL103091003.A,FL104022005.A,FL103069100.A,FL103061103.A,FL103061703.A,FL103062003.A,FL104035005.A,FL104041005.A,FL102051003.A,FL103066005.A,FL103065003.A,FL103081005.A,FL103034003.A,LM103064203.A,FL103092005.A,FL103092405.A,FL103094105.A,FL103076005.A,FL103096005.A,FL103070005.A,FL103093005.A,FL102100085.A,FL104194005.A,FL104122005.A,FL103169100.A,FL103162000.A,FL103163003.A,FL104123005.A,FL104141005.A,FL103168005.A,FL103169005.A,FL103165005.A,FL103181005.A,LM103164103.A,FL103192005.A,FL103152025.A,FL573074005.A,FL573073005.A,FL103196005.A,FL103170005.A,FL103178000.A,FL103193005.A,FL102090085.A
1985,2369530.00,298976.00,2070554.00,1490089.00,1243009.00,247080.00,196579.00,383886.00,238453.00,383886.00,174603.00,123569.00,27391.00,23643.00,320036.00,211109.00,99398.00,-387.00,9916.00,238453.00,71083.00,15362.00,152008.00,152008.00,152012.00,152008.00,-4.00,148569.00,431149.00,298976.00,685.00,15711.00,3444.00,3444.00,213002.00,26157.00,23241.00,177.00,2739.00,7158.00,736.00,4635.00,-1302.00,3089.00,9149.00,3582.00,5567.00,21153.00,-1542.00,3667.00,14314.00,-18.00,4732.00,4261.00,145124.00,45222.00,99902.00,377373.00,120374.00,14598.00,22600.00,83176.00,63961.00,59145.00,41000.00,18145.00,4816.00,-66964.00,-84500.00,17536.00,-13918.00,5794.00,-19712.00,273920.00,42460.00,-3158.00,234618.00,-164371.00,-99035.00,-82.00,68883.00,167814.00,21.00,78108.00,47802.00,27683.00,6382.00,-3758.00,2911.00,-61.00,2972.00,370345.00,448128.00,1779.00,-79562.00,-289326.00,-236348.00,7802957.00,5329639.00,2872856.00,1416418.00,319788.00,720577.00,2473318.00,211873.00,126549.00,69301.00,16023.00,81169.00,10478.00,41102.00,4017.00,25572.00,102892.00,45879.00,3374.00,42505.00,57013.00,419404.00,14520.00,10799.00,377132.00,296.00,16657.00,64155.00,1593824.00,739342.00,854482.00,7802957.00,5237884.00,777480.00,72207.00,127039.00,578234.00,861463.00,692164.00,453930.00,238234.00,169299.00,2127777.00,1916908.00,210869.00,-5254.00,18707.00,-23961.00,1476418.00,480430.00,39009.00,956979.00,2565072.00
1986,2465333.00,317872.00,2147461.00,1578176.00,1307315.00,270862.00,204565.00,364720.00,203983.00,364720.00,182312.00,132431.00,30830.00,19051.00,343049.00,230517.00,103686.00,-664.00,9510.00,203983.00,76238.00,26919.00,100826.00,100826.00,100826.00,100826.00,0.00,118091.00,426197.00,317872.00,2241.00,7526.00,-17265.00,-17265.00,131426.00,20955.00,1548.00,16229.00,3178.00,-3256.00,-305.00,-777.00,-1657.00,-517.00,-652.00,6211.00,-6863.00,25228.00,375.00,3757.00,19067.00,-40.00,2069.00,18927.00,70224.00,2144.00,68080.00,188578.00,107873.00,-9342.00,-9901.00,127116.00,119858.00,103992.00,65711.00,38281.00,15866.00,-53104.00,-84975.00,31871.00,30828.00,35.00,30793.00,-16876.00,-1980.00,3775.00,-18671.00,-57152.00,38714.00,0.00,85661.00,39886.00,7061.00,76637.00,37742.00,39353.00,5672.00,-6130.00,7216.00,1120.00,6096.00,385316.00,408902.00,3328.00,-26915.00,-301463.00,-161924.00,8153537.00,5511209.00,2956923.00,1491384.00,347991.00,714911.00,2642328.00,232829.00,128098.00,85530.00,19201.00,77913.00,10173.00,40325.00,2360.00,25055.00,102240.00,52090.00,5073.00,47017.00,50150.00,451848.00,14895.00,15676.00,402295.00,256.00,18726.00,83082.00,1694415.00,741486.00,952929.00,8153537.00,5750388.00,885353.00,62865.00,117138.00,705350.00,980448.00,795154.00,519640.00,275514.00,185294.00,2494903.00,2240835.00,254068.00,28768.00,18742.00,10026.00,1360916.00,478450.00,42784.00,839682.00,2403149.00
1987,2642464.00,334692.00,2307772.00,1685458.00,1397010.00,288448.00,216840.00,405475.00,241353.00,405475.00,192710.00,134583.00,29850.00,28277.00,356831.00,242643.00,106100.00,-315.00,8404.00,241353.00,94230.00,29655.00,117468.00,117468.00,117468.00,117468.00,0.00,117615.00,421387.00,334692.00,-484.00,31404.00,-147.00,-147.00,228794.00,7048.00,9574.00,413.00,-2939.00,-9145.00,4793.00,-8535.00,288.00,-5691.00,6677.00,5300.00,1377.00,21667.00,932.00,-2680.00,29672.00,-31.00,-6226.00,23507.00,179040.00,63860.00,115180.00,273120.00,79450.00,1599.00,-914.00,78765.00,86186.00,40704.00,4407.00,36297.00,45482.00,-22976.00,-75500.00,52524.00,39283.00,1508.00,37775.00,91177.00,44368.00,5082.00,41727.00,-44326.00,33726.00,0.00,61666.00,44179.00,-16239.00,153577.00,92920.00,37237.00,14449.00,8970.00,30380.00,-179.00,30559.00,133712.00,121318.00,-1213.00,13607.00,50245.00,201439.00,8675752.00,5802557.00,3096102.00,1552948.00,381982.00,771525.00,2873195.00,239878.00,137673.00,85943.00,16262.00,68768.00,14966.00,31790.00,2648.00,19364.00,108917.00,57390.00,3362.00,54028.00,51527.00,503894.00,15827.00,12817.00,462526.00,224.00,12500.00,106590.00,1845148.00,805346.00,1039802.00,8675752.00,6071164.00,974107.00,73768.00,116224.00,784115.00,1085104.00,832437.00,524047.00,308390.00,252667.00,2603399.00,2286653.00,316746.00,103520.00,20250.00,83270.00,1305034.00,522817.00,47866.00,734351.00,2604588.00
1988,2874512.00,357688.00,2516824.00,1825308.00,1514866.00,310442.00,233839.00,457677.00,261933.00,457677.00,221176.00,151495.00,45771.00,23910.00,416920.00,280413.00,127937.00,1316.00,7255.00,261933.00,103953.00,27036.00,130945.00,130945.00,130945.00,130945.00,0.00,120068.00,450581.00,357688.00,-771.00,27946.00,10877.00,10877.00,350328.00,15598.00,13976.00,-3670.00,5292.00,-4371.00,-1318.00,-3857.00,3374.00,-2570.00,24966.00,8348.00,16618.00,606.00,-5488.00,-2734.00,11832.00,7.00,-3011.00,15034.00,298495.00,90570.00,207925.00,443332.00,115210.00,11908.00,185.00,103117.00,109219.00,82418.00,36462.00,45956.00,26801.00,-59668.00,-129500.00,69832.00,20258.00,-1238.00,21496.00,258314.00,54130.00,-3495.00,207679.00,-93004.00,140124.00,0.00,221831.00,103881.00,-22174.00,222524.00,146864.00,51023.00,13013.00,11623.00,10878.00,544.00,10334.00,436301.00,400923.00,7767.00,27611.00,-202899.00,68170.00,9432664.00,6180190.00,3297032.00,1634969.00,414921.00,833268.00,3252473.00,255476.00,151649.00,82273.00,21554.00,64397.00,13648.00,27933.00,6022.00,16794.00,133883.00,65738.00,4981.00,60757.00,68145.00,515378.00,10339.00,10627.00,484692.00,231.00,9489.00,121624.00,2161716.00,895916.00,1265800.00,9432664.00,6759906.00,1089317.00,85676.00,116409.00,887232.00,1174207.00,919231.00,565416.00,353815.00,254976.00,2952421.00,2558076.00,394345.00,161518.00,19012.00,142506.00,1382443.00,576977.00,44371.00,761095.00,2672758.00
1989,3020791.00,380056.00,2640735.00,1934822.00,1600102.00,334721.00,248156.00,457757.00,224511.00,457757.00,246104.00,179036.00,42516.00,24552.00,479350.00,332083.00,147880.00,-7706.00,7094.00,224511.00,101208.00,23481.00,99822.00,99822.00,101006.00,99822.00,-1184.00,135678.00,489851.00,380056.00,-343.00,26226.00,-34673.00,-34673.00,181265.00,574.00,9086.00,-1663.00,-6849.00,42847.00,643.00,23499.00,3148.00,15557.00,-12872.00,874.00,-13746.00,25035.00,40.00,-1440.00,26067.00,-65.00,433.00,14329.00,111352.00,42076.00,69276.00,347297.00,94364.00,21436.00,-919.00,73847.00,71546.00,70341.00,21596.00,48745.00,1205.00,-61784.00,-124150.00,62366.00,29855.00,7268.00,22587.00,213316.00,21570.00,-6082.00,197828.00,-166032.00,-18074.00,-2784.00,99722.00,131359.00,-16348.00,160486.00,98937.00,47684.00,12905.00,960.00,-10339.00,2522.00,-12861.00,611388.00,704674.00,-2080.00,-91207.00,-461241.00,-378309.00,9975893.00,6495007.00,3446477.00,1718926.00,452802.00,876803.00,3480886.00,256050.00,160735.00,80610.00,14705.00,107244.00,14291.00,51432.00,9170.00,32351.00,121011.00,66612.00,2783.00,63829.00,54399.00,530074.00,10379.00,11709.00,497898.00,166.00,9922.00,135952.00,2330555.00,937992.00,1392563.00,9975893.00,7681444.00,1183681.00,107112.00,115490.00,961079.00,1270443.00,1007241.00,604541.00,402701.00,263201.00,3593231.00,3138600.00,454631.00,115310.00,26280.00,89030.00,1518779.00,598546.00,38289.00,881944.00,2294449.00
1990,3161247.00,402952.00,2758295.00,2037523.00,1682877.00,354646.00,263528.00,457243.00,215145.00,457243.00,255931.00,183005.00,40248.00,32678.00,498029.00,345584.00,158546.00,-13750.00,7649.00,215145.00,98453.00,24867.00,91826.00,91826.00,91826.00,91826.00,0.00,134837.00,526765.00,402952.00,-654.00,11679.00,-43012.00,-43012.00,124490.00,102.00,6136.00,-6046.00,12.00,-27803.00,-455.00,-13783.00,-5885.00,-7680.00,1039.00,2666.00,-1627.00,49466.00,9276.00,-987.00,35644.00,-8.00,5541.00,13352.00,88334.00,29186.00,59148.00,183799.00,56491.00,9740.00,-337.00,47088.00,74495.00,51243.00,-10483.00,61726.00,23252.00,-3903.00,-63000.00,59097.00,61235.00,6051.00,55184.00,-4519.00,28315.00,13.00,-32847.00,-59309.00,36937.00,0.00,40342.00,16297.00,-12892.00,-1952.00,-81732.00,59074.00,12266.00,8440.00,21631.00,-999.00,22630.00,-99569.00,-119786.00,-462.00,20679.00,119248.00,248011.00,10238063.00,6649139.00,3433080.00,1813324.00,492921.00,909813.00,3588924.00,256152.00,166871.00,74564.00,14717.00,79441.00,13836.00,37649.00,3285.00,24671.00,122050.00,69278.00,2137.00,67141.00,52772.00,601171.00,19655.00,9723.00,556172.00,158.00,15463.00,149305.00,2380805.00,967178.00,1413627.00,10238063.00,7695603.00,1240172.00,116852.00,115153.00,1008167.00,1343113.00,1057171.00,594058.00,463113.00,285942.00,3469080.00,2955814.00,513266.00,206884.00,32331.00,174553.00,1436354.00,626861.00,38302.00,771191.00,2542460.00
1991,3231795.00,424456.00,2807339.00,2071121.00,1701726.00,369395.00,285729.00,450489.00,215552.00,450489.00,247708.00,180535.00,37262.00,29911.00,482645.00,329487.00,162755.00,-17888.00,8291.00,215552.00,88598.00,26092.00,100862.00,100862.00,100862.00,100862.00,0.00,99395.00,524861.00,424456.00,-1737.00,727.00,1467.00,1467.00,83018.00,11675.00,6940.00,3017.00,1718.00,28610.00,859.00,5777.00,1827.00,20147.00,1530.00,-4670.00,6200.00,47122.00,4476.00,2409.00,38081.00,16.00,2140.00,2212.00,-8131.00,-5798.00,-2333.00,67388.00,59224.00,-18375.00,-1169.00,78768.00,-113499.00,-104671.00,-47382.00,-57289.00,-8828.00,16916.00,18250.00,-1334.00,36737.00,12072.00,24665.00,68010.00,23060.00,-9410.00,54360.00,15630.00,-113290.00,0.00,-122526.00,-14163.00,4927.00,-248570.00,-273589.00,23739.00,11983.00,-10703.00,-11269.00,2696.00,-13965.00,900241.00,1024417.00,-597.00,-123579.00,-1160080.00,-1172508.00,10208881.00,6494299.00,3205314.00,1861346.00,532728.00,894911.00,3714582.00,267827.00,173811.00,77581.00,16435.00,108051.00,14695.00,43426.00,5112.00,44818.00,123580.00,64608.00,1620.00,62988.00,58972.00,637025.00,24131.00,14828.00,580288.00,175.00,17603.00,151517.00,2426583.00,961380.00,1465203.00,10208881.00,8838929.00,1299396.00,98477.00,113984.00,1086935.00,1225052.00,947936.00,542316.00,405620.00,277115.00,4509738.00,3998481.00,511257.00,129554.00,44403.00,85151.00,1675189.00,650126.00,28892.00,996172.00,1369952.00
1992,3377145.00,437752.00,2939393.00,2188674.00,1783873.00,404801.00,302501.00,448218.00,222539.00,448218.00,235347.00,165239.00,40663.00,29445.00,461025.00,288989.00,174929.00,-11110.00,8217.00,222539.00,94429.00,30693.00,97417.00,97417.00,104372.00,97417.00,-6955.00,115565.00,545098.00,437752.00,-1745.00,9965.00,-11193.00,-11193.00,145702.00,-6446.00,-4212.00,-1590.00,-644.00,23980.00,2349.00,17163.00,3473.00,995.00,7254.00,6190.00,1064.00,60448.00,13488.00,5036.00,39958.00,-4.00,1970.00,13680.00,46786.00,27562.00,19224.00,161435.00,80499.00,8629.00,4301.00,67569.00,-64513.00,-25324.00,-31530.00,6206.00,-39189.00,33732.00,27000.00,6732.00,83453.00,9918.00,73535.00,28263.00,33358.00,6452.00,-11547.00,-15733.00,-163507.00,-3802.00,-157986.00,4540.00,-2821.00,-257301.00,-288180.00,18743.00,9406.00,2730.00,-32565.00,1284.00,-33849.00,282713.00,335698.00,-3637.00,-49348.00,-572579.00,-631713.00,10219945.00,6342439.00,2947626.00,1915628.00,568758.00,910426.00,3877506.00,261381.00,169599.00,75991.00,15791.00,132031.00,17044.00,60589.00,8585.00,45813.00,130834.00,70798.00,5057.00,65741.00,60036.00,664909.00,37619.00,21148.00,586397.00,172.00,19573.00,165196.00,2523155.00,988942.00,1534213.00,10219945.00,9481706.00,1379895.00,107106.00,118285.00,1154504.00,1163708.00,925782.00,513956.00,411826.00,237926.00,4884809.00,4361179.00,523630.00,177236.00,54321.00,122915.00,1876058.00,683484.00,35344.00,1157230.00,738238.00
1993,3535274.00,457944.00,3077330.00,2271016.00,1845450.00,425566.00,319322.00,486993.00,269136.00,486993.00,234750.00,156100.00,36117.00,42533.00,452607.00,265680.00,185297.00,-6666.00,8296.00,269136.00,108041.00,29521.00,131574.00,131574.00,132177.00,131574.00,-603.00,149673.00,584403.00,457944.00,-1701.00,24915.00,-17496.00,-17496.00,332702.00,35319.00,20617.00,15991.00,-1289.00,9986.00,2367.00,-11750.00,10474.00,8895.00,-3390.00,4363.00,-7753.00,55895.00,-3672.00,6803.00,57913.00,15.00,-5164.00,6880.00,228012.00,50678.00,177334.00,218505.00,199968.00,10012.00,6579.00,183377.00,-65660.00,-34321.00,-7294.00,-27027.00,-31340.00,41643.00,21300.00,20343.00,19977.00,12315.00,7662.00,22577.00,36537.00,5381.00,-19341.00,114197.00,21423.00,-1483.00,-112808.00,-131693.00,-4021.00,-22814.00,-53000.00,19126.00,7520.00,3540.00,-24804.00,1825.00,-26629.00,386347.00,459859.00,-4047.00,-69465.00,-433964.00,-280365.00,10700200.00,6474351.00,2933348.00,1994435.00,603665.00,942902.00,4225850.00,296700.00,190216.00,91982.00,14502.00,142017.00,19411.00,48839.00,19059.00,54708.00,132018.00,79735.00,2506.00,77229.00,52283.00,685445.00,33947.00,29776.00,607125.00,188.00,14409.00,172076.00,2797594.00,1035046.00,1762548.00,10700200.00,10242327.00,1580574.00,117829.00,124864.00,1337881.00,1109793.00,891462.00,506662.00,384799.00,218331.00,5387632.00,4842338.00,545294.00,137604.00,66636.00,70968.00,2026724.00,720020.00,40725.00,1265979.00,457874.00
1994,3816529.00,484776.00,3331753.00,2398673.00,1952818.00,445855.00,350747.00,582333.00,340842.00,582333.00,249717.00,170658.00,40808.00,38251.00,491208.00,279495.00,198785.00,4840.00,8087.00,340842.00,132356.00,34651.00,173836.00,173836.00,177094.00,173836.00,-3258.00,202342.00,638935.00,484776.00,-1712.00,49895.00,-25249.00,-25249.00,273623.00,17394.00,11845.00,4387.00,1162.00,4210.00,-585.00,1981.00,816.00,1998.00,13134.00,9064.00,4070.00,85944.00,3157.00,2084.00,78506.00,12.00,2185.00,5897.00,147044.00,71933.00,75111.00,242607.00,118813.00,21409.00,6825.00,90579.00,71035.00,77723.00,46831.00,30892.00,-6689.00,1167.00,-44900.00,46067.00,-6729.00,11689.00,-18418.00,58322.00,77408.00,-410.00,-18676.00,31016.00,81573.00,-5723.00,18596.00,-56264.00,-12436.00,193985.00,136841.00,28487.00,17725.00,10932.00,-855.00,-799.00,-56.00,-25355.00,-609.00,-1011.00,-23735.00,218485.00,477151.00,11371614.00,6875817.00,3104870.00,2106498.00,648283.00,1016166.00,4495797.00,314094.00,202061.00,96369.00,15664.00,146227.00,18826.00,50820.00,19875.00,56706.00,145152.00,88799.00,2178.00,86621.00,56353.00,770533.00,37104.00,31061.00,685575.00,199.00,16594.00,177973.00,2941818.00,1106979.00,1834839.00,11371614.00,10436589.00,1699387.00,139238.00,131689.00,1428460.00,1187857.00,976215.00,554175.00,422040.00,211642.00,5394902.00,4796829.00,598073.00,116003.00,78325.00,37678.00,2038440.00,797428.00,40315.00,1200697.00,935025.00
1995,4041368.00,523696.00,3517672.00,2524556.00,2076881.00,447676.00,358668.00,634449.00,381874.00,634449.00,300085.00,194493.00,45368.00,60224.00,552659.00,313345.00,223391.00,8429.00,7494.00,381874.00,140323.00,30163.00,211389.00,211389.00,211833.00,211389.00,-444.00,242240.00,721503.00,523696.00,5936.00,38497.00,-30407.00,-30407.00,424730.00,9671.00,4613.00,3319.00,1739.00,-8779.00,1316.00,6278.00,3546.00,-19919.00,268.00,-1300.00,1568.00,123696.00,22859.00,4648.00,90322.00,7.00,5860.00,8497.00,291377.00,77964.00,213413.00,392072.00,86844.00,18113.00,3069.00,65662.00,105302.00,106255.00,77319.00,28936.00,-954.00,-3464.00,-58330.00,54866.00,85154.00,5432.00,79722.00,118237.00,81176.00,-6.00,37067.00,32658.00,-42341.00,-701.00,-122989.00,-63065.00,-18284.00,124134.00,67372.00,33643.00,17103.00,6018.00,12735.00,9959.00,2776.00,1444731.00,1668255.00,-3557.00,-219967.00,-1307862.00,-1138370.00,12226547.00,7251167.00,3223004.00,2249075.00,700123.00,1078965.00,4975380.00,323764.00,206673.00,99688.00,17403.00,137448.00,20142.00,57098.00,23421.00,36787.00,145422.00,87501.00,2440.00,85061.00,57921.00,906964.00,59963.00,45668.00,778673.00,206.00,22454.00,186470.00,3275311.00,1184941.00,2090370.00,12226547.00,12429892.00,1786231.00,157351.00,134758.00,1494122.00,1308964.00,1098725.00,631494.00,467231.00,210239.00,7058048.00,6406754.00,651294.00,-10436.00,83757.00,-94193.00,2287085.00,878603.00,40309.00,1368172.00,-203345.00
1996,4296144.00,557384.00,3738760.00,2667703.00,2206889.00,460814.00,371682.00,699376.00,435508.00,699376.00,331772.00,217318.00,52696.00,61758.00,595640.00,328328.00,250243.00,8330.00,8739.00,435508.00,152928.00,37318.00,245262.00,245262.00,245262.00,245262.00,0.00,250016.00,782462.00,557384.00,3418.00,21521.00,-4755.00,-4755.00,449533.00,23157.00,-17630.00,29982.00,10805.00,678.00,11392.00,-10003.00,5059.00,-5770.00,-9423.00,-5852.00,-3571.00,121048.00,34663.00,9087.00,76794.00,-53.00,557.00,2832.00,311241.00,88122.00,223119.00,399912.00,90408.00,-946.00,3093.00,88261.00,71993.00,61400.00,43830.00,17570.00,10593.00,24203.00,-47325.00,71528.00,88421.00,5428.00,82993.00,124887.00,49728.00,9563.00,65596.00,49621.00,-34322.00,0.00,-85626.00,-54376.00,3071.00,-1432.00,-16868.00,315.00,8025.00,7097.00,18830.00,7811.00,11019.00,219653.00,401106.00,-18033.00,-163420.00,-202255.00,8685.00,12959470.00,7486990.00,3260026.00,2368640.00,753813.00,1104511.00,5472481.00,346922.00,189044.00,129670.00,28208.00,138126.00,31534.00,47095.00,28480.00,31017.00,135999.00,81649.00,3904.00,77745.00,54350.00,1046843.00,94626.00,62566.00,866486.00,153.00,23012.00,189302.00,3615288.00,1273063.00,2342225.00,12959470.00,13154130.00,1876639.00,156405.00,137851.00,1582383.00,1368271.00,1147109.00,662307.00,484803.00,221162.00,7465324.00,6760535.00,704789.00,-70830.00,89185.00,-160015.00,2514726.00,928331.00,49872.00,1536523.00,-194660.00
1997,4608415.00,598412.00,4010003.00,2862551.00,2384239.00,478312.00,388899.00,758553.00,467387.00,758553.00,366121.00,237782.00,62333.00,66006.00,657287.00,355485.00,278281.00,14217.00,9304.00,467387.00,161359.00,38488.00,267540.00,267540.00,267540.00,267540.00,0.00,332204.00,860584.00,598412.00,7861.00,62171.00,-64663.00,-64663.00,264986.00,18301.00,-11334.00,34704.00,-5069.00,-39784.00,4611.00,-20249.00,-20509.00,-3637.00,33217.00,7322.00,25895.00,115165.00,24208.00,1728.00,84273.00,9.00,4947.00,2096.00,135991.00,88043.00,47948.00,285092.00,146652.00,13726.00,4151.00,128775.00,133741.00,105162.00,55088.00,50074.00,28579.00,21631.00,-77375.00,99006.00,104188.00,8387.00,95801.00,-121120.00,65257.00,9342.00,-195719.00,-20106.00,-40451.00,0.00,-70919.00,-44557.00,14090.00,689113.00,707101.00,-26280.00,13094.00,-4802.00,-7438.00,10198.00,-17636.00,1679849.00,1926876.00,-27667.00,-219360.00,-998174.00,-771085.00,14289732.00,8471286.00,4021887.00,2477371.00,824238.00,1147790.00,5818447.00,365223.00,177710.00,164374.00,23139.00,98342.00,36145.00,26846.00,7971.00,27380.00,169216.00,88971.00,4562.00,84409.00,80245.00,1154569.00,118834.00,74492.00,933123.00,161.00,27959.00,191399.00,3839698.00,1361106.00,2478592.00,14289732.00,15255477.00,2021758.00,168598.00,142002.00,1711158.00,1501490.00,1251748.00,716874.00,534874.00,249742.00,9366479.00,8610036.00,756443.00,-176939.00,97572.00,-274511.00,2542689.00,993588.00,59214.00,1489887.00,-965745.00
1998,4873697.00,638224.00,4235474.00,3093832.00,2582623.00,511209.00,402904.00,738738.00,403825.00,738738.00,342390.00,228436.00,58216.00,55738.00,677303.00,366356.00,299251.00,2844.00,8852.00,403825.00,158668.00,34129.00,211027.00,211027.00,211027.00,211027.00,0.00,338408.00,915160.00,638224.00,4317.00,57155.00,-127381.00,-127381.00,568431.00,19667.00,-15926.00,28214.00,7379.00,1063.00,3288.00,-3231.00,2638.00,-1632.00,-18398.00,-5414.00,-12984.00,176676.00,42885.00,14576.00,129183.00,26.00,-9994.00,2260.00,387163.00,87326.00,299837.00,617907.00,238085.00,24360.00,5761.00,207964.00,141494.00,140767.00,80654.00,60113.00,727.00,-70649.00,-215537.00,144888.00,109395.00,12881.00,96514.00,199583.00,57659.00,4844.00,137080.00,-49476.00,220225.00,0.00,158063.00,-77904.00,15743.00,399673.00,438311.00,-35269.00,11501.00,-14870.00,-12681.00,8577.00,-21258.00,2213129.00,2493494.00,-83577.00,-196788.00,-1826138.00,-1394886.00,16003554.00,9178775.00,4529731.00,2582487.00,892226.00,1174331.00,6824778.00,384890.00,161784.00,192588.00,30518.00,99405.00,39433.00,23615.00,10609.00,25748.00,150818.00,83557.00,4208.00,79349.00,67261.00,1318563.00,161719.00,97645.00,1041048.00,186.00,17965.00,193659.00,4677443.00,1448432.00,3229011.00,16003554.00,18364184.00,2259843.00,192958.00,147763.00,1919122.00,1642938.00,1392469.00,797482.00,594987.00,250469.00,11705747.00,10887993.00,817754.00,-187250.00,110453.00,-297703.00,2942906.00,1051246.00,64058.00,1827602.00,-2360631.00
1999,5169906.00,683376.00,4486530.00,3309975.00,2771099.00,538876.00,424636.00,751919.00,438285.00,751919.00,376339.00,242398.00,59710.00,74231.00,689974.00,393118.00,284378.00,3323.00,9155.00,438285.00,171371.00,45628.00,221286.00,221286.00,222164.00,221286.00,-878.00,364155.00,991170.00,683376.00,-840.00,57201.00,-141991.00,-141991.00,965523.00,74790.00,29559.00,44289.00,942.00,5037.00,8171.00,-4195.00,1807.00,-746.00,-27677.00,-1643.00,-26034.00,256219.00,35065.00,9848.00,200713.00,5.00,10588.00,1366.00,655788.00,209160.00,446628.00,989050.00,249594.00,37368.00,5063.00,207163.00,124258.00,76687.00,48601.00,28086.00,47571.00,72740.00,-110368.00,183108.00,96886.00,-18370.00,115256.00,445572.00,178540.00,6974.00,260058.00,-23527.00,213205.00,-1355.00,92142.00,-118465.00,-3954.00,143603.00,112047.00,-21123.00,29633.00,23046.00,28824.00,19838.00,8986.00,3125816.00,3448352.00,-88401.00,-234135.00,-2953389.00,-2518020.00,17774625.00,9681130.00,4715542.00,2720475.00,986581.00,1258532.00,8093495.00,459680.00,191343.00,236877.00,31460.00,104442.00,47604.00,19420.00,12416.00,25002.00,123140.00,81913.00,5793.00,76120.00,41227.00,1603607.00,196784.00,127331.00,1250747.00,192.00,28553.00,195025.00,5607601.00,1657593.00,3950008.00,17774625.00,22653275.00,2509437.00,230326.00,152826.00,2126285.00,1801579.00,1469154.00,846082.00,623072.00,332425.00,15138438.00,14225977.00,912461.00,-284565.00,92083.00,-376648.00,3488386.00,1229787.00,71032.00,2187567.00,-4878650.00
2000,5512981.00,741856.00,4771125.00,3597328.00,3008384.00,588944.00,449868.00,723929.00,377409.00,723929.00,451620.00,286478.00,62031.00,103111.00,798140.00,472323.00,313357.00,-82.00,12542.00,377409.00,170193.00,45467.00,161749.00,161749.00,161749.00,161749.00,0.00,402966.00,1095675.00,741856.00,-1178.00,50325.00,-241217.00,-241217.00,1203879.00,63064.00,35029.00,35466.00,-7431.00,18789.00,10161.00,-1315.00,3007.00,6936.00,6088.00,3780.00,2308.00,220656.00,17130.00,332.00,137991.00,17.00,65186.00,34.00,895248.00,281641.00,613607.00,1238344.00,200883.00,48076.00,1361.00,151446.00,157960.00,133032.00,55216.00,77816.00,24928.00,131278.00,-118204.00,249482.00,98845.00,-19092.00,117937.00,649378.00,312632.00,6960.00,329786.00,-34465.00,940284.00,0.00,716723.00,-206752.00,-16809.00,577409.00,544788.00,-6976.00,25263.00,14334.00,-46743.00,-9622.00,-37121.00,-1873096.00,-1933820.00,18023.00,42701.00,2403762.00,3505796.00,20433475.00,10672669.00,5362750.00,2888822.00,1081098.00,1340000.00,9760806.00,522743.00,226371.00,272343.00,24029.00,123231.00,57765.00,18105.00,15423.00,31938.00,129229.00,85694.00,4204.00,81490.00,43535.00,1713203.00,213914.00,118041.00,1351617.00,210.00,29421.00,195059.00,7077341.00,1939233.00,5138108.00,20433475.00,21806329.00,2710320.00,278402.00,154187.00,2277731.00,1959539.00,1602186.00,901299.00,700888.00,357353.00,13353919.00,12173953.00,1179966.00,-120502.00,72991.00,-193493.00,3903053.00,1542420.00,77992.00,2282641.00,-1372854.00
