1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,509.00,412.00,62.00,0.00,0.00,0.00,350.00,0.00,0.00,350.00,0.00,0.00,0.00,97.00,78.00,19.00,509.00,349.00,-53.00,0.00,0.00,59.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,22.00,91.00
1952:Q1,281.00,313.00,59.00,0.00,0.00,0.00,254.00,0.00,0.00,254.00,0.00,0.00,0.00,-32.00,-26.00,-6.00,281.00,187.00,48.00,0.00,0.00,34.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,-12.00
1952:Q2,118.00,161.00,-24.00,0.00,0.00,0.00,185.00,0.00,0.00,185.00,0.00,0.00,0.00,-43.00,-34.00,-9.00,118.00,-85.00,294.00,0.00,0.00,-61.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.00,0.00,0.00,-11.00,-13.00
1952:Q3,209.00,170.00,42.00,0.00,0.00,0.00,128.00,0.00,0.00,128.00,0.00,0.00,0.00,39.00,31.00,8.00,209.00,154.00,-21.00,0.00,0.00,93.00,-26.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,0.00,-5.00,20.00
1952:Q4,-190.00,-228.00,-15.00,0.00,0.00,0.00,-213.00,0.00,0.00,-213.00,0.00,0.00,0.00,38.00,31.00,7.00,-190.00,-7.00,-216.00,0.00,0.00,-21.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,6.00,21.00
1953:Q1,194.00,231.00,39.00,0.00,0.00,0.00,192.00,0.00,0.00,192.00,0.00,0.00,0.00,-37.00,-30.00,-7.00,194.00,230.00,17.00,0.00,0.00,-47.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,-3.00
1953:Q2,-192.00,-164.00,-73.00,0.00,0.00,0.00,-91.00,0.00,0.00,-91.00,0.00,0.00,0.00,-28.00,-22.00,-6.00,-192.00,-57.00,-18.00,0.00,0.00,-94.00,-3.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.00,0.00,0.00,-10.00,-1.00
1953:Q3,328.00,240.00,50.00,0.00,0.00,0.00,190.00,0.00,0.00,190.00,0.00,0.00,0.00,88.00,70.00,18.00,328.00,176.00,20.00,0.00,0.00,100.00,-15.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,-2.00,51.00
1953:Q4,48.00,-11.00,55.00,0.00,0.00,0.00,-66.00,0.00,0.00,-66.00,0.00,0.00,0.00,59.00,47.00,12.00,48.00,-93.00,-10.00,0.00,0.00,46.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,20.00,45.00
1954:Q1,355.00,348.00,123.00,0.00,0.00,0.00,225.00,0.00,0.00,225.00,0.00,0.00,0.00,7.00,6.00,1.00,355.00,128.00,108.00,0.00,0.00,153.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.00,0.00,0.00,-4.00,-19.00
1954:Q2,-140.00,-149.00,-41.00,0.00,0.00,0.00,-108.00,0.00,0.00,-108.00,0.00,0.00,0.00,9.00,7.00,2.00,-140.00,-124.00,26.00,0.00,0.00,-16.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,-6.00,-13.00
1954:Q3,76.00,56.00,100.00,0.00,0.00,0.00,-44.00,0.00,0.00,-44.00,0.00,0.00,0.00,20.00,16.00,4.00,76.00,1.00,-38.00,0.00,0.00,137.00,-11.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00,-19.00
1954:Q4,-11.00,-278.00,-53.00,0.00,0.00,0.00,-225.00,0.00,0.00,-225.00,0.00,0.00,0.00,267.00,214.00,53.00,-11.00,-229.00,-9.00,0.00,0.00,-44.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00,234.00
1955:Q1,208.00,275.00,-31.00,0.00,0.00,0.00,306.00,0.00,0.00,306.00,0.00,0.00,0.00,-67.00,-54.00,-13.00,208.00,290.00,-10.00,0.00,0.00,-76.00,-13.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,17.00,-17.00
1955:Q2,-65.00,88.00,-120.00,0.00,0.00,0.00,208.00,0.00,0.00,208.00,0.00,0.00,0.00,-153.00,-122.00,-31.00,-65.00,95.00,71.00,0.00,16.00,-129.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,-3.00,-110.00
1955:Q3,-27.00,-43.00,-9.00,0.00,0.00,0.00,-34.00,0.00,0.00,-34.00,0.00,0.00,0.00,16.00,12.00,4.00,-27.00,46.00,-107.00,0.00,3.00,23.00,-20.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,13.00,3.00
1955:Q4,-271.00,-241.00,-9.00,0.00,0.00,0.00,-232.00,0.00,0.00,-232.00,0.00,0.00,0.00,-30.00,-24.00,-6.00,-271.00,-149.00,-28.00,0.00,5.00,-68.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,-13.00,-21.00
1956:Q1,577.00,558.00,0.00,0.00,0.00,0.00,558.00,0.00,0.00,558.00,0.00,0.00,0.00,19.00,16.00,3.00,577.00,478.00,-46.00,0.00,-9.00,36.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00,0.00,44.00,37.00
1956:Q2,-105.00,-129.00,-73.00,0.00,0.00,0.00,-56.00,0.00,0.00,-56.00,0.00,0.00,0.00,24.00,19.00,5.00,-105.00,-150.00,154.00,0.00,3.00,-51.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.00,0.00,0.00,-37.00,10.00
1956:Q3,180.00,58.00,112.00,0.00,0.00,0.00,-54.00,0.00,0.00,-54.00,0.00,0.00,0.00,122.00,97.00,25.00,180.00,-81.00,46.00,0.00,-1.00,86.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,22.00,93.00
1956:Q4,-174.00,-338.00,-23.00,0.00,0.00,0.00,-315.00,0.00,0.00,-315.00,0.00,0.00,0.00,164.00,132.00,32.00,-174.00,-181.00,-66.00,0.00,17.00,-28.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,-12.00,92.00
1957:Q1,566.00,514.00,-25.00,0.00,0.00,0.00,539.00,0.00,0.00,539.00,0.00,0.00,0.00,52.00,41.00,11.00,566.00,416.00,50.00,0.00,-11.00,-18.00,-12.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,12.00,116.00
1957:Q2,-278.00,-238.00,-33.00,0.00,0.00,0.00,-205.00,0.00,0.00,-205.00,0.00,0.00,0.00,-40.00,-32.00,-8.00,-278.00,-219.00,-6.00,0.00,0.00,-49.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,6.00,-14.00
1957:Q3,330.00,110.00,44.00,0.00,0.00,0.00,66.00,0.00,0.00,66.00,0.00,0.00,0.00,220.00,176.00,44.00,330.00,96.00,-4.00,0.00,-6.00,83.00,-19.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,-7.00,194.00
1957:Q4,221.00,110.00,58.00,0.00,0.00,0.00,52.00,0.00,0.00,52.00,0.00,0.00,0.00,111.00,89.00,22.00,221.00,2.00,90.00,0.00,26.00,94.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,-13.00
1958:Q1,1086.00,862.00,294.00,0.00,0.00,0.00,568.00,0.00,0.00,568.00,0.00,0.00,0.00,224.00,179.00,45.00,1086.00,264.00,311.00,0.00,-14.00,363.00,-11.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,30.00,113.00
1958:Q2,-279.00,-101.00,75.00,0.00,0.00,0.00,-176.00,0.00,0.00,-176.00,0.00,0.00,0.00,-178.00,-142.00,-36.00,-279.00,55.00,-291.00,0.00,6.00,40.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,30.00,-156.00
1958:Q3,-300.00,-228.00,4.00,0.00,0.00,0.00,-232.00,0.00,0.00,-232.00,0.00,0.00,0.00,-72.00,-58.00,-14.00,-300.00,30.00,-231.00,0.00,-17.00,0.00,-16.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.00,0.00,0.00,-12.00,-43.00
1958:Q4,-520.00,-432.00,-137.00,0.00,0.00,0.00,-295.00,0.00,0.00,-295.00,0.00,0.00,0.00,-88.00,-70.00,-18.00,-520.00,-247.00,-14.00,0.00,25.00,-195.00,29.00,0.00,0.00,17.00,0.00,0.00,0.00,-55.00,0.00,0.00,-55.00,-25.00
1959:Q1,391.00,532.00,-6.00,0.00,0.00,0.00,538.00,0.00,0.00,538.00,0.00,0.00,0.00,-141.00,-113.00,-28.00,391.00,97.00,292.00,0.00,-31.00,-44.00,-5.00,0.00,0.00,107.00,0.00,0.00,0.00,32.00,0.00,0.00,33.00,-90.00
1959:Q2,50.00,122.00,-194.00,0.00,0.00,0.00,316.00,0.00,0.00,316.00,0.00,0.00,0.00,-72.00,-58.00,-14.00,50.00,17.00,120.00,0.00,-6.00,-166.00,0.00,0.00,0.00,91.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,-9.00
1959:Q3,-82.00,-53.00,69.00,0.00,0.00,0.00,-122.00,0.00,0.00,-122.00,0.00,0.00,0.00,-29.00,-23.00,-6.00,-82.00,181.00,-382.00,0.00,-6.00,96.00,-13.00,0.00,0.00,-15.00,0.00,0.00,0.00,36.00,0.00,0.00,36.00,-15.00
1959:Q4,-47.00,-246.00,-212.00,0.00,0.00,0.00,-34.00,0.00,0.00,-34.00,0.00,0.00,0.00,199.00,159.00,40.00,-47.00,-457.00,502.00,0.00,44.00,-41.00,28.00,0.00,0.00,-82.00,0.00,0.00,0.00,-35.00,0.00,0.00,-34.00,28.00
1960:Q1,1510.00,1293.00,112.00,0.00,0.00,0.00,1181.00,0.00,0.00,1181.00,0.00,0.00,0.00,217.00,174.00,43.00,1510.00,1133.00,-2.00,0.00,-37.00,44.00,-29.00,0.00,0.00,19.00,0.00,0.00,0.00,28.00,0.00,0.00,28.00,326.00
1960:Q2,148.00,132.00,120.00,0.00,0.00,0.00,12.00,0.00,0.00,12.00,0.00,0.00,0.00,16.00,13.00,3.00,148.00,39.00,17.00,0.00,-2.00,71.00,8.00,0.00,0.00,39.00,0.00,0.00,0.00,9.00,0.00,0.00,9.00,-42.00
1960:Q3,390.00,101.00,235.00,0.00,0.00,0.00,-134.00,0.00,0.00,-134.00,0.00,0.00,0.00,289.00,231.00,58.00,390.00,64.00,-109.00,0.00,3.00,133.00,-6.00,0.00,0.00,73.00,0.00,0.00,0.00,20.00,0.00,0.00,19.00,193.00
1960:Q4,131.00,-231.00,-13.00,0.00,0.00,0.00,-218.00,0.00,0.00,-218.00,0.00,0.00,0.00,362.00,290.00,72.00,131.00,-293.00,140.00,0.00,46.00,155.00,44.00,0.00,0.00,45.00,0.00,0.00,0.00,-32.00,0.00,0.00,-31.00,57.00
1961:Q1,787.00,581.00,-146.00,0.00,0.00,0.00,727.00,0.00,0.00,727.00,0.00,0.00,0.00,206.00,164.00,42.00,787.00,498.00,-226.00,0.00,-19.00,207.00,83.00,0.00,0.00,66.00,0.00,0.00,0.00,63.00,0.00,0.00,63.00,52.00
1961:Q2,-101.00,-142.00,103.00,0.00,0.00,0.00,-245.00,0.00,0.00,-245.00,0.00,0.00,0.00,41.00,33.00,8.00,-101.00,-88.00,51.00,0.00,-9.00,92.00,-15.00,0.00,0.00,-36.00,0.00,0.00,0.00,-37.00,0.00,0.00,-38.00,-21.00
1961:Q3,91.00,-61.00,291.00,0.00,0.00,0.00,-352.00,0.00,0.00,-352.00,0.00,0.00,0.00,152.00,122.00,30.00,91.00,-49.00,-368.00,0.00,-3.00,284.00,-7.00,0.00,0.00,8.00,0.00,0.00,0.00,53.00,0.00,0.00,54.00,119.00
1961:Q4,75.00,-189.00,77.00,0.00,0.00,0.00,-266.00,0.00,0.00,-266.00,0.00,0.00,0.00,264.00,211.00,53.00,75.00,-723.00,844.00,0.00,25.00,322.00,-9.00,0.00,0.00,-139.00,0.00,0.00,0.00,-82.00,0.00,0.00,-82.00,-81.00
1962:Q1,842.00,1029.00,37.00,0.00,0.00,0.00,992.00,0.00,0.00,992.00,0.00,0.00,0.00,-187.00,-150.00,-37.00,842.00,902.00,-527.00,0.00,-27.00,-111.00,-23.00,0.00,0.00,320.00,0.00,0.00,0.00,142.00,0.00,0.00,142.00,24.00
1962:Q2,-8.00,150.00,-39.00,0.00,0.00,0.00,189.00,0.00,0.00,189.00,0.00,0.00,0.00,-158.00,-126.00,-32.00,-8.00,15.00,345.00,0.00,19.00,-221.00,17.00,0.00,0.00,8.00,0.00,0.00,0.00,-62.00,0.00,0.00,-62.00,-67.00
1962:Q3,651.00,712.00,271.00,0.00,0.00,0.00,441.00,0.00,0.00,441.00,0.00,0.00,0.00,-61.00,-49.00,-12.00,651.00,237.00,172.00,0.00,-26.00,139.00,-6.00,0.00,0.00,122.00,0.00,0.00,0.00,19.00,0.00,0.00,18.00,-24.00
1962:Q4,-205.00,-577.00,-165.00,0.00,0.00,0.00,-412.00,0.00,0.00,-412.00,0.00,0.00,0.00,372.00,298.00,74.00,-205.00,-349.00,225.00,0.00,38.00,41.00,9.00,0.00,0.00,-296.00,0.00,0.00,0.00,16.00,0.00,0.00,17.00,94.00
1963:Q1,1040.00,1101.00,16.00,0.00,0.00,0.00,1085.00,0.00,0.00,1085.00,0.00,0.00,0.00,-61.00,-49.00,-12.00,1040.00,857.00,-212.00,0.00,-23.00,115.00,15.00,0.00,0.00,252.00,0.00,0.00,0.00,27.00,0.00,0.00,26.00,-17.00
1963:Q2,261.00,152.00,-227.00,0.00,0.00,0.00,379.00,0.00,0.00,379.00,0.00,0.00,0.00,109.00,87.00,22.00,261.00,512.00,-84.00,0.00,-6.00,-54.00,2.00,0.00,0.00,-112.00,0.00,0.00,0.00,-27.00,0.00,0.00,-27.00,57.00
1963:Q3,-55.00,-67.00,124.00,0.00,0.00,0.00,-191.00,0.00,0.00,-191.00,0.00,0.00,0.00,12.00,10.00,2.00,-55.00,392.00,-563.00,0.00,-7.00,-137.00,-8.00,0.00,0.00,132.00,0.00,0.00,0.00,-3.00,0.00,0.00,-2.00,141.00
1963:Q4,-213.00,-396.00,-143.00,0.00,0.00,0.00,-253.00,0.00,0.00,-253.00,0.00,0.00,0.00,183.00,146.00,37.00,-213.00,-558.00,524.00,0.00,54.00,94.00,2.00,0.00,0.00,-239.00,0.00,0.00,0.00,21.00,0.00,0.00,20.00,-131.00
1964:Q1,1214.00,1000.00,-20.00,0.00,0.00,0.00,1020.00,0.00,0.00,1020.00,0.00,0.00,0.00,214.00,171.00,43.00,1214.00,453.00,372.00,0.00,-30.00,160.00,21.00,0.00,0.00,126.00,0.00,0.00,0.00,-17.00,0.00,0.00,-16.00,145.00
1964:Q2,353.00,306.00,-59.00,0.00,0.00,0.00,365.00,0.00,0.00,365.00,0.00,0.00,0.00,47.00,38.00,9.00,353.00,754.00,-283.00,0.00,-17.00,-90.00,-4.00,0.00,0.00,-209.00,0.00,0.00,0.00,44.00,0.00,0.00,44.00,114.00
1964:Q3,459.00,432.00,192.00,0.00,0.00,0.00,240.00,0.00,0.00,240.00,0.00,0.00,0.00,27.00,22.00,5.00,459.00,-361.00,671.00,0.00,36.00,211.00,12.00,0.00,0.00,76.00,0.00,0.00,0.00,-71.00,0.00,0.00,-72.00,-43.00
1964:Q4,126.00,-86.00,44.00,0.00,0.00,0.00,-130.00,0.00,0.00,-130.00,0.00,0.00,0.00,212.00,169.00,43.00,126.00,131.00,-35.00,0.00,0.00,172.00,-21.00,0.00,0.00,-125.00,0.00,0.00,0.00,18.00,0.00,0.00,19.00,-33.00
1965:Q1,674.00,735.00,-278.00,0.00,0.00,0.00,1013.00,0.00,0.00,1013.00,0.00,0.00,0.00,-61.00,-49.00,-12.00,674.00,1058.00,-699.00,0.00,34.00,-475.00,54.00,0.00,0.00,226.00,0.00,0.00,0.00,106.00,0.00,0.00,105.00,265.00
1965:Q2,356.00,325.00,-120.00,0.00,0.00,0.00,445.00,0.00,0.00,445.00,0.00,0.00,0.00,31.00,25.00,6.00,356.00,479.00,-317.00,0.00,-90.00,194.00,-25.00,0.00,0.00,105.00,0.00,0.00,0.00,18.00,0.00,0.00,18.00,-26.00
1965:Q3,319.00,361.00,199.00,0.00,0.00,0.00,162.00,0.00,0.00,162.00,0.00,0.00,0.00,-42.00,-33.00,-9.00,319.00,-288.00,215.00,0.00,8.00,72.00,3.00,0.00,0.00,162.00,0.00,0.00,0.00,33.00,0.00,0.00,33.00,81.00
1965:Q4,-484.00,-563.00,-129.00,0.00,0.00,0.00,-434.00,0.00,0.00,-434.00,0.00,0.00,0.00,79.00,63.00,16.00,-484.00,-378.00,477.00,0.00,64.00,-342.00,-16.00,0.00,0.00,-448.00,0.00,0.00,0.00,58.00,0.00,0.00,59.00,42.00
1966:Q1,1730.00,1734.00,23.00,0.00,0.00,0.00,1711.00,0.00,0.00,1711.00,0.00,0.00,0.00,-4.00,-3.00,-1.00,1730.00,708.00,1005.00,0.00,-45.00,40.00,21.00,0.00,0.00,-7.00,0.00,0.00,0.00,-3.00,0.00,0.00,-3.00,14.00
1966:Q2,89.00,57.00,41.00,0.00,0.00,0.00,16.00,0.00,0.00,16.00,0.00,0.00,0.00,32.00,25.00,7.00,89.00,-24.00,98.00,0.00,108.00,-328.00,-3.00,0.00,0.00,-67.00,0.00,0.00,0.00,90.00,0.00,0.00,90.00,125.00
1966:Q3,982.00,1032.00,605.00,0.00,0.00,0.00,427.00,0.00,0.00,427.00,0.00,0.00,0.00,-50.00,-40.00,-10.00,982.00,735.00,-521.00,0.00,-90.00,63.00,28.00,0.00,0.00,79.00,0.00,0.00,0.00,211.00,0.00,0.00,210.00,267.00
1966:Q4,1757.00,1522.00,156.00,0.00,0.00,0.00,1366.00,0.00,0.00,1366.00,0.00,0.00,0.00,235.00,188.00,47.00,1757.00,831.00,900.00,0.00,21.00,141.00,11.00,0.00,0.00,82.00,0.00,0.00,0.00,-27.00,0.00,0.00,-26.00,-176.00
1967:Q1,2950.00,2848.00,1055.00,0.00,0.00,0.00,1793.00,0.00,0.00,1793.00,0.00,0.00,0.00,102.00,82.00,20.00,2950.00,1561.00,643.00,0.00,-69.00,657.00,38.00,0.00,0.00,173.00,0.00,0.00,0.00,-34.00,0.00,0.00,-35.00,16.00
1967:Q2,545.00,114.00,565.00,0.00,0.00,0.00,-451.00,0.00,0.00,-451.00,0.00,0.00,0.00,431.00,345.00,86.00,545.00,-48.00,-77.00,0.00,36.00,192.00,-12.00,0.00,0.00,312.00,0.00,0.00,0.00,68.00,0.00,0.00,68.00,6.00
1967:Q3,162.00,147.00,22.00,0.00,0.00,0.00,125.00,0.00,0.00,125.00,0.00,0.00,0.00,15.00,12.00,3.00,162.00,-776.00,498.00,0.00,24.00,264.00,9.00,0.00,0.00,273.00,0.00,0.00,0.00,-26.00,0.00,0.00,-25.00,-79.00
1967:Q4,504.00,331.00,-230.00,0.00,0.00,0.00,561.00,0.00,0.00,561.00,0.00,0.00,0.00,173.00,138.00,35.00,504.00,1104.00,36.00,0.00,15.00,-166.00,-14.00,0.00,0.00,-658.00,0.00,0.00,0.00,48.00,0.00,0.00,47.00,92.00
1968:Q1,2061.00,2042.00,448.00,0.00,0.00,0.00,1594.00,0.00,0.00,1594.00,0.00,0.00,0.00,19.00,15.00,4.00,2061.00,441.00,-133.00,0.00,25.00,285.00,25.00,0.00,0.00,196.00,0.00,0.00,0.00,553.00,0.00,0.00,554.00,115.00
1968:Q2,334.00,384.00,-82.00,0.00,0.00,0.00,466.00,0.00,0.00,466.00,0.00,0.00,0.00,-50.00,-40.00,-10.00,334.00,233.00,784.00,0.00,34.00,-315.00,17.00,0.00,0.00,-6.00,0.00,0.00,0.00,-263.00,0.00,0.00,-263.00,113.00
1968:Q3,1506.00,1465.00,1528.00,0.00,0.00,0.00,-63.00,0.00,0.00,-63.00,0.00,0.00,0.00,41.00,33.00,8.00,1506.00,399.00,468.00,0.00,-85.00,405.00,20.00,0.00,0.00,131.00,0.00,0.00,0.00,58.00,0.00,0.00,58.00,52.00
1968:Q4,299.00,197.00,-679.00,0.00,0.00,0.00,876.00,0.00,0.00,876.00,0.00,0.00,0.00,102.00,82.00,20.00,299.00,960.00,28.00,0.00,9.00,-419.00,-5.00,0.00,0.00,-275.00,0.00,0.00,0.00,-149.00,0.00,0.00,-149.00,299.00
1969:Q1,3288.00,3251.00,631.00,0.00,0.00,0.00,2620.00,0.00,0.00,2420.00,0.00,200.00,0.00,37.00,29.00,8.00,3288.00,721.00,1108.00,0.00,16.00,313.00,41.00,0.00,0.00,328.00,0.00,0.00,0.00,358.00,0.00,0.00,358.00,45.00
1969:Q2,2798.00,2378.00,34.00,0.00,0.00,0.00,2344.00,0.00,0.00,1299.00,0.00,1045.00,0.00,420.00,336.00,84.00,2798.00,1433.00,599.00,0.00,-33.00,150.00,32.00,0.00,0.00,-156.00,0.00,0.00,0.00,109.00,0.00,0.00,109.00,555.00
1969:Q3,4032.00,3677.00,864.00,0.00,0.00,0.00,2813.00,0.00,0.00,1463.00,0.00,1350.00,0.00,355.00,284.00,71.00,4032.00,2333.00,400.00,0.00,19.00,76.00,60.00,0.00,0.00,321.00,0.00,0.00,0.00,203.00,0.00,0.00,202.00,418.00
1969:Q4,2343.00,2121.00,-422.00,0.00,0.00,0.00,2543.00,0.00,0.00,844.00,0.00,1699.00,0.00,222.00,178.00,44.00,2343.00,1879.00,422.00,0.00,4.00,-124.00,52.00,0.00,0.00,346.00,0.00,0.00,0.00,-106.00,0.00,0.00,-106.00,-24.00
1970:Q1,5584.00,5684.00,1688.00,0.00,0.00,0.00,3996.00,0.00,0.00,1813.00,0.00,2183.00,0.00,-100.00,-80.00,-20.00,5584.00,4129.00,528.00,0.00,12.00,-56.00,140.00,0.00,0.00,350.00,0.00,0.00,0.00,199.00,-37.00,0.00,237.00,82.00
1970:Q2,1295.00,668.00,-149.00,0.00,0.00,0.00,817.00,0.00,0.00,-309.00,0.00,1126.00,0.00,627.00,501.00,126.00,1295.00,2159.00,276.00,0.00,-44.00,256.00,-5.00,0.00,0.00,-60.00,0.00,0.00,0.00,-868.00,-92.00,0.00,-777.00,450.00
1970:Q3,-3838.00,-3711.00,466.00,0.00,0.00,0.00,-4177.00,0.00,0.00,-1192.00,0.00,-2985.00,0.00,-127.00,-101.00,-26.00,-3838.00,-7263.00,1.00,0.00,55.00,541.00,169.00,0.00,0.00,864.00,0.00,0.00,0.00,969.00,248.00,0.00,721.00,-143.00
1970:Q4,-947.00,-2170.00,-228.00,0.00,0.00,0.00,-1942.00,0.00,0.00,327.00,0.00,-2269.00,0.00,1223.00,978.00,245.00,-947.00,-990.00,956.00,0.00,-30.00,302.00,66.00,0.00,0.00,-377.00,0.00,0.00,0.00,-486.00,-119.00,0.00,-367.00,98.00
