date,FU893065105.Q,FU153165105.Q,FU103165105.Q,FU113165105.Q,FU893065105.Q,FU153065103.Q,FU103065105.Q,FU113065103.Q,FU313065105.Q,FU213065103.Q,FU763065105.Q,FU753065103.Q,FU743065103.Q,FU473065100.Q,FU543065105.Q,FU573065103.Q,FU223065143.Q,FU403065105.Q,FU413065105.Q,FU673065105.Q,FU613065105.Q,FU643065105.Q,FV893065153.Q,FU893065125.Q,FU763065125.Q,FU753065203.Q,FU473065125.Q,FU673065123.Q,FU613065123.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,1765.00,1765.00,0.00,0.00,1765.00,25.00,0.00,0.00,172.00,19.00,1217.00,0.00,-1.00,30.00,269.00,4.00,5.00,0.00,0.00,0.00,25.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q1,1587.00,1587.00,0.00,0.00,1587.00,153.00,0.00,0.00,158.00,16.00,1004.00,0.00,0.00,5.00,338.00,4.00,6.00,0.00,0.00,0.00,-97.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q2,2220.00,2220.00,0.00,0.00,2220.00,80.00,0.00,0.00,119.00,15.00,1561.00,0.00,1.00,33.00,345.00,5.00,6.00,0.00,0.00,0.00,55.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q3,1979.00,1979.00,0.00,0.00,1979.00,6.00,0.00,0.00,40.00,14.00,1502.00,0.00,1.00,-42.00,345.00,6.00,7.00,0.00,0.00,0.00,100.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q4,1731.00,1731.00,0.00,0.00,1731.00,83.00,0.00,0.00,-70.00,15.00,1316.00,0.00,0.00,-3.00,410.00,5.00,7.00,0.00,0.00,0.00,-32.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q1,1413.00,1413.00,0.00,0.00,1413.00,-32.00,0.00,0.00,-39.00,16.00,1097.00,0.00,0.00,-22.00,355.00,5.00,7.00,0.00,0.00,0.00,26.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q2,2818.00,2818.00,0.00,0.00,2818.00,58.00,0.00,0.00,513.00,18.00,1648.00,0.00,0.00,95.00,445.00,5.00,8.00,0.00,0.00,0.00,28.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q3,2102.00,2102.00,0.00,0.00,2102.00,104.00,0.00,0.00,-555.00,17.00,1991.00,0.00,0.00,-40.00,488.00,5.00,10.00,0.00,0.00,0.00,82.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q4,3020.00,3020.00,0.00,0.00,3020.00,71.00,0.00,0.00,81.00,14.00,2117.00,0.00,1.00,-9.00,670.00,7.00,9.00,0.00,0.00,0.00,59.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q1,2881.00,2881.00,0.00,0.00,2881.00,49.00,0.00,0.00,90.00,11.00,1954.00,0.00,4.00,98.00,570.00,9.00,9.00,0.00,0.00,0.00,87.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q2,3460.00,3460.00,0.00,0.00,3460.00,49.00,0.00,0.00,59.00,8.00,2592.00,0.00,7.00,38.00,530.00,9.00,10.00,9.00,0.00,0.00,149.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q3,3335.00,3335.00,0.00,0.00,3335.00,-43.00,0.00,0.00,10.00,8.00,2577.00,0.00,7.00,-17.00,537.00,11.00,11.00,21.00,0.00,0.00,213.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q4,2904.00,2904.00,0.00,0.00,2904.00,74.00,0.00,0.00,0.00,11.00,1854.00,0.00,6.00,-2.00,871.00,12.00,9.00,56.00,0.00,0.00,13.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q1,2420.00,2420.00,0.00,0.00,2420.00,133.00,0.00,0.00,-15.00,13.00,1576.00,0.00,4.00,-2.00,690.00,13.00,10.00,70.00,0.00,0.00,-72.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q2,2971.00,2971.00,0.00,0.00,2971.00,80.00,0.00,0.00,-12.00,12.00,2064.00,0.00,3.00,127.00,599.00,15.00,9.00,77.00,0.00,0.00,-3.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q3,2847.00,2847.00,0.00,0.00,2847.00,-18.00,0.00,0.00,-13.00,17.00,2138.00,0.00,2.00,-53.00,560.00,16.00,11.00,119.00,0.00,0.00,68.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q4,2571.00,2571.00,0.00,0.00,2571.00,84.00,0.00,0.00,-4.00,29.00,1592.00,0.00,2.00,-3.00,620.00,16.00,13.00,297.00,0.00,0.00,-75.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q1,2106.00,2106.00,0.00,0.00,2106.00,235.00,0.00,0.00,9.00,39.00,1018.00,0.00,1.00,85.00,485.00,16.00,17.00,382.00,0.00,0.00,-181.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q2,2188.00,2188.00,0.00,0.00,2188.00,170.00,0.00,0.00,29.00,51.00,1455.00,0.00,0.00,8.00,299.00,15.00,19.00,218.00,0.00,0.00,-76.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q3,2358.00,2358.00,0.00,0.00,2358.00,95.00,0.00,0.00,51.00,55.00,1666.00,0.00,0.00,-35.00,289.00,16.00,22.00,196.00,0.00,0.00,3.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q4,1977.00,1977.00,0.00,0.00,1977.00,59.00,0.00,0.00,77.00,50.00,1407.00,0.00,1.00,-59.00,238.00,16.00,22.00,191.00,0.00,0.00,-25.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q1,1601.00,1601.00,0.00,0.00,1601.00,13.00,0.00,0.00,52.00,48.00,939.00,0.00,6.00,74.00,247.00,17.00,23.00,82.00,0.00,0.00,100.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q2,2167.00,2167.00,0.00,0.00,2167.00,183.00,0.00,0.00,27.00,46.00,1950.00,0.00,9.00,-35.00,171.00,16.00,25.00,-324.00,0.00,0.00,99.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q3,2893.00,2893.00,0.00,0.00,2893.00,75.00,0.00,0.00,27.00,48.00,2429.00,0.00,9.00,34.00,186.00,19.00,27.00,-61.00,0.00,0.00,100.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q4,3142.00,3142.00,0.00,0.00,3142.00,128.00,0.00,0.00,124.00,52.00,2352.00,0.00,4.00,-46.00,329.00,21.00,30.00,48.00,0.00,0.00,100.00,0.00,0.00,ND,ND,ND,ND,ND,ND
