date,FU893065105.Q,FU153165105.Q,FU103165105.Q,FU113165105.Q,FU893065105.Q,FU153065103.Q,FU103065105.Q,FU113065103.Q,FU313065105.Q,FU213065103.Q,FU763065105.Q,FU753065103.Q,FU743065103.Q,FU473065100.Q,FU543065105.Q,FU573065103.Q,FU223065143.Q,FU403065105.Q,FU413065105.Q,FU673065105.Q,FU613065105.Q,FU643065105.Q,FV893065153.Q,FU893065125.Q,FU763065125.Q,FU753065203.Q,FU473065125.Q,FU673065123.Q,FU613065123.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q1,3404.00,3404.00,0.00,0.00,3404.00,628.00,0.00,0.00,268.00,1.00,2007.00,0.00,11.00,-65.00,-119.00,1.00,70.00,641.00,109.00,0.00,-148.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1968:Q2,4405.00,4405.00,0.00,0.00,4405.00,452.00,0.00,0.00,239.00,1.00,3026.00,0.00,8.00,-8.00,-194.00,-21.00,58.00,458.00,117.00,0.00,259.00,10.00,0.00,ND,ND,ND,ND,ND,ND
1968:Q3,4508.00,4508.00,0.00,0.00,4508.00,463.00,0.00,0.00,234.00,3.00,3643.00,0.00,7.00,-32.00,-252.00,7.00,-2.00,218.00,58.00,0.00,145.00,16.00,0.00,ND,ND,ND,ND,ND,ND
1968:Q4,4751.00,4751.00,0.00,0.00,4751.00,464.00,0.00,0.00,161.00,5.00,3576.00,0.00,9.00,-3.00,-168.00,-6.00,38.00,321.00,58.00,0.00,287.00,9.00,0.00,ND,ND,ND,ND,ND,ND
1969:Q1,3872.00,3872.00,0.00,0.00,3872.00,-142.00,0.00,0.00,108.00,7.00,2858.00,0.00,8.00,-17.00,-101.00,4.00,31.00,520.00,58.00,0.00,523.00,15.00,0.00,ND,ND,ND,ND,ND,ND
1969:Q2,4881.00,4881.00,0.00,0.00,4881.00,-50.00,0.00,0.00,27.00,9.00,3705.00,0.00,8.00,-77.00,-183.00,-6.00,7.00,484.00,56.00,0.00,867.00,34.00,0.00,ND,ND,ND,ND,ND,ND
1969:Q3,4774.00,4774.00,0.00,0.00,4774.00,399.00,0.00,0.00,41.00,17.00,3722.00,0.00,8.00,-95.00,-244.00,27.00,-37.00,1143.00,128.00,0.00,-380.00,45.00,0.00,ND,ND,ND,ND,ND,ND
1969:Q4,4177.00,4177.00,0.00,0.00,4177.00,1545.00,0.00,0.00,30.00,25.00,1904.00,0.00,8.00,-32.00,-853.00,30.00,25.00,1621.00,133.00,0.00,-343.00,84.00,0.00,ND,ND,ND,ND,ND,ND
1970:Q1,1815.00,1091.00,145.00,579.00,1815.00,-1048.00,0.00,0.00,1.00,36.00,495.00,0.00,72.00,-310.00,128.00,0.00,50.00,1527.00,153.00,0.00,559.00,152.00,0.00,ND,ND,ND,ND,ND,ND
1970:Q2,3395.00,2860.00,107.00,428.00,3395.00,-54.00,0.00,0.00,-25.00,2.00,1920.00,0.00,15.00,19.00,-329.00,-15.00,113.00,1062.00,164.00,0.00,462.00,61.00,0.00,ND,ND,ND,ND,ND,ND
1970:Q3,3983.00,3673.00,62.00,248.00,3983.00,-29.00,0.00,0.00,-44.00,4.00,2992.00,0.00,15.00,20.00,-384.00,-23.00,-61.00,1375.00,319.00,0.00,-264.00,63.00,0.00,ND,ND,ND,ND,ND,83.00
1970:Q4,3891.00,3668.00,45.00,178.00,3891.00,-144.00,0.00,0.00,-59.00,33.00,2890.00,0.00,18.00,16.00,-325.00,-10.00,10.00,655.00,527.00,0.00,164.00,116.00,0.00,ND,ND,ND,ND,ND,84.00
1971:Q1,4109.00,3577.00,106.00,426.00,4109.00,129.00,0.00,100.00,-196.00,15.00,3003.00,0.00,21.00,13.00,-351.00,-49.00,-38.00,-233.00,1051.00,0.00,580.00,64.00,0.00,ND,ND,ND,ND,ND,84.00
1971:Q2,6857.00,5771.00,217.00,869.00,6857.00,143.00,0.00,125.00,-82.00,2.00,5552.00,0.00,74.00,11.00,-561.00,-5.00,4.00,-42.00,1458.00,0.00,75.00,103.00,0.00,ND,ND,ND,ND,ND,83.00
1971:Q3,8173.00,7459.00,143.00,571.00,8173.00,-222.00,0.00,125.00,-85.00,11.00,7209.00,0.00,6.00,11.00,-640.00,-103.00,-44.00,1461.00,676.00,0.00,-203.00,-29.00,0.00,ND,ND,ND,ND,ND,84.00
1971:Q4,7656.00,7256.00,80.00,320.00,7656.00,356.00,0.00,125.00,-256.00,66.00,5703.00,0.00,6.00,12.00,-542.00,-136.00,166.00,891.00,1000.00,0.00,223.00,42.00,0.00,ND,ND,ND,ND,ND,84.00
1972:Q1,7342.00,6584.00,152.00,606.00,7342.00,75.00,0.00,125.00,45.00,1.00,6461.00,0.00,4.00,34.00,-472.00,-154.00,14.00,315.00,919.00,0.00,-126.00,101.00,0.00,ND,ND,ND,ND,ND,83.00
1972:Q2,9973.00,8424.00,310.00,1239.00,9973.00,-250.00,0.00,100.00,-64.00,72.00,8902.00,0.00,15.00,46.00,-552.00,-22.00,-37.00,520.00,1045.00,0.00,-30.00,228.00,0.00,ND,ND,ND,ND,ND,85.00
1972:Q3,11621.00,9946.00,335.00,1340.00,11621.00,-102.00,0.00,100.00,-153.00,6.00,10457.00,0.00,5.00,45.00,-685.00,-166.00,22.00,525.00,906.00,0.00,693.00,-32.00,0.00,ND,ND,ND,ND,ND,83.00
1972:Q4,10034.00,9144.00,178.00,712.00,10034.00,-565.00,0.00,100.00,-462.00,35.00,9460.00,0.00,-2.00,28.00,-621.00,-70.00,50.00,489.00,1114.00,0.00,350.00,128.00,0.00,ND,ND,ND,ND,ND,83.00
1973:Q1,9376.00,8800.00,115.00,461.00,9376.00,704.00,0.00,63.00,-200.00,32.00,8113.00,0.00,-42.00,155.00,-458.00,-160.00,91.00,475.00,655.00,0.00,-148.00,96.00,0.00,ND,ND,ND,ND,ND,84.00
1973:Q2,12069.00,10264.00,361.00,1444.00,12069.00,-138.00,0.00,45.00,-913.00,53.00,11346.00,0.00,-41.00,109.00,-581.00,-34.00,8.00,595.00,1144.00,0.00,470.00,6.00,0.00,ND,ND,ND,ND,ND,83.00
1973:Q3,11870.00,10320.00,310.00,1240.00,11870.00,87.00,0.00,0.00,689.00,129.00,9734.00,0.00,48.00,105.00,-534.00,-18.00,-18.00,1306.00,422.00,0.00,-427.00,347.00,0.00,ND,ND,ND,ND,ND,85.00
1973:Q4,9946.00,10084.00,-28.00,-110.00,9946.00,-31.00,0.00,-33.00,-346.00,336.00,6581.00,0.00,49.00,72.00,-316.00,-18.00,86.00,999.00,714.00,0.00,1632.00,221.00,0.00,ND,ND,ND,ND,ND,83.00
1974:Q1,8069.00,7640.00,86.00,343.00,8069.00,608.00,0.00,-1.00,-206.00,149.00,5292.00,0.00,-17.00,35.00,-322.00,-6.00,39.00,217.00,1633.00,0.00,506.00,142.00,0.00,ND,ND,ND,ND,ND,84.00
1974:Q2,10929.00,10581.00,70.00,278.00,10929.00,516.00,0.00,-4.00,489.00,124.00,8089.00,0.00,-18.00,-5.00,-521.00,-11.00,-40.00,1809.00,530.00,0.00,-20.00,-9.00,0.00,ND,ND,ND,ND,ND,83.00
1974:Q3,10021.00,10942.00,-184.00,-737.00,10021.00,1632.00,0.00,-11.00,57.00,97.00,6032.00,0.00,88.00,-1.00,-351.00,-4.00,8.00,2115.00,1353.00,0.00,-738.00,-256.00,0.00,ND,ND,ND,ND,ND,84.00
1974:Q4,6500.00,8141.00,-328.00,-1313.00,6500.00,277.00,0.00,-17.00,1066.00,373.00,3208.00,0.00,1.00,43.00,-206.00,-6.00,64.00,1461.00,886.00,0.00,-601.00,-49.00,0.00,ND,ND,ND,ND,ND,84.00
1975:Q1,4655.00,4854.00,-40.00,-159.00,4655.00,590.00,-521.00,-39.00,-104.00,319.00,2422.00,0.00,-36.00,92.00,-276.00,-68.00,-83.00,3.00,2782.00,0.00,-180.00,-246.00,0.00,ND,ND,ND,ND,ND,84.00
1975:Q2,10875.00,10262.00,123.00,490.00,10875.00,951.00,1.00,-23.00,1188.00,141.00,6831.00,0.00,15.00,139.00,-385.00,-35.00,-25.00,583.00,1531.00,0.00,206.00,-243.00,0.00,ND,ND,ND,ND,ND,77.00
1975:Q3,12139.00,11938.00,40.00,161.00,12139.00,1046.00,-3.00,15.00,1413.00,116.00,7457.00,0.00,8.00,143.00,-410.00,-30.00,-15.00,1170.00,1135.00,0.00,375.00,-281.00,0.00,ND,ND,ND,ND,ND,379.00
1975:Q4,11136.00,12672.00,-307.00,-1229.00,11136.00,148.00,26.00,50.00,1553.00,193.00,7245.00,0.00,7.00,106.00,-365.00,-28.00,-247.00,737.00,1853.00,0.00,56.00,-198.00,0.00,ND,ND,ND,ND,ND,368.00
1976:Q1,11850.00,10555.00,259.00,1036.00,11850.00,826.00,-555.00,51.00,431.00,58.00,8627.00,0.00,50.00,126.00,-430.00,-21.00,-20.00,130.00,2361.00,0.00,255.00,-39.00,0.00,ND,ND,ND,ND,ND,96.00
1976:Q2,14840.00,13996.00,169.00,675.00,14840.00,643.00,-185.00,68.00,-1229.00,301.00,12535.00,0.00,49.00,132.00,-305.00,-15.00,-11.00,-208.00,2927.00,0.00,183.00,-45.00,0.00,ND,ND,ND,ND,ND,64.00
1976:Q3,17739.00,17131.00,122.00,486.00,17739.00,536.00,-128.00,106.00,143.00,182.00,13871.00,0.00,16.00,130.00,-407.00,-15.00,-31.00,684.00,2886.00,0.00,-185.00,-49.00,0.00,ND,ND,ND,ND,ND,60.00
1976:Q4,16238.00,15952.00,57.00,229.00,16238.00,-21.00,-78.00,140.00,-85.00,275.00,12241.00,0.00,14.00,119.00,-360.00,-26.00,39.00,-110.00,3744.00,0.00,400.00,-54.00,0.00,ND,ND,ND,ND,ND,0.00
1977:Q1,15260.00,14237.00,205.00,818.00,15260.00,439.00,382.00,52.00,-59.00,2.00,11347.00,0.00,36.00,90.00,-379.00,-10.00,-55.00,-774.00,4496.00,0.00,-278.00,-29.00,0.00,ND,ND,ND,ND,ND,327.00
1977:Q2,25556.00,22781.00,555.00,2220.00,25556.00,498.00,324.00,72.00,724.00,-226.00,20471.00,0.00,36.00,66.00,-275.00,4.00,52.00,811.00,2649.00,0.00,380.00,-30.00,0.00,ND,ND,ND,ND,ND,321.00
1977:Q3,27359.00,25820.00,308.00,1231.00,27359.00,289.00,267.00,120.00,847.00,162.00,20374.00,0.00,-51.00,65.00,-396.00,-26.00,-7.00,185.00,4428.00,0.00,1133.00,-31.00,0.00,ND,ND,ND,ND,ND,264.00
1977:Q4,24527.00,23086.00,288.00,1153.00,24527.00,-270.00,282.00,162.00,947.00,265.00,18505.00,0.00,-33.00,79.00,-298.00,37.00,79.00,266.00,4158.00,0.00,380.00,-32.00,0.00,ND,ND,ND,ND,ND,350.00
1978:Q1,19003.00,18672.00,66.00,265.00,19003.00,1064.00,193.00,183.00,32.00,434.00,12845.00,0.00,53.00,115.00,-323.00,65.00,13.00,1648.00,2362.00,0.00,332.00,-13.00,0.00,ND,ND,ND,ND,ND,476.00
1978:Q2,28461.00,27015.00,289.00,1157.00,28461.00,1733.00,108.00,195.00,847.00,371.00,19399.00,0.00,66.00,137.00,-200.00,41.00,2.00,1998.00,2643.00,0.00,1133.00,-12.00,0.00,ND,ND,ND,ND,ND,601.00
1978:Q3,32819.00,30915.00,381.00,1523.00,32819.00,2041.00,47.00,227.00,991.00,644.00,21496.00,0.00,14.00,-350.00,-59.00,74.00,56.00,2718.00,3039.00,0.00,1898.00,-17.00,0.00,ND,ND,ND,ND,ND,662.00
1978:Q4,30940.00,29735.00,241.00,964.00,30940.00,1170.00,74.00,254.00,617.00,537.00,19573.00,0.00,15.00,-190.00,278.00,62.00,-182.00,2660.00,4322.00,0.00,1758.00,-8.00,0.00,ND,ND,ND,ND,ND,731.00
1979:Q1,23988.00,24333.00,-69.00,-276.00,23988.00,1568.00,336.00,225.00,739.00,832.00,11798.00,0.00,15.00,129.00,59.00,63.00,24.00,3425.00,4600.00,0.00,193.00,-18.00,0.00,ND,ND,ND,ND,ND,523.00
1979:Q2,31996.00,29816.00,436.00,1744.00,31996.00,2260.00,293.00,206.00,667.00,947.00,18915.00,0.00,15.00,-9.00,-26.00,-14.00,42.00,1974.00,4527.00,0.00,2217.00,-18.00,0.00,ND,ND,ND,ND,ND,473.00
1979:Q3,33981.00,32506.00,295.00,1180.00,33981.00,2230.00,323.00,160.00,561.00,1256.00,18118.00,0.00,15.00,-133.00,381.00,119.00,99.00,1437.00,6506.00,0.00,2926.00,-17.00,0.00,ND,ND,ND,ND,ND,733.00
1979:Q4,25964.00,29832.00,-774.00,-3094.00,25964.00,328.00,270.00,124.00,352.00,1641.00,12711.00,0.00,15.00,603.00,1294.00,158.00,124.00,2350.00,6133.00,0.00,-121.00,-18.00,0.00,ND,ND,ND,ND,ND,759.00
1980:Q1,20732.00,19922.00,-38.00,848.00,20732.00,-1032.00,1561.00,-117.00,954.00,1681.00,7248.00,0.00,20.00,1375.00,999.00,39.00,137.00,3199.00,5092.00,0.00,-420.00,-4.00,0.00,ND,ND,ND,ND,ND,666.00
1980:Q2,16196.00,17732.00,-307.00,-1229.00,16196.00,1127.00,1860.00,-32.00,628.00,1950.00,4217.00,0.00,20.00,255.00,661.00,69.00,127.00,1448.00,3826.00,0.00,45.00,-5.00,0.00,ND,ND,ND,ND,ND,652.00
1980:Q3,29241.00,27414.00,165.00,1662.00,29241.00,4286.00,1972.00,178.00,449.00,2253.00,11986.00,0.00,20.00,-300.00,186.00,60.00,93.00,761.00,5533.00,0.00,1769.00,-5.00,0.00,ND,ND,ND,ND,ND,239.00
1980:Q4,26382.00,25152.00,246.00,984.00,26382.00,822.00,2003.00,347.00,678.00,2025.00,13862.00,0.00,20.00,213.00,-47.00,66.00,81.00,2222.00,4246.00,0.00,-151.00,-5.00,0.00,ND,ND,ND,ND,ND,628.00
1981:Q1,15217.00,14064.00,31.00,1122.00,15217.00,2334.00,-152.00,542.00,678.00,2009.00,5676.00,0.00,20.00,-140.00,-144.00,69.00,103.00,292.00,3138.00,0.00,791.00,1.00,0.00,ND,ND,ND,ND,ND,925.00
1981:Q2,23808.00,23564.00,49.00,195.00,23808.00,6833.00,-1528.00,607.00,560.00,1693.00,10556.00,0.00,20.00,-369.00,-250.00,15.00,55.00,574.00,3602.00,0.00,1440.00,0.00,0.00,ND,ND,ND,ND,ND,858.00
1981:Q3,17634.00,17695.00,-212.00,151.00,17634.00,4790.00,-2008.00,769.00,680.00,1124.00,6421.00,0.00,20.00,-308.00,-173.00,6.00,61.00,2391.00,3378.00,0.00,482.00,1.00,0.00,ND,ND,ND,ND,ND,13.00
1981:Q4,10894.00,11664.00,-154.00,-616.00,10894.00,3529.00,-2244.00,899.00,471.00,996.00,2100.00,0.00,20.00,-142.00,-175.00,-8.00,89.00,1794.00,4163.00,0.00,-598.00,0.00,0.00,ND,ND,ND,ND,ND,151.00
1982:Q1,10448.00,8724.00,-55.00,1779.00,10448.00,6521.00,-4073.00,625.00,324.00,597.00,-3193.00,0.00,-32.00,-561.00,-107.00,0.00,29.00,1308.00,8724.00,0.00,289.00,-3.00,0.00,ND,ND,ND,ND,ND,239.00
1982:Q2,13459.00,11351.00,22.00,2086.00,13459.00,2375.00,1261.00,574.00,397.00,564.00,-4194.00,0.00,-63.00,-43.00,-627.00,279.00,52.00,2539.00,9233.00,0.00,1115.00,-3.00,0.00,ND,ND,ND,ND,ND,631.00
1982:Q3,13418.00,11624.00,159.00,1635.00,13418.00,3465.00,-777.00,450.00,461.00,850.00,-8971.00,0.00,-70.00,17.00,407.00,391.00,-2.00,3855.00,13201.00,0.00,144.00,-3.00,0.00,ND,ND,ND,ND,ND,122.00
1982:Q4,17162.00,15728.00,87.00,1347.00,17162.00,7498.00,-1799.00,348.00,271.00,980.00,-12171.00,0.00,-55.00,-413.00,-123.00,197.00,-10.00,2624.00,18181.00,0.00,1638.00,-4.00,0.00,ND,ND,ND,ND,ND,-54.00
1983:Q1,16952.00,15083.00,174.00,1695.00,16952.00,-3139.00,326.00,261.00,-167.00,1164.00,-1526.00,0.00,-15.00,79.00,-329.00,-536.00,44.00,1912.00,17626.00,0.00,1265.00,-13.00,0.00,ND,ND,ND,ND,ND,100.00
1983:Q2,29157.00,27493.00,133.00,1531.00,29157.00,366.00,-239.00,312.00,412.00,1219.00,6777.00,0.00,10.00,770.00,-562.00,243.00,-46.00,2389.00,16365.00,0.00,1154.00,-13.00,0.00,ND,ND,ND,ND,ND,232.00
1983:Q3,37188.00,33817.00,474.00,2897.00,37188.00,-2210.00,1877.00,439.00,377.00,1123.00,16521.00,0.00,15.00,516.00,-326.00,-126.00,-5.00,1205.00,18045.00,0.00,-250.00,-13.00,0.00,ND,ND,ND,ND,ND,201.00
1983:Q4,32787.00,28816.00,594.00,3377.00,32787.00,-503.00,161.00,540.00,126.00,1649.00,14171.00,0.00,25.00,330.00,-215.00,-66.00,0.00,3863.00,13054.00,0.00,-335.00,-13.00,0.00,ND,ND,ND,ND,ND,448.00
1984:Q1,29515.00,27441.00,215.00,1859.00,29515.00,1332.00,-979.00,912.00,63.00,1386.00,10128.00,0.00,25.00,1157.00,-419.00,628.00,-8.00,3884.00,10992.00,0.00,408.00,6.00,0.00,ND,ND,ND,ND,ND,-377.00
1984:Q2,39331.00,34521.00,962.00,3848.00,39331.00,2101.00,-1024.00,873.00,10.00,1327.00,24485.00,0.00,40.00,860.00,-496.00,-120.00,-22.00,1559.00,7331.00,0.00,2401.00,6.00,0.00,ND,ND,ND,ND,ND,530.00
1984:Q3,34659.00,33820.00,-32.00,871.00,34659.00,3308.00,-2025.00,776.00,-286.00,1122.00,18457.00,0.00,25.00,622.00,-245.00,254.00,-24.00,1470.00,11499.00,0.00,-299.00,5.00,0.00,ND,ND,ND,ND,ND,992.00
1984:Q4,32419.00,31797.00,124.00,498.00,32419.00,-1051.00,-464.00,701.00,835.00,1610.00,9770.00,0.00,35.00,514.00,-39.00,178.00,-3.00,3828.00,13692.00,2000.00,812.00,1.00,0.00,ND,ND,ND,ND,ND,798.00
1985:Q1,38884.00,36437.00,289.00,2158.00,38884.00,10245.00,1750.00,413.00,204.00,1477.00,6405.00,0.00,36.00,254.00,-79.00,303.00,-7.00,5158.00,14143.00,541.00,-1965.00,6.00,0.00,ND,ND,ND,ND,ND,339.00
1985:Q2,42401.00,38306.00,619.00,3476.00,42401.00,2797.00,-118.00,305.00,50.00,1360.00,11557.00,0.00,18.00,1033.00,178.00,-235.00,-34.00,3305.00,16667.00,1816.00,3691.00,11.00,0.00,ND,ND,ND,ND,ND,944.00
1985:Q3,49120.00,58877.00,-2151.00,-7606.00,49120.00,-2927.00,825.00,38.00,388.00,1558.00,16910.00,0.00,12.00,1220.00,216.00,-179.00,-35.00,1923.00,22202.00,592.00,6367.00,10.00,0.00,ND,ND,ND,ND,ND,208.00
1985:Q4,49695.00,48085.00,122.00,1488.00,49695.00,138.00,1263.00,-175.00,248.00,1490.00,14442.00,0.00,14.00,1045.00,-798.00,840.00,-25.00,6827.00,24543.00,2455.00,-2661.00,49.00,0.00,ND,ND,ND,ND,ND,1108.00
1986:Q1,30790.00,26703.00,-330.00,4417.00,30790.00,1314.00,1326.00,-500.00,-162.00,1803.00,-1834.00,0.00,10.00,2536.00,246.00,-78.00,-94.00,-122.00,24661.00,1456.00,215.00,13.00,0.00,ND,ND,ND,ND,ND,811.00
1986:Q2,59132.00,49375.00,402.00,9355.00,59132.00,1317.00,-595.00,900.00,-18.00,1141.00,10546.00,0.00,10.00,1506.00,-80.00,-51.00,-141.00,-2605.00,34376.00,2165.00,10649.00,12.00,0.00,ND,ND,ND,ND,ND,469.00
1986:Q3,67193.00,62137.00,224.00,4832.00,67193.00,-1666.00,477.00,700.00,-245.00,651.00,11291.00,0.00,10.00,2127.00,645.00,-205.00,-162.00,-961.00,45809.00,2395.00,6322.00,5.00,0.00,ND,ND,ND,ND,ND,693.00
1986:Q4,46736.00,61158.00,-289.00,-14133.00,46736.00,-634.00,2425.00,-882.00,550.00,326.00,7772.00,0.00,25.00,2070.00,-320.00,-151.00,-171.00,-2008.00,54166.00,-13415.00,-2983.00,-34.00,0.00,ND,ND,ND,ND,ND,1216.00
1987:Q1,51909.00,44088.00,976.00,6845.00,51909.00,7327.00,3396.00,-712.00,-175.00,184.00,1058.00,0.00,23.00,2721.00,-132.00,-1665.00,80.00,-2023.00,42014.00,1883.00,-2083.00,13.00,0.00,ND,ND,ND,ND,ND,1231.00
1987:Q2,73463.00,71142.00,-255.00,2576.00,73463.00,2883.00,961.00,-1134.00,-150.00,-331.00,27483.00,0.00,35.00,2882.00,-21.00,-459.00,-93.00,-2650.00,38561.00,2944.00,2551.00,1.00,0.00,ND,ND,ND,ND,ND,967.00
1987:Q3,58207.00,53723.00,313.00,4171.00,58207.00,3069.00,3263.00,-781.00,-3145.00,284.00,22638.00,0.00,38.00,2695.00,-14.00,-246.00,194.00,1236.00,30942.00,5818.00,-7778.00,-6.00,0.00,ND,ND,ND,ND,ND,1186.00
1987:Q4,56782.00,52664.00,99.00,4019.00,56782.00,4480.00,-3698.00,361.00,162.00,1027.00,29386.00,0.00,46.00,2249.00,561.00,-204.00,102.00,334.00,21855.00,538.00,-440.00,23.00,0.00,ND,ND,ND,ND,ND,705.00
1988:Q1,35811.00,36339.00,-210.00,-318.00,35811.00,799.00,-2869.00,-2186.00,68.00,939.00,28550.00,0.00,50.00,1648.00,-3016.00,218.00,106.00,3229.00,7114.00,1441.00,-295.00,15.00,0.00,ND,ND,ND,ND,ND,952.00
1988:Q2,70039.00,66506.00,575.00,2958.00,70039.00,1124.00,-4183.00,11560.00,18.00,185.00,25685.00,0.00,50.00,2543.00,161.00,288.00,25.00,2680.00,16700.00,1508.00,11693.00,2.00,0.00,ND,ND,ND,ND,ND,852.00
1988:Q3,60957.00,57485.00,572.00,2900.00,60957.00,1427.00,4781.00,-3682.00,-85.00,0.00,35269.00,0.00,50.00,2314.00,138.00,380.00,-173.00,-590.00,24317.00,2033.00,-5249.00,27.00,0.00,ND,ND,ND,ND,ND,88.00
1988:Q4,56874.00,55243.00,205.00,1426.00,56874.00,2255.00,746.00,88.00,294.00,1362.00,22442.00,0.00,50.00,1683.00,723.00,543.00,-30.00,885.00,22579.00,2083.00,1130.00,41.00,0.00,ND,ND,ND,ND,ND,432.00
1989:Q1,35849.00,35752.00,-71.00,168.00,35849.00,781.00,-1200.00,1896.00,0.00,1162.00,9896.00,0.00,50.00,2693.00,103.00,862.00,-460.00,-672.00,23726.00,1162.00,-4137.00,-13.00,0.00,ND,ND,ND,ND,ND,651.00
1989:Q2,58447.00,57616.00,61.00,770.00,58447.00,2629.00,3128.00,-2240.00,197.00,1510.00,19467.00,0.00,50.00,2159.00,247.00,307.00,164.00,1520.00,22460.00,842.00,6012.00,-4.00,0.00,ND,ND,ND,ND,ND,1409.00
1989:Q3,66253.00,64197.00,273.00,1783.00,66253.00,2517.00,3314.00,-2574.00,87.00,1185.00,11477.00,0.00,50.00,1440.00,275.00,893.00,148.00,2468.00,31606.00,-3184.00,16558.00,-7.00,0.00,ND,ND,ND,ND,ND,563.00
1989:Q4,65808.00,67307.00,-445.00,-1054.00,65808.00,3068.00,3695.00,-2610.00,-10.00,842.00,568.00,0.00,50.00,494.00,435.00,558.00,193.00,1762.00,42406.00,9640.00,4709.00,8.00,0.00,ND,ND,ND,ND,ND,-15816.00
1990:Q1,51426.00,45632.00,1016.00,4778.00,51426.00,3224.00,1736.00,-2092.00,3859.00,622.00,10916.00,0.00,56.00,649.00,338.00,-328.00,28.00,2444.00,34520.00,-5160.00,618.00,-4.00,0.00,ND,ND,ND,ND,ND,1024.00
1990:Q2,67003.00,60499.00,1168.00,5336.00,67003.00,2653.00,2094.00,-226.00,5831.00,742.00,8333.00,0.00,74.00,1504.00,376.00,191.00,55.00,-2097.00,38701.00,4698.00,4076.00,-2.00,0.00,ND,ND,ND,ND,ND,771.00
1990:Q3,50074.00,51326.00,-361.00,-891.00,50074.00,2873.00,852.00,19.00,4336.00,991.00,-3542.00,0.00,54.00,2066.00,429.00,96.00,-39.00,1357.00,34526.00,4397.00,1660.00,-1.00,0.00,ND,ND,0.00,ND,ND,799.00
1990:Q4,39580.00,42519.00,-681.00,-2258.00,39580.00,2514.00,962.00,-253.00,2595.00,1233.00,-19090.00,0.00,-3.00,1564.00,248.00,63.00,35.00,3637.00,39537.00,7769.00,-1235.00,4.00,0.00,ND,ND,0.00,ND,ND,440.00
1991:Q1,34756.00,39897.00,-1153.00,-3988.00,34756.00,888.00,900.00,-438.00,1503.00,896.00,-13887.00,0.00,31.00,-14.00,-976.00,-332.00,156.00,3298.00,32226.00,4401.00,6159.00,-56.00,0.00,1925.00,2200.00,0.00,352.00,42.00,-669.00
1991:Q2,58978.00,60961.00,-547.00,-1436.00,58978.00,1781.00,1427.00,-497.00,1857.00,242.00,-2717.00,0.00,-45.00,1723.00,-226.00,-443.00,-72.00,2724.00,35449.00,13065.00,4685.00,24.00,0.00,3963.00,3077.00,0.00,420.00,69.00,397.00
1991:Q3,22260.00,23855.00,-379.00,-1216.00,22260.00,544.00,658.00,433.00,2924.00,542.00,-20434.00,0.00,-47.00,2168.00,-463.00,-305.00,264.00,402.00,38580.00,11949.00,-14936.00,-19.00,0.00,1557.00,1222.00,0.00,190.00,82.00,63.00
1991:Q4,48307.00,49788.00,-440.00,-1041.00,48307.00,-1749.00,51.00,-149.00,-7137.00,321.00,-2435.00,0.00,18.00,290.00,-1234.00,-389.00,-126.00,4814.00,33011.00,8688.00,14336.00,-2.00,0.00,-136.00,-204.00,0.00,265.00,98.00,-295.00
1992:Q1,39638.00,40365.00,-285.00,-442.00,39638.00,-1725.00,185.00,-326.00,1303.00,-191.00,-6775.00,0.00,155.00,-1295.00,1167.00,-216.00,-386.00,7527.00,23712.00,10073.00,6451.00,-21.00,0.00,-2765.00,-3096.00,0.00,-64.00,103.00,292.00
1992:Q2,31448.00,32979.00,-373.00,-1158.00,31448.00,-1702.00,135.00,-237.00,-407.00,-370.00,-13097.00,0.00,268.00,3143.00,-376.00,-257.00,318.00,4151.00,39891.00,9889.00,-10083.00,182.00,0.00,-473.00,-452.00,0.00,-170.00,116.00,33.00
1992:Q3,53304.00,54632.00,-412.00,-916.00,53304.00,-1680.00,-221.00,406.00,-2322.00,234.00,2093.00,0.00,302.00,-418.00,-33.00,-143.00,-154.00,6240.00,25252.00,15362.00,8096.00,290.00,0.00,1235.00,363.00,0.00,186.00,158.00,528.00
1992:Q4,42976.00,45024.00,-537.00,-1511.00,42976.00,-2277.00,-410.00,725.00,916.00,-281.00,-5418.00,0.00,256.00,1494.00,-304.00,-193.00,-80.00,12429.00,28980.00,10209.00,-3385.00,315.00,0.00,-2884.00,-2125.00,0.00,-801.00,147.00,-105.00
