date,FA794110005.Q,FA714110005.Q,FA764110005.Q,FA754110005.Q,FA744110005.Q,FA474110005.Q,FA894010005.Q,FA714010005.Q,FA763020005.Q,FA753020005.Q,FA473013003.Q,FA264016005.Q,FA904010005.Q,FA703025005.Q,FA763025000.Q,FA753025003.Q,FA713113003.Q,FA763013005.Q,FA753013003.Q,FA473013003.Q,FA714010005.Q,FA714010005.Q,FA713022003.Q,FA713068705.Q,FA764116205.Q,FA763192605.Q,FA763092605.Q,FA754116205.Q,FA753192605.Q,FA753092605.Q,FA264116205.Q,FA764016205.Q,FA754016205.Q,FA264035125.Q,FA274135123.Q,FA284135125.Q,FA264016005.Q,FA764112005.Q,FA764112205.Q,FA754012205.Q,FA743020003.Q,FA474012205.Q,FA754112205.Q,FA904010005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-462.00,401.00,-909.00,44.00,21.00,-19.00,36.00,-184.00,401.00,0.00,0.00,-181.00,-498.00,177.00,177.00,0.00,224.00,224.00,0.00,0.00,-184.00,-184.00,2.00,-186.00,-216.00,-216.00,0.00,63.00,71.00,8.00,28.00,29.00,-1.00,0.00,0.00,0.00,-181.00,-480.00,-493.00,7.00,-21.00,19.00,-13.00,-498.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2121.00,1930.00,57.00,123.00,2.00,9.00,1996.00,-27.00,1930.00,0.00,0.00,93.00,125.00,170.00,170.00,0.00,1760.00,1760.00,0.00,0.00,-27.00,-27.00,-45.00,18.00,55.00,55.00,0.00,125.00,133.00,8.00,87.00,86.00,1.00,0.00,0.00,0.00,93.00,115.00,122.00,8.00,-2.00,-9.00,7.00,125.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
