1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,68.00,0.00,0.00,68.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,0.00,68.00
1954:Q3,71.00,0.00,0.00,71.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.00,0.00,0.00,71.00
1954:Q4,77.00,0.00,0.00,77.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,0.00,77.00
1955:Q1,94.00,0.00,0.00,94.00,94.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,0.00,0.00,94.00
1955:Q2,91.00,0.00,0.00,91.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00,0.00,0.00,91.00
1955:Q3,104.00,0.00,0.00,104.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.00,0.00,0.00,104.00
1955:Q4,91.00,0.00,0.00,91.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00,0.00,0.00,91.00
1956:Q1,135.00,0.00,0.00,135.00,135.00,0.00,0.00,0.00,0.00,0.00,0.00,135.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.00,0.00,0.00,135.00
1956:Q2,98.00,0.00,0.00,98.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,98.00
1956:Q3,120.00,0.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,120.00
1956:Q4,108.00,0.00,0.00,108.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.00,0.00,0.00,108.00
1957:Q1,120.00,0.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,120.00
1957:Q2,126.00,0.00,0.00,126.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.00,0.00,0.00,126.00
1957:Q3,119.00,0.00,0.00,119.00,119.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00,0.00,0.00,119.00
1957:Q4,123.00,0.00,0.00,123.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.00,0.00,0.00,123.00
1958:Q1,153.00,0.00,0.00,153.00,153.00,0.00,0.00,0.00,0.00,0.00,0.00,153.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.00,0.00,0.00,153.00
