1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,84695.00,27055.00,24745.00,22559.00,0.00,6652.00,665.00,2615.00,404.00,78689.00,53972.00,10538.00,5135.00,7596.00,1448.00,6006.00,10012.00,291.00,-940.00,16667.00,26226.00,19572.00,272.00,6382.00,17569.00,37.00,514.00,240.00,0.00,0.00,714.00,0.00,480.00,205.00,29.00,0.00,1278.00,599.00,0.00,679.00,0.00,0.00,1138.00,13701.00,-53.00,11187.00,0.00,0.00,24.00,2387.00,409.00,2115.00,261.00,0.00,261.00,1686.00,173.00,6656.00,-9559.00,16828.00,10446.00
1952:Q1,25476.00,11421.00,6341.00,4791.00,0.00,2023.00,175.00,617.00,108.00,20837.00,14958.00,2685.00,906.00,1961.00,327.00,4639.00,2644.00,77.00,-259.00,7465.00,8095.00,5562.00,61.00,2471.00,5126.00,3.00,3518.00,106.00,0.00,80.00,309.00,0.00,348.00,-71.00,32.00,0.00,564.00,374.00,0.00,190.00,0.00,0.00,232.00,289.00,25.00,2655.00,0.00,0.00,15.00,941.00,-1268.00,2246.00,-45.00,0.00,-45.00,-79.00,15.00,1808.00,-630.00,4823.00,2352.00
1952:Q2,20851.00,6575.00,6713.00,4829.00,0.00,1806.00,177.00,648.00,103.00,22128.00,15968.00,2671.00,1156.00,1973.00,360.00,-1277.00,2723.00,186.00,-270.00,1530.00,3819.00,6108.00,61.00,-2350.00,1682.00,29.00,4.00,21.00,0.00,87.00,667.00,0.00,460.00,195.00,12.00,0.00,381.00,61.00,0.00,320.00,0.00,0.00,307.00,95.00,91.00,4032.00,0.00,0.00,7.00,2295.00,-14.00,2464.00,73.00,0.00,73.00,26.00,20.00,1611.00,-2289.00,1149.00,3499.00
1952:Q3,21556.00,7308.00,6879.00,4710.00,0.00,1649.00,179.00,733.00,98.00,22697.00,16451.00,2798.00,1177.00,2005.00,266.00,-1141.00,2822.00,84.00,-276.00,1873.00,3945.00,6590.00,63.00,-2708.00,3992.00,8.00,-341.00,1.00,0.00,512.00,149.00,0.00,78.00,63.00,8.00,0.00,466.00,92.00,0.00,374.00,0.00,0.00,328.00,2766.00,103.00,6700.00,0.00,0.00,9.00,4836.00,3273.00,1215.00,136.00,0.00,136.00,220.00,8.00,1491.00,-2073.00,3778.00,6486.00
1952:Q4,21468.00,6700.00,7188.00,5069.00,0.00,1467.00,182.00,764.00,98.00,23949.00,17829.00,2840.00,1013.00,2043.00,224.00,-2481.00,2885.00,41.00,-251.00,614.00,1381.00,6359.00,67.00,-5045.00,2694.00,-114.00,-507.00,30.00,0.00,-432.00,294.00,0.00,320.00,-24.00,-2.00,0.00,324.00,206.00,0.00,118.00,0.00,0.00,158.00,2813.00,128.00,7739.00,0.00,0.00,6.00,5138.00,3951.00,962.00,158.00,0.00,158.00,398.00,0.00,2039.00,-767.00,2216.00,7261.00
1953:Q1,27024.00,11843.00,6952.00,5230.00,0.00,2114.00,192.00,588.00,106.00,23308.00,17048.00,2928.00,950.00,2082.00,300.00,3716.00,2956.00,51.00,-306.00,6927.00,8840.00,6163.00,77.00,2600.00,3222.00,21.00,835.00,24.00,0.00,9.00,281.00,0.00,288.00,-10.00,3.00,0.00,165.00,206.00,0.00,-41.00,0.00,0.00,296.00,1696.00,-105.00,623.00,0.00,0.00,3.00,-1354.00,-3020.00,1564.00,-225.00,0.00,-225.00,236.00,8.00,1955.00,-1913.00,3159.00,560.00
1953:Q2,22327.00,6543.00,7264.00,5518.00,0.00,1899.00,195.00,797.00,111.00,24229.00,17792.00,2894.00,1197.00,2107.00,239.00,-1902.00,3027.00,137.00,-263.00,1251.00,4570.00,6774.00,82.00,-2286.00,373.00,-72.00,-1927.00,79.00,0.00,-256.00,115.00,0.00,162.00,-77.00,30.00,0.00,182.00,170.00,0.00,12.00,0.00,0.00,-75.00,2458.00,-131.00,2659.00,0.00,0.00,13.00,1173.00,460.00,1158.00,-74.00,0.00,-74.00,-79.00,18.00,1608.00,-3319.00,285.00,2571.00
1953:Q3,23472.00,7954.00,7398.00,5328.00,0.00,1730.00,198.00,748.00,116.00,23097.00,16786.00,2868.00,1030.00,2145.00,268.00,374.00,3056.00,82.00,-278.00,3627.00,4628.00,7192.00,84.00,-2649.00,7522.00,55.00,2170.00,-42.00,0.00,815.00,164.00,0.00,126.00,-21.00,59.00,0.00,349.00,108.00,0.00,241.00,0.00,0.00,77.00,3801.00,133.00,10171.00,0.00,0.00,7.00,8098.00,6540.00,1416.00,3.00,0.00,3.00,119.00,25.00,1919.00,-1001.00,7393.00,10042.00
1953:Q4,21099.00,6902.00,7487.00,4211.00,0.00,1386.00,201.00,788.00,124.00,25145.00,18732.00,2984.00,1088.00,2181.00,160.00,-4047.00,3095.00,58.00,-301.00,-709.00,-444.00,6526.00,86.00,-7056.00,65.00,-90.00,-2226.00,259.00,0.00,-640.00,340.00,0.00,228.00,22.00,90.00,0.00,-40.00,-11.00,0.00,-29.00,0.00,0.00,-331.00,2667.00,126.00,7121.00,0.00,0.00,11.00,4988.00,1943.00,1217.00,-68.00,0.00,-68.00,67.00,23.00,2100.00,-265.00,-95.00,6961.00
1954:Q1,25692.00,11073.00,6997.00,4127.00,0.00,2417.00,214.00,729.00,135.00,23417.00,16668.00,3355.00,984.00,2222.00,188.00,2275.00,3150.00,5.00,-299.00,5719.00,8824.00,6016.00,79.00,2729.00,2518.00,-42.00,2202.00,328.00,0.00,-391.00,200.00,0.00,60.00,49.00,91.00,0.00,-144.00,-46.00,0.00,-98.00,0.00,0.00,265.00,263.00,-163.00,-211.00,0.00,0.00,22.00,-2382.00,-4544.00,1504.00,-104.00,0.00,-104.00,303.00,-13.00,1963.00,-3105.00,2562.00,-167.00
