1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1382.00,0.00,0.00,0.00,0.00,0.00,0.00,442.00,442.00,442.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,940.00,731.00,209.00,0.00,0.00,0.00,1382.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1382.00,731.00,731.00,651.00,0.00,209.00,442.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-940.00,-289.00,-651.00,940.00,0.00
1952:Q1,373.00,0.00,0.00,0.00,0.00,0.00,0.00,114.00,114.00,114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,259.00,205.00,54.00,0.00,0.00,0.00,373.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,373.00,205.00,205.00,168.00,0.00,54.00,114.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-259.00,-91.00,-168.00,259.00,0.00
1952:Q2,388.00,0.00,0.00,0.00,0.00,0.00,0.00,118.00,118.00,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,216.00,54.00,0.00,0.00,0.00,388.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,388.00,216.00,216.00,172.00,0.00,54.00,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-270.00,-98.00,-172.00,270.00,0.00
1952:Q3,405.00,0.00,0.00,0.00,0.00,0.00,0.00,129.00,129.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276.00,221.00,55.00,0.00,0.00,0.00,405.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,405.00,221.00,221.00,184.00,0.00,55.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-276.00,-92.00,-184.00,276.00,0.00
1952:Q4,380.00,0.00,0.00,0.00,0.00,0.00,0.00,129.00,129.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,251.00,195.00,56.00,0.00,0.00,0.00,380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,380.00,195.00,195.00,185.00,0.00,56.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-251.00,-66.00,-185.00,251.00,0.00
1953:Q1,418.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00,112.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,306.00,249.00,57.00,0.00,0.00,0.00,418.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,418.00,249.00,249.00,169.00,0.00,57.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-306.00,-137.00,-169.00,306.00,0.00
1953:Q2,429.00,0.00,0.00,0.00,0.00,0.00,0.00,166.00,166.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263.00,205.00,58.00,0.00,0.00,0.00,429.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,429.00,205.00,205.00,224.00,0.00,58.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-263.00,-39.00,-224.00,263.00,0.00
1953:Q3,418.00,0.00,0.00,0.00,0.00,0.00,0.00,140.00,140.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278.00,218.00,60.00,0.00,0.00,0.00,418.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,418.00,218.00,218.00,200.00,0.00,60.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-278.00,-78.00,-200.00,278.00,0.00
1953:Q4,443.00,0.00,0.00,0.00,0.00,0.00,0.00,142.00,142.00,142.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,301.00,238.00,63.00,0.00,0.00,0.00,443.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,443.00,238.00,238.00,205.00,0.00,63.00,142.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-301.00,-96.00,-205.00,301.00,0.00
1954:Q1,447.00,0.00,0.00,0.00,0.00,0.00,0.00,148.00,148.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,299.00,234.00,65.00,0.00,0.00,0.00,447.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.00,234.00,234.00,213.00,0.00,65.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-299.00,-86.00,-213.00,299.00,0.00
