1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,1244.00,0.00,0.00,0.00,0.00,0.00,0.00,708.00,708.00,684.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,536.00,412.00,124.00,0.00,0.00,0.00,1244.00,24.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,0.00,0.00,1220.00,412.00,412.00,808.00,0.00,124.00,684.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,-512.00,296.00,-808.00,536.00,0.00
1960:Q4,1270.00,0.00,0.00,0.00,0.00,0.00,0.00,628.00,628.00,605.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,642.00,512.00,130.00,0.00,0.00,0.00,1270.00,23.00,0.00,0.00,0.00,23.00,0.00,23.00,0.00,0.00,0.00,1247.00,512.00,512.00,735.00,0.00,130.00,605.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.00,0.00,-619.00,116.00,-735.00,642.00,0.00
1961:Q1,1403.00,0.00,0.00,0.00,0.00,0.00,0.00,765.00,765.00,738.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,638.00,499.00,139.00,0.00,0.00,0.00,1403.00,27.00,0.00,0.00,0.00,27.00,0.00,27.00,0.00,0.00,0.00,1376.00,499.00,499.00,877.00,0.00,139.00,738.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.00,0.00,-611.00,266.00,-877.00,638.00,0.00
1961:Q2,1280.00,0.00,0.00,0.00,0.00,0.00,0.00,682.00,682.00,653.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,598.00,458.00,140.00,0.00,0.00,0.00,1280.00,29.00,0.00,0.00,0.00,29.00,0.00,29.00,0.00,0.00,0.00,1251.00,458.00,458.00,793.00,0.00,140.00,653.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,-569.00,224.00,-793.00,598.00,0.00
1961:Q3,1335.00,0.00,0.00,0.00,0.00,0.00,0.00,692.00,692.00,660.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,643.00,503.00,140.00,0.00,0.00,0.00,1335.00,32.00,0.00,0.00,0.00,32.00,0.00,32.00,0.00,0.00,0.00,1303.00,503.00,503.00,800.00,0.00,140.00,660.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.00,0.00,-611.00,189.00,-800.00,643.00,0.00
1961:Q4,1346.00,0.00,0.00,0.00,0.00,0.00,0.00,715.00,715.00,680.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,631.00,490.00,141.00,0.00,0.00,0.00,1346.00,35.00,0.00,0.00,0.00,35.00,0.00,35.00,0.00,0.00,0.00,1311.00,490.00,490.00,821.00,0.00,141.00,680.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.00,0.00,-596.00,225.00,-821.00,631.00,0.00
1962:Q1,1359.00,0.00,0.00,0.00,0.00,0.00,0.00,754.00,754.00,724.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,605.00,467.00,138.00,0.00,0.00,0.00,1359.00,30.00,0.00,0.00,0.00,30.00,0.00,30.00,0.00,0.00,0.00,1329.00,467.00,467.00,862.00,0.00,138.00,724.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.00,0.00,-575.00,287.00,-862.00,605.00,0.00
1962:Q2,1472.00,0.00,0.00,0.00,0.00,0.00,0.00,790.00,790.00,760.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,682.00,539.00,143.00,0.00,0.00,0.00,1472.00,30.00,0.00,0.00,0.00,30.00,0.00,30.00,0.00,0.00,0.00,1442.00,539.00,539.00,903.00,0.00,143.00,760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.00,0.00,-652.00,251.00,-903.00,682.00,0.00
1962:Q3,1375.00,0.00,0.00,0.00,0.00,0.00,0.00,713.00,713.00,686.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,662.00,513.00,149.00,0.00,0.00,0.00,1375.00,27.00,0.00,0.00,0.00,27.00,0.00,27.00,0.00,0.00,0.00,1348.00,513.00,513.00,835.00,0.00,149.00,686.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.00,0.00,-635.00,200.00,-835.00,662.00,0.00
1962:Q4,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,810.00,810.00,771.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,690.00,535.00,155.00,0.00,0.00,0.00,1500.00,39.00,0.00,0.00,0.00,39.00,0.00,39.00,0.00,0.00,0.00,1461.00,535.00,535.00,926.00,0.00,155.00,771.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-39.00,0.00,-651.00,275.00,-926.00,690.00,0.00
1963:Q1,1529.00,0.00,0.00,0.00,0.00,0.00,0.00,830.00,830.00,807.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,699.00,542.00,157.00,0.00,0.00,0.00,1529.00,23.00,0.00,0.00,0.00,23.00,0.00,23.00,0.00,0.00,0.00,1506.00,542.00,542.00,964.00,0.00,157.00,807.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.00,0.00,-676.00,288.00,-964.00,699.00,0.00
1963:Q2,1584.00,0.00,0.00,0.00,0.00,0.00,0.00,857.00,857.00,836.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,727.00,567.00,160.00,0.00,0.00,0.00,1584.00,21.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00,1563.00,567.00,567.00,996.00,0.00,160.00,836.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,-706.00,290.00,-996.00,727.00,0.00
1963:Q3,1679.00,0.00,0.00,0.00,0.00,0.00,0.00,919.00,919.00,896.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,760.00,598.00,162.00,0.00,0.00,0.00,1679.00,23.00,0.00,0.00,0.00,23.00,0.00,23.00,0.00,0.00,0.00,1656.00,598.00,598.00,1058.00,0.00,162.00,896.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.00,0.00,-737.00,321.00,-1058.00,760.00,0.00
1963:Q4,1680.00,0.00,0.00,0.00,0.00,0.00,0.00,980.00,980.00,959.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,700.00,534.00,166.00,0.00,0.00,0.00,1680.00,21.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00,1659.00,534.00,534.00,1125.00,0.00,166.00,959.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,-679.00,446.00,-1125.00,700.00,0.00
1964:Q1,1657.00,0.00,0.00,0.00,0.00,0.00,0.00,919.00,919.00,898.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,738.00,566.00,172.00,0.00,0.00,0.00,1657.00,21.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00,1636.00,566.00,566.00,1070.00,0.00,172.00,898.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,-717.00,353.00,-1070.00,738.00,0.00
1964:Q2,1835.00,0.00,0.00,0.00,0.00,0.00,0.00,998.00,998.00,980.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,837.00,656.00,181.00,0.00,0.00,0.00,1835.00,18.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,0.00,0.00,1817.00,656.00,656.00,1161.00,0.00,181.00,980.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,-819.00,342.00,-1161.00,837.00,0.00
1964:Q3,1959.00,0.00,0.00,0.00,0.00,0.00,0.00,1102.00,1102.00,1081.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,857.00,667.00,190.00,0.00,0.00,0.00,1959.00,21.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00,1938.00,667.00,667.00,1271.00,0.00,190.00,1081.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,-836.00,435.00,-1271.00,857.00,0.00
1964:Q4,1918.00,0.00,0.00,0.00,0.00,0.00,0.00,1045.00,1045.00,1024.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,873.00,678.00,195.00,0.00,0.00,0.00,1918.00,21.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00,1897.00,678.00,678.00,1219.00,0.00,195.00,1024.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,-852.00,367.00,-1219.00,873.00,0.00
1965:Q1,1921.00,0.00,0.00,0.00,0.00,0.00,0.00,1022.00,1022.00,1001.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,899.00,702.00,197.00,0.00,0.00,0.00,1921.00,21.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00,1900.00,702.00,702.00,1198.00,0.00,197.00,1001.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,-878.00,320.00,-1198.00,899.00,0.00
1965:Q2,1862.00,0.00,0.00,0.00,0.00,0.00,0.00,1006.00,1006.00,982.00,0.00,0.00,24.00,0.00,0.00,0.00,0.00,856.00,658.00,198.00,0.00,0.00,0.00,1862.00,24.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,0.00,0.00,1838.00,658.00,658.00,1180.00,0.00,198.00,982.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,-832.00,348.00,-1180.00,856.00,0.00
1965:Q3,1886.00,0.00,0.00,0.00,0.00,0.00,0.00,982.00,982.00,966.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,904.00,704.00,200.00,0.00,0.00,0.00,1886.00,16.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,1870.00,704.00,704.00,1166.00,0.00,200.00,966.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,0.00,-888.00,278.00,-1166.00,904.00,0.00
1965:Q4,1976.00,0.00,0.00,0.00,0.00,0.00,0.00,1025.00,1025.00,1005.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,951.00,751.00,200.00,0.00,0.00,0.00,1976.00,20.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,1956.00,751.00,751.00,1205.00,0.00,200.00,1005.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,-931.00,274.00,-1205.00,951.00,0.00
1966:Q1,2072.00,0.00,0.00,0.00,0.00,0.00,0.00,1085.00,1085.00,1065.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,987.00,787.00,200.00,0.00,0.00,0.00,2072.00,20.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,2052.00,787.00,787.00,1265.00,0.00,200.00,1065.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,-967.00,298.00,-1265.00,987.00,0.00
1966:Q2,2090.00,0.00,0.00,0.00,0.00,0.00,0.00,1098.00,1098.00,1073.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,992.00,786.00,206.00,0.00,0.00,0.00,2090.00,25.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,2065.00,786.00,786.00,1279.00,0.00,206.00,1073.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,-967.00,312.00,-1279.00,992.00,0.00
1966:Q3,2073.00,0.00,0.00,0.00,0.00,0.00,0.00,1112.00,1112.00,1096.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,961.00,748.00,213.00,0.00,0.00,0.00,2073.00,16.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,2057.00,748.00,748.00,1309.00,0.00,213.00,1096.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,0.00,-945.00,364.00,-1309.00,961.00,0.00
1966:Q4,2039.00,0.00,0.00,0.00,0.00,0.00,0.00,1092.00,1092.00,1070.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,947.00,725.00,222.00,0.00,0.00,0.00,2039.00,22.00,0.00,0.00,0.00,22.00,0.00,22.00,0.00,0.00,0.00,2017.00,725.00,725.00,1292.00,0.00,222.00,1070.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.00,0.00,-925.00,367.00,-1292.00,947.00,0.00
1967:Q1,2072.00,0.00,0.00,0.00,0.00,0.00,0.00,1075.00,1075.00,1053.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,997.00,772.00,225.00,0.00,0.00,0.00,2072.00,22.00,0.00,0.00,0.00,22.00,0.00,22.00,0.00,0.00,0.00,2050.00,772.00,772.00,1278.00,0.00,225.00,1053.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.00,0.00,-975.00,303.00,-1278.00,997.00,0.00
1967:Q2,1822.00,0.00,0.00,0.00,0.00,0.00,0.00,854.00,854.00,833.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,968.00,740.00,228.00,0.00,0.00,0.00,1822.00,21.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00,1801.00,740.00,740.00,1061.00,0.00,228.00,833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,-947.00,114.00,-1061.00,968.00,0.00
1967:Q3,2165.00,0.00,0.00,0.00,0.00,0.00,0.00,1124.00,1124.00,1103.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,1041.00,811.00,230.00,0.00,0.00,0.00,2165.00,21.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00,2144.00,811.00,811.00,1333.00,0.00,230.00,1103.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,-1020.00,313.00,-1333.00,1041.00,0.00
1967:Q4,2180.00,0.00,0.00,0.00,0.00,0.00,0.00,1207.00,1207.00,1186.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,973.00,742.00,231.00,0.00,0.00,0.00,2180.00,21.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00,0.00,0.00,2159.00,742.00,742.00,1417.00,0.00,231.00,1186.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,-952.00,465.00,-1417.00,973.00,0.00
1968:Q1,2397.00,0.00,0.00,0.00,0.00,0.00,0.00,1475.00,1475.00,1450.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,922.00,694.00,228.00,0.00,0.00,0.00,2397.00,25.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,2372.00,694.00,694.00,1678.00,0.00,228.00,1450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,-897.00,781.00,-1678.00,922.00,0.00
1968:Q2,2376.00,0.00,0.00,0.00,0.00,0.00,0.00,1367.00,1367.00,1338.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,1009.00,773.00,236.00,0.00,0.00,0.00,2376.00,29.00,0.00,0.00,0.00,29.00,0.00,29.00,0.00,0.00,0.00,2347.00,773.00,773.00,1574.00,0.00,236.00,1338.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-29.00,0.00,-980.00,594.00,-1574.00,1009.00,0.00
1968:Q3,2638.00,0.00,0.00,0.00,0.00,0.00,0.00,1584.00,1584.00,1548.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,1054.00,811.00,243.00,0.00,0.00,0.00,2638.00,36.00,0.00,0.00,0.00,36.00,0.00,36.00,0.00,0.00,0.00,2602.00,811.00,811.00,1791.00,0.00,243.00,1548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.00,0.00,-1018.00,773.00,-1791.00,1054.00,0.00
1968:Q4,2670.00,0.00,0.00,0.00,0.00,0.00,0.00,1567.00,1567.00,1545.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,1103.00,850.00,253.00,0.00,0.00,0.00,2670.00,22.00,0.00,0.00,0.00,22.00,0.00,22.00,0.00,0.00,0.00,2648.00,850.00,850.00,1798.00,0.00,253.00,1545.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.00,0.00,-1081.00,717.00,-1798.00,1103.00,0.00
1969:Q1,2617.00,0.00,0.00,0.00,0.00,0.00,0.00,1476.00,1476.00,1455.00,0.00,0.00,20.00,0.00,1.00,0.00,0.00,1141.00,866.00,275.00,0.00,0.00,0.00,2617.00,20.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,2596.00,866.00,866.00,1730.00,0.00,275.00,1455.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,-20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,-1120.00,610.00,-1730.00,1141.00,-1.00
1969:Q2,2659.00,0.00,0.00,0.00,0.00,0.00,0.00,1459.00,1459.00,1440.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,1200.00,922.00,278.00,0.00,0.00,0.00,2659.00,19.00,0.00,0.00,0.00,19.00,0.00,19.00,0.00,0.00,0.00,2640.00,922.00,922.00,1718.00,0.00,278.00,1440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-19.00,0.00,-1181.00,537.00,-1718.00,1200.00,0.00
1969:Q3,2555.00,0.00,0.00,0.00,0.00,0.00,0.00,1418.00,1418.00,1399.00,0.00,0.00,18.00,0.00,1.00,0.00,0.00,1137.00,885.00,252.00,0.00,0.00,0.00,2555.00,18.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,0.00,0.00,2536.00,885.00,885.00,1651.00,0.00,252.00,1399.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,-18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,-1118.00,533.00,-1651.00,1137.00,-1.00
1969:Q4,2654.00,0.00,0.00,0.00,0.00,0.00,0.00,1507.00,1507.00,1487.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,1147.00,890.00,257.00,0.00,0.00,0.00,2654.00,20.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,2634.00,890.00,890.00,1744.00,0.00,257.00,1487.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-20.00,0.00,-1127.00,617.00,-1744.00,1147.00,0.00
1970:Q1,2612.00,0.00,0.00,0.00,0.00,0.00,0.00,1420.00,1420.00,1394.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,1192.00,938.00,254.00,0.00,0.00,0.00,2612.00,26.00,0.00,0.00,0.00,26.00,0.00,26.00,0.00,0.00,0.00,2586.00,938.00,938.00,1648.00,0.00,254.00,1394.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-26.00,0.00,-1166.00,482.00,-1648.00,1192.00,0.00
1970:Q2,2536.00,0.00,0.00,0.00,0.00,0.00,0.00,1340.00,1340.00,1307.00,0.00,0.00,32.00,0.00,1.00,0.00,0.00,1196.00,925.00,271.00,0.00,0.00,0.00,2536.00,32.00,0.00,0.00,0.00,32.00,0.00,32.00,0.00,0.00,0.00,2503.00,925.00,925.00,1578.00,0.00,271.00,1307.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,-32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.00,0.00,-1163.00,415.00,-1578.00,1196.00,-1.00
1970:Q3,2401.00,0.00,0.00,0.00,0.00,0.00,0.00,1232.00,1232.00,1204.00,0.00,0.00,27.00,0.00,1.00,0.00,0.00,1169.00,888.00,281.00,0.00,0.00,0.00,2401.00,27.00,0.00,0.00,0.00,27.00,0.00,27.00,0.00,0.00,0.00,2373.00,888.00,888.00,1485.00,0.00,281.00,1204.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,-27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.00,0.00,-1141.00,344.00,-1485.00,1169.00,-1.00
1970:Q4,2475.00,0.00,0.00,0.00,0.00,0.00,0.00,1268.00,1268.00,1225.00,0.00,0.00,40.00,0.00,3.00,0.00,0.00,1207.00,931.00,276.00,0.00,0.00,0.00,2475.00,40.00,0.00,0.00,0.00,40.00,0.00,40.00,0.00,0.00,0.00,2432.00,931.00,931.00,1501.00,0.00,276.00,1225.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,-40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-40.00,0.00,-1164.00,337.00,-1501.00,1207.00,-3.00
1971:Q1,2649.00,0.00,0.00,0.00,0.00,0.00,0.00,1410.00,1410.00,1366.00,0.00,0.00,41.00,0.00,3.00,0.00,0.00,1239.00,946.00,293.00,0.00,0.00,0.00,2649.00,41.00,0.00,0.00,0.00,41.00,0.00,41.00,0.00,0.00,0.00,2605.00,946.00,946.00,1659.00,0.00,293.00,1366.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,-41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-41.00,0.00,-1195.00,464.00,-1659.00,1239.00,-3.00
1971:Q2,2870.00,0.00,0.00,0.00,0.00,0.00,0.00,1611.00,1611.00,1578.00,0.00,0.00,30.00,0.00,3.00,0.00,0.00,1259.00,960.00,299.00,0.00,0.00,0.00,2870.00,30.00,0.00,0.00,0.00,30.00,0.00,30.00,0.00,0.00,0.00,2837.00,960.00,960.00,1877.00,0.00,299.00,1578.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,-30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.00,0.00,-1226.00,651.00,-1877.00,1259.00,-3.00
1971:Q3,2837.00,0.00,0.00,0.00,0.00,0.00,0.00,1474.00,1474.00,1439.00,0.00,0.00,31.00,0.00,4.00,0.00,0.00,1363.00,1034.00,329.00,0.00,0.00,0.00,2837.00,31.00,0.00,0.00,0.00,31.00,0.00,31.00,0.00,0.00,0.00,2802.00,1034.00,1034.00,1768.00,0.00,329.00,1439.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,-31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-31.00,0.00,-1328.00,440.00,-1768.00,1363.00,-4.00
1971:Q4,3391.00,0.00,0.00,0.00,0.00,0.00,0.00,1454.00,1454.00,1411.00,0.00,0.00,37.00,0.00,6.00,0.00,0.00,1937.00,1648.00,289.00,0.00,0.00,0.00,3391.00,37.00,0.00,0.00,0.00,37.00,0.00,37.00,0.00,0.00,0.00,3348.00,1648.00,1648.00,1700.00,0.00,289.00,1411.00,0.00,0.00,0.00,0.00,6.00,6.00,0.00,-37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-37.00,0.00,-1894.00,-194.00,-1700.00,1937.00,-6.00
1972:Q1,3400.00,0.00,0.00,0.00,0.00,0.00,0.00,1466.00,1466.00,1417.00,0.00,0.00,43.00,0.00,6.00,0.00,0.00,1934.00,1600.00,334.00,0.00,0.00,0.00,3400.00,43.00,0.00,0.00,0.00,43.00,0.00,43.00,0.00,0.00,0.00,3351.00,1600.00,1600.00,1751.00,0.00,334.00,1417.00,0.00,0.00,0.00,0.00,6.00,6.00,0.00,-43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-43.00,0.00,-1885.00,-134.00,-1751.00,1934.00,-6.00
1972:Q2,2869.00,0.00,0.00,0.00,0.00,0.00,0.00,1363.00,1363.00,1304.00,0.00,0.00,53.00,0.00,6.00,0.00,0.00,1506.00,1153.00,353.00,0.00,0.00,0.00,2869.00,53.00,0.00,0.00,0.00,53.00,0.00,53.00,0.00,0.00,0.00,2810.00,1153.00,1153.00,1657.00,0.00,353.00,1304.00,0.00,0.00,0.00,0.00,6.00,6.00,0.00,-53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-53.00,0.00,-1447.00,210.00,-1657.00,1506.00,-6.00
