1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q1,7400.00,0.00,716.00,0.00,0.00,2124.00,560.00,344.00,456.00,764.00,0.00,1680.00,0.00,2880.00,0.00,0.00,2880.00,7400.00
1973:Q2,4984.00,0.00,640.00,0.00,0.00,1288.00,444.00,288.00,168.00,388.00,0.00,1000.00,0.00,2056.00,0.00,0.00,2056.00,4984.00
1973:Q3,4848.00,0.00,844.00,0.00,0.00,2080.00,472.00,700.00,160.00,748.00,0.00,680.00,0.00,1244.00,0.00,0.00,1244.00,4848.00
1973:Q4,5188.00,0.00,652.00,0.00,0.00,1312.00,644.00,668.00,196.00,-196.00,0.00,712.00,0.00,2512.00,0.00,0.00,2512.00,5188.00
1974:Q1,5068.00,0.00,784.00,0.00,0.00,1508.00,760.00,728.00,52.00,-32.00,0.00,504.00,0.00,2272.00,0.00,0.00,2272.00,5068.00
1974:Q2,5404.00,0.00,804.00,0.00,0.00,1800.00,824.00,804.00,12.00,160.00,0.00,48.00,0.00,2752.00,0.00,0.00,2752.00,5404.00
1974:Q3,7684.00,0.00,864.00,0.00,0.00,3180.00,960.00,1324.00,216.00,680.00,0.00,216.00,0.00,3424.00,0.00,0.00,3424.00,7684.00
1974:Q4,8052.00,0.00,1176.00,0.00,0.00,3208.00,1172.00,324.00,700.00,1012.00,0.00,1012.00,0.00,2656.00,0.00,0.00,2656.00,8052.00
1975:Q1,10424.00,0.00,1012.00,0.00,0.00,4556.00,1484.00,1064.00,324.00,1684.00,0.00,2064.00,0.00,2792.00,0.00,0.00,2792.00,10424.00
1975:Q2,14512.00,0.00,1232.00,0.00,0.00,4200.00,1884.00,892.00,200.00,1224.00,0.00,2176.00,0.00,6904.00,0.00,0.00,6904.00,14512.00
1975:Q3,17544.00,0.00,1280.00,0.00,0.00,4144.00,1504.00,1380.00,72.00,1188.00,0.00,2028.00,0.00,10092.00,0.00,0.00,10092.00,17544.00
1975:Q4,12704.00,0.00,1168.00,0.00,0.00,3336.00,988.00,500.00,424.00,1424.00,0.00,2188.00,0.00,6012.00,0.00,0.00,6012.00,12704.00
1976:Q1,7184.00,0.00,1208.00,0.00,0.00,3396.00,1324.00,1216.00,428.00,428.00,0.00,2468.00,0.00,112.00,0.00,0.00,112.00,7184.00
1976:Q2,772.00,0.00,1036.00,0.00,0.00,3184.00,876.00,1600.00,328.00,380.00,0.00,1876.00,0.00,-5324.00,0.00,0.00,-5324.00,772.00
1976:Q3,8040.00,0.00,844.00,0.00,0.00,628.00,504.00,1160.00,168.00,-1204.00,0.00,1372.00,0.00,5196.00,0.00,0.00,5196.00,8040.00
1976:Q4,10356.00,0.00,1020.00,0.00,0.00,696.00,316.00,1704.00,-388.00,-936.00,0.00,1324.00,0.00,7316.00,0.00,0.00,7316.00,10356.00
1977:Q1,16408.00,0.00,1244.00,0.00,0.00,880.00,296.00,-204.00,892.00,-104.00,0.00,1728.00,0.00,12556.00,0.00,0.00,12556.00,16408.00
1977:Q2,7332.00,0.00,1380.00,92.00,0.00,3680.00,216.00,2084.00,476.00,904.00,0.00,2164.00,0.00,16.00,0.00,0.00,16.00,7332.00
1977:Q3,15472.00,0.00,1480.00,120.00,0.00,1304.00,60.00,124.00,864.00,256.00,0.00,2616.00,0.00,9952.00,0.00,0.00,9952.00,15472.00
1977:Q4,5632.00,0.00,1548.00,164.00,0.00,3528.00,8.00,1228.00,-96.00,2388.00,0.00,2524.00,0.00,-2132.00,0.00,0.00,-2132.00,5632.00
1978:Q1,17316.00,0.00,1780.00,224.00,0.00,844.00,56.00,168.00,-24.00,644.00,0.00,2780.00,0.00,11688.00,0.00,0.00,11688.00,17316.00
1978:Q2,5164.00,0.00,1876.00,248.00,0.00,3928.00,-24.00,708.00,-44.00,3288.00,0.00,2672.00,0.00,-3560.00,0.00,0.00,-3560.00,5164.00
1978:Q3,13168.00,0.00,1728.00,240.00,0.00,1844.00,-260.00,-1096.00,1364.00,1836.00,0.00,2640.00,0.00,6716.00,0.00,0.00,6716.00,13168.00
1978:Q4,16792.00,0.00,2164.00,348.00,0.00,1920.00,-16.00,2092.00,-1136.00,980.00,0.00,2836.00,0.00,9524.00,0.00,0.00,9524.00,16792.00
1979:Q1,15096.00,0.00,2008.00,564.00,0.00,3144.00,688.00,548.00,1068.00,840.00,0.00,3244.00,0.00,6136.00,0.00,0.00,6136.00,15096.00
1979:Q2,16492.00,0.00,1784.00,752.00,0.00,5980.00,1448.00,1200.00,736.00,2596.00,0.00,3332.00,0.00,4644.00,0.00,0.00,4644.00,16492.00
1979:Q3,14244.00,0.00,1952.00,900.00,0.00,6780.00,2236.00,840.00,1120.00,2584.00,0.00,4496.00,0.00,116.00,0.00,0.00,116.00,14244.00
1979:Q4,18748.00,0.00,2216.00,1076.00,0.00,5660.00,2400.00,228.00,488.00,2544.00,0.00,4944.00,0.00,4852.00,0.00,0.00,4852.00,18748.00
1980:Q1,18640.00,0.00,1760.00,1272.00,0.00,6948.00,1960.00,1208.00,688.00,3092.00,0.00,3456.00,736.00,4468.00,0.00,0.00,4468.00,18640.00
1980:Q2,19488.00,0.00,1636.00,1380.00,0.00,8088.00,1680.00,2184.00,1484.00,2740.00,0.00,5772.00,-660.00,3272.00,0.00,0.00,3272.00,19488.00
1980:Q3,20256.00,0.00,1540.00,1400.00,0.00,7164.00,1568.00,1180.00,1248.00,3168.00,0.00,4168.00,740.00,5244.00,0.00,0.00,5244.00,20256.00
1980:Q4,12716.00,0.00,2460.00,1752.00,0.00,6956.00,1408.00,1648.00,1672.00,2228.00,0.00,3928.00,700.00,-3080.00,0.00,0.00,-3080.00,12716.00
1981:Q1,11960.00,0.00,2060.00,2444.00,0.00,5632.00,1208.00,1136.00,1724.00,1564.00,0.00,5176.00,0.00,-3352.00,0.00,0.00,-3352.00,11960.00
1981:Q2,19276.00,0.00,1512.00,3560.00,0.00,6796.00,2404.00,1192.00,2308.00,892.00,0.00,4792.00,204.00,2412.00,0.00,0.00,2412.00,19276.00
1981:Q3,22352.00,0.00,2316.00,5116.00,0.00,6088.00,2304.00,212.00,2452.00,1120.00,0.00,3632.00,1164.00,4036.00,0.00,0.00,4036.00,22352.00
1981:Q4,15796.00,0.00,2852.00,4604.00,0.00,10028.00,2044.00,11928.00,-4852.00,908.00,0.00,4404.00,528.00,-6620.00,0.00,0.00,-6620.00,15796.00
1982:Q1,7796.00,0.00,5844.00,1864.00,0.00,11136.00,-4048.00,9352.00,3256.00,2576.00,0.00,780.00,256.00,-12084.00,0.00,0.00,-12084.00,7796.00
1982:Q2,15312.00,0.00,6484.00,-4000.00,0.00,8968.00,-2188.00,6004.00,3240.00,1912.00,0.00,1800.00,404.00,1656.00,0.00,0.00,1656.00,15312.00
1982:Q3,26756.00,0.00,5852.00,-3836.00,0.00,6116.00,-4492.00,5864.00,1860.00,2884.00,0.00,2616.00,664.00,15344.00,0.00,0.00,15344.00,26756.00
1982:Q4,30956.00,0.00,6148.00,-1532.00,0.00,7280.00,-4156.00,7268.00,2024.00,2144.00,0.00,18448.00,488.00,124.00,0.00,0.00,124.00,30956.00
1983:Q1,30736.00,0.00,7660.00,756.00,0.00,7300.00,-1536.00,4556.00,1084.00,3196.00,0.00,4824.00,-404.00,10600.00,0.00,0.00,10600.00,30736.00
1983:Q2,42992.00,0.00,10448.00,1404.00,0.00,7236.00,1696.00,3324.00,1068.00,1148.00,0.00,2464.00,272.00,21168.00,0.00,0.00,21168.00,42992.00
1983:Q3,17120.00,0.00,324.00,1496.00,0.00,14452.00,2712.00,6052.00,2228.00,3460.00,0.00,264.00,1144.00,-560.00,0.00,0.00,-560.00,17120.00
1983:Q4,17292.00,0.00,3104.00,1308.00,0.00,8688.00,400.00,4228.00,1688.00,2372.00,0.00,-1248.00,940.00,4500.00,0.00,0.00,4500.00,17292.00
1984:Q1,-6900.00,0.00,-1324.00,1048.00,0.00,6832.00,3732.00,1692.00,360.00,1048.00,0.00,-6356.00,1256.00,-8356.00,0.00,0.00,-8356.00,-6900.00
1984:Q2,-14416.00,0.00,-280.00,788.00,0.00,-3340.00,4052.00,-2900.00,-780.00,-3712.00,0.00,-6340.00,-252.00,-4992.00,0.00,0.00,-4992.00,-14416.00
1984:Q3,44276.00,0.00,9128.00,1528.00,0.00,15896.00,92.00,6640.00,2628.00,6536.00,0.00,4400.00,468.00,12856.00,0.00,0.00,12856.00,44276.00
1984:Q4,28752.00,0.00,5924.00,672.00,0.00,16868.00,-4096.00,9640.00,2832.00,8492.00,0.00,-736.00,932.00,5092.00,0.00,0.00,5092.00,28752.00
1985:Q1,30920.00,0.00,9720.00,1964.00,0.00,644.00,-448.00,3748.00,1492.00,-4148.00,0.00,4276.00,380.00,13936.00,0.00,0.00,13936.00,30920.00
1985:Q2,40260.00,0.00,12032.00,2344.00,0.00,4776.00,-152.00,7288.00,3220.00,-5580.00,0.00,5816.00,312.00,14980.00,0.00,0.00,14980.00,40260.00
1985:Q3,-2260.00,0.00,-1452.00,896.00,0.00,3480.00,972.00,3532.00,1828.00,-2852.00,0.00,2812.00,336.00,-8332.00,0.00,0.00,-8332.00,-2260.00
1985:Q4,44320.00,0.00,-5636.00,3392.00,21136.00,9092.00,-1360.00,5580.00,13248.00,-8376.00,0.00,-480.00,312.00,16504.00,0.00,0.00,16504.00,44320.00
1986:Q1,35792.00,-1200.00,1516.00,1720.00,532.00,11820.00,100.00,2948.00,1356.00,7416.00,-1368.00,-13412.00,3572.00,32612.00,12064.00,40.00,20508.00,35792.00
1986:Q2,7384.00,-960.00,-6408.00,-360.00,-656.00,-4244.00,-1556.00,-4652.00,-2120.00,4084.00,-1740.00,5564.00,948.00,15240.00,9756.00,60.00,5424.00,7384.00
1986:Q3,29380.00,-760.00,4652.00,2716.00,1036.00,6300.00,780.00,-1676.00,-656.00,7852.00,-1596.00,-6120.00,1188.00,21964.00,9116.00,80.00,12768.00,29380.00
1986:Q4,72672.00,-304.00,6884.00,3536.00,1424.00,34484.00,1240.00,-30852.00,-13248.00,77344.00,-1660.00,1476.00,1084.00,25748.00,11348.00,216.00,14184.00,72672.00
