1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q2,99577.00,61964.00,56875.00,5089.00,11313.00,3401.00,12411.00,12475.00,13386.00,11292.00,1404.00,690.00,5622.00,5110.00,512.00,7764.00,2797.00,2236.00,109.00,452.00,4967.00,3946.00,783.00,238.00,-911.00,-64.00,9.00,-73.00,1709.00,8444.00,263.00,406.00,302.00,104.00,0.00,193.00,99577.00,9588.00,3787.00,-1024.00,710.00,111818.00
1956:Q3,100723.00,62696.00,57488.00,5208.00,11603.00,3421.00,12327.00,12437.00,12735.00,10558.00,1451.00,726.00,5286.00,4756.00,530.00,7449.00,2795.00,2217.00,112.00,466.00,4654.00,3585.00,809.00,260.00,-298.00,-110.00,-35.00,-74.00,1786.00,8638.00,359.00,419.00,314.00,105.00,0.00,193.00,100723.00,9832.00,3874.00,-504.00,734.00,113029.00
1956:Q4,102830.00,64182.00,58842.00,5340.00,11688.00,3448.00,12554.00,12678.00,13434.00,11234.00,1475.00,725.00,5575.00,5032.00,543.00,7859.00,2897.00,2334.00,127.00,436.00,4962.00,3868.00,805.00,289.00,-756.00,-124.00,-50.00,-74.00,1780.00,9123.00,567.00,433.00,329.00,104.00,0.00,191.00,102830.00,10061.00,3948.00,766.00,640.00,116442.00
1957:Q1,104222.00,65157.00,59567.00,5590.00,11732.00,3468.00,12915.00,13024.00,13630.00,11386.00,1491.00,753.00,5706.00,5109.00,597.00,7924.00,2902.00,2322.00,139.00,441.00,5022.00,3955.00,755.00,312.00,-606.00,-109.00,-36.00,-73.00,1957.00,8710.00,355.00,450.00,344.00,106.00,0.00,189.00,104222.00,10274.00,4053.00,-1243.00,771.00,116576.00
1957:Q2,104814.00,65615.00,59904.00,5711.00,11928.00,3493.00,12572.00,12683.00,13060.00,10772.00,1466.00,822.00,5468.00,4874.00,594.00,7592.00,2948.00,2287.00,151.00,510.00,4644.00,3611.00,721.00,312.00,-377.00,-111.00,-38.00,-73.00,2012.00,9201.00,653.00,457.00,351.00,106.00,0.00,189.00,104814.00,10476.00,4128.00,-1107.00,842.00,118095.00
1957:Q3,105650.00,66282.00,60457.00,5825.00,12201.00,3520.00,12335.00,12465.00,12785.00,10465.00,1517.00,803.00,5357.00,4737.00,620.00,7428.00,2974.00,2308.00,165.00,501.00,4454.00,3420.00,732.00,302.00,-320.00,-130.00,-55.00,-75.00,2071.00,9278.00,695.00,460.00,353.00,107.00,0.00,198.00,105650.00,10665.00,4207.00,775.00,808.00,120342.00
1957:Q4,104699.00,65926.00,60023.00,5903.00,11925.00,3573.00,11318.00,11484.00,11720.00,9478.00,1528.00,714.00,4892.00,4261.00,631.00,6828.00,2918.00,2309.00,175.00,434.00,3910.00,2908.00,722.00,280.00,-236.00,-166.00,-89.00,-77.00,2070.00,9428.00,193.00,457.00,347.00,110.00,0.00,195.00,104699.00,10843.00,4267.00,1184.00,634.00,119839.00
1958:Q1,102520.00,65054.00,59181.00,5873.00,12567.00,3643.00,9867.00,10086.00,10141.00,7914.00,1583.00,645.00,4230.00,3508.00,722.00,5911.00,2888.00,2308.00,175.00,405.00,3023.00,2098.00,686.00,240.00,-55.00,-220.00,-139.00,-81.00,2274.00,8932.00,454.00,448.00,327.00,121.00,0.00,191.00,102520.00,11009.00,4257.00,-1200.00,658.00,115843.00
1958:Q2,103418.00,64969.00,59069.00,5900.00,12582.00,3688.00,10152.00,10397.00,10319.00,8087.00,1595.00,637.00,4312.00,3587.00,725.00,6007.00,2919.00,2306.00,177.00,436.00,3088.00,2194.00,693.00,201.00,78.00,-245.00,-161.00,-84.00,2410.00,9451.00,457.00,436.00,315.00,121.00,0.00,188.00,103418.00,11163.00,4328.00,-783.00,674.00,118075.00
1958:Q3,106078.00,66919.00,60959.00,5960.00,12531.00,3723.00,11190.00,11432.00,11493.00,9277.00,1590.00,626.00,4847.00,4138.00,709.00,6646.00,2914.00,2283.00,182.00,449.00,3732.00,2856.00,699.00,177.00,-61.00,-242.00,-157.00,-85.00,2468.00,9429.00,787.00,418.00,303.00,115.00,0.00,189.00,106078.00,11305.00,4424.00,784.00,651.00,121984.00
1958:Q4,109619.00,68178.00,62108.00,6070.00,12479.00,3744.00,12648.00,12860.00,13077.00,10778.00,1683.00,615.00,5575.00,4831.00,744.00,7502.00,2845.00,2218.00,183.00,444.00,4657.00,3729.00,756.00,171.00,-217.00,-211.00,-126.00,-85.00,2490.00,9908.00,424.00,402.00,295.00,107.00,0.00,194.00,109619.00,11435.00,4505.00,1811.00,646.00,126141.00
1959:Q1,111691.00,70056.00,63503.00,6553.00,12521.00,3743.00,13566.00,13719.00,13876.00,11502.00,1748.00,625.00,5875.00,5200.00,675.00,8001.00,3021.00,2370.00,205.00,446.00,4980.00,3932.00,868.00,179.00,-157.00,-152.00,-68.00,-85.00,2222.00,9272.00,192.00,401.00,318.00,83.00,0.00,102.00,111691.00,11553.00,4565.00,-806.00,646.00,126122.00
1959:Q2,116518.00,71734.00,65139.00,6595.00,12585.00,3858.00,14767.00,14851.00,15100.00,12640.00,1825.00,635.00,6431.00,5719.00,712.00,8669.00,3116.00,2464.00,222.00,430.00,5553.00,4457.00,891.00,205.00,-249.00,-84.00,-2.00,-82.00,2463.00,10708.00,155.00,415.00,330.00,85.00,0.00,143.00,116518.00,11661.00,4621.00,-1404.00,650.00,131659.00
1959:Q3,113838.00,71851.00,65225.00,6626.00,12589.00,3946.00,13548.00,13554.00,13637.00,10958.00,1981.00,698.00,5779.00,4976.00,803.00,7858.00,3191.00,2486.00,231.00,474.00,4667.00,3496.00,947.00,224.00,-83.00,-7.00,71.00,-78.00,2473.00,9208.00,275.00,418.00,335.00,83.00,0.00,81.00,113838.00,11759.00,4684.00,2685.00,708.00,132167.00
1959:Q4,117583.00,72668.00,65976.00,6692.00,12652.00,4011.00,13634.00,13554.00,13342.00,10529.00,2053.00,760.00,5642.00,4787.00,855.00,7700.00,3242.00,2496.00,234.00,512.00,4458.00,3246.00,964.00,248.00,212.00,80.00,151.00,-71.00,2549.00,11864.00,436.00,424.00,339.00,85.00,0.00,218.00,117583.00,11846.00,4750.00,-327.00,758.00,132507.00
1960:Q1,119067.00,74819.00,67687.00,7132.00,12437.00,4057.00,14653.00,14478.00,14695.00,11816.00,2113.00,765.00,6276.00,5358.00,918.00,8419.00,3293.00,2581.00,240.00,472.00,5126.00,3877.00,955.00,293.00,-217.00,175.00,239.00,-64.00,2568.00,10201.00,179.00,433.00,333.00,100.00,0.00,80.00,119067.00,11924.00,4819.00,-496.00,732.00,134572.00
1960:Q2,120752.00,75570.00,68350.00,7220.00,12679.00,4095.00,13699.00,13456.00,13607.00,10691.00,2124.00,792.00,5766.00,4842.00,924.00,7841.00,3312.00,2585.00,238.00,489.00,4529.00,3264.00,962.00,303.00,-151.00,243.00,301.00,-58.00,2563.00,11743.00,204.00,432.00,327.00,105.00,0.00,177.00,120752.00,12006.00,4884.00,-2082.00,751.00,135989.00
1960:Q3,118877.00,75789.00,68491.00,7298.00,12718.00,4136.00,13452.00,13168.00,13039.00,10178.00,2091.00,769.00,5506.00,4603.00,903.00,7533.00,3384.00,2674.00,243.00,467.00,4149.00,2901.00,945.00,302.00,129.00,284.00,337.00,-53.00,2715.00,9820.00,240.00,435.00,325.00,110.00,0.00,53.00,118877.00,12093.00,4957.00,2328.00,791.00,137239.00
1960:Q4,121164.00,75673.00,68327.00,7346.00,12755.00,4176.00,12877.00,12579.00,12513.00,9598.00,2103.00,811.00,5234.00,4339.00,895.00,7279.00,3377.00,2615.00,234.00,528.00,3902.00,2644.00,974.00,283.00,66.00,298.00,349.00,-51.00,2827.00,12783.00,523.00,443.00,327.00,116.00,0.00,154.00,121164.00,12185.00,5026.00,-1111.00,839.00,135479.00
1961:Q1,119648.00,75935.00,68447.00,7488.00,13082.00,4230.00,12561.00,12276.00,12295.00,9310.00,2138.00,847.00,5164.00,4274.00,890.00,7131.00,3391.00,2564.00,234.00,593.00,3740.00,2472.00,1014.00,254.00,-19.00,285.00,335.00,-50.00,2943.00,10550.00,177.00,463.00,330.00,133.00,0.00,63.00,119648.00,12281.00,5095.00,-930.00,894.00,135268.00
1961:Q2,123439.00,76990.00,69408.00,7582.00,13162.00,4271.00,13620.00,13278.00,13024.00,10165.00,2065.00,794.00,5523.00,4665.00,858.00,7501.00,3410.00,2616.00,239.00,555.00,4091.00,2884.00,968.00,239.00,254.00,343.00,391.00,-48.00,3083.00,12296.00,521.00,468.00,335.00,133.00,0.00,71.00,123439.00,12386.00,5164.00,-1346.00,850.00,140029.00
1961:Q3,123880.00,78251.00,70563.00,7688.00,13332.00,4322.00,14311.00,13839.00,13758.00,10866.00,2057.00,836.00,5848.00,4991.00,857.00,7910.00,3483.00,2634.00,231.00,618.00,4427.00,3241.00,969.00,218.00,81.00,472.00,516.00,-45.00,3180.00,10372.00,395.00,479.00,342.00,137.00,0.00,29.00,123880.00,12498.00,5239.00,1739.00,876.00,142189.00
1961:Q4,130227.00,79913.00,72101.00,7812.00,13624.00,4378.00,15454.00,14783.00,14828.00,11919.00,2070.00,839.00,6355.00,5489.00,866.00,8473.00,3617.00,2762.00,226.00,629.00,4856.00,3668.00,978.00,210.00,-45.00,671.00,712.00,-40.00,3365.00,13751.00,921.00,492.00,354.00,138.00,0.00,172.00,130227.00,12618.00,5327.00,-436.00,899.00,145822.00
1962:Q1,130243.00,81549.00,73319.00,8230.00,13831.00,4435.00,15638.00,14696.00,14585.00,11641.00,2102.00,843.00,5976.00,5122.00,854.00,8609.00,3641.00,2848.00,204.00,589.00,4968.00,3671.00,1044.00,254.00,111.00,942.00,977.00,-35.00,3324.00,11378.00,509.00,509.00,370.00,139.00,0.00,88.00,130243.00,12747.00,5432.00,-501.00,900.00,147363.00
1962:Q2,133942.00,83035.00,74687.00,8348.00,13742.00,4488.00,15630.00,14476.00,14507.00,11432.00,2169.00,906.00,5915.00,5032.00,883.00,8592.00,3748.00,2920.00,185.00,643.00,4844.00,3480.00,1101.00,263.00,-31.00,1155.00,1187.00,-32.00,3563.00,13140.00,259.00,523.00,383.00,140.00,0.00,81.00,133942.00,12879.00,5501.00,-1440.00,998.00,151390.00
1962:Q3,132849.00,83736.00,75294.00,8442.00,13722.00,4538.00,16061.00,14751.00,14939.00,11823.00,2187.00,929.00,6091.00,5199.00,892.00,8848.00,3795.00,2970.00,186.00,639.00,5053.00,3654.00,1109.00,290.00,-188.00,1310.00,1342.00,-32.00,3681.00,11124.00,608.00,537.00,393.00,144.00,0.00,59.00,132849.00,13014.00,5626.00,2721.00,1013.00,152689.00
1962:Q4,138156.00,84592.00,76059.00,8533.00,13940.00,4586.00,16715.00,15308.00,15174.00,11941.00,2138.00,1094.00,6113.00,5238.00,875.00,9061.00,3843.00,2852.00,191.00,800.00,5218.00,3851.00,1072.00,294.00,134.00,1407.00,1442.00,-35.00,3781.00,14740.00,897.00,549.00,403.00,146.00,0.00,151.00,138156.00,13153.00,5750.00,-860.00,1183.00,153673.00
1963:Q1,137372.00,85850.00,76991.00,8860.00,13993.00,4636.00,16799.00,15353.00,15107.00,11969.00,2102.00,1036.00,6139.00,5231.00,908.00,8968.00,3940.00,3014.00,238.00,688.00,5028.00,3724.00,956.00,348.00,246.00,1446.00,1488.00,-42.00,3696.00,12015.00,412.00,610.00,449.00,161.00,0.00,185.00,137372.00,13296.00,5832.00,-1927.00,1127.00,153985.00
1963:Q2,141427.00,87079.00,78089.00,8990.00,13950.00,4672.00,17557.00,16070.00,16016.00,12961.00,2066.00,989.00,6566.00,5668.00,898.00,9450.00,4023.00,3106.00,282.00,635.00,5427.00,4187.00,886.00,354.00,54.00,1487.00,1531.00,-44.00,3746.00,13873.00,257.00,630.00,459.00,171.00,0.00,177.00,141427.00,13450.00,5927.00,-2902.00,1084.00,158497.00
