1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,15160.00,1372.00,0.00,0.00,9429.00,0.00,5957.00,0.00,2402.00,1070.00,134.00,3133.00,0.00,996.00,96.00,0.00,10159.00,0.00,0.00,248.00,354.00,9557.00,0.00,9557.00
1953:Q4,15694.00,1375.00,0.00,0.00,9734.00,0.00,6025.00,0.00,2617.00,1092.00,139.00,3344.00,0.00,1006.00,96.00,0.00,10462.00,0.00,0.00,355.00,366.00,9741.00,0.00,9741.00
1954:Q1,16191.00,1371.00,0.00,0.00,9925.00,0.00,5986.00,0.00,2829.00,1110.00,143.00,3637.00,0.00,1017.00,98.00,0.00,10591.00,0.00,0.00,323.00,367.00,9901.00,0.00,9901.00
1954:Q2,16681.00,1360.00,0.00,0.00,10149.00,0.00,5993.00,0.00,3032.00,1124.00,145.00,3897.00,0.00,1030.00,100.00,0.00,10639.00,0.00,0.00,239.00,368.00,10032.00,0.00,10032.00
1954:Q3,17267.00,1344.00,0.00,0.00,10415.00,0.00,6057.00,0.00,3222.00,1136.00,145.00,4216.00,0.00,1045.00,102.00,0.00,10795.00,0.00,0.00,266.00,369.00,10160.00,0.00,10160.00
1954:Q4,17867.00,1323.00,0.00,0.00,10685.00,0.00,6137.00,0.00,3402.00,1146.00,143.00,4539.00,0.00,1064.00,113.00,0.00,10967.00,0.00,0.00,246.00,411.00,10310.00,0.00,10310.00
1955:Q1,18032.00,1316.00,0.00,0.00,10764.00,0.00,6022.00,0.00,3587.00,1155.00,144.00,4609.00,0.00,1084.00,115.00,0.00,11111.00,0.00,0.00,220.00,412.00,10479.00,0.00,10479.00
1955:Q2,18627.00,1319.00,0.00,0.00,10909.00,0.00,5964.00,0.00,3781.00,1164.00,146.00,5030.00,0.00,1106.00,117.00,0.00,11234.00,0.00,0.00,159.00,414.00,10661.00,0.00,10661.00
1955:Q3,19206.00,1331.00,0.00,0.00,11202.00,0.00,6045.00,0.00,3984.00,1173.00,149.00,5275.00,0.00,1130.00,119.00,0.00,11447.00,0.00,0.00,182.00,416.00,10849.00,0.00,10849.00
1955:Q4,19564.00,1348.00,0.00,0.00,11377.00,0.00,6000.00,0.00,4194.00,1183.00,152.00,5408.00,0.00,1156.00,123.00,0.00,11649.00,0.00,0.00,165.00,450.00,11034.00,0.00,11034.00
1956:Q1,20006.00,1354.00,0.00,0.00,11419.00,0.00,5834.00,0.00,4395.00,1190.00,156.00,5767.00,0.00,1185.00,125.00,0.00,11834.00,0.00,0.00,167.00,452.00,11215.00,0.00,11215.00
1956:Q2,19887.00,1345.00,0.00,0.00,11461.00,0.00,5683.00,0.00,4583.00,1195.00,159.00,5577.00,0.00,1217.00,128.00,0.00,11951.00,0.00,0.00,108.00,453.00,11390.00,0.00,11390.00
1956:Q3,19946.00,1320.00,0.00,0.00,11612.00,0.00,5655.00,0.00,4756.00,1201.00,161.00,5470.00,0.00,1252.00,131.00,0.00,12088.00,0.00,0.00,60.00,454.00,11574.00,0.00,11574.00
1956:Q4,20246.00,1280.00,0.00,0.00,11782.00,0.00,5657.00,0.00,4915.00,1210.00,161.00,5599.00,0.00,1291.00,133.00,0.00,12261.00,0.00,0.00,18.00,460.00,11783.00,0.00,11783.00
1957:Q1,20086.00,1253.00,0.00,0.00,11835.00,0.00,5530.00,0.00,5072.00,1233.00,161.00,5372.00,0.00,1330.00,135.00,0.00,12505.00,0.00,0.00,25.00,461.00,12019.00,0.00,12019.00
1957:Q2,20717.00,1242.00,0.00,0.00,11927.00,0.00,5423.00,0.00,5232.00,1272.00,161.00,5879.00,0.00,1370.00,138.00,0.00,12805.00,0.00,0.00,58.00,462.00,12285.00,0.00,12285.00
1957:Q3,20577.00,1249.00,0.00,0.00,12160.00,0.00,5437.00,0.00,5397.00,1326.00,161.00,5456.00,0.00,1410.00,141.00,0.00,13099.00,0.00,0.00,82.00,463.00,12554.00,0.00,12554.00
1957:Q4,20625.00,1272.00,0.00,0.00,12438.00,0.00,5480.00,0.00,5568.00,1390.00,161.00,5159.00,0.00,1451.00,144.00,0.00,13350.00,0.00,0.00,101.00,449.00,12800.00,0.00,12800.00
1958:Q1,20870.00,1298.00,0.00,0.00,12432.00,0.00,5248.00,0.00,5737.00,1447.00,161.00,5342.00,0.00,1490.00,147.00,0.00,13487.00,0.00,0.00,15.00,450.00,13022.00,0.00,13022.00
1958:Q2,21416.00,1321.00,0.00,0.00,12555.00,0.00,5160.00,0.00,5904.00,1491.00,161.00,5703.00,0.00,1527.00,149.00,0.00,13743.00,0.00,0.00,73.00,450.00,13220.00,0.00,13220.00
1958:Q3,22255.00,1337.00,0.00,0.00,12858.00,0.00,5265.00,0.00,6073.00,1520.00,161.00,6184.00,0.00,1563.00,152.00,0.00,13977.00,0.00,0.00,105.00,450.00,13422.00,0.00,13422.00
