1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q1,2530.00,0.00,0.00,11.00,753.00,52.00,473.00,0.00,90.00,138.00,1446.00,1140.00,306.00,0.00,9.00,311.00,2620.00,1633.00,1763.00,-130.00,585.00,23.00,205.00,10.00,309.00,255.00,-400.00,0.00,-400.00
1958:Q2,2684.00,0.00,0.00,11.00,788.00,59.00,501.00,0.00,90.00,138.00,1483.00,1213.00,270.00,0.00,9.00,393.00,2777.00,1767.00,1903.00,-136.00,552.00,23.00,203.00,11.00,273.00,256.00,-308.00,0.00,-308.00
1958:Q3,2722.00,0.00,0.00,11.00,750.00,43.00,482.00,0.00,89.00,136.00,1486.00,1230.00,256.00,0.00,10.00,465.00,2818.00,1800.00,1936.00,-136.00,589.00,22.00,202.00,11.00,259.00,257.00,-322.00,0.00,-322.00
1958:Q4,2722.00,0.00,0.00,11.00,797.00,72.00,510.00,0.00,85.00,130.00,1456.00,1217.00,239.00,0.00,10.00,448.00,2820.00,1804.00,1939.00,-135.00,618.00,22.00,199.00,12.00,241.00,282.00,-358.00,0.00,-358.00
1959:Q1,2858.00,0.00,0.00,11.00,793.00,67.00,513.00,0.00,84.00,129.00,1453.00,1242.00,211.00,0.00,10.00,591.00,2958.00,1758.00,1896.00,-138.00,819.00,23.00,203.00,11.00,213.00,283.00,-352.00,0.00,-352.00
1959:Q2,3076.00,0.00,0.00,12.00,798.00,67.00,518.00,0.00,84.00,129.00,1464.00,1267.00,197.00,0.00,11.00,791.00,3178.00,1698.00,1839.00,-141.00,1099.00,23.00,210.00,11.00,199.00,286.00,-348.00,0.00,-348.00
1959:Q3,3262.00,0.00,0.00,12.00,790.00,54.00,523.00,0.00,84.00,129.00,1496.00,1305.00,191.00,0.00,11.00,953.00,3366.00,1652.00,1797.00,-145.00,1372.00,24.00,216.00,11.00,193.00,289.00,-391.00,0.00,-391.00
1959:Q4,2839.00,0.00,0.00,12.00,823.00,82.00,526.00,0.00,85.00,130.00,1553.00,1323.00,230.00,0.00,11.00,440.00,2946.00,1570.00,1721.00,-151.00,1028.00,25.00,222.00,11.00,233.00,294.00,-437.00,0.00,-437.00
1960:Q1,2955.00,0.00,0.00,12.00,789.00,53.00,523.00,0.00,84.00,129.00,1562.00,1289.00,273.00,0.00,12.00,580.00,3064.00,1654.00,1826.00,-172.00,1055.00,26.00,230.00,9.00,276.00,297.00,-483.00,0.00,-483.00
1960:Q2,3147.00,0.00,0.00,12.00,790.00,61.00,519.00,0.00,83.00,127.00,1636.00,1360.00,276.00,0.00,13.00,696.00,3259.00,1724.00,1918.00,-194.00,1085.00,27.00,238.00,7.00,279.00,302.00,-403.00,0.00,-403.00
1960:Q3,3206.00,0.00,0.00,13.00,772.00,55.00,515.00,0.00,80.00,122.00,1778.00,1444.00,334.00,0.00,14.00,629.00,3321.00,1826.00,2041.00,-215.00,1109.00,28.00,248.00,6.00,337.00,307.00,-540.00,0.00,-540.00
1960:Q4,3325.00,0.00,0.00,13.00,803.00,99.00,507.00,0.00,78.00,119.00,1912.00,1507.00,405.00,0.00,15.00,582.00,3444.00,1918.00,2156.00,-238.00,1148.00,29.00,258.00,4.00,409.00,308.00,-630.00,0.00,-630.00
1961:Q1,3559.00,0.00,0.00,14.00,944.00,182.00,555.00,0.00,82.00,125.00,2394.00,1948.00,446.00,0.00,15.00,192.00,3683.00,2123.00,2350.00,-227.00,1168.00,30.00,268.00,7.00,451.00,313.00,-677.00,0.00,-677.00
1961:Q2,3820.00,0.00,0.00,16.00,985.00,167.00,603.00,0.00,85.00,130.00,2545.00,2091.00,454.00,0.00,16.00,258.00,3949.00,2324.00,2539.00,-215.00,1247.00,31.00,279.00,10.00,459.00,316.00,-717.00,0.00,-717.00
1961:Q3,3767.00,0.00,0.00,15.00,1078.00,160.00,680.00,0.00,94.00,144.00,2429.00,1945.00,484.00,0.00,16.00,229.00,3897.00,2332.00,2556.00,-224.00,1192.00,32.00,291.00,9.00,489.00,319.00,-767.00,0.00,-767.00
1961:Q4,3500.00,0.00,0.00,15.00,892.00,151.00,536.00,0.00,81.00,124.00,2400.00,1863.00,537.00,0.00,16.00,177.00,3632.00,2062.00,2308.00,-246.00,1229.00,33.00,297.00,7.00,542.00,344.00,-882.00,0.00,-882.00
