date,FL893065105.Q,FL153165105.Q,FL103165105.Q,FL113165105.Q,FL893065105.Q,FL153065103.Q,FL103065105.Q,FL113065103.Q,FL313065105.Q,FL213065103.Q,FL763065105.Q,FL753065103.Q,FL743065103.Q,FL473065100.Q,FL543065105.Q,FL573065103.Q,FL223065143.Q,FL403065105.Q,FL413065105.Q,FL673065105.Q,FL613065105.Q,FL643065105.Q,FL893065125.Q,FL763065125.Q,FL753065203.Q,FL473065125.Q,FL673065123.Q,FL613065123.Q
1972:Q3,347347.00,334408.00,2588.00,10351.00,347347.00,20361.00,0.00,800.00,5443.00,2057.00,253338.00,0.00,700.00,972.00,22936.00,1146.00,2949.00,18975.00,9587.00,0.00,7001.00,1082.00,ND,ND,ND,ND,ND,1032.00
1972:Q4,357381.00,343552.00,2766.00,11063.00,357381.00,19796.00,0.00,900.00,4981.00,2092.00,262798.00,0.00,698.00,1000.00,22315.00,1076.00,2999.00,19464.00,10701.00,0.00,7351.00,1210.00,ND,ND,ND,ND,ND,1115.00
1973:Q1,365955.00,351550.00,2881.00,11524.00,365955.00,19698.00,0.00,963.00,4781.00,2124.00,270911.00,0.00,656.00,1155.00,21857.00,916.00,3090.00,19939.00,11356.00,0.00,7203.00,1306.00,ND,ND,ND,ND,ND,1199.00
1973:Q2,378024.00,361814.00,3242.00,12968.00,378024.00,19560.00,0.00,1008.00,3868.00,2177.00,282257.00,0.00,615.00,1264.00,21276.00,882.00,3098.00,20534.00,12500.00,0.00,7673.00,1312.00,ND,ND,ND,ND,ND,1282.00
1973:Q3,389894.00,372134.00,3552.00,14208.00,389894.00,19647.00,0.00,1008.00,4557.00,2306.00,291991.00,0.00,663.00,1369.00,20742.00,864.00,3080.00,21840.00,12922.00,0.00,7246.00,1659.00,ND,ND,ND,ND,ND,1367.00
1973:Q4,399840.00,382218.00,3524.00,14098.00,399840.00,19616.00,0.00,975.00,4211.00,2642.00,298572.00,0.00,712.00,1441.00,20426.00,846.00,3166.00,22839.00,13636.00,0.00,8878.00,1880.00,ND,ND,ND,ND,ND,1450.00
1974:Q1,407909.00,389858.00,3610.00,14441.00,407909.00,20224.00,0.00,974.00,4005.00,2791.00,303864.00,0.00,695.00,1476.00,20104.00,840.00,3205.00,23056.00,15269.00,0.00,9384.00,2022.00,ND,ND,ND,ND,ND,1534.00
1974:Q2,418838.00,400439.00,3680.00,14719.00,418838.00,20740.00,0.00,970.00,4494.00,2915.00,311953.00,0.00,677.00,1471.00,19583.00,829.00,3165.00,24865.00,15799.00,0.00,9364.00,2013.00,ND,ND,ND,ND,ND,1617.00
1974:Q3,428859.00,411381.00,3496.00,13982.00,428859.00,22372.00,0.00,959.00,4551.00,3012.00,317985.00,0.00,765.00,1470.00,19232.00,825.00,3173.00,26980.00,17152.00,0.00,8626.00,1757.00,ND,ND,ND,ND,ND,1701.00
1974:Q4,435176.00,419339.00,3167.00,12670.00,435176.00,22649.00,0.00,942.00,5617.00,3385.00,321010.00,0.00,766.00,1513.00,19026.00,819.00,3237.00,28441.00,18038.00,0.00,8025.00,1708.00,ND,ND,ND,ND,ND,1785.00
1975:Q1,439951.00,424313.00,3128.00,12510.00,439951.00,17131.00,5707.00,903.00,5513.00,3704.00,323432.00,0.00,730.00,1605.00,18750.00,751.00,3154.00,28444.00,20820.00,0.00,7845.00,1462.00,ND,ND,ND,ND,ND,1869.00
1975:Q2,450826.00,434575.00,3250.00,13001.00,450826.00,18075.00,5708.00,880.00,6701.00,3845.00,330263.00,0.00,745.00,1744.00,18365.00,723.00,3129.00,29027.00,22351.00,0.00,8051.00,1219.00,ND,ND,ND,ND,ND,1946.00
1975:Q3,462776.00,446324.00,3290.00,13162.00,462776.00,18864.00,5705.00,895.00,8114.00,3961.00,337781.00,0.00,753.00,1887.00,17955.00,700.00,3114.00,30197.00,23486.00,0.00,8426.00,938.00,ND,ND,ND,ND,ND,2325.00
1975:Q4,474003.00,459087.00,2983.00,11933.00,474003.00,19005.00,5731.00,945.00,9667.00,4154.00,345117.00,0.00,760.00,1993.00,17590.00,679.00,2867.00,30934.00,25339.00,0.00,8482.00,740.00,ND,ND,ND,ND,ND,2693.00
1976:Q1,486205.00,469994.00,3242.00,12969.00,486205.00,20162.00,5176.00,996.00,10098.00,4212.00,353744.00,0.00,810.00,2119.00,17160.00,679.00,2847.00,31064.00,27700.00,0.00,8737.00,701.00,ND,ND,ND,ND,ND,2789.00
1976:Q2,501045.00,483990.00,3411.00,13644.00,501045.00,20805.00,4991.00,1064.00,8869.00,4513.00,366279.00,0.00,859.00,2251.00,16855.00,664.00,2836.00,30856.00,30627.00,0.00,8920.00,656.00,ND,ND,ND,ND,ND,2853.00
1976:Q3,518784.00,501121.00,3533.00,14130.00,518784.00,21341.00,4863.00,1170.00,9012.00,4695.00,380150.00,0.00,875.00,2381.00,16448.00,649.00,2805.00,31540.00,33513.00,0.00,8735.00,607.00,ND,ND,ND,ND,ND,2913.00
1976:Q4,535022.00,517073.00,3590.00,14359.00,535022.00,21320.00,4785.00,1310.00,8927.00,4970.00,392391.00,0.00,889.00,2500.00,16088.00,623.00,2844.00,31430.00,37257.00,0.00,9135.00,553.00,ND,ND,ND,ND,ND,2913.00
1977:Q1,550282.00,531310.00,3794.00,15178.00,550282.00,21776.00,5167.00,1362.00,8868.00,4972.00,403738.00,0.00,925.00,2590.00,15709.00,596.00,2789.00,30656.00,41753.00,0.00,8857.00,524.00,ND,ND,ND,ND,ND,3240.00
1977:Q2,575838.00,554091.00,4349.00,17398.00,575838.00,22274.00,5491.00,1434.00,9592.00,4746.00,424209.00,0.00,961.00,2656.00,15434.00,600.00,2841.00,31467.00,44402.00,0.00,9237.00,494.00,ND,ND,ND,ND,ND,3561.00
1977:Q3,603197.00,579911.00,4657.00,18629.00,603197.00,22563.00,5758.00,1554.00,10439.00,4908.00,444583.00,0.00,910.00,2721.00,15038.00,574.00,2834.00,31652.00,48830.00,0.00,10370.00,463.00,ND,ND,ND,ND,ND,3825.00
1977:Q4,627724.00,602997.00,4945.00,19782.00,627724.00,22293.00,6040.00,1716.00,11386.00,5173.00,463088.00,0.00,877.00,2800.00,14740.00,611.00,2913.00,31918.00,52988.00,0.00,10750.00,431.00,ND,ND,ND,ND,ND,4175.00
1978:Q1,646079.00,621021.00,5012.00,20046.00,646079.00,23113.00,6233.00,1899.00,10818.00,5607.00,476129.00,0.00,930.00,2915.00,14417.00,676.00,2926.00,33566.00,55350.00,0.00,11082.00,418.00,ND,ND,ND,ND,ND,4651.00
1978:Q2,674540.00,648036.00,5301.00,21203.00,674540.00,24846.00,6341.00,2094.00,11665.00,5978.00,495528.00,0.00,996.00,3052.00,14217.00,717.00,2928.00,35564.00,57993.00,0.00,12215.00,406.00,ND,ND,ND,ND,ND,5252.00
1978:Q3,707359.00,678951.00,5682.00,22726.00,707359.00,26887.00,6388.00,2321.00,12656.00,6622.00,517024.00,0.00,1010.00,2702.00,14158.00,791.00,2984.00,38282.00,61032.00,0.00,14113.00,389.00,ND,ND,ND,ND,ND,5914.00
1978:Q4,738254.00,708641.00,5923.00,23690.00,738254.00,27834.00,6462.00,2575.00,13273.00,7159.00,536775.00,0.00,1025.00,2512.00,14436.00,853.00,2802.00,40942.00,65354.00,0.00,15871.00,381.00,ND,ND,ND,ND,ND,6645.00
1979:Q1,762873.00,733605.00,5854.00,23414.00,762873.00,29402.00,6798.00,2800.00,14012.00,7991.00,548890.00,0.00,1040.00,2641.00,14495.00,916.00,2826.00,44367.00,70268.00,0.00,16064.00,363.00,ND,ND,ND,ND,ND,7168.00
1979:Q2,794869.00,763421.00,6290.00,25158.00,794869.00,31662.00,7091.00,3006.00,14679.00,8938.00,567805.00,0.00,1055.00,2632.00,14469.00,902.00,2868.00,46341.00,74795.00,0.00,18281.00,345.00,ND,ND,ND,ND,ND,7641.00
1979:Q3,828850.00,795927.00,6585.00,26338.00,828850.00,33892.00,7414.00,3166.00,15240.00,10194.00,585923.00,0.00,1070.00,2499.00,14850.00,1021.00,2967.00,47778.00,81301.00,0.00,21207.00,328.00,ND,ND,ND,ND,ND,8374.00
1979:Q4,855779.00,826724.00,5811.00,23244.00,855779.00,34075.00,7684.00,3290.00,15592.00,11835.00,598749.00,0.00,1085.00,3102.00,16144.00,1179.00,3091.00,50128.00,88429.00,0.00,21086.00,310.00,ND,ND,ND,ND,ND,9133.00
1980:Q1,886093.00,856228.00,5773.00,24092.00,886093.00,42475.00,9245.00,3173.00,16546.00,13516.00,606147.00,0.00,1105.00,4477.00,17143.00,1218.00,3228.00,53327.00,93521.00,0.00,20666.00,306.00,ND,ND,ND,ND,ND,9799.00
1980:Q2,902289.00,873960.00,5466.00,22863.00,902289.00,43599.00,11105.00,3141.00,17174.00,15466.00,610367.00,0.00,1125.00,4732.00,17804.00,1287.00,3355.00,54775.00,97347.00,0.00,20711.00,301.00,ND,ND,ND,ND,ND,10451.00
1980:Q3,931530.00,901374.00,5631.00,24525.00,931530.00,47810.00,13077.00,3319.00,17623.00,17719.00,622428.00,0.00,1145.00,4432.00,17990.00,1347.00,3448.00,55536.00,102880.00,0.00,22480.00,296.00,ND,ND,ND,ND,ND,10690.00
1980:Q4,957912.00,926526.00,5877.00,25509.00,957912.00,48602.00,15080.00,3666.00,18301.00,19744.00,636320.00,0.00,1165.00,4645.00,17943.00,1413.00,3529.00,57758.00,107126.00,0.00,22329.00,291.00,ND,ND,ND,ND,ND,11318.00
1981:Q1,973129.00,940590.00,5908.00,26631.00,973129.00,50936.00,14928.00,4208.00,18979.00,21753.00,641996.00,0.00,1185.00,4505.00,17799.00,1482.00,3632.00,58050.00,110264.00,0.00,23120.00,292.00,ND,ND,ND,ND,ND,12243.00
1981:Q2,996937.00,964154.00,5957.00,26826.00,996937.00,57594.00,13400.00,4815.00,19539.00,23446.00,652727.00,0.00,1205.00,4136.00,17549.00,1497.00,3687.00,58624.00,113866.00,0.00,24560.00,292.00,ND,ND,ND,ND,ND,13101.00
1981:Q3,1014571.00,981849.00,5744.00,26978.00,1014571.00,62384.00,11392.00,5584.00,20219.00,24570.00,659148.00,0.00,1225.00,3828.00,17376.00,1503.00,3748.00,61015.00,117244.00,0.00,25042.00,293.00,ND,ND,ND,ND,ND,13114.00
1981:Q4,1030213.00,998261.00,5590.00,26362.00,1030213.00,65702.00,9148.00,6483.00,20690.00,25566.00,661423.00,0.00,1245.00,3686.00,17201.00,1495.00,3837.00,63990.00,125010.00,0.00,24444.00,293.00,ND,ND,ND,ND,ND,13265.00
1982:Q1,1041585.00,1007909.00,5535.00,28141.00,1041585.00,72223.00,5075.00,7108.00,21014.00,26163.00,658234.00,0.00,1213.00,3125.00,17094.00,2415.00,3866.00,65298.00,133734.00,0.00,24733.00,290.00,ND,ND,ND,ND,ND,13504.00
1982:Q2,1055044.00,1019260.00,5557.00,30227.00,1055044.00,74598.00,6336.00,7682.00,21411.00,26727.00,654040.00,0.00,1150.00,3082.00,16467.00,2694.00,3918.00,67837.00,142967.00,0.00,25848.00,287.00,ND,ND,ND,ND,ND,14135.00
1982:Q3,1055314.00,1017736.00,5716.00,31862.00,1055314.00,70572.00,5559.00,8132.00,21872.00,27577.00,639412.00,0.00,1080.00,3099.00,16874.00,3085.00,3916.00,71692.00,156168.00,0.00,25992.00,284.00,ND,ND,ND,ND,ND,14257.00
1982:Q4,1070187.00,1031175.00,5802.00,33210.00,1070187.00,77087.00,3760.00,8480.00,22143.00,28557.00,625935.00,0.00,1025.00,2686.00,16751.00,3282.00,3906.00,74316.00,174349.00,0.00,27630.00,280.00,ND,ND,ND,ND,ND,14203.00
1983:Q1,1087139.00,1026258.00,5976.00,54905.00,1087139.00,74195.00,4086.00,8741.00,21976.00,29721.00,624162.00,0.00,1010.00,2765.00,16422.00,2746.00,3950.00,76228.00,191975.00,0.00,28895.00,267.00,ND,ND,ND,ND,ND,14303.00
1983:Q2,1116296.00,1053751.00,6109.00,56436.00,1116296.00,74561.00,3847.00,9053.00,22388.00,30940.00,630939.00,0.00,1020.00,3535.00,15860.00,2989.00,3904.00,78617.00,208340.00,0.00,30049.00,254.00,ND,ND,ND,ND,ND,14535.00
1983:Q3,1153484.00,1087568.00,6583.00,59333.00,1153484.00,72351.00,5724.00,9492.00,22765.00,32063.00,647460.00,0.00,1035.00,4051.00,15534.00,2863.00,3899.00,79822.00,226385.00,0.00,29799.00,241.00,ND,ND,ND,ND,ND,14736.00
1983:Q4,1186271.00,1116384.00,7177.00,62710.00,1186271.00,71848.00,5885.00,10032.00,22891.00,33712.00,661631.00,0.00,1060.00,4381.00,15319.00,2797.00,3899.00,83685.00,239439.00,0.00,29464.00,228.00,ND,ND,ND,ND,ND,15184.00
1984:Q1,1216062.00,1144101.00,7392.00,64569.00,1216062.00,72613.00,4935.00,10944.00,22954.00,35098.00,672573.00,0.00,1085.00,5538.00,14900.00,3425.00,3891.00,87569.00,250431.00,0.00,29872.00,234.00,ND,ND,ND,ND,ND,14807.00
1984:Q2,1254448.00,1177677.00,8354.00,68417.00,1254448.00,74714.00,3911.00,11817.00,22964.00,36425.00,696113.00,0.00,1125.00,6398.00,14404.00,3305.00,3869.00,89128.00,257762.00,0.00,32273.00,240.00,ND,ND,ND,ND,ND,15337.00
1984:Q3,1289107.00,1211497.00,8322.00,69288.00,1289107.00,78158.00,1856.00,12593.00,22678.00,37547.00,714464.00,0.00,1150.00,7020.00,14159.00,3559.00,3845.00,90598.00,269261.00,0.00,31974.00,245.00,ND,ND,ND,ND,ND,16329.00
1984:Q4,1321526.00,1243294.00,8446.00,69786.00,1321526.00,68107.00,1392.00,13294.00,23513.00,39157.00,724234.00,0.00,1185.00,7534.00,14120.00,3737.00,3842.00,94426.00,282953.00,11000.00,32786.00,246.00,ND,ND,ND,ND,ND,17127.00
1985:Q1,1385660.00,1304981.00,8736.00,71943.00,1385660.00,91582.00,7550.00,13707.00,23717.00,40634.00,730639.00,0.00,1221.00,7788.00,14041.00,4040.00,3835.00,99584.00,297096.00,19153.00,30821.00,252.00,ND,ND,ND,ND,ND,17466.00
1985:Q2,1428061.00,1343287.00,9355.00,75419.00,1428061.00,94379.00,7432.00,14012.00,23767.00,41994.00,742196.00,0.00,1239.00,8821.00,14219.00,3805.00,3801.00,102889.00,313763.00,20969.00,34512.00,263.00,ND,ND,ND,ND,ND,18410.00
1985:Q3,1477181.00,1402164.00,7203.00,67814.00,1477181.00,91452.00,8257.00,14050.00,24155.00,43552.00,759106.00,0.00,1251.00,10041.00,14435.00,3626.00,3766.00,104812.00,335965.00,21561.00,40879.00,273.00,ND,ND,ND,ND,ND,18618.00
1985:Q4,1526876.00,1450249.00,7325.00,69302.00,1526876.00,91590.00,9520.00,13875.00,24403.00,45042.00,773548.00,0.00,1265.00,11086.00,13637.00,4466.00,3741.00,111639.00,360508.00,24016.00,38218.00,322.00,ND,ND,ND,ND,ND,19726.00
1986:Q1,1557666.00,1476952.00,6995.00,73719.00,1557666.00,92904.00,10846.00,13375.00,24241.00,46845.00,771714.00,0.00,1275.00,13622.00,13883.00,4388.00,3647.00,111517.00,385169.00,25472.00,38433.00,335.00,ND,ND,ND,ND,ND,20537.00
1986:Q2,1616328.00,1525857.00,7397.00,83074.00,1616328.00,94221.00,10251.00,14275.00,23753.00,47986.00,782260.00,0.00,1285.00,15128.00,13803.00,4337.00,3506.00,108912.00,419545.00,27637.00,49082.00,347.00,ND,ND,ND,ND,ND,21006.00
1986:Q3,1683521.00,1587994.00,7621.00,87906.00,1683521.00,92555.00,10728.00,14975.00,23508.00,48637.00,793551.00,0.00,1295.00,17255.00,14448.00,4132.00,3344.00,107951.00,465354.00,30032.00,55404.00,352.00,ND,ND,ND,ND,ND,21699.00
1986:Q4,1730129.00,1649024.00,7332.00,73773.00,1730129.00,91921.00,13025.00,14093.00,24058.00,48963.00,801323.00,0.00,1320.00,19325.00,14128.00,3981.00,3173.00,105943.00,519520.00,16617.00,52421.00,318.00,ND,ND,ND,ND,ND,22915.00
1987:Q1,1770490.00,1681564.00,8307.00,80619.00,1770490.00,99248.00,16421.00,13381.00,23883.00,49147.00,790833.00,0.00,1343.00,22046.00,13996.00,2316.00,3253.00,103920.00,561534.00,18500.00,50338.00,331.00,ND,ND,ND,ND,ND,24146.00
1987:Q2,1843953.00,1752706.00,8052.00,83195.00,1843953.00,102131.00,17382.00,12247.00,23733.00,48816.00,818316.00,0.00,1378.00,24928.00,13975.00,1857.00,3160.00,101270.00,600095.00,21444.00,52889.00,332.00,ND,ND,ND,ND,ND,25113.00
1987:Q3,1898660.00,1802929.00,8365.00,87366.00,1898660.00,101700.00,20645.00,11466.00,20588.00,49100.00,840954.00,0.00,1416.00,27623.00,13961.00,1611.00,3354.00,102506.00,631037.00,27262.00,45111.00,326.00,ND,ND,ND,ND,ND,26299.00
1987:Q4,1928457.00,1828608.00,8464.00,91385.00,1928457.00,103282.00,19845.00,11827.00,20750.00,50127.00,843355.00,0.00,1462.00,29872.00,14522.00,1407.00,3456.00,102840.00,652892.00,27800.00,44671.00,349.00,ND,ND,ND,ND,ND,27004.00
1988:Q1,1974919.00,1875598.00,8254.00,91067.00,1974919.00,104081.00,16976.00,9641.00,20818.00,51066.00,882556.00,0.00,1512.00,31520.00,11506.00,1625.00,3562.00,106069.00,660006.00,29241.00,44376.00,364.00,ND,ND,ND,ND,ND,27956.00
1988:Q2,2044958.00,1942104.00,8829.00,94025.00,2044958.00,105205.00,12793.00,21201.00,20836.00,51251.00,908241.00,0.00,1562.00,34063.00,11667.00,1913.00,3587.00,108749.00,676706.00,30749.00,56069.00,366.00,ND,ND,ND,ND,ND,28808.00
1988:Q3,2105915.00,1999589.00,9401.00,96925.00,2105915.00,106632.00,17574.00,17519.00,20751.00,51251.00,943510.00,0.00,1612.00,36377.00,11805.00,2293.00,3414.00,108159.00,701023.00,32782.00,50820.00,393.00,ND,ND,ND,ND,ND,28896.00
1988:Q4,2162789.00,2054832.00,9606.00,98351.00,2162789.00,108384.00,18823.00,17607.00,21045.00,52613.00,965952.00,0.00,1662.00,38060.00,12528.00,2836.00,3384.00,109044.00,723602.00,34865.00,51950.00,434.00,ND,ND,ND,ND,ND,29328.00
1989:Q1,2196931.00,2088877.00,9534.00,98520.00,2196931.00,109165.00,17623.00,19503.00,21045.00,53775.00,974141.00,0.00,1712.00,40753.00,12631.00,3698.00,2924.00,108372.00,747328.00,36027.00,47813.00,421.00,ND,ND,ND,ND,ND,29979.00
1989:Q2,2255378.00,2146493.00,9595.00,99290.00,2255378.00,111794.00,20751.00,17263.00,21242.00,55285.00,993608.00,0.00,1762.00,42912.00,12878.00,4005.00,3088.00,109892.00,769788.00,36869.00,53825.00,417.00,ND,ND,ND,ND,ND,31388.00
1989:Q3,2321631.00,2210690.00,9868.00,101073.00,2321631.00,114311.00,24065.00,14689.00,21329.00,56470.00,1005085.00,0.00,1812.00,44352.00,13153.00,4898.00,3236.00,112360.00,801394.00,33685.00,70383.00,410.00,ND,ND,ND,ND,ND,31951.00
1989:Q4,2369557.00,2260115.00,9423.00,100019.00,2369557.00,117379.00,27760.00,12079.00,21319.00,57312.00,1005653.00,0.00,1862.00,26964.00,13588.00,5456.00,3429.00,114121.00,843800.00,43325.00,75092.00,418.00,ND,ND,ND,ND,ND,16135.00
1990:Q1,2450148.00,2334912.00,10439.00,104797.00,2450148.00,120603.00,29496.00,9987.00,25179.00,57934.00,1045733.00,0.00,1918.00,27613.00,13926.00,5128.00,3457.00,116565.00,878320.00,38165.00,75710.00,414.00,ND,ND,ND,ND,ND,17159.00
1990:Q2,2517151.00,2395411.00,11607.00,110133.00,2517151.00,123256.00,31590.00,9761.00,31009.00,58676.00,1054066.00,0.00,1992.00,29117.00,14302.00,5319.00,3512.00,114468.00,917021.00,42863.00,79786.00,412.00,ND,ND,ND,ND,ND,17930.00
1990:Q3,2567225.00,2446737.00,11246.00,109242.00,2567225.00,126129.00,32442.00,9780.00,35345.00,59667.00,1050524.00,0.00,2046.00,31183.00,14731.00,5415.00,3473.00,115825.00,951547.00,47260.00,81446.00,411.00,ND,ND,0.00,ND,ND,18729.00
1990:Q4,2606804.00,2489255.00,10564.00,106985.00,2606804.00,128643.00,33404.00,9527.00,37940.00,60900.00,1031434.00,0.00,2043.00,32747.00,14979.00,5478.00,3508.00,119462.00,991084.00,55029.00,80211.00,415.00,214685.00,175301.00,0.00,20147.00,68.00,19169.00
1991:Q1,2641560.00,2529152.00,9411.00,102997.00,2641560.00,129531.00,34304.00,9089.00,39443.00,61796.00,1017547.00,0.00,2074.00,32733.00,14003.00,5146.00,3664.00,122760.00,1023310.00,59430.00,86370.00,359.00,216610.00,177501.00,0.00,20499.00,110.00,18500.00
1991:Q2,2700538.00,2590113.00,8863.00,101562.00,2700538.00,131312.00,35731.00,8592.00,41300.00,62038.00,1014830.00,0.00,2029.00,34456.00,13777.00,4703.00,3592.00,125485.00,1058760.00,72495.00,91055.00,383.00,220573.00,180578.00,0.00,20919.00,179.00,18897.00
1991:Q3,2722798.00,2613968.00,8484.00,100346.00,2722798.00,131856.00,36389.00,9025.00,44224.00,62580.00,994396.00,0.00,1982.00,36624.00,13314.00,4398.00,3856.00,125887.00,1097340.00,84444.00,76119.00,364.00,222130.00,181800.00,0.00,21109.00,261.00,18960.00
1991:Q4,2774705.00,2667356.00,8044.00,99305.00,2774705.00,130107.00,36440.00,8876.00,37087.00,62901.00,991961.00,0.00,2000.00,36914.00,12080.00,4009.00,3730.00,130700.00,1130351.00,96732.00,90455.00,362.00,221994.00,181596.00,0.00,21374.00,359.00,18665.00
1992:Q1,2814343.00,2707721.00,7759.00,98863.00,2814343.00,128382.00,36625.00,8550.00,38389.00,62710.00,985186.00,0.00,2155.00,35619.00,13247.00,3793.00,3344.00,138227.00,1154063.00,106805.00,96906.00,341.00,219229.00,178500.00,0.00,21310.00,462.00,18957.00
1992:Q2,2845791.00,2740700.00,7386.00,97705.00,2845791.00,126680.00,36760.00,8313.00,37982.00,62340.00,972089.00,0.00,2423.00,38762.00,12871.00,3536.00,3662.00,142379.00,1193954.00,116694.00,86823.00,523.00,218756.00,178048.00,0.00,21140.00,578.00,18990.00
1992:Q3,2899094.00,2795331.00,6974.00,96789.00,2899094.00,125000.00,36539.00,8719.00,35660.00,62574.00,974182.00,0.00,2725.00,38344.00,12838.00,3393.00,3508.00,148618.00,1219206.00,132056.00,94919.00,813.00,219991.00,178411.00,0.00,21326.00,736.00,19518.00
1992:Q4,2942071.00,2840356.00,6437.00,95278.00,2942071.00,122723.00,36129.00,9444.00,36576.00,62293.00,968764.00,0.00,2981.00,39838.00,12534.00,3200.00,3428.00,161047.00,1248186.00,142265.00,91534.00,1128.00,217107.00,176286.00,0.00,20525.00,883.00,19413.00
1993:Q1,2952167.00,2854173.00,5632.00,92362.00,2952167.00,120496.00,34842.00,8816.00,35349.00,62154.00,960157.00,0.00,3320.00,40555.00,11247.00,3224.00,3391.00,166021.00,1276567.00,145921.00,78729.00,1378.00,215572.00,174839.00,0.00,20438.00,995.00,19300.00
1993:Q2,3006418.00,2907780.00,5621.00,93017.00,3006418.00,118244.00,33490.00,8621.00,32830.00,58629.00,980583.00,0.00,3672.00,41038.00,11229.00,3153.00,3456.00,183355.00,1278722.00,153845.00,93807.00,1744.00,215442.00,175380.00,0.00,20144.00,1145.00,18773.00
1993:Q3,3058794.00,2957928.00,5917.00,94949.00,3058794.00,115967.00,32161.00,8486.00,31382.00,57715.00,989906.00,0.00,3974.00,41277.00,10869.00,3262.00,3445.00,193292.00,1308202.00,164005.00,92799.00,2052.00,214378.00,174558.00,0.00,19992.00,1324.00,18504.00
1993:Q4,3100976.00,2999034.00,6003.00,95939.00,3100976.00,113690.00,30947.00,8194.00,32978.00,56328.00,1001617.00,0.00,4136.00,41782.00,9876.00,3186.00,3487.00,201093.00,1334286.00,167899.00,89239.00,2239.00,210376.00,171146.00,0.00,19268.00,1461.00,18501.00
1994:Q1,3132490.00,3029307.00,6048.00,97135.00,3132490.00,111462.00,31309.00,7811.00,30913.00,55550.00,988179.00,0.00,4261.00,43112.00,9823.00,3310.00,3553.00,206572.00,1376967.00,179616.00,77180.00,2872.00,208700.00,169575.00,0.00,19018.00,1676.00,18431.00
1994:Q2,3179961.00,3074386.00,6332.00,99243.00,3179961.00,109210.00,31761.00,8488.00,30495.00,55422.00,1008691.00,0.00,4280.00,44088.00,9851.00,3534.00,3699.00,206827.00,1410106.00,181026.00,68672.00,3810.00,214092.00,174130.00,0.00,19438.00,1805.00,18719.00
1994:Q3,3230629.00,3120742.00,6967.00,102920.00,3230629.00,106933.00,32242.00,8584.00,30567.00,56320.00,1036224.00,0.00,4358.00,45502.00,9872.00,3753.00,3802.00,206185.00,1432867.00,182173.00,66469.00,4778.00,219102.00,177354.00,0.00,20448.00,1936.00,19364.00
1994:Q4,3278208.00,3165543.00,7286.00,105379.00,3278208.00,104656.00,32697.00,8925.00,29106.00,57283.00,1066676.00,0.00,4769.00,47025.00,9977.00,3720.00,3915.00,204067.00,1449589.00,183002.00,67739.00,5062.00,221795.00,179139.00,0.00,20861.00,2062.00,19733.00
1995:Q1,3306294.00,3191485.00,7061.00,107748.00,3306294.00,102429.00,32974.00,8633.00,28367.00,58466.00,1086690.00,0.00,4837.00,48591.00,10113.00,3886.00,4044.00,202815.00,1457651.00,185999.00,65016.00,5782.00,224620.00,180337.00,0.00,21852.00,2214.00,20217.00
1995:Q2,3356017.00,3237688.00,7019.00,111310.00,3356017.00,100177.00,33257.00,8501.00,26422.00,59347.00,1108558.00,0.00,5340.00,48830.00,10269.00,4052.00,4166.00,203073.00,1475137.00,189046.00,73588.00,6254.00,232082.00,186862.00,0.00,22059.00,2370.00,20791.00
1995:Q3,3412760.00,3289129.00,7351.00,116280.00,3412760.00,97900.00,33531.00,8289.00,25689.00,59789.00,1131060.00,0.00,5351.00,50146.00,10574.00,4218.00,4295.00,207233.00,1501933.00,189468.00,76394.00,6890.00,236441.00,189575.00,0.00,22947.00,2499.00,21420.00
1995:Q4,3445671.00,3319182.00,7171.00,119318.00,3445671.00,95909.00,33824.00,8155.00,24229.00,60498.00,1127146.00,0.00,5719.00,50986.00,10322.00,4385.00,4429.00,209497.00,1543402.00,193759.00,66496.00,6915.00,237465.00,190546.00,0.00,22870.00,2678.00,21371.00
1996:Q1,3508201.00,3377527.00,7334.00,123340.00,3508201.00,93678.00,30011.00,8006.00,22587.00,60793.00,1138061.00,0.00,5849.00,65384.00,9947.00,4551.00,4563.00,204128.00,1571858.00,201074.00,80523.00,7188.00,237781.00,189797.00,0.00,23181.00,2899.00,21904.00
1996:Q2,3567778.00,3430888.00,7931.00,128959.00,3567778.00,91447.00,28366.00,7796.00,22099.00,61190.00,1152207.00,0.00,6084.00,68650.00,9571.00,4717.00,4702.00,204200.00,1614335.00,208206.00,77050.00,7158.00,248020.00,197703.00,0.00,23557.00,3131.00,23629.00
1996:Q3,3632680.00,3488050.00,8842.00,135788.00,3632680.00,89216.00,26474.00,7725.00,21240.00,62035.00,1175578.00,0.00,6393.00,70310.00,8842.00,4883.00,4844.00,203072.00,1648231.00,213851.00,82829.00,7157.00,253915.00,201245.00,0.00,23398.00,3348.00,25924.00
1996:Q4,3681926.00,3537293.00,8284.00,136349.00,3681926.00,86985.00,24484.00,7645.00,21195.00,62808.00,1188976.00,0.00,6339.00,73064.00,8468.00,4957.00,4990.00,202918.00,1678786.00,215357.00,86950.00,8004.00,262553.00,206093.00,0.00,25476.00,3499.00,27485.00
1997:Q1,3727558.00,3579572.00,7639.00,140347.00,3727558.00,84754.00,25695.00,7383.00,19875.00,63381.00,1199884.00,0.00,6185.00,74511.00,8462.00,5157.00,5141.00,199191.00,1706181.00,224576.00,88452.00,8730.00,268787.00,209775.00,0.00,26449.00,3775.00,28788.00
