date,FL893065105.Q,FL153165105.Q,FL103165105.Q,FL113165105.Q,FL893065105.Q,FL153065103.Q,FL103065105.Q,FL113065103.Q,FL313065105.Q,FL213065103.Q,FL763065105.Q,FL753065103.Q,FL743065103.Q,FL473065100.Q,FL543065105.Q,FL573065103.Q,FL223065143.Q,FL403065105.Q,FL413065105.Q,FL673065105.Q,FL613065105.Q,FL643065105.Q,FL893065125.Q,FL763065125.Q,FL753065203.Q,FL473065125.Q,FL673065123.Q,FL613065123.Q
1952:Q4,58486.00,58486.00,0.00,0.00,58486.00,8000.00,0.00,0.00,2523.00,360.00,34702.00,0.00,117.00,390.00,11757.00,65.00,71.00,0.00,0.00,0.00,501.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q1,60073.00,60073.00,0.00,0.00,60073.00,8153.00,0.00,0.00,2681.00,376.00,35706.00,0.00,117.00,395.00,12095.00,69.00,77.00,0.00,0.00,0.00,404.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q2,62293.00,62293.00,0.00,0.00,62293.00,8233.00,0.00,0.00,2800.00,391.00,37267.00,0.00,118.00,428.00,12440.00,74.00,83.00,0.00,0.00,0.00,459.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q3,64272.00,64272.00,0.00,0.00,64272.00,8239.00,0.00,0.00,2840.00,405.00,38769.00,0.00,119.00,386.00,12785.00,80.00,90.00,0.00,0.00,0.00,559.00,0.00,ND,ND,ND,ND,ND,ND
1953:Q4,66003.00,66003.00,0.00,0.00,66003.00,8322.00,0.00,0.00,2770.00,420.00,40085.00,0.00,119.00,383.00,13195.00,85.00,97.00,0.00,0.00,0.00,527.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q1,67416.00,67416.00,0.00,0.00,67416.00,8290.00,0.00,0.00,2731.00,436.00,41182.00,0.00,119.00,361.00,13550.00,90.00,104.00,0.00,0.00,0.00,553.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q2,70234.00,70234.00,0.00,0.00,70234.00,8348.00,0.00,0.00,3244.00,454.00,42830.00,0.00,119.00,456.00,13995.00,95.00,112.00,0.00,0.00,0.00,581.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q3,72336.00,72336.00,0.00,0.00,72336.00,8452.00,0.00,0.00,2689.00,471.00,44821.00,0.00,119.00,416.00,14483.00,100.00,122.00,0.00,0.00,0.00,663.00,0.00,ND,ND,ND,ND,ND,ND
1954:Q4,75356.00,75356.00,0.00,0.00,75356.00,8523.00,0.00,0.00,2770.00,485.00,46938.00,0.00,120.00,407.00,15153.00,107.00,131.00,0.00,0.00,0.00,722.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q1,78237.00,78237.00,0.00,0.00,78237.00,8572.00,0.00,0.00,2860.00,496.00,48892.00,0.00,124.00,505.00,15723.00,116.00,140.00,0.00,0.00,0.00,809.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q2,81697.00,81697.00,0.00,0.00,81697.00,8621.00,0.00,0.00,2919.00,504.00,51484.00,0.00,131.00,543.00,16253.00,125.00,150.00,9.00,0.00,0.00,958.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q3,85032.00,85032.00,0.00,0.00,85032.00,8578.00,0.00,0.00,2929.00,512.00,54061.00,0.00,138.00,526.00,16790.00,136.00,161.00,30.00,0.00,0.00,1171.00,0.00,ND,ND,ND,ND,ND,ND
1955:Q4,87936.00,87936.00,0.00,0.00,87936.00,8652.00,0.00,0.00,2929.00,523.00,55915.00,0.00,144.00,524.00,17661.00,148.00,170.00,86.00,0.00,0.00,1184.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q1,90356.00,90356.00,0.00,0.00,90356.00,8785.00,0.00,0.00,2914.00,536.00,57491.00,0.00,148.00,522.00,18351.00,161.00,180.00,156.00,0.00,0.00,1112.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q2,93327.00,93327.00,0.00,0.00,93327.00,8865.00,0.00,0.00,2902.00,548.00,59555.00,0.00,151.00,649.00,18950.00,176.00,189.00,233.00,0.00,0.00,1109.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q3,96174.00,96174.00,0.00,0.00,96174.00,8847.00,0.00,0.00,2889.00,565.00,61693.00,0.00,153.00,596.00,19510.00,192.00,200.00,352.00,0.00,0.00,1177.00,0.00,ND,ND,ND,ND,ND,ND
1956:Q4,98745.00,98745.00,0.00,0.00,98745.00,8931.00,0.00,0.00,2885.00,594.00,63285.00,0.00,155.00,593.00,20130.00,208.00,213.00,649.00,0.00,0.00,1102.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q1,100851.00,100851.00,0.00,0.00,100851.00,9166.00,0.00,0.00,2894.00,633.00,64303.00,0.00,156.00,678.00,20615.00,224.00,230.00,1031.00,0.00,0.00,921.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q2,103039.00,103039.00,0.00,0.00,103039.00,9336.00,0.00,0.00,2923.00,684.00,65758.00,0.00,156.00,686.00,20914.00,239.00,249.00,1249.00,0.00,0.00,845.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q3,105397.00,105397.00,0.00,0.00,105397.00,9431.00,0.00,0.00,2974.00,739.00,67424.00,0.00,156.00,651.00,21203.00,255.00,271.00,1445.00,0.00,0.00,848.00,0.00,ND,ND,ND,ND,ND,ND
1957:Q4,107374.00,107374.00,0.00,0.00,107374.00,9490.00,0.00,0.00,3051.00,789.00,68831.00,0.00,157.00,592.00,21441.00,271.00,293.00,1636.00,0.00,0.00,823.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q1,108975.00,108975.00,0.00,0.00,108975.00,9503.00,0.00,0.00,3103.00,837.00,69770.00,0.00,163.00,666.00,21688.00,288.00,316.00,1718.00,0.00,0.00,923.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q2,111142.00,111142.00,0.00,0.00,111142.00,9686.00,0.00,0.00,3130.00,883.00,71720.00,0.00,172.00,631.00,21859.00,304.00,341.00,1394.00,0.00,0.00,1022.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q3,114035.00,114035.00,0.00,0.00,114035.00,9761.00,0.00,0.00,3157.00,931.00,74149.00,0.00,181.00,665.00,22045.00,323.00,368.00,1333.00,0.00,0.00,1122.00,0.00,ND,ND,ND,ND,ND,ND
1958:Q4,117177.00,117177.00,0.00,0.00,117177.00,9889.00,0.00,0.00,3281.00,983.00,76501.00,0.00,185.00,619.00,22374.00,344.00,398.00,1381.00,0.00,0.00,1222.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q1,119935.00,119935.00,0.00,0.00,119935.00,9865.00,0.00,0.00,3598.00,1040.00,78365.00,0.00,156.00,723.00,22607.00,369.00,428.00,1464.00,0.00,0.00,1320.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q2,123346.00,123346.00,0.00,0.00,123346.00,9825.00,0.00,0.00,3931.00,1104.00,81129.00,0.00,126.00,730.00,22801.00,397.00,458.00,1574.00,0.00,0.00,1271.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q3,127007.00,127007.00,0.00,0.00,127007.00,9616.00,0.00,0.00,4139.00,1167.00,84055.00,0.00,68.00,780.00,23120.00,428.00,493.00,1777.00,0.00,0.00,1364.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q4,130099.00,130099.00,0.00,0.00,130099.00,9501.00,0.00,0.00,4206.00,1222.00,86298.00,0.00,65.00,752.00,23583.00,459.00,536.00,2040.00,0.00,0.00,1437.00,0.00,ND,ND,ND,ND,ND,ND
