date,FU152090205.Q,FU112090205.Q,FU662090205.Q
1945:Q4,ND,ND,ND
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,571.00,571.00,0.00
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,86.00,86.00,0.00
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,4819.00,4819.00,0.00
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,1412.00,1412.00,0.00
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,2103.00,2103.00,0.00
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1984:Q1,-7282.00,-7326.00,44.00
1984:Q2,-19816.00,-19479.00,-337.00
1984:Q3,-18458.00,-18787.00,329.00
1984:Q4,-15476.00,-15427.00,-49.00
1985:Q1,-10810.00,-10984.00,174.00
1985:Q2,-16160.00,-16254.00,94.00
1985:Q3,-8294.00,-8580.00,286.00
1985:Q4,15792.00,16224.00,-432.00
1986:Q1,-3636.00,-3814.00,178.00
1986:Q2,-835.00,-1400.00,565.00
1986:Q3,554.00,318.00,236.00
1986:Q4,-4605.00,-4821.00,216.00
1987:Q1,-7598.00,-7244.00,-354.00
1987:Q2,-9689.00,-9276.00,-413.00
1987:Q3,-6409.00,-6305.00,-104.00
1987:Q4,-4651.00,-4703.00,52.00
1988:Q1,-6005.00,-6213.00,208.00
1988:Q2,-5676.00,-6049.00,373.00
1988:Q3,-9701.00,-9518.00,-183.00
1988:Q4,-12052.00,-11750.00,-302.00
1989:Q1,-2368.00,-2425.00,57.00
1989:Q2,-11277.00,-10434.00,-843.00
1989:Q3,-12247.00,-12228.00,-19.00
1989:Q4,-10296.00,-9366.00,-930.00
1990:Q1,4127.00,4121.00,6.00
1990:Q2,3336.00,3649.00,-313.00
1990:Q3,7527.00,7521.00,6.00
1990:Q4,5418.00,5807.00,-389.00
1991:Q1,3370.00,3314.00,56.00
1991:Q2,3286.00,3160.00,126.00
1991:Q3,11348.00,11033.00,315.00
1991:Q4,9317.00,9356.00,-39.00
1992:Q1,8043.00,8114.00,-71.00
1992:Q2,7434.00,7592.00,-158.00
1992:Q3,12448.00,11999.00,449.00
1992:Q4,1761.00,1885.00,-124.00
1993:Q1,15948.00,15018.00,930.00
