1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1382.00,0.00,0.00,0.00,0.00,0.00,0.00,442.00,442.00,442.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,940.00,731.00,209.00,0.00,0.00,0.00,1382.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1382.00,731.00,731.00,651.00,0.00,209.00,442.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-940.00,-289.00,-651.00,940.00,0.00
1952:Q1,1490.00,0.00,0.00,0.00,0.00,0.00,0.00,456.00,456.00,456.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1034.00,820.00,214.00,0.00,0.00,0.00,1490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1490.00,820.00,820.00,670.00,0.00,214.00,456.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1034.00,-364.00,-670.00,1034.00,0.00
1952:Q2,1551.00,0.00,0.00,0.00,0.00,0.00,0.00,472.00,472.00,472.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1079.00,864.00,215.00,0.00,0.00,0.00,1551.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1551.00,864.00,864.00,687.00,0.00,215.00,472.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1079.00,-392.00,-687.00,1079.00,0.00
1952:Q3,1619.00,0.00,0.00,0.00,0.00,0.00,0.00,516.00,516.00,516.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1103.00,884.00,219.00,0.00,0.00,0.00,1619.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1619.00,884.00,884.00,735.00,0.00,219.00,516.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1103.00,-368.00,-735.00,1103.00,0.00
1952:Q4,1520.00,0.00,0.00,0.00,0.00,0.00,0.00,516.00,516.00,516.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1004.00,780.00,224.00,0.00,0.00,0.00,1520.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1520.00,780.00,780.00,740.00,0.00,224.00,516.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1004.00,-264.00,-740.00,1004.00,0.00
1953:Q1,1672.00,0.00,0.00,0.00,0.00,0.00,0.00,448.00,448.00,448.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1224.00,996.00,228.00,0.00,0.00,0.00,1672.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1672.00,996.00,996.00,676.00,0.00,228.00,448.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1224.00,-548.00,-676.00,1224.00,0.00
1953:Q2,1716.00,0.00,0.00,0.00,0.00,0.00,0.00,664.00,664.00,664.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1052.00,820.00,232.00,0.00,0.00,0.00,1716.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1716.00,820.00,820.00,896.00,0.00,232.00,664.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1052.00,-156.00,-896.00,1052.00,0.00
1953:Q3,1673.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,560.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1113.00,872.00,241.00,0.00,0.00,0.00,1673.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1673.00,872.00,872.00,801.00,0.00,241.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1113.00,-312.00,-801.00,1113.00,0.00
1953:Q4,1771.00,0.00,0.00,0.00,0.00,0.00,0.00,568.00,568.00,568.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1203.00,952.00,251.00,0.00,0.00,0.00,1771.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1771.00,952.00,952.00,819.00,0.00,251.00,568.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1203.00,-384.00,-819.00,1203.00,0.00
1954:Q1,1787.00,0.00,0.00,0.00,0.00,0.00,0.00,592.00,592.00,592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1195.00,936.00,259.00,0.00,0.00,0.00,1787.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1787.00,936.00,936.00,851.00,0.00,259.00,592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1195.00,-344.00,-851.00,1195.00,0.00
