date,FA406000105.Q,FA405013005.Q,FA404090005.Q,FA403020005.Q,FA403030005.Q,FA402050005.Q,FA404022005.Q,FA403069105.Q,FA403061105.Q,FA403061705.Q,FA403062005.Q,FA403063005.Q,FA404023005.Q,FA403069305.Q,FA403069385.Q,FA403069345.Q,FA403069330.Q,FA403065005.Q,FA403065105.Q,FA403065195.Q,FA403065185.Q,FA403065405.Q,FA403065495.Q,FA403065485.Q,FA403065605.Q,FA403066005.Q,FA403093005.Q,FA404190005.Q,FA402150005.Q,FA403161705.Q,FA403161795.Q,FA403161785.Q,FA403169283.Q,FA403164105.Q,FA403190005.Q,FA407005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,55.00,2.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,74.00,150.00,0.00,54.00,96.00,-76.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,-26.00,30.00,0.00,295.00,0.00,295.00,0.00,0.00,-265.00,-25.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,167.00,-3.00,0.00,0.00,-31.00,0.00,-31.00,0.00,0.00,0.00,226.00,298.00,0.00,167.00,131.00,-72.00,0.00,0.00,0.00,0.00,0.00,0.00,-72.00,0.00,-25.00,139.00,0.00,116.00,0.00,116.00,0.00,0.00,23.00,-28.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
