date,FL152090205.Q,FL112090205.Q,FL662090205.Q
1945:Q4,197384.93,197384.93,0.00
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,234183.00,234183.00,0.00
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,267381.00,267381.00,0.00
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,283078.00,283078.00,0.00
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,284821.00,284821.00,0.00
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,301716.00,301716.00,0.00
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1972:Q4,802068.00,802068.00,0.00
1973:Q1,830403.00,830146.00,257.00
1973:Q2,863698.00,863192.00,506.00
1973:Q3,905171.00,904436.00,735.00
1973:Q4,938109.00,937159.00,950.00
1974:Q1,957070.00,955924.00,1146.00
1974:Q2,977047.00,975704.00,1343.00
1974:Q3,1018869.00,1017339.00,1530.00
1974:Q4,1051048.00,1049342.00,1706.00
1975:Q1,1079654.00,1077825.00,1829.00
1975:Q2,1109867.00,1107946.00,1921.00
1975:Q3,1128559.00,1126544.00,2015.00
1975:Q4,1149603.00,1147468.00,2135.00
1976:Q1,1170652.00,1168815.00,1837.00
1976:Q2,1213961.00,1212100.00,1861.00
1976:Q3,1242362.00,1240563.00,1799.00
1976:Q4,1279526.00,1277583.00,1943.00
1977:Q1,1315565.00,1313762.00,1803.00
1977:Q2,1349461.00,1347534.00,1927.00
1977:Q3,1393780.00,1391903.00,1877.00
1977:Q4,1443293.00,1441582.00,1711.00
1978:Q1,1507805.00,1505947.00,1858.00
1978:Q2,1565139.00,1563202.00,1937.00
1978:Q3,1618465.00,1616383.00,2082.00
1978:Q4,1675027.00,1673054.00,1973.00
1979:Q1,1749315.00,1747250.00,2065.00
1979:Q2,1815252.00,1812937.00,2315.00
1979:Q3,1882764.00,1880269.00,2495.00
1979:Q4,1944232.00,1941538.00,2694.00
1980:Q1,1990476.00,1989236.00,1240.00
1980:Q2,2049304.00,2047676.00,1628.00
1980:Q3,2114788.00,2113248.00,1540.00
1980:Q4,2187417.00,2185494.00,1923.00
1981:Q1,2239529.00,2237419.00,2110.00
1981:Q2,2281265.00,2279033.00,2232.00
1981:Q3,2308118.00,2306113.00,2005.00
1981:Q4,2345103.00,2343165.00,1938.00
1982:Q1,2372227.00,2370334.00,1893.00
1982:Q2,2383345.00,2381402.00,1943.00
1982:Q3,2379481.00,2377358.00,2123.00
1982:Q4,2386377.00,2383846.00,2531.00
1983:Q1,2413838.00,2411160.00,2678.00
1983:Q2,2411547.00,2408655.00,2892.00
1983:Q3,2420015.00,2417121.00,2894.00
1983:Q4,2445038.00,2441957.00,3081.00
1984:Q1,2455065.00,2452032.00,3033.00
1984:Q2,2445148.00,2442456.00,2692.00
1984:Q3,2440124.00,2437002.00,3122.00
1984:Q4,2442558.00,2439490.00,3068.00
1985:Q1,2446602.00,2443201.00,3401.00
1985:Q2,2431379.00,2427729.00,3650.00
1985:Q3,2444525.00,2440689.00,3836.00
1985:Q4,2506899.00,2503038.00,3861.00
1986:Q1,2543411.00,2539017.00,4394.00
1986:Q2,2563387.00,2558224.00,5163.00
1986:Q3,2597813.00,2592644.00,5169.00
1986:Q4,2625715.00,2620170.00,5545.00
1987:Q1,2657043.00,2651047.00,5996.00
1987:Q2,2675706.00,2669959.00,5747.00
1987:Q3,2694771.00,2688876.00,5895.00
1987:Q4,2739223.00,2733949.00,5274.00
1988:Q1,2785490.00,2779885.00,5605.00
1988:Q2,2820877.00,2814788.00,6089.00
1988:Q3,2849671.00,2843782.00,5889.00
1988:Q4,2881666.00,2876034.00,5632.00
1989:Q1,2923952.00,2918173.00,5779.00
1989:Q2,2959104.00,2953794.00,5310.00
1989:Q3,2971984.00,2966391.00,5593.00
1989:Q4,3000525.00,2995813.00,4712.00
1990:Q1,3016386.00,3011762.00,4624.00
1990:Q2,3026236.00,3021812.00,4424.00
1990:Q3,3044461.00,3040312.00,4149.00
1990:Q4,3056631.00,3052669.00,3962.00
1991:Q1,3066122.00,3061925.00,4197.00
1991:Q2,3053342.00,3049048.00,4294.00
1991:Q3,3029072.00,3024443.00,4629.00
1991:Q4,3015600.00,3010909.00,4691.00
1992:Q1,3026397.00,3021697.00,4700.00
1992:Q2,3004581.00,3000005.00,4576.00
1992:Q3,3007817.00,3002775.00,5042.00
1992:Q4,2997542.00,2992480.00,5062.00
1993:Q1,3035823.00,3029864.00,5959.00
1993:Q2,3066714.00,3061053.00,5661.00
1993:Q3,3100597.00,3094201.00,6396.00
1993:Q4,3137129.00,3130934.00,6195.00
1994:Q1,3200019.00,3193844.00,6175.00
1994:Q2,3261607.00,3256042.00,5565.00
1994:Q3,3296276.00,3290671.00,5605.00
1994:Q4,3342078.00,3337002.00,5076.00
1995:Q1,3386969.00,3381648.00,5321.00
1995:Q2,3420257.00,3415156.00,5101.00
1995:Q3,3471633.00,3465834.00,5799.00
1995:Q4,3517127.00,3511752.00,5375.00
1996:Q1,3556258.00,3550301.00,5957.00
1996:Q2,3558263.00,3552436.00,5827.00
1996:Q3,3573774.00,3567580.00,6194.00
1996:Q4,3636144.00,3629637.00,6507.00
1997:Q1,3768860.00,3761409.00,7451.00
1997:Q2,3822055.00,3813522.00,8533.00
1997:Q3,3894272.00,3884752.00,9520.00
1997:Q4,4018320.00,4008868.00,9452.00
1998:Q1,4135738.00,4125715.00,10023.00
1998:Q2,4139221.00,4129427.00,9794.00
1998:Q3,4205517.00,4195992.00,9525.00
1998:Q4,4257969.00,4248408.00,9561.00
1999:Q1,4308390.00,4298976.00,9414.00
1999:Q2,4307336.00,4297425.00,9911.00
1999:Q3,4394829.00,4384753.00,10076.00
1999:Q4,4491679.00,4480133.00,11546.00
2000:Q1,4557099.00,4545579.00,11520.00
2000:Q2,4599689.00,4587487.00,12202.00
2000:Q3,4822262.00,4810417.00,11845.00
2000:Q4,4958906.00,4947251.00,11655.00
2001:Q1,5011419.00,4997978.00,13441.00
2001:Q2,5065301.00,5050588.00,14713.00
2001:Q3,5144729.00,5129645.00,15084.00
2001:Q4,5141340.00,5135162.00,6178.00
2002:Q1,5213157.00,5207920.00,5237.00
2002:Q2,5255086.00,5249121.00,5965.00
2002:Q3,5340088.00,5334038.00,6050.00
2002:Q4,5460679.00,5455729.00,4950.00
2003:Q1,5658763.00,5646857.00,11906.00
2003:Q2,5794407.00,5781851.00,12556.00
2003:Q3,5916412.00,5903732.00,12680.00
2003:Q4,6033200.00,6020249.00,12951.00
2004:Q1,6290787.00,6278889.00,11898.00
2004:Q2,6617846.00,6606191.00,11655.00
2004:Q3,6968040.00,6955773.00,12267.00
2004:Q4,7232743.00,7221549.00,11194.00
2005:Q1,7451449.00,7439911.00,11538.00
2005:Q2,7736291.00,7724693.00,11598.00
2005:Q3,8026609.00,8014884.00,11725.00
2005:Q4,8336276.00,8324561.00,11715.00
2006:Q1,8481135.00,8468010.00,13125.00
2006:Q2,8587530.00,8574517.00,13013.00
2006:Q3,8710892.00,8697754.00,13138.00
2006:Q4,8754021.00,8744341.00,9680.00
2007:Q1,8909260.00,8898159.00,11101.00
2007:Q2,8936118.00,8924731.00,11387.00
2007:Q3,8937868.00,8926481.00,11387.00
2007:Q4,8815531.00,8802901.00,12630.00
2008:Q1,8415295.00,8404224.00,11071.00
2008:Q2,7964803.00,7954725.00,10078.00
2008:Q3,7770909.00,7764332.00,6577.00
2008:Q4,7334028.00,7323359.00,10669.00
2009:Q1,6941992.00,6928978.00,13014.00
2009:Q2,6473771.00,6461534.00,12237.00
2009:Q3,6134245.00,6121752.00,12493.00
2009:Q4,6128936.00,6114134.00,14802.00
2010:Q1,6168480.00,6153128.00,15352.00
2010:Q2,6434563.00,6419427.00,15136.00
2010:Q3,6573427.00,6557900.00,15527.00
2010:Q4,6761115.00,6745171.00,15944.00
2011:Q1,6948065.00,6933524.00,14541.00
2011:Q2,7016579.00,7002664.00,13915.00
2011:Q3,7172537.00,7160520.00,12017.00
2011:Q4,7415515.00,7403656.00,11859.00
2012:Q1,7514317.00,7497787.00,16530.00
2012:Q2,7687952.00,7671542.00,16410.00
2012:Q3,7992264.00,7975352.00,16912.00
2012:Q4,8174703.00,8157457.00,17246.00
2013:Q1,8389015.00,8371069.00,17946.00
2013:Q2,8699476.00,8681615.00,17861.00
2013:Q3,9053957.00,9037886.00,16071.00
2013:Q4,9327491.00,9311236.00,16255.00
2014:Q1,9448098.00,9430897.00,17201.00
2014:Q2,9641481.00,9624202.00,17279.00
2014:Q3,9839135.00,9821275.00,17860.00
2014:Q4,10097465.00,10079591.00,17874.00
2015:Q1,10358041.00,10340405.00,17636.00
2015:Q2,10502373.00,10485585.00,16788.00
2015:Q3,10661264.00,10643807.00,17457.00
2015:Q4,10829426.00,10814753.00,14673.00
2016:Q1,10881080.00,10869893.00,11187.00
2016:Q2,11013938.00,11003253.00,10685.00
2016:Q3,11174036.00,11159660.00,14376.00
