1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,24003.00,22753.00,889.00,944.00,-174.00,-409.00,25632.00,1203.00,22753.00,0.00,0.00,1676.00,-1629.00,2697.00,2697.00,0.00,20056.00,20056.00,0.00,0.00,1203.00,1203.00,1184.00,19.00,715.00,715.00,0.00,1023.00,1226.00,203.00,62.00,53.00,9.00,0.00,0.00,0.00,1676.00,-976.00,-946.00,100.00,174.00,409.00,30.00,-1629.00
1952:Q1,23751.00,22696.00,572.00,1074.00,-176.00,-415.00,25401.00,867.00,22696.00,0.00,0.00,1838.00,-1650.00,2420.00,2420.00,0.00,20276.00,20276.00,0.00,0.00,867.00,867.00,710.00,157.00,728.00,728.00,0.00,1166.00,1395.00,229.00,56.00,46.00,10.00,0.00,0.00,0.00,1838.00,-977.00,-944.00,115.00,176.00,415.00,33.00,-1650.00
1952:Q2,22498.00,21777.00,156.00,1176.00,-175.00,-436.00,24350.00,625.00,21777.00,0.00,0.00,1948.00,-1852.00,2396.00,2396.00,0.00,19381.00,19381.00,0.00,0.00,625.00,625.00,581.00,44.00,722.00,722.00,0.00,1281.00,1533.00,252.00,55.00,44.00,11.00,0.00,0.00,0.00,1948.00,-1147.00,-1113.00,128.00,175.00,436.00,34.00,-1852.00
1952:Q3,24752.00,23111.00,1230.00,1025.00,-173.00,-441.00,25930.00,1093.00,23111.00,0.00,0.00,1726.00,-1178.00,2530.00,2530.00,0.00,20581.00,20581.00,0.00,0.00,1093.00,1093.00,738.00,355.00,655.00,655.00,0.00,1123.00,1352.00,229.00,52.00,42.00,10.00,0.00,0.00,0.00,1726.00,-476.00,-446.00,118.00,173.00,441.00,30.00,-1178.00
1952:Q4,23817.00,22703.00,694.00,1081.00,-170.00,-491.00,25555.00,1094.00,22703.00,0.00,0.00,1758.00,-1738.00,2753.00,2753.00,0.00,19950.00,19950.00,0.00,0.00,1094.00,1094.00,967.00,127.00,661.00,661.00,0.00,1183.00,1424.00,241.00,86.00,76.00,10.00,0.00,0.00,0.00,1758.00,-985.00,-953.00,124.00,170.00,491.00,32.00,-1738.00
1953:Q1,24235.00,22698.00,1189.00,992.00,-170.00,-474.00,25940.00,1500.00,22698.00,0.00,0.00,1742.00,-1705.00,2550.00,2550.00,0.00,20148.00,20148.00,0.00,0.00,1500.00,1500.00,810.00,690.00,706.00,706.00,0.00,1095.00,1366.00,271.00,59.00,48.00,11.00,0.00,0.00,0.00,1742.00,-969.00,-939.00,122.00,170.00,474.00,30.00,-1705.00
1953:Q2,22867.00,22151.00,360.00,1048.00,-171.00,-521.00,24589.00,655.00,22151.00,0.00,0.00,1783.00,-1722.00,2590.00,2590.00,0.00,19561.00,19561.00,0.00,0.00,655.00,655.00,601.00,54.00,699.00,699.00,0.00,1155.00,1398.00,243.00,71.00,60.00,11.00,0.00,0.00,0.00,1783.00,-934.00,-904.00,126.00,171.00,521.00,30.00,-1722.00
1953:Q3,23407.00,21959.00,1116.00,1025.00,-172.00,-521.00,24771.00,1014.00,21959.00,0.00,0.00,1798.00,-1364.00,2650.00,2650.00,0.00,19309.00,19309.00,0.00,0.00,1014.00,1014.00,685.00,329.00,738.00,738.00,0.00,1131.00,1373.00,242.00,71.00,60.00,11.00,0.00,0.00,0.00,1798.00,-576.00,-546.00,125.00,172.00,521.00,30.00,-1364.00
1953:Q4,23430.00,22672.00,435.00,1077.00,-173.00,-581.00,25302.00,948.00,22672.00,0.00,0.00,1682.00,-1872.00,2512.00,2512.00,0.00,20160.00,20160.00,0.00,0.00,948.00,948.00,935.00,13.00,570.00,570.00,0.00,1191.00,1447.00,256.00,79.00,66.00,13.00,0.00,0.00,0.00,1682.00,-1017.00,-985.00,133.00,173.00,581.00,32.00,-1872.00
1954:Q1,21910.00,21824.00,-200.00,1069.00,-173.00,-610.00,24093.00,667.00,21824.00,0.00,0.00,1602.00,-2183.00,2630.00,2630.00,0.00,19194.00,19194.00,0.00,0.00,667.00,667.00,535.00,132.00,489.00,489.00,0.00,1182.00,1439.00,257.00,69.00,57.00,12.00,0.00,0.00,0.00,1602.00,-1299.00,-1267.00,133.00,173.00,610.00,32.00,-2183.00
1954:Q2,21937.00,21671.00,-8.00,1094.00,-172.00,-648.00,23866.00,589.00,21671.00,0.00,0.00,1606.00,-1929.00,2660.00,2660.00,0.00,19011.00,19011.00,0.00,0.00,589.00,589.00,567.00,22.00,480.00,480.00,0.00,1213.00,1479.00,266.00,87.00,73.00,14.00,0.00,0.00,0.00,1606.00,-1004.00,-972.00,137.00,172.00,648.00,32.00,-1929.00
1954:Q3,21802.00,21161.00,391.00,1111.00,-171.00,-690.00,23473.00,685.00,21161.00,0.00,0.00,1627.00,-1671.00,2830.00,2830.00,0.00,18331.00,18331.00,0.00,0.00,685.00,685.00,511.00,174.00,510.00,510.00,0.00,1231.00,1503.00,272.00,114.00,100.00,14.00,0.00,0.00,0.00,1627.00,-704.00,-670.00,140.00,171.00,690.00,34.00,-1671.00
1954:Q4,21485.00,21345.00,-143.00,1232.00,-167.00,-782.00,23892.00,818.00,21345.00,0.00,0.00,1729.00,-2407.00,2469.00,2469.00,0.00,18876.00,18876.00,0.00,0.00,818.00,818.00,808.00,10.00,509.00,509.00,0.00,1361.00,1658.00,297.00,141.00,126.00,15.00,0.00,0.00,0.00,1729.00,-1344.00,-1306.00,152.00,167.00,782.00,38.00,-2407.00
1955:Q1,21635.00,21218.00,176.00,1190.00,-168.00,-781.00,24087.00,1150.00,21218.00,0.00,0.00,1719.00,-2452.00,2830.00,2830.00,0.00,18388.00,18388.00,0.00,0.00,1150.00,1150.00,552.00,598.00,511.00,511.00,0.00,1315.00,1604.00,289.00,107.00,93.00,14.00,0.00,0.00,0.00,1719.00,-1392.00,-1356.00,147.00,168.00,781.00,36.00,-2452.00
1955:Q2,21254.00,20747.00,209.00,1278.00,-169.00,-811.00,23492.00,925.00,20747.00,0.00,0.00,1820.00,-2238.00,2681.00,2681.00,0.00,18066.00,18066.00,0.00,0.00,925.00,925.00,850.00,75.00,538.00,538.00,0.00,1410.00,1714.00,304.00,128.00,113.00,15.00,0.00,0.00,0.00,1820.00,-1141.00,-1103.00,155.00,169.00,811.00,38.00,-2238.00
1955:Q3,22755.00,21435.00,1090.00,1240.00,-171.00,-839.00,24704.00,1437.00,21435.00,0.00,0.00,1832.00,-1949.00,2960.00,2960.00,0.00,18475.00,18475.00,0.00,0.00,1437.00,1437.00,788.00,649.00,570.00,570.00,0.00,1369.00,1665.00,296.00,107.00,92.00,15.00,0.00,0.00,0.00,1832.00,-825.00,-787.00,152.00,171.00,839.00,38.00,-1949.00
1955:Q4,22832.00,21687.00,964.00,1279.00,-174.00,-924.00,25225.00,1692.00,21687.00,0.00,0.00,1846.00,-2393.00,2682.00,2682.00,0.00,19005.00,19005.00,0.00,0.00,1692.00,1692.00,1585.00,107.00,553.00,553.00,0.00,1409.00,1712.00,303.00,116.00,102.00,14.00,0.00,0.00,0.00,1846.00,-1179.00,-1141.00,154.00,174.00,924.00,38.00,-2393.00
1956:Q1,22420.00,21472.00,819.00,1300.00,-178.00,-993.00,24915.00,1499.00,21472.00,0.00,0.00,1944.00,-2495.00,2890.00,2890.00,0.00,18582.00,18582.00,0.00,0.00,1499.00,1499.00,793.00,706.00,615.00,615.00,0.00,1434.00,1745.00,311.00,105.00,90.00,15.00,0.00,0.00,0.00,1944.00,-1205.00,-1167.00,157.00,178.00,993.00,38.00,-2495.00
1956:Q2,21416.00,20716.00,501.00,1391.00,-183.00,-1009.00,24044.00,1438.00,20716.00,0.00,0.00,1890.00,-2628.00,2273.00,2273.00,0.00,18443.00,18443.00,0.00,0.00,1438.00,1438.00,1206.00,232.00,446.00,446.00,0.00,1533.00,1866.00,333.00,89.00,72.00,17.00,0.00,0.00,0.00,1890.00,-1311.00,-1268.00,168.00,183.00,1009.00,43.00,-2628.00
1956:Q3,23538.00,21756.00,1502.00,1476.00,-189.00,-1007.00,25548.00,1633.00,21756.00,0.00,0.00,2159.00,-2010.00,3100.00,3100.00,0.00,18656.00,18656.00,0.00,0.00,1633.00,1633.00,1060.00,573.00,677.00,677.00,0.00,1628.00,1982.00,354.00,146.00,127.00,19.00,0.00,0.00,0.00,2159.00,-681.00,-636.00,178.00,189.00,1007.00,45.00,-2010.00
1956:Q4,23660.00,22320.00,1142.00,1510.00,-195.00,-1117.00,26206.00,1690.00,22320.00,0.00,0.00,2196.00,-2546.00,3261.00,3261.00,0.00,19059.00,19059.00,0.00,0.00,1690.00,1690.00,1665.00,25.00,614.00,614.00,0.00,1666.00,2029.00,363.00,84.00,64.00,20.00,0.00,0.00,0.00,2196.00,-1098.00,-1051.00,183.00,195.00,1117.00,47.00,-2546.00
1957:Q1,21840.00,21260.00,480.00,1480.00,-202.00,-1178.00,24756.00,1399.00,21260.00,0.00,0.00,2097.00,-2916.00,2910.00,2910.00,0.00,18350.00,18350.00,0.00,0.00,1399.00,1399.00,807.00,592.00,553.00,553.00,0.00,1638.00,1997.00,359.00,94.00,70.00,24.00,0.00,0.00,0.00,2097.00,-1402.00,-1355.00,181.00,202.00,1178.00,47.00,-2916.00
