1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,1416.00,1416.00,214.00,1202.00,0.00,0.00,1416.00,799.00,88.00,0.00,59.00,168.00,5.00,1.00,0.00,200.00,40.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q4,1217.00,1217.00,-44.00,1261.00,0.00,0.00,1217.00,331.00,-16.00,0.00,90.00,158.00,7.00,1.00,0.00,215.00,40.00,61.00,0.00,0.00,0.00,0.00,0.00,330.00,0.00
1954:Q1,1504.00,1504.00,189.00,1315.00,0.00,0.00,1504.00,513.00,-42.00,0.00,91.00,635.00,-4.00,1.00,0.00,212.00,165.00,63.00,0.00,0.00,0.00,0.00,0.00,-130.00,0.00
1954:Q2,1350.00,1350.00,-104.00,1454.00,0.00,0.00,1350.00,292.00,-41.00,0.00,57.00,583.00,-6.00,2.00,0.00,203.00,194.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q3,1510.00,1510.00,159.00,1351.00,0.00,0.00,1510.00,568.00,75.00,0.00,27.00,448.00,-4.00,2.00,0.00,190.00,134.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q4,1287.00,1287.00,-134.00,1421.00,0.00,0.00,1287.00,718.00,-25.00,0.00,-1.00,279.00,6.00,1.00,0.00,180.00,55.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q1,1492.00,1492.00,105.00,1387.00,0.00,0.00,1492.00,520.00,93.00,0.00,-11.00,474.00,12.00,1.00,0.00,185.00,138.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q2,1112.00,1112.00,-188.00,1300.00,0.00,0.00,1112.00,1025.00,-6.00,0.00,-1.00,-217.00,31.00,0.00,0.00,194.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q3,1401.00,1401.00,202.00,1199.00,0.00,0.00,1401.00,851.00,150.00,0.00,8.00,43.00,24.00,0.00,0.00,203.00,32.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q4,1029.00,1029.00,-91.00,1120.00,0.00,0.00,1029.00,814.00,10.00,0.00,16.00,-150.00,16.00,0.00,0.00,210.00,22.00,91.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q1,1235.00,1235.00,156.00,1079.00,0.00,0.00,1235.00,395.00,275.00,0.00,16.00,119.00,-20.00,1.00,0.00,201.00,155.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q2,921.00,921.00,-149.00,1070.00,0.00,0.00,921.00,867.00,-161.00,0.00,8.00,44.00,-14.00,1.00,0.00,188.00,-7.00,95.00,0.00,0.00,0.00,0.00,0.00,-100.00,0.00
1956:Q3,1185.00,1185.00,192.00,993.00,0.00,0.00,1185.00,872.00,-38.00,0.00,-4.00,134.00,-17.00,2.00,0.00,173.00,65.00,98.00,0.00,0.00,0.00,0.00,0.00,-100.00,0.00
1956:Q4,824.00,824.00,-105.00,929.00,0.00,0.00,824.00,592.00,47.00,0.00,-19.00,-65.00,-15.00,2.00,0.00,159.00,22.00,101.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q1,1063.00,1063.00,150.00,913.00,0.00,0.00,1063.00,637.00,77.00,0.00,-15.00,176.00,9.00,2.00,0.00,157.00,16.00,104.00,0.00,0.00,0.00,0.00,0.00,-100.00,0.00
1957:Q2,911.00,911.00,-166.00,1077.00,0.00,0.00,911.00,275.00,-16.00,0.00,9.00,240.00,0.00,2.00,0.00,160.00,33.00,108.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1957:Q3,1356.00,1356.00,247.00,1109.00,0.00,0.00,1356.00,714.00,107.00,0.00,40.00,195.00,-2.00,2.00,0.00,165.00,26.00,109.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q4,1177.00,1177.00,-56.00,1233.00,0.00,0.00,1177.00,325.00,-31.00,0.00,76.00,413.00,-15.00,2.00,0.00,171.00,28.00,108.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1958:Q1,1460.00,1460.00,211.00,1249.00,0.00,0.00,1460.00,531.00,-262.00,0.00,76.00,629.00,-3.00,2.00,0.00,169.00,84.00,109.00,0.00,0.00,0.00,0.00,0.00,125.00,0.00
1958:Q2,1143.00,1143.00,-116.00,1259.00,0.00,0.00,1143.00,-1065.00,465.00,0.00,39.00,1304.00,0.00,2.00,0.00,167.00,74.00,112.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00
1958:Q3,1541.00,1541.00,298.00,1243.00,0.00,0.00,1541.00,477.00,297.00,0.00,18.00,547.00,-1.00,2.00,0.00,169.00,79.00,108.00,0.00,0.00,0.00,0.00,0.00,-155.00,0.00
1958:Q4,1306.00,1306.00,22.00,1284.00,0.00,0.00,1306.00,822.00,-21.00,0.00,14.00,154.00,-4.00,2.00,0.00,176.00,68.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,1578.00,1578.00,263.00,1315.00,0.00,0.00,1578.00,845.00,0.00,0.00,8.00,230.00,-1.00,0.00,0.00,204.00,147.00,85.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
1959:Q2,1258.00,1258.00,-50.00,1308.00,0.00,0.00,1258.00,608.00,51.00,0.00,2.00,146.00,0.00,0.00,0.00,237.00,163.00,76.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00
1959:Q3,1939.00,1939.00,561.00,1378.00,0.00,0.00,1939.00,990.00,446.00,0.00,-9.00,92.00,0.00,0.00,0.00,265.00,157.00,68.00,0.00,0.00,0.00,0.00,0.00,-70.00,0.00
1959:Q4,1067.00,1067.00,-371.00,1438.00,0.00,0.00,1067.00,1304.00,-661.00,0.00,-24.00,-68.00,1.00,-2.00,0.00,284.00,52.00,59.00,0.00,0.00,0.00,0.00,0.00,122.00,0.00
1960:Q1,1587.00,1587.00,150.00,1437.00,0.00,0.00,1587.00,610.00,655.00,0.00,-26.00,-25.00,-1.00,1.00,0.00,261.00,84.00,54.00,0.00,0.00,0.00,0.00,0.00,-26.00,0.00
1960:Q2,1105.00,1105.00,-169.00,1274.00,0.00,0.00,1105.00,1100.00,-270.00,0.00,-14.00,-243.00,-1.00,1.00,0.00,227.00,73.00,51.00,0.00,0.00,0.00,0.00,0.00,181.00,0.00
1960:Q3,1571.00,1571.00,394.00,1177.00,0.00,0.00,1571.00,431.00,369.00,0.00,14.00,384.00,-3.00,1.00,0.00,192.00,153.00,37.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00
1960:Q4,1047.00,1047.00,-91.00,1138.00,0.00,0.00,1047.00,504.00,-166.00,0.00,59.00,446.00,-2.00,0.00,0.00,165.00,78.00,13.00,0.00,0.00,0.00,0.00,0.00,-50.00,0.00
1961:Q1,1449.00,1449.00,363.00,1086.00,0.00,0.00,1449.00,-238.00,398.00,0.00,59.00,894.00,4.00,1.00,0.00,190.00,105.00,-7.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00
1961:Q2,830.00,830.00,-337.00,1167.00,0.00,0.00,830.00,841.00,2.00,0.00,18.00,-333.00,3.00,1.00,0.00,227.00,35.00,-25.00,0.00,0.00,0.00,0.00,0.00,61.00,0.00
1961:Q3,1768.00,1768.00,392.00,1376.00,0.00,0.00,1768.00,-430.00,409.00,0.00,-17.00,1526.00,9.00,1.00,0.00,265.00,80.00,-44.00,0.00,0.00,0.00,0.00,0.00,-31.00,0.00
1961:Q4,1331.00,1331.00,-182.00,1513.00,0.00,0.00,1331.00,1326.00,-796.00,0.00,-44.00,694.00,-13.00,0.00,0.00,291.00,80.00,-67.00,0.00,0.00,0.00,0.00,0.00,-140.00,0.00
1962:Q1,1688.00,1688.00,208.00,1480.00,0.00,0.00,1688.00,-1037.00,981.00,0.00,-51.00,1326.00,36.00,0.00,0.00,224.00,151.00,-88.00,0.00,0.00,0.00,0.00,0.00,146.00,0.00
1962:Q2,1166.00,1166.00,-166.00,1332.00,0.00,0.00,1166.00,-85.00,-307.00,0.00,-33.00,1399.00,48.00,0.00,0.00,217.00,-15.00,-117.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00
1962:Q3,1349.00,1349.00,-55.00,1404.00,0.00,0.00,1349.00,468.00,-13.00,0.00,-37.00,909.00,6.00,0.00,0.00,208.00,49.00,-128.00,0.00,0.00,0.00,0.00,0.00,-113.00,0.00
1962:Q4,1248.00,1248.00,2.00,1246.00,0.00,0.00,1248.00,235.00,-359.00,0.00,-69.00,1331.00,-13.00,-1.00,0.00,199.00,-47.00,-126.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00
1963:Q1,1176.00,1176.00,-174.00,1350.00,0.00,0.00,1176.00,-422.00,669.00,0.00,-80.00,823.00,-5.00,4.00,0.00,193.00,3.00,-122.00,0.00,0.00,0.00,0.00,0.00,113.00,0.00
1963:Q2,1748.00,1748.00,438.00,1310.00,0.00,0.00,1748.00,-23.00,400.00,0.00,-59.00,1465.00,-21.00,7.00,0.00,191.00,-90.00,-129.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00
1963:Q3,1175.00,1175.00,59.00,1116.00,0.00,0.00,1175.00,-514.00,805.00,0.00,-48.00,1131.00,-43.00,7.00,0.00,176.00,-63.00,-127.00,0.00,0.00,0.00,0.00,0.00,-149.00,0.00
1963:Q4,1141.00,1141.00,123.00,1018.00,0.00,0.00,1141.00,966.00,-784.00,0.00,-52.00,1006.00,-19.00,3.00,0.00,147.00,-24.00,-122.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
1964:Q1,1137.00,1137.00,34.00,1103.00,0.00,0.00,1137.00,381.00,37.00,0.00,-53.00,772.00,-4.00,1.00,0.00,116.00,-9.00,-110.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00
1964:Q2,1771.00,1771.00,533.00,1238.00,0.00,0.00,1771.00,637.00,514.00,0.00,-38.00,644.00,1.00,0.00,0.00,83.00,-41.00,-105.00,0.00,0.00,0.00,0.00,0.00,76.00,0.00
1964:Q3,1812.00,1812.00,397.00,1415.00,0.00,0.00,1812.00,1026.00,-547.00,0.00,-18.00,1263.00,16.00,0.00,0.00,73.00,20.00,-98.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00
1964:Q4,1400.00,1400.00,-203.00,1603.00,0.00,0.00,1400.00,716.00,-111.00,0.00,-2.00,834.00,-3.00,-1.00,0.00,86.00,-48.00,-91.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00
1965:Q1,1501.00,1501.00,-200.00,1701.00,0.00,0.00,1501.00,-1083.00,1209.00,0.00,-2.00,1348.00,-1.00,2.00,0.00,79.00,-28.00,-80.00,0.00,0.00,0.00,0.00,0.00,57.00,0.00
1965:Q2,2197.00,2197.00,620.00,1577.00,0.00,0.00,2197.00,21.00,566.00,0.00,-14.00,1628.00,1.00,2.00,0.00,52.00,-72.00,-72.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00
1965:Q3,2047.00,2047.00,403.00,1644.00,0.00,0.00,2047.00,1123.00,-269.00,0.00,-18.00,1342.00,9.00,3.00,0.00,81.00,-79.00,-64.00,0.00,0.00,0.00,0.00,0.00,-81.00,0.00
1965:Q4,1492.00,1492.00,-205.00,1697.00,0.00,0.00,1492.00,1616.00,-586.00,0.00,-22.00,732.00,5.00,5.00,0.00,167.00,-65.00,-59.00,0.00,0.00,0.00,0.00,0.00,-301.00,0.00
1966:Q1,1445.00,1445.00,-232.00,1677.00,0.00,0.00,1445.00,1135.00,-532.00,0.00,-26.00,947.00,-6.00,7.00,0.00,77.00,9.00,-46.00,0.00,0.00,0.00,0.00,0.00,-120.00,0.00
1966:Q2,2299.00,2299.00,776.00,1523.00,0.00,0.00,2299.00,1112.00,-8.00,0.00,-22.00,976.00,-7.00,10.00,0.00,162.00,-173.00,-36.00,0.00,0.00,0.00,0.00,0.00,285.00,0.00
1966:Q3,1383.00,1383.00,185.00,1198.00,0.00,0.00,1383.00,280.00,446.00,0.00,-7.00,812.00,15.00,10.00,0.00,197.00,-46.00,-30.00,0.00,0.00,0.00,0.00,0.00,-294.00,0.00
1966:Q4,1109.00,1109.00,-68.00,1177.00,0.00,0.00,1109.00,2093.00,-867.00,0.00,13.00,-455.00,14.00,7.00,0.00,255.00,-60.00,-32.00,0.00,0.00,0.00,0.00,0.00,141.00,0.00
1967:Q1,1232.00,1232.00,-110.00,1342.00,0.00,0.00,1232.00,-1473.00,-294.00,0.00,8.00,2393.00,10.00,5.00,0.00,328.00,-43.00,-20.00,0.00,0.00,0.00,0.00,0.00,318.00,0.00
1967:Q2,2321.00,2321.00,943.00,1378.00,0.00,0.00,2321.00,-1357.00,-23.00,0.00,3.00,3473.00,29.00,3.00,0.00,417.00,-60.00,-19.00,0.00,0.00,0.00,0.00,0.00,-145.00,0.00
1967:Q3,2124.00,2124.00,816.00,1308.00,0.00,0.00,2124.00,932.00,-216.00,0.00,-9.00,1167.00,43.00,2.00,0.00,420.00,-28.00,-18.00,0.00,0.00,0.00,0.00,0.00,-169.00,0.00
1967:Q4,1474.00,1474.00,174.00,1300.00,0.00,0.00,1474.00,-1054.00,194.00,0.00,-2.00,1937.00,26.00,1.00,0.00,337.00,16.00,-18.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00
1968:Q1,1485.00,1485.00,74.00,1411.00,0.00,0.00,1485.00,-1071.00,990.00,0.00,-40.00,1336.00,-3.00,2.00,0.00,262.00,30.00,31.00,0.00,0.00,0.00,0.00,0.00,-52.00,0.00
1968:Q2,2149.00,2149.00,353.00,1796.00,0.00,0.00,2149.00,1033.00,-549.00,0.00,59.00,1279.00,-17.00,2.00,0.00,194.00,-2.00,-65.00,0.00,0.00,0.00,0.00,0.00,215.00,0.00
1968:Q3,1996.00,1996.00,-325.00,2321.00,0.00,0.00,1996.00,-445.00,-540.00,0.00,5.00,2808.00,-18.00,2.00,0.00,182.00,-4.00,12.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00
1968:Q4,2813.00,2813.00,41.00,2772.00,0.00,0.00,2813.00,-1131.00,581.00,0.00,22.00,3194.00,-13.00,29.00,0.00,223.00,25.00,-2.00,0.00,0.00,0.00,0.00,0.00,-115.00,0.00
1969:Q1,3671.00,3671.00,863.00,2808.00,0.00,0.00,3671.00,3545.00,-182.00,0.00,24.00,192.00,-1.00,8.00,0.00,248.00,36.00,4.00,0.00,0.00,0.00,0.00,0.00,-203.00,0.00
1969:Q2,3540.00,3540.00,1076.00,2464.00,0.00,0.00,3540.00,2231.00,-300.00,0.00,57.00,1324.00,-4.00,8.00,0.00,257.00,-6.00,-18.00,0.00,0.00,0.00,0.00,0.00,-9.00,0.00
1969:Q3,2711.00,2711.00,639.00,2072.00,0.00,0.00,2711.00,3036.00,-250.00,0.00,3.00,-353.00,-4.00,8.00,0.00,277.00,0.00,-20.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00
1969:Q4,1464.00,1464.00,188.00,1276.00,0.00,0.00,1464.00,1942.00,-250.00,0.00,-19.00,-529.00,11.00,7.00,0.00,311.00,-3.00,-17.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00
1970:Q1,2140.00,2140.00,309.00,1831.00,0.00,0.00,2140.00,835.00,-125.00,0.00,-28.00,987.00,-39.00,6.00,0.00,317.00,14.00,-23.00,0.00,0.00,0.00,0.00,0.00,196.00,0.00
1970:Q2,3340.00,3340.00,937.00,2403.00,0.00,0.00,3340.00,148.00,375.00,0.00,86.00,2730.00,23.00,3.00,0.00,297.00,-6.00,-149.00,0.00,0.00,0.00,0.00,0.00,-167.00,0.00
1970:Q3,2584.00,2584.00,106.00,2478.00,0.00,0.00,2584.00,315.00,-1125.00,0.00,2.00,2780.00,-3.00,5.00,0.00,371.00,43.00,-26.00,0.00,0.00,0.00,0.00,0.00,222.00,0.00
1970:Q4,3919.00,3919.00,991.00,2928.00,0.00,0.00,3919.00,-1398.00,250.00,0.00,88.00,3984.00,210.00,9.00,0.00,540.00,34.00,-101.00,0.00,0.00,0.00,0.00,0.00,303.00,0.00
1971:Q1,4245.00,4245.00,1134.00,3111.00,0.00,0.00,4245.00,-1047.00,250.00,0.00,-21.00,4498.00,-182.00,56.00,0.00,700.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00
1971:Q2,4240.00,4220.00,824.00,3396.00,0.00,20.00,4240.00,278.00,250.00,0.00,-32.00,3268.00,-17.00,13.00,0.00,854.00,25.00,2.00,0.00,0.00,0.00,0.00,0.00,-401.00,0.00
1971:Q3,3942.00,3909.00,610.00,3299.00,0.00,33.00,3942.00,189.00,250.00,0.00,-46.00,2132.00,8.00,-25.00,0.00,942.00,27.00,8.00,0.00,0.00,0.00,0.00,0.00,457.00,0.00
1971:Q4,3724.00,3691.00,-85.00,3776.00,0.00,33.00,3724.00,-594.00,250.00,0.00,-153.00,3105.00,-2.00,-27.00,0.00,964.00,-3.00,102.00,0.00,0.00,0.00,0.00,0.00,82.00,0.00
1972:Q1,4155.00,4115.00,471.00,3644.00,0.00,40.00,4155.00,589.00,250.00,0.00,-128.00,2621.00,-9.00,54.00,0.00,1027.00,-12.00,77.00,0.00,0.00,0.00,0.00,0.00,-314.00,0.00
1972:Q2,3551.00,3384.00,-484.00,3868.00,0.00,167.00,3551.00,350.00,250.00,0.00,-280.00,1803.00,-20.00,27.00,0.00,1131.00,0.00,237.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00
1972:Q3,3584.00,3411.00,204.00,3207.00,0.00,173.00,3584.00,272.00,250.00,0.00,213.00,2186.00,-15.00,-4.00,0.00,1137.00,11.00,-343.00,0.00,0.00,0.00,0.00,0.00,-123.00,0.00
1972:Q4,2876.00,2708.00,-139.00,2847.00,0.00,168.00,2876.00,501.00,250.00,0.00,-104.00,1002.00,12.00,-8.00,0.00,1044.00,5.00,-94.00,0.00,0.00,0.00,0.00,0.00,268.00,0.00
1973:Q1,3548.00,3166.00,377.00,2789.00,61.00,321.00,3548.00,2027.00,250.00,0.00,225.00,816.00,-1.00,3.00,0.00,987.00,-35.00,-407.00,0.00,0.00,0.00,0.00,0.00,-317.00,0.00
1973:Q2,3667.00,3049.00,-285.00,3334.00,83.00,535.00,3667.00,914.00,625.00,0.00,-5.00,1116.00,-1.00,3.00,0.00,967.00,42.00,-86.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00
1973:Q3,4059.00,3459.00,301.00,3158.00,111.00,489.00,4059.00,2653.00,-375.00,0.00,-91.00,752.00,26.00,27.00,0.00,900.00,22.00,114.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00
1973:Q4,4705.00,4109.00,-78.00,4187.00,145.00,451.00,4705.00,962.00,-637.00,0.00,100.00,2994.00,2.00,27.00,0.00,788.00,16.00,41.00,0.00,0.00,0.00,0.00,0.00,412.00,0.00
1974:Q1,4509.00,3920.00,-47.00,3967.00,178.00,411.00,4509.00,1493.00,531.00,0.00,-18.00,2046.00,24.00,90.00,0.00,656.00,73.00,154.00,0.00,0.00,0.00,0.00,0.00,-540.00,0.00
1974:Q2,4633.00,4000.00,608.00,3392.00,209.00,424.00,4633.00,1370.00,-11.00,0.00,404.00,2550.00,32.00,91.00,0.00,508.00,92.00,-401.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00
1974:Q3,4169.00,3597.00,1633.00,1964.00,241.00,331.00,4169.00,4495.00,35.00,0.00,87.00,-876.00,24.00,66.00,0.00,476.00,41.00,-196.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00
1974:Q4,1995.00,1241.00,515.00,726.00,272.00,482.00,1995.00,-230.00,61.00,0.00,51.00,1734.00,-30.00,-35.00,0.00,560.00,49.00,-265.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
1975:Q1,2168.00,1435.00,231.00,1204.00,303.00,430.00,2168.00,1624.00,390.00,0.00,-24.00,-121.00,18.00,25.00,0.00,594.00,29.00,-194.00,0.00,0.00,0.00,0.00,0.00,-173.00,0.00
1975:Q2,4081.00,2936.00,744.00,2192.00,334.00,811.00,4081.00,456.00,1067.00,0.00,-94.00,1962.00,32.00,12.00,0.00,579.00,87.00,-61.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00
1975:Q3,2669.00,1702.00,-1715.00,3417.00,366.00,601.00,2669.00,2118.00,-1877.00,0.00,731.00,427.00,13.00,38.00,0.00,645.00,382.00,178.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00
1975:Q4,6039.00,4884.00,481.00,4403.00,397.00,758.00,6039.00,1632.00,-573.00,0.00,1770.00,989.00,-30.00,37.00,0.00,793.00,343.00,1034.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00
1976:Q1,4135.00,3397.00,-1533.00,4930.00,431.00,307.00,4135.00,2948.00,-762.00,0.00,1162.00,-1950.00,-28.00,143.00,0.00,1363.00,506.00,253.00,0.00,0.00,0.00,0.00,0.00,500.00,0.00
1976:Q2,9707.00,8761.00,1758.00,7003.00,444.00,502.00,9707.00,4117.00,-610.00,0.00,869.00,3332.00,10.00,82.00,0.00,614.00,182.00,957.00,0.00,23.00,0.00,0.00,0.00,131.00,0.00
