date,FA893169005.Q,FA313069205.Q,FA153169203.Q,FA103169205.Q,FA113169205.Q,FA213169203.Q,FA403169283.Q,FA313069223.Q,FA503169205.Q,FA263169205.Q,FA263069500.Q,FA263069500.Q,FA763069703.Q,FA753069703.Q,FA103169705.Q,FA263169705.Q,FA733069005.Q,FA733069013.Q,FA733069023.Q,FA153169405.Q,FA313069403.Q,FA543069405.Q,FA403069330.Q,FA763169335.Q,FA473169333.Q,FA513169333.Q,FA543169373.Q,FA613169333.Q,FA643169373.Q,FA403069395.Q,FA153169305.Q,FA183169305.Q,FA113169305.Q,FA763169383.Q,FA673069505.Q,FA673069505.Q,FA613069500.Q,FA103169535.Q,FA113169535.Q,FA663067003.Q,FA663067003.Q,FA153067005.Q,FA153067005.Q,FA103169803.Q,FA153069803.Q,FA543069873.Q,FA653069803.Q,FA673069803.Q,FA663069803.Q,FA503069805.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1792.00,2311.00,0.00,-155.00,98.00,-21.00,0.00,0.00,0.00,2389.00,0.00,0.00,59.00,14.00,57.00,16.00,0.00,0.00,0.00,-70.00,-2.00,-68.00,96.00,96.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,1.00,53.00,0.00,0.00,0.00,-53.00,-48.00,-5.00,-658.00,-658.00,39.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,4171.00,4065.00,0.00,31.00,221.00,19.00,0.00,0.00,0.00,3794.00,0.00,0.00,27.00,7.00,-4.00,38.00,0.00,0.00,0.00,42.00,-1.00,43.00,131.00,131.00,0.00,0.00,0.00,0.00,0.00,167.00,0.00,3.00,164.00,0.00,0.00,0.00,-237.00,-213.00,-24.00,42.00,42.00,-73.00,-73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
