1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2002:Q4,-286784.00,-217852.00,18720.00,6640.00,-20771.00,282989.00,-6588.00,-8968.00,3339.00,-139264.00,62124.00,-27883.00,2356.00,-395127.00,68736.00,84764.00,-147320.00,29535.00,36724.00,3028.00,-21672.00,932.00,258597.00,8008.00,-29380.00,573.00,-38305.00,-15332.00,424.00,-57002.00,-36330.00,0.00,22304.00,9678.00,5536.00,-385981.00,61344.00,-139464.00
2003:Q1,416856.00,284182.00,23388.00,-9660.00,15916.00,-130068.00,-13536.00,8432.00,8676.00,184968.00,-40024.00,28614.00,-4884.00,683.00,59354.00,814.00,46691.00,-50357.00,44352.00,-3824.00,-14044.00,312.00,-165560.00,-3280.00,5840.00,-13075.00,81793.00,15700.00,4784.00,-59946.00,-41795.00,0.00,5428.00,61601.00,-1268.00,106662.00,73368.00,370164.00
2003:Q2,930859.00,45377.00,23388.00,-500.00,10550.00,206823.00,129964.00,4820.00,-4514.00,64548.00,4176.00,74530.00,3096.00,241066.00,131987.00,-4453.00,324404.00,-242912.00,46544.00,3544.00,30096.00,-272.00,212037.00,38916.00,-4436.00,-336.00,43668.00,-3168.00,2652.00,26675.00,-19017.00,0.00,35424.00,74329.00,1980.00,5016.00,73664.00,606455.00
2003:Q3,-87405.00,-248007.00,23388.00,260.00,-21783.00,157205.00,-90148.00,9520.00,-3180.00,-57260.00,-43576.00,266094.00,-548.00,-112903.00,-2206.00,35739.00,-157575.00,-274607.00,43616.00,140.00,-37660.00,1518.00,206430.00,-47336.00,-2112.00,-10205.00,-57002.00,-17480.00,5824.00,-4506.00,-50609.00,0.00,17964.00,18917.00,5260.00,11753.00,32520.00,70170.00
2003:Q4,-374538.00,-32901.00,23388.00,-336.00,-5899.00,85856.00,-23832.00,-9164.00,5950.00,-79428.00,-71204.00,-29410.00,8516.00,-106974.00,23593.00,-162693.00,134970.00,-26745.00,48504.00,1600.00,2352.00,3578.00,117249.00,-15068.00,-7976.00,-4784.00,18489.00,-6296.00,6296.00,-32899.00,-83690.00,0.00,15164.00,-4079.00,11028.00,46435.00,45812.00,-509508.00
2004:Q1,512164.00,133953.00,68768.00,1400.00,16340.00,26142.00,2508.00,14256.00,15228.00,188144.00,70392.00,96305.00,6828.00,18333.00,123681.00,-270115.00,817707.00,245798.00,230120.00,1620.00,2144.00,-588.00,-161793.00,-6224.00,1400.00,2660.00,89649.00,-372.00,4056.00,36623.00,202771.00,0.00,-20300.00,-31193.00,11520.00,167323.00,42492.00,-305543.00
2004:Q2,617506.00,450992.00,68768.00,1716.00,5935.00,-7125.00,-50256.00,7476.00,-239.00,-41032.00,-93620.00,-50718.00,-6128.00,353521.00,95635.00,-117419.00,601680.00,308028.00,230488.00,1404.00,11964.00,-3186.00,410003.00,18756.00,-3048.00,6340.00,-11155.00,23652.00,3780.00,-80226.00,-278734.00,0.00,-6252.00,-43178.00,8244.00,-39540.00,44340.00,15826.00
2004:Q3,713475.00,134119.00,68768.00,-1892.00,-7040.00,-103602.00,40672.00,14040.00,-9230.00,-5080.00,44708.00,5907.00,10980.00,-32147.00,335274.00,217997.00,849948.00,171802.00,229968.00,1592.00,3320.00,-22.00,176213.00,-2064.00,10024.00,-5043.00,-24191.00,-11020.00,50276.00,37620.00,67305.00,0.00,26680.00,-9845.00,9520.00,74317.00,43496.00,-136473.00
2004:Q4,810493.00,331607.00,68768.00,2724.00,-10600.00,571629.00,-1556.00,11480.00,1837.00,-98396.00,-49804.00,-110127.00,21480.00,-110748.00,140031.00,42169.00,1186238.00,308778.00,235144.00,912.00,7464.00,9926.00,523517.00,-5568.00,-4580.00,-4337.00,20957.00,2548.00,49680.00,37519.00,17650.00,5412.00,17832.00,15440.00,15040.00,-89585.00,22488.00,-375744.00
2005:Q1,306228.00,505512.00,142696.00,-7236.00,1216.00,151756.00,56808.00,1864.00,6497.00,74668.00,41840.00,-154239.00,-13884.00,-221352.00,-104976.00,-174941.00,283259.00,8513.00,252756.00,-2512.00,3488.00,-7702.00,-156058.00,-2224.00,1176.00,7786.00,31557.00,-5132.00,20012.00,-81443.00,-27794.00,4960.00,85384.00,-19364.00,11532.00,120515.00,37808.00,22970.00
2005:Q2,564865.00,850962.00,142700.00,14608.00,-15331.00,-89238.00,-6456.00,-2508.00,10315.00,-14884.00,-1236.00,24245.00,11664.00,38641.00,94135.00,-492752.00,902262.00,585479.00,253196.00,2176.00,2536.00,-2936.00,228770.00,12840.00,-1532.00,-3512.00,-11155.00,-8388.00,63728.00,-169594.00,-3652.00,116.00,-42364.00,-19283.00,11104.00,-23112.00,27844.00,-337398.00
2005:Q3,28173.00,604246.00,142696.00,-3216.00,-4064.00,-354629.00,91432.00,-2856.00,-1294.00,13676.00,-6180.00,72480.00,8044.00,77705.00,-378507.00,-231360.00,383562.00,445555.00,246164.00,3072.00,13224.00,-3204.00,-231346.00,9020.00,900.00,2755.00,14121.00,-9892.00,46240.00,71908.00,5404.00,2016.00,-194484.00,167683.00,8900.00,109042.00,-323516.00,-355389.00
2005:Q4,772888.00,509759.00,142696.00,16040.00,22768.00,251559.00,-99320.00,372.00,-5046.00,-122592.00,-45128.00,42734.00,12228.00,-315083.00,63624.00,298278.00,1354819.00,288449.00,252784.00,-168.00,6528.00,1120.00,324010.00,-5976.00,-192.00,-6046.00,4253.00,-2120.00,53924.00,141029.00,29526.00,4344.00,167376.00,61844.00,14776.00,-12421.00,31780.00,-581931.00
2006:Q1,1086240.00,359935.00,144608.00,-11296.00,12613.00,424516.00,60312.00,-3788.00,-1449.00,62120.00,40932.00,-72871.00,-9728.00,215809.00,-19103.00,-116369.00,1373801.00,565856.00,377768.00,508.00,92.00,-1426.00,232656.00,16112.00,3268.00,-7705.00,11143.00,-11628.00,48832.00,-38153.00,-29268.00,9372.00,-33596.00,-101850.00,-4440.00,318315.00,17944.00,-287561.00
2006:Q2,224064.00,695511.00,144608.00,16744.00,-48315.00,-133324.00,100452.00,456.00,-3735.00,-3424.00,48628.00,-21883.00,11232.00,128352.00,-12415.00,-698823.00,1109990.00,835217.00,376000.00,-184.00,6184.00,3940.00,78766.00,8960.00,9352.00,-15129.00,28658.00,-9504.00,52944.00,-204729.00,-91572.00,9616.00,18468.00,-58436.00,13884.00,-7746.00,55300.00,-885926.00
2006:Q3,664307.00,642715.00,144608.00,4844.00,-27422.00,-170321.00,-57404.00,-11740.00,1870.00,31904.00,-53580.00,-51581.00,12728.00,104218.00,113575.00,-20107.00,996784.00,334490.00,376020.00,2564.00,12128.00,-858.00,-79222.00,4996.00,-9332.00,21170.00,50496.00,18880.00,9940.00,123386.00,42855.00,4276.00,35120.00,-58314.00,2540.00,81188.00,24460.00,-332477.00
2006:Q4,135989.00,325988.00,144608.00,11948.00,68876.00,-318106.00,-28808.00,-3112.00,-7601.00,-15200.00,12200.00,75311.00,16576.00,-235740.00,280875.00,-191827.00,663386.00,150104.00,379188.00,1296.00,7692.00,-1376.00,-316624.00,-16724.00,-732.00,22399.00,69487.00,39152.00,9496.00,147627.00,-108120.00,10628.00,-32708.00,48445.00,19260.00,35936.00,198960.00,-527397.00
2007:Q1,1457417.00,948717.00,93888.00,-13384.00,13908.00,108891.00,75116.00,-4492.00,11596.00,80440.00,-23112.00,11269.00,-18024.00,533300.00,-163859.00,-196838.00,1587834.00,990477.00,325308.00,1124.00,10980.00,46.00,-20521.00,14788.00,1744.00,4181.00,-460.00,32208.00,8468.00,11703.00,-75830.00,8056.00,35520.00,-84529.00,-19776.00,334551.00,9796.00,-130418.00
2007:Q2,1781040.00,1124058.00,93888.00,22816.00,-48039.00,311829.00,26080.00,-3524.00,-12531.00,-9688.00,35996.00,12758.00,-4472.00,370696.00,1978.00,-140805.00,1283151.00,770089.00,325212.00,-960.00,6448.00,1566.00,9603.00,13912.00,9144.00,12115.00,49774.00,32204.00,10548.00,-190438.00,-139238.00,1208.00,67216.00,-57393.00,10664.00,323739.00,27740.00,497888.00
2007:Q3,962795.00,952913.00,93884.00,-3016.00,-29908.00,-228001.00,15948.00,-4540.00,-28459.00,78576.00,5188.00,-44075.00,19788.00,-434767.00,96302.00,472961.00,942672.00,553983.00,325600.00,2636.00,6820.00,2358.00,-11190.00,33152.00,-380.00,5764.00,-8837.00,32204.00,-2228.00,125049.00,15264.00,15008.00,-19476.00,-21983.00,-2296.00,-135081.00,26304.00,20123.00
2007:Q4,1384087.00,1285220.00,93888.00,-8792.00,59934.00,-199691.00,-17900.00,-34992.00,6934.00,-11228.00,11300.00,68095.00,21236.00,-386021.00,-19173.00,515275.00,918998.00,388231.00,329436.00,-1276.00,4544.00,1684.00,73375.00,-28484.00,13960.00,-2964.00,88072.00,32204.00,1964.00,173655.00,160820.00,11968.00,24916.00,19678.00,-6028.00,-423424.00,56668.00,465089.00
2008:Q1,438393.00,54643.00,114288.00,-19292.00,16098.00,49182.00,66904.00,2756.00,22489.00,69632.00,58076.00,-50746.00,-6424.00,-105432.00,77577.00,88643.00,-378673.00,-605768.00,100260.00,2780.00,1024.00,7798.00,289906.00,62956.00,2764.00,-1262.00,9011.00,376.00,-4748.00,-113990.00,51820.00,14932.00,-57244.00,-87207.00,7392.00,-142904.00,83432.00,817066.00
2008:Q2,87016.00,276656.00,114288.00,14040.00,-47569.00,-269819.00,-103984.00,2280.00,-22350.00,66808.00,-24348.00,61592.00,-5100.00,-57922.00,110563.00,-28118.00,-1002964.00,-616451.00,103084.00,-8300.00,-5940.00,-6408.00,-94980.00,-75736.00,3064.00,3115.00,-44375.00,376.00,1788.00,-213422.00,-57634.00,13136.00,3964.00,-12186.00,9968.00,-211550.00,205524.00,1089980.00
2008:Q3,-142503.00,159806.00,114288.00,-14232.00,-26924.00,-190567.00,45216.00,-15328.00,-14515.00,-193196.00,68908.00,-77712.00,9944.00,-372497.00,-127485.00,491792.00,-768313.00,-527174.00,99652.00,-86928.00,-11480.00,-7714.00,21854.00,43884.00,-2708.00,-15135.00,-25484.00,376.00,-36864.00,7410.00,52961.00,7936.00,-82528.00,-34306.00,6328.00,-68826.00,-109568.00,625810.00
2008:Q4,1234405.00,571518.00,114284.00,18172.00,58432.00,-621039.00,170176.00,-5048.00,18777.00,84128.00,88092.00,93014.00,-9316.00,-570480.00,569097.00,654599.00,-273166.00,-747719.00,108724.00,-25044.00,-5628.00,10090.00,-54329.00,-18880.00,-7068.00,7078.00,170552.00,376.00,-41020.00,182131.00,482565.00,6268.00,-34520.00,49075.00,-26928.00,-677258.00,348368.00,1507571.00
2009:Q1,1074134.00,-195494.00,32648.00,-22504.00,25753.00,117039.00,-109916.00,4824.00,70505.00,-98476.00,126584.00,-31728.00,2724.00,694503.00,78566.00,379106.00,-220577.00,-332362.00,-78824.00,10780.00,-8292.00,26102.00,66478.00,4092.00,-4260.00,-7996.00,-33195.00,27840.00,-30176.00,-54994.00,-163921.00,58352.00,42152.00,612.00,29440.00,55727.00,171868.00,1294710.00
