1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1981:Q4,-20.00,0.00,0.00,-9.00,0.00,-5.00,-4.00,-11.00,-37.00,-11.00,-16.00,-28.00,12.00,4.00,8.00,-10.00
1982:Q1,76.00,0.00,0.00,19.00,0.00,10.00,9.00,57.00,52.00,-4.00,-10.00,-32.00,22.00,7.00,15.00,66.00
1982:Q2,11.00,0.00,0.00,19.00,0.00,10.00,9.00,-8.00,-15.00,-4.00,57.00,23.00,34.00,11.00,23.00,-68.00
1982:Q3,63.00,0.00,0.00,20.00,0.00,10.00,10.00,43.00,28.00,-4.00,55.00,21.00,34.00,12.00,22.00,-23.00
1982:Q4,42.00,0.00,0.00,20.00,0.00,11.00,9.00,22.00,-12.00,-4.00,26.00,3.00,23.00,7.00,16.00,-34.00
1983:Q1,40.00,0.00,0.00,-15.00,-1.00,3.00,-17.00,55.00,-23.00,3.00,9.00,-6.00,15.00,5.00,10.00,-35.00
1983:Q2,19.00,0.00,0.00,-13.00,0.00,4.00,-17.00,32.00,-46.00,2.00,-75.00,-84.00,9.00,3.00,6.00,27.00
1983:Q3,-36.00,0.00,0.00,-14.00,0.00,3.00,-17.00,-22.00,-127.00,2.00,-51.00,-55.00,4.00,1.00,3.00,-78.00
1983:Q4,119.00,0.00,0.00,-12.00,0.00,4.00,-16.00,131.00,-29.00,3.00,-68.00,-65.00,-3.00,-1.00,-2.00,36.00
1984:Q1,828.00,0.00,0.00,107.00,0.00,38.00,69.00,721.00,608.00,408.00,92.00,9.00,83.00,28.00,55.00,108.00
1984:Q2,1006.00,0.00,0.00,109.00,0.00,35.00,74.00,897.00,699.00,415.00,155.00,19.00,136.00,45.00,91.00,129.00
1984:Q3,1015.00,0.00,0.00,108.00,0.00,38.00,70.00,907.00,711.00,415.00,143.00,13.00,130.00,43.00,87.00,153.00
1984:Q4,878.00,0.00,0.00,79.00,0.00,31.00,48.00,799.00,671.00,455.00,67.00,5.00,62.00,20.00,42.00,149.00
1985:Q1,288.00,0.00,0.00,49.00,0.00,13.00,36.00,239.00,159.00,177.00,19.00,9.00,10.00,3.00,7.00,-37.00
