1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q2,14696.00,3565.00,1739.00,3885.00,35.00,239.00,3611.00,5507.00,28357.00,8650.00,18032.00,3081.00,14951.00,-624.00,15575.00,1675.00
2013:Q3,2753.00,4037.00,-123.00,-1036.00,1.00,-54.00,-983.00,-125.00,2472.00,8175.00,-5809.00,4713.00,-10522.00,-406.00,-10116.00,106.00
2013:Q4,4232.00,-4619.00,-465.00,1347.00,1.00,-152.00,1498.00,7969.00,26192.00,16231.00,7443.00,-2840.00,10283.00,-564.00,10847.00,2518.00
2014:Q1,8207.00,-838.00,-115.00,1008.00,-1.00,-29.00,1038.00,8152.00,13823.00,8477.00,5011.00,2166.00,2845.00,-371.00,3216.00,335.00
2014:Q2,10881.00,3987.00,58.00,177.00,-4.00,-9.00,190.00,6659.00,18390.00,16482.00,-1443.00,-3080.00,1637.00,700.00,937.00,3351.00
2014:Q3,-4458.00,-186.00,-150.00,-469.00,1.00,-33.00,-437.00,-3653.00,5039.00,3089.00,1036.00,3501.00,-2465.00,-62.00,-2403.00,914.00
2014:Q4,1095.00,3.00,687.00,1890.00,5.00,3.00,1882.00,-1485.00,12376.00,740.00,10889.00,3635.00,7254.00,1102.00,6152.00,747.00
2015:Q1,7633.00,-531.00,724.00,109.00,43.00,10.00,56.00,7331.00,16074.00,7286.00,8323.00,4231.00,4092.00,781.00,3311.00,465.00
2015:Q2,-1920.00,-3237.00,-1118.00,346.00,-37.00,-12.00,395.00,2089.00,18527.00,8148.00,8310.00,4985.00,3325.00,808.00,2517.00,2069.00
2015:Q3,6543.00,2845.00,285.00,535.00,3.00,43.00,489.00,2878.00,17847.00,9736.00,5314.00,1726.00,3588.00,-522.00,4110.00,2797.00
2015:Q4,-5840.00,-1345.00,-311.00,-905.00,-2.00,36.00,-939.00,-3279.00,-7182.00,5355.00,-10811.00,-3820.00,-6991.00,-1346.00,-5645.00,-1726.00
2016:Q1,4181.00,434.00,-154.00,-1216.00,6.00,24.00,-1246.00,5117.00,4397.00,6366.00,-1728.00,-962.00,-766.00,49.00,-815.00,-241.00
2016:Q2,10704.00,3346.00,133.00,1101.00,18.00,53.00,1030.00,6124.00,9265.00,12583.00,-8672.00,-4177.00,-4495.00,535.00,-5030.00,5354.00
2016:Q3,-1686.00,-391.00,173.00,-633.00,17.00,25.00,-675.00,-835.00,-2448.00,2379.00,-7495.00,-839.00,-6656.00,363.00,-7019.00,2668.00
