1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q2,93498.00,0.00,39400.00,ND,ND,-16514.00,ND,ND,0.00,0.00,0.00,0.00,5200.00,65824.00,-412.00,0.00,43442.00,-260.00,-10536.00,2268.00,-39144.00,ND,ND,35120.00,ND,ND,-2381.00,ND,ND,0.00,0.00,-5544.00,10040.00,-3428.00,1544.00,31368.00,0.00,33304.00,1176.00,0.00,-10084.00,50056.00,0.00,0.00,0.00
1994:Q3,201360.00,0.00,61128.00,ND,ND,-3428.00,ND,ND,0.00,0.00,0.00,0.00,6000.00,137360.00,300.00,0.00,181865.00,728.00,-29748.00,-9748.00,-9948.00,ND,ND,-5732.00,ND,ND,1158.00,ND,ND,0.00,0.00,-7428.00,8736.00,4043.00,7140.00,29880.00,0.00,115108.00,-352.00,0.00,78028.00,19495.00,0.00,0.00,0.00
1994:Q4,-408102.00,0.00,48988.00,ND,ND,9778.00,ND,ND,0.00,0.00,0.00,0.00,1388.00,-468124.00,-132.00,0.00,-391376.00,-2072.00,1148.00,-4392.00,27904.00,ND,ND,42252.00,ND,ND,-6914.00,ND,ND,0.00,0.00,-7032.00,10928.00,2786.00,-2888.00,66112.00,0.00,-406672.00,1456.00,0.00,-113992.00,-16726.00,0.00,0.00,0.00
1995:Q1,327676.00,0.00,35800.00,ND,ND,-7348.00,ND,ND,0.00,0.00,0.00,0.00,772.00,298164.00,288.00,0.00,222283.00,6116.00,-35440.00,32336.00,31364.00,ND,ND,-73324.00,ND,ND,-10029.00,ND,ND,0.00,0.00,288.00,6776.00,-3216.00,676.00,26108.00,0.00,201856.00,-1196.00,0.00,39968.00,105393.00,0.00,0.00,0.00
1995:Q2,210957.00,0.00,26240.00,ND,ND,16661.00,ND,ND,0.00,0.00,0.00,0.00,1804.00,158640.00,7612.00,0.00,316859.00,21248.00,-34720.00,21740.00,48484.00,ND,ND,9320.00,ND,ND,6440.00,ND,ND,0.00,0.00,284.00,6952.00,36823.00,10524.00,44264.00,0.00,121224.00,756.00,0.00,23520.00,-105902.00,0.00,0.00,0.00
1995:Q3,125955.00,0.00,57400.00,ND,ND,-533.00,ND,ND,0.00,0.00,0.00,0.00,1028.00,75924.00,-7864.00,0.00,62180.00,-20992.00,18668.00,-24500.00,-34384.00,ND,ND,22716.00,ND,ND,7139.00,ND,ND,0.00,0.00,292.00,-7496.00,12804.00,-7140.00,16688.00,0.00,65280.00,-1740.00,0.00,14844.00,63776.00,0.00,0.00,0.00
1995:Q4,113007.00,0.00,-58636.00,ND,ND,651.00,ND,ND,0.00,0.00,0.00,0.00,1112.00,169136.00,744.00,0.00,209122.00,-5324.00,39672.00,-16492.00,110636.00,ND,ND,11876.00,ND,ND,-2891.00,ND,ND,0.00,0.00,280.00,8376.00,30245.00,5388.00,-5116.00,0.00,25428.00,1304.00,0.00,5740.00,-96115.00,0.00,0.00,0.00
1996:Q1,192477.00,0.00,-22484.00,ND,ND,12601.00,ND,ND,0.00,0.00,0.00,0.00,1116.00,201732.00,-488.00,0.00,238911.00,-48.00,79660.00,25452.00,-46020.00,ND,ND,-36696.00,ND,ND,-3103.00,ND,ND,0.00,0.00,4092.00,-20196.00,17566.00,-1236.00,-9224.00,0.00,210096.00,-1056.00,0.00,19624.00,-46434.00,0.00,0.00,0.00
1996:Q2,101751.00,0.00,-15992.00,ND,ND,22975.00,ND,ND,0.00,0.00,0.00,0.00,1560.00,93204.00,4.00,0.00,150291.00,7576.00,32828.00,12380.00,-59836.00,ND,ND,9896.00,ND,ND,-4103.00,ND,ND,0.00,0.00,4084.00,7004.00,8606.00,4080.00,-2172.00,0.00,114376.00,136.00,0.00,15436.00,-48541.00,0.00,0.00,0.00
1996:Q3,39898.00,0.00,-8192.00,ND,ND,14382.00,ND,ND,0.00,0.00,0.00,0.00,1860.00,32160.00,-312.00,0.00,9177.00,1408.00,1524.00,8564.00,-8648.00,ND,ND,-31088.00,ND,ND,-7441.00,ND,ND,0.00,0.00,4088.00,-2424.00,10291.00,7056.00,280.00,0.00,26164.00,-912.00,0.00,316.00,30721.00,0.00,0.00,0.00
