1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q4,2904.00,2022.00,531.00,0.00,0.00,0.00,1491.00,0.00,0.00,1491.00,0.00,0.00,0.00,882.00,706.00,176.00,2904.00,1072.00,291.00,0.00,0.00,707.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,0.00,0.00,77.00,584.00
1955:Q1,3112.00,2297.00,500.00,0.00,0.00,0.00,1797.00,0.00,0.00,1797.00,0.00,0.00,0.00,815.00,652.00,163.00,3112.00,1362.00,281.00,0.00,0.00,631.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,94.00,567.00
1955:Q2,3047.00,2385.00,380.00,0.00,0.00,0.00,2005.00,0.00,0.00,2005.00,0.00,0.00,0.00,662.00,530.00,132.00,3047.00,1457.00,352.00,0.00,16.00,502.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00,0.00,91.00,457.00
1955:Q3,3020.00,2342.00,371.00,0.00,0.00,0.00,1971.00,0.00,0.00,1971.00,0.00,0.00,0.00,678.00,542.00,136.00,3020.00,1503.00,245.00,0.00,19.00,525.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,104.00,0.00,0.00,104.00,460.00
1955:Q4,2749.00,2101.00,362.00,0.00,0.00,0.00,1739.00,0.00,0.00,1739.00,0.00,0.00,0.00,648.00,518.00,130.00,2749.00,1354.00,217.00,0.00,24.00,457.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00,0.00,91.00,439.00
1956:Q1,3326.00,2659.00,362.00,0.00,0.00,0.00,2297.00,0.00,0.00,2297.00,0.00,0.00,0.00,667.00,534.00,133.00,3326.00,1832.00,171.00,0.00,15.00,493.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,135.00,0.00,0.00,135.00,476.00
1956:Q2,3221.00,2530.00,289.00,0.00,0.00,0.00,2241.00,0.00,0.00,2241.00,0.00,0.00,0.00,691.00,553.00,138.00,3221.00,1682.00,325.00,0.00,18.00,442.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,98.00,486.00
1956:Q3,3401.00,2588.00,401.00,0.00,0.00,0.00,2187.00,0.00,0.00,2187.00,0.00,0.00,0.00,813.00,650.00,163.00,3401.00,1601.00,371.00,0.00,17.00,528.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,120.00,579.00
1956:Q4,3227.00,2250.00,378.00,0.00,0.00,0.00,1872.00,0.00,0.00,1872.00,0.00,0.00,0.00,977.00,782.00,195.00,3227.00,1420.00,305.00,0.00,34.00,500.00,81.00,0.00,0.00,0.00,0.00,0.00,0.00,108.00,0.00,0.00,108.00,671.00
1957:Q1,3793.00,2764.00,353.00,0.00,0.00,0.00,2411.00,0.00,0.00,2411.00,0.00,0.00,0.00,1029.00,823.00,206.00,3793.00,1836.00,355.00,0.00,23.00,482.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,121.00,0.00,0.00,120.00,787.00
1957:Q2,3515.00,2526.00,320.00,0.00,0.00,0.00,2206.00,0.00,0.00,2206.00,0.00,0.00,0.00,989.00,791.00,198.00,3515.00,1617.00,349.00,0.00,23.00,433.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,126.00,0.00,0.00,126.00,773.00
1957:Q3,3845.00,2636.00,364.00,0.00,0.00,0.00,2272.00,0.00,0.00,2272.00,0.00,0.00,0.00,1209.00,967.00,242.00,3845.00,1713.00,345.00,0.00,17.00,516.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00,0.00,0.00,119.00,967.00
1957:Q4,4066.00,2746.00,422.00,0.00,0.00,0.00,2324.00,0.00,0.00,2324.00,0.00,0.00,0.00,1320.00,1056.00,264.00,4066.00,1715.00,435.00,0.00,43.00,610.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,123.00,0.00,0.00,123.00,954.00
1958:Q1,5152.00,3608.00,716.00,0.00,0.00,0.00,2892.00,0.00,0.00,2892.00,0.00,0.00,0.00,1544.00,1235.00,309.00,5152.00,1979.00,746.00,0.00,29.00,973.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,153.00,0.00,0.00,153.00,1067.00
1958:Q2,4873.00,3507.00,791.00,0.00,0.00,0.00,2716.00,0.00,0.00,2716.00,0.00,0.00,0.00,1366.00,1093.00,273.00,4873.00,2034.00,455.00,0.00,35.00,1013.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,183.00,0.00,0.00,183.00,911.00
1958:Q3,4573.00,3279.00,795.00,0.00,0.00,0.00,2484.00,0.00,0.00,2484.00,0.00,0.00,0.00,1294.00,1035.00,259.00,4573.00,2064.00,224.00,0.00,18.00,1013.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,172.00,0.00,0.00,171.00,868.00
1958:Q4,4053.00,2847.00,658.00,0.00,0.00,0.00,2189.00,0.00,0.00,2189.00,0.00,0.00,0.00,1206.00,965.00,241.00,4053.00,1817.00,210.00,0.00,43.00,818.00,72.00,0.00,0.00,17.00,0.00,0.00,0.00,117.00,0.00,0.00,116.00,843.00
1959:Q1,4444.00,3379.00,652.00,0.00,0.00,0.00,2727.00,0.00,0.00,2727.00,0.00,0.00,0.00,1065.00,852.00,213.00,4444.00,1866.00,502.00,0.00,12.00,822.00,67.00,0.00,0.00,124.00,0.00,0.00,0.00,149.00,0.00,0.00,149.00,753.00
1959:Q2,4494.00,3501.00,458.00,0.00,0.00,0.00,3043.00,0.00,0.00,3043.00,0.00,0.00,0.00,993.00,794.00,199.00,4494.00,1883.00,622.00,0.00,6.00,656.00,67.00,0.00,0.00,215.00,0.00,0.00,0.00,151.00,0.00,0.00,150.00,744.00
1959:Q3,4412.00,3448.00,527.00,0.00,0.00,0.00,2921.00,0.00,0.00,2921.00,0.00,0.00,0.00,964.00,771.00,193.00,4412.00,2064.00,240.00,0.00,0.00,752.00,54.00,0.00,0.00,200.00,0.00,0.00,0.00,187.00,0.00,0.00,186.00,729.00
1959:Q4,4365.00,3202.00,315.00,0.00,0.00,0.00,2887.00,0.00,0.00,2887.00,0.00,0.00,0.00,1163.00,930.00,233.00,4365.00,1607.00,742.00,0.00,44.00,711.00,82.00,0.00,0.00,118.00,0.00,0.00,0.00,152.00,0.00,0.00,152.00,757.00
1960:Q1,5875.00,4495.00,427.00,0.00,0.00,0.00,4068.00,0.00,0.00,4068.00,0.00,0.00,0.00,1380.00,1104.00,276.00,5875.00,2740.00,740.00,0.00,7.00,755.00,53.00,0.00,0.00,137.00,0.00,0.00,0.00,180.00,0.00,0.00,180.00,1083.00
1960:Q2,6023.00,4627.00,547.00,0.00,0.00,0.00,4080.00,0.00,0.00,4080.00,0.00,0.00,0.00,1396.00,1117.00,279.00,6023.00,2779.00,757.00,0.00,5.00,826.00,61.00,0.00,0.00,176.00,0.00,0.00,0.00,189.00,0.00,0.00,189.00,1041.00
1960:Q3,6413.00,4728.00,782.00,0.00,0.00,0.00,3946.00,0.00,0.00,3946.00,0.00,0.00,0.00,1685.00,1348.00,337.00,6413.00,2843.00,648.00,0.00,8.00,959.00,55.00,0.00,0.00,249.00,0.00,0.00,0.00,209.00,0.00,0.00,208.00,1234.00
1960:Q4,6544.00,4497.00,769.00,0.00,0.00,0.00,3728.00,0.00,0.00,3728.00,0.00,0.00,0.00,2047.00,1638.00,409.00,6544.00,2550.00,788.00,0.00,54.00,1114.00,99.00,0.00,0.00,294.00,0.00,0.00,0.00,177.00,0.00,0.00,177.00,1291.00
1961:Q1,7331.00,5078.00,623.00,0.00,0.00,0.00,4455.00,0.00,0.00,4455.00,0.00,0.00,0.00,2253.00,1802.00,451.00,7331.00,3048.00,562.00,0.00,35.00,1321.00,182.00,0.00,0.00,360.00,0.00,0.00,0.00,240.00,0.00,0.00,240.00,1343.00
1961:Q2,7230.00,4936.00,726.00,0.00,0.00,0.00,4210.00,0.00,0.00,4210.00,0.00,0.00,0.00,2294.00,1835.00,459.00,7230.00,2960.00,613.00,0.00,26.00,1413.00,167.00,0.00,0.00,324.00,0.00,0.00,0.00,203.00,0.00,0.00,202.00,1322.00
1961:Q3,7321.00,4875.00,1017.00,0.00,0.00,0.00,3858.00,0.00,0.00,3858.00,0.00,0.00,0.00,2446.00,1957.00,489.00,7321.00,2911.00,245.00,0.00,23.00,1697.00,160.00,0.00,0.00,332.00,0.00,0.00,0.00,256.00,0.00,0.00,256.00,1441.00
1961:Q4,7396.00,4686.00,1094.00,0.00,0.00,0.00,3592.00,0.00,0.00,3592.00,0.00,0.00,0.00,2710.00,2168.00,542.00,7396.00,2188.00,1089.00,0.00,48.00,2019.00,151.00,0.00,0.00,193.00,0.00,0.00,0.00,174.00,0.00,0.00,174.00,1360.00
1962:Q1,8238.00,5715.00,1131.00,0.00,0.00,0.00,4584.00,0.00,0.00,4584.00,0.00,0.00,0.00,2523.00,2018.00,505.00,8238.00,3090.00,562.00,0.00,21.00,1908.00,128.00,0.00,0.00,513.00,0.00,0.00,0.00,316.00,0.00,0.00,316.00,1384.00
1962:Q2,8230.00,5865.00,1092.00,0.00,0.00,0.00,4773.00,0.00,0.00,4773.00,0.00,0.00,0.00,2365.00,1892.00,473.00,8230.00,3105.00,907.00,0.00,40.00,1687.00,145.00,0.00,0.00,521.00,0.00,0.00,0.00,254.00,0.00,0.00,254.00,1317.00
1962:Q3,8881.00,6577.00,1363.00,0.00,0.00,0.00,5214.00,0.00,0.00,5214.00,0.00,0.00,0.00,2304.00,1843.00,461.00,8881.00,3342.00,1079.00,0.00,14.00,1826.00,139.00,0.00,0.00,643.00,0.00,0.00,0.00,273.00,0.00,0.00,272.00,1293.00
1962:Q4,8676.00,6000.00,1198.00,0.00,0.00,0.00,4802.00,0.00,0.00,4802.00,0.00,0.00,0.00,2676.00,2141.00,535.00,8676.00,2993.00,1304.00,0.00,52.00,1867.00,148.00,0.00,0.00,347.00,0.00,0.00,0.00,289.00,0.00,0.00,289.00,1387.00
1963:Q1,9716.00,7101.00,1214.00,0.00,0.00,0.00,5887.00,0.00,0.00,5887.00,0.00,0.00,0.00,2615.00,2092.00,523.00,9716.00,3850.00,1092.00,0.00,29.00,1982.00,163.00,0.00,0.00,599.00,0.00,0.00,0.00,316.00,0.00,0.00,315.00,1370.00
1963:Q2,9977.00,7253.00,987.00,0.00,0.00,0.00,6266.00,0.00,0.00,6266.00,0.00,0.00,0.00,2724.00,2179.00,545.00,9977.00,4362.00,1008.00,0.00,23.00,1928.00,165.00,0.00,0.00,487.00,0.00,0.00,0.00,289.00,0.00,0.00,288.00,1427.00
1963:Q3,9922.00,7186.00,1111.00,0.00,0.00,0.00,6075.00,0.00,0.00,6075.00,0.00,0.00,0.00,2736.00,2189.00,547.00,9922.00,4754.00,445.00,0.00,16.00,1791.00,157.00,0.00,0.00,619.00,0.00,0.00,0.00,286.00,0.00,0.00,286.00,1568.00
1963:Q4,9709.00,6790.00,968.00,0.00,0.00,0.00,5822.00,0.00,0.00,5822.00,0.00,0.00,0.00,2919.00,2335.00,584.00,9709.00,4196.00,969.00,0.00,70.00,1885.00,159.00,0.00,0.00,380.00,0.00,0.00,0.00,307.00,0.00,0.00,306.00,1437.00
1964:Q1,10923.00,7790.00,948.00,0.00,0.00,0.00,6842.00,0.00,0.00,6842.00,0.00,0.00,0.00,3133.00,2506.00,627.00,10923.00,4649.00,1341.00,0.00,40.00,2045.00,180.00,0.00,0.00,506.00,0.00,0.00,0.00,290.00,0.00,0.00,290.00,1582.00
1964:Q2,11276.00,8096.00,889.00,0.00,0.00,0.00,7207.00,0.00,0.00,7207.00,0.00,0.00,0.00,3180.00,2544.00,636.00,11276.00,5403.00,1058.00,0.00,23.00,1955.00,176.00,0.00,0.00,297.00,0.00,0.00,0.00,334.00,0.00,0.00,334.00,1696.00
1964:Q3,11735.00,8528.00,1081.00,0.00,0.00,0.00,7447.00,0.00,0.00,7447.00,0.00,0.00,0.00,3207.00,2566.00,641.00,11735.00,5042.00,1729.00,0.00,59.00,2166.00,188.00,0.00,0.00,373.00,0.00,0.00,0.00,263.00,0.00,0.00,262.00,1653.00
1964:Q4,11861.00,8442.00,1125.00,0.00,0.00,0.00,7317.00,0.00,0.00,7317.00,0.00,0.00,0.00,3419.00,2735.00,684.00,11861.00,5173.00,1694.00,0.00,59.00,2338.00,167.00,0.00,0.00,248.00,0.00,0.00,0.00,281.00,0.00,0.00,281.00,1620.00
1965:Q1,12535.00,9177.00,847.00,0.00,0.00,0.00,8330.00,0.00,0.00,8330.00,0.00,0.00,0.00,3358.00,2686.00,672.00,12535.00,6231.00,995.00,0.00,93.00,1863.00,221.00,0.00,0.00,474.00,0.00,0.00,0.00,387.00,0.00,0.00,386.00,1885.00
1965:Q2,12891.00,9502.00,727.00,0.00,0.00,0.00,8775.00,0.00,0.00,8775.00,0.00,0.00,0.00,3389.00,2711.00,678.00,12891.00,6710.00,678.00,0.00,3.00,2057.00,196.00,0.00,0.00,579.00,0.00,0.00,0.00,405.00,0.00,0.00,404.00,1859.00
1965:Q3,13210.00,9863.00,926.00,0.00,0.00,0.00,8937.00,0.00,0.00,8937.00,0.00,0.00,0.00,3347.00,2678.00,669.00,13210.00,6422.00,893.00,0.00,11.00,2129.00,199.00,0.00,0.00,741.00,0.00,0.00,0.00,438.00,0.00,0.00,437.00,1940.00
1965:Q4,12726.00,9300.00,797.00,0.00,0.00,0.00,8503.00,0.00,0.00,8503.00,0.00,0.00,0.00,3426.00,2741.00,685.00,12726.00,6044.00,1370.00,0.00,75.00,1787.00,183.00,0.00,0.00,293.00,0.00,0.00,0.00,496.00,0.00,0.00,496.00,1982.00
1966:Q1,14456.00,11034.00,820.00,0.00,0.00,0.00,10214.00,0.00,0.00,10214.00,0.00,0.00,0.00,3422.00,2738.00,684.00,14456.00,6752.00,2375.00,0.00,30.00,1827.00,204.00,0.00,0.00,286.00,0.00,0.00,0.00,493.00,0.00,0.00,493.00,1996.00
1966:Q2,14545.00,11091.00,861.00,0.00,0.00,0.00,10230.00,0.00,0.00,10230.00,0.00,0.00,0.00,3454.00,2763.00,691.00,14545.00,6728.00,2473.00,0.00,138.00,1499.00,201.00,0.00,0.00,219.00,0.00,0.00,0.00,583.00,0.00,0.00,583.00,2121.00
1966:Q3,15527.00,12123.00,1466.00,0.00,0.00,0.00,10657.00,0.00,0.00,10657.00,0.00,0.00,0.00,3404.00,2723.00,681.00,15527.00,7463.00,1952.00,0.00,48.00,1562.00,229.00,0.00,0.00,298.00,0.00,0.00,0.00,794.00,0.00,0.00,793.00,2388.00
1966:Q4,17284.00,13645.00,1622.00,0.00,0.00,0.00,12023.00,0.00,0.00,12023.00,0.00,0.00,0.00,3639.00,2911.00,728.00,17284.00,8294.00,2852.00,0.00,69.00,1703.00,240.00,0.00,0.00,380.00,0.00,0.00,0.00,767.00,0.00,0.00,767.00,2212.00
1967:Q1,20234.00,16493.00,2677.00,0.00,0.00,0.00,13816.00,0.00,0.00,13816.00,0.00,0.00,0.00,3741.00,2993.00,748.00,20234.00,9855.00,3495.00,0.00,0.00,2360.00,278.00,0.00,0.00,553.00,0.00,0.00,0.00,733.00,0.00,0.00,732.00,2228.00
1967:Q2,20779.00,16607.00,3242.00,0.00,0.00,0.00,13365.00,0.00,0.00,13365.00,0.00,0.00,0.00,4172.00,3338.00,834.00,20779.00,9807.00,3418.00,0.00,36.00,2552.00,266.00,0.00,0.00,865.00,0.00,0.00,0.00,801.00,0.00,0.00,800.00,2234.00
1967:Q3,20941.00,16754.00,3264.00,0.00,0.00,0.00,13490.00,0.00,0.00,13490.00,0.00,0.00,0.00,4187.00,3350.00,837.00,20941.00,9031.00,3916.00,0.00,60.00,2816.00,275.00,0.00,0.00,1138.00,0.00,0.00,0.00,775.00,0.00,0.00,775.00,2155.00
1967:Q4,21445.00,17085.00,3034.00,0.00,0.00,0.00,14051.00,0.00,0.00,14051.00,0.00,0.00,0.00,4360.00,3488.00,872.00,21445.00,10135.00,3952.00,0.00,75.00,2650.00,261.00,0.00,0.00,480.00,0.00,0.00,0.00,823.00,0.00,0.00,822.00,2247.00
1968:Q1,23506.00,19127.00,3482.00,0.00,0.00,0.00,15645.00,0.00,0.00,15645.00,0.00,0.00,0.00,4379.00,3503.00,876.00,23506.00,10576.00,3819.00,0.00,100.00,2935.00,286.00,0.00,0.00,676.00,0.00,0.00,0.00,1376.00,0.00,0.00,1376.00,2362.00
1968:Q2,23840.00,19511.00,3400.00,0.00,0.00,0.00,16111.00,0.00,0.00,16111.00,0.00,0.00,0.00,4329.00,3463.00,866.00,23840.00,10809.00,4603.00,0.00,134.00,2620.00,303.00,0.00,0.00,670.00,0.00,0.00,0.00,1113.00,0.00,0.00,1113.00,2475.00
