1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1998:Q2,83030.00,4842.00,29482.00,21062.00,8420.00,29010.00,18280.00,2226.00,8504.00,19696.00,182387.00,28103.00,47691.00,29.00,47662.00,80295.00,26241.00,0.00,54054.00,26298.00,13678.00,4874.00,7599.00,736.00,469.00
1998:Q3,80679.00,3854.00,25979.00,18301.00,7678.00,29698.00,18002.00,2387.00,9309.00,21148.00,201959.00,24855.00,50355.00,206.00,50149.00,97444.00,33485.00,0.00,63959.00,29305.00,14232.00,5418.00,7080.00,866.00,868.00
1998:Q4,70729.00,4068.00,19189.00,13119.00,6070.00,26278.00,14770.00,2137.00,9371.00,21194.00,205563.00,15133.00,53584.00,207.00,53377.00,105216.00,33611.00,0.00,71605.00,31630.00,13929.00,4977.00,7547.00,791.00,614.00
1999:Q1,71187.00,3751.00,20517.00,14915.00,5602.00,25378.00,13302.00,2030.00,10046.00,21541.00,214769.00,16138.00,59848.00,212.00,59636.00,105362.00,28726.00,0.00,76636.00,33421.00,13466.00,4424.00,7399.00,906.00,737.00
1999:Q2,69431.00,3692.00,20423.00,14875.00,5548.00,24910.00,12987.00,1932.00,9991.00,20406.00,208711.00,16323.00,58301.00,210.00,58091.00,101973.00,28402.00,0.00,73571.00,32114.00,13009.00,4043.00,7381.00,863.00,722.00
1999:Q3,68988.00,4354.00,19850.00,14608.00,5242.00,24804.00,13105.00,1831.00,9868.00,19980.00,213345.00,15765.00,59065.00,186.00,58879.00,103178.00,27265.00,0.00,75913.00,35337.00,12790.00,3792.00,7503.00,801.00,694.00
1999:Q4,68328.00,4402.00,20535.00,11366.00,9169.00,23540.00,11261.00,2308.00,9971.00,19851.00,215915.00,14875.00,61744.00,0.00,61744.00,103026.00,24201.00,0.00,78825.00,36270.00,11538.00,3670.00,5551.00,366.00,1951.00
2000:Q1,64783.00,4466.00,20322.00,11259.00,9063.00,19668.00,7833.00,2118.00,9717.00,20327.00,215836.00,12573.00,62902.00,0.00,62902.00,104505.00,23538.00,0.00,80967.00,35856.00,11771.00,3806.00,5932.00,309.00,1724.00
2000:Q2,63249.00,4164.00,19693.00,10376.00,9317.00,19155.00,7457.00,2085.00,9613.00,20237.00,217741.00,12261.00,64283.00,0.00,64283.00,103856.00,21256.00,0.00,82600.00,37341.00,11242.00,3691.00,5551.00,305.00,1695.00
2000:Q3,62643.00,3770.00,19967.00,11607.00,8360.00,18048.00,7275.00,1974.00,8799.00,20858.00,216629.00,12828.00,65365.00,0.00,65365.00,100680.00,18682.00,0.00,81998.00,37756.00,10781.00,3574.00,5273.00,297.00,1637.00
2000:Q4,65013.00,4386.00,21347.00,11993.00,9354.00,17534.00,7801.00,1729.00,8004.00,21746.00,218027.00,12361.00,64601.00,0.00,64601.00,102971.00,19421.00,0.00,83550.00,38094.00,10048.00,3472.00,5370.00,146.00,1060.00
2001:Q1,65085.00,4144.00,21538.00,13100.00,8438.00,17418.00,8038.00,1721.00,7659.00,21985.00,219412.00,13589.00,67455.00,0.00,67455.00,100385.00,16497.00,0.00,83888.00,37983.00,8837.00,2609.00,5080.00,140.00,1008.00
2001:Q2,67166.00,4713.00,23106.00,15245.00,7861.00,16538.00,7768.00,1743.00,7027.00,22809.00,221116.00,15661.00,65151.00,0.00,65151.00,102442.00,16226.00,0.00,86216.00,37862.00,7621.00,1731.00,4813.00,132.00,945.00
2001:Q3,70829.00,5443.00,25553.00,17729.00,7824.00,17132.00,8428.00,1744.00,6960.00,22701.00,221721.00,18187.00,67025.00,0.00,67025.00,98915.00,14960.00,0.00,83955.00,37594.00,7015.00,963.00,5041.00,124.00,887.00
2001:Q4,75878.00,5492.00,30066.00,20288.00,9778.00,17935.00,8587.00,1444.00,7904.00,22385.00,231069.00,21552.00,69243.00,0.00,69243.00,102129.00,16370.00,0.00,85759.00,38145.00,6744.00,329.00,5455.00,118.00,842.00
2002:Q1,83150.00,6144.00,36667.00,27094.00,9573.00,17588.00,8910.00,1365.00,7313.00,22751.00,239822.00,27694.00,69901.00,0.00,69901.00,103603.00,15869.00,0.00,87734.00,38624.00,6493.00,0.00,5592.00,112.00,789.00
2002:Q2,92531.00,6393.00,42685.00,31555.00,11130.00,19924.00,10874.00,1434.00,7616.00,23529.00,255996.00,32191.00,74425.00,0.00,74425.00,110307.00,16814.00,0.00,93493.00,39073.00,8963.00,0.00,7624.00,117.00,1222.00
2002:Q3,100023.00,6576.00,46378.00,33864.00,12514.00,23434.00,14172.00,1386.00,7876.00,23635.00,268618.00,36926.00,79713.00,0.00,79713.00,111648.00,16751.00,0.00,94897.00,40331.00,11400.00,0.00,10099.00,113.00,1188.00
2002:Q4,100644.00,5396.00,42116.00,31765.00,10351.00,28113.00,18716.00,1297.00,8100.00,25019.00,275461.00,36180.00,83260.00,0.00,83260.00,115101.00,18141.00,0.00,96960.00,40920.00,14753.00,0.00,13217.00,109.00,1427.00
2003:Q1,100324.00,6593.00,42526.00,27459.00,15067.00,26503.00,17275.00,1234.00,7994.00,24702.00,274515.00,33230.00,86800.00,0.00,86800.00,114786.00,18988.00,0.00,95798.00,39699.00,16532.00,0.00,15016.00,107.00,1409.00
2003:Q2,109213.00,6664.00,43746.00,29482.00,14264.00,33606.00,24036.00,1290.00,8280.00,25197.00,283806.00,38302.00,91085.00,0.00,91085.00,113946.00,16304.00,0.00,97642.00,40473.00,19526.00,0.00,18041.00,105.00,1380.00
