1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7091.00,509.00,409.00,101.00,2115.00,3957.00,7091.00,5743.00,0.00,3356.00,272.00,2115.00,1071.00,78.00,19.00,227.00,11.00,0.00,736.00,0.00,0.00,0.00,0.00,277.00,7091.00,1421.00,-215.00,922.00,0.00,5.00,709.00,5595.00,2879.00,-336.00,131.00,-44.00,10.00,572.00,257.00,755.00,710.00,699.00,0.00,64.00,40.00,0.00,55.00,0.00,0.00,0.00,-219.00,0.00,22.00,75.00
1952:Q1,2121.00,281.00,-1268.00,-149.00,2246.00,1011.00,2121.00,2081.00,0.00,1140.00,-1305.00,2246.00,1.00,-26.00,-6.00,-114.00,2.00,0.00,145.00,0.00,0.00,0.00,0.00,39.00,2121.00,2203.00,2656.00,-762.00,0.00,9.00,300.00,15.00,-1376.00,79.00,55.00,1.00,2.00,242.00,545.00,243.00,99.00,241.00,0.00,39.00,13.00,0.00,137.00,0.00,0.00,0.00,-310.00,0.00,5.00,-97.00
1952:Q2,4113.00,118.00,-14.00,-56.00,2464.00,1601.00,4113.00,3741.00,0.00,1446.00,-169.00,2464.00,323.00,-34.00,-9.00,97.00,2.00,0.00,267.00,0.00,0.00,0.00,0.00,49.00,4113.00,1405.00,2008.00,-1270.00,0.00,-10.00,677.00,2598.00,278.00,253.00,61.00,7.00,1.00,134.00,288.00,243.00,386.00,177.00,0.00,9.00,16.00,0.00,-69.00,0.00,0.00,0.00,825.00,0.00,-11.00,110.00
1952:Q3,6154.00,209.00,3273.00,441.00,1215.00,1016.00,6154.00,6005.00,0.00,1169.00,3621.00,1215.00,232.00,31.00,8.00,90.00,3.00,0.00,100.00,0.00,0.00,0.00,0.00,-83.00,6154.00,2442.00,1841.00,452.00,0.00,-2.00,151.00,3314.00,709.00,1365.00,-82.00,8.00,1.00,295.00,837.00,277.00,425.00,340.00,0.00,6.00,16.00,0.00,-13.00,0.00,0.00,0.00,-865.00,0.00,-5.00,398.00
1952:Q4,6044.00,-190.00,3951.00,202.00,962.00,1119.00,6044.00,6150.00,0.00,1012.00,4176.00,962.00,-128.00,31.00,7.00,-26.00,3.00,0.00,-143.00,0.00,0.00,0.00,0.00,22.00,6044.00,1497.00,555.00,648.00,0.00,0.00,294.00,4716.00,819.00,1641.00,50.00,5.00,2.00,252.00,657.00,336.00,48.00,198.00,0.00,23.00,15.00,0.00,12.00,0.00,0.00,0.00,652.00,0.00,6.00,-169.00
1953:Q1,-60.00,194.00,-3020.00,-2.00,1564.00,1204.00,-60.00,-555.00,0.00,799.00,-2918.00,1564.00,444.00,-30.00,-7.00,-106.00,2.00,0.00,585.00,0.00,0.00,0.00,0.00,51.00,-60.00,1484.00,617.00,586.00,0.00,52.00,229.00,-1665.00,-765.00,-2208.00,-40.00,2.00,1.00,296.00,717.00,348.00,60.00,274.00,0.00,3.00,15.00,0.00,200.00,0.00,0.00,0.00,-572.00,0.00,4.00,121.00
1953:Q2,2433.00,-192.00,460.00,-430.00,1158.00,1437.00,2433.00,2113.00,0.00,940.00,15.00,1158.00,445.00,-22.00,-6.00,14.00,1.00,0.00,458.00,0.00,0.00,0.00,0.00,-125.00,2433.00,1972.00,3517.00,-1660.00,0.00,-34.00,149.00,230.00,877.00,-2275.00,27.00,0.00,1.00,221.00,564.00,342.00,333.00,371.00,0.00,-22.00,15.00,0.00,-121.00,0.00,0.00,0.00,-93.00,0.00,-10.00,231.00
1953:Q3,9317.00,328.00,6540.00,261.00,1416.00,772.00,9317.00,8678.00,0.00,580.00,6682.00,1416.00,684.00,70.00,18.00,117.00,2.00,0.00,477.00,0.00,0.00,0.00,0.00,-45.00,9317.00,2550.00,500.00,1886.00,0.00,-19.00,183.00,6468.00,489.00,4072.00,-9.00,-1.00,1.00,302.00,491.00,312.00,98.00,359.00,0.00,4.00,15.00,0.00,18.00,0.00,0.00,0.00,319.00,0.00,-2.00,299.00
1953:Q4,6375.00,48.00,1943.00,1802.00,1217.00,1365.00,6375.00,6255.00,0.00,1267.00,3771.00,1217.00,113.00,47.00,12.00,-28.00,2.00,0.00,80.00,0.00,0.00,0.00,0.00,7.00,6375.00,654.00,-668.00,982.00,0.00,-1.00,341.00,5698.00,682.00,2938.00,58.00,-1.00,3.00,305.00,656.00,272.00,39.00,223.00,0.00,23.00,15.00,0.00,-3.00,0.00,0.00,0.00,468.00,0.00,20.00,23.00
1954:Q1,-1271.00,355.00,-4544.00,431.00,1504.00,983.00,-1271.00,-1482.00,0.00,900.00,-3886.00,1504.00,40.00,6.00,1.00,-228.00,1.00,0.00,260.00,0.00,0.00,0.00,0.00,171.00,-1271.00,-570.00,517.00,-1287.00,0.00,18.00,182.00,-946.00,-1085.00,-1386.00,-29.00,3.00,2.00,191.00,695.00,277.00,20.00,384.00,0.00,48.00,15.00,0.00,312.00,0.00,0.00,0.00,-389.00,0.00,-4.00,245.00
1954:Q2,1453.00,-140.00,151.00,-812.00,1350.00,904.00,1453.00,1486.00,0.00,894.00,-758.00,1350.00,30.00,7.00,2.00,96.00,1.00,0.00,-76.00,0.00,0.00,0.00,0.00,-63.00,1453.00,-3466.00,-570.00,-3028.00,0.00,-10.00,142.00,5054.00,505.00,2379.00,-1.00,7.00,2.00,224.00,416.00,292.00,312.00,407.00,0.00,13.00,14.00,0.00,-29.00,0.00,0.00,0.00,519.00,0.00,-6.00,-135.00
1954:Q3,4533.00,76.00,3296.00,-1332.00,1510.00,983.00,4533.00,4716.00,0.00,1375.00,1831.00,1510.00,-85.00,16.00,4.00,125.00,8.00,0.00,-238.00,0.00,0.00,0.00,0.00,-98.00,4533.00,836.00,-922.00,1529.00,0.00,-2.00,231.00,3349.00,-791.00,2880.00,-12.00,7.00,2.00,266.00,386.00,333.00,8.00,301.00,0.00,40.00,14.00,0.00,24.00,0.00,0.00,0.00,-112.00,0.00,3.00,348.00
1954:Q4,7202.00,-11.00,3828.00,1781.00,1287.00,317.00,7202.00,7411.00,0.00,495.00,5629.00,1287.00,-149.00,214.00,53.00,-28.00,8.00,0.00,-396.00,0.00,0.00,0.00,0.00,-60.00,7202.00,1076.00,-251.00,1123.00,0.00,-5.00,209.00,5964.00,942.00,3495.00,82.00,0.00,2.00,270.00,395.00,386.00,78.00,306.00,0.00,23.00,17.00,0.00,-47.00,0.00,0.00,0.00,9.00,0.00,6.00,162.00
1955:Q1,-1919.00,208.00,-4372.00,246.00,1492.00,507.00,-1919.00,-2146.00,0.00,477.00,-4115.00,1492.00,321.00,-54.00,-13.00,-19.00,8.00,0.00,399.00,0.00,0.00,0.00,0.00,-94.00,-1919.00,2663.00,2153.00,253.00,0.00,6.00,251.00,-4581.00,-1383.00,-4157.00,-17.00,-1.00,3.00,79.00,567.00,375.00,-12.00,276.00,0.00,6.00,18.00,0.00,133.00,0.00,0.00,0.00,-485.00,0.00,17.00,-1.00
1955:Q2,314.00,-65.00,-602.00,-720.00,1112.00,589.00,314.00,69.00,0.00,604.00,-1647.00,1112.00,303.00,-122.00,-31.00,316.00,9.00,0.00,131.00,0.00,0.00,0.00,0.00,-58.00,314.00,1262.00,1600.00,-640.00,0.00,1.00,301.00,-930.00,-82.00,-2369.00,95.00,-5.00,4.00,145.00,306.00,362.00,355.00,271.00,0.00,51.00,21.00,0.00,-113.00,0.00,0.00,0.00,32.00,0.00,-3.00,-18.00
1955:Q3,4047.00,-27.00,2461.00,-391.00,1401.00,603.00,4047.00,3685.00,0.00,465.00,1819.00,1401.00,402.00,12.00,4.00,241.00,10.00,0.00,135.00,0.00,0.00,0.00,0.00,-40.00,4047.00,4295.00,2082.00,1924.00,0.00,-4.00,293.00,-448.00,-2.00,-1912.00,27.00,-5.00,4.00,293.00,489.00,302.00,273.00,329.00,0.00,67.00,21.00,0.00,-232.00,0.00,0.00,0.00,-115.00,0.00,13.00,200.00
1955:Q4,6519.00,-271.00,3122.00,1117.00,1029.00,1522.00,6519.00,6156.00,0.00,1302.00,3825.00,1029.00,364.00,-24.00,-6.00,403.00,11.00,0.00,-20.00,0.00,0.00,0.00,0.00,-1.00,6519.00,4035.00,994.00,2694.00,0.00,16.00,331.00,2419.00,994.00,-187.00,60.00,-3.00,4.00,175.00,85.00,216.00,73.00,351.00,0.00,25.00,20.00,0.00,299.00,0.00,0.00,0.00,320.00,0.00,-13.00,65.00
1956:Q1,-1269.00,577.00,-4284.00,123.00,1235.00,1080.00,-1269.00,-2621.00,0.00,422.00,-4278.00,1235.00,1262.00,16.00,3.00,106.00,11.00,0.00,1126.00,0.00,0.00,0.00,0.00,90.00,-1269.00,875.00,2812.00,-2149.00,0.00,-5.00,217.00,-2583.00,-1097.00,-2679.00,-69.00,3.00,4.00,42.00,317.00,244.00,13.00,455.00,0.00,96.00,20.00,0.00,320.00,0.00,0.00,0.00,-296.00,0.00,44.00,439.00
1956:Q2,-3146.00,-105.00,-4983.00,-250.00,921.00,1271.00,-3146.00,-3641.00,0.00,887.00,-5449.00,921.00,414.00,19.00,5.00,205.00,11.00,0.00,174.00,0.00,0.00,0.00,0.00,81.00,-3146.00,-1729.00,1111.00,-3193.00,0.00,-1.00,354.00,-1502.00,157.00,-2667.00,-6.00,7.00,4.00,42.00,272.00,300.00,316.00,246.00,0.00,-90.00,19.00,0.00,11.00,0.00,0.00,0.00,-76.00,0.00,-37.00,85.00
1956:Q3,4191.00,180.00,1433.00,14.00,1185.00,1379.00,4191.00,3563.00,0.00,1179.00,1199.00,1185.00,554.00,97.00,25.00,243.00,5.00,0.00,184.00,0.00,0.00,0.00,0.00,74.00,4191.00,1801.00,1567.00,-59.00,0.00,-8.00,301.00,2024.00,-165.00,327.00,-22.00,8.00,4.00,151.00,522.00,393.00,541.00,233.00,0.00,199.00,19.00,0.00,-10.00,0.00,0.00,0.00,-198.00,0.00,22.00,366.00
1956:Q4,5394.00,-174.00,3051.00,334.00,824.00,1359.00,5394.00,5318.00,0.00,1004.00,3490.00,824.00,11.00,132.00,32.00,-111.00,6.00,0.00,-48.00,0.00,0.00,0.00,0.00,65.00,5394.00,1589.00,174.00,1149.00,0.00,3.00,263.00,4110.00,1334.00,1501.00,-11.00,7.00,3.00,170.00,255.00,492.00,-7.00,213.00,0.00,26.00,22.00,0.00,-31.00,0.00,0.00,0.00,148.00,0.00,-12.00,-305.00
1957:Q1,2507.00,566.00,-1670.00,427.00,1063.00,2121.00,2507.00,860.00,0.00,1445.00,-1648.00,1063.00,1430.00,41.00,11.00,397.00,8.00,0.00,973.00,0.00,0.00,0.00,0.00,217.00,2507.00,2180.00,2423.00,-325.00,0.00,11.00,71.00,240.00,-1955.00,941.00,-24.00,5.00,4.00,53.00,568.00,491.00,13.00,345.00,0.00,43.00,23.00,0.00,116.00,0.00,0.00,0.00,-395.00,0.00,12.00,87.00
1957:Q2,-2996.00,-278.00,-5592.00,158.00,911.00,1805.00,-2996.00,-3701.00,0.00,1432.00,-6044.00,911.00,579.00,-32.00,-8.00,601.00,9.00,0.00,9.00,0.00,0.00,0.00,0.00,126.00,-2996.00,-1522.00,329.00,-1861.00,0.00,-2.00,12.00,-1388.00,-31.00,-3193.00,16.00,3.00,4.00,92.00,498.00,436.00,300.00,343.00,0.00,97.00,25.00,0.00,-73.00,0.00,0.00,0.00,89.00,0.00,6.00,-86.00
1957:Q3,7796.00,330.00,4170.00,-29.00,1356.00,1969.00,7796.00,6861.00,0.00,1557.00,3948.00,1356.00,904.00,176.00,44.00,189.00,4.00,0.00,491.00,0.00,0.00,0.00,0.00,31.00,7796.00,2584.00,1974.00,749.00,0.00,1.00,-140.00,5332.00,111.00,3494.00,-36.00,3.00,4.00,233.00,671.00,379.00,46.00,406.00,0.00,-25.00,25.00,0.00,-132.00,0.00,0.00,0.00,160.00,0.00,-7.00,-120.00
1957:Q4,5272.00,221.00,874.00,1191.00,1177.00,1809.00,5272.00,4668.00,0.00,1642.00,1849.00,1177.00,543.00,89.00,22.00,213.00,3.00,0.00,216.00,0.00,0.00,0.00,0.00,61.00,5272.00,1160.00,371.00,975.00,0.00,-6.00,-180.00,3779.00,993.00,686.00,-26.00,1.00,3.00,278.00,512.00,332.00,76.00,338.00,0.00,14.00,27.00,0.00,6.00,0.00,0.00,0.00,535.00,0.00,4.00,333.00
1958:Q1,3892.00,1086.00,-1548.00,478.00,1460.00,2416.00,3892.00,2667.00,0.00,2159.00,-952.00,1460.00,954.00,179.00,45.00,-120.00,2.00,0.00,848.00,0.00,0.00,0.00,0.00,271.00,3892.00,-717.00,789.00,-1246.00,0.00,42.00,-302.00,5104.00,-608.00,3366.00,-32.00,8.00,4.00,-6.00,743.00,344.00,165.00,479.00,0.00,118.00,28.00,0.00,599.00,0.00,0.00,0.00,-134.00,0.00,30.00,-495.00
1958:Q2,4514.00,-279.00,3486.00,-1154.00,1143.00,1318.00,4514.00,4731.00,0.00,1155.00,2433.00,1143.00,-557.00,-142.00,-36.00,-103.00,2.00,0.00,-278.00,0.00,0.00,0.00,0.00,340.00,4514.00,-3865.00,-1839.00,-2080.00,0.00,-29.00,83.00,9013.00,2019.00,4355.00,35.00,12.00,4.00,123.00,667.00,360.00,348.00,242.00,0.00,180.00,29.00,0.00,-111.00,0.00,0.00,0.00,720.00,0.00,30.00,-634.00
1958:Q3,3440.00,-300.00,707.00,290.00,1541.00,1202.00,3440.00,3767.00,0.00,1450.00,776.00,1541.00,-415.00,-58.00,-14.00,215.00,6.00,0.00,-564.00,0.00,0.00,0.00,0.00,88.00,3440.00,-604.00,-1601.00,951.00,0.00,-19.00,65.00,3249.00,-495.00,2818.00,-38.00,11.00,4.00,303.00,853.00,385.00,311.00,379.00,0.00,-1.00,30.00,0.00,-134.00,0.00,0.00,0.00,-1165.00,0.00,-12.00,795.00
1958:Q4,9802.00,-520.00,7134.00,399.00,1306.00,1483.00,9802.00,9862.00,0.00,1115.00,7441.00,1306.00,-279.00,-70.00,-18.00,85.00,7.00,0.00,-283.00,0.00,0.00,0.00,0.00,219.00,9802.00,3821.00,767.00,2932.00,0.00,-4.00,126.00,5599.00,1617.00,1800.00,47.00,4.00,3.00,364.00,664.00,409.00,110.00,409.00,0.00,-24.00,29.00,0.00,-245.00,0.00,0.00,0.00,467.00,0.00,-55.00,382.00
1959:Q1,2648.00,391.00,-81.00,-163.00,1578.00,923.00,2648.00,1799.00,0.00,586.00,-365.00,1578.00,680.00,-113.00,-28.00,116.00,5.00,0.00,700.00,0.00,0.00,0.00,0.00,169.00,2648.00,4543.00,2770.00,1580.00,0.00,-1.00,194.00,-2318.00,-859.00,-3136.00,-4.00,-1.00,3.00,136.00,768.00,260.00,133.00,407.00,0.00,75.00,79.00,0.00,205.00,0.00,0.00,0.00,-417.00,0.00,33.00,423.00
1959:Q2,3904.00,50.00,881.00,587.00,1258.00,1128.00,3904.00,2519.00,0.00,668.00,593.00,1258.00,1320.00,-58.00,-14.00,869.00,6.00,0.00,517.00,0.00,0.00,0.00,0.00,65.00,3904.00,2133.00,604.00,1195.00,0.00,4.00,330.00,-150.00,564.00,-2720.00,5.00,-7.00,2.00,245.00,837.00,393.00,385.00,319.00,0.00,34.00,27.00,0.00,-129.00,0.00,0.00,0.00,-106.00,0.00,1.00,1921.00
1959:Q3,7878.00,-82.00,4276.00,726.00,1939.00,1019.00,7878.00,6765.00,0.00,637.00,4189.00,1939.00,983.00,-23.00,-6.00,812.00,1.00,0.00,199.00,0.00,0.00,0.00,0.00,130.00,7878.00,5266.00,2680.00,2371.00,0.00,9.00,206.00,1411.00,513.00,-1517.00,-8.00,-7.00,2.00,401.00,487.00,357.00,323.00,506.00,0.00,137.00,29.00,0.00,-11.00,0.00,0.00,0.00,163.00,0.00,36.00,1201.00
1959:Q4,5965.00,-47.00,3064.00,409.00,1067.00,1472.00,5965.00,4986.00,0.00,845.00,3074.00,1067.00,870.00,159.00,40.00,398.00,1.00,0.00,272.00,0.00,0.00,0.00,0.00,109.00,5965.00,4060.00,2311.00,1351.00,0.00,-13.00,411.00,1267.00,137.00,-1053.00,33.00,-11.00,3.00,456.00,311.00,477.00,43.00,386.00,0.00,100.00,34.00,0.00,35.00,0.00,0.00,0.00,350.00,0.00,-34.00,638.00
1960:Q1,1151.00,1510.00,-3781.00,-134.00,1587.00,1969.00,1151.00,-1631.00,0.00,534.00,-3752.00,1587.00,2503.00,174.00,43.00,-164.00,1.00,0.00,2449.00,0.00,0.00,0.00,0.00,279.00,1151.00,5695.00,6310.00,-982.00,0.00,45.00,322.00,-4930.00,-1477.00,-4888.00,-34.00,3.00,2.00,304.00,462.00,332.00,87.00,493.00,0.00,49.00,100.00,0.00,204.00,0.00,0.00,0.00,-595.00,0.00,28.00,386.00
1960:Q2,1852.00,148.00,-1672.00,631.00,1105.00,1640.00,1852.00,419.00,0.00,1011.00,-1697.00,1105.00,1308.00,13.00,3.00,654.00,2.00,0.00,636.00,0.00,0.00,0.00,0.00,125.00,1852.00,-891.00,606.00,-1849.00,0.00,-31.00,383.00,2845.00,1155.00,-504.00,1.00,7.00,2.00,231.00,333.00,279.00,685.00,379.00,0.00,71.00,57.00,0.00,-119.00,0.00,0.00,0.00,259.00,0.00,9.00,-102.00
1960:Q3,4954.00,390.00,1966.00,-447.00,1571.00,1474.00,4954.00,3993.00,0.00,1017.00,1405.00,1571.00,885.00,231.00,58.00,116.00,-2.00,0.00,482.00,0.00,0.00,0.00,0.00,76.00,4954.00,-1881.00,-624.00,-1694.00,0.00,-12.00,449.00,6489.00,160.00,4162.00,-18.00,8.00,2.00,189.00,571.00,353.00,102.00,281.00,0.00,87.00,51.00,0.00,13.00,0.00,0.00,0.00,509.00,0.00,19.00,346.00
1960:Q4,5992.00,131.00,2235.00,427.00,1047.00,2152.00,5992.00,4892.00,0.00,1314.00,2531.00,1047.00,1003.00,290.00,72.00,134.00,-3.00,0.00,510.00,0.00,0.00,0.00,0.00,97.00,5992.00,-1414.00,-933.00,-794.00,0.00,33.00,280.00,7132.00,550.00,4300.00,31.00,1.00,4.00,168.00,503.00,521.00,52.00,439.00,0.00,37.00,27.00,0.00,44.00,0.00,0.00,0.00,486.00,0.00,-31.00,274.00
1961:Q1,665.00,787.00,-2231.00,-236.00,1449.00,896.00,665.00,-321.00,0.00,215.00,-1985.00,1449.00,901.00,164.00,42.00,-482.00,0.00,0.00,1177.00,0.00,0.00,0.00,0.00,85.00,665.00,-884.00,-486.00,-535.00,0.00,-1.00,138.00,1505.00,-615.00,599.00,141.00,4.00,4.00,198.00,680.00,130.00,51.00,555.00,0.00,48.00,68.00,0.00,263.00,0.00,0.00,0.00,-684.00,0.00,63.00,44.00
1961:Q2,4260.00,-101.00,1115.00,58.00,830.00,2358.00,4260.00,3723.00,0.00,2056.00,837.00,830.00,364.00,33.00,8.00,337.00,-1.00,0.00,-13.00,0.00,0.00,0.00,0.00,173.00,4260.00,-1.00,49.00,-239.00,0.00,-23.00,212.00,4624.00,606.00,1574.00,41.00,2.00,5.00,227.00,527.00,398.00,786.00,443.00,0.00,-55.00,-19.00,0.00,-49.00,0.00,0.00,0.00,176.00,0.00,-38.00,-363.00
1961:Q3,8275.00,91.00,5400.00,322.00,1768.00,694.00,8275.00,7946.00,0.00,998.00,5180.00,1768.00,262.00,122.00,30.00,498.00,44.00,0.00,-432.00,0.00,0.00,0.00,0.00,67.00,8275.00,-381.00,702.00,-1292.00,0.00,24.00,185.00,7960.00,-125.00,6011.00,93.00,1.00,5.00,269.00,728.00,272.00,69.00,418.00,0.00,124.00,-28.00,0.00,-73.00,0.00,0.00,0.00,142.00,0.00,54.00,696.00
1961:Q4,7169.00,75.00,3291.00,866.00,1331.00,1606.00,7169.00,6632.00,0.00,1451.00,3850.00,1331.00,425.00,211.00,53.00,261.00,46.00,0.00,-146.00,0.00,0.00,0.00,0.00,112.00,7169.00,1477.00,409.00,856.00,0.00,-2.00,214.00,5615.00,1866.00,1931.00,-186.00,-4.00,6.00,315.00,442.00,415.00,10.00,333.00,0.00,289.00,-22.00,0.00,-216.00,0.00,0.00,0.00,518.00,0.00,-82.00,77.00
1962:Q1,4802.00,842.00,377.00,698.00,1688.00,1197.00,4802.00,3227.00,0.00,863.00,676.00,1688.00,1374.00,-150.00,-37.00,377.00,22.00,0.00,1162.00,0.00,0.00,0.00,0.00,201.00,4802.00,1615.00,1110.00,565.00,0.00,3.00,-63.00,2974.00,-170.00,104.00,214.00,2.00,5.00,343.00,1020.00,274.00,48.00,644.00,0.00,-29.00,35.00,0.00,533.00,0.00,0.00,0.00,-191.00,0.00,142.00,213.00
1962:Q2,3843.00,-8.00,571.00,414.00,1166.00,1700.00,3843.00,3295.00,0.00,1505.00,624.00,1166.00,233.00,-126.00,-32.00,337.00,24.00,0.00,30.00,0.00,0.00,0.00,0.00,315.00,3843.00,-1127.00,-219.00,-1172.00,0.00,-30.00,294.00,4528.00,853.00,997.00,283.00,2.00,4.00,409.00,664.00,452.00,854.00,418.00,0.00,-62.00,-42.00,0.00,-358.00,0.00,0.00,0.00,116.00,0.00,-62.00,442.00
1962:Q3,3519.00,651.00,1057.00,-10.00,1349.00,472.00,3519.00,2655.00,0.00,848.00,458.00,1349.00,770.00,-49.00,-12.00,552.00,37.00,0.00,242.00,0.00,0.00,0.00,0.00,94.00,3519.00,827.00,1548.00,-1133.00,0.00,-3.00,415.00,2032.00,-637.00,656.00,-124.00,3.00,5.00,401.00,785.00,200.00,15.00,423.00,0.00,242.00,-29.00,0.00,28.00,0.00,0.00,0.00,46.00,0.00,18.00,660.00
